+ Add Milestone,+ Tambah Milestone
Item ID is required,ID item diperlukan
Item removed,Item dihapus
Item type is required,Tipe item diperlukan
Item {0} not found,Item {0} tidak ditemukan
Job title or role,Jabatan atau peran
Join Meeting,Gabung Rapat
Just now,Baru saja
just now,baru saja
Kanban,Kanban
Kanban Board,Papan Kanban
Kanban View,Tampilan Kanban
Keyboard Shortcuts,Pintasan Keyboard
Keyboard shortcuts (?),Pintasan keyboard (?)
Last checked: {0},Last checked: {0}
Last Updated,Terakhir Diperbarui
Last updated:,Terakhir diperbarui:
Last Week,Minggu Lalu
Latest Version,Latest Version
Light,Terang
Link failed,Gagal menautkan
Link Task,Tautkan Tugas
Linked,Tertaut
Linked employee not found,Karyawan tertaut tidak ditemukan
Linked Tasks,Tugas Tertaut
List,Daftar
List View,Tampilan Daftar
Load failed,Gagal memuat
Load More,Muat Lebih Banyak
Load more comments,Muat lebih banyak komentar
Loading activity...,Memuat aktivitas...
Loading changes...,Memuat perubahan...
Loading checklist...,Memuat daftar periksa...
Loading comments...,Memuat komentar...
Loading contact...,Memuat kontak...
Loading contacts...,Memuat kontak...
Loading dependencies...,Memuat dependensi...
Loading details...,Memuat detail...
Loading discussion...,Memuat diskusi...
Loading events...,Memuat acara...
Loading files...,Memuat berkas...
Loading notes...,Memuat catatan...
Loading preferences...,Memuat preferensi...
Loading project...,Memuat proyek...
Loading projects...,Memuat proyek...
Loading replies...,Memuat balasan...
Loading report data...,Memuat data laporan...
Loading settings...,Memuat pengaturan...
Loading task...,Memuat tugas...
Loading templates...,Memuat templat...
Loading time logs...,Memuat catatan waktu...
Loading your portal...,Memuat portal Anda...
Loading...,Memuat...
Location,Lokasi
Log Time,Catat Waktu
Logout,Keluar
Low,Rendah
Make Offer,Buat Penawaran
Manager,Manajer
Manual Entry,Entri Manual
Margin,Marjin
Mark all as read,Tandai semua sudah dibaca
Mark all read,Tandai semua dibaca
Mark as read,Tandai sudah dibaca
Mark as unread,Tandai belum dibaca
Mark read,Tandai dibaca
Marking...,Menandai...
Material,Material
Maybe,Mungkin
Medium,Sedang
Meeting,Rapat
Meeting Link,Tautan Rapat
Meeting title,Judul rapat
Meeting URL,URL Rapat
Meetings,Rapat
Mention,Sebutan
Message,Pesan
Message is required,Pesan diperlukan
Message is required for '{0}' action,Pesan diperlukan untuk tindakan '{0}'
Migrate,Migrasi
Migration Complete,Migrasi Selesai
Migration ID:,ID Migrasi:
Migration log not found: {0},Log migrasi tidak ditemukan: {0}
milestone,milestone
Milestone,Milestone
Milestone created,Milestone dibuat
Milestone description has been saved.,Deskripsi milestone telah disimpan.
Milestone ID is required,ID Milestone diperlukan
Milestone marked as Missed (past due date),Milestone ditandai sebagai Terlewat (melewati tenggat)
Milestone moved,Milestone dipindahkan
Milestone Name,Nama Milestone
Milestone name has been saved.,Nama milestone telah disimpan.
Milestone name is required,Nama milestone diperlukan
Milestone updated,Milestone diperbarui
Milestone {0} not found,Milestone {0} tidak ditemukan
Milestone {0} not in project {1},Milestone {0} tidak ada di proyek {1}
milestones,milestone
Milestones,Milestone
Milestones:,Milestone:
Minutes,Menit
Missed,Terlewat
Mixed,Campuran
Mobile,Seluler
Moderate,Sedang
Modified,Diubah
"Modify details, time, or attendees","Ubah detail, waktu, atau peserta"
Mon,Sen
Month,Bulan
Move failed,Gagal memindahkan
Must be a positive number,Harus berupa angka positif
Must finish before this finishes,Harus selesai sebelum ini selesai
Must finish before this starts,Harus selesai sebelum ini dimulai
Must start before this finishes,Harus dimulai sebelum ini selesai
Must start before this starts,Harus dimulai sebelum ini dimulai
My Assignments,Penugasan Saya
My Projects,Proyek Saya
My Schedule,Jadwal Saya
My Tasks,Tugas Saya
N/A,T/A
Name,Nama
Name (A-Z),Nama (A-Z)
Name (Z-A),Nama (Z-A)
Name cannot exceed 255 characters,Nama tidak boleh lebih dari 255 karakter
Need help?,Butuh bantuan?
Needs Attention,Butuh Perhatian
Never,Never
new activities,aktivitas baru
New Activity,Aktivitas Baru
New activity,Aktivitas baru
New Event,Acara Baru
New index is required,Indeks baru diperlukan
New Project,Proyek Baru
New tasks will auto-trail by default.,Tugas baru akan memiliki jejak otomatis secara default.
Newest First,Terbaru Dahulu
Next,Berikutnya
Next 14 days,14 hari ke depan
Next 30 days,30 hari ke depan
Next 60 days,60 hari ke depan
Next 7 days,7 hari ke depan
Next 90 days,90 hari ke depan
Next Week,Minggu Depan
Next:,Berikutnya:
No,Tidak
No active assignments,Tidak ada penugasan aktif
No active projects,Tidak ada proyek aktif
No active timer found,Tidak ada pengatur waktu aktif ditemukan
No activity selected,Tidak ada aktivitas dipilih
No assignments found,Tidak ada penugasan ditemukan
No attendees,Tidak ada peserta
no change,tidak ada perubahan
No changes for this field.,Tidak ada perubahan untuk bidang ini.
No changes recorded for this activity.,Tidak ada perubahan tercatat untuk aktivitas ini.
No checklist items yet,Belum ada item daftar periksa
No checklist items yet.,Belum ada item daftar periksa.
No comments yet,Belum ada komentar
No comments yet.,Belum ada komentar.
No contacts available,Tidak ada kontak tersedia
No content for this tab,Tidak ada konten untuk tab ini
No data available,Tidak ada data tersedia
No data available for the selected filters,Tidak ada data tersedia untuk filter yang dipilih
No data to export,Tidak ada data untuk diekspor
No dates set,Belum ada tanggal ditetapkan
No defects reported,Tidak ada cacat dilaporkan
No dependencies defined,Tidak ada dependensi didefinisikan
No description,Tidak ada deskripsi
No discussion yet.,Belum ada diskusi.
No documents attached,Tidak ada dokumen terlampir
No due date,Tidak ada tenggat
No employee linked to this resource,Tidak ada karyawan tertaut ke sumber daya ini
No ERPNext employee linked to resource,Tidak ada karyawan ERPNext tertaut ke sumber daya
No events found,Tidak ada acara ditemukan
No files attached yet.,Belum ada berkas terlampir.
No Frappe Project linked,Tidak ada Frappe Project tertaut
No Grouping,Tanpa Pengelompokan
No items,Tidak ada item
No matching tasks,Tidak ada tugas yang cocok
No matching tasks found,Tidak ada tugas yang cocok ditemukan
No migration history,Tidak ada riwayat migrasi
No Milestone,Tanpa Milestone
No milestones,Tidak ada milestone
No milestones defined for this project.,Belum ada milestone didefinisikan untuk proyek ini.
No notes yet.,Belum ada catatan.
No notes yet. Add a due diligence note to track progress.,Belum ada catatan. Tambahkan catatan uji tuntas untuk melacak progres.
No notifications,Tidak ada notifikasi
No Orga Project linked to Frappe Project {0},Tidak ada Orga Project tertaut ke Frappe Project {0}
No overdue tasks,Tidak ada tugas terlambat
No pending cascade changes,Tidak ada perubahan kaskade yang tertunda
No predecessors - this task can start independently,Tidak ada pendahulu - tugas ini dapat dimulai secara mandiri
No project,Tanpa proyek
No projects found,Tidak ada proyek ditemukan
No Projects Yet,Belum Ada Proyek
No recent activity,Tidak ada aktivitas terbaru
No related documents,Tidak ada dokumen terkait
No resolved threads.,Tidak ada utas terselesaikan.
No resources found,Tidak ada sumber daya ditemukan
No results found,Tidak ada hasil ditemukan
No skills listed,Tidak ada keahlian tercantum
No skills recorded yet,Belum ada keahlian tercatat
No successors - no tasks are waiting for this one,Tidak ada penerus - tidak ada tugas yang menunggu tugas ini
No task selected,Tidak ada tugas dipilih
No tasks assigned to you,Tidak ada tugas ditugaskan kepada Anda
No tasks available to add,Tidak ada tugas tersedia untuk ditambahkan
No tasks found,Tidak ada tugas ditemukan
No tasks linked to this milestone,Tidak ada tugas tertaut ke milestone ini
No tasks with dates to display,Tidak ada tugas dengan tanggal untuk ditampilkan
No tasks yet,Belum ada tugas
No team members,Tidak ada anggota tim
No template,Tanpa templat
No templates yet,Belum ada templat
No time data found,Tidak ada data waktu ditemukan
No time logged today,Tidak ada waktu tercatat hari ini
No time logged yet,Belum ada waktu tercatat
No time logs for this period,Tidak ada catatan waktu untuk periode ini
No time logs found,Tidak ada catatan waktu ditemukan
No unread notifications,Tidak ada notifikasi belum dibaca
No update information available yet.,No update information available yet.
None,Tidak Ada
Not found,Tidak ditemukan
Not permitted,Tidak diizinkan
Not permitted to access this project,Tidak diizinkan mengakses proyek ini
Not permitted to access this task,Tidak diizinkan mengakses tugas ini
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Tidak diizinkan berkomentar pada dokumen ini
Not permitted to create clients,Tidak diizinkan membuat klien
Not permitted to delete this client,Tidak diizinkan menghapus klien ini
Not permitted to delete this defect,Tidak diizinkan menghapus cacat ini
Not permitted to delete this note,Tidak diizinkan menghapus catatan ini
Not permitted to delete this project,Tidak diizinkan menghapus proyek ini
Not permitted to delete this task,Tidak diizinkan menghapus tugas ini
Not permitted to delete this time log,Tidak diizinkan menghapus catatan waktu ini
Not permitted to invite clients,Tidak diizinkan mengundang klien
Not permitted to modify client access,Tidak diizinkan mengubah akses klien
Not permitted to modify this project,Tidak diizinkan mengubah proyek ini
Not permitted to update settings,Tidak diizinkan memperbarui pengaturan
Not permitted to update this client,Tidak diizinkan memperbarui klien ini
Not permitted to view this client,Tidak diizinkan melihat klien ini
not sent,tidak terkirim
Not set,Belum diatur
Not specified,Tidak ditentukan
Note,Catatan
Note (optional),Catatan (opsional)
Note Content,Konten Catatan
Note content is required,Konten catatan diperlukan
Note name is required,Nama catatan diperlukan
Note not found,Catatan tidak ditemukan
Note Type,Tipe Catatan
Notes,Catatan
Notification,Notifikasi
Notification not found,Notifikasi tidak ditemukan
Notifications,Notifikasi
Off Track,Keluar Jalur
Offer,Penawaran
Offer Prepared,Penawaran Disiapkan
Oldest First,Terlama Dahulu
On Hold,Ditahan
On Leave,Cuti
On Track,Sesuai Jalur
On-Time Rate,Tingkat Tepat Waktu
Only administrators can delete activities,Hanya administrator yang dapat menghapus aktivitas
Only the comment author or administrators can delete comments,Hanya penulis komentar atau administrator yang dapat menghapus komentar
Only you and admins,Hanya Anda dan admin
Open,Buka
Open in Desk,Buka di Desk
Open Task Log,Buka Log Tugas
Open Tasks,Tugas Terbuka
Optional,Opsional
optional,opsional
Or email us directly at,Atau email kami langsung di
Orga Project {0} from Frappe Projects,Orga Project {0} dari Frappe Projects
Orga Task {0} from Frappe,Orga Task {0} dari Frappe
Organizer,Penyelenggara
Other,Lainnya
Over Budget,Melebihi Anggaran
Overall Progress,Progres Keseluruhan
Overall Utilization,Utilisasi Keseluruhan
Overallocated,Kelebihan Alokasi
Overdue,Terlambat
overdue,terlambat
Overdue Tasks,Tugas Terlambat
Overview,Ikhtisar
Owner,Pemilik
Page Not Found,Halaman Tidak Ditemukan
Parent,Induk
Parent comment must belong to the same document,Komentar induk harus milik dokumen yang sama
Parent comment not found,Komentar induk tidak ditemukan
Parent project not synced to Frappe yet,Proyek induk belum disinkronkan ke Frappe
Parent project sync not enabled,Sinkronisasi proyek induk tidak diaktifkan
Partner,Mitra
Pending,Menunggu
per page,per halaman
Perform initial assessment and background check,Lakukan penilaian awal dan pemeriksaan latar belakang
Permanently remove this event,Hapus acara ini secara permanen
Permanently remove this task,Hapus tugas ini secara permanen
Phone,Telepon
Pin,Sematkan
Pin Activity,Sematkan Aktivitas
Pin to top,Sematkan di atas
Pinned,Disematkan
Planned budget for this task,Anggaran yang direncanakan untuk tugas ini
Planning,Perencanaan
Please describe your question or issue in detail...,Silakan jelaskan pertanyaan atau masalah Anda secara detail...
Please login to access Orga,Silakan masuk untuk mengakses Orga
Please login to access the client portal,Silakan masuk untuk mengakses portal klien
Please respond to this invitation in Orga,Silakan tanggapi undangan ini di Orga
Please select an image file,Silakan pilih berkas gambar
Please try again,Silakan coba lagi
Please type,Silakan ketik
Portal,Portal
Portal access revoked for {0},Akses portal dicabut untuk {0}
Portal user created successfully. Welcome email {0},Pengguna portal berhasil dibuat. Email selamat datang {0}
Post,Kirim
Powered by,Didukung oleh
Powered by Tonic,Didukung oleh Tonic
Predecessors (Blocked By),Pendahulu (Diblokir Oleh)
Preferences,Preferensi
Preferences saved successfully,Preferensi berhasil disimpan
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Awalan untuk kode proyek otomatis (contoh: ORG-2026-0001)
Prepare and document offer terms,Siapkan dan dokumentasikan ketentuan penawaran
Press,Tekan
Preview,Pratinjau
Preview cascade before applying,Pratinjau kaskade sebelum menerapkan
Previous,Sebelumnya
Priority,Prioritas
Priority assigned to new tasks,Prioritas yang ditetapkan untuk tugas baru
Priority updated,Prioritas diperbarui
Proficiency,Kemahiran
Profile,Profil
Progress,Progres
Progress (High-Low),Progres (Tinggi-Rendah)
Progress (Low-High),Progres (Rendah-Tinggi)
Progress Overview,Ikhtisar Progres
Progress updated,Progres diperbarui
Project,Proyek
Project budget has been saved.,Anggaran proyek telah disimpan.
Project code (e.g. ORG-2026-0001),Kode proyek (contoh: ORG-2026-0001)
Project Code Prefix,Awalan Kode Proyek
Project created,Proyek dibuat
Project deleted,Proyek dihapus
Project description has been saved.,Deskripsi proyek telah disimpan.
Project Details,Detail Proyek
Project end date has been saved.,Tanggal selesai proyek telah disimpan.
Project Files,Berkas Proyek
Project has no linked client,Proyek tidak memiliki klien tertaut
Project Health,Kesehatan Proyek
Project Info,Info Proyek
Project is required,Proyek diperlukan
Project is required for project context,Proyek diperlukan untuk konteks proyek
Project is required when tracking context is 'project',Proyek diperlukan saat konteks pelacakan adalah 'proyek'
Project Manager,Manajer Proyek
Project Name,Nama Proyek
Project name and template name are required,Nama proyek dan nama templat diperlukan
Project name is required,Nama proyek diperlukan
Project not found,Proyek tidak ditemukan
Project not found or you do not have access,Proyek tidak ditemukan atau Anda tidak memiliki akses
Project settings,Pengaturan proyek
Project start date has been saved.,Tanggal mulai proyek telah disimpan.
Project title has been saved.,Judul proyek telah disimpan.
Project Type,Tipe Proyek
Project updated,Proyek diperbarui
Project {0} linked to client {1},Proyek {0} ditautkan ke klien {1}
Project {0} not found,Proyek {0} tidak ditemukan
Project {0} to Frappe Projects,Proyek {0} ke Frappe Projects
Project:,Proyek:
projects,proyek
Projects,Proyek
Projects created:,Proyek dibuat:
Projects Overview,Ikhtisar Proyek
Projects skipped:,Proyek dilewati:
Projects updated:,Proyek diperbarui:
Promote failed,Gagal mempromosikan
Promote to task,Promosikan ke tugas
Promoted to task,Dipromosikan ke tugas
Propose,Usulkan
Propose New Time,Usulkan Waktu Baru
Propose Time,Usulkan Waktu
Proposed End,Akhir yang Diusulkan
Proposed Start,Mulai yang Diusulkan
Public,Publik
Quick Action,Aksi Cepat
Quick Actions,Aksi Cepat
Quick Stats,Statistik Cepat
Rates,Tarif
Receive notifications via email,Terima notifikasi melalui email
Receive notifications within the application,Terima notifikasi dalam aplikasi
Recent Activity,Aktivitas Terbaru
Recipient {0} is not a valid user,Penerima {0} bukan pengguna yang valid
Reference,Referensi
Refresh,Segarkan
Related,Terkait
Related Company (optional),Perusahaan Terkait (opsional)
Related Documents,Dokumen Terkait
Related Project,Proyek Terkait
Remaining,Tersisa
Reminder,Pengingat
Reminder Lead Time,Waktu Jeda Pengingat
Reminder: {0} - {1} at {2},Pengingat: {0} - {1} pada {2}
Remove,Hapus
Remove dependency,Hapus dependensi
Remove dependency on,Hapus dependensi pada
Remove from group,Hapus dari grup
Remove group dependency,Hapus dependensi grup
Remove skill,Hapus keahlian
Reopen,Buka Kembali
Reopen thread,Buka kembali utas
reopened,dibuka kembali
replies,balasan
Reply,Balas
reply,balasan
Replying to,Membalas
Replying to comment,Membalas komentar
Report Defect,Laporkan Cacat
Reported Date,Tanggal Dilaporkan
Reports,Laporan
Reports To,Melapor Kepada
Request Submitted!,Permintaan Terkirim!
Required,Wajib
required,wajib
Research,Riset
Reset to Defaults,Kembalikan ke Default
Resolve,Selesaikan
Resolve thread,Selesaikan utas
Resolved,Terselesaikan
Resolved date cannot be before reported date,Tanggal penyelesaian tidak boleh sebelum tanggal pelaporan
Resource,Sumber Daya
Resource and skill name are required,Sumber daya dan nama keahlian diperlukan
Resource is already an attendee,Sumber daya sudah menjadi peserta
Resource name is required,Nama sumber daya diperlukan
Resource not found,Sumber daya tidak ditemukan
Resource synced from employee {0},Sumber daya disinkronkan dari karyawan {0}
Resource {0} is already assigned to this task ({1}),Sumber daya {0} sudah ditugaskan ke tugas ini ({1})
Resource {0} not found,Sumber daya {0} tidak ditemukan
Resources,Sumber Daya
Retry,Coba Lagi
Review,Tinjau
Review all relevant documents and contracts,Tinjau semua dokumen dan kontrak yang relevan
Reviews,Tinjauan
Risk Assessment,Penilaian Risiko
Rollback,Kembalikan
Rolled back,Dikembalikan
Room or address,Ruangan atau alamat
RSVP,RSVP
Safety,Keselamatan
Sat,Sab
Save,Simpan
"Save a project as a template, or import one from a JSON file.","Simpan proyek sebagai templat, atau impor dari berkas JSON."
Save as Template,Simpan sebagai Templat
Save Changes,Simpan Perubahan
Save failed,Gagal menyimpan
Save Preferences,Simpan Preferensi
Save Template,Simpan Templat
Saving...,Menyimpan...
Schedule,Jadwal
Schedule type is required for scheduled triggers,Tipe jadwal diperlukan untuk pemicu terjadwal
Scheduled,Terjadwal
Search,Cari
"Search by name, email, or skill...","Cari berdasarkan nama, email, atau keahlian..."
Search for a project...,Cari proyek...
Search for a task...,Cari tugas...
Search for an event...,Cari acara...
Search for people to invite...,Cari orang untuk diundang...
Search tasks to link...,Cari tugas untuk ditautkan...
Search tasks...,Cari tugas...
Search...,Cari...
Searching...,Mencari...
Seen,Dilihat
Select a project if your request is related to a specific project.,Pilih proyek jika permintaan Anda terkait dengan proyek tertentu.
Select a project...,Pilih proyek...
Select a task from the Gantt chart to view and manage its details.,Pilih tugas dari diagram Gantt untuk melihat dan mengelola detailnya.
Select a task from the list or Kanban board to view and manage its details.,Pilih tugas dari daftar atau papan Kanban untuk melihat dan mengelola detailnya.
Select a template...,Pilih templat...
Select priority...,Pilih prioritas...
Select status...,Pilih status...
Select task...,Pilih tugas...
Select type...,Pilih tipe...
Selection,Seleksi
Send,Kirim
Send comment,Kirim komentar
Send email invitations to attendees,Kirim undangan email ke peserta
Send Invitations,Kirim Undangan
Send notification when a task is assigned to a user,Kirim notifikasi saat tugas ditugaskan ke pengguna
Send notification when task status changes,Kirim notifikasi saat status tugas berubah
Send reminder before task due date,Kirim pengingat sebelum tenggat tugas
sent,terkirim
Set rate,Atur tarif
Settings,Pengaturan
Settings saved successfully,Pengaturan berhasil disimpan
Severity,Tingkat Keparahan
SF (Start-Finish),SF (Mulai-Selesai)
SF - Start-to-Finish,SF - Mulai-ke-Selesai
Show,Tampilkan
Show all,Tampilkan semua
Show all changes,Tampilkan semua perubahan
Show Archived,Tampilkan yang Diarsipkan
Show full diff,Tampilkan diff lengkap
Show less,Tampilkan lebih sedikit
Show more,Tampilkan lebih banyak
Skill added,Keahlian ditambahkan
Skill is required,Keahlian diperlukan
Skill Name,Nama Keahlian
Skill removed,Keahlian dihapus
Skill {0} already exists for this resource,Keahlian {0} sudah ada untuk sumber daya ini
Skills,Keahlian
Skills & Competencies,Keahlian & Kompetensi
Skip already migrated projects,Lewati proyek yang sudah dimigrasi
Sort by,Urutkan berdasarkan
Sort: Due Date,Urutkan: Tanggal Tenggat
Sort: Priority,Urutkan: Prioritas
Sort: Project,Urutkan: Proyek
Sort: Status,Urutkan: Status
Sort: Task,Urutkan: Tugas
Source Code,Kode Sumber
Spent,Terpakai
Spent:,Terpakai:
SS (Start-Start),SS (Mulai-Mulai)
SS - Start-to-Start,SS - Mulai-ke-Mulai
Standalone,Mandiri
Start,Mulai
Start a discussion below,Mulai diskusi di bawah
Start Date,Tanggal Mulai
Start date,Tanggal mulai
Start Date (Earliest),Tanggal Mulai (Paling Awal)
Start date updated,Tanggal mulai diperbarui
Start date/time is required,Tanggal/waktu mulai diperlukan
Start Migration,Mulai Migrasi
Start the conversation below.,Mulai percakapan di bawah.
Start Timer,Mulai Pengatur Waktu
Start typing to search...,Mulai mengetik untuk mencari...
Start-to-Finish,Mulai-ke-Selesai
Start-to-Start,Mulai-ke-Mulai
Start:,Mulai:
Statistics reset,Statistik direset
Status,Status
Status assigned to new projects,Status yang ditetapkan untuk proyek baru
Status assigned to new tasks,Status yang ditetapkan untuk tugas baru
Status Changes,Perubahan Status
Status updated,Status diperbarui
Status:,Status:
Stop,Berhenti
Stop & Save,Berhenti & Simpan
Stop Timer,Hentikan Pengatur Waktu
Stops current timer and starts for this event,Menghentikan pengatur waktu saat ini dan memulai untuk acara ini
Stops current timer and starts for this task,Menghentikan pengatur waktu saat ini dan memulai untuk tugas ini
Subject,Subjek
Subject cannot exceed 255 characters,Subjek tidak boleh lebih dari 255 karakter
Subject is required,Subjek diperlukan
Submit,Kirim
Submit Another Request,Kirim Permintaan Lain
Submit Request,Kirim Permintaan
Submitting...,Mengirim...
Successfully saved,Berhasil disimpan
Successors (Blocking),Penerus (Memblokir)
Sun,Min
Supplier,Pemasok
Support,Dukungan
Switch to this event,Beralih ke acara ini
Switch to this task,Beralih ke tugas ini
Sync direction is set to Frappe to Orga only,Arah sinkronisasi diatur hanya dari Frappe ke Orga
Sync direction is set to Orga to Frappe only,Arah sinkronisasi diatur hanya dari Orga ke Frappe
Sync not enabled for this project,Sinkronisasi tidak diaktifkan untuk proyek ini
System,Sistem
Table,Tabel
Take ownership of this task,Ambil kepemilikan tugas ini
Target Date,Tanggal Target
Target End,Akhir Target
Target Project,Proyek Target
Target user is required for '{0}' action,Pengguna target diperlukan untuk tindakan '{0}'
task,tugas
Task,Tugas
Task '{0}' is due on {1}.,Tugas '{0}' jatuh tempo pada {1}.
Task and resource are required,Tugas dan sumber daya diperlukan
Task Assignment,Penugasan Tugas
Task cannot be its own parent,Tugas tidak dapat menjadi induknya sendiri
Task cannot depend on itself,Tugas tidak dapat bergantung pada dirinya sendiri
Task cannot depend on the group it belongs to,Tugas tidak dapat bergantung pada grup tempatnya berada
Task created,Tugas dibuat
Task deleted,Tugas dihapus
Task description has been saved.,Deskripsi tugas telah disimpan.
Task Details,Detail Tugas
Task due in {0} days: {1},Tugas jatuh tempo dalam {0} hari: {1}
Task due today: {0},Tugas jatuh tempo hari ini: {0}
Task due tomorrow: {0},Tugas jatuh tempo besok: {0}
Task duplicated,Tugas diduplikasi
Task Group,Grup Tugas
Task ID is required,ID Tugas diperlukan
Task is blocked by incomplete dependencies,Tugas diblokir oleh dependensi yang belum selesai
Task is cancelled,Tugas dibatalkan
Task is completed,Tugas selesai
Task is no longer blocked by a group,Tugas tidak lagi diblokir oleh grup
Task is required for task context,Tugas diperlukan untuk konteks tugas
Task is required when tracking context is 'task',Tugas diperlukan saat konteks pelacakan adalah 'tugas'
Task linked,Tugas ditautkan
Task moved,Tugas dipindahkan
Task name,Nama tugas
Task name is required,Nama tugas diperlukan
Task removed from group,Tugas dihapus dari grup
Task Subject,Subjek Tugas
Task subject is required,Subjek tugas diperlukan
Task Type,Tipe Tugas
Task unblocked: {0},Tugas tidak terblokir: {0}
Task unlinked,Tugas dilepas tautannya
Task updated,Tugas diperbarui
Task {0} not found,Tugas {0} tidak ditemukan
Task {0} not in project {1},Tugas {0} tidak ada di proyek {1}
Task {0} to Frappe,Tugas {0} ke Frappe
Tasks,Tugas
tasks,tugas
Tasks and milestones will be created with dates relative to the project start date.,Tugas dan milestone akan dibuat dengan tanggal relatif terhadap tanggal mulai proyek.
Tasks assigned to you across all projects.,Tugas yang ditugaskan kepada Anda di seluruh proyek.
Tasks created:,Tugas dibuat:
Tasks from projects you manage.,Tugas dari proyek yang Anda kelola.
Tasks updated:,Tugas diperbarui:
"Tasks, milestones, and dependencies have been created.","Tugas, milestone, dan dependensi telah dibuat."
Tasks:,Tugas:
TBD,TBD
Team,Tim
Team Members,Anggota Tim
Template,Templat
Template applied,Templat diterapkan
Template data is required in import data,Data templat diperlukan dalam data impor
Template has no data,Templat tidak memiliki data
Template Name,Nama Templat
Template name,Nama templat
Template name is required,Nama templat diperlukan
Template name is required in import data,Nama templat diperlukan dalam data impor
Template saved,Templat disimpan
Template updated successfully.,Templat berhasil diperbarui.
Template {0} not found,Templat {0} tidak ditemukan
Templates,Templat
Tentative,Tentatif
The comment has been deleted,Komentar telah dihapus
The project,Proyek
The source document may have been deleted.,Dokumen sumber mungkin telah dihapus.
The source document will not be affected.,Dokumen sumber tidak akan terpengaruh.
The status of '{0}' was changed from {1} to {2}.,Status '{0}' diubah dari {1} menjadi {2}.
Theme,Tema
Theme preference,Preferensi tema
This action,Tindakan ini
This action cannot be undone.,Tindakan ini tidak dapat dibatalkan.
This activity has been flagged for attention,Aktivitas ini telah ditandai untuk perhatian
This is a reminder for your upcoming appointment,Ini adalah pengingat untuk janji temu Anda yang akan datang
This method is only meant for developer mode,Metode ini hanya untuk mode pengembang
This page wandered off,This page wandered off
This Week,Minggu Ini
This will delete all notes and preferences associated with this activity.,Ini akan menghapus semua catatan dan preferensi yang terkait dengan aktivitas ini.
This will import all Frappe Projects into Orga. Continue?,Ini akan mengimpor semua Frappe Projects ke Orga. Lanjutkan?
This will permanently delete,Ini akan menghapus secara permanen
This will permanently delete:,Ini akan menghapus secara permanen:
Thu,Kam
Time,Waktu
Time & Billing,Waktu & Penagihan
Time & Revenue,Waktu & Pendapatan
Time Entries,Entri Waktu
Time log name is required,Nama catatan waktu diperlukan
Time Log not found,Catatan Waktu tidak ditemukan
Time log {0} not found,Catatan waktu {0} tidak ditemukan
Time Logs,Catatan Waktu
Time Summary,Ringkasan Waktu
Time Tracking,Pencatatan Waktu
Timeline,Linimasa
Timer active on,Pengatur waktu aktif pada
Timer is not running,Pengatur waktu tidak berjalan
Timer Running,Pengatur Waktu Berjalan
Timer running,Pengatur waktu berjalan
Timesheet DocType not available,DocType Timesheet tidak tersedia
Timesheets,Lembar Waktu
Timezone,Zona Waktu
Timezone is detected from your browser,Zona waktu terdeteksi dari browser Anda
Title,Judul
Title cannot exceed 255 characters,Judul tidak boleh lebih dari 255 karakter
Title is required,Judul diperlukan
Title updated,Judul diperbarui
To,Ke
to,ke
to cancel,untuk membatalkan
to close,untuk menutup
to confirm:,untuk mengonfirmasi:
to edit,untuk mengedit
"to save,","untuk menyimpan,"
To Time cannot be before From Time,Waktu Selesai tidak boleh sebelum Waktu Mulai
Today,Hari Ini
today,hari ini
Toggle billable,Alihkan status tagihan
Toggle Details Panel,Alihkan Panel Detail
Toggle Manager Panel,Alihkan Panel Manajer
Toggle Sidebar,Alihkan Bilah Samping
Tomorrow,Besok
tomorrow,besok
Total,Total
Total Budget,Total Anggaran
Total Contacts,Total Kontak
Total Cost,Total Biaya
Total Cost to Org,Total Biaya untuk Organisasi
Total Defect Cost,Total Biaya Cacat
Total Hours,Total Jam
Total Hours Logged,Total Jam Tercatat
Total Projects,Total Proyek
Total Spent,Total Terpakai
Total Tasks,Total Tugas
Total:,Total:
Tracked,Dilacak
trails to today while Open at 0%,mengikuti jejak hingga hari ini selama Terbuka di 0%
Tried:,Tried:
Try adjusting your filter criteria,Coba sesuaikan kriteria filter Anda
Try adjusting your filters.,Coba sesuaikan filter Anda.
Try Again,Coba Lagi
Tue,Sel
Type,Tipe
Type updated,Tipe diperbarui
Type:,Tipe:
Typical response time: 1-2 business days,Waktu respons biasa: 1-2 hari kerja
Unarchive,Batalkan Arsip
Unarchive Activity,Batalkan Arsip Aktivitas
Unassign,Batalkan Penugasan
Unassigned,Belum Ditugaskan
Under Budget,Di Bawah Anggaran
Ungrouped,Tidak Dikelompokkan
Unknown,Tidak Diketahui
Unknown error,Kesalahan tidak diketahui
Unlink failed,Gagal melepas tautan
Unlink task from milestone,Lepas tautan tugas dari milestone
Unpin,Lepas Sematan
Unpin Activity,Lepas Sematan Aktivitas
Unread,Belum Dibaca
Unread only,Belum dibaca saja
Until,Sampai
Up to Date,Up to Date
Upcoming,Mendatang
upcoming,mendatang
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Gagal memperbarui
Updated,Diperbarui
Updated successfully,Berhasil diperbarui
Updates,Updates
Upload,Unggah
