+ Add Milestone,+ Legg til milepael
Last updated:,Sist oppdatert:
Last Week,Forrige uke
Latest Version,Latest Version
Light,Lys
Link failed,Lenking mislyktes
Link Task,Lenk oppgave
Linked,Lenket
Linked employee not found,Lenket ansatt ikke funnet
Linked Tasks,Lenkede oppgaver
List,Liste
List View,Listevisning
Load failed,Lasting mislyktes
Load More,Last mer
Load more comments,Last flere kommentarer
Loading activity...,Laster aktivitet...
Loading changes...,Laster endringer...
Loading checklist...,Laster sjekkliste...
Loading comments...,Laster kommentarer...
Loading contact...,Laster kontakt...
Loading contacts...,Laster kontakter...
Loading dependencies...,Laster avhengigheter...
Loading details...,Laster detaljer...
Loading discussion...,Laster diskusjon...
Loading events...,Laster arrangementer...
Loading files...,Laster filer...
Loading notes...,Laster notater...
Loading preferences...,Laster innstillinger...
Loading project...,Laster prosjekt...
Loading projects...,Laster prosjekter...
Loading replies...,Laster svar...
Loading report data...,Laster rapportdata...
Loading settings...,Laster innstillinger...
Loading task...,Laster oppgave...
Loading templates...,Laster maler...
Loading time logs...,Laster tidsoppforinger...
Loading your portal...,Laster portalen din...
Loading...,Laster...
Location,Sted
Log Time,Registrer tid
Logout,Logg ut
Low,Lav
Make Offer,Lag tilbud
Manager,Leder
Manual Entry,Manuell oppforing
Margin,Margin
Mark all as read,Merk alle som lest
Mark all read,Merk alle som lest
Mark as read,Merk som lest
Mark as unread,Merk som ulest
Mark read,Merk som lest
Marking...,Merker...
Material,Materiale
Maybe,Kanskje
Medium,Middels
Meeting,Mote
Meeting Link,Motelenke
Meeting title,Motetittel
Meeting URL,Mote-URL
Meetings,Moter
Mention,Nevn
Message,Melding
Message is required,Melding er pakrevd
Message is required for '{0}' action,"Melding er pakrevd for handlingen ""{0}"""
Migrate,Migrer
Migration Complete,Migrering fullfort
Migration ID:,Migrerings-ID:
Migration log not found: {0},Migreringslogg ikke funnet: {0}
Milestone,Milepael
milestone,milepael
Milestone created,Milepael opprettet
Milestone description has been saved.,Milepael-beskrivelse er lagret.
Milestone ID is required,Milepael-ID er pakrevd
Milestone marked as Missed (past due date),Milepael merket som ubesvart (forfallsdato passert)
Milestone moved,Milepael flyttet
Milestone Name,Milepael-navn
Milestone name has been saved.,Milepael-navn er lagret.
Milestone name is required,Milepael-navn er pakrevd
Milestone updated,Milepael oppdatert
Milestone {0} not found,Milepael {0} ikke funnet
Milestone {0} not in project {1},Milepael {0} finnes ikke i prosjekt {1}
Milestones,Milepaeler
milestones,milepaeler
Milestones:,Milepaeler:
Minutes,Minutter
Missed,Ubesvart
Mixed,Blandet
Mobile,Mobil
Moderate,Moderat
Modified,Endret
"Modify details, time, or attendees","Endre detaljer, tid eller deltakere"
Mon,Man
Month,Maned
Move failed,Flytting mislyktes
Must be a positive number,Ma vaere et positivt tall
Must finish before this finishes,Ma slutte for dette slutter
Must finish before this starts,Ma slutte for dette starter
Must start before this finishes,Ma starte for dette slutter
Must start before this starts,Ma starte for dette starter
My Assignments,Mine tildelinger
My Projects,Mine prosjekter
My Schedule,Min timeplan
My Tasks,Mine oppgaver
N/A,I/T
Name,Navn
Name (A-Z),Navn (A-A)
Name (Z-A),Navn (A-A)
Name cannot exceed 255 characters,Navn kan ikke overskride 255 tegn
Need help?,Trenger du hjelp?
Needs Attention,Trenger oppmerksomhet
Never,Never
new activities,nye aktiviteter
New Activity,Ny aktivitet
New activity,Ny aktivitet
New Event,Nytt arrangement
New index is required,Ny indeks er pakrevd
New Project,Nytt prosjekt
New tasks will auto-trail by default.,Nye oppgaver far automatisk glidende start som standard.
Newest First,Nyeste forst
Next,Neste
Next 14 days,Neste 14 dager
Next 30 days,Neste 30 dager
Next 60 days,Neste 60 dager
Next 7 days,Neste 7 dager
Next 90 days,Neste 90 dager
Next Week,Neste uke
Next:,Neste:
No,Nei
No active assignments,Ingen aktive tildelinger
No active projects,Ingen aktive prosjekter
No active timer found,Ingen aktiv tidtaker funnet
No activity selected,Ingen aktivitet valgt
No assignments found,Ingen tildelinger funnet
No attendees,Ingen deltakere
no change,ingen endring
No changes for this field.,Ingen endringer for dette feltet.
No changes recorded for this activity.,Ingen endringer registrert for denne aktiviteten.
No checklist items yet,Ingen sjekklistepunkter ennas
No checklist items yet.,Ingen sjekklistepunkter ennas.
No comments yet,Ingen kommentarer ennas
No comments yet.,Ingen kommentarer ennas.
No contacts available,Ingen kontakter tilgjengelige
No content for this tab,Ikke noe innhold for denne fanen
No data available,Ingen data tilgjengelige
No data available for the selected filters,Ingen data tilgjengelige for valgte filtre
No data to export,Ingen data a eksportere
No dates set,Ingen datoer angitt
No defects reported,Ingen feil rapportert
No dependencies defined,Ingen avhengigheter definert
No description,Ingen beskrivelse
No discussion yet.,Ingen diskusjon ennas.
No documents attached,Ingen dokumenter vedlagt
No due date,Ingen forfallsdato
No employee linked to this resource,Ingen ansatt lenket til denne ressursen
No ERPNext employee linked to resource,Ingen ERPNext-ansatt lenket til ressurs
No events found,Ingen arrangementer funnet
No files attached yet.,Ingen filer vedlagt ennas.
No Frappe Project linked,Ingen Frappe-prosjekt lenket
No Grouping,Ingen gruppering
No items,Ingen elementer
No matching tasks,Ingen samsvarende oppgaver
No matching tasks found,Ingen samsvarende oppgaver funnet
No migration history,Ingen migreringshistorikk
No Milestone,Ingen milepael
No milestones,Ingen milepaeler
No milestones defined for this project.,Ingen milepaeler definert for dette prosjektet.
No notes yet.,Ingen notater ennas.
No notes yet. Add a due diligence note to track progress.,Ingen notater ennas. Legg til et forhandsvurderingsnotat for a folge fremdriften.
No notifications,Ingen varsler
No Orga Project linked to Frappe Project {0},Ingen Orga-prosjekt lenket til Frappe-prosjekt {0}
No overdue tasks,Ingen forsinkede oppgaver
No pending cascade changes,Ingen ventende kaskadeendringer
No predecessors - this task can start independently,Ingen forgjengere -- denne oppgaven kan starte uavhengig
No project,Ingen prosjekt
No projects found,Ingen prosjekter funnet
No Projects Yet,Ingen prosjekter ennas
No recent activity,Ingen nylig aktivitet
No related documents,Ingen relaterte dokumenter
No resolved threads.,Ingen loste trader.
No resources found,Ingen ressurser funnet
No results found,Ingen resultater funnet
No skills listed,Ingen kompetanser oppfort
No skills recorded yet,Ingen kompetanser registrert ennas
No successors - no tasks are waiting for this one,Ingen etterfolgere -- ingen oppgaver venter pa denne
No task selected,Ingen oppgave valgt
No tasks assigned to you,Ingen oppgaver tildelt deg
No tasks available to add,Ingen oppgaver tilgjengelige a legge til
No tasks found,Ingen oppgaver funnet
No tasks linked to this milestone,Ingen oppgaver lenket til denne milepelen
No tasks with dates to display,Ingen oppgaver med datoer a vise
No tasks yet,Ingen oppgaver ennas
No team members,Ingen teammedlemmer
No template,Ingen mal
No templates yet,Ingen maler ennas
No time data found,Ingen tidsdata funnet
No time logged today,Ingen tid registrert i dag
No time logged yet,Ingen tid registrert ennas
No time logs for this period,Ingen tidsoppforinger for denne perioden
No time logs found,Ingen tidsoppforinger funnet
No unread notifications,Ingen uleste varsler
No update information available yet.,No update information available yet.
None,Ingen
Not found,Ikke funnet
Not permitted,Ikke tillatt
Not permitted to access this project,Ikke tillatt a fa tilgang til dette prosjektet
Not permitted to access this task,Ikke tillatt a fa tilgang til denne oppgaven
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ikke tillatt a kommentere dette dokumentet
Not permitted to create clients,Ikke tillatt a opprette klienter
Not permitted to delete this client,Ikke tillatt a slette denne klienten
Not permitted to delete this defect,Ikke tillatt a slette denne feilen
Not permitted to delete this note,Ikke tillatt a slette dette notatet
Not permitted to delete this project,Ikke tillatt a slette dette prosjektet
Not permitted to delete this task,Ikke tillatt a slette denne oppgaven
Not permitted to delete this time log,Ikke tillatt a slette denne tidsoppforingen
Not permitted to invite clients,Ikke tillatt a invitere klienter
Not permitted to modify client access,Ikke tillatt a endre klienttilgang
Not permitted to modify this project,Ikke tillatt a endre dette prosjektet
Not permitted to update settings,Ikke tillatt a oppdatere innstillinger
Not permitted to update this client,Ikke tillatt a oppdatere denne klienten
Not permitted to view this client,Ikke tillatt a vise denne klienten
not sent,ikke sendt
Not set,Ikke angitt
Not specified,Ikke spesifisert
Note,Notat
Note (optional),Notat (valgfritt)
Note Content,Notatinnhold
Note content is required,Notatinnhold er pakrevd
Note name is required,Notatnavn er pakrevd
Note not found,Notat ikke funnet
Note Type,Notattype
Notes,Notater
Notification,Varsel
Notification not found,Varsel ikke funnet
Notifications,Varsler
Off Track,Ute av kurs
Offer,Tilbud
Offer Prepared,Tilbud utarbeidet
Oldest First,Eldst forst
On Hold,Pa vent
On Leave,Pa permisjon
On Track,I rute
On-Time Rate,Punktlighetsrate
Only administrators can delete activities,Bare administratorer kan slette aktiviteter
Only the comment author or administrators can delete comments,Bare kommentarforfatteren eller administratorer kan slette kommentarer
Only you and admins,Bare deg og administratorer
Open,Apen
Open in Desk,Apne i Desk
Open Task Log,Apne oppgavelogg
Open Tasks,Apne oppgaver
Optional,Valgfritt
optional,valgfritt
Or email us directly at,Eller send oss e-post direkte pa
Orga Project {0} from Frappe Projects,Orga-prosjekt {0} fra Frappe Projects
Orga Task {0} from Frappe,Orga-oppgave {0} fra Frappe
Organizer,Arrangor
Other,Annet
Over Budget,Over budsjett
Overall Progress,Samlet fremdrift
Overall Utilization,Samlet utnyttelse
Overallocated,Overtildelt
Overdue,Forsinket
overdue,forsinket
Overdue Tasks,Forsinkede oppgaver
Overview,Oversikt
Owner,Eier
Page Not Found,Siden ble ikke funnet
Parent,Overordnet
Parent comment must belong to the same document,Overordnet kommentar ma tilhore samme dokument
Parent comment not found,Overordnet kommentar ikke funnet
Parent project not synced to Frappe yet,Overordnet prosjekt er ikke synkronisert med Frappe ennas
Parent project sync not enabled,Overordnet prosjektsynkronisering er ikke aktivert
Partner,Partner
Pending,Ventende
per page,per side
Perform initial assessment and background check,Utfor innledende vurdering og bakgrunnssjekk
Permanently remove this event,Fjern dette arrangementet permanent
Permanently remove this task,Fjern denne oppgaven permanent
Phone,Telefon
Pin,Fest
Pin Activity,Fest aktivitet
Pin to top,Fest overst
Pinned,Festet
Planned budget for this task,Planlagt budsjett for denne oppgaven
Planning,Planlegging
Please describe your question or issue in detail...,Beskriv sporsmalet eller problemet ditt i detalj...
Please login to access Orga,Logg inn for a fa tilgang til Orga
Please login to access the client portal,Logg inn for a fa tilgang til klientportalen
Please respond to this invitation in Orga,Svar pa denne invitasjonen i Orga
Please select an image file,Velg en bildefil
Please try again,Forsok igjen
Please type,Skriv
Portal,Portal
Portal access revoked for {0},Portaltilgang tilbakekalt for {0}
Portal user created successfully. Welcome email {0},Portalbruker opprettet. Velkomst-e-post {0}
Post,Publiser
Powered by,Drevet av
Powered by Tonic,Drevet av Tonic
Predecessors (Blocked By),Forgjengere (blokkert av)
Preferences,Innstillinger
Preferences saved successfully,Innstillinger lagret
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefiks for automatisk genererte prosjektkoder (f.eks. ORG-2026-0001)
Prepare and document offer terms,Forbered og dokumenter tilbudsvilkar
Press,Trykk
Preview,Forhandsvisning
Preview cascade before applying,Forhandsvis kaskade for bruk
Previous,Forrige
Priority,Prioritet
Priority assigned to new tasks,Prioritet tildelt nye oppgaver
Priority updated,Prioritet oppdatert
Proficiency,Kompetanseniva
Profile,Profil
Progress,Fremdrift
Progress (High-Low),Fremdrift (synkende)
Progress (Low-High),Fremdrift (stigende)
Progress Overview,Fremdriftsoversikt
Progress updated,Fremdrift oppdatert
Project,Prosjekt
Project budget has been saved.,Prosjektbudsjettet er lagret.
Project code (e.g. ORG-2026-0001),Prosjektkode (f.eks. ORG-2026-0001)
Project Code Prefix,Prosjektkodeprefiks
Project created,Prosjekt opprettet
Project deleted,Prosjekt slettet
Project description has been saved.,Prosjektbeskrivelsen er lagret.
Project Details,Prosjektdetaljer
Project end date has been saved.,Prosjektets sluttdato er lagret.
Project Files,Prosjektfiler
Project has no linked client,Prosjektet har ingen tilknyttet klient
Project Health,Prosjekthelse
Project Info,Prosjektinformasjon
Project is required,Prosjekt er pakrevd
Project is required for project context,Prosjekt er pakrevd for prosjektkontekst
Project is required when tracking context is 'project',"Prosjekt er pakrevd nar oppfolgingskonteksten er ""prosjekt"""
Project Manager,Prosjektleder
Project Name,Prosjektnavn
Project name and template name are required,Prosjektnavn og malnavn er pakrevd
Project name is required,Prosjektnavn er pakrevd
Project not found,Prosjekt ikke funnet
Project not found or you do not have access,Prosjekt ikke funnet eller du mangler tilgang
Project settings,Prosjektinnstillinger
Project start date has been saved.,Prosjektets startdato er lagret.
Project title has been saved.,Prosjektets tittel er lagret.
Project Type,Prosjekttype
Project updated,Prosjekt oppdatert
Project {0} linked to client {1},Prosjekt {0} tilknyttet klient {1}
Project {0} not found,Prosjekt {0} ikke funnet
Project {0} to Frappe Projects,Prosjekt {0} til Frappe Projects
Project:,Prosjekt:
Projects,Prosjekter
projects,prosjekter
Projects created:,Prosjekter opprettet:
Projects Overview,Prosjektoversikt
Projects skipped:,Prosjekter hoppet over:
Projects updated:,Prosjekter oppdatert:
Promote failed,Forfremming mislyktes
Promote to task,Forfrem til oppgave
Promoted to task,Forfremmet til oppgave
Propose,Foresla
Propose New Time,Foresla nytt tidspunkt
Propose Time,Foresla tidspunkt
Proposed End,Foreslatt slutt
Proposed Start,Foreslatt start
Public,Offentlig
Quick Action,Hurtighandling
Quick Actions,Hurtighandlinger
Quick Stats,Hurtigstatistikk
Rates,Satser
Receive notifications via email,Motta varsler via e-post
Receive notifications within the application,Motta varsler i applikasjonen
Recent Activity,Nylig aktivitet
Recipient {0} is not a valid user,Mottaker {0} er ikke en gyldig bruker
Reference,Referanse
Refresh,Oppdater
Related,Relatert
Related Company (optional),Relatert selskap (valgfritt)
Related Documents,Relaterte dokumenter
Related Project,Relatert prosjekt
Remaining,Gjenstaende
Reminder,Paminnelse
Reminder Lead Time,Paminnelsestid pa forhand
Reminder: {0} - {1} at {2},Paminnelse: {0} - {1} kl. {2}
Remove,Fjern
Remove dependency,Fjern avhengighet
Remove dependency on,Fjern avhengighet pa
Remove from group,Fjern fra gruppe
Remove group dependency,Fjern gruppeavhengighet
Remove skill,Fjern kompetanse
Reopen,Gjenapne
Reopen thread,Gjenapne trad
reopened,gjenapnet
replies,svar
Reply,Svar
reply,svar
Replying to,Svarer pa
Replying to comment,Svarer pa kommentar
Report Defect,Rapporter feil
Reported Date,Rapportert dato
Reports,Rapporter
Reports To,Rapporterer til
Request Submitted!,Foresporselen er sendt!
Required,Pakrevd
required,pakrevd
Research,Forskning
Reset to Defaults,Tilbakestill til standard
Resolve,Los
Resolve thread,Los trad
Resolved,Lost
Resolved date cannot be before reported date,Losningsdato kan ikke vaere for rapporteringsdato
Resource,Ressurs
Resource and skill name are required,Ressurs og kompetansenavn er pakrevd
Resource is already an attendee,Ressursen er allerede en deltaker
Resource name is required,Ressursnavn er pakrevd
Resource not found,Ressurs ikke funnet
Resource synced from employee {0},Ressurs synkronisert fra ansatt {0}
Resource {0} is already assigned to this task ({1}),Ressurs {0} er allerede tildelt denne oppgaven ({1})
Resource {0} not found,Ressurs {0} ikke funnet
Resources,Kontakter
Retry,Forsok igjen
Review,Gjennomgang
Review all relevant documents and contracts,Gjennom ga alle relevante dokumenter og kontrakter
Reviews,Gjennomganger
Risk Assessment,Risikovurdering
Rollback,Tilbakestill
Rolled back,Tilbakestilt
Room or address,Rom eller adresse
RSVP,RSVP
Safety,Sikkerhet
Sat,Lor
Save,Lagre
"Save a project as a template, or import one from a JSON file.","Lagre et prosjekt som mal, eller importer en fra en JSON-fil."
Save as Template,Lagre som mal
Save Changes,Lagre endringer
Save failed,Lagring mislyktes
Save Preferences,Lagre innstillinger
Save Template,Lagre mal
Saving...,Lagrer...
Schedule,Timeplan
Schedule type is required for scheduled triggers,Tidsplantype er pakrevd for planlagte utlosere
Scheduled,Planlagt
Search,Sok
"Search by name, email, or skill...","Sok etter navn, e-post eller kompetanse..."
Search for a project...,Sok etter et prosjekt...
Search for a task...,Sok etter en oppgave...
Search for an event...,Sok etter et arrangement...
Search for people to invite...,Sok etter personer a invitere...
Search tasks to link...,Sok oppgaver a lenke...
Search tasks...,Sok oppgaver...
Search...,Sok...
Searching...,Soker...
Seen,Sett
Select a project if your request is related to a specific project.,Velg et prosjekt hvis foresporselen din gjelder et bestemt prosjekt.
Select a project...,Velg et prosjekt...
Select a task from the Gantt chart to view and manage its details.,Velg en oppgave fra Gantt-diagrammet for a se og handtere detaljene.
Select a task from the list or Kanban board to view and manage its details.,Velg en oppgave fra listen eller Kanban-tavlen for a se og handtere detaljene.
Select a template...,Velg en mal...
Select priority...,Velg prioritet...
Select status...,Velg status...
Select task...,Velg oppgave...
Select type...,Velg type...
Selection,Utvalg
Send,Send
Send comment,Send kommentar
Send email invitations to attendees,Send e-postinvitasjoner til deltakere
Send Invitations,Send invitasjoner
Send notification when a task is assigned to a user,Send varsel nar en oppgave tildeles en bruker
Send notification when task status changes,Send varsel nar oppgavestatus endres
Send reminder before task due date,Send paminnelse for oppgavens forfallsdato
sent,sendt
Set rate,Angi sats
Settings,Innstillinger
Settings saved successfully,Innstillinger lagret
Severity,Alvorlighetsgrad
SF (Start-Finish),SF (Start-Slutt)
SF - Start-to-Finish,SF - Start-til-Slutt
Show,Vis
Show all,Vis alle
Show all changes,Vis alle endringer
Show Archived,Vis arkiverte
Show full diff,Vis fullstendig forskjell
Show less,Vis mindre
Show more,Vis mer
Skill added,Kompetanse lagt til
Skill is required,Kompetanse er pakrevd
Skill Name,Kompetansenavn
Skill removed,Kompetanse fjernet
Skill {0} already exists for this resource,Kompetanse {0} finnes allerede for denne ressursen
Skills,Kompetanser
Skills & Competencies,Ferdigheter og kompetanser
Skip already migrated projects,Hopp over allerede migrerte prosjekter
Sort by,Sorter etter
Sort: Due Date,Sortering: Forfallsdato
Sort: Priority,Sortering: Prioritet
Sort: Project,Sortering: Prosjekt
Sort: Status,Sortering: Status
Sort: Task,Sortering: Oppgave
Source Code,Kildekode
Spent,Forbrukt
Spent:,Forbrukt:
SS (Start-Start),SS (Start-Start)
SS - Start-to-Start,SS - Start-til-Start
Standalone,Fritstaende
Start,Start
Start a discussion below,Start en diskusjon nedenfor
Start Date,Startdato
Start date,Startdato
Start Date (Earliest),Startdato (tidligst)
Start date updated,Startdato oppdatert
Start date/time is required,Startdato/-tid er pakrevd
Start Migration,Start migrering
Start the conversation below.,Begynn samtalen nedenfor.
Start Timer,Start tidtaker
Start typing to search...,Begynn a skrive for a soke...
Start-to-Finish,Start-til-Slutt
Start-to-Start,Start-til-Start
Start:,Start:
Statistics reset,Statistikk tilbakestilt
Status,Status
Status assigned to new projects,Status tildelt nye prosjekter
Status assigned to new tasks,Status tildelt nye oppgaver
Status Changes,Statusendringer
Status updated,Status oppdatert
Status:,Status:
Stop,Stopp
Stop & Save,Stopp og lagre
Stop Timer,Stopp tidtaker
Stops current timer and starts for this event,Stopper gjeldende tidtaker og starter for dette arrangementet
Stops current timer and starts for this task,Stopper gjeldende tidtaker og starter for denne oppgaven
Subject,Emne
Subject cannot exceed 255 characters,Emne kan ikke overskride 255 tegn
Subject is required,Emne er pakrevd
Submit,Send inn
Submit Another Request,Send inn en ny foresporseln
Submit Request,Send inn foresporselen
Submitting...,Sender...
Successfully saved,Lagret
Successors (Blocking),Etterfolgere (blokkerer)
Sun,Son
Supplier,Leverandor
Support,Stotte
Switch to this event,Bytt til dette arrangementet
Switch to this task,Bytt til denne oppgaven
Sync direction is set to Frappe to Orga only,Synkroniseringsretning er satt til kun Frappe til Orga
Sync direction is set to Orga to Frappe only,Synkroniseringsretning er satt til kun Orga til Frappe
Sync not enabled for this project,Synkronisering er ikke aktivert for dette prosjektet
System,System
Table,Tabell
Take ownership of this task,Ta ansvar for denne oppgaven
Target Date,Maldato
Target End,Malslutt
Target Project,Malprosjekt
Target user is required for '{0}' action,"Malbruker er pakrevd for handlingen ""{0}"""
Task,Oppgave
task,oppgave
Task '{0}' is due on {1}.,"Oppgave ""{0}"" forfaller {1}."
Task and resource are required,Oppgave og ressurs er pakrevd
Task Assignment,Oppgavetildeling
Task cannot be its own parent,En oppgave kan ikke vaere sin egen overordnet
Task cannot depend on itself,En oppgave kan ikke avhenge av seg selv
Task cannot depend on the group it belongs to,En oppgave kan ikke avhenge av gruppen den tilhorer
Task created,Oppgave opprettet
Task deleted,Oppgave slettet
Task description has been saved.,Oppgavebeskrivelsen er lagret.
Task Details,Oppgavedetaljer
Task due in {0} days: {1},Oppgave forfaller om {0} dager: {1}
Task due today: {0},Oppgave forfaller i dag: {0}
Task due tomorrow: {0},Oppgave forfaller i morgen: {0}
Task duplicated,Oppgave kopiert
Task Group,Oppgavegruppe
Task ID is required,Oppgave-ID er pakrevd
Task is blocked by incomplete dependencies,Oppgaven er blokkert av ufullstendige avhengigheter
Task is cancelled,Oppgaven er avbrutt
Task is completed,Oppgaven er fullfort
Task is no longer blocked by a group,Oppgaven er ikke lenger blokkert av en gruppe
Task is required for task context,Oppgave er pakrevd for oppgavekontekst
Task is required when tracking context is 'task',"Oppgave er pakrevd nar oppfolgingskonteksten er ""oppgave"""
Task linked,Oppgave lenket
Task moved,Oppgave flyttet
Task name,Oppgavenavn
Task name is required,Oppgavenavn er pakrevd
Task removed from group,Oppgave fjernet fra gruppe
Task Subject,Oppgaveemne
Task subject is required,Oppgaveemne er pakrevd
Task Type,Oppgavetype
Task unblocked: {0},Oppgave avblokkert: {0}
Task unlinked,Oppgave avlenket
Task updated,Oppgave oppdatert
Task {0} not found,Oppgave {0} ikke funnet
Task {0} not in project {1},Oppgave {0} finnes ikke i prosjekt {1}
Task {0} to Frappe,Oppgave {0} til Frappe
Tasks,Oppgaver
tasks,oppgaver
Tasks and milestones will be created with dates relative to the project start date.,Oppgaver og milepaeler opprettes med datoer relative til prosjektets startdato.
Tasks assigned to you across all projects.,Oppgaver tildelt deg i alle prosjekter.
Tasks created:,Oppgaver opprettet:
Tasks from projects you manage.,Oppgaver fra prosjekter du leder.
Tasks updated:,Oppgaver oppdatert:
"Tasks, milestones, and dependencies have been created.","Oppgaver, milepaeler og avhengigheter er opprettet."
Tasks:,Oppgaver:
TBD,Ikke avgjort
Team,Team
Team Members,Teammedlemmer
Template,Mal
Template applied,Mal brukt
Template data is required in import data,Maldata er pakrevd i importdata
Template has no data,Malen har ingen data
Template Name,Malnavn
Template name,Malnavn
Template name is required,Malnavn er pakrevd
Template name is required in import data,Malnavn er pakrevd i importdata
Template saved,Mal lagret
Template updated successfully.,Mal oppdatert.
Template {0} not found,Mal {0} ikke funnet
Templates,Maler
Tentative,Forelopig
The comment has been deleted,Kommentaren er slettet
The project,Prosjektet
The source document may have been deleted.,Kildedokumentet kan ha blitt slettet.
The source document will not be affected.,Kildedokumentet pavirkes ikke.
The status of '{0}' was changed from {1} to {2}.,"Statusen til ""{0}"" ble endret fra {1} til {2}."
Theme,Tema
Theme preference,Temainnstilling
This action,Denne handlingen
This action cannot be undone.,Denne handlingen kan ikke angres.
This activity has been flagged for attention,Denne aktiviteten er flagget for oppmerksomhet
This is a reminder for your upcoming appointment,Dette er en paminnelse om ditt kommende mote
This method is only meant for developer mode,Denne metoden er kun ment for utviklermodus
This page wandered off,This page wandered off
This Week,Denne uken
This will delete all notes and preferences associated with this activity.,Dette sletter alle notater og innstillinger tilknyttet denne aktiviteten.
This will import all Frappe Projects into Orga. Continue?,Dette importerer alle Frappe-prosjekter til Orga. Fortsette?
This will permanently delete,Dette sletter permanent
This will permanently delete:,Dette sletter permanent:
Thu,Tor
Time,Tid
Time & Billing,Tid og fakturering
Time & Revenue,Tid og inntekter
Time Entries,Tidsoppforinger
Time log name is required,Navn pa tidsoppforing er pakrevd
Time Log not found,Tidsoppforing ikke funnet
Time log {0} not found,Tidsoppforing {0} ikke funnet
Time Logs,Tidsoppforinger
Time Summary,Tidsoversikt
Time Tracking,Tidsregistrering
Timeline,Tidslinje
Timer active on,Tidtaker aktiv pa
Timer is not running,Tidtakeren er ikke i gang
Timer Running,Tidtaker i gang
Timer running,Tidtaker i gang
Timesheet DocType not available,DocType for timeliste ikke tilgjengelig
Timesheets,Timelister
Timezone,Tidssone
Timezone is detected from your browser,Tidssone oppdages fra nettleseren din
Title,Tittel
Title cannot exceed 255 characters,Tittel kan ikke overskride 255 tegn
Title is required,Tittel er pakrevd
Title updated,Tittel oppdatert
To,Til
to,til
to cancel,for a avbryte
to close,for a lukke
to confirm:,for a bekrefte:
to edit,for a redigere
"to save,","for a lagre,"
To Time cannot be before From Time,Sluttid kan ikke vaere for starttid
Today,I dag
today,i dag
Toggle billable,Veksle fakturerbar
Toggle Details Panel,Vis/skjul detaljpanelet
Toggle Manager Panel,Vis/skjul lederpanelet
Toggle Sidebar,Vis/skjul sidefelt
Tomorrow,I morgen
tomorrow,i morgen
Total,Totalt
Total Budget,Totalt budsjett
Total Contacts,Totalt antall kontakter
Total Cost,Total kostnad
Total Cost to Org,Total kostnad for organisasjonen
Total Defect Cost,Total feilkostnad
Total Hours,Totalt antall timer
Total Hours Logged,Totalt antall registrerte timer
Total Projects,Totalt antall prosjekter
Total Spent,Totalt forbrukt
Total Tasks,Totalt antall oppgaver
Total:,Totalt:
Tracked,Fulgt
trails to today while Open at 0%,glir til i dag mens Apen ved 0%
Tried:,Tried:
Try adjusting your filter criteria,Forsok a justere filterkriteriene
Try adjusting your filters.,Forsok a justere filtrene.
Try Again,Forsok igjen
Tue,Tir
Type,Type
Type updated,Type oppdatert
Type:,Type:
Typical response time: 1-2 business days,Typisk svartid: 1-2 virkedager
Unarchive,Avarkiver
Unarchive Activity,Avarkiver aktivitet
Unassign,Fjern tildeling
Unassigned,Ikke tildelt
Under Budget,Under budsjett
Ungrouped,Ugruppert
Unknown,Ukjent
Unknown error,Ukjent feil
Unlink failed,Avlenking mislyktes
Unlink task from milestone,Avlenk oppgave fra milepael
Unpin,Fest av
Unpin Activity,Fest av aktivitet
Unread,Ulest
Unread only,Kun uleste
Until,Til og med
Up to Date,Up to Date
Upcoming,Kommende
upcoming,kommende
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Oppdatering mislyktes
Updated,Oppdatert
Updated successfully,Oppdatert
Updates,Updates
Upload,Last opp
Upload failed,Opplasting mislyktes
Upload files below to attach them to this task.,Last opp filer nedenfor for a legge dem ved denne oppgaven.
Upload to project,Last opp til prosjekt
Uploading...,Laster opp...
Urgent,Haster
User {0} is already linked to client {1},Bruker {0} er allerede lenket til klient {1}
User {0} is already linked to resource {1},Bruker {0} er allerede lenket til ressurs {1}
Utilization,Utnyttelse
Valid,Gyldig
Value:,Verdi:
Variance,Avvik
Variance:,Avvik:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Vis
View All,Vis alle
View all active projects,Vis alle aktive prosjekter
View all open tasks,Vis alle apne oppgaver
View overdue tasks,Vis forsinkede oppgaver
View Release,View Release
Visibility,Synlighet
Waiting for this task,Venter pa denne oppgaven
Waits for:,Venter pa:
Warning: Resource {0} status is {1},Advarsel: Ressurs {0} har status {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Advarsel: HTTP brukes i stedet for HTTPS. Webhook-data er kanskje ikke sikre.
Watch budget closely,Folg budsjettet noye
We'll respond to:,Vi svarer til:
Webhook deleted,Webhook slettet
Webhook name is required,Webhook-navn er pakrevd
Webhook not found,Webhook ikke funnet
Webhook URL is required,Webhook-URL er pakrevd
Webhook URL must start with http:// or https://,Webhook-URL ma starte med http:// eller https://
Wed,Ons
Week,Uke
Weekend,Helg
Weekly Capacity,Ukekapasitet
weekly capacity,ukekapasitet
Weekly Capacity (h),Ukekapasitet (t)
Welcome,Velkommen
Welcome back!,Velkommen tilbake!
