+ Add Milestone,+ Mijlpaal toevoegen
Item added,Item toegevoegd
Item ID is required,Item-ID is vereist
Item removed,Item verwijderd
Item type is required,Itemtype is vereist
Item {0} not found,Item {0} niet gevonden
Job title or role,Functietitel of rol
Join Meeting,Deelnemen aan vergadering
Just now,Zojuist
just now,zojuist
Kanban,Kanban
Kanban Board,Kanban-bord
Kanban View,Kanban-weergave
Keyboard Shortcuts,Sneltoetsen
Keyboard shortcuts (?),Sneltoetsen (?)
Last checked: {0},Last checked: {0}
Last Updated,Laatst bijgewerkt
Last updated:,Laatst bijgewerkt:
Last Week,Vorige week
Latest Version,Latest Version
Light,Licht
Link failed,Koppeling mislukt
Link Task,Taak koppelen
Linked,Gekoppeld
Linked employee not found,Gekoppelde werknemer niet gevonden
Linked Tasks,Gekoppelde taken
List,Lijst
List View,Lijstweergave
Load failed,Laden mislukt
Load More,Meer laden
Load more comments,Meer opmerkingen laden
Loading activity...,Activiteit laden...
Loading changes...,Wijzigingen laden...
Loading checklist...,Controlelijst laden...
Loading comments...,Opmerkingen laden...
Loading contact...,Contact laden...
Loading contacts...,Contacten laden...
Loading dependencies...,Afhankelijkheden laden...
Loading details...,Details laden...
Loading discussion...,Discussie laden...
Loading events...,Evenementen laden...
Loading files...,Bestanden laden...
Loading notes...,Notities laden...
Loading preferences...,Voorkeuren laden...
Loading project...,Project laden...
Loading projects...,Projecten laden...
Loading replies...,Reacties laden...
Loading report data...,Rapportgegevens laden...
Loading settings...,Instellingen laden...
Loading task...,Taak laden...
Loading templates...,Sjablonen laden...
Loading time logs...,Tijdregistraties laden...
Loading your portal...,Uw portaal laden...
Loading...,Laden...
Location,Locatie
Log Time,Tijd registreren
Logout,Uitloggen
Low,Laag
Make Offer,Aanbieding doen
Manager,Manager
Manual Entry,Handmatige invoer
Margin,Marge
Mark all as read,Alles als gelezen markeren
Mark all read,Alles als gelezen markeren
Mark as read,Als gelezen markeren
Mark as unread,Als ongelezen markeren
Mark read,Als gelezen markeren
Marking...,Markeren...
Material,Materiaal
Maybe,Misschien
Medium,Gemiddeld
Meeting,Vergadering
Meeting Link,Vergaderlink
Meeting title,Vergadertitel
Meeting URL,Vergader-URL
Meetings,Vergaderingen
Mention,Vermelden
Message,Bericht
Message is required,Bericht is vereist
Message is required for '{0}' action,Bericht is vereist voor de actie '{0}'
Migrate,Migreren
Migration Complete,Migratie voltooid
Migration ID:,Migratie-ID:
Migration log not found: {0},Migratielogboek niet gevonden: {0}
Milestone,Mijlpaal
milestone,mijlpaal
Milestone created,Mijlpaal aangemaakt
Milestone description has been saved.,Mijlpaalbeschrijving is opgeslagen.
Milestone ID is required,Mijlpaal-ID is vereist
Milestone marked as Missed (past due date),Mijlpaal gemarkeerd als gemist (einddatum verstreken)
Milestone moved,Mijlpaal verplaatst
Milestone Name,Mijlpaalnaam
Milestone name has been saved.,Mijlpaalnaam is opgeslagen.
Milestone name is required,De mijlpaalnaam is vereist
Milestone updated,Mijlpaal bijgewerkt
Milestone {0} not found,Mijlpaal {0} niet gevonden
Milestone {0} not in project {1},Mijlpaal {0} niet in project {1}
Milestones,Mijlpalen
milestones,mijlpalen
Milestones:,Mijlpalen:
Minutes,Minuten
Missed,Gemist
Mixed,Gemengd
Mobile,Mobiel
Moderate,Matig
Modified,Gewijzigd
"Modify details, time, or attendees","Details, tijd of deelnemers aanpassen"
Mon,Ma
Month,Maand
Move failed,Verplaatsing mislukt
Must be a positive number,Moet een positief getal zijn
Must finish before this finishes,Moet eindigen voordat dit eindigt
Must finish before this starts,Moet eindigen voordat dit begint
Must start before this finishes,Moet beginnen voordat dit eindigt
Must start before this starts,Moet beginnen voordat dit begint
My Assignments,Mijn toewijzingen
My Projects,Mijn projecten
My Schedule,Mijn planning
My Tasks,Mijn taken
N/A,N.v.t.
Name,Naam
Name (A-Z),Naam (A-Z)
Name (Z-A),Naam (Z-A)
Name cannot exceed 255 characters,Naam mag niet langer zijn dan 255 tekens
Need help?,Hulp nodig?
Needs Attention,Vereist aandacht
Never,Never
new activities,nieuwe activiteiten
New Activity,Nieuwe activiteit
New activity,Nieuwe activiteit
New Event,Nieuw evenement
New index is required,Nieuwe index is vereist
New Project,Nieuw project
New tasks will auto-trail by default.,Nieuwe taken schuiven standaard automatisch op.
Newest First,Nieuwste eerst
Next,Volgende
Next 14 days,Komende 14 dagen
Next 30 days,Komende 30 dagen
Next 60 days,Komende 60 dagen
Next 7 days,Komende 7 dagen
Next 90 days,Komende 90 dagen
Next Week,Volgende week
Next:,Volgende:
No,Nee
No active assignments,Geen actieve toewijzingen
No active projects,Geen actieve projecten
No active timer found,Geen actieve timer gevonden
No activity selected,Geen activiteit geselecteerd
No assignments found,Geen toewijzingen gevonden
No attendees,Geen deelnemers
no change,geen wijziging
No changes for this field.,Geen wijzigingen voor dit veld.
No changes recorded for this activity.,Geen wijzigingen vastgelegd voor deze activiteit.
No checklist items yet,Nog geen controlelijstitems
No checklist items yet.,Nog geen controlelijstitems.
No comments yet,Nog geen opmerkingen
No comments yet.,Nog geen opmerkingen.
No contacts available,Geen contacten beschikbaar
No content for this tab,Geen inhoud voor dit tabblad
No data available,Geen gegevens beschikbaar
No data available for the selected filters,Geen gegevens beschikbaar voor de geselecteerde filters
No data to export,Geen gegevens om te exporteren
No dates set,Geen datums ingesteld
No defects reported,Geen gebreken gemeld
No dependencies defined,Geen afhankelijkheden gedefinieerd
No description,Geen beschrijving
No discussion yet.,Nog geen discussie.
No documents attached,Geen documenten bijgevoegd
No due date,Geen einddatum
No employee linked to this resource,Geen werknemer gekoppeld aan deze contactpersoon
No ERPNext employee linked to resource,Geen ERPNext-werknemer gekoppeld aan contactpersoon
No events found,Geen evenementen gevonden
No files attached yet.,Nog geen bestanden bijgevoegd.
No Frappe Project linked,Geen Frappe-project gekoppeld
No Grouping,Geen groepering
No items,Geen items
No matching tasks,Geen overeenkomende taken
No matching tasks found,Geen overeenkomende taken gevonden
No migration history,Geen migratiegeschiedenis
No Milestone,Geen mijlpaal
No milestones,Geen mijlpalen
No milestones defined for this project.,Geen mijlpalen gedefinieerd voor dit project.
No notes yet.,Nog geen notities.
No notes yet. Add a due diligence note to track progress.,Nog geen notities. Voeg een notitie voor het zorgvuldigheidsonderzoek toe om de voortgang bij te houden.
No notifications,Geen meldingen
No Orga Project linked to Frappe Project {0},Geen Orga-project gekoppeld aan Frappe-project {0}
No overdue tasks,Geen verlopen taken
No pending cascade changes,Geen openstaande doorwerkingswijzigingen
No predecessors - this task can start independently,Geen voorgangers — deze taak kan onafhankelijk starten
No project,Geen project
No projects found,Geen projecten gevonden
No Projects Yet,Nog geen projecten
No recent activity,Geen recente activiteit
No related documents,Geen gerelateerde documenten
No resolved threads.,Geen opgeloste discussiethreads.
No resources found,Geen contactpersonen gevonden
No results found,Geen resultaten gevonden
No skills listed,Geen vaardigheden vermeld
No skills recorded yet,Nog geen vaardigheden vastgelegd
No successors - no tasks are waiting for this one,Geen opvolgers — geen taken wachten op deze taak
No task selected,Geen taak geselecteerd
No tasks assigned to you,Geen taken aan u toegewezen
No tasks available to add,Geen taken beschikbaar om toe te voegen
No tasks found,Geen taken gevonden
No tasks linked to this milestone,Geen taken gekoppeld aan deze mijlpaal
No tasks with dates to display,Geen taken met datums om weer te geven
No tasks yet,Nog geen taken
No team members,Geen teamleden
No template,Geen sjabloon
No templates yet,Nog geen sjablonen
No time data found,Geen tijdgegevens gevonden
No time logged today,Vandaag geen tijd geregistreerd
No time logged yet,Nog geen tijd geregistreerd
No time logs for this period,Geen tijdregistraties voor deze periode
No time logs found,Geen tijdregistraties gevonden
No unread notifications,Geen ongelezen meldingen
No update information available yet.,No update information available yet.
None,Geen
Not found,Niet gevonden
Not permitted,Niet toegestaan
Not permitted to access this project,Geen toestemming om dit project te openen
Not permitted to access this task,Geen toestemming om deze taak te openen
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,U heeft geen toestemming om op dit document te reageren
Not permitted to create clients,U heeft geen toestemming om klanten aan te maken
Not permitted to delete this client,U heeft geen toestemming om deze klant te verwijderen
Not permitted to delete this defect,U heeft geen toestemming om dit gebrek te verwijderen
Not permitted to delete this note,U heeft geen toestemming om deze notitie te verwijderen
Not permitted to delete this project,U heeft geen toestemming om dit project te verwijderen
Not permitted to delete this task,U heeft geen toestemming om deze taak te verwijderen
Not permitted to delete this time log,U heeft geen toestemming om deze tijdregistratie te verwijderen
Not permitted to invite clients,U heeft geen toestemming om klanten uit te nodigen
Not permitted to modify client access,U heeft geen toestemming om klanttoegang te wijzigen
Not permitted to modify this project,U heeft geen toestemming om dit project te wijzigen
Not permitted to update settings,U heeft geen toestemming om instellingen bij te werken
Not permitted to update this client,U heeft geen toestemming om deze klant bij te werken
Not permitted to view this client,U heeft geen toestemming om deze klant te bekijken
not sent,niet verzonden
Not set,Niet ingesteld
Not specified,Niet opgegeven
Note,Notitie
Note (optional),Notitie (optioneel)
Note Content,Notitie-inhoud
Note content is required,Notitie-inhoud is vereist
Note name is required,De naam van de notitie is vereist
Note not found,Notitie niet gevonden
Note Type,Notitietype
Notes,Notities
Notification,Melding
Notification not found,Melding niet gevonden
Notifications,Meldingen
Off Track,Uit koers
Offer,Aanbieding
Offer Prepared,Aanbieding voorbereid
Oldest First,Oudste eerst
On Hold,In de wacht
On Leave,Afwezig
On Track,Op schema
On-Time Rate,Punctualiteitscijfer
Only administrators can delete activities,Alleen beheerders kunnen activiteiten verwijderen
Only the comment author or administrators can delete comments,Alleen de auteur of beheerders kunnen opmerkingen verwijderen
Only you and admins,Alleen u en beheerders
Open,Open
Open in Desk,Openen in Desk
Open Task Log,Taaklogboek openen
Open Tasks,Open taken
Optional,Optioneel
optional,optioneel
Or email us directly at,Of mail ons rechtstreeks op
Orga Project {0} from Frappe Projects,Orga-project {0} vanuit Frappe Projects
Orga Task {0} from Frappe,Orga-taak {0} vanuit Frappe
Organizer,Organisator
Other,Overig
Over Budget,Budget overschreden
Overall Progress,Totale voortgang
Overall Utilization,Totale benutting
Overallocated,Overbezet
Overdue,Verlopen
overdue,verlopen
Overdue Tasks,Verlopen taken
Overview,Overzicht
Owner,Eigenaar
Page Not Found,Pagina niet gevonden
Parent,Bovenliggend
Parent comment must belong to the same document,Bovenliggende opmerking moet bij hetzelfde document horen
Parent comment not found,Bovenliggende opmerking niet gevonden
Parent project not synced to Frappe yet,Bovenliggend project nog niet gesynchroniseerd met Frappe
Parent project sync not enabled,Synchronisatie van bovenliggend project niet ingeschakeld
Partner,Partner
Pending,In afwachting
per page,per pagina
Perform initial assessment and background check,Initiële beoordeling en achtergrondcontrole uitvoeren
Permanently remove this event,Dit evenement definitief verwijderen
Permanently remove this task,Deze taak definitief verwijderen
Phone,Telefoon
Pin,Vastpinnen
Pin Activity,Activiteit vastpinnen
Pin to top,Bovenaan vastpinnen
Pinned,Vastgepind
Planned budget for this task,Gepland budget voor deze taak
Planning,Planning
Please describe your question or issue in detail...,Beschrijf uw vraag of probleem in detail...
Please login to access Orga,Log in om toegang te krijgen tot Orga
Please login to access the client portal,Log in om toegang te krijgen tot het klantenportaal
Please respond to this invitation in Orga,Reageer op deze uitnodiging in Orga
Please select an image file,Selecteer een afbeeldingsbestand
Please try again,Probeer het opnieuw
Please type,Typ a.u.b.
Portal,Portaal
Portal access revoked for {0},Portaaltoegang ingetrokken voor {0}
Portal user created successfully. Welcome email {0},Portaalgebruiker succesvol aangemaakt. Welkomstmail {0}
Post,Plaatsen
Powered by,Aangedreven door
Powered by Tonic,Aangedreven door Tonic
Predecessors (Blocked By),Voorgangers (geblokkeerd door)
Preferences,Voorkeuren
Preferences saved successfully,Voorkeuren succesvol opgeslagen
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Voorvoegsel voor automatisch gegenereerde projectcodes (bijv. ORG-2026-0001)
Prepare and document offer terms,Aanbiedingsvoorwaarden voorbereiden en vastleggen
Press,Druk op
Preview,Voorbeeld
Preview cascade before applying,Voorbeeld van doorwerking bekijken voor toepassing
Previous,Vorige
Priority,Prioriteit
Priority assigned to new tasks,Prioriteit toegewezen aan nieuwe taken
Priority updated,Prioriteit bijgewerkt
Proficiency,Vaardigheidsniveau
Profile,Profiel
Progress,Voortgang
Progress (High-Low),Voortgang (hoog-laag)
Progress (Low-High),Voortgang (laag-hoog)
Progress Overview,Voortgangsoverzicht
Progress updated,Voortgang bijgewerkt
Project,Project
Project budget has been saved.,Projectbudget is opgeslagen.
Project code (e.g. ORG-2026-0001),Projectcode (bijv. ORG-2026-0001)
Project Code Prefix,Projectcodevoorvoegsel
Project created,Project aangemaakt
Project deleted,Project verwijderd
Project description has been saved.,Projectbeschrijving is opgeslagen.
Project Details,Projectdetails
Project end date has been saved.,Projecteinddatum is opgeslagen.
Project Files,Projectbestanden
Project has no linked client,Project heeft geen gekoppelde klant
Project Health,Projectgezondheid
Project Info,Projectinformatie
Project is required,Project is vereist
Project is required for project context,Project is vereist voor projectcontext
Project is required when tracking context is 'project',Project is vereist wanneer de bijhoudcontext 'project' is
Project Manager,Projectmanager
Project Name,Projectnaam
Project name and template name are required,Projectnaam en sjabloonnaam zijn vereist
Project name is required,Projectnaam is vereist
Project not found,Project niet gevonden
Project not found or you do not have access,Project niet gevonden of u heeft geen toegang
Project settings,Projectinstellingen
Project start date has been saved.,Projectstartdatum is opgeslagen.
Project title has been saved.,Projecttitel is opgeslagen.
Project Type,Projecttype
Project updated,Project bijgewerkt
Project {0} linked to client {1},Project {0} gekoppeld aan klant {1}
Project {0} not found,Project {0} niet gevonden
Project {0} to Frappe Projects,Project {0} naar Frappe Projects
Project:,Project:
Projects,Projecten
projects,projecten
Projects created:,Projecten aangemaakt:
Projects Overview,Projectenoverzicht
Projects skipped:,Projecten overgeslagen:
Projects updated:,Projecten bijgewerkt:
Promote failed,Promotie mislukt
Promote to task,Promoveren tot taak
Promoted to task,Gepromoveerd tot taak
Propose,Voorstellen
Propose New Time,Nieuwe tijd voorstellen
Propose Time,Tijd voorstellen
Proposed End,Voorgesteld einde
Proposed Start,Voorgesteld begin
Public,Openbaar
Quick Action,Snelle actie
Quick Actions,Snelle acties
Quick Stats,Snelle statistieken
Rates,Tarieven
Receive notifications via email,Meldingen ontvangen via e-mail
Receive notifications within the application,Meldingen ontvangen binnen de applicatie
Recent Activity,Recente activiteit
Recipient {0} is not a valid user,Ontvanger {0} is geen geldige gebruiker
Reference,Referentie
Refresh,Vernieuwen
Related,Gerelateerd
Related Company (optional),Gerelateerd bedrijf (optioneel)
Related Documents,Gerelateerde documenten
Related Project,Gerelateerd project
Remaining,Resterend
Reminder,Herinnering
Reminder Lead Time,Herinneringsvoorlooptijd
Reminder: {0} - {1} at {2},Herinnering: {0} - {1} om {2}
Remove,Verwijderen
Remove dependency,Afhankelijkheid verwijderen
Remove dependency on,Afhankelijkheid verwijderen van
Remove from group,Uit groep verwijderen
Remove group dependency,Groepsafhankelijkheid verwijderen
Remove skill,Vaardigheid verwijderen
Reopen,Heropenen
Reopen thread,Discussiethread heropenen
reopened,heropend
replies,antwoorden
Reply,Antwoorden
reply,antwoord
Replying to,Antwoord op
Replying to comment,Antwoord op opmerking
Report Defect,Gebrek melden
Reported Date,Meldingsdatum
Reports,Rapporten
Reports To,Rapporteert aan
Request Submitted!,Verzoek ingediend!
Required,Vereist
required,vereist
Research,Onderzoek
Reset to Defaults,Terugzetten naar standaardwaarden
Resolve,Oplossen
Resolve thread,Discussiethread oplossen
Resolved,Opgelost
Resolved date cannot be before reported date,De oplossingsdatum mag niet voor de meldingsdatum liggen
Resource,Contactpersoon
Resource and skill name are required,Contactpersoon en vaardigheidsnaam zijn vereist
Resource is already an attendee,Contactpersoon is al een deelnemer
Resource name is required,De naam van de contactpersoon is vereist
Resource not found,Contactpersoon niet gevonden
Resource synced from employee {0},Contactpersoon gesynchroniseerd vanuit werknemer {0}
Resource {0} is already assigned to this task ({1}),Contactpersoon {0} is al toegewezen aan deze taak ({1})
Resource {0} not found,Contactpersoon {0} niet gevonden
Resources,Contactpersonen
Retry,Opnieuw proberen
Review,Beoordeling
Review all relevant documents and contracts,Alle relevante documenten en contracten beoordelen
Reviews,Beoordelingen
Risk Assessment,Risicobeoordeling
Rollback,Terugdraaien
Rolled back,Teruggedraaid
Room or address,Zaal of adres
RSVP,RSVP
Safety,Veiligheid
Sat,Za
Save,Opslaan
"Save a project as a template, or import one from a JSON file.","Sla een project op als sjabloon, of importeer er een vanuit een JSON-bestand."
Save as Template,Opslaan als sjabloon
Save Changes,Wijzigingen opslaan
Save failed,Opslaan mislukt
Save Preferences,Voorkeuren opslaan
Save Template,Sjabloon opslaan
Saving...,Opslaan...
Schedule,Planning
Schedule type is required for scheduled triggers,Planningstype is vereist voor geplande triggers
Scheduled,Gepland
Search,Zoeken
"Search by name, email, or skill...","Zoeken op naam, e-mail of vaardigheid..."
Search for a project...,Zoeken naar een project...
Search for a task...,Zoeken naar een taak...
Search for an event...,Zoeken naar een evenement...
Search for people to invite...,Zoeken naar mensen om uit te nodigen...
Search tasks to link...,Taken zoeken om te koppelen...
Search tasks...,Taken zoeken...
Search...,Zoeken...
Searching...,Zoeken...
Seen,Gezien
Select a project if your request is related to a specific project.,Selecteer een project als uw verzoek betrekking heeft op een specifiek project.
Select a project...,Selecteer een project...
Select a task from the Gantt chart to view and manage its details.,Selecteer een taak in het Gantt-diagram om de details te bekijken en te beheren.
Select a task from the list or Kanban board to view and manage its details.,Selecteer een taak in de lijst of het Kanban-bord om de details te bekijken en te beheren.
Select a template...,Selecteer een sjabloon...
Select priority...,Selecteer prioriteit...
Select status...,Selecteer status...
Select task...,Selecteer taak...
Select type...,Selecteer type...
Selection,Selectie
Send,Verzenden
Send comment,Opmerking verzenden
Send email invitations to attendees,E-mailuitnodigingen naar deelnemers verzenden
Send Invitations,Uitnodigingen verzenden
Send notification when a task is assigned to a user,Melding sturen wanneer een taak aan een gebruiker is toegewezen
Send notification when task status changes,Melding sturen bij wijziging van taakstatus
Send reminder before task due date,Herinnering sturen voor de einddatum van de taak
sent,verzonden
Set rate,Tarief instellen
Settings,Instellingen
Settings saved successfully,Instellingen succesvol opgeslagen
Severity,Ernst
SF (Start-Finish),SF (Start-Einde)
SF - Start-to-Finish,SF - Start-naar-Einde
Show,Tonen
Show all,Alles tonen
Show all changes,Alle wijzigingen tonen
Show Archived,Gearchiveerde tonen
Show full diff,Volledig verschil tonen
Show less,Minder tonen
Show more,Meer tonen
Skill added,Vaardigheid toegevoegd
Skill is required,Vaardigheid is vereist
Skill Name,Vaardigheidsnaam
Skill removed,Vaardigheid verwijderd
Skill {0} already exists for this resource,Vaardigheid {0} bestaat al voor deze contactpersoon
Skills,Vaardigheden
Skills & Competencies,Vaardigheden en bekwaamheden
Skip already migrated projects,Al gemigreerde projecten overslaan
Sort by,Sorteren op
Sort: Due Date,Sorteren: Einddatum
Sort: Priority,Sorteren: Prioriteit
Sort: Project,Sorteren: Project
Sort: Status,Sorteren: Status
Sort: Task,Sorteren: Taak
Source Code,Broncode
Spent,Besteed
Spent:,Besteed:
SS (Start-Start),SS (Start-Start)
SS - Start-to-Start,SS - Start-naar-Start
Standalone,Zelfstandig
Start,Start
Start a discussion below,Begin een discussie hieronder
Start Date,Startdatum
Start date,Startdatum
Start Date (Earliest),Startdatum (vroegste)
Start date updated,Startdatum bijgewerkt
Start date/time is required,Startdatum/-tijd is vereist
Start Migration,Migratie starten
Start the conversation below.,Begin het gesprek hieronder.
Start Timer,Timer starten
Start typing to search...,Begin met typen om te zoeken...
Start-to-Finish,Start-naar-Einde
Start-to-Start,Start-naar-Start
Start:,Start:
Statistics reset,Statistieken gereset
Status,Status
Status assigned to new projects,Status toegewezen aan nieuwe projecten
Status assigned to new tasks,Status toegewezen aan nieuwe taken
Status Changes,Statuswijzigingen
Status updated,Status bijgewerkt
Status:,Status:
Stop,Stoppen
Stop & Save,Stoppen en opslaan
Stop Timer,Timer stoppen
Stops current timer and starts for this event,Stopt de huidige timer en start voor dit evenement
Stops current timer and starts for this task,Stopt de huidige timer en start voor deze taak
Subject,Onderwerp
Subject cannot exceed 255 characters,Onderwerp mag niet langer zijn dan 255 tekens
Subject is required,Onderwerp is vereist
Submit,Indienen
Submit Another Request,Nog een verzoek indienen
Submit Request,Verzoek indienen
Submitting...,Indienen...
Successfully saved,Succesvol opgeslagen
Successors (Blocking),Opvolgers (blokkerend)
Sun,Zo
Supplier,Leverancier
Support,Support
Switch to this event,Overschakelen naar dit evenement
Switch to this task,Overschakelen naar deze taak
Sync direction is set to Frappe to Orga only,Synchronisatierichting is ingesteld op alleen Frappe naar Orga
Sync direction is set to Orga to Frappe only,Synchronisatierichting is ingesteld op alleen Orga naar Frappe
Sync not enabled for this project,Synchronisatie niet ingeschakeld voor dit project
System,Systeem
Table,Tabel
Take ownership of this task,Deze taak op mij nemen
Target Date,Streeftdatum
Target End,Streef-einddatum
Target Project,Doelproject
Target user is required for '{0}' action,Doelgebruiker is vereist voor de actie '{0}'
Task,Taak
task,taak
Task '{0}' is due on {1}.,Taak '{0}' is verschuldigd op {1}.
Task and resource are required,Taak en contactpersoon zijn vereist
Task Assignment,Taaktoewijzing
Task cannot be its own parent,Een taak kan niet zijn eigen bovenliggende zijn
Task cannot depend on itself,Een taak kan niet van zichzelf afhankelijk zijn
Task cannot depend on the group it belongs to,Een taak kan niet afhankelijk zijn van de groep waartoe deze behoort
Task created,Taak aangemaakt
Task deleted,Taak verwijderd
Task description has been saved.,Taakbeschrijving is opgeslagen.
Task Details,Taakdetails
Task due in {0} days: {1},Taak verschuldigd over {0} dagen: {1}
Task due today: {0},Taak vandaag verschuldigd: {0}
Task due tomorrow: {0},Taak morgen verschuldigd: {0}
Task duplicated,Taak gedupliceerd
Task Group,Taakgroep
Task ID is required,Taak-ID is vereist
Task is blocked by incomplete dependencies,Taak is geblokkeerd door onvoltooide afhankelijkheden
Task is cancelled,Taak is geannuleerd
Task is completed,Taak is voltooid
Task is no longer blocked by a group,Taak is niet langer geblokkeerd door een groep
Task is required for task context,Taak is vereist voor taakcontext
Task is required when tracking context is 'task',Taak is vereist wanneer de bijhoudcontext 'taak' is
Task linked,Taak gekoppeld
Task moved,Taak verplaatst
Task name,Taaknaam
Task name is required,Taaknaam is vereist
Task removed from group,Taak uit groep verwijderd
Task Subject,Taakonderwerp
Task subject is required,Taakonderwerp is vereist
Task Type,Taaktype
Task unblocked: {0},Taak gedeblokkeerd: {0}
Task unlinked,Taak ontkoppeld
Task updated,Taak bijgewerkt
Task {0} not found,Taak {0} niet gevonden
Task {0} not in project {1},Taak {0} niet in project {1}
Task {0} to Frappe,Taak {0} naar Frappe
Tasks,Taken
tasks,taken
Tasks and milestones will be created with dates relative to the project start date.,Taken en mijlpalen worden aangemaakt met datums ten opzichte van de startdatum van het project.
Tasks assigned to you across all projects.,Taken die aan u zijn toegewezen in alle projecten.
Tasks created:,Taken aangemaakt:
Tasks from projects you manage.,Taken uit projecten die u beheert.
Tasks updated:,Taken bijgewerkt:
"Tasks, milestones, and dependencies have been created.","Taken, mijlpalen en afhankelijkheden zijn aangemaakt."
Tasks:,Taken:
TBD,Nader te bepalen
Team,Team
Team Members,Teamleden
Template,Sjabloon
Template applied,Sjabloon toegepast
Template data is required in import data,Sjabloongegevens zijn vereist in de importgegevens
Template has no data,Sjabloon bevat geen gegevens
Template Name,Sjabloonnaam
Template name,Sjabloonnaam
Template name is required,Sjabloonnaam is vereist
Template name is required in import data,Sjabloonnaam is vereist in de importgegevens
Template saved,Sjabloon opgeslagen
Template updated successfully.,Sjabloon succesvol bijgewerkt.
Template {0} not found,Sjabloon {0} niet gevonden
Templates,Sjablonen
Tentative,Voorlopig
The comment has been deleted,De opmerking is verwijderd
The project,Het project
The source document may have been deleted.,Het brondocument is mogelijk verwijderd.
The source document will not be affected.,Het brondocument wordt niet beïnvloed.
The status of '{0}' was changed from {1} to {2}.,De status van '{0}' is gewijzigd van {1} naar {2}.
Theme,Thema
Theme preference,Themavoorkeur
This action,Deze actie
This action cannot be undone.,Deze actie kan niet ongedaan worden gemaakt.
This activity has been flagged for attention,Deze activiteit is gemarkeerd voor aandacht
This is a reminder for your upcoming appointment,Dit is een herinnering voor uw komende afspraak
This method is only meant for developer mode,Deze methode is alleen bedoeld voor de ontwikkelmodus
This page wandered off,Deze pagina is verdwaald
This Week,Deze week
This will delete all notes and preferences associated with this activity.,Dit verwijdert alle notities en voorkeuren die bij deze activiteit horen.
This will import all Frappe Projects into Orga. Continue?,Dit importeert alle Frappe-projecten in Orga. Doorgaan?
This will permanently delete,Dit zal definitief verwijderen
This will permanently delete:,Dit zal definitief verwijderen:
Thu,Do
Time,Tijd
Time & Billing,Tijd en facturering
Time & Revenue,Tijd en omzet
Time Entries,Tijdregistraties
Time log name is required,De naam van de tijdregistratie is vereist
Time Log not found,Tijdregistratie niet gevonden
Time log {0} not found,Tijdregistratie {0} niet gevonden
Time Logs,Tijdregistraties
Time Summary,Tijdoverzicht
Time Tracking,Tijdregistratie
Timeline,Tijdlijn
Timer active on,Timer actief op
Timer is not running,Timer loopt niet
Timer Running,Timer loopt
Timer running,Timer loopt
Timesheet DocType not available,DocType Urenstaat niet beschikbaar
Timesheets,Urenstaten
Timezone,Tijdzone
Timezone is detected from your browser,Tijdzone wordt gedetecteerd vanuit uw browser
Title,Titel
Title cannot exceed 255 characters,Titel mag niet langer zijn dan 255 tekens
Title is required,Titel is vereist
Title updated,Titel bijgewerkt
To,Naar
to,naar
to cancel,om te annuleren
to close,om te sluiten
to confirm:,om te bevestigen:
to edit,om te bewerken
"to save,","om op te slaan,"
To Time cannot be before From Time,De eindtijd mag niet voor de starttijd liggen
Today,Vandaag
today,vandaag
Toggle billable,Factureerbaar in-/uitschakelen
Toggle Details Panel,Detailpaneel in-/uitschakelen
Toggle Manager Panel,Beheerderspaneel in-/uitschakelen
Toggle Sidebar,Zijbalk in-/uitschakelen
Tomorrow,Morgen
tomorrow,morgen
Total,Totaal
Total Budget,Totaalbudget
Total Contacts,Totaal contacten
Total Cost,Totale kosten
Total Cost to Org,Totale kosten voor de organisatie
Total Defect Cost,Totale kosten gebreken
Total Hours,Totaal uren
Total Hours Logged,Totaal geregistreerde uren
Total Projects,Totaal projecten
Total Spent,Totaal besteed
Total Tasks,Totaal taken
Total:,Totaal:
Tracked,Bijgehouden
trails to today while Open at 0%,schuift op naar vandaag zolang Open op 0%
Tried:,Geprobeerd:
Try adjusting your filter criteria,Probeer uw filtercriteria aan te passen
Try adjusting your filters.,Probeer uw filters aan te passen.
Try Again,Opnieuw proberen
Tue,Di
Type,Type
Type updated,Type bijgewerkt
Type:,Type:
Typical response time: 1-2 business days,Gebruikelijke reactietijd: 1-2 werkdagen
Unarchive,Dearchiveren
Unarchive Activity,Activiteit dearchiveren
Unassign,Toewijzing opheffen
Unassigned,Niet toegewezen
Under Budget,Binnen budget
Ungrouped,Niet gegroepeerd
Unknown,Onbekend
Unknown error,Onbekende fout
Unlink failed,Ontkoppeling mislukt
Unlink task from milestone,Taak ontkoppelen van mijlpaal
Unpin,Losmaken
Unpin Activity,Activiteit losmaken
Unread,Ongelezen
Unread only,Alleen ongelezen
Until,Tot
Up to Date,Up to Date
Upcoming,Aankomend
upcoming,aankomend
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Bijwerking mislukt
Updated,Bijgewerkt
Updated successfully,Succesvol bijgewerkt
Updates,Updates
Upload,Uploaden
Upload failed,Upload mislukt
Upload files below to attach them to this task.,Upload bestanden hieronder om ze aan deze taak te koppelen.
Upload to project,Uploaden naar project
Uploading...,Uploaden...
Urgent,Dringend
