+ Add Milestone,+ ምዕራፍ ጨምር
Error loading activity,እንቅስቃሴ መጫን ላይ ስህተት
Error loading contacts,ግንኙነቶች መጫን ላይ ስህተት
Error loading dashboard,ዳሽቦርድ መጫን ላይ ስህተት
Error loading project,ፕሮጀክት መጫን ላይ ስህተት
Error loading projects,ፕሮጀክቶች መጫን ላይ ስህተት
Error loading settings,ቅንብሮች መጫን ላይ ስህተት
Error loading tasks,ተግባራት መጫን ላይ ስህተት
Error loading templates,አብነቶች መጫን ላይ ስህተት
Est. Hours,የሚገመቱ ሰዓታት
Estimated,የተገመተ
Estimated Cost,የተገመተ ወጪ
Estimated Cost (€),የተገመተ ወጪ (€)
Estimated Hours,የተገመቱ ሰዓታት
Estimated:,የተገመተ:
Evaluate potential risks and concerns,ሊሆኑ የሚችሉ አደጋዎችን እና ስጋቶችን ይገምግሙ
Event,ክስተት
Event is required for event context,ለክስተት አውድ ክስተት ያስፈልጋል
Event is required when tracking context is 'event',የክትትል አውድ 'ክስተት' ሲሆን ክስተት ያስፈልጋል
Event Type,የክስተት ዓይነት
Events,ክስተቶች
Events not available. Please run: bench --site orga.localhost migrate,ክስተቶች አይገኙም። እባክዎ ያሂዱ: bench --site orga.localhost migrate
Events:,ክስተቶች:
Expert,ባለሙያ
Explain why you are proposing a different time...,ለምን የተለየ ጊዜ እንደሚያቀርቡ ያብራሩ...
Export,ላክ
Export failed,መላክ አልተሳካም
Export JSON,JSON ላክ
Exported,ተልኳል
Exported to timesheet {0},ወደ የጊዜ ሰንጠረዥ {0} ተልኳል
External,ውጫዊ
Failed to add item,ንጥል ማከል አልተሳካም
Failed to add note,ማስታወሻ ማከል አልተሳካም
Failed to add skill,ክህሎት ማከል አልተሳካም
Failed to apply cascade changes: {0},ተከታታይ ለውጦችን መተግበር አልተሳካም: {0}
Failed to create defect,ጉድለት መፍጠር አልተሳካም
Failed to create dependency,ጥገኝነት መፍጠር አልተሳካም
Failed to create event,ክስተት መፍጠር አልተሳካም
Failed to create milestone,ምዕራፍ መፍጠር አልተሳካም
Failed to create project,ፕሮጀክት መፍጠር አልተሳካም
Failed to create task,ተግባር መፍጠር አልተሳካም
Failed to create time log,የሰዓት መዝገብ መፍጠር አልተሳካም
Failed to delete,መሰረዝ አልተሳካም
Failed to delete comment,አስተያየት መሰረዝ አልተሳካም
Failed to delete contact,እውቂያ መሰረዝ አልተሳካም
Failed to load,መጫን አልተሳካም
Failed to load activity,እንቅስቃሴ መጫን አልተሳካም
Failed to load assignments,ምደባዎችን መጫን አልተሳካም
Failed to load contact,እውቂያ መጫን አልተሳካም
Failed to load dashboard data,ዳሽቦርድ ውሂብ መጫን አልተሳካም
Failed to load defects,ጉድለቶችን መጫን አልተሳካም
Failed to load events,ክስተቶችን መጫን አልተሳካም
Failed to load project,ፕሮጀክት መጫን አልተሳካም
Failed to load projects,ፕሮጀክቶችን መጫን አልተሳካም
Failed to load report data,ሪፖርት ውሂብ መጫን አልተሳካም
Failed to load settings,ቅንብሮችን መጫን አልተሳካም
Failed to load tasks,ተግባራትን መጫን አልተሳካም
Failed to move task,ተግባር ማንቀሳቀስ አልተሳካም
Failed to post comment,አስተያየት መለጠፍ አልተሳካም
Failed to propose new time,አዲስ ሰዓት ማቅረብ አልተሳካም
Failed to remove item,ንጥል ማስወገድ አልተሳካም
Failed to remove skill,ክህሎት ማስወገድ አልተሳካም
Failed to reorder milestones: {0},ምዕራፎችን እንደገና ማስተካከል አልተሳካም: {0}
Failed to reorder tasks: {0},ተግባራትን እንደገና ማስተካከል አልተሳካም: {0}
Failed to reschedule dependent tasks: {0},ጥገኛ ተግባራትን እንደገና ማቀድ አልተሳካም: {0}
Failed to save,ማስቀመጥ አልተሳካም
Failed to save preferences,ምርጫዎችን ማስቀመጥ አልተሳካም
Failed to save settings,ቅንብሮችን ማስቀመጥ አልተሳካም
Failed to submit request. Please try again.,ጥያቄ ማቅረብ አልተሳካም። እባክዎ እንደገና ይሞክሩ።
Failed to update item,ንጥል ማዘመን አልተሳካም
Failed to update priority,ቅድሚያ ማዘመን አልተሳካም
Failed to update task,ተግባር ማዘመን አልተሳካም
Failed to update tasks: {0},ተግባራትን ማዘመን አልተሳካም: {0}
Failed to upload avatar,አምሳያ መስቀል አልተሳካም
Feature,ባህሪ
Features,ባህሪያት
FF (Finish-Finish),FF (ማጠናቀቂያ-ማጠናቀቂያ)
FF - Finish-to-Finish,FF - ማጠናቀቂያ ወደ ማጠናቀቂያ
Field has been updated,መስክ ተዘምኗል
Field name is required for 'Set Field Value' action,'Set Field Value' ድርጊት ለመስክ ስም ያስፈልጋል
Field {0} is not a Link field,መስክ {0} የአገናኝ መስክ አይደለም
Field {0} not found in {1},መስክ {0} በ{1} ውስጥ አልተገኘም
File,ፋይል
file,ፋይል
File does not belong to this task,ፋይል ለዚህ ተግባር አይደለም
File name is required,የፋይል ስም ያስፈልጋል
File uploaded,ፋይል ተሰቅሏል
File {0} not found,ፋይል {0} አልተገኘም
Files,ፋይሎች
files,ፋይሎች
Filter,ማጣሪያ
Final Decision,የመጨረሻ ውሳኔ
Finance,ፋይናንስ
Financial,ፋይናንሻል
Finish-to-Finish,ማጠናቀቂያ ወደ ማጠናቀቂያ
Finish-to-Start,ማጠናቀቂያ ወደ ጅምር
Flag,ሰንደቅ
Flag for attention,ለትኩረት ምልክት አድርግ
Flagged,ምልክት ተደርጓል
Focus Panel,የትኩረት ፓነል
Follows your system preference. Currently:,የስርዓት ምርጫዎን ይከተላል። አሁን:
Frappe Project {0} not found,Frappe ፕሮጀክት {0} አልተገኘም
Frappe Projects Migration,Frappe ፕሮጀክቶች ዝውውር
Frappe Projects module not available,Frappe ፕሮጀክቶች ሞጁል አይገኝም
Frappe Projects module not installed,Frappe ፕሮጀክቶች ሞጁል አልተጫነም
Frappe Projects sync is not enabled,Frappe ፕሮጀክቶች ማመሳሰል አልተነቃም
Frappe Task DocType not found,Frappe ተግባር DocType አልተገኘም
Frappe Task has no project,Frappe ተግባር ፕሮጀክት የለውም
Frappe Task {0} not found,Frappe ተግባር {0} አልተገኘም
Fri,ዓርብ
From,ከ
From Template,ከአብነት
FS (Finish-Start),FS (ማጠናቀቂያ-ጅምር)
FS - Finish-to-Start (default),FS - ማጠናቀቂያ ወደ ጅምር (ነባሪ)
Full form view with audit trail,ከኦዲት ዱካ ጋር ሙሉ ቅጽ ዕይታ
Full name,ሙሉ ስም
Gantt,ጋንት
Gantt Chart,የጋንት ቻርት
Gantt View,የጋንት ዕይታ
General Note,አጠቃላይ ማስታወሻ
Get started,ጀምር
Go back,ተመለስ
Go Back,Go Back
Group by,ቡድን በ
Group dependency removed,የቡድን ጥገኝነት ተወግዷል
Group dependency set,የቡድን ጥገኝነት ተቀናብሯል
Group removed,ቡድን ተወግዷል
Group updated,ቡድን ተዘምኗል
Hammock task dates are auto-calculated and cannot be changed manually,የሃሞክ ተግባር ቀናት በራስ-ሰር ይሰላሉ እና በእጅ ሊቀየሩ አይችሉም
Have a question or need assistance? Fill out the form below and our team will get back to you.,ጥያቄ አለዎት ወይም እርዳታ ይፈልጋሉ? ከዚህ በታች ያለውን ቅጽ ይሙሉ እና ቡድናችን ይመልሱልዎታል።
Health,ጤና
Healthy,ጤናማ
Hello {0},ሰላም {0}
Here's what's happening with your projects today.,ዛሬ በፕሮጀክቶችዎ ላይ እየተከሰተ ያለው ይህ ነው።
Hide,ደብቅ
High,ከፍተኛ
History,ታሪክ
Home,መነሻ
Hourly Cost,የሰዓት ወጪ
Hours,ሰዓታት
hours,ሰዓታት
Hours Logged,የተመዘገቡ ሰዓታት
ID,መታወቂያ
Image must be smaller than 5 MB,ምስል ከ5 ሜባ ያነሰ መሆን አለበት
Import,አስመጣ
Import existing projects and tasks from Frappe Projects module,ከFrappe ፕሮጀክቶች ሞጁል ነባር ፕሮጀክቶችን እና ተግባራትን አስመጣ
Import failed,ማስመጣት አልተሳካም
Import Template,አብነት አስመጣ
Imported,ተስመጥቷል
in,ውስጥ
In Progress,በሂደት ላይ
In Review,በግምገማ ላይ
In-app notifications,በመተግበሪያ ውስጥ ማሳወቂያዎች
Inactive,ንቁ ያልሆነ
Initial Review,የመጀመሪያ ግምገማ
Installed Version,Installed Version
Insufficient permissions to view all tasks,ሁሉንም ተግባራት ለማየት በቂ ፈቃዶች የሉም
Intermediate,መካከለኛ
Internal,ውስጣዊ
Invalid DocType,ልክ ያልሆነ DocType
Invalid DocType for import,ለማስመጣት ልክ ያልሆነ DocType
Invalid item type: {0},ልክ ያልሆነ የንጥል ዓይነት: {0}
Invalid JSON data,ልክ ያልሆነ JSON ውሂብ
Invalid note type. Must be one of: {0},ልክ ያልሆነ የማስታወሻ ዓይነት። ከእነዚህ አንዱ መሆን አለበት: {0}
Invalid project reference,ልክ ያልሆነ የፕሮጀክት ማጣቀሻ
Invalid reaction type. Must be one of: {0},ልክ ያልሆነ የምላሽ ዓይነት። ከእነዚህ አንዱ መሆን አለበት: {0}
Invalid RSVP status,ልክ ያልሆነ RSVP ሁኔታ
Invalid status. Must be one of: {0},ልክ ያልሆነ ሁኔታ። ከእነዚህ አንዱ መሆን አለበት: {0}
Invalid status: {0},ልክ ያልሆነ ሁኔታ: {0}
Invalid status: {0}. Must be one of: {1},ልክ ያልሆነ ሁኔታ: {0}። ከእነዚህ አንዱ መሆን አለበት: {1}
Invalid tracking context: {0},ልክ ያልሆነ የክትትል አውድ: {0}
Invalid visibility. Must be one of: {0},ልክ ያልሆነ ታይነት። ከእነዚህ አንዱ መሆን አለበት: {0}
Invitation: {0} - {1} at {2},ግብዣ: {0} - {1} በ{2}
Invite People,ሰዎችን ጋብዝ
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,ንጥል ተጨምሯል
Item ID is required,የንጥል መታወቂያ ያስፈልጋል
Item removed,ንጥል ተወግዷል
Item type is required,የንጥል ዓይነት ያስፈልጋል
Item {0} not found,ንጥል {0} አልተገኘም
Job title or role,የሥራ ማዕረግ ወይም ሚና
Join Meeting,ስብሰባ ተቀላቀል
Just now,አሁን
just now,አሁን
Kanban,ካንባን
Kanban Board,ካንባን ቦርድ
Kanban View,የካንባን ዕይታ
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች
Keyboard shortcuts (?),የቁልፍ ሰሌዳ አቋራጮች (?)
Last checked: {0},Last checked: {0}
Last Updated,የመጨረሻ ማዘመኛ
Last updated:,የመጨረሻ ማዘመኛ:
Last Week,ያለፈው ሳምንት
Latest Version,Latest Version
Light,ብርሃን
Link failed,ማገናኘት አልተሳካም
Link Task,ተግባር አገናኝ
Linked,ተገናኝቷል
Linked employee not found,የተገናኘ ሰራተኛ አልተገኘም
Linked Tasks,የተገናኙ ተግባራት
List,ዝርዝር
List View,የዝርዝር ዕይታ
Load failed,መጫን አልተሳካም
Load More,ተጨማሪ ጫን
Load more comments,ተጨማሪ አስተያየቶችን ጫን
Loading activity...,እንቅስቃሴ በመጫን ላይ...
Loading changes...,ለውጦችን በመጫን ላይ...
Loading checklist...,ማረጋገጫ ዝርዝር በመጫን ላይ...
Loading comments...,አስተያየቶችን በመጫን ላይ...
Loading contact...,እውቂያ በመጫን ላይ...
Loading contacts...,እውቂያዎችን በመጫን ላይ...
Loading dependencies...,ጥገኝነቶችን በመጫን ላይ...
Loading details...,ዝርዝሮችን በመጫን ላይ...
Loading discussion...,ውይይት በመጫን ላይ...
Loading events...,ክስተቶችን በመጫን ላይ...
Loading files...,ፋይሎችን በመጫን ላይ...
Loading notes...,ማስታወሻዎችን በመጫን ላይ...
Loading preferences...,ምርጫዎችን በመጫን ላይ...
Loading project...,ፕሮጀክት በመጫን ላይ...
Loading projects...,ፕሮጀክቶችን በመጫን ላይ...
Loading replies...,ምላሾችን በመጫን ላይ...
Loading report data...,ሪፖርት ውሂብ በመጫን ላይ...
Loading settings...,ቅንብሮችን በመጫን ላይ...
Loading task...,ተግባር በመጫን ላይ...
Loading templates...,አብነቶችን በመጫን ላይ...
Loading time logs...,የሰዓት መዝገቦችን በመጫን ላይ...
Loading your portal...,ፖርታልዎን በመጫን ላይ...
Loading...,በመጫን ላይ...
Location,ቦታ
Log Time,ሰዓት መዝግብ
Logout,ውጣ
Low,ዝቅተኛ
Make Offer,ቅናሽ አቅርብ
Manager,አስተዳዳሪ
Manual Entry,በእጅ ማስገባት
Margin,ዳርቻ
Mark all as read,ሁሉንም እንደተነበበ ምልክት አድርግ
Mark all read,ሁሉንም ያነብ ምልክት አድርግ
Mark as read,እንደተነበበ ምልክት አድርግ
Mark as unread,ያልተነበበ ምልክት አድርግ
Mark read,ተነብቧል ምልክት አድርግ
Marking...,ምልክት በማድረግ ላይ...
Material,ቁሳቁስ
Maybe,ምናልባት
Medium,መካከለኛ
Meeting,ስብሰባ
Meeting Link,የስብሰባ ማገናኛ
Meeting title,የስብሰባ ርዕስ
Meeting URL,የስብሰባ URL
Meetings,ስብሰባዎች
Mention,ጥቀስ
Message,መልዕክት
Message is required,መልዕክት ያስፈልጋል
Message is required for '{0}' action,ለ'{0}' ድርጊት መልዕክት ያስፈልጋል
Migrate,አዛውር
Migration Complete,ዝውውር ተጠናቋል
Migration ID:,የዝውውር መታወቂያ:
Migration log not found: {0},የዝውውር መዝገብ አልተገኘም: {0}
Milestone,ምዕራፍ
milestone,ምዕራፍ
Milestone created,ምዕራፍ ተፈጥሯል
Milestone description has been saved.,የምዕራፍ መግለጫ ተቀምጧል።
Milestone ID is required,የምዕራፍ መታወቂያ ያስፈልጋል
Milestone marked as Missed (past due date),ምዕራፍ ያለፈበት ተብሎ ምልክት ተደርጓል (የመጨረሻ ቀን አልፏል)
Milestone moved,ምዕራፍ ተንቀሳቅሷል
Milestone Name,የምዕራፍ ስም
Milestone name has been saved.,የምዕራፍ ስም ተቀምጧል።
Milestone name is required,የምዕራፍ ስም ያስፈልጋል
Milestone updated,ምዕራፍ ተዘምኗል
Milestone {0} not found,ምዕራፍ {0} አልተገኘም
Milestone {0} not in project {1},ምዕራፍ {0} በፕሮጀክት {1} ውስጥ የለም
Milestones,ምዕራፎች
milestones,ምዕራፎች
Milestones:,ምዕራፎች:
Minutes,ደቂቃዎች
Missed,ያለፈ
Mixed,ድብልቅ
Mobile,ሞባይል
Moderate,መጠነኛ
Modified,ተስተካክሏል
"Modify details, time, or attendees",ዝርዝሮችን፣ ሰዓትን ወይም ተሳታፊዎችን ቀይር
Mon,ሰኞ
Month,ወር
Move failed,ማንቀሳቀስ አልተሳካም
Must be a positive number,ቁልፍ ቁጥር መሆን አለበት
Must finish before this finishes,ይህ ከመጠናቀቁ በፊት መጠናቀቅ አለበት
Must finish before this starts,ይህ ከመጀመሩ በፊት መጠናቀቅ አለበት
Must start before this finishes,ይህ ከመጠናቀቁ በፊት መጀመር አለበት
Must start before this starts,ይህ ከመጀመሩ በፊት መጀመር አለበት
My Assignments,ምደባዎቼ
My Projects,ፕሮጀክቶቼ
My Schedule,የሰዓት ሰሌዳዬ
My Tasks,ተግባራቶቼ
N/A,ተፈጻሚ አይደለም
Name,ስም
Name (A-Z),ስም (A-Z)
Name (Z-A),ስም (Z-A)
Name cannot exceed 255 characters,ስም ከ255 ቁምፊዎች መብለጥ አይችልም
Need help?,እርዳታ ይፈልጋሉ?
Needs Attention,ትኩረት ያስፈልጋል
Never,Never
new activities,አዲስ እንቅስቃሴዎች
New Activity,አዲስ እንቅስቃሴ
New activity,አዲስ እንቅስቃሴ
New Event,አዲስ ክስተት
New index is required,አዲስ መረጃ ጠቋሚ ያስፈልጋል
New Project,አዲስ ፕሮጀክት
New tasks will auto-trail by default.,አዲስ ተግባራት በነባሪ በራስ-ሰር ይከታተላሉ።
Newest First,አዲሱ በመጀመሪያ
Next,ቀጣይ
Next 14 days,ቀጣይ 14 ቀናት
Next 30 days,ቀጣይ 30 ቀናት
Next 60 days,ቀጣይ 60 ቀናት
Next 7 days,ቀጣይ 7 ቀናት
Next 90 days,ቀጣይ 90 ቀናት
Next Week,ቀጣይ ሳምንት
Next:,ቀጣይ:
No,አይ
No active assignments,ንቁ ምደባዎች የሉም
No active projects,ንቁ ፕሮጀክቶች የሉም
No active timer found,ንቁ ሰዓት ቆጣሪ አልተገኘም
No activity selected,እንቅስቃሴ አልተመረጠም
No assignments found,ምደባዎች አልተገኙም
No attendees,ተሳታፊዎች የሉም
no change,ለውጥ የለም
No changes for this field.,ለዚህ መስክ ለውጦች የሉም።
No changes recorded for this activity.,ለዚህ እንቅስቃሴ ለውጦች አልተመዘገቡም።
No checklist items yet,እስካሁን ማረጋገጫ ዝርዝር ንጥሎች የሉም
No checklist items yet.,እስካሁን ማረጋገጫ ዝርዝር ንጥሎች የሉም።
No comments yet,እስካሁን አስተያየቶች የሉም
No comments yet.,እስካሁን አስተያየቶች የሉም።
No contacts available,ዝግጁ እውቂያዎች የሉም
No content for this tab,ለዚህ ትር ይዘት የለም
No data available,ውሂብ አይገኝም
No data available for the selected filters,ለተመረጡት ማጣሪያዎች ውሂብ አይገኝም
No data to export,ለመላክ ውሂብ የለም
No dates set,ቀናት አልተቀናበሩም
No defects reported,ጉድለቶች አልተዘገቡም
No dependencies defined,ጥገኝነቶች አልተገለጹም
No description,መግለጫ የለም
No discussion yet.,እስካሁን ውይይት የለም።
No documents attached,የተያያዙ ሰነዶች የሉም
No due date,የመጨረሻ ቀን የለም
No employee linked to this resource,ለዚህ ሀብት የተገናኘ ሰራተኛ የለም
No ERPNext employee linked to resource,ለሀብት የተገናኘ ERPNext ሰራተኛ የለም
No events found,ክስተቶች አልተገኙም
No files attached yet.,እስካሁን ፋይሎች አልተያያዙም።
No Frappe Project linked,የተገናኘ Frappe ፕሮጀክት የለም
No Grouping,ቡድን ማድረግ የለም
No items,ንጥሎች የሉም
No matching tasks,ተዛማጅ ተግባራት የሉም
No matching tasks found,ተዛማጅ ተግባራት አልተገኙም
No migration history,የዝውውር ታሪክ የለም
No Milestone,ምዕራፍ የለም
No milestones,ምዕራፎች የሉም
No milestones defined for this project.,ለዚህ ፕሮጀክት ምዕራፎች አልተገለጹም።
No notes yet.,እስካሁን ማስታወሻዎች የሉም።
No notes yet. Add a due diligence note to track progress.,እስካሁን ማስታወሻዎች የሉም። ለሂደት ክትትል የጥንቃቄ ማስታወሻ ያክሉ።
No notifications,ማሳወቂያዎች የሉም
No Orga Project linked to Frappe Project {0},ከFrappe ፕሮጀክት {0} ጋር የተገናኘ Orga ፕሮጀክት የለም
No overdue tasks,ያለፉ ተግባራት የሉም
No pending cascade changes,በመጠባበቅ ላይ ያሉ ተከታታይ ለውጦች የሉም
No predecessors - this task can start independently,ቀድመው የሚሄዱ የሉም - ይህ ተግባር በራሱ ሊጀምር ይችላል
No project,ፕሮጀክት የለም
No projects found,ፕሮጀክቶች አልተገኙም
No Projects Yet,እስካሁን ፕሮጀክቶች የሉም
No recent activity,ቅርብ ጊዜ እንቅስቃሴ የለም
No related documents,ተዛማጅ ሰነዶች የሉም
No resolved threads.,የተፈቱ ክሮች የሉም።
No resources found,ሀብቶች አልተገኙም
No results found,ውጤቶች አልተገኙም
No skills listed,ክህሎቶች አልተዘረዘሩም
No skills recorded yet,እስካሁን ክህሎቶች አልተመዘገቡም
No successors - no tasks are waiting for this one,ተከታዮች የሉም - ለዚህ ተግባር ምንም ተግባራት እየጠበቁ አይደሉም
No task selected,ተግባር አልተመረጠም
No tasks assigned to you,ለእርስዎ የተመደቡ ተግባራት የሉም
No tasks available to add,ለማከል ዝግጁ ተግባራት የሉም
No tasks found,ተግባራት አልተገኙም
No tasks linked to this milestone,ከዚህ ምዕራፍ ጋር የተገናኙ ተግባራት የሉም
No tasks with dates to display,ለማሳየት ቀናት ያላቸው ተግባራት የሉም
No tasks yet,እስካሁን ተግባራት የሉም
No team members,የቡድን አባላት የሉም
No template,አብነት የለም
No templates yet,እስካሁን አብነቶች የሉም
No time data found,የሰዓት ውሂብ አልተገኘም
No time logged today,ዛሬ ሰዓት አልተመዘገበም
No time logged yet,እስካሁን ሰዓት አልተመዘገበም
No time logs for this period,ለዚህ ጊዜ የሰዓት መዝገቦች የሉም
No time logs found,የሰዓት መዝገቦች አልተገኙም
No unread notifications,ያልተነበቡ ማሳወቂያዎች የሉም
No update information available yet.,No update information available yet.
None,ምንም
Not found,አልተገኘም
Not permitted,ፈቃድ የለም
Not permitted to access this project,ይህን ፕሮጀክት ለማግኘት ፈቃድ የለም
Not permitted to access this task,ይህን ተግባር ለማግኘት ፈቃድ የለም
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,በዚህ ሰነድ ላይ ለማስተያየት ፈቃድ የለም
Not permitted to create clients,ደንበኞችን ለመፍጠር ፈቃድ የለም
Not permitted to delete this client,ይህን ደንበኛ ለመሰረዝ ፈቃድ የለም
Not permitted to delete this defect,ይህን ጉድለት ለመሰረዝ ፈቃድ የለም
Not permitted to delete this note,ይህን ማስታወሻ ለመሰረዝ ፈቃድ የለም
Not permitted to delete this project,ይህን ፕሮጀክት ለመሰረዝ ፈቃድ የለም
Not permitted to delete this task,ይህን ተግባር ለመሰረዝ ፈቃድ የለም
Not permitted to delete this time log,ይህን የሰዓት መዝገብ ለመሰረዝ ፈቃድ የለም
Not permitted to invite clients,ደንበኞችን ለመጋበዝ ፈቃድ የለም
Not permitted to modify client access,የደንበኛ መዳረሻ ለመቀየር ፈቃድ የለም
Not permitted to modify this project,ይህን ፕሮጀክት ለመቀየር ፈቃድ የለም
Not permitted to update settings,ቅንብሮችን ለማዘመን ፈቃድ የለም
Not permitted to update this client,ይህን ደንበኛ ለማዘመን ፈቃድ የለም
Not permitted to view this client,ይህን ደንበኛ ለማየት ፈቃድ የለም
not sent,አልተላከም
Not set,አልተቀናበረም
Not specified,አልተገለጸም
Note,ማስታወሻ
Note (optional),ማስታወሻ (ምርጫ)
Note Content,የማስታወሻ ይዘት
Note content is required,የማስታወሻ ይዘት ያስፈልጋል
Note name is required,የማስታወሻ ስም ያስፈልጋል
Note not found,ማስታወሻ አልተገኘም
Note Type,የማስታወሻ ዓይነት
Notes,ማስታወሻዎች
Notification,ማሳወቂያ
Notification not found,ማሳወቂያ አልተገኘም
Notifications,ማሳወቂያዎች
Off Track,ከመንገድ ውጪ
Offer,ቅናሽ
Offer Prepared,ቅናሽ ተዘጋጅቷል
Oldest First,የድሮው በመጀመሪያ
On Hold,በማቆያ ላይ
On Leave,በፈቃድ ላይ
On Track,በመንገድ ላይ
On-Time Rate,በሰዓት መጠን
Only administrators can delete activities,አስተዳዳሪዎች ብቻ እንቅስቃሴዎችን መሰረዝ ይችላሉ
Only the comment author or administrators can delete comments,የአስተያየት ጸሐፊ ወይም አስተዳዳሪዎች ብቻ አስተያየቶችን መሰረዝ ይችላሉ
Only you and admins,እርስዎ እና አስተዳዳሪዎች ብቻ
Open,ክፍት
Open in Desk,በዴስክ ውስጥ ክፈት
Open Task Log,የተግባር መዝገብ ክፈት
Open Tasks,ክፍት ተግባራት
Optional,ምርጫ
optional,ምርጫ
Or email us directly at,ወይም በቀጥታ ኢሜይል ያድርጉልን
Orga Project {0} from Frappe Projects,ከFrappe ፕሮጀክቶች Orga ፕሮጀክት {0}
Orga Task {0} from Frappe,ከFrappe Orga ተግባር {0}
Organizer,አዘጋጅ
Other,ሌላ
Over Budget,ከበጀት በላይ
Overall Progress,አጠቃላይ ሂደት
Overall Utilization,አጠቃላይ አጠቃቀም
Overallocated,ከልክ በላይ ተመድቧል
Overdue,ያለፈ
overdue,ያለፈ
Overdue Tasks,ያለፉ ተግባራት
Overview,አጠቃላይ ዕይታ
Owner,ባለቤት
Page Not Found,ገጽ አልተገኘም
Parent,ወላጅ
Parent comment must belong to the same document,ወላጅ አስተያየት ለተመሳሳይ ሰነድ መሆን አለበት
Parent comment not found,ወላጅ አስተያየት አልተገኘም
Parent project not synced to Frappe yet,ወላጅ ፕሮጀክት ገና ወደ Frappe አልተመሳሰለም
Parent project sync not enabled,ወላጅ ፕሮጀክት ማመሳሰል አልተነቃም
Partner,አጋር
Pending,በመጠባበቅ ላይ
per page,በገጽ
Perform initial assessment and background check,የመጀመሪያ ግምገማ እና ዳራ ማረጋገጫ ያድርጉ
Permanently remove this event,ይህን ክስተት ቋሚ ሰርዝ
Permanently remove this task,ይህን ተግባር ቋሚ ሰርዝ
Phone,ስልክ
Pin,ሰካ
Pin Activity,እንቅስቃሴ ሰካ
Pin to top,ወደ ላይ ሰካ
Pinned,ተሰክቷል
Planned budget for this task,ለዚህ ተግባር የታቀደ በጀት
Planning,ዕቅድ
Please describe your question or issue in detail...,እባክዎ ጥያቄዎን ወይም ችግርዎን በዝርዝር ያስረዱ...
Please login to access Orga,Orgaን ለማግኘት እባክዎ ይግቡ
Please login to access the client portal,የደንበኛ ፖርታልን ለማግኘት እባክዎ ይግቡ
Please respond to this invitation in Orga,እባክዎ በOrga ውስጥ ለዚህ ግብዣ ይመልሱ
Please select an image file,እባክዎ የምስል ፋይል ይምረጡ
Please try again,እባክዎ እንደገና ይሞክሩ
Please type,እባክዎ ይተይቡ
Portal,ፖርታል
Portal access revoked for {0},ለ{0} የፖርታል መዳረሻ ተሰርዟል
Portal user created successfully. Welcome email {0},የፖርታል ተጠቃሚ በተሳካ ሁኔታ ተፈጥሯል። የእንኳን ደህና መጡ ኢሜይል {0}
Post,ለጥፍ
Powered by,የተደገፈ በ
Powered by Tonic,የተደገፈ በTonic
Predecessors (Blocked By),ቀዳሚዎች (የታገዱ በ)
Preferences,ምርጫዎች
Preferences saved successfully,ምርጫዎች በተሳካ ሁኔታ ተቀምጠዋል
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",በራስ-ሰር ለሚፈጠሩ የፕሮጀክት ኮዶች ቅድመ-ቅጥያ (ለምሳሌ ORG-2026-0001)
Prepare and document offer terms,የቅናሽ ውሎችን ያዘጋጁ እና ያስመዝግቡ
Press,ይጫኑ
Preview,ቅድመ-ዕይታ
Preview cascade before applying,ከመተግበር በፊት ተከታታይን ቅድመ-ዕይታ ያድርጉ
Previous,ቀዳሚ
Priority,ቅድሚያ
Priority assigned to new tasks,ለአዲስ ተግባራት የተመደበ ቅድሚያ
Priority updated,ቅድሚያ ተዘምኗል
Proficiency,ብቃት
Profile,መገለጫ
Progress,ሂደት
Progress (High-Low),ሂደት (ከፍተኛ-ዝቅተኛ)
Progress (Low-High),ሂደት (ዝቅተኛ-ከፍተኛ)
Progress Overview,የሂደት አጠቃላይ ዕይታ
Progress updated,ሂደት ተዘምኗል
Project,ፕሮጀክት
Project budget has been saved.,የፕሮጀክት በጀት ተቀምጧል።
Project code (e.g. ORG-2026-0001),የፕሮጀክት ኮድ (ለምሳሌ ORG-2026-0001)
Project Code Prefix,የፕሮጀክት ኮድ ቅድመ-ቅጥያ
Project created,ፕሮጀክት ተፈጥሯል
Project deleted,ፕሮጀክት ተሰርዟል
Project description has been saved.,የፕሮጀክት መግለጫ ተቀምጧል።
Project Details,የፕሮጀክት ዝርዝሮች
Project end date has been saved.,የፕሮጀክት ማብቂያ ቀን ተቀምጧል።
Project Files,የፕሮጀክት ፋይሎች
Project has no linked client,ፕሮጀክት የተገናኘ ደንበኛ የለውም
Project Health,የፕሮጀክት ጤና
Project Info,የፕሮጀክት መረጃ
Project is required,ፕሮጀክት ያስፈልጋል
Project is required for project context,ለፕሮጀክት አውድ ፕሮጀክት ያስፈልጋል
Project is required when tracking context is 'project',የክትትል አውድ 'project' ሲሆን ፕሮጀክት ያስፈልጋል
Project Manager,የፕሮጀክት አስተዳዳሪ
Project Name,የፕሮጀክት ስም
