+ Add Milestone,+ Lisää välitavoite
Group dependency removed,Ryhmäriippuvuus poistettu
Group dependency set,Ryhmäriippuvuus asetettu
Group removed,Ryhmä poistettu
Group updated,Ryhmä päivitetty
Hammock task dates are auto-calculated and cannot be changed manually,Riippukeinutehtävän päivämäärät lasketaan automaattisesti eikä niitä voi muuttaa käsin
Have a question or need assistance? Fill out the form below and our team will get back to you.,Onko sinulla kysyttävää tai tarvitsetko apua? Täytä alla oleva lomake niin tiimimme palaa asiaan.
Health,Terveys
Healthy,Terve
Hello {0},Hei {0}
Here's what's happening with your projects today.,Tässä on mitä projekteissasi tapahtuu tänään.
Hide,Piilota
High,Korkea
History,Historia
Home,Etusivu
Hourly Cost,Tuntikustannus
Hours,Tunnit
hours,tuntia
Hours Logged,Kirjatut tunnit
ID,Tunnus
Image must be smaller than 5 MB,Kuvan on oltava alle 5 Mt
Import,Tuo
Import existing projects and tasks from Frappe Projects module,Tuo olemassa olevat projektit ja tehtävät Frappe Projects -moduulista
Import failed,Tuonti epäonnistui
Import Template,Tuo malli
Imported,Tuotu
in,kohteessa
In Progress,Käynnissä
In Review,Katselmuksessa
In-app notifications,Sovelluksen sisäiset ilmoitukset
Inactive,Ei-aktiivinen
Initial Review,Alustava katselmus
Installed Version,Installed Version
Insufficient permissions to view all tasks,Riittämättömät oikeudet kaikkien tehtävien näyttämiseen
Intermediate,Keskitaso
Internal,Sisäinen
Invalid DocType,Virheellinen DocType
Invalid DocType for import,Virheellinen DocType tuontiin
Invalid item type: {0},Virheellinen kohdan tyyppi: {0}
Invalid JSON data,Virheellinen JSON-data
Invalid note type. Must be one of: {0},Virheellinen muistiinpanotyyppi. Täytyy olla jokin seuraavista: {0}
Invalid project reference,Virheellinen projektiviite
Invalid reaction type. Must be one of: {0},Virheellinen reaktiotyyppi. Täytyy olla jokin seuraavista: {0}
Invalid RSVP status,Virheellinen RSVP-tila
Invalid status. Must be one of: {0},Virheellinen tila. Täytyy olla jokin seuraavista: {0}
Invalid status: {0},Virheellinen tila: {0}
Invalid status: {0}. Must be one of: {1},Virheellinen tila: {0}. Täytyy olla jokin seuraavista: {1}
Invalid tracking context: {0},Virheellinen seurantakonteksti: {0}
Invalid visibility. Must be one of: {0},Virheellinen näkyvyys. Täytyy olla jokin seuraavista: {0}
Invitation: {0} - {1} at {2},Kutsu: {0} - {1} klo {2}
Invite People,Kutsu henkilöitä
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Kohta lisätty
Item ID is required,Kohdan tunnus on pakollinen
Item removed,Kohta poistettu
Item type is required,Kohdan tyyppi on pakollinen
Item {0} not found,Kohtaa {0} ei löytynyt
Job title or role,Tehtävänimike tai rooli
Join Meeting,Liity tapaamiseen
Just now,Juuri nyt
just now,juuri nyt
Kanban,Kanban
Kanban Board,Kanban-taulu
Kanban View,Kanban-näkymä
Keyboard Shortcuts,Pikanäppäimet
Keyboard shortcuts (?),Pikanäppäimet (?)
Last checked: {0},Last checked: {0}
Last Updated,Viimeksi päivitetty
Last updated:,Viimeksi päivitetty:
Last Week,Viime viikolla
Latest Version,Latest Version
Light,Vaalea
Link failed,Linkittäminen epäonnistui
Link Task,Linkitä tehtävä
Linked,Linkitetty
Linked employee not found,Linkitettyä työntekijää ei löytynyt
Linked Tasks,Linkitetyt tehtävät
List,Lista
List View,Listanäkymä
Load failed,Lataaminen epäonnistui
Load More,Lataa lisää
Load more comments,Lataa lisää kommentteja
Loading activity...,Ladataan toimintaa...
Loading changes...,Ladataan muutoksia...
Loading checklist...,Ladataan tarkistuslistaa...
Loading comments...,Ladataan kommentteja...
Loading contact...,Ladataan yhteyshenkilöä...
Loading contacts...,Ladataan yhteyshenkilöitä...
Loading dependencies...,Ladataan riippuvuuksia...
Loading details...,Ladataan tietoja...
Loading discussion...,Ladataan keskustelua...
Loading events...,Ladataan tapahtumia...
Loading files...,Ladataan tiedostoja...
Loading notes...,Ladataan muistiinpanoja...
Loading preferences...,Ladataan asetuksia...
Loading project...,Ladataan projektia...
Loading projects...,Ladataan projekteja...
Loading replies...,Ladataan vastauksia...
Loading report data...,Ladataan raportin tietoja...
Loading settings...,Ladataan asetuksia...
Loading task...,Ladataan tehtävää...
Loading templates...,Ladataan malleja...
Loading time logs...,Ladataan aikamerkintöjä...
Loading your portal...,Ladataan portaaliasi...
Loading...,Ladataan...
Location,Sijainti
Log Time,Kirjaa aika
Logout,Kirjaudu ulos
Low,Matala
Make Offer,Tee tarjous
Manager,Esimies
Manual Entry,Manuaalinen syöttö
Margin,Marginaali
Mark all as read,Merkitse kaikki luetuiksi
Mark all read,Merkitse kaikki luetuiksi
Mark as read,Merkitse luetuksi
Mark as unread,Merkitse lukemattomaksi
Mark read,Merkitse luetuksi
Marking...,Merkitään...
Material,Materiaali
Maybe,Ehkä
Medium,Keskitaso
Meeting,Tapaaminen
Meeting Link,Tapaamisen linkki
Meeting title,Tapaamisen otsikko
Meeting URL,Tapaamisen URL
Meetings,Tapaamiset
Mention,Maininta
Message,Viesti
Message is required,Viesti on pakollinen
Message is required for '{0}' action,Viesti vaaditaan '{0}'-toiminnolle
Migrate,Siirrä
Migration Complete,Siirto valmis
Migration ID:,Siirtotunnus:
Migration log not found: {0},Siirtolokia ei löytynyt: {0}
Milestone,Välitavoite
milestone,välitavoite
Milestone created,Välitavoite luotu
Milestone description has been saved.,Välitavoitteen kuvaus on tallennettu.
Milestone ID is required,Välitavoitteen tunnus on pakollinen
Milestone marked as Missed (past due date),Välitavoite merkitty ohitetuksi (eräpäivä mennyt)
Milestone moved,Välitavoite siirretty
Milestone Name,Välitavoitteen nimi
Milestone name has been saved.,Välitavoitteen nimi on tallennettu.
Milestone name is required,Välitavoitteen nimi on pakollinen
Milestone updated,Välitavoite päivitetty
Milestone {0} not found,Välitavoitetta {0} ei löytynyt
Milestone {0} not in project {1},Välitavoite {0} ei ole projektissa {1}
Milestones,Välitavoitteet
milestones,välitavoitetta
Milestones:,Välitavoitteet:
Minutes,Minuutit
Missed,Ohitettu
Mixed,Sekalainen
Mobile,Mobiili
Moderate,Kohtalainen
Modified,Muokattu
"Modify details, time, or attendees","Muokkaa tietoja, aikaa tai osallistujia"
Mon,Ma
Month,Kuukausi
Move failed,Siirtäminen epäonnistui
Must be a positive number,Täytyy olla positiivinen luku
Must finish before this finishes,Täytyy valmistua ennen kuin tämä valmistuu
Must finish before this starts,Täytyy valmistua ennen kuin tämä alkaa
Must start before this finishes,Täytyy alkaa ennen kuin tämä valmistuu
Must start before this starts,Täytyy alkaa ennen kuin tämä alkaa
My Assignments,Toimeksiantoni
My Projects,Projektini
My Schedule,Aikatauluni
My Tasks,Tehtäväni
N/A,Ei sovellettavissa
Name,Nimi
Name (A-Z),Nimi (A-Ö)
Name (Z-A),Nimi (Ö-A)
Name cannot exceed 255 characters,Nimi ei voi ylittää 255 merkkiä
Need help?,Tarvitsetko apua?
Needs Attention,Vaatii huomiota
Never,Never
new activities,uutta toimintaa
New Activity,Uusi toiminta
New activity,Uusi toiminta
New Event,Uusi tapahtuma
New index is required,Uusi indeksi vaaditaan
New Project,Uusi projekti
New tasks will auto-trail by default.,Uudet tehtävät liukuvat automaattisesti oletuksena.
Newest First,Uusin ensin
Next,Seuraava
Next 14 days,Seuraavat 14 päivää
Next 30 days,Seuraavat 30 päivää
Next 60 days,Seuraavat 60 päivää
Next 7 days,Seuraavat 7 päivää
Next 90 days,Seuraavat 90 päivää
Next Week,Ensi viikolla
Next:,Seuraava:
No,Ei
No active assignments,Ei aktiivisia toimeksiantoja
No active projects,Ei aktiivisia projekteja
No active timer found,Aktiivista ajastinta ei löytynyt
No activity selected,Toimintaa ei ole valittu
No assignments found,Toimeksiantoja ei löytynyt
No attendees,Ei osallistujia
no change,ei muutoksia
No changes for this field.,Ei muutoksia tälle kentälle.
No changes recorded for this activity.,Ei muutoksia kirjattu tälle toiminnalle.
No checklist items yet,Ei tarkistuslistan kohtia vielä
No checklist items yet.,Ei tarkistuslistan kohtia vielä.
No comments yet,Ei kommentteja vielä
No comments yet.,Ei kommentteja vielä.
No contacts available,Ei yhteyshenkilöitä saatavilla
No content for this tab,Ei sisältöä tälle välilehdelle
No data available,Ei tietoja saatavilla
No data available for the selected filters,Ei tietoja saatavilla valituille suodattimille
No data to export,Ei tietoja vietäväksi
No dates set,Päivämääriä ei ole asetettu
No defects reported,Ei raportoituja vikoja
No dependencies defined,Riippuvuuksia ei ole määritetty
No description,Ei kuvausta
No discussion yet.,Ei keskustelua vielä.
No documents attached,Ei liitettyjä dokumentteja
No due date,Ei eräpäivää
No employee linked to this resource,Työntekijää ei ole linkitetty tähän resurssiin
No ERPNext employee linked to resource,ERPNext-työntekijää ei ole linkitetty resurssiin
No events found,Tapahtumia ei löytynyt
No files attached yet.,Ei liitettyjä tiedostoja vielä.
No Frappe Project linked,Frappe-projektia ei ole linkitetty
No Grouping,Ei ryhmittelyä
No items,Ei kohtia
No matching tasks,Ei vastaavia tehtäviä
No matching tasks found,Vastaavia tehtäviä ei löytynyt
No migration history,Ei siirtohistoriaa
No Milestone,Ei välitavoitetta
No milestones,Ei välitavoitteita
No milestones defined for this project.,Tälle projektille ei ole määritetty välitavoitteita.
No notes yet.,Ei muistiinpanoja vielä.
No notes yet. Add a due diligence note to track progress.,Ei muistiinpanoja vielä. Lisää ennakkoselvitysmuistiinpano edistymisen seuraamiseksi.
No notifications,Ei ilmoituksia
No Orga Project linked to Frappe Project {0},Orga-projektia ei ole linkitetty Frappe-projektiin {0}
No overdue tasks,Ei myöhästyneitä tehtäviä
No pending cascade changes,Ei odottavia ketjumuutoksia
No predecessors - this task can start independently,Ei edeltäjiä — tämä tehtävä voi alkaa itsenäisesti
No project,Ei projektia
No projects found,Projekteja ei löytynyt
No Projects Yet,Ei projekteja vielä
No recent activity,Ei viimeaikaista toimintaa
No related documents,Ei liittyviä dokumentteja
No resolved threads.,Ei ratkaistuja keskusteluketjuja.
No resources found,Resursseja ei löytynyt
No results found,Tuloksia ei löytynyt
No skills listed,Ei lueteltuja taitoja
No skills recorded yet,Ei kirjattuja taitoja vielä
No successors - no tasks are waiting for this one,Ei seuraajia — mikään tehtävä ei odota tätä
No task selected,Tehtävää ei ole valittu
No tasks assigned to you,Sinulle ei ole vastuutettu tehtäviä
No tasks available to add,Ei lisättäviä tehtäviä
No tasks found,Tehtäviä ei löytynyt
No tasks linked to this milestone,Tähän välitavoitteeseen ei ole linkitetty tehtäviä
No tasks with dates to display,Ei näytettäviä tehtäviä päivämäärillä
No tasks yet,Ei tehtäviä vielä
No team members,Ei tiimin jäseniä
No template,Ei mallia
No templates yet,Ei malleja vielä
No time data found,Aikatietoja ei löytynyt
No time logged today,Ei kirjattua aikaa tänään
No time logged yet,Ei kirjattua aikaa vielä
No time logs for this period,Ei aikamerkintöjä tälle jaksolle
No time logs found,Aikamerkintöjä ei löytynyt
No unread notifications,Ei lukemattomia ilmoituksia
No update information available yet.,No update information available yet.
None,Ei mitään
Not found,Ei löytynyt
Not permitted,Ei sallittu
Not permitted to access this project,Pääsy tähän projektiin ei ole sallittu
Not permitted to access this task,Pääsy tähän tehtävään ei ole sallittu
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ei oikeutta kommentoida tätä dokumenttia
Not permitted to create clients,Ei oikeutta luoda asiakkaita
Not permitted to delete this client,Ei oikeutta poistaa tätä asiakasta
Not permitted to delete this defect,Ei oikeutta poistaa tätä vikaa
Not permitted to delete this note,Ei oikeutta poistaa tätä muistiinpanoa
Not permitted to delete this project,Ei oikeutta poistaa tätä projektia
Not permitted to delete this task,Ei oikeutta poistaa tätä tehtävää
Not permitted to delete this time log,Ei oikeutta poistaa tätä aikamerkintää
Not permitted to invite clients,Ei oikeutta kutsua asiakkaita
Not permitted to modify client access,Ei oikeutta muokata asiakkaan pääsyä
Not permitted to modify this project,Ei oikeutta muokata tätä projektia
Not permitted to update settings,Ei oikeutta päivittää asetuksia
Not permitted to update this client,Ei oikeutta päivittää tätä asiakasta
Not permitted to view this client,Ei oikeutta nähdä tätä asiakasta
not sent,ei lähetetty
Not set,Ei asetettu
Not specified,Ei määritetty
Note,Muistiinpano
Note (optional),Muistiinpano (valinnainen)
Note Content,Muistiinpanon sisältö
Note content is required,Muistiinpanon sisältö on pakollinen
Note name is required,Muistiinpanon nimi on pakollinen
Note not found,Muistiinpanoa ei löytynyt
Note Type,Muistiinpanon tyyppi
Notes,Muistiinpanot
Notification,Ilmoitus
Notification not found,Ilmoitusta ei löytynyt
Notifications,Ilmoitukset
Off Track,Pois raiteiltaan
Offer,Tarjous
Offer Prepared,Tarjous valmisteltu
Oldest First,Vanhin ensin
On Hold,Pidossa
On Leave,Vapaalla
On Track,Aikataulussa
On-Time Rate,Ajallaan-prosentti
Only administrators can delete activities,Vain ylläpitäjät voivat poistaa toimintoja
Only the comment author or administrators can delete comments,Vain kommentin kirjoittaja tai ylläpitäjät voivat poistaa kommentteja
Only you and admins,Vain sinä ja ylläpitäjät
Open,Avoin
Open in Desk,Avaa Desk-näkymässä
Open Task Log,Avaa tehtäväloki
Open Tasks,Avoimet tehtävät
Optional,Valinnainen
optional,valinnainen
Or email us directly at,Tai lähetä meille sähköpostia suoraan osoitteeseen
Orga Project {0} from Frappe Projects,Orga-projekti {0} Frappe Projects -moduulista
Orga Task {0} from Frappe,Orga-tehtävä {0} Frappe-järjestelmästä
Organizer,Järjestäjä
Other,Muu
Over Budget,Yli budjetin
Overall Progress,Kokonaisedistyminen
Overall Utilization,Kokonaiskäyttöaste
Overallocated,Ylikuormitettu
Overdue,Myöhässä
overdue,myöhässä
Overdue Tasks,Myöhästyneet tehtävät
Overview,Yleiskatsaus
Owner,Omistaja
Page Not Found,Sivua ei löytynyt
Parent,Ylätehtävä
Parent comment must belong to the same document,Yläkommentin täytyy kuulua samaan dokumenttiin
Parent comment not found,Yläkommenttia ei löytynyt
Parent project not synced to Frappe yet,Yläprojektia ei ole vielä synkronoitu Frappe-järjestelmään
Parent project sync not enabled,Yläprojektin synkronointi ei ole käytössä
Partner,Kumppani
Pending,Odottaa
per page,sivua kohden
Perform initial assessment and background check,Suorita alustava arviointi ja taustatarkistus
Permanently remove this event,Poista tämä tapahtuma pysyvästi
Permanently remove this task,Poista tämä tehtävä pysyvästi
Phone,Puhelin
Pin,Kiinnitä
Pin Activity,Kiinnitä toiminta
Pin to top,Kiinnitä ylös
Pinned,Kiinnitetty
Planned budget for this task,Tämän tehtävän suunniteltu budjetti
Planning,Suunnittelu
Please describe your question or issue in detail...,Kuvaile kysymyksesi tai ongelmasi yksityiskohtaisesti...
Please login to access Orga,Kirjaudu sisään päästäksesi Orga-järjestelmään
Please login to access the client portal,Kirjaudu sisään päästäksesi asiakasportaaliin
Please respond to this invitation in Orga,Vastaa tähän kutsuun Orga-järjestelmässä
Please select an image file,Valitse kuvatiedosto
Please try again,Yritä uudelleen
Please type,Kirjoita
Portal,Portaali
Portal access revoked for {0},Portaalipääsy peruutettu käyttäjältä {0}
Portal user created successfully. Welcome email {0},Portaalikäyttäjä luotu onnistuneesti. Tervetulosähköposti {0}
Post,Julkaise
Powered by,Tekniikka
Powered by Tonic,Tekniikka Tonic
Predecessors (Blocked By),Edeltäjät (estetty)
Preferences,Asetukset
Preferences saved successfully,Asetukset tallennettu onnistuneesti
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Automaattisesti luotujen projektikoodien etuliite (esim. ORG-2026-0001)
Prepare and document offer terms,Valmistele ja dokumentoi tarjousehdot
Press,Paina
Preview,Esikatselu
Preview cascade before applying,Esikatsele ketjutus ennen käyttöönottoa
Previous,Edellinen
Priority,Prioriteetti
Priority assigned to new tasks,Uusille tehtäville määrätty prioriteetti
Priority updated,Prioriteetti päivitetty
Proficiency,Osaamistaso
Profile,Profiili
Progress,Edistyminen
Progress (High-Low),Edistyminen (laskeva)
Progress (Low-High),Edistyminen (nouseva)
Progress Overview,Edistymisen yleiskatsaus
Progress updated,Edistyminen päivitetty
Project,Projekti
Project budget has been saved.,Projektin budjetti on tallennettu.
Project code (e.g. ORG-2026-0001),Projektikoodi (esim. ORG-2026-0001)
Project Code Prefix,Projektikoodin etuliite
Project created,Projekti luotu
Project deleted,Projekti poistettu
Project description has been saved.,Projektin kuvaus on tallennettu.
Project Details,Projektin tiedot
Project end date has been saved.,Projektin päättymispäivä on tallennettu.
Project Files,Projektitiedostot
Project has no linked client,Projektilla ei ole linkitettyä asiakasta
Project Health,Projektin terveys
Project Info,Projektin tiedot
Project is required,Projekti vaaditaan
Project is required for project context,Projekti vaaditaan projektikontekstissa
Project is required when tracking context is 'project',Projekti vaaditaan kun seurantakonteksti on 'projekti'
Project Manager,Projektipäällikkö
Project Name,Projektin nimi
Project name and template name are required,Projektin nimi ja mallin nimi vaaditaan
Project name is required,Projektin nimi on pakollinen
Project not found,Projektia ei löytynyt
Project not found or you do not have access,Projektia ei löytynyt tai sinulla ei ole pääsyä
Project settings,Projektiasetukset
Project start date has been saved.,Projektin aloituspäivä on tallennettu.
Project title has been saved.,Projektin otsikko on tallennettu.
Project Type,Projektin tyyppi
Project updated,Projekti päivitetty
Project {0} linked to client {1},Projekti {0} linkitetty asiakkaaseen {1}
Project {0} not found,Projektia {0} ei löytynyt
Project {0} to Frappe Projects,Projekti {0} Frappe Projects -järjestelmään
Project:,Projekti:
Projects,Projektit
projects,projektia
Projects created:,Luodut projektit:
Projects Overview,Projektien yleiskatsaus
Projects skipped:,Ohitetut projektit:
Projects updated:,Päivitetyt projektit:
Promote failed,Ylentäminen epäonnistui
Promote to task,Ylennä tehtäväksi
Promoted to task,Ylennetty tehtäväksi
Propose,Ehdota
Propose New Time,Ehdota uutta aikaa
Propose Time,Ehdota aikaa
Proposed End,Ehdotettu loppu
Proposed Start,Ehdotettu alku
Public,Julkinen
Quick Action,Pikatoiminto
Quick Actions,Pikatoiminnot
Quick Stats,Pikatilastot
Rates,Hinnat
Receive notifications via email,Vastaanota ilmoituksia sähköpostitse
Receive notifications within the application,Vastaanota ilmoituksia sovelluksen sisällä
Recent Activity,Viimeaikainen toiminta
Recipient {0} is not a valid user,Vastaanottaja {0} ei ole kelvollinen käyttäjä
Reference,Viite
Refresh,Päivitä
Related,Liittyvä
Related Company (optional),Liittyvä yritys (valinnainen)
Related Documents,Liittyvät dokumentit
Related Project,Liittyvä projekti
Remaining,Jäljellä
Reminder,Muistutus
Reminder Lead Time,Muistutuksen ennakkoaika
Reminder: {0} - {1} at {2},Muistutus: {0} - {1} klo {2}
Remove,Poista
Remove dependency,Poista riippuvuus
Remove dependency on,Poista riippuvuus kohteesta
Remove from group,Poista ryhmästä
Remove group dependency,Poista ryhmäriippuvuus
Remove skill,Poista taito
Reopen,Avaa uudelleen
Reopen thread,Avaa keskusteluketju uudelleen
reopened,avattu uudelleen
replies,vastausta
Reply,Vastaa
reply,vastaus
Replying to,Vastataan
Replying to comment,Vastataan kommenttiin
Report Defect,Raportoi vika
Reported Date,Raportointipäivä
Reports,Raportit
Reports To,Raportoi kenelle
Request Submitted!,Pyyntö lähetetty!
Required,Pakollinen
required,pakollinen
Research,Tutkimus
Reset to Defaults,Palauta oletukset
Resolve,Ratkaise
Resolve thread,Ratkaise keskusteluketju
Resolved,Ratkaistu
Resolved date cannot be before reported date,Ratkaisupäivä ei voi olla ennen raportointipäivää
Resource,Resurssi
Resource and skill name are required,Resurssi ja taidon nimi vaaditaan
Resource is already an attendee,Resurssi on jo osallistuja
Resource name is required,Resurssin nimi on pakollinen
Resource not found,Resurssia ei löytynyt
Resource synced from employee {0},Resurssi synkronoitu työntekijästä {0}
Resource {0} is already assigned to this task ({1}),Resurssi {0} on jo vastuutettu tähän tehtävään ({1})
Resource {0} not found,Resurssia {0} ei löytynyt
Resources,Yhteyshenkilöt
Retry,Yritä uudelleen
Review,Katselmus
Review all relevant documents and contracts,Tarkista kaikki asiaankuuluvat dokumentit ja sopimukset
Reviews,Katselmukset
Risk Assessment,Riskiarviointi
Rollback,Peruuta
Rolled back,Peruutettu
Room or address,Huone tai osoite
RSVP,RSVP
Safety,Turvallisuus
Sat,La
Save,Tallenna
"Save a project as a template, or import one from a JSON file.",Tallenna projekti malliksi tai tuo malli JSON-tiedostosta.
Save as Template,Tallenna malliksi
Save Changes,Tallenna muutokset
Save failed,Tallentaminen epäonnistui
Save Preferences,Tallenna asetukset
Save Template,Tallenna malli
Saving...,Tallennetaan...
Schedule,Aikataulu
Schedule type is required for scheduled triggers,Aikataulutyyppi vaaditaan ajastetuille käynnistimille
Scheduled,Aikataulutettu
Search,Hae
"Search by name, email, or skill...","Hae nimellä, sähköpostilla tai taidolla..."
Search for a project...,Hae projektia...
Search for a task...,Hae tehtävää...
Search for an event...,Hae tapahtumaa...
Search for people to invite...,Hae kutsuttavia henkilöitä...
Search tasks to link...,Hae linkitettäviä tehtäviä...
Search tasks...,Hae tehtäviä...
Search...,Hae...
Searching...,Haetaan...
Seen,Nähty
Select a project if your request is related to a specific project.,Valitse projekti jos pyyntösi liittyy tiettyyn projektiin.
Select a project...,Valitse projekti...
Select a task from the Gantt chart to view and manage its details.,Valitse tehtävä Gantt-kaaviosta nähdäksesi ja hallitaksesi sen tietoja.
Select a task from the list or Kanban board to view and manage its details.,Valitse tehtävä listasta tai Kanban-taulusta nähdäksesi ja hallitaksesi sen tietoja.
Select a template...,Valitse malli...
Select priority...,Valitse prioriteetti...
Select status...,Valitse tila...
Select task...,Valitse tehtävä...
Select type...,Valitse tyyppi...
Selection,Valinta
Send,Lähetä
Send comment,Lähetä kommentti
Send email invitations to attendees,Lähetä sähköpostikutsut osallistujille
Send Invitations,Lähetä kutsut
Send notification when a task is assigned to a user,Lähetä ilmoitus kun tehtävä vastuutetaan käyttäjälle
Send notification when task status changes,Lähetä ilmoitus kun tehtävän tila muuttuu
Send reminder before task due date,Lähetä muistutus ennen tehtävän eräpäivää
sent,lähetetty
Set rate,Aseta hinta
Settings,Asetukset
Settings saved successfully,Asetukset tallennettu onnistuneesti
Severity,Vakavuus
SF (Start-Finish),SF (Alku-Loppu)
SF - Start-to-Finish,SF - Alusta-loppuun
Show,Näytä
Show all,Näytä kaikki
Show all changes,Näytä kaikki muutokset
Show Archived,Näytä arkistoidut
Show full diff,Näytä koko ero
Show less,Näytä vähemmän
Show more,Näytä lisää
Skill added,Taito lisätty
Skill is required,Taito vaaditaan
Skill Name,Taidon nimi
Skill removed,Taito poistettu
Skill {0} already exists for this resource,Taito {0} on jo olemassa tälle resurssille
Skills,Taidot
Skills & Competencies,Taidot ja pätevyydet
Skip already migrated projects,Ohita jo siirretyt projektit
Sort by,Lajittele
Sort: Due Date,Lajittelu: Eräpäivä
Sort: Priority,Lajittelu: Prioriteetti
Sort: Project,Lajittelu: Projekti
Sort: Status,Lajittelu: Tila
Sort: Task,Lajittelu: Tehtävä
Source Code,Lähdekoodi
Spent,Käytetty
Spent:,Käytetty:
SS (Start-Start),SS (Alku-Alku)
SS - Start-to-Start,SS - Alusta-alkuun
Standalone,Itsenäinen
Start,Alku
Start a discussion below,Aloita keskustelu alla
Start Date,Aloituspäivä
Start date,Aloituspäivä
Start Date (Earliest),Aloituspäivä (aikaisin)
Start date updated,Aloituspäivä päivitetty
Start date/time is required,Aloituspäivä/-aika vaaditaan
Start Migration,Aloita siirto
Start the conversation below.,Aloita keskustelu alla.
Start Timer,Käynnistä ajastin
Start typing to search...,Ala kirjoittaa hakeaksesi...
Start-to-Finish,Alusta-loppuun
Start-to-Start,Alusta-alkuun
Start:,Alku:
Statistics reset,Tilastot nollattu
Status,Tila
Status assigned to new projects,Uusille projekteille määrätty tila
Status assigned to new tasks,Uusille tehtäville määrätty tila
Status Changes,Tilamuutokset
Status updated,Tila päivitetty
Status:,Tila:
Stop,Pysäytä
Stop & Save,Pysäytä ja tallenna
Stop Timer,Pysäytä ajastin
Stops current timer and starts for this event,Pysäyttää nykyisen ajastimen ja käynnistää tälle tapahtumalle
Stops current timer and starts for this task,Pysäyttää nykyisen ajastimen ja käynnistää tälle tehtävälle
Subject,Aihe
Subject cannot exceed 255 characters,Aihe ei voi ylittää 255 merkkiä
Subject is required,Aihe on pakollinen
Submit,Lähetä
Submit Another Request,Lähetä toinen pyyntö
Submit Request,Lähetä pyyntö
Submitting...,Lähetetään...
Successfully saved,Tallennettu onnistuneesti
Successors (Blocking),Seuraajat (estävät)
Sun,Su
Supplier,Toimittaja
Support,Tuki
Switch to this event,Vaihda tähän tapahtumaan
Switch to this task,Vaihda tähän tehtävään
Sync direction is set to Frappe to Orga only,Synkronointisuunta on asetettu vain Frappe-järjestelmästä Orga-järjestelmään
Sync direction is set to Orga to Frappe only,Synkronointisuunta on asetettu vain Orga-järjestelmästä Frappe-järjestelmään
Sync not enabled for this project,Synkronointi ei ole käytössä tälle projektille
System,Järjestelmä
Table,Taulukko
Take ownership of this task,Ota tämä tehtävä vastuullesi
Target Date,Tavoitepäivä
Target End,Tavoitteen loppu
Target Project,Kohdeprojekti
Target user is required for '{0}' action,Kohdekäyttäjä vaaditaan '{0}'-toiminnolle
Task,Tehtävä
task,tehtävä
Task '{0}' is due on {1}.,Tehtävän '{0}' eräpäivä on {1}.
Task and resource are required,Tehtävä ja resurssi vaaditaan
Task Assignment,Tehtävän toimeksianto
Task cannot be its own parent,Tehtävä ei voi olla oma ylätehtävänsä
Task cannot depend on itself,Tehtävä ei voi riippua itsestään
Task cannot depend on the group it belongs to,Tehtävä ei voi riippua ryhmästä johon se kuuluu
Task created,Tehtävä luotu
Task deleted,Tehtävä poistettu
Task description has been saved.,Tehtävän kuvaus on tallennettu.
Task Details,Tehtävän tiedot
Task due in {0} days: {1},Tehtävä erääntyy {0} päivän kuluttua: {1}
Task due today: {0},Tänään erääntyvä tehtävä: {0}
Task due tomorrow: {0},Huomenna erääntyvä tehtävä: {0}
Task duplicated,Tehtävä kahdennettu
Task Group,Tehtäväryhmä
Task ID is required,Tehtävän tunnus on pakollinen
Task is blocked by incomplete dependencies,Tehtävän estävät keskeneräiset riippuvuudet
Task is cancelled,Tehtävä on peruutettu
Task is completed,Tehtävä on valmis
Task is no longer blocked by a group,Tehtävää ei enää estä ryhmä
Task is required for task context,Tehtävä vaaditaan tehtäväkontekstissa
Task is required when tracking context is 'task',Tehtävä vaaditaan kun seurantakonteksti on 'tehtävä'
Task linked,Tehtävä linkitetty
Task moved,Tehtävä siirretty
Task name,Tehtävän nimi
Task name is required,Tehtävän nimi on pakollinen
Task removed from group,Tehtävä poistettu ryhmästä
Task Subject,Tehtävän aihe
Task subject is required,Tehtävän aihe on pakollinen
Task Type,Tehtävätyyppi
Task unblocked: {0},Tehtävä vapautettu: {0}
Task unlinked,Tehtävän linkitys poistettu
Task updated,Tehtävä päivitetty
Task {0} not found,Tehtävää {0} ei löytynyt
Task {0} not in project {1},Tehtävä {0} ei ole projektissa {1}
Task {0} to Frappe,Tehtävä {0} Frappe-järjestelmään
Tasks,Tehtävät
tasks,tehtävää
Tasks and milestones will be created with dates relative to the project start date.,Tehtävät ja välitavoitteet luodaan projektin aloituspäivään suhteutetuilla päivämäärillä.
Tasks assigned to you across all projects.,Sinulle vastuutetut tehtävät kaikista projekteista.
Tasks created:,Luodut tehtävät:
Tasks from projects you manage.,Tehtävät hallinnoimistasi projekteista.
Tasks updated:,Päivitetyt tehtävät:
"Tasks, milestones, and dependencies have been created.","Tehtävät, välitavoitteet ja riippuvuudet on luotu."
Tasks:,Tehtävät:
TBD,Myöhemmin määritettävä
Team,Tiimi
Team Members,Tiimin jäsenet
Template,Malli
