+ Add Milestone,+ Magdagdag ng Milestone
Image must be smaller than 5 MB,Ang imahe ay dapat mas maliit sa 5 MB
Import,I-import
Import existing projects and tasks from Frappe Projects module,I-import ang mga umiiral na proyekto at gawain mula sa Frappe Projects module
Import failed,Nabigo ang pag-import
Import Template,I-import ang Template
Imported,Na-import
in,sa
In Progress,Isinasagawa
In Review,Sinusuri
In-app notifications,Mga notification sa loob ng app
Inactive,Hindi aktibo
Initial Review,Unang Pagsusuri
Installed Version,Installed Version
Insufficient permissions to view all tasks,Hindi sapat ang pahintulot para tingnan ang lahat ng gawain
Intermediate,Katamtaman
Internal,Panloob
Invalid DocType,Hindi valid na DocType
Invalid DocType for import,Hindi valid na DocType para sa pag-import
Invalid item type: {0},Hindi valid na uri ng item: {0}
Invalid JSON data,Hindi valid na JSON data
Invalid note type. Must be one of: {0},Hindi valid na uri ng tala. Dapat isa sa mga: {0}
Invalid project reference,Hindi valid na reference ng proyekto
Invalid reaction type. Must be one of: {0},Hindi valid na uri ng reaksyon. Dapat isa sa mga: {0}
Invalid RSVP status,Hindi valid na RSVP status
Invalid status. Must be one of: {0},Hindi valid na status. Dapat isa sa mga: {0}
Invalid status: {0},Hindi valid na status: {0}
Invalid status: {0}. Must be one of: {1},Hindi valid na status: {0}. Dapat isa sa mga: {1}
Invalid tracking context: {0},Hindi valid na tracking context: {0}
Invalid visibility. Must be one of: {0},Hindi valid na visibility. Dapat isa sa mga: {0}
Invitation: {0} - {1} at {2},Imbitasyon: {0} - {1} sa {2}
Invite People,Mag-imbita ng mga Tao
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Naidagdag ang item
Item ID is required,Kinakailangan ang Item ID
Item removed,Natanggal ang item
Item type is required,Kinakailangan ang uri ng item
Item {0} not found,Hindi nahanap ang item {0}
Job title or role,Titulo ng trabaho o tungkulin
Join Meeting,Sumali sa Meeting
Just now,Ngayon lang
just now,ngayon lang
Kanban,Kanban
Kanban Board,Kanban Board
Kanban View,Kanban View
Keyboard Shortcuts,Mga Shortcut sa Keyboard
Keyboard shortcuts (?),Mga shortcut sa keyboard (?)
Last checked: {0},Last checked: {0}
Last Updated,Huling Na-update
Last updated:,Huling na-update:
Last Week,Nakaraang Linggo
Latest Version,Latest Version
Light,Maliwanag
Link failed,Nabigo ang pag-link
Link Task,I-link ang Gawain
Linked,Naka-link
Linked employee not found,Hindi nahanap ang naka-link na empleyado
Linked Tasks,Mga Naka-link na Gawain
List,Listahan
List View,List View
Load failed,Nabigo ang pag-load
Load More,Mag-load pa
Load more comments,Mag-load pa ng mga komento
Loading activity...,Nilo-load ang aktibidad...
Loading changes...,Nilo-load ang mga pagbabago...
Loading checklist...,Nilo-load ang checklist...
Loading comments...,Nilo-load ang mga komento...
Loading contact...,Nilo-load ang kontak...
Loading contacts...,Nilo-load ang mga kontak...
Loading dependencies...,Nilo-load ang mga dependency...
Loading details...,Nilo-load ang mga detalye...
Loading discussion...,Nilo-load ang diskusyon...
Loading events...,Nilo-load ang mga event...
Loading files...,Nilo-load ang mga file...
Loading notes...,Nilo-load ang mga tala...
Loading preferences...,Nilo-load ang mga preference...
Loading project...,Nilo-load ang proyekto...
Loading projects...,Nilo-load ang mga proyekto...
Loading replies...,Nilo-load ang mga tugon...
Loading report data...,Nilo-load ang data ng report...
Loading settings...,Nilo-load ang mga setting...
Loading task...,Nilo-load ang gawain...
Loading templates...,Nilo-load ang mga template...
Loading time logs...,Nilo-load ang mga time log...
Loading your portal...,Nilo-load ang iyong portal...
Loading...,Nilo-load...
Location,Lokasyon
Log Time,I-log ang Oras
Logout,Mag-logout
Low,Mababa
Make Offer,Gumawa ng Alok
Manager,Manager
Manual Entry,Manu-manong Paglagay
Margin,Margin
Mark all as read,Markahan lahat bilang nabasa
Mark all read,Markahan lahat bilang nabasa
Mark as read,Markahan bilang nabasa
Mark as unread,Markahan bilang hindi nabasa
Mark read,Markahan bilang nabasa
Marking...,Minamarkahan...
Material,Materyales
Maybe,Siguro
Medium,Katamtaman
Meeting,Meeting
Meeting Link,Link ng Meeting
Meeting title,Titulo ng meeting
Meeting URL,URL ng Meeting
Meetings,Mga Meeting
Mention,Banggitin
Message,Mensahe
Message is required,Kinakailangan ang mensahe
Message is required for '{0}' action,Kinakailangan ang mensahe para sa aksyong '{0}'
Migrate,I-migrate
Migration Complete,Tapos na ang Migration
Migration ID:,Migration ID:
Migration log not found: {0},Hindi nahanap ang migration log: {0}
Milestone,Milestone
milestone,milestone
Milestone created,Nagawa ang milestone
Milestone description has been saved.,Na-save na ang paglalarawan ng milestone.
Milestone ID is required,Kinakailangan ang Milestone ID
Milestone marked as Missed (past due date),Milestone na minarkahan bilang Napalampas (lampas na sa deadline)
Milestone moved,Nailipat ang milestone
Milestone Name,Pangalan ng Milestone
Milestone name has been saved.,Na-save na ang pangalan ng milestone.
Milestone name is required,Kinakailangan ang pangalan ng milestone
Milestone updated,Na-update ang milestone
Milestone {0} not found,Hindi nahanap ang milestone {0}
Milestone {0} not in project {1},Hindi nasa proyekto {1} ang milestone {0}
Milestones,Mga Milestone
milestones,mga milestone
Milestones:,Mga Milestone:
Minutes,Minuto
Missed,Napalampas
Mixed,Halo-halo
Mobile,Mobile
Moderate,Katamtaman
Modified,Binago
"Modify details, time, or attendees","Baguhin ang mga detalye, oras, o mga dadalo"
Mon,Lun
Month,Buwan
Move failed,Nabigo ang paglipat
Must be a positive number,Dapat ay positibong numero
Must finish before this finishes,Dapat matapos bago matapos ito
Must finish before this starts,Dapat matapos bago magsimula ito
Must start before this finishes,Dapat magsimula bago matapos ito
Must start before this starts,Dapat magsimula bago magsimula ito
My Assignments,Mga Takda Ko
My Projects,Mga Proyekto Ko
My Schedule,Iskedyul Ko
My Tasks,Mga Gawain Ko
N/A,N/A
Name,Pangalan
Name (A-Z),Pangalan (A-Z)
Name (Z-A),Pangalan (Z-A)
Name cannot exceed 255 characters,Hindi maaaring lumampas sa 255 karakter ang pangalan
Need help?,Kailangan ng tulong?
Needs Attention,Nangangailangan ng Pansin
Never,Never
new activities,mga bagong aktibidad
New Activity,Bagong Aktibidad
New activity,Bagong aktibidad
New Event,Bagong Event
New index is required,Kinakailangan ang bagong index
New Project,Bagong Proyekto
New tasks will auto-trail by default.,Ang mga bagong gawain ay awtomatikong umusad bilang default.
Newest First,Pinakabago Muna
Next,Susunod
Next 14 days,Susunod na 14 araw
Next 30 days,Susunod na 30 araw
Next 60 days,Susunod na 60 araw
Next 7 days,Susunod na 7 araw
Next 90 days,Susunod na 90 araw
Next Week,Susunod na Linggo
Next:,Susunod:
No,Hindi
No active assignments,Walang aktibong takda
No active projects,Walang aktibong proyekto
No active timer found,Walang nahanap na aktibong timer
No activity selected,Walang napiling aktibidad
No assignments found,Walang nahanap na takda
No attendees,Walang dadalo
no change,walang pagbabago
No changes for this field.,Walang pagbabago para sa field na ito.
No changes recorded for this activity.,Walang naitala na pagbabago para sa aktibidad na ito.
No checklist items yet,Wala pang checklist item
No checklist items yet.,Wala pang checklist item.
No comments yet,Wala pang komento
No comments yet.,Wala pang komento.
No contacts available,Walang available na kontak
No content for this tab,Walang nilalaman para sa tab na ito
No data available,Walang available na data
No data available for the selected filters,Walang available na data para sa napiling mga filter
No data to export,Walang data na i-export
No dates set,Walang nakatakdang petsa
No defects reported,Walang naiulat na depekto
No dependencies defined,Walang tinukoy na dependency
No description,Walang paglalarawan
No discussion yet.,Wala pang diskusyon.
No documents attached,Walang nakakabit na dokumento
No due date,Walang deadline
No employee linked to this resource,Walang empleyado na naka-link sa resource na ito
No ERPNext employee linked to resource,Walang ERPNext employee na naka-link sa resource
No events found,Walang nahanap na event
No files attached yet.,Wala pang nakakabit na file.
No Frappe Project linked,Walang Frappe Project na naka-link
No Grouping,Walang Grouping
No items,Walang item
No matching tasks,Walang tumutugmang gawain
No matching tasks found,Walang nahanap na tumutugmang gawain
No migration history,Walang kasaysayan ng migration
No Milestone,Walang Milestone
No milestones,Walang milestone
No milestones defined for this project.,Walang milestone na tinukoy para sa proyektong ito.
No notes yet.,Wala pang tala.
No notes yet. Add a due diligence note to track progress.,Wala pang tala. Magdagdag ng due diligence note para subaybayan ang progreso.
No notifications,Walang notification
No Orga Project linked to Frappe Project {0},Walang Orga Project na naka-link sa Frappe Project {0}
No overdue tasks,Walang overdue na gawain
No pending cascade changes,Walang naghihintay na cascade na pagbabago
No predecessors - this task can start independently,Walang predecessor — maaaring magsimula nang mag-isa ang gawaing ito
No project,Walang proyekto
No projects found,Walang nahanap na proyekto
No Projects Yet,Wala Pang Proyekto
No recent activity,Walang kamakailang aktibidad
No related documents,Walang kaugnay na dokumento
No resolved threads.,Walang nalutas na thread.
No resources found,Walang nahanap na resource
No results found,Walang nahanap na resulta
No skills listed,Walang nakalista na kasanayan
No skills recorded yet,Wala pang naitala na kasanayan
No successors - no tasks are waiting for this one,Walang successor — walang gawaing naghihintay sa isang ito
No task selected,Walang napiling gawain
No tasks assigned to you,Walang gawaing nakatalaga sa iyo
No tasks available to add,Walang available na gawaing maidadagdag
No tasks found,Walang nahanap na gawain
No tasks linked to this milestone,Walang gawaing naka-link sa milestone na ito
No tasks with dates to display,Walang gawain na may petsa na ipapakita
No tasks yet,Wala pang gawain
No team members,Walang miyembro ng team
No template,Walang template
No templates yet,Wala pang template
No time data found,Walang nahanap na data ng oras
No time logged today,Walang oras na nai-log ngayong araw
No time logged yet,Wala pang oras na nai-log
No time logs for this period,Walang time log para sa panahong ito
No time logs found,Walang nahanap na time log
No unread notifications,Walang hindi pa nababasang notification
No update information available yet.,No update information available yet.
None,Wala
Not found,Hindi nahanap
Not permitted,Hindi pinapayagan
Not permitted to access this project,Hindi pinapayagang i-access ang proyektong ito
Not permitted to access this task,Hindi pinapayagang i-access ang gawaing ito
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Hindi pinapayagang magkomento sa dokumentong ito
Not permitted to create clients,Hindi pinapayagang gumawa ng mga kliyente
Not permitted to delete this client,Hindi pinapayagang burahin ang kliyenteng ito
Not permitted to delete this defect,Hindi pinapayagang burahin ang depektong ito
Not permitted to delete this note,Hindi pinapayagang burahin ang talang ito
Not permitted to delete this project,Hindi pinapayagang burahin ang proyektong ito
Not permitted to delete this task,Hindi pinapayagang burahin ang gawaing ito
Not permitted to delete this time log,Hindi pinapayagang burahin ang time log na ito
Not permitted to invite clients,Hindi pinapayagang mag-imbita ng mga kliyente
Not permitted to modify client access,Hindi pinapayagang baguhin ang access ng kliyente
Not permitted to modify this project,Hindi pinapayagang baguhin ang proyektong ito
Not permitted to update settings,Hindi pinapayagang i-update ang mga setting
Not permitted to update this client,Hindi pinapayagang i-update ang kliyenteng ito
Not permitted to view this client,Hindi pinapayagang tingnan ang kliyenteng ito
not sent,hindi naipadala
Not set,Hindi nakatakda
Not specified,Hindi tinukoy
Note,Tala
Note (optional),Tala (opsyonal)
Note Content,Nilalaman ng Tala
Note content is required,Kinakailangan ang nilalaman ng tala
Note name is required,Kinakailangan ang pangalan ng tala
Note not found,Hindi nahanap ang tala
Note Type,Uri ng Tala
Notes,Mga Tala
Notification,Notification
Notification not found,Hindi nahanap ang notification
Notifications,Mga Notification
Off Track,Hindi Nasa Tamang Landas
Offer,Alok
Offer Prepared,Naihanda ang Alok
Oldest First,Pinakaluma Muna
On Hold,Nakahinto
On Leave,Naka-leave
On Track,Nasa Tamang Landas
On-Time Rate,Rate ng Pagiging sa Oras
Only administrators can delete activities,Ang mga administrator lang ang maaaring magbura ng mga aktibidad
Only the comment author or administrators can delete comments,Ang may-akda ng komento o mga administrator lang ang maaaring magbura ng mga komento
Only you and admins,Ikaw at mga admin lang
Open,Bukas
Open in Desk,Buksan sa Desk
Open Task Log,Buksan ang Task Log
Open Tasks,Mga Bukas na Gawain
Optional,Opsyonal
optional,opsyonal
Or email us directly at,O mag-email sa amin nang direkta sa
Orga Project {0} from Frappe Projects,Orga Project {0} mula sa Frappe Projects
Orga Task {0} from Frappe,Orga Task {0} mula sa Frappe
Organizer,Nag-organisa
Other,Iba pa
Over Budget,Lagpas sa Badyet
Overall Progress,Pangkalahatang Progreso
Overall Utilization,Pangkalahatang Paggamit
Overallocated,Sobra ang Inilaan
Overdue,Lagpas sa Deadline
overdue,lagpas sa deadline
Overdue Tasks,Mga Gawaing Lagpas sa Deadline
Overview,Pangkalahatang Tingin
Owner,May-ari
Page Not Found,Hindi Nahanap ang Pahina
Parent,Magulang
Parent comment must belong to the same document,Ang parent comment ay dapat nasa parehong dokumento
Parent comment not found,Hindi nahanap ang parent comment
Parent project not synced to Frappe yet,Hindi pa na-sync sa Frappe ang parent project
Parent project sync not enabled,Hindi naka-enable ang parent project sync
Partner,Partner
Pending,Naghihintay
per page,bawat pahina
Perform initial assessment and background check,Magsagawa ng unang pagsusuri at background check
Permanently remove this event,Permanenteng tanggalin ang event na ito
Permanently remove this task,Permanenteng tanggalin ang gawaing ito
Phone,Telepono
Pin,I-pin
Pin Activity,I-pin ang Aktibidad
Pin to top,I-pin sa itaas
Pinned,Naka-pin
Planned budget for this task,Nakaplanong badyet para sa gawaing ito
Planning,Pagpaplano
Please describe your question or issue in detail...,Pakipaliwanag nang detalyado ang iyong tanong o isyu...
Please login to access Orga,Pakikilala muna para ma-access ang Orga
Please login to access the client portal,Pakikilala muna para ma-access ang client portal
Please respond to this invitation in Orga,Pakisagot ang imbitasyong ito sa Orga
Please select an image file,Pumili ng image file
Please try again,Pakisubukan ulit
Please type,Pakitipa
Portal,Portal
Portal access revoked for {0},Binawi ang portal access para sa {0}
Portal user created successfully. Welcome email {0},Matagumpay na nagawa ang portal user. Welcome email {0}
Post,I-post
Powered by,Pinapagana ng
Powered by Tonic,Pinapagana ng Tonic
Predecessors (Blocked By),Mga Predecessor (Naka-block ng)
Preferences,Mga Preference
Preferences saved successfully,Matagumpay na na-save ang mga preference
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefix para sa mga awtomatikong code ng proyekto (hal.: ORG-2026-0001)
Prepare and document offer terms,Ihanda at idokumento ang mga tuntunin ng alok
Press,Pindutin
Preview,Preview
Preview cascade before applying,I-preview ang cascade bago ilapat
Previous,Nakaraang
Priority,Priyoridad
Priority assigned to new tasks,Priyoridad na itinatalaga sa mga bagong gawain
Priority updated,Na-update ang priyoridad
Proficiency,Kahusayan
Profile,Profile
Progress,Progreso
Progress (High-Low),Progreso (Mataas-Mababa)
Progress (Low-High),Progreso (Mababa-Mataas)
Progress Overview,Pangkalahatang Tingin ng Progreso
Progress updated,Na-update ang progreso
Project,Proyekto
Project budget has been saved.,Na-save na ang badyet ng proyekto.
Project code (e.g. ORG-2026-0001),Code ng proyekto (hal.: ORG-2026-0001)
Project Code Prefix,Prefix ng Code ng Proyekto
Project created,Nagawa ang proyekto
Project deleted,Nabura ang proyekto
Project description has been saved.,Na-save na ang paglalarawan ng proyekto.
Project Details,Mga Detalye ng Proyekto
Project end date has been saved.,Na-save na ang petsa ng pagtatapos ng proyekto.
Project Files,Mga File ng Proyekto
Project has no linked client,Walang naka-link na kliyente ang proyekto
Project Health,Kalusugan ng Proyekto
Project Info,Impormasyon ng Proyekto
Project is required,Kinakailangan ang proyekto
Project is required for project context,Kinakailangan ang proyekto para sa project context
Project is required when tracking context is 'project',Kinakailangan ang proyekto kapag ang tracking context ay 'project'
Project Manager,Project Manager
Project Name,Pangalan ng Proyekto
Project name and template name are required,Kinakailangan ang pangalan ng proyekto at pangalan ng template
Project name is required,Kinakailangan ang pangalan ng proyekto
Project not found,Hindi nahanap ang proyekto
Project not found or you do not have access,Hindi nahanap ang proyekto o wala kang access
Project settings,Mga setting ng proyekto
Project start date has been saved.,Na-save na ang petsa ng simula ng proyekto.
Project title has been saved.,Na-save na ang pamagat ng proyekto.
Project Type,Uri ng Proyekto
Project updated,Na-update ang proyekto
Project {0} linked to client {1},Naka-link ang proyekto {0} sa kliyente {1}
Project {0} not found,Hindi nahanap ang proyekto {0}
Project {0} to Frappe Projects,Proyekto {0} papunta sa Frappe Projects
Project:,Proyekto:
Projects,Mga Proyekto
projects,mga proyekto
Projects created:,Mga proyektong nagawa:
Projects Overview,Pangkalahatang Tingin ng mga Proyekto
Projects skipped:,Mga proyektong nilampasan:
Projects updated:,Mga proyektong na-update:
Promote failed,Nabigo ang pag-promote
Promote to task,I-promote sa gawain
Promoted to task,Na-promote sa gawain
Propose,Imungkahi
Propose New Time,Magmungkahi ng Bagong Oras
Propose Time,Magmungkahi ng Oras
Proposed End,Iminungkahing Pagtatapos
Proposed Start,Iminungkahing Simula
Public,Pampubliko
Quick Action,Mabilis na Aksyon
Quick Actions,Mga Mabilis na Aksyon
Quick Stats,Mabilis na Istatistika
Rates,Mga Rate
Receive notifications via email,Makatanggap ng mga notification sa pamamagitan ng email
Receive notifications within the application,Makatanggap ng mga notification sa loob ng application
Recent Activity,Kamakailang Aktibidad
Recipient {0} is not a valid user,Ang tatanggap na {0} ay hindi valid na user
Reference,Reference
Refresh,I-refresh
Related,Kaugnay
Related Company (optional),Kaugnay na Kumpanya (opsyonal)
Related Documents,Mga Kaugnay na Dokumento
Related Project,Kaugnay na Proyekto
Remaining,Natitira
Reminder,Paalala
Reminder Lead Time,Lead Time ng Paalala
Reminder: {0} - {1} at {2},Paalala: {0} - {1} sa {2}
Remove,Tanggalin
Remove dependency,Tanggalin ang dependency
Remove dependency on,Tanggalin ang dependency sa
Remove from group,Tanggalin mula sa grupo
Remove group dependency,Tanggalin ang group dependency
Remove skill,Tanggalin ang kasanayan
Reopen,Muling Buksan
Reopen thread,Muling buksan ang thread
reopened,muling binuksan
replies,mga tugon
Reply,Sumagot
reply,tugon
Replying to,Sumasagot sa
Replying to comment,Sumasagot sa komento
Report Defect,Mag-ulat ng Depekto
Reported Date,Petsa ng Pag-ulat
Reports,Mga Report
Reports To,Nag-uulat Sa
Request Submitted!,Naisumite na ang Kahilingan!
Required,Kinakailangan
required,kinakailangan
Research,Pananaliksik
Reset to Defaults,I-reset sa mga Default
Resolve,Lutasin
Resolve thread,Lutasin ang thread
Resolved,Nalutas
Resolved date cannot be before reported date,Ang petsa ng paglutas ay hindi maaaring mauna sa petsa ng pag-ulat
Resource,Resource
Resource and skill name are required,Kinakailangan ang resource at pangalan ng kasanayan
Resource is already an attendee,Ang resource ay dadalo na
Resource name is required,Kinakailangan ang pangalan ng resource
Resource not found,Hindi nahanap ang resource
Resource synced from employee {0},Na-sync ang resource mula sa empleyado {0}
Resource {0} is already assigned to this task ({1}),Ang resource {0} ay nakatalaga na sa gawaing ito ({1})
Resource {0} not found,Hindi nahanap ang resource {0}
Resources,Mga Resource
Retry,Subukan Ulit
Review,Pagsusuri
Review all relevant documents and contracts,Suriin ang lahat ng kaugnay na dokumento at kontrata
Reviews,Mga Pagsusuri
Risk Assessment,Pagsusuri ng Panganib
Rollback,I-rollback
Rolled back,Na-rollback
Room or address,Silid o adres
RSVP,RSVP
Safety,Kaligtasan
Sat,Sab
Save,I-save
"Save a project as a template, or import one from a JSON file.","I-save ang isang proyekto bilang template, o mag-import ng isa mula sa JSON file."
Save as Template,I-save bilang Template
Save Changes,I-save ang mga Pagbabago
Save failed,Nabigo ang pag-save
Save Preferences,I-save ang mga Preference
Save Template,I-save ang Template
Saving...,Sine-save...
Schedule,Iskedyul
Schedule type is required for scheduled triggers,Kinakailangan ang uri ng iskedyul para sa mga scheduled trigger
Scheduled,Naka-iskedyul
Search,Maghanap
"Search by name, email, or skill...","Maghanap ayon sa pangalan, email, o kasanayan..."
Search for a project...,Maghanap ng proyekto...
Search for a task...,Maghanap ng gawain...
Search for an event...,Maghanap ng event...
Search for people to invite...,Maghanap ng mga tao na iimbitahan...
Search tasks to link...,Maghanap ng mga gawain na ili-link...
Search tasks...,Maghanap ng mga gawain...
Search...,Maghanap...
Searching...,Naghahanap...
Seen,Nakita
Select a project if your request is related to a specific project.,Pumili ng proyekto kung ang iyong kahilingan ay kaugnay ng isang partikular na proyekto.
Select a project...,Pumili ng proyekto...
Select a task from the Gantt chart to view and manage its details.,Pumili ng gawain mula sa Gantt chart para tingnan at pamahalaan ang mga detalye nito.
Select a task from the list or Kanban board to view and manage its details.,Pumili ng gawain mula sa listahan o Kanban board para tingnan at pamahalaan ang mga detalye nito.
Select a template...,Pumili ng template...
Select priority...,Pumili ng priyoridad...
Select status...,Pumili ng status...
Select task...,Pumili ng gawain...
Select type...,Pumili ng uri...
Selection,Pagpili
Send,Ipadala
Send comment,Ipadala ang komento
Send email invitations to attendees,Magpadala ng mga email invitation sa mga dadalo
Send Invitations,Magpadala ng mga Imbitasyon
Send notification when a task is assigned to a user,Magpadala ng notification kapag may gawaing itinalaga sa isang user
Send notification when task status changes,Magpadala ng notification kapag nagbago ang status ng gawain
Send reminder before task due date,Magpadala ng paalala bago ang deadline ng gawain
sent,naipadala
Set rate,Itakda ang rate
Settings,Mga Setting
Settings saved successfully,Matagumpay na na-save ang mga setting
Severity,Kalubhaan
SF (Start-Finish),SF (Start-Finish)
SF - Start-to-Finish,SF - Start-to-Finish
Show,Ipakita
Show all,Ipakita lahat
Show all changes,Ipakita lahat ng pagbabago
Show Archived,Ipakita ang mga Naka-archive
Show full diff,Ipakita ang buong diff
Show less,Ipakita ang mas kaunti
Show more,Ipakita ang iba pa
Skill added,Naidagdag ang kasanayan
Skill is required,Kinakailangan ang kasanayan
Skill Name,Pangalan ng Kasanayan
Skill removed,Natanggal ang kasanayan
Skill {0} already exists for this resource,Ang kasanayan {0} ay umiiral na para sa resource na ito
Skills,Mga Kasanayan
Skills & Competencies,Mga Kasanayan at Kakayahan
Skip already migrated projects,Laktawan ang mga proyektong na-migrate na
Sort by,Ayusin ayon sa
Sort: Due Date,Ayusin: Deadline
Sort: Priority,Ayusin: Priyoridad
Sort: Project,Ayusin: Proyekto
Sort: Status,Ayusin: Status
Sort: Task,Ayusin: Gawain
Source Code,Source Code
Spent,Nagastos
Spent:,Nagastos:
SS (Start-Start),SS (Start-Start)
SS - Start-to-Start,SS - Start-to-Start
Standalone,Nakapag-iisa
Start,Simula
Start a discussion below,Magsimula ng diskusyon sa ibaba
Start Date,Petsa ng Simula
Start date,Petsa ng simula
Start Date (Earliest),Petsa ng Simula (Pinakamaagang)
Start date updated,Na-update ang petsa ng simula
Start date/time is required,Kinakailangan ang petsa/oras ng simula
Start Migration,Simulan ang Migration
Start the conversation below.,Magsimula ng usapan sa ibaba.
Start Timer,Simulan ang Timer
Start typing to search...,Magsimulang mag-type para maghanap...
Start-to-Finish,Start-to-Finish
Start-to-Start,Start-to-Start
Start:,Simula:
Statistics reset,Na-reset ang mga istatistika
Status,Status
Status assigned to new projects,Status na itinatalaga sa mga bagong proyekto
Status assigned to new tasks,Status na itinatalaga sa mga bagong gawain
Status Changes,Mga Pagbabago ng Status
Status updated,Na-update ang status
Status:,Status:
Stop,Itigil
Stop & Save,Itigil at I-save
Stop Timer,Itigil ang Timer
Stops current timer and starts for this event,Itiigil ang kasalukuyang timer at sinisimulan para sa event na ito
Stops current timer and starts for this task,Itiigil ang kasalukuyang timer at sinisimulan para sa gawaing ito
Subject,Paksa
Subject cannot exceed 255 characters,Hindi maaaring lumampas sa 255 karakter ang paksa
Subject is required,Kinakailangan ang paksa
Submit,Isumite
Submit Another Request,Magsumite ng Isa Pang Kahilingan
Submit Request,Isumite ang Kahilingan
Submitting...,Isinusumite...
Successfully saved,Matagumpay na na-save
Successors (Blocking),Mga Successor (Humaharang)
Sun,Lin
Supplier,Supplier
Support,Suporta
Switch to this event,Lumipat sa event na ito
Switch to this task,Lumipat sa gawaing ito
Sync direction is set to Frappe to Orga only,Ang direksyon ng sync ay nakatakda mula Frappe patungo sa Orga lamang
Sync direction is set to Orga to Frappe only,Ang direksyon ng sync ay nakatakda mula Orga patungo sa Frappe lamang
Sync not enabled for this project,Hindi naka-enable ang sync para sa proyektong ito
System,Sistema
Table,Talahanayan
Take ownership of this task,Panagutan ang gawaing ito
Target Date,Target na Petsa
Target End,Target na Pagtatapos
Target Project,Target na Proyekto
Target user is required for '{0}' action,Kinakailangan ang target user para sa aksyong '{0}'
Task,Gawain
task,gawain
Task '{0}' is due on {1}.,Ang gawain '{0}' ay may deadline sa {1}.
Task and resource are required,Kinakailangan ang gawain at resource
Task Assignment,Pagtatalaga ng Gawain
Task cannot be its own parent,Hindi maaaring maging sariling magulang ng gawain
Task cannot depend on itself,Hindi maaaring mag-depend ang gawain sa sarili nito
Task cannot depend on the group it belongs to,Hindi maaaring mag-depend ang gawain sa grupo na kinabibilangan nito
Task created,Nagawa ang gawain
Task deleted,Nabura ang gawain
Task description has been saved.,Na-save na ang paglalarawan ng gawain.
Task Details,Mga Detalye ng Gawain
Task due in {0} days: {1},Gawain na may deadline sa {0} araw: {1}
Task due today: {0},Gawain na may deadline ngayon: {0}
Task due tomorrow: {0},Gawain na may deadline bukas: {0}
Task duplicated,Na-duplicate ang gawain
Task Group,Grupo ng Gawain
Task ID is required,Kinakailangan ang Task ID
Task is blocked by incomplete dependencies,Naka-block ang gawain dahil sa hindi pa kumpletong mga dependency
Task is cancelled,Kinansela ang gawain
Task is completed,Tapos na ang gawain
Task is no longer blocked by a group,Hindi na naka-block ang gawain ng isang grupo
Task is required for task context,Kinakailangan ang gawain para sa task context
Task is required when tracking context is 'task',Kinakailangan ang gawain kapag ang tracking context ay 'task'
Task linked,Naka-link ang gawain
Task moved,Nailipat ang gawain
Task name,Pangalan ng gawain
Task name is required,Kinakailangan ang pangalan ng gawain
Task removed from group,Natanggal ang gawain mula sa grupo
Task Subject,Paksa ng Gawain
Task subject is required,Kinakailangan ang paksa ng gawain
Task Type,Uri ng Gawain
Task unblocked: {0},Na-unblock ang gawain: {0}
Task unlinked,Na-unlink ang gawain
Task updated,Na-update ang gawain
Task {0} not found,Hindi nahanap ang gawain {0}
Task {0} not in project {1},Hindi nasa proyekto {1} ang gawain {0}
Task {0} to Frappe,Gawain {0} papunta sa Frappe
Tasks,Mga Gawain
tasks,mga gawain
Tasks and milestones will be created with dates relative to the project start date.,Ang mga gawain at milestone ay gagawin na may mga petsa na relatibo sa petsa ng simula ng proyekto.
Tasks assigned to you across all projects.,Mga gawaing nakatalaga sa iyo sa lahat ng proyekto.
Tasks created:,Mga gawaing nagawa:
Tasks from projects you manage.,Mga gawain mula sa mga proyektong pinapamahalaan mo.
Tasks updated:,Mga gawaing na-update:
"Tasks, milestones, and dependencies have been created.","Nagawa na ang mga gawain, milestone, at dependency."
Tasks:,Mga Gawain:
TBD,TBD
Team,Team
Team Members,Mga Miyembro ng Team
Template,Template
Template applied,Nailapat ang template
Template data is required in import data,Kinakailangan ang template data sa import data
Template has no data,Walang data ang template
Template Name,Pangalan ng Template
Template name,Pangalan ng template
Template name is required,Kinakailangan ang pangalan ng template
Template name is required in import data,Kinakailangan ang pangalan ng template sa import data
Template saved,Na-save ang template
Template updated successfully.,Matagumpay na na-update ang template.
Template {0} not found,Hindi nahanap ang template {0}
Templates,Mga Template
Tentative,Pansamantala
The comment has been deleted,Nabura na ang komento
The project,Ang proyekto
The source document may have been deleted.,Maaaring nabura na ang source document.
The source document will not be affected.,Hindi maaapektuhan ang source document.
The status of '{0}' was changed from {1} to {2}.,Ang status ng '{0}' ay binago mula {1} tungo sa {2}.
Theme,Tema
Theme preference,Preference sa tema
This action,Ang aksyong ito
This action cannot be undone.,Hindi na maibabalik ang aksyong ito.
This activity has been flagged for attention,Ang aktibidad na ito ay na-flag para sa pansin
This is a reminder for your upcoming appointment,Ito ay paalala para sa iyong paparating na appointment
