+ Add Milestone,+ Добавяне на етап
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Елементът е добавен
Item ID is required,ИД на елемента е задължителен
Item removed,Елементът е премахнат
Item type is required,Видът на елемента е задължителен
Item {0} not found,Елемент {0} не е намерен
Job title or role,Длъжност или роля
Join Meeting,Присъединяване към среща
Just now,Точно сега
just now,точно сега
Kanban,Kanban
Kanban Board,Kanban табло
Kanban View,Kanban изглед
Keyboard Shortcuts,Клавишни комбинации
Keyboard shortcuts (?),Клавишни комбинации (?)
Last checked: {0},Last checked: {0}
Last Updated,Последно обновено
Last updated:,Последно обновено:
Last Week,Миналата седмица
Latest Version,Latest Version
Light,Светло
Link failed,Свързването не успя
Link Task,Свързване на задача
Linked,Свързано
Linked employee not found,Свързаният служител не е намерен
Linked Tasks,Свързани задачи
List,Списък
List View,Изглед списък
Load failed,Зареждането не успя
Load More,Зареждане на още
Load more comments,Зареждане на повече коментари
Loading activity...,Зареждане на дейността...
Loading changes...,Зареждане на промените...
Loading checklist...,Зареждане на контролния списък...
Loading comments...,Зареждане на коментарите...
Loading contact...,Зареждане на контакта...
Loading contacts...,Зареждане на контактите...
Loading dependencies...,Зареждане на зависимостите...
Loading details...,Зареждане на подробностите...
Loading discussion...,Зареждане на обсъждането...
Loading events...,Зареждане на събитията...
Loading files...,Зареждане на файловете...
Loading notes...,Зареждане на бележките...
Loading preferences...,Зареждане на предпочитанията...
Loading project...,Зареждане на проекта...
Loading projects...,Зареждане на проектите...
Loading replies...,Зареждане на отговорите...
Loading report data...,Зареждане на данните от справката...
Loading settings...,Зареждане на настройките...
Loading task...,Зареждане на задачата...
Loading templates...,Зареждане на шаблоните...
Loading time logs...,Зареждане на записите за времето...
Loading your portal...,Зареждане на вашия портал...
Loading...,Зареждане...
Location,Местоположение
Log Time,Записване на време
Logout,Излизане
Low,Нисък
Make Offer,Подготвяне на оферта
Manager,Ръководител
Manual Entry,Ръчен запис
Margin,Марж
Mark all as read,Маркиране на всички като прочетени
Mark all read,Маркиране на всички като прочетени
Mark as read,Маркиране като прочетено
Mark as unread,Маркиране като непрочетено
Mark read,Маркиране като прочетено
Marking...,Маркиране...
Material,Материал
Maybe,Може би
Medium,Среден
Meeting,Среща
Meeting Link,Връзка за среща
Meeting title,Заглавие на срещата
Meeting URL,URL на срещата
Meetings,Срещи
Mention,Споменаване
Message,Съобщение
Message is required,Съобщението е задължително
Message is required for '{0}' action,"Съобщението е задължително за действие „{0}""
Migrate,Мигриране
Migration Complete,Миграцията е завършена
Migration ID:,ИД на миграция:
Migration log not found: {0},Дневникът на миграцията не е намерен: {0}
Milestone,Етап
Milestone ID is required,ИД на етапа е задължителен
Milestone Name,Име на етап
Milestone created,Етапът е създаден
Milestone description has been saved.,Описанието на етапа е запазено.
Milestone marked as Missed (past due date),Етапът е маркиран като пропуснат (изтекъл краен срок)
Milestone moved,Етапът е преместен
Milestone name has been saved.,Името на етапа е запазено.
Milestone name is required,Името на етапа е задължително
Milestone updated,Етапът е обновен
Milestone {0} not found,Етап {0} не е намерен
Milestone {0} not in project {1},Етап {0} не е в проект {1}
Milestones,Етапи
Milestones:,Етапи:
Minutes,Минути
Missed,Пропуснат
Mixed,Смесено
Mobile,Мобилно
Moderate,Умерено
Modify details"
Migrate,Мигриране
Migration Complete,Миграцията е завършена
Migration ID:,ID на миграция:
Migration log not found: {0},Журнал на миграцията не е намерен: {0}
milestone,етап
Milestone,Етап
Milestone created,Етапът е създаден
Milestone description has been saved.,Описанието на етапа е запазено.
Milestone ID is required,ID на етапа е задължителен
Milestone marked as Missed (past due date),Етапът е маркиран като пропуснат (изтекъл краен срок)
Milestone moved,Етапът е преместен
Milestone Name,Име на етапа
Milestone name has been saved.,Името на етапа е запазено.
Milestone name is required,Името на етапа е задължително
Milestone updated,Етапът е актуализиран
Milestone {0} not found,Етап {0} не е намерен
Milestone {0} not in project {1},Етап {0} не е в проект {1}
milestones,етапи
Milestones,Етапи
Milestones:,Етапи:
Minutes,Минути
Missed,Пропуснат
Mixed,Смесен
Mobile,Мобилен
Moderate,Умерен
Modified,Променено
"Modify details, time, or attendees","Промяна на детайли, час или присъстващи"
Mon,Пон
Month,Месец
Move failed,Преместването не успя
Must be a positive number,Трябва да бъде положително число
Must finish before this finishes,Трябва да завърши преди края на това
Must finish before this starts,Трябва да завърши преди началото на това
Must start before this finishes,Трябва да започне преди края на това
Must start before this starts,Трябва да започне преди началото на това
My Assignments,Моите назначения
My Projects,Моите проекти
My Schedule,Моят график
My Tasks,Моите задачи
N/A,Н/П
Name,Име
Name (A-Z),Име (А-Я)
Name (Z-A),Име (Я-А)
Name cannot exceed 255 characters,Името не може да надвишава 255 символа
Need help?,Нуждаете се от помощ?
Needs Attention,Изисква внимание
Never,Never
new activities,нови дейности
New Activity,Нова дейност
New activity,Нова дейност
New Event,Ново събитие
New index is required,Новият индекс е задължителен
New Project,Нов проект
New tasks will auto-trail by default.,Новите задачи ще имат автоматично плъзгащо начало по подразбиране.
Newest First,Най-новите първо
Next,Напред
Next 14 days,Следващите 14 дни
Next 30 days,Следващите 30 дни
Next 60 days,Следващите 60 дни
Next 7 days,Следващите 7 дни
Next 90 days,Следващите 90 дни
Next Week,Следващата седмица
Next:,Следващо:
No,Не
No active assignments,Няма активни назначения
No active projects,Няма активни проекти
No active timer found,Няма намерен активен хронометър
No activity selected,Няма избрана дейност
No assignments found,Няма намерени назначения
No attendees,Няма участници
no change,без промяна
No changes for this field.,Няма промени за това поле.
No changes recorded for this activity.,Няма записани промени за тази дейност.
No checklist items yet,Все още няма елементи в контролния списък
No checklist items yet.,Все още няма елементи в контролния списък.
No comments yet,Все още няма коментари
No comments yet.,Все още няма коментари.
No contacts available,Няма налични контакти
No content for this tab,Няма съдържание за този раздел
No data available,Няма налични данни
No data available for the selected filters,Няма налични данни за избраните филтри
No data to export,Няма данни за изнасяне
No dates set,Не са зададени дати
No defects reported,Няма докладвани дефекти
No dependencies defined,Няма определени зависимости
No description,Няма описание
No discussion yet.,Все още няма обсъждане.
No documents attached,Няма прикачени документи
No due date,Няма краен срок
No employee linked to this resource,Няма свързан служител с този ресурс
No ERPNext employee linked to resource,Няма свързан ERPNext служител с ресурса
No events found,Няма намерени събития
No files attached yet.,Все още няма прикачени файлове.
No Frappe Project linked,Няма свързан Frappe проект
No Grouping,Без групиране
No items,Няма елементи
No matching tasks,Няма съвпадащи задачи
No matching tasks found,Няма намерени съвпадащи задачи
No migration history,Няма история на миграцията
No Milestone,Без етап
No milestones,Няма етапи
No milestones defined for this project.,Няма определени етапи за този проект.
No notes yet.,Все още няма бележки.
No notes yet. Add a due diligence note to track progress.,Все още няма бележки. Добавете бележка за надлежна проверка за проследяване на напредъка.
No notifications,Няма известия
No Orga Project linked to Frappe Project {0},Няма Orga проект свързан с Frappe проект {0}
No overdue tasks,Няма закъснели задачи
No pending cascade changes,Няма чакащи каскадни промени
No predecessors - this task can start independently,Няма предшественици — тази задача може да започне самостоятелно
No project,Няма проект
No projects found,Няма намерени проекти
No Projects Yet,Все още няма проекти
No recent activity,Няма скорошна дейност
No related documents,Няма свързани документи
No resolved threads.,Няма разрешени нишки.
No resources found,Няма намерени ресурси
No results found,Няма намерени резултати
No skills listed,Няма изброени умения
No skills recorded yet,Все още няма записани умения
No successors - no tasks are waiting for this one,Няма наследници — никоя задача не чака тази
No task selected,Няма избрана задача
No tasks assigned to you,Няма задачи назначени на вас
No tasks available to add,Няма налични задачи за добавяне
No tasks found,Няма намерени задачи
No tasks linked to this milestone,Няма задачи свързани с този етап
No tasks with dates to display,Няма задачи с дати за показване
No tasks yet,Все още няма задачи
No team members,Няма членове на екипа
No template,Няма шаблон
No templates yet,Все още няма шаблони
No time data found,Няма намерени данни за времето
No time logged today,Днес не е записано време
No time logged yet,Все още не е записано време
No time logs for this period,Няма записи за времето за този период
No time logs found,Няма намерени записи за времето
No unread notifications,Няма непрочетени известия
No update information available yet.,No update information available yet.
None,Нищо
Not found,Не е намерено
Not permitted,Не е разрешено
Not permitted to access this project,Достъпът до този проект не е разрешен
Not permitted to access this task,Достъпът до тази задача не е разрешен
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Коментирането на този документ не е разрешено
Not permitted to create clients,Създаването на клиенти не е разрешено
Not permitted to delete this client,Изтриването на този клиент не е разрешено
Not permitted to delete this defect,Изтриването на този дефект не е разрешено
Not permitted to delete this note,Изтриването на тази бележка не е разрешено
Not permitted to delete this project,Изтриването на този проект не е разрешено
Not permitted to delete this task,Изтриването на тази задача не е разрешено
Not permitted to delete this time log,Изтриването на този запис за времето не е разрешено
Not permitted to invite clients,Поканването на клиенти не е разрешено
Not permitted to modify client access,Промяната на достъпа на клиента не е разрешена
Not permitted to modify this project,Промяната на този проект не е разрешена
Not permitted to update settings,Обновяването на настройките не е разрешено
Not permitted to update this client,Обновяването на този клиент не е разрешено
Not permitted to view this client,Прегледът на този клиент не е разрешен
not sent,не е изпратено
Not set,Не е зададено
Not specified,Не е посочено
Note,Бележка
Note (optional),Бележка (по желание)
Note Content,Съдържание на бележката
Note content is required,Съдържанието на бележката е задължително
Note name is required,Името на бележката е задължително
Note not found,Бележката не е намерена
Note Type,Вид бележка
Notes,Бележки
Notification,Известие
Notification not found,Известието не е намерено
Notifications,Известия
Off Track,Извън плана
Offer,Оферта
Offer Prepared,Офертата е подготвена
Oldest First,Най-старите първо
On Hold,В изчакване
On Leave,В отпуск
On Track,По план
On-Time Rate,Процент на навременност
Only administrators can delete activities,Само администраторите могат да изтриват дейности
Only the comment author or administrators can delete comments,Само авторът на коментара или администраторите могат да изтриват коментари
Only you and admins,Само вие и администраторите
Open,Отворено
Open in Desk,Отваряне в Desk
Open Task Log,Отваряне на дневника на задачата
Open Tasks,Отворени задачи
Optional,По желание
optional,по желание
Or email us directly at,Или ни пишете директно на
Orga Project {0} from Frappe Projects,Orga проект {0} от Frappe Projects
Orga Task {0} from Frappe,Orga задача {0} от Frappe
Organizer,Организатор
Other,Друго
Over Budget,Надхвърлен бюджет
Overall Progress,Общ напредък
Overall Utilization,Обща натовареност
Overallocated,Прекомерно разпределено
Overdue,Закъсняло
overdue,закъсняло
Overdue Tasks,Закъснели задачи
Overview,Преглед
Owner,Собственик
Page Not Found,Страницата не е намерена
Parent,Родител
Parent comment must belong to the same document,Родителският коментар трябва да принадлежи на същия документ
Parent comment not found,Родителският коментар не е намерен
Parent project not synced to Frappe yet,Родителският проект все още не е синхронизиран с Frappe
Parent project sync not enabled,Синхронизацията на родителския проект не е включена
Partner,Партньор
Pending,В очакване
per page,на страница
Perform initial assessment and background check,Извършете начална оценка и проверка на миналото
Permanently remove this event,Окончателно премахване на това събитие
Permanently remove this task,Окончателно премахване на тази задача
Phone,Телефон
Pin,Закачане
Pin Activity,Закачане на дейност
Pin to top,Закачане отгоре
Pinned,Закачено
Planned budget for this task,Планиран бюджет за тази задача
Planning,Планиране
Please describe your question or issue in detail...,Моля опишете подробно вашия въпрос или проблем...
Please login to access Orga,Моля влезте за достъп до Orga
Please login to access the client portal,Моля влезте за достъп до клиентския портал
Please respond to this invitation in Orga,Моля отговорете на тази покана в Orga
Please select an image file,Моля изберете файл с изображение
Please try again,Моля опитайте отново
Please type,Моля въведете
Portal,Портал
Portal access revoked for {0},Достъпът до портала е отнет за {0}
Portal user created successfully. Welcome email {0},Потребителят на портала е създаден успешно. Поздравителен имейл {0}
Post,Публикуване
Powered by,Разработено от
Powered by Tonic,Разработено от Tonic
Predecessors (Blocked By),Предшественици (блокирано от)
Preferences,Предпочитания
Preferences saved successfully,Предпочитанията са запазени успешно
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Префикс за автоматично генерирани кодове на проекти (напр. ORG-2026-0001)
Prepare and document offer terms,Подгответе и документирайте условията на офертата
Press,Натиснете
Preview,Преглед
Preview cascade before applying,Преглед на каскадата преди прилагане
Previous,Предишно
Priority,Приоритет
Priority assigned to new tasks,Приоритет назначен на нови задачи
Priority updated,Приоритетът е обновен
Proficiency,Квалификация
Profile,Профил
Progress,Напредък
Progress (High-Low),Напредък (низходящо)
Progress (Low-High),Напредък (възходящо)
Progress Overview,Преглед на напредъка
Progress updated,Напредъкът е обновен
Project,Проект
Project budget has been saved.,Бюджетът на проекта е запазен.
Project code (e.g. ORG-2026-0001),Код на проекта (напр. ORG-2026-0001)
Project Code Prefix,Префикс на кода на проекта
Project created,Проектът е създаден
Project deleted,Проектът е изтрит
Project description has been saved.,Описанието на проекта е запазено.
Project Details,Подробности за проекта
Project end date has been saved.,Крайната дата на проекта е запазена.
Project Files,Файлове на проекта
Project has no linked client,Проектът няма свързан клиент
Project Health,Състояние на проекта
Project Info,Информация за проекта
Project is required,Проектът е задължителен
Project is required for project context,Проектът е задължителен за контекст на проект
Project is required when tracking context is 'project',"Проектът е задължителен, когато контекстът на проследяване е „проект""
Project name and template name are required,Името на проекта и името на шаблона са задължителни
Project name is required,Името на проекта е задължително
Project not found,Проектът не е намерен
Project not found or you do not have access,Проектът не е намерен или нямате достъп
Project settings,Настройки на проекта
Project start date has been saved.,Началната дата на проекта е запазена.
Project title has been saved.,Заглавието на проекта е запазено.
Project updated,Проектът е обновен
Project {0} linked to client {1},Проект {0} е свързан с клиент {1}
Project {0} not found,Проект {0} не е намерен
Project {0} to Frappe Projects,Проект {0} към Frappe Projects
Project:,Проект:
Projects,Проекти
Projects Overview,Преглед на проектите
Projects created:,Създадени проекти:
Projects skipped:,Пропуснати проекти:
Projects updated:,Обновени проекти:
Promote failed,Повишаването не успя
Promote to task,Повишаване в задача
Promoted to task,Повишено в задача
Propose,Предлагане
Propose New Time,Предлагане на ново време
Propose Time,Предлагане на време
Proposed End,Предложен край
Proposed Start,Предложено начало
Public,Публично
Quick Action,Бързо действие
Quick Actions,Бързи действия
Quick Stats,Бърза статистика
RSVP,RSVP
Rates,Ставки
Receive notifications via email,Получаване на известия по имейл
Receive notifications within the application,Получаване на известия в приложението
Recipient {0} is not a valid user,Получател {0} не е валиден потребител
Recent Activity,Скорошна дейност
Reference,Препратка
Refresh,Опресняване
Related,Свързано
Related Company (optional),Свързана фирма (по желание)
Related Documents,Свързани документи
Related Project,Свързан проект
Remaining,Оставащо
Reminder,Напомняне
Reminder Lead Time"""
Project Manager,Ръководител на проект
Project Name,Име на проект
Project name and template name are required,Името на проекта и името на шаблона са задължителни
Project name is required,Името на проекта е задължително
Project not found,Проектът не е намерен
Project not found or you do not have access,Проектът не е намерен или нямате достъп
Project settings,Настройки на проекта
Project start date has been saved.,Началната дата на проекта е запазена.
Project title has been saved.,Заглавието на проекта е запазено.
Project Type,Вид проект
Project updated,Проектът е актуализиран
Project {0} linked to client {1},Проект {0} е свързан с клиент {1}
Project {0} not found,Проект {0} не е намерен
Project {0} to Frappe Projects,Проект {0} към Frappe Projects
Project:,Проект:
projects,проекти
Projects,Проекти
Projects created:,Създадени проекти:
Projects Overview,Преглед на проекти
Projects skipped:,Пропуснати проекти:
Projects updated:,Актуализирани проекти:
Promote failed,Повишаването е неуспешно
Promote to task,Повиши в задача
Promoted to task,Повишено в задача
Propose,Предложи
Propose New Time,Предложи ново време
Propose Time,Предложи време
Proposed End,Предложен край
Proposed Start,Предложено начало
Public,Публичен
Quick Action,Бързо действие
Quick Actions,Бързи действия
Quick Stats,Бърза статистика
Rates,Тарифи
Receive notifications via email,Получавайте известия по имейл
Receive notifications within the application,Получавайте известия в приложението
Recent Activity,Скорошна активност
Recipient {0} is not a valid user,Получател {0} не е валиден потребител
Reference,Справка
Refresh,Обновяване
Related,Свързани
Related Company (optional),Свързана компания (по избор)
Related Documents,Свързани документи
Related Project,Свързан проект
Remaining,Оставащ
Reminder,Напомняне
Reminder Lead Time,Предварително време за напомняне
Reminder: {0} - {1} at {2},Напомняне: {0} - {1} в {2}
Remove,Премахване
Remove dependency,Премахване на зависимост
Remove dependency on,Премахване на зависимост от
Remove from group,Премахване от група
Remove group dependency,Премахване на зависимост на група
Remove skill,Премахване на умение
Reopen,Повторно отваряне
Reopen thread,Повторно отваряне на нишка
reopened,повторно отворено
replies,отговори
Reply,Отговор
reply,отговор
Replying to,Отговор на
Replying to comment,Отговор на коментар
Report Defect,Докладване на дефект
Reported Date,Дата на докладване
Reports,Справки
Reports To,Докладва на
Request Submitted!,Заявката е изпратена!
Required,Задължително
required,задължително
Research,Проучване
Reset to Defaults,Възстановяване по подразбиране
Resolve,Разрешаване
Resolve thread,Разрешаване на нишка
Resolved,Разрешено
Resolved date cannot be before reported date,Датата на разрешаване не може да бъде преди датата на докладване
Resource,Ресурс
Resource and skill name are required,Ресурсът и името на умението са задължителни
Resource is already an attendee,Ресурсът вече е участник
Resource name is required,Името на ресурса е задължително
Resource not found,Ресурсът не е намерен
Resource synced from employee {0},Ресурсът е синхронизиран от служител {0}
Resource {0} is already assigned to this task ({1}),Ресурс {0} вече е назначен на тази задача ({1})
Resource {0} not found,Ресурс {0} не е намерен
Resources,Ресурси
Retry,Повторен опит
Review,Преглед
Review all relevant documents and contracts,Прегледайте всички съответни документи и договори
Reviews,Прегледи
Risk Assessment,Оценка на риска
Rollback,Отмяна
Rolled back,Отменено
Room or address,Стая или адрес
RSVP,RSVP
Safety,Безопасност
Sat,Съб
Save,Запазване
"Save a project as a template, or import one from a JSON file.",Запазете проект като шаблон или внесете от JSON файл.
Save as Template,Запазване като шаблон
Save Changes,Запазване на промените
Save failed,Запазването не успя
Save Preferences,Запазване на предпочитанията
Save Template,Запазване на шаблон
Saving...,Запазване...
Schedule,График
Schedule type is required for scheduled triggers,Видът на графика е задължителен за планирани задействания
Scheduled,Планирано
Search,Търсене
"Search by name, email, or skill...","Търсене по име, имейл или умение..."
Search for a project...,Търсене на проект...
Search for a task...,Търсене на задача...
Search for an event...,Търсене на събитие...
Search for people to invite...,Търсене на хора за поканване...
Search tasks to link...,Търсене на задачи за свързване...
Search tasks...,Търсене на задачи...
Search...,Търсене...
Searching...,Търсене...
Seen,Видяно
Select a project if your request is related to a specific project.,"Изберете проект, ако заявката ви е свързана с определен проект."
Select a project...,Изберете проект...
Select a task from the Gantt chart to view and manage its details.,Изберете задача от Gantt диаграмата за преглед и управление на подробностите.
Select a task from the list or Kanban board to view and manage its details.,Изберете задача от списъка или Kanban таблото за преглед и управление на подробностите.
Select a template...,Изберете шаблон...
Select priority...,Изберете приоритет...
Select status...,Изберете състояние...
Select task...,Изберете задача...
Select type...,Изберете вид...
Selection,Избор
Send,Изпращане
Send comment,Изпращане на коментар
Send email invitations to attendees,Изпращане на имейл покани до участниците
Send Invitations,Изпращане на покани
Send notification when a task is assigned to a user,Изпращане на известие при назначаване на задача на потребител
Send notification when task status changes,Изпращане на известие при промяна на състоянието на задача
Send reminder before task due date,Изпращане на напомняне преди крайния срок на задачата
sent,изпратено
Set rate,Задаване на ставка
Settings,Настройки
Settings saved successfully,Настройките са запазени успешно
Severity,Тежест
SF (Start-Finish),SF (начало-край)
SF - Start-to-Finish,SF - начало-край
Show,Показване
Show all,Показване на всички
Show all changes,Показване на всички промени
Show Archived,Показване на архивираните
Show full diff,Показване на пълната разлика
Show less,Показване на по-малко
Show more,Показване на повече
Skill added,Умението е добавено
Skill is required,Умението е задължително
Skill Name,Име на умение
Skill removed,Умението е премахнато
Skill {0} already exists for this resource,Умение {0} вече съществува за този ресурс
Skills,Умения
Skills & Competencies,Умения и компетентности
Skip already migrated projects,Пропускане на вече мигрирани проекти
Sort by,Сортиране по
Sort: Due Date,Сортиране: краен срок
Sort: Priority,Сортиране: приоритет
Sort: Project,Сортиране: проект
Sort: Status,Сортиране: състояние
Sort: Task,Сортиране: задача
Source Code,Изходен код
Spent,Изразходвано
Spent:,Изразходвано:
SS (Start-Start),SS (начало-начало)
SS - Start-to-Start,SS - начало-начало
Standalone,Самостоятелно
Start,Начало
Start a discussion below,Започнете обсъждане по-долу
Start Date,Начална дата
Start date,Начална дата
Start Date (Earliest),Начална дата (най-ранна)
Start date updated,Началната дата е обновена
Start date/time is required,Началната дата/час е задължителна
Start Migration,Начало на миграцията
Start the conversation below.,Започнете разговора по-долу.
Start Timer,Стартиране на хронометъра
Start typing to search...,Започнете да пишете за търсене...
Start-to-Finish,Начало-край
Start-to-Start,Начало-начало
Start:,Начало:
Statistics reset,Статистиката е нулирана
Status,Състояние
Status assigned to new projects,Състояние назначено на нови проекти
Status assigned to new tasks,Състояние назначено на нови задачи
Status Changes,Промени на състоянието
Status updated,Състоянието е обновено
Status:,Състояние:
Stop,Спиране
Stop & Save,Спиране и запазване
Stop Timer,Спиране на хронометъра
Stops current timer and starts for this event,Спира текущия хронометър и стартира за това събитие
Stops current timer and starts for this task,Спира текущия хронометър и стартира за тази задача
Subject,Тема
Subject cannot exceed 255 characters,Темата не може да надвишава 255 символа
Subject is required,Темата е задължителна
Submit,Изпращане
Submit Another Request,Изпращане на нова заявка
Submit Request,Изпращане на заявка
Submitting...,Изпращане...
Successfully saved,Запазено успешно
Successors (Blocking),Наследници (блокиращи)
Sun,Нед
Supplier,Доставчик
Support,Поддръжка
Switch to this event,Превключване към това събитие
Switch to this task,Превключване към тази задача
Sync direction is set to Frappe to Orga only,Посоката на синхронизация е зададена само от Frappe към Orga
Sync direction is set to Orga to Frappe only,Посоката на синхронизация е зададена само от Orga към Frappe
Sync not enabled for this project,Синхронизацията не е включена за този проект
System,Система
Table,Таблица
Take ownership of this task,Поемане на тази задача
Target Date,Целева дата
Target End,Целеви край
Target Project,Целеви проект
Target user is required for '{0}' action,"Целевият потребител е задължителен за действие „{0}""
Task,Задача
Task '{0}' is due on {1}."""
task,задача
Task,Задача
Task '{0}' is due on {1}.,Задача '{0}' е с краен срок {1}.
Task and resource are required,Задачата и ресурсът са задължителни
Task Assignment,Назначаване на задача
Task cannot be its own parent,Задачата не може да бъде собствен родител
Task cannot depend on itself,Задачата не може да зависи от себе си
Task cannot depend on the group it belongs to,Задачата не може да зависи от групата
Task created,Задачата е създадена
Task deleted,Задачата е изтрита
Task description has been saved.,Описанието на задачата е запазено.
Task Details,Подробности за задачата
Task due in {0} days: {1},Задача с краен срок след {0} дни: {1}
Task due today: {0},Задача с краен срок днес: {0}
Task due tomorrow: {0},Задача с краен срок утре: {0}
Task duplicated,Задачата е дублирана
Task Group,Група задачи
Task ID is required,ИД на задачата е задължителен
Task is blocked by incomplete dependencies,Задачата е блокирана от незавършени зависимости
Task is cancelled,Задачата е отменена
Task is completed,Задачата е завършена
Task is no longer blocked by a group,Задачата вече не е блокирана от група
Task is required for task context,Задачата е задължителна за контекст на задача
Task is required when tracking context is 'task',"Задачата е задължителна, когато контекстът на проследяване е „задача""
Task linked,Задачата е свързана
Task moved,Задачата е преместена
Task name,Име на задача
Task name is required,Името на задачата е задължително
Task removed from group,Задачата е премахната от групата
Task subject is required,Темата на задачата е задължителна
Task unblocked: {0},Задачата е деблокирана: {0}
Task unlinked,Задачата е разкачена
Task updated,Задачата е обновена
Task {0} not found,Задача {0} не е намерена
Task {0} not in project {1},Задача {0} не е в проект {1}
Task {0} to Frappe,Задача {0} към Frappe
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Задачата е свързана
Task moved,Задачата е преместена
Task name,Име на задача
Task name is required,Името на задачата е задължително
Task removed from group,Задачата е премахната от групата
Task Subject,Тема на задачата
Task subject is required,Темата на задачата е задължителна
Task Type,Вид задача
Task unblocked: {0},Задачата е отблокирана: {0}
Task unlinked,Задачата е разкачена
Task updated,Задачата е актуализирана
Task {0} not found,Задача {0} не е намерена
Task {0} not in project {1},Задача {0} не е в проект {1}
Task {0} to Frappe,Задача {0} към Frappe
Tasks,Задачи
tasks,задачи
Tasks and milestones will be created with dates relative to the project start date.,Задачите и етапите ще бъдат създадени с дати спрямо началната дата на проекта.
Tasks assigned to you across all projects.,Задачи назначени на вас от всички проекти.
Tasks created:,Създадени задачи:
Tasks from projects you manage.,Задачи от проекти
Tasks updated:,Обновени задачи:
"Tasks, milestones, and dependencies have been created.","Задачите, етапите и зависимостите са създадени."
Tasks:,Задачи:
TBD,Предстои уточняване
Team,Екип
Team Members,Членове на екипа
Template,Шаблон
Template applied,Шаблонът е приложен
Template data is required in import data,Данните на шаблона са задължителни в данните за внасяне
Template has no data,Шаблонът няма данни
Template Name,Име на шаблон
Template name,Име на шаблон
Template name is required,Името на шаблона е задължително
Template name is required in import data,Името на шаблона е задължително в данните за внасяне
Template saved,Шаблонът е запазен
Template updated successfully.,Шаблонът е обновен успешно.
Template {0} not found,Шаблон {0} не е намерен
Templates,Шаблони
Tentative,Ориентировъчно
The comment has been deleted,Коментарът е изтрит
The project,Проектът
The source document may have been deleted.,Изходният документ може да е бил изтрит.
The source document will not be affected.,Изходният документ няма да бъде засегнат.
The status of '{0}' was changed from {1} to {2}.,"Състоянието на „{0} е променено от {1} на {2}."""
Theme,Тема
Theme preference,Предпочитание за тема
This action,Това действие
This action cannot be undone.,Това действие не може да бъде отменено.
This activity has been flagged for attention,Тази дейност е маркирана за внимание
This is a reminder for your upcoming appointment,Това е напомняне за предстоящата ви среща
This method is only meant for developer mode,Този метод е предназначен само за режим за разработчици
This page wandered off,This page wandered off
This Week,Тази седмица
This will delete all notes and preferences associated with this activity.,Това ще изтрие всички бележки и предпочитания свързани с тази дейност.
This will import all Frappe Projects into Orga. Continue?,Това ще внесе всички Frappe проекти в Orga. Продължавате ли?
This will permanently delete,Това ще изтрие окончателно
This will permanently delete:,Това ще изтрие окончателно:
Thu,Чет
Time,Време
Time & Billing,Време и фактуриране
Time & Revenue,Време и приходи
Time Entries,Записи за времето
Time log name is required,Името на записа за времето е задължително
Time Log not found,Записът за времето не е намерен
Time log {0} not found,Запис за времето {0} не е намерен
Time Logs,Записи за времето
Time Summary,Обобщение на времето
Time Tracking,Проследяване на времето
Timeline,Хронология
Timer active on,Хронометърът е активен на
Timer is not running,Хронометърът не работи
Timer Running,Хронометърът работи
Timer running,Хронометърът работи
Timesheet DocType not available,Типът документ Справка за времето не е наличен
Timesheets,Справки за времето
Timezone,Часова зона
Timezone is detected from your browser,Часовата зона е определена от вашия браузър
Title,Заглавие
Title cannot exceed 255 characters,Заглавието не може да надвишава 255 символа
Title is required,Заглавието е задължително
Title updated,Заглавието е обновено
To,До
to,до
to cancel,за отмяна
to close,за затваряне
to confirm:,за потвърждаване:
to edit,за редактиране
"to save,","за запазване,"
To Time cannot be before From Time,Крайното време не може да бъде преди началното
Today,Днес
today,днес
Toggle billable,Превключване на фактуриране
Toggle Details Panel,Показване/скриване на панела с подробности
Toggle Manager Panel,Показване/скриване на панела на ръководителя
Toggle Sidebar,Показване/скриване на страничната лента
Tomorrow,Утре
tomorrow,утре
Total,Общо
Total Budget,Общ бюджет
Total Contacts,Общо контакти
Total Cost,Обща цена
Total Cost to Org,Обща цена за организацията
Total Defect Cost,Обща цена на дефектите
Total Hours,Общо часове
Total Hours Logged,Общо записани часове
Total Projects,Общо проекти
Total Spent,Общо изразходвано
Total Tasks,Общо задачи
Total:,Общо:
Tracked,Проследено
trails to today while Open at 0%,"плъзга се до днес, докато е отворено на 0%"
Tried:,Tried:
Try adjusting your filter criteria,Опитайте да промените критериите на филтъра
Try adjusting your filters.,Опитайте да промените филтрите си.
Try Again,Опитайте отново
Tue,Вто
Type,Вид
Type updated,Видът е обновен
Type:,Вид:
Typical response time: 1-2 business days,Обичайно време за отговор: 1–2 работни дни
Unarchive,Разархивиране
Unarchive Activity,Разархивиране на дейност
Unassign,Отмяна на назначение
Unassigned,Неназначено
Under Budget,Под бюджета
Ungrouped,Негрупирано
Unknown,Неизвестно
