+ Add Milestone,+ માઈલસ્ટોન ઉમેરો
e.g. Cracked wall finish in bathroom...,ઉદા. બાથરૂમમાં દીવાલના ફિનિશમાં તિરાડ...
"e.g. Electrical, Plumbing...","ઉદા. ઇલેક્ટ્રિકલ, પ્લમ્બિંગ..."
Edit,સંપાદિત કરો
Edit (E),સંપાદિત કરો (E)
Edit dependency,નિર્ભરતા સંપાદિત કરો
Edit Event,ઇવેન્ટ સંપાદિત કરો
Efficiency,કાર્યક્ષમતા
Either dependency_name or depends_on is required,dependency_name અથવા depends_on માંથી એક જરૂરી છે
Email,ઈમેઈલ
Email invitations to all attendees,બધા સહભાગીઓને ઈમેઈલ આમંત્રણ
Email is required to create portal user,પોર્ટલ વપરાશકર્તા બનાવવા ઈમેઈલ જરૂરી છે
Email notifications,ઈમેઈલ સૂચનાઓ
Employee,કર્મચારી
Employee DocType not available,Employee DocType ઉપલબ્ધ નથી
Employee not found,કર્મચારી મળ્યો નથી
Enable or disable optional features,વૈકલ્પિક સુવિધાઓ સક્ષમ અથવા અક્ષમ કરો
Enable Time Tracking,સમય ટ્રેકિંગ સક્ષમ કરો
End,અંત
End Date,અંતિમ તારીખ
End date,અંતિમ તારીખ
End Date cannot be before Start Date,અંતિમ તારીખ શરૂઆત તારીખ પહેલાં હોઈ શકે નહીં
End date cannot be before start date,અંતિમ તારીખ શરૂઆત તારીખ પહેલાં હોઈ શકે નહીં
End date updated,અંતિમ તારીખ અપડેટ થઈ
End time was before start time. Adjusted to 1 hour after start.,અંત સમય શરૂઆત સમય પહેલાં હતો. શરૂઆત પછી ૧ કલાક ગોઠવાયો.
End:,અંત:
Enter milestone name...,માઈલસ્ટોન નામ દાખલ કરો...
Enter project name,પ્રોજેક્ટ નામ દાખલ કરો
Enter task title...,ટાસ્ક શીર્ષક દાખલ કરો...
Enter template name,ટેમ્પ્લેટ નામ દાખલ કરો
Enter your note... Use @name to mention someone,તમારી નોંધ દાખલ કરો... કોઈને ઉલ્લેખ કરવા @name વાપરો
Error,ભૂલ
Error loading activity,પ્રવૃત્તિ લોડ કરવામાં ભૂલ
Error loading contacts,સંપર્કો લોડ કરવામાં ભૂલ
Error loading dashboard,ડેશબોર્ડ લોડ કરવામાં ભૂલ
Error loading project,પ્રોજેક્ટ લોડ કરવામાં ભૂલ
Error loading projects,પ્રોજેક્ટ લોડ કરવામાં ભૂલ
Error loading settings,સેટિંગ્સ લોડ કરવામાં ભૂલ
Error loading tasks,ટાસ્ક લોડ કરવામાં ભૂલ
Error loading templates,ટેમ્પ્લેટ લોડ કરવામાં ભૂલ
Est. Hours,અંદાજિત કલાકો
Estimated,અંદાજિત
Estimated Cost,અંદાજિત ખર્ચ
Estimated Cost (€),અંદાજિત ખર્ચ (€)
Estimated Hours,અંદાજિત કલાકો
Estimated:,અંદાજિત:
Evaluate potential risks and concerns,સંભવિત જોખમો અને ચિંતાઓનું મૂલ્યાંકન કરો
Event,ઇવેન્ટ
Event is required for event context,ઇવેન્ટ સંદર્ભ માટે ઇવેન્ટ જરૂરી છે
Event is required when tracking context is 'event',ટ્રેકિંગ સંદર્ભ 'event' હોય ત્યારે ઇવેન્ટ જરૂરી છે
Event Type,ઇવેન્ટ પ્રકાર
Events,ઇવેન્ટ
Events not available. Please run: bench --site orga.localhost migrate,ઇવેન્ટ ઉપલબ્ધ નથી. કૃપા કરી ચલાવો: bench --site orga.localhost migrate
Events:,ઇવેન્ટ:
Expert,નિષ્ણાત
Explain why you are proposing a different time...,તમે અલગ સમય કેમ સૂચવી રહ્યા છો તે સમજાવો...
Export,નિકાસ
Export failed,નિકાસ નિષ્ફળ
Export JSON,JSON નિકાસ
Exported,નિકાસ થયેલ
Exported to timesheet {0},ટાઇમશીટ {0} માં નિકાસ થયું
External,બાહ્ય
Failed to add item,આઇટમ ઉમેરવામાં નિષ્ફળ
Failed to add note,નોંધ ઉમેરવામાં નિષ્ફળ
Failed to add skill,કૌશલ્ય ઉમેરવામાં નિષ્ફળ
Failed to apply cascade changes: {0},કાસ્કેડ ફેરફારો લાગુ કરવામાં નિષ્ફળ: {0}
Failed to create defect,ખામી બનાવવામાં નિષ્ફળ
Failed to create dependency,નિર્ભરતા બનાવવામાં નિષ્ફળ
Failed to create event,ઇવેન્ટ બનાવવામાં નિષ્ફળ
Failed to create milestone,માઈલસ્ટોન બનાવવામાં નિષ્ફળ
Failed to create project,પ્રોજેક્ટ બનાવવામાં નિષ્ફળ
Failed to create task,ટાસ્ક બનાવવામાં નિષ્ફળ
Failed to create time log,ટાઇમ લોગ બનાવવામાં નિષ્ફળ
Failed to delete,કાઢી નાખવામાં નિષ્ફળ
Failed to delete comment,ટિપ્પણી કાઢી નાખવામાં નિષ્ફળ
Failed to delete contact,સંપર્ક કાઢી નાખવામાં નિષ્ફળ
Failed to load,લોડ કરવામાં નિષ્ફળ
Failed to load activity,પ્રવૃત્તિ લોડ કરવામાં નિષ્ફળ
Failed to load assignments,અસાઇનમેન્ટ લોડ કરવામાં નિષ્ફળ
Failed to load contact,સંપર્ક લોડ કરવામાં નિષ્ફળ
Failed to load dashboard data,ડેશબોર્ડ ડેટા લોડ કરવામાં નિષ્ફળ
Failed to load defects,ખામીઓ લોડ કરવામાં નિષ્ફળ
Failed to load events,ઇવેન્ટ લોડ કરવામાં નિષ્ફળ
Failed to load project,પ્રોજેક્ટ લોડ કરવામાં નિષ્ફળ
Failed to load projects,પ્રોજેક્ટ લોડ કરવામાં નિષ્ફળ
Failed to load report data,રિપોર્ટ ડેટા લોડ કરવામાં નિષ્ફળ
Failed to load settings,સેટિંગ્સ લોડ કરવામાં નિષ્ફળ
Failed to load tasks,ટાસ્ક લોડ કરવામાં નિષ્ફળ
Failed to move task,ટાસ્ક ખસેડવામાં નિષ્ફળ
Failed to post comment,ટિપ્પણી પોસ્ટ કરવામાં નિષ્ફળ
Failed to propose new time,નવો સમય સૂચવવામાં નિષ્ફળ
Failed to remove item,આઇટમ દૂર કરવામાં નિષ્ફળ
Failed to remove skill,કૌશલ્ય દૂર કરવામાં નિષ્ફળ
Failed to reorder milestones: {0},માઈલસ્ટોન ફરીથી ક્રમબદ્ધ કરવામાં નિષ્ફળ: {0}
Failed to reorder tasks: {0},ટાસ્ક ફરીથી ક્રમબદ્ધ કરવામાં નિષ્ફળ: {0}
Failed to reschedule dependent tasks: {0},નિર્ભર ટાસ્ક ફરીથી શેડ્યૂલ કરવામાં નિષ્ફળ: {0}
Failed to save,સાચવવામાં નિષ્ફળ
Failed to save preferences,પસંદગીઓ સાચવવામાં નિષ્ફળ
Failed to save settings,સેટિંગ્સ સાચવવામાં નિષ્ફળ
Failed to submit request. Please try again.,વિનંતી સબમિટ કરવામાં નિષ્ફળ. કૃપા કરી ફરી પ્રયાસ કરો.
Failed to update item,આઇટમ અપડેટ કરવામાં નિષ્ફળ
Failed to update priority,પ્રાથમિકતા અપડેટ કરવામાં નિષ્ફળ
Failed to update task,ટાસ્ક અપડેટ કરવામાં નિષ્ફળ
Failed to update tasks: {0},ટાસ્ક અપડેટ કરવામાં નિષ્ફળ: {0}
Failed to upload avatar,અવતાર અપલોડ કરવામાં નિષ્ફળ
Feature,સુવિધા
Features,સુવિધાઓ
FF (Finish-Finish),FF (સમાપ્તિ-સમાપ્તિ)
FF - Finish-to-Finish,FF - સમાપ્તિ-થી-સમાપ્તિ
Field has been updated,ફીલ્ડ અપડેટ થયું
Field name is required for 'Set Field Value' action,'Set Field Value' ક્રિયા માટે ફીલ્ડ નામ જરૂરી છે
Field {0} is not a Link field,ફીલ્ડ {0} એ Link ફીલ્ડ નથી
Field {0} not found in {1},ફીલ્ડ {0} {1} માં મળ્યું નથી
file,ફાઇલ
File,ફાઇલ
File does not belong to this task,ફાઇલ આ ટાસ્કની નથી
File name is required,ફાઇલનું નામ જરૂરી છે
File uploaded,ફાઇલ અપલોડ થઈ
File {0} not found,ફાઇલ {0} મળી નથી
files,ફાઇલો
Files,ફાઇલો
Filter,ફિલ્ટર
Final Decision,અંતિમ નિર્ણય
Finance,નાણાં
Financial,નાણાકીય
Finish-to-Finish,સમાપ્તિ-થી-સમાપ્તિ
Finish-to-Start,સમાપ્તિ-થી-શરૂઆત
Flag,ફ્લેગ
Flag for attention,ધ્યાન માટે ફ્લેગ કરો
Flagged,ફ્લેગ થયેલ
Focus Panel,ફોકસ પેનલ
Follows your system preference. Currently:,તમારી સિસ્ટમ પસંદગીને અનુસરે છે. હાલમાં:
Frappe Project {0} not found,Frappe પ્રોજેક્ટ {0} મળ્યો નથી
Frappe Projects Migration,Frappe Projects માઇગ્રેશન
Frappe Projects module not available,Frappe Projects મોડ્યુલ ઉપલબ્ધ નથી
Frappe Projects module not installed,Frappe Projects મોડ્યુલ ઇન્સ્ટોલ નથી
Frappe Projects sync is not enabled,Frappe Projects સિંક સક્ષમ નથી
Frappe Task DocType not found,Frappe Task DocType મળ્યો નથી
Frappe Task has no project,Frappe Task ને કોઈ પ્રોજેક્ટ નથી
Frappe Task {0} not found,Frappe Task {0} મળ્યો નથી
Fri,શુક્ર
From,થી
From Template,ટેમ્પ્લેટમાંથી
FS (Finish-Start),FS (સમાપ્તિ-શરૂઆત)
FS - Finish-to-Start (default),FS - સમાપ્તિ-થી-શરૂઆત (ડિફોલ્ટ)
Full form view with audit trail,ઓડિટ ટ્રેઇલ સાથે પૂર્ણ ફોર્મ દૃશ્ય
Full name,પૂરું નામ
Gantt,ગેન્ટ
Gantt Chart,ગેન્ટ ચાર્ટ
Gantt View,ગેન્ટ દૃશ્ય
General Note,સામાન્ય નોંધ
Get started,શરૂ કરો
Go back,પાછા જાઓ
Go Back,Go Back
Group by,જૂથ દ્વારા
Group dependency removed,જૂથ નિર્ભરતા દૂર કરાઈ
Group dependency set,જૂથ નિર્ભરતા સેટ થઈ
Group removed,જૂથ દૂર થયું
Group updated,જૂથ અપડેટ થયું
Hammock task dates are auto-calculated and cannot be changed manually,હેમોક ટાસ્ક તારીખો ઓટોમેટિક ગણાય છે અને મેન્યુઅલી બદલી શકાતી નથી
Have a question or need assistance? Fill out the form below and our team will get back to you.,કોઈ પ્રશ્ન છે અથવા સહાયની જરૂર છે? નીચેનું ફોર્મ ભરો અને અમારી ટીમ તમને જવાબ આપશે.
Health,આરોગ્ય
Healthy,સ્વસ્થ
Hello {0},નમસ્તે {0}
Here's what's happening with your projects today.,આજે તમારા પ્રોજેક્ટ સાથે શું થઈ રહ્યું છે તે અહીં છે.
Hide,છુપાવો
High,ઉચ્ચ
History,ઇતિહાસ
Home,હોમ
Hourly Cost,કલાકદીઠ ખર્ચ
Hours,કલાકો
hours,કલાકો
Hours Logged,રેકોર્ડ કરેલ કલાકો
ID,ID
Image must be smaller than 5 MB,ઈમેજ ૫ MB થી નાની હોવી જોઈએ
Import,આયાત
Import existing projects and tasks from Frappe Projects module,Frappe Projects મોડ્યુલમાંથી હાલના પ્રોજેક્ટ અને ટાસ્ક આયાત કરો
Import failed,આયાત નિષ્ફળ
Import Template,ટેમ્પ્લેટ આયાત કરો
Imported,આયાત થયેલ
in,માં
In Progress,પ્રગતિમાં
In Review,સમીક્ષામાં
In-app notifications,ઈન-એપ સૂચનાઓ
Inactive,નિષ્ક્રિય
Initial Review,પ્રારંભિક સમીક્ષા
Installed Version,Installed Version
Insufficient permissions to view all tasks,બધા ટાસ્ક જોવા માટે અપૂરતી પરવાનગીઓ
Intermediate,મધ્યવર્તી
Internal,આંતરિક
Invalid DocType,અમાન્ય DocType
Invalid DocType for import,આયાત માટે અમાન્ય DocType
Invalid item type: {0},અમાન્ય આઇટમ પ્રકાર: {0}
Invalid JSON data,અમાન્ય JSON ડેટા
Invalid note type. Must be one of: {0},અમાન્ય નોંધ પ્રકાર. આમાંથી એક હોવું જોઈએ: {0}
Invalid project reference,અમાન્ય પ્રોજેક્ટ સંદર્ભ
Invalid reaction type. Must be one of: {0},અમાન્ય પ્રતિક્રિયા પ્રકાર. આમાંથી એક હોવું જોઈએ: {0}
Invalid RSVP status,અમાન્ય RSVP સ્થિતિ
Invalid status. Must be one of: {0},અમાન્ય સ્થિતિ. આમાંથી એક હોવું જોઈએ: {0}
Invalid status: {0},અમાન્ય સ્થિતિ: {0}
Invalid status: {0}. Must be one of: {1},અમાન્ય સ્થિતિ: {0}. આમાંથી એક હોવું જોઈએ: {1}
Invalid tracking context: {0},અમાન્ય ટ્રેકિંગ સંદર્ભ: {0}
Invalid visibility. Must be one of: {0},અમાન્ય દૃશ્યતા. આમાંથી એક હોવું જોઈએ: {0}
Invitation: {0} - {1} at {2},આમંત્રણ: {0} - {1} {2} વાગ્યે
Invite People,લોકોને આમંત્રિત કરો
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,આઇટમ ઉમેરાઈ
Item ID is required,આઇટમ ID જરૂરી છે
Item removed,આઇટમ દૂર કરાઈ
Item type is required,આઇટમ પ્રકાર જરૂરી છે
Item {0} not found,આઇટમ {0} મળી નથી
Job title or role,જોબ શીર્ષક અથવા ભૂમિકા
Join Meeting,મીટિંગમાં જોડાઓ
Just now,હમણાં જ
just now,હમણાં જ
Kanban,કાનબાન
Kanban Board,કાનબાન બોર્ડ
Kanban View,કાનબાન દૃશ્ય
Keyboard Shortcuts,કીબોર્ડ શોર્ટકટ
Keyboard shortcuts (?),કીબોર્ડ શોર્ટકટ (?)
Last checked: {0},Last checked: {0}
Last Updated,છેલ્લે અપડેટ થયેલ
Last updated:,છેલ્લે અપડેટ થયેલ:
Last Week,ગયા અઠવાડિયે
Latest Version,Latest Version
Light,લાઇટ
Link failed,લિંક નિષ્ફળ
Link Task,ટાસ્ક લિંક કરો
Linked,જોડાયેલ
Linked employee not found,જોડાયેલ કર્મચારી મળ્યો નથી
Linked Tasks,જોડાયેલ ટાસ્ક
List,સૂચિ
List View,સૂચિ દૃશ્ય
Load failed,લોડ નિષ્ફળ
Load More,વધુ લોડ કરો
Load more comments,વધુ ટિપ્પણીઓ લોડ કરો
Loading activity...,પ્રવૃત્તિ લોડ થઈ રહી છે...
Loading changes...,ફેરફારો લોડ થઈ રહ્યા છે...
Loading checklist...,ચેકલિસ્ટ લોડ થઈ રહી છે...
Loading comments...,ટિપ્પણીઓ લોડ થઈ રહી છે...
Loading contact...,સંપર્ક લોડ થઈ રહ્યો છે...
Loading contacts...,સંપર્કો લોડ થઈ રહ્યા છે...
Loading dependencies...,નિર્ભરતાઓ લોડ થઈ રહી છે...
Loading details...,વિગતો લોડ થઈ રહી છે...
Loading discussion...,ચર્ચા લોડ થઈ રહી છે...
Loading events...,ઇવેન્ટ લોડ થઈ રહી છે...
Loading files...,ફાઇલો લોડ થઈ રહી છે...
Loading notes...,નોંધ લોડ થઈ રહી છે...
Loading preferences...,પસંદગીઓ લોડ થઈ રહી છે...
Loading project...,પ્રોજેક્ટ લોડ થઈ રહ્યો છે...
Loading projects...,પ્રોજેક્ટ લોડ થઈ રહ્યા છે...
Loading replies...,જવાબો લોડ થઈ રહ્યા છે...
Loading report data...,રિપોર્ટ ડેટા લોડ થઈ રહ્યો છે...
Loading settings...,સેટિંગ્સ લોડ થઈ રહી છે...
Loading task...,ટાસ્ક લોડ થઈ રહ્યો છે...
Loading templates...,ટેમ્પ્લેટ લોડ થઈ રહી છે...
Loading time logs...,ટાઇમ લોગ લોડ થઈ રહ્યા છે...
Loading your portal...,તમારું પોર્ટલ લોડ થઈ રહ્યું છે...
Loading...,લોડ થઈ રહ્યું છે...
Location,સ્થાન
Log Time,સમય રેકોર્ડ કરો
Logout,લૉગઆઉટ
Low,નીચું
Make Offer,ઓફર બનાવો
Manager,મેનેજર
Manual Entry,મેન્યુઅલ એન્ટ્રી
Margin,માર્જિન
Mark all as read,બધાને વાંચેલ તરીકે ચિહ્નિત કરો
Mark all read,બધા વાંચેલ ચિહ્નિત કરો
Mark as read,વાંચેલ તરીકે ચિહ્નિત કરો
Mark as unread,ન વાંચેલ તરીકે ચિહ્નિત કરો
Mark read,વાંચેલ ચિહ્નિત કરો
Marking...,ચિહ્નિત કરી રહ્યા છીએ...
Material,સામગ્રી
Maybe,કદાચ
Medium,મધ્યમ
Meeting,મીટિંગ
Meeting Link,મીટિંગ લિંક
Meeting title,મીટિંગ શીર્ષક
Meeting URL,મીટિંગ URL
Meetings,મીટિંગ્સ
Mention,ઉલ્લેખ
Message,સંદેશ
Message is required,સંદેશ જરૂરી છે
Message is required for '{0}' action,'{0}' ક્રિયા માટે સંદેશ જરૂરી છે
Migrate,માઇગ્રેટ કરો
Migration Complete,માઇગ્રેશન પૂર્ણ
Migration ID:,માઇગ્રેશન ID:
Migration log not found: {0},માઇગ્રેશન લોગ મળ્યો નથી: {0}
milestone,માઈલસ્ટોન
Milestone,માઈલસ્ટોન
Milestone created,માઈલસ્ટોન બનાવાયો
Milestone description has been saved.,માઈલસ્ટોન વર્ણન સાચવાયું.
Milestone ID is required,માઈલસ્ટોન ID જરૂરી છે
Milestone marked as Missed (past due date),માઈલસ્ટોન ચૂકી ગયેલ તરીકે ચિહ્નિત (મુદત વીતી ગઈ)
Milestone moved,માઈલસ્ટોન ખસેડાયો
Milestone Name,માઈલસ્ટોન નામ
Milestone name has been saved.,માઈલસ્ટોન નામ સાચવાયું.
Milestone name is required,માઈલસ્ટોન નામ જરૂરી છે
Milestone updated,માઈલસ્ટોન અપડેટ થયો
Milestone {0} not found,માઈલસ્ટોન {0} મળ્યો નથી
Milestone {0} not in project {1},માઈલસ્ટોન {0} પ્રોજેક્ટ {1} માં નથી
milestones,માઈલસ્ટોન
Milestones,માઈલસ્ટોન
Milestones:,માઈલસ્ટોન:
Minutes,મિનિટ
Missed,ચૂકી ગયેલ
Mixed,મિશ્ર
Mobile,મોબાઇલ
Moderate,મધ્યમ
Modified,સંશોધિત
"Modify details, time, or attendees","વિગતો, સમય, અથવા સહભાગીઓ બદલો"
Mon,સોમ
Month,મહિનો
Move failed,ખસેડવું નિષ્ફળ
Must be a positive number,ધન સંખ્યા હોવી જોઈએ
Must finish before this finishes,આ સમાપ્ત થાય તે પહેલાં સમાપ્ત થવું જોઈએ
Must finish before this starts,આ શરૂ થાય તે પહેલાં સમાપ્ત થવું જોઈએ
Must start before this finishes,આ સમાપ્ત થાય તે પહેલાં શરૂ થવું જોઈએ
Must start before this starts,આ શરૂ થાય તે પહેલાં શરૂ થવું જોઈએ
My Assignments,મારા અસાઇનમેન્ટ
My Projects,મારા પ્રોજેક્ટ
My Schedule,મારું શેડ્યૂલ
My Tasks,મારા ટાસ્ક
N/A,લાગુ પડતું નથી
Name,નામ
Name (A-Z),નામ (A-Z)
Name (Z-A),નામ (Z-A)
Name cannot exceed 255 characters,નામ ૨૫૫ અક્ષરોથી વધુ ન હોઈ શકે
Need help?,મદદ જોઈએ?
Needs Attention,ધ્યાન જરૂરી
Never,Never
new activities,નવી પ્રવૃત્તિઓ
New Activity,નવી પ્રવૃત્તિ
New activity,નવી પ્રવૃત્તિ
New Event,નવી ઇવેન્ટ
New index is required,નવી ઈન્ડેક્સ જરૂરી છે
New Project,નવો પ્રોજેક્ટ
New tasks will auto-trail by default.,નવા ટાસ્ક ડિફોલ્ટ રૂપે ઓટો-ટ્રેઇલ થશે.
Newest First,સૌથી નવું પ્રથમ
Next,આગળ
Next 14 days,આગામી ૧૪ દિવસ
Next 30 days,આગામી ૩૦ દિવસ
Next 60 days,આગામી ૬૦ દિવસ
Next 7 days,આગામી ૭ દિવસ
Next 90 days,આગામી ૯૦ દિવસ
Next Week,આવતા અઠવાડિયે
Next:,આગળ:
No,ના
No active assignments,કોઈ સક્રિય અસાઇનમેન્ટ નથી
No active projects,કોઈ સક્રિય પ્રોજેક્ટ નથી
No active timer found,કોઈ સક્રિય ટાઇમર મળ્યો નથી
No activity selected,કોઈ પ્રવૃત્તિ પસંદ કરાઈ નથી
No assignments found,કોઈ અસાઇનમેન્ટ મળ્યા નથી
No attendees,કોઈ સહભાગી નથી
no change,કોઈ ફેરફાર નથી
No changes for this field.,આ ફીલ્ડ માટે કોઈ ફેરફાર નથી.
No changes recorded for this activity.,આ પ્રવૃત્તિ માટે કોઈ ફેરફાર રેકોર્ડ થયા નથી.
No checklist items yet,હજુ કોઈ ચેકલિસ્ટ આઇટમ નથી
No checklist items yet.,હજુ કોઈ ચેકલિસ્ટ આઇટમ નથી.
No comments yet,હજુ કોઈ ટિપ્પણી નથી
No comments yet.,હજુ કોઈ ટિપ્પણી નથી.
No contacts available,કોઈ સંપર્ક ઉપલબ્ધ નથી
No content for this tab,આ ટેબ માટે કોઈ સામગ્રી નથી
No data available,કોઈ ડેટા ઉપલબ્ધ નથી
No data available for the selected filters,પસંદ કરેલ ફિલ્ટર માટે કોઈ ડેટા ઉપલબ્ધ નથી
No data to export,નિકાસ કરવા કોઈ ડેટા નથી
No dates set,કોઈ તારીખ સેટ નથી
No defects reported,કોઈ ખામી નોંધાઈ નથી
No dependencies defined,કોઈ નિર્ભરતા વ્યાખ્યાયિત નથી
No description,કોઈ વર્ણન નથી
No discussion yet.,હજુ કોઈ ચર્ચા નથી.
No documents attached,કોઈ દસ્તાવેજ જોડાયેલ નથી
No due date,કોઈ અંતિમ તારીખ નથી
No employee linked to this resource,આ રિસોર્સ સાથે કોઈ કર્મચારી જોડાયેલ નથી
No ERPNext employee linked to resource,રિસોર્સ સાથે કોઈ ERPNext કર્મચારી જોડાયેલ નથી
No events found,કોઈ ઇવેન્ટ મળી નથી
No files attached yet.,હજુ કોઈ ફાઇલ જોડાયેલ નથી.
No Frappe Project linked,કોઈ Frappe પ્રોજેક્ટ જોડાયેલ નથી
No Grouping,કોઈ જૂથ નથી
No items,કોઈ આઇટમ નથી
No matching tasks,કોઈ મેળ ખાતા ટાસ્ક નથી
No matching tasks found,કોઈ મેળ ખાતા ટાસ્ક મળ્યા નથી
No migration history,કોઈ માઇગ્રેશન ઇતિહાસ નથી
No Milestone,કોઈ માઈલસ્ટોન નથી
No milestones,કોઈ માઈલસ્ટોન નથી
No milestones defined for this project.,આ પ્રોજેક્ટ માટે કોઈ માઈલસ્ટોન વ્યાખ્યાયિત નથી.
No notes yet.,હજુ કોઈ નોંધ નથી.
No notes yet. Add a due diligence note to track progress.,હજુ કોઈ નોંધ નથી. પ્રગતિ ટ્રેક કરવા ડ્યુ ડિલિજન્સ નોંધ ઉમેરો.
No notifications,કોઈ સૂચના નથી
No Orga Project linked to Frappe Project {0},Frappe પ્રોજેક્ટ {0} સાથે કોઈ Orga પ્રોજેક્ટ જોડાયેલ નથી
No overdue tasks,કોઈ મુદત વીતી ગયેલ ટાસ્ક નથી
No pending cascade changes,કોઈ બાકી કાસ્કેડ ફેરફારો નથી
No predecessors - this task can start independently,કોઈ પૂર્વવર્તી નથી - આ ટાસ્ક સ્વતંત્ર રીતે શરૂ થઈ શકે છે
No project,કોઈ પ્રોજેક્ટ નથી
No projects found,કોઈ પ્રોજેક્ટ મળ્યા નથી
No Projects Yet,હજુ કોઈ પ્રોજેક્ટ નથી
No recent activity,કોઈ તાજેતરની પ્રવૃત્તિ નથી
No related documents,કોઈ સંબંધિત દસ્તાવેજ નથી
No resolved threads.,કોઈ ઉકેલાયેલ થ્રેડ નથી.
No resources found,કોઈ રિસોર્સ મળ્યા નથી
No results found,કોઈ પરિણામ મળ્યા નથી
No skills listed,કોઈ કૌશલ્ય સૂચિબદ્ધ નથી
No skills recorded yet,હજુ કોઈ કૌશલ્ય રેકોર્ડ થયું નથી
No successors - no tasks are waiting for this one,કોઈ ઉત્તરવર્તી નથી - આ ટાસ્ક માટે કોઈ ટાસ્ક રાહ જોતો નથી
No task selected,કોઈ ટાસ્ક પસંદ કરાયો નથી
No tasks assigned to you,તમને કોઈ ટાસ્ક અસાઇન નથી
No tasks available to add,ઉમેરવા માટે કોઈ ટાસ્ક ઉપલબ્ધ નથી
No tasks found,કોઈ ટાસ્ક મળ્યા નથી
No tasks linked to this milestone,આ માઈલસ્ટોન સાથે કોઈ ટાસ્ક જોડાયેલ નથી
No tasks with dates to display,પ્રદર્શિત કરવા તારીખો સાથે કોઈ ટાસ્ક નથી
No tasks yet,હજુ કોઈ ટાસ્ક નથી
No team members,કોઈ ટીમ સભ્ય નથી
No template,કોઈ ટેમ્પ્લેટ નથી
No templates yet,હજુ કોઈ ટેમ્પ્લેટ નથી
No time data found,કોઈ સમય ડેટા મળ્યો નથી
No time logged today,આજે કોઈ સમય રેકોર્ડ નથી
No time logged yet,હજુ કોઈ સમય રેકોર્ડ નથી
No time logs for this period,આ સમયગાળા માટે કોઈ ટાઇમ લોગ નથી
No time logs found,કોઈ ટાઇમ લોગ મળ્યા નથી
No unread notifications,કોઈ ન વાંચેલ સૂચના નથી
No update information available yet.,No update information available yet.
None,કોઈ નહીં
Not found,મળ્યું નથી
Not permitted,પરવાનગી નથી
Not permitted to access this project,આ પ્રોજેક્ટ ઍક્સેસ કરવાની પરવાનગી નથી
Not permitted to access this task,આ ટાસ્ક ઍક્સેસ કરવાની પરવાનગી નથી
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,આ દસ્તાવેજ પર ટિપ્પણી કરવાની પરવાનગી નથી
Not permitted to create clients,ક્લાયન્ટ બનાવવાની પરવાનગી નથી
Not permitted to delete this client,આ ક્લાયન્ટ કાઢી નાખવાની પરવાનગી નથી
Not permitted to delete this defect,આ ખામી કાઢી નાખવાની પરવાનગી નથી
Not permitted to delete this note,આ નોંધ કાઢી નાખવાની પરવાનગી નથી
Not permitted to delete this project,આ પ્રોજેક્ટ કાઢી નાખવાની પરવાનગી નથી
Not permitted to delete this task,આ ટાસ્ક કાઢી નાખવાની પરવાનગી નથી
Not permitted to delete this time log,આ ટાઇમ લોગ કાઢી નાખવાની પરવાનગી નથી
Not permitted to invite clients,ક્લાયન્ટને આમંત્રિત કરવાની પરવાનગી નથી
Not permitted to modify client access,ક્લાયન્ટ ઍક્સેસ બદલવાની પરવાનગી નથી
Not permitted to modify this project,આ પ્રોજેક્ટ બદલવાની પરવાનગી નથી
Not permitted to update settings,સેટિંગ્સ અપડેટ કરવાની પરવાનગી નથી
Not permitted to update this client,આ ક્લાયન્ટ અપડેટ કરવાની પરવાનગી નથી
Not permitted to view this client,આ ક્લાયન્ટ જોવાની પરવાનગી નથી
not sent,મોકલાયું નથી
Not set,સેટ નથી
Not specified,ઉલ્લેખિત નથી
Note,નોંધ
Note (optional),નોંધ (વૈકલ્પિક)
Note Content,નોંધ સામગ્રી
Note content is required,નોંધ સામગ્રી જરૂરી છે
Note name is required,નોંધનું નામ જરૂરી છે
Note not found,નોંધ મળી નથી
Note Type,નોંધ પ્રકાર
Notes,નોંધ
Notification,સૂચના
Notification not found,સૂચના મળી નથી
Notifications,સૂચનાઓ
Off Track,ટ્રેક પરથી ઉતરેલ
Offer,ઓફર
Offer Prepared,ઓફર તૈયાર
Oldest First,સૌથી જૂનું પ્રથમ
On Hold,રોકાયેલ
On Leave,રજા પર
On Track,ટ્રેક પર
On-Time Rate,સમયસર દર
Only administrators can delete activities,ફક્ત વ્યવસ્થાપકો પ્રવૃત્તિઓ કાઢી શકે છે
Only the comment author or administrators can delete comments,ફક્ત ટિપ્પણી લેખક અથવા વ્યવસ્થાપકો ટિપ્પણીઓ કાઢી શકે છે
Only you and admins,ફક્ત તમે અને વ્યવસ્થાપકો
Open,ખુલ્લું
Open in Desk,ડેસ્કમાં ખોલો
Open Task Log,ટાસ્ક લોગ ખોલો
Open Tasks,ખુલ્લા ટાસ્ક
Optional,વૈકલ્પિક
optional,વૈકલ્પિક
Or email us directly at,અથવા અમને સીધા ઈમેઈલ કરો
