+ Add Milestone,+ Ajouter un jalon
Loading discussion...,Chargement de la discussion...
Loading events...,Chargement des événements...
Loading files...,Chargement des fichiers...
Loading notes...,Chargement des notes...
Loading preferences...,Chargement des préférences...
Loading project...,Chargement du projet...
Loading projects...,Chargement des projets...
Loading replies...,Chargement des réponses...
Loading report data...,Chargement des données du rapport...
Loading settings...,Chargement des paramètres...
Loading task...,Chargement de la tâche...
Loading templates...,Chargement des modèles...
Loading time logs...,Chargement des entrées de temps...
Loading your portal...,Chargement de votre portail...
Loading...,Chargement...
Location,Lieu
Log Time,Enregistrer le temps
Logout,Déconnexion
Low,Basse
Make Offer,Faire une offre
Manager,Responsable
Manual Entry,Saisie manuelle
Margin,Marge
Mark all as read,Tout marquer comme lu
Mark all read,Tout marquer comme lu
Mark as read,Marquer comme lu
Mark as unread,Marquer comme non lu
Mark read,Marquer comme lu
Marking...,Marquage en cours...
Material,Matériau
Maybe,Peut-être
Medium,Moyenne
Meeting,Réunion
Meeting Link,Lien de réunion
Meeting title,Titre de la réunion
Meeting URL,URL de la réunion
Meetings,Réunions
Mention,Mentionner
Message,Message
Message is required,Le message est requis
Message is required for '{0}' action,Le message est requis pour l'action « {0} »
Migrate,Migrer
Migration Complete,Migration terminée
Migration ID:,ID de migration :
Migration log not found: {0},Journal de migration non trouvé : {0}
Milestone,Jalon
milestone,jalon
Milestone created,Jalon créé
Milestone description has been saved.,La description du jalon a été enregistrée.
Milestone ID is required,L'identifiant du jalon est requis
Milestone marked as Missed (past due date),Jalon marqué comme manqué (date d'échéance dépassée)
Milestone moved,Jalon déplacé
Milestone Name,Nom du jalon
Milestone name has been saved.,Le nom du jalon a été enregistré.
Milestone name is required,Le nom du jalon est requis
Milestone updated,Jalon mis à jour
Milestone {0} not found,Jalon {0} non trouvé
Milestone {0} not in project {1},Jalon {0} absent du projet {1}
Milestones,Jalons
milestones,jalons
Milestones:,Jalons :
Minutes,Minutes
Missed,Manqué
Mixed,Mixte
Mobile,Mobile
Moderate,Modéré
Modified,Modifié
"Modify details, time, or attendees","Modifier les détails, l'horaire ou les participants"
Mon,Lun
Month,Mois
Move failed,Échec du déplacement
Must be a positive number,Doit être un nombre positif
Must finish before this finishes,Doit finir avant que ceci ne finisse
Must finish before this starts,Doit finir avant que ceci ne commence
Must start before this finishes,Doit commencer avant que ceci ne finisse
Must start before this starts,Doit commencer avant que ceci ne commence
My Assignments,Mes affectations
My Projects,Mes projets
My Schedule,Mon planning
My Tasks,Mes tâches
N/A,N/D
Name,Nom
Name (A-Z),Nom (A-Z)
Name (Z-A),Nom (Z-A)
Name cannot exceed 255 characters,Le nom ne peut pas dépasser 255 caractères
Need help?,Besoin d'aide ?
Needs Attention,Nécessite une attention
Never,Jamais
new activities,nouvelles activités
New Activity,Nouvelle activité
New activity,Nouvelle activité
New Event,Nouvel événement
New index is required,Le nouvel index est requis
New Project,Nouveau projet
New tasks will auto-trail by default.,Les nouvelles tâches auront le glissement automatique par défaut.
Newest First,Plus récents d'abord
Next,Suivant
Next 14 days,14 prochains jours
Next 30 days,30 prochains jours
Next 60 days,60 prochains jours
Next 7 days,7 prochains jours
Next 90 days,90 prochains jours
Next Week,Semaine prochaine
Next:,Suivant :
No,Non
No active assignments,Aucune affectation active
No active projects,Aucun projet actif
No active timer found,Aucun chronomètre actif trouvé
No activity selected,Aucune activité sélectionnée
No assignments found,Aucune affectation trouvée
No attendees,Aucun participant
no change,aucune modification
No changes for this field.,Aucune modification pour ce champ.
No changes recorded for this activity.,Aucune modification enregistrée pour cette activité.
No checklist items yet,Aucun élément dans la liste de contrôle
No checklist items yet.,Aucun élément dans la liste de contrôle.
No comments yet,Aucun commentaire
No comments yet.,Aucun commentaire.
No contacts available,Aucun contact disponible
No content for this tab,Aucun contenu pour cet onglet
No data available,Aucune donnée disponible
No data available for the selected filters,Aucune donnée disponible pour les filtres sélectionnés
No data to export,Aucune donnée à exporter
No dates set,Aucune date définie
No defects reported,Aucun défaut signalé
No dependencies defined,Aucune dépendance définie
No description,Aucune description
No discussion yet.,Aucune discussion pour le moment.
No documents attached,Aucun document joint
No due date,Pas de date d'échéance
No employee linked to this resource,Aucun employé lié à cette ressource
No ERPNext employee linked to resource,Aucun employé ERPNext lié à la ressource
No events found,Aucun événement trouvé
No files attached yet.,Aucun fichier joint pour le moment.
No Frappe Project linked,Aucun projet Frappe lié
No Grouping,Aucun regroupement
No items,Aucun élément
No matching tasks,Aucune tâche correspondante
No matching tasks found,Aucune tâche correspondante trouvée
No migration history,Aucun historique de migration
No Milestone,Aucun jalon
No milestones,Aucun jalon
No milestones defined for this project.,Aucun jalon défini pour ce projet.
No notes yet.,Aucune note pour le moment.
No notes yet. Add a due diligence note to track progress.,Aucune note pour le moment. Ajoutez une note de vérification préalable pour suivre la progression.
No notifications,Aucune notification
No Orga Project linked to Frappe Project {0},Aucun projet Orga lié au projet Frappe {0}
No overdue tasks,Aucune tâche en retard
No pending cascade changes,Aucune modification en cascade en attente
No predecessors - this task can start independently,Aucun prédécesseur — cette tâche peut démarrer indépendamment
No project,Aucun projet
No projects found,Aucun projet trouvé
No Projects Yet,Aucun projet pour le moment
No recent activity,Aucune activité récente
No related documents,Aucun document associé
No resolved threads.,Aucun fil de discussion résolu.
No resources found,Aucune ressource trouvée
No results found,Aucun résultat trouvé
No skills listed,Aucune compétence listée
No skills recorded yet,Aucune compétence enregistrée
No successors - no tasks are waiting for this one,Aucun successeur — aucune tâche n'attend celle-ci
No task selected,Aucune tâche sélectionnée
No tasks assigned to you,Aucune tâche qui vous est assignée
No tasks available to add,Aucune tâche disponible à ajouter
No tasks found,Aucune tâche trouvée
No tasks linked to this milestone,Aucune tâche liée à ce jalon
No tasks with dates to display,Aucune tâche avec des dates à afficher
No tasks yet,Aucune tâche pour le moment
No team members,Aucun membre d'équipe
No template,Aucun modèle
No templates yet,Aucun modèle pour le moment
No time data found,Aucune donnée de temps trouvée
No time logged today,Aucun temps enregistré aujourd'hui
No time logged yet,Aucun temps enregistré
No time logs for this period,Aucune entrée de temps pour cette période
No time logs found,Aucune entrée de temps trouvée
No unread notifications,Aucune notification non lue
No update information available yet.,Aucune information de mise à jour disponible.
None,Aucun
Not found,Non trouvé
Not permitted,Non autorisé
Not permitted to access this project,Accès non autorisé à ce projet
Not permitted to access this task,Accès non autorisé à cette tâche
Not permitted to check for updates,Non autorisé à vérifier les mises à jour
Not permitted to comment on this document,Vous n'êtes pas autorisé à commenter ce document
Not permitted to create clients,Vous n'êtes pas autorisé à créer des clients
Not permitted to delete this client,Vous n'êtes pas autorisé à supprimer ce client
Not permitted to delete this defect,Vous n'êtes pas autorisé à supprimer ce défaut
Not permitted to delete this note,Vous n'êtes pas autorisé à supprimer cette note
Not permitted to delete this project,Vous n'êtes pas autorisé à supprimer ce projet
Not permitted to delete this task,Vous n'êtes pas autorisé à supprimer cette tâche
Not permitted to delete this time log,Vous n'êtes pas autorisé à supprimer cette entrée de temps
Not permitted to invite clients,Vous n'êtes pas autorisé à inviter des clients
Not permitted to modify client access,Vous n'êtes pas autorisé à modifier l'accès client
Not permitted to modify this project,Vous n'êtes pas autorisé à modifier ce projet
Not permitted to update settings,Vous n'êtes pas autorisé à modifier les paramètres
Not permitted to update this client,Vous n'êtes pas autorisé à modifier ce client
Not permitted to view this client,Vous n'êtes pas autorisé à afficher ce client
not sent,non envoyé
Not set,Non défini
Not specified,Non spécifié
Note,Note
Note (optional),Note (facultatif)
Note Content,Contenu de la note
Note content is required,Le contenu de la note est requis
Note name is required,Le nom de la note est requis
Note not found,Note non trouvée
Note Type,Type de note
Notes,Notes
Notification,Notification
Notification not found,Notification non trouvée
Notifications,Notifications
Off Track,Hors piste
Offer,Offre
Offer Prepared,Offre préparée
Oldest First,Plus anciens d'abord
On Hold,En attente
On Leave,En congé
On Track,Dans les temps
On-Time Rate,Taux de ponctualité
Only administrators can delete activities,Seuls les administrateurs peuvent supprimer les activités
Only the comment author or administrators can delete comments,Seul l'auteur du commentaire ou les administrateurs peuvent supprimer les commentaires
Only you and admins,Vous et les administrateurs uniquement
Open,Ouvert
Open in Desk,Ouvrir dans le Desk
Open Task Log,Ouvrir le journal de la tâche
Open Tasks,Tâches ouvertes
Optional,Facultatif
optional,facultatif
Or email us directly at,Ou envoyez-nous un e-mail directement à
Orga Project {0} from Frappe Projects,Projet Orga {0} depuis Frappe Projects
Orga Task {0} from Frappe,Tâche Orga {0} depuis Frappe
Organizer,Organisateur
Other,Autre
Over Budget,Dépassement de budget
Overall Progress,Progression globale
Overall Utilization,Utilisation globale
Overallocated,Suralloué
Overdue,En retard
overdue,en retard
Overdue Tasks,Tâches en retard
Overview,Vue d'ensemble
Owner,Propriétaire
Page Not Found,Page non trouvée
Parent,Parent
Parent comment must belong to the same document,Le commentaire parent doit appartenir au même document
Parent comment not found,Commentaire parent non trouvé
Parent project not synced to Frappe yet,Le projet parent n'est pas encore synchronisé avec Frappe
Parent project sync not enabled,La synchronisation du projet parent n'est pas activée
Partner,Partenaire
Pending,En attente
per page,par page
Perform initial assessment and background check,Effectuer l'évaluation initiale et la vérification des antécédents
Permanently remove this event,Supprimer définitivement cet événement
Permanently remove this task,Supprimer définitivement cette tâche
Phone,Téléphone
Pin,Épingler
Pin Activity,Épingler l'activité
Pin to top,Épingler en haut
Pinned,Épinglé
Planned budget for this task,Budget prévu pour cette tâche
Planning,Planification
Please describe your question or issue in detail...,Veuillez décrire votre question ou problème en détail...
Please login to access Orga,Veuillez vous connecter pour accéder à Orga
Please login to access the client portal,Veuillez vous connecter pour accéder au portail client
Please respond to this invitation in Orga,Veuillez répondre à cette invitation dans Orga
Please select an image file,Veuillez sélectionner un fichier image
Please try again,Veuillez réessayer
Please type,Veuillez saisir
Portal,Portail
Portal access revoked for {0},Accès au portail révoqué pour {0}
Portal user created successfully. Welcome email {0},Utilisateur de portail créé avec succès. E-mail de bienvenue {0}
Post,Publier
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Prédécesseurs (bloqué par)
Preferences,Préférences
Preferences saved successfully,Préférences enregistrées avec succès
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Préfixe pour les codes de projet générés automatiquement (ex. : ORG-2026-0001)
Prepare and document offer terms,Préparer et documenter les conditions de l'offre
Press,Appuyez sur
Preview,Aperçu
Preview cascade before applying,Aperçu de la cascade avant application
Previous,Précédent
Priority,Priorité
Priority assigned to new tasks,Priorité assignée aux nouvelles tâches
Priority updated,Priorité mise à jour
Proficiency,Maîtrise
Profile,Profil
Progress,Progression
Progress (High-Low),Progression (décroissante)
Progress (Low-High),Progression (croissante)
Progress Overview,Vue d'ensemble de la progression
Progress updated,Progression mise à jour
Project,Projet
Project budget has been saved.,Le budget du projet a été enregistré.
Project code (e.g. ORG-2026-0001),Code du projet (ex. : ORG-2026-0001)
Project Code Prefix,Préfixe de code projet
Project created,Projet créé
Project deleted,Projet supprimé
Project description has been saved.,La description du projet a été enregistrée.
Project Details,Détails du projet
Project end date has been saved.,La date de fin du projet a été enregistrée.
Project Files,Fichiers du projet
Project has no linked client,Le projet n'a aucun client associé
Project Health,Santé du projet
Project Info,Informations sur le projet
Project is required,Le projet est requis
Project is required for project context,Le projet est requis pour le contexte projet
Project is required when tracking context is 'project',Le projet est requis lorsque le contexte de suivi est « projet »
Project Manager,Chef de projet
Project Name,Nom du projet
Project name and template name are required,Le nom du projet et le nom du modèle sont requis
Project name is required,Le nom du projet est requis
Project not found,Projet non trouvé
Project not found or you do not have access,Projet non trouvé ou accès refusé
Project settings,Paramètres du projet
Project start date has been saved.,La date de début du projet a été enregistrée.
Project title has been saved.,Le titre du projet a été enregistré.
Project Type,Type de projet
Project updated,Projet mis à jour
Project {0} linked to client {1},Projet {0} associé au client {1}
Project {0} not found,Projet {0} non trouvé
Project {0} to Frappe Projects,Projet {0} vers Frappe Projects
Project:,Projet :
Projects,Projets
projects,projets
Projects created:,Projets créés :
Projects Overview,Vue d'ensemble des projets
Projects skipped:,Projets ignorés :
Projects updated:,Projets mis à jour :
Promote failed,Échec de la promotion
Promote to task,Promouvoir en tâche
Promoted to task,Promu en tâche
Propose,Proposer
Propose New Time,Proposer un nouveau créneau
Propose Time,Proposer un créneau
Proposed End,Fin proposée
Proposed Start,Début proposé
Public,Public
Quick Action,Action rapide
Quick Actions,Actions rapides
Quick Stats,Statistiques rapides
Rates,Tarifs
Receive notifications via email,Recevoir les notifications par e-mail
Receive notifications within the application,Recevoir les notifications dans l'application
Recent Activity,Activité récente
Recipient {0} is not a valid user,Le destinataire {0} n'est pas un utilisateur valide
Reference,Référence
Refresh,Actualiser
Related,Associé
Related Company (optional),Société associée (facultatif)
Related Documents,Documents associés
Related Project,Projet associé
Remaining,Restant
Reminder,Rappel
Reminder Lead Time,Délai de rappel
Reminder: {0} - {1} at {2},Rappel : {0} - {1} à {2}
Remove,Retirer
Remove dependency,Supprimer la dépendance
Remove dependency on,Supprimer la dépendance sur
Remove from group,Retirer du groupe
Remove group dependency,Supprimer la dépendance de groupe
Remove skill,Supprimer la compétence
Reopen,Rouvrir
Reopen thread,Rouvrir le fil de discussion
reopened,rouvert
replies,réponses
Reply,Répondre
reply,réponse
Replying to,En réponse à
Replying to comment,En réponse au commentaire
Report Defect,Signaler un défaut
Reported Date,Date de signalement
Reports,Rapports
Reports To,Rend compte à
Request Submitted!,Demande envoyée !
Required,Requis
required,requis
Research,Recherche
Reset to Defaults,Réinitialiser aux valeurs par défaut
Resolve,Résoudre
Resolve thread,Résoudre le fil de discussion
Resolved,Résolu
Resolved date cannot be before reported date,La date de résolution ne peut pas être antérieure à la date de signalement
Resource,Ressource
Resource and skill name are required,La ressource et le nom de la compétence sont requis
Resource is already an attendee,La ressource est déjà un participant
Resource name is required,Le nom de la ressource est requis
Resource not found,Ressource non trouvée
Resource synced from employee {0},Ressource synchronisée depuis l'employé {0}
Resource {0} is already assigned to this task ({1}),La ressource {0} est déjà affectée à cette tâche ({1})
Resource {0} not found,Ressource {0} non trouvée
Resources,Contacts
Retry,Réessayer
Review,Révision
Review all relevant documents and contracts,Examiner tous les documents et contrats pertinents
Reviews,Examens
Risk Assessment,Évaluation des risques
Rollback,Annuler
Rolled back,Annulé
Room or address,Salle ou adresse
RSVP,RSVP
Safety,Sécurité
Sat,Sam
Save,Enregistrer
"Save a project as a template, or import one from a JSON file.","Enregistrez un projet comme modèle, ou importez-en un depuis un fichier JSON."
Save as Template,Enregistrer comme modèle
Save Changes,Enregistrer les modifications
Save failed,Échec de l'enregistrement
Save Preferences,Enregistrer les préférences
Save Template,Enregistrer le modèle
Saving...,Enregistrement en cours...
Schedule,Planning
Schedule type is required for scheduled triggers,Le type de planification est requis pour les déclencheurs planifiés
Scheduled,Planifié
Search,Rechercher
"Search by name, email, or skill...","Rechercher par nom, e-mail ou compétence..."
Search for a project...,Rechercher un projet...
Search for a task...,Rechercher une tâche...
Search for an event...,Rechercher un événement...
Search for people to invite...,Rechercher des personnes à inviter...
Search tasks to link...,Rechercher des tâches à lier...
Search tasks...,Rechercher des tâches...
Search...,Rechercher...
Searching...,Recherche en cours...
Seen,Vu
Select a project if your request is related to a specific project.,Sélectionnez un projet si votre demande est liée à un projet spécifique.
Select a project...,Sélectionner un projet...
Select a task from the Gantt chart to view and manage its details.,Sélectionnez une tâche dans le diagramme de Gantt pour afficher et gérer ses détails.
Select a task from the list or Kanban board to view and manage its details.,Sélectionnez une tâche dans la liste ou le tableau Kanban pour afficher et gérer ses détails.
Select a template...,Sélectionner un modèle...
Select priority...,Sélectionner une priorité...
Select status...,Sélectionner un statut...
Select task...,Sélectionner une tâche...
Select type...,Sélectionner un type...
Selection,Sélection
Send,Envoyer
Send comment,Envoyer le commentaire
Send email invitations to attendees,Envoyer les invitations par e-mail aux participants
Send Invitations,Envoyer les invitations
Send notification when a task is assigned to a user,Envoyer une notification lorsqu'une tâche est assignée à un utilisateur
Send notification when task status changes,Envoyer une notification lors du changement de statut d'une tâche
Send reminder before task due date,Envoyer un rappel avant la date d'échéance de la tâche
sent,envoyé
Set rate,Définir le tarif
Settings,Paramètres
Settings saved successfully,Paramètres enregistrés avec succès
Severity,Sévérité
SF (Start-Finish),SF (Début-Fin)
SF - Start-to-Finish,SF - Début-à-Fin
Show,Afficher
Show all,Tout afficher
Show all changes,Afficher toutes les modifications
Show Archived,Afficher les archivés
Show full diff,Afficher le diff complet
Show less,Afficher moins
Show more,Afficher plus
Skill added,Compétence ajoutée
Skill is required,La compétence est requise
Skill Name,Nom de la compétence
Skill removed,Compétence supprimée
Skill {0} already exists for this resource,La compétence {0} existe déjà pour cette ressource
Skills,Compétences
Skills & Competencies,Compétences et aptitudes
Skip already migrated projects,Ignorer les projets déjà migrés
Sort by,Trier par
Sort: Due Date,Tri : Date d'échéance
Sort: Priority,Tri : Priorité
Sort: Project,Tri : Projet
Sort: Status,Tri : Statut
Sort: Task,Tri : Tâche
Source Code,Code source
Spent,Dépensé
Spent:,Dépensé :
SS (Start-Start),SS (Début-Début)
SS - Start-to-Start,SS - Début-à-Début
Standalone,Autonome
Start,Début
Start a discussion below,Commencer une discussion ci-dessous
Start Date,Date de début
Start date,Date de début
Start Date (Earliest),Date de début (la plus proche)
Start date updated,Date de début mise à jour
Start date/time is required,La date/heure de début est requise
Start Migration,Démarrer la migration
Start the conversation below.,Commencez la conversation ci-dessous.
Start Timer,Démarrer le chronomètre
Start typing to search...,Commencez à saisir pour rechercher...
Start-to-Finish,Début-à-Fin
Start-to-Start,Début-à-Début
Start:,Début :
Statistics reset,Statistiques réinitialisées
Status,Statut
Status assigned to new projects,Statut assigné aux nouveaux projets
Status assigned to new tasks,Statut assigné aux nouvelles tâches
Status Changes,Changements de statut
Status updated,Statut mis à jour
Status:,Statut :
Stop,Arrêter
Stop & Save,Arrêter et enregistrer
Stop Timer,Arrêter le chronomètre
Stops current timer and starts for this event,Arrête le chronomètre en cours et le démarre pour cet événement
Stops current timer and starts for this task,Arrête le chronomètre en cours et le démarre pour cette tâche
Subject,Objet
Subject cannot exceed 255 characters,L'objet ne peut pas dépasser 255 caractères
Subject is required,L'objet est requis
Submit,Soumettre
Submit Another Request,Soumettre une autre demande
Submit Request,Soumettre la demande
Submitting...,Envoi en cours...
Successfully saved,Enregistré avec succès
Successors (Blocking),Successeurs (bloquant)
Sun,Dim
Supplier,Fournisseur
Support,Support
Switch to this event,Basculer vers cet événement
Switch to this task,Basculer vers cette tâche
Sync direction is set to Frappe to Orga only,La direction de synchronisation est définie de Frappe vers Orga uniquement
Sync direction is set to Orga to Frappe only,La direction de synchronisation est définie d'Orga vers Frappe uniquement
Sync not enabled for this project,La synchronisation n'est pas activée pour ce projet
System,Système
Table,Tableau
Take ownership of this task,Prendre en charge cette tâche
Target Date,Date cible
Target End,Fin cible
Target Project,Projet cible
Target user is required for '{0}' action,L'utilisateur cible est requis pour l'action « {0} »
Task,Tâche
task,tâche
Task '{0}' is due on {1}.,La tâche « {0} » est due le {1}.
Task and resource are required,La tâche et la ressource sont requises
Task Assignment,Affectation de tâche
Task cannot be its own parent,Une tâche ne peut pas être son propre parent
Task cannot depend on itself,Une tâche ne peut pas dépendre d'elle-même
Task cannot depend on the group it belongs to,Une tâche ne peut pas dépendre du groupe auquel elle appartient
Task created,Tâche créée
Task deleted,Tâche supprimée
Task description has been saved.,La description de la tâche a été enregistrée.
Task Details,Détails de la tâche
Task due in {0} days: {1},Tâche due dans {0} jours : {1}
Task due today: {0},Tâche due aujourd'hui : {0}
Task due tomorrow: {0},Tâche due demain : {0}
Task duplicated,Tâche dupliquée
Task Group,Groupe de tâches
Task ID is required,L'identifiant de la tâche est requis
Task is blocked by incomplete dependencies,La tâche est bloquée par des dépendances incomplètes
Task is cancelled,La tâche est annulée
Task is completed,La tâche est terminée
Task is no longer blocked by a group,La tâche n'est plus bloquée par un groupe
Task is required for task context,La tâche est requise pour le contexte tâche
Task is required when tracking context is 'task',La tâche est requise lorsque le contexte de suivi est « tâche »
Task linked,Tâche liée
Task moved,Tâche déplacée
Task name,Nom de la tâche
Task name is required,Le nom de la tâche est requis
Task removed from group,Tâche retirée du groupe
Task Subject,Objet de la tâche
Task subject is required,L'objet de la tâche est requis
Task Type,Type de tâche
Task unblocked: {0},Tâche débloquée : {0}
Task unlinked,Tâche dissociée
Task updated,Tâche mise à jour
Task {0} not found,Tâche {0} non trouvée
Task {0} not in project {1},Tâche {0} absente du projet {1}
Task {0} to Frappe,Tâche {0} vers Frappe
Tasks,Tâches
tasks,tâches
Tasks and milestones will be created with dates relative to the project start date.,Les tâches et jalons seront créés avec des dates relatives à la date de début du projet.
Tasks assigned to you across all projects.,Tâches qui vous sont assignées dans tous les projets.
Tasks created:,Tâches créées :
Tasks from projects you manage.,Tâches des projets que vous gérez.
Tasks updated:,Tâches mises à jour :
"Tasks, milestones, and dependencies have been created.","Les tâches, jalons et dépendances ont été créés."
Tasks:,Tâches :
TBD,À déterminer
Team,Équipe
Team Members,Membres de l'équipe
Template,Modèle
Template applied,Modèle appliqué
Template data is required in import data,Les données du modèle sont requises dans les données d'importation
Template has no data,Le modèle n'a pas de données
Template Name,Nom du modèle
Template name,Nom du modèle
Template name is required,Le nom du modèle est requis
Template name is required in import data,Le nom du modèle est requis dans les données d'importation
Template saved,Modèle enregistré
Template updated successfully.,Modèle mis à jour avec succès.
Template {0} not found,Modèle {0} non trouvé
Templates,Modèles
Tentative,Provisoire
The comment has been deleted,Le commentaire a été supprimé
The project,Le projet
The source document may have been deleted.,Le document source a peut-être été supprimé.
The source document will not be affected.,Le document source ne sera pas affecté.
The status of '{0}' was changed from {1} to {2}.,Le statut de « {0} » a été modifié de {1} à {2}.
Theme,Thème
Theme preference,Préférence de thème
This action,Cette action
This action cannot be undone.,Cette action est irréversible.
This activity has been flagged for attention,Cette activité a été signalée pour attention
This is a reminder for your upcoming appointment,Ceci est un rappel pour votre prochain rendez-vous
This method is only meant for developer mode,Cette méthode est réservée au mode développeur
This page wandered off,Cette page s'est égarée
This Week,Cette semaine
This will delete all notes and preferences associated with this activity.,Cela supprimera toutes les notes et préférences associées à cette activité.
This will import all Frappe Projects into Orga. Continue?,Cela importera tous les projets Frappe dans Orga. Continuer ?
This will permanently delete,Cela supprimera définitivement
This will permanently delete:,Cela supprimera définitivement :
Thu,Jeu
Time,Heure
Time & Billing,Temps et facturation
Time & Revenue,Temps et revenus
Time Entries,Entrées de temps
Time log name is required,Le nom de l'entrée de temps est requis
Time Log not found,Entrée de temps non trouvée
Time log {0} not found,Entrée de temps {0} non trouvée
Time Logs,Entrées de temps
Time Summary,Résumé du temps
Time Tracking,Suivi du temps
Timeline,Chronologie
Timer active on,Chronomètre actif sur
Timer is not running,Le chronomètre n'est pas en cours
Timer Running,Chronomètre en cours
Timer running,Chronomètre en cours
Timesheet DocType not available,DocType Feuille de temps non disponible
Timesheets,Feuilles de temps
Timezone,Fuseau horaire
Timezone is detected from your browser,Le fuseau horaire est détecté depuis votre navigateur
Title,Titre
Title cannot exceed 255 characters,Le titre ne peut pas dépasser 255 caractères
Title is required,Le titre est requis
Title updated,Titre mis à jour
To,À
to,à
to cancel,pour annuler
to close,pour fermer
to confirm:,pour confirmer :
to edit,pour modifier
"to save,","pour enregistrer,"
To Time cannot be before From Time,L'heure de fin ne peut pas être antérieure à l'heure de début
Today,Aujourd'hui
today,aujourd'hui
Toggle billable,Basculer facturable
Toggle Details Panel,Afficher/masquer le panneau de détails
Toggle Manager Panel,Afficher/masquer le panneau gestionnaire
Toggle Sidebar,Afficher/masquer la barre latérale
Tomorrow,Demain
tomorrow,demain
Total,Total
Total Budget,Budget total
Total Contacts,Total des contacts
Total Cost,Coût total
Total Cost to Org,Coût total pour l'organisation
Total Defect Cost,Coût total des défauts
Total Hours,Total des heures
Total Hours Logged,Total des heures enregistrées
Total Projects,Total des projets
Total Spent,Total dépensé
Total Tasks,Total des tâches
Total:,Total :
Tracked,Suivi
trails to today while Open at 0%,glisse jusqu'à aujourd'hui tant qu'Ouvert à 0%
Tried:,Essayé :
Try adjusting your filter criteria,Essayez d'ajuster vos critères de filtre
Try adjusting your filters.,Essayez d'ajuster vos filtres.
Try Again,Réessayer
Tue,Mar
Type,Type
Type updated,Type mis à jour
Type:,Type :
Typical response time: 1-2 business days,Délai de réponse habituel : 1 à 2 jours ouvrés
Unarchive,Désarchiver
Unarchive Activity,Désarchiver l'activité
Unassign,Désassigner
Unassigned,Non assigné
Under Budget,Sous le budget
Ungrouped,Non groupé
Unknown,Inconnu
Unknown error,Erreur inconnue
Unlink failed,Échec de la dissociation
Unlink task from milestone,Dissocier la tâche du jalon
Unpin,Désépingler
Unpin Activity,Désépingler l'activité
Unread,Non lu
Unread only,Non lus uniquement
Until,Jusqu'à
Up to Date,À jour
Upcoming,À venir
upcoming,à venir
Update,Mise à jour
Update Available,Mise à jour disponible
Update available,Mise à jour disponible
Update available: v{0},Mise à jour disponible : v{0}
Update check failed: {0},Échec de la vérification : {0}
Update failed,Échec de la mise à jour
Updated,Mis à jour
Updated successfully,Mis à jour avec succès
Updates,Mises à jour
Upload,Téléverser
Upload failed,Échec du téléversement
Upload files below to attach them to this task.,Téléversez des fichiers ci-dessous pour les joindre à cette tâche.
Upload to project,Téléverser dans le projet
Uploading...,Téléversement en cours...
Urgent,Urgent
User {0} is already linked to client {1},L'utilisateur {0} est déjà lié au client {1}
User {0} is already linked to resource {1},L'utilisateur {0} est déjà lié à la ressource {1}
Utilization,Utilisation
Valid,Valide
Value:,Valeur :
Variance,Écart
Variance:,Écart :
Version {0} is available. You are running {1}.,La version {0} est disponible. Vous utilisez {1}.
View,Afficher
View All,Tout afficher
View all active projects,Afficher tous les projets actifs
View all open tasks,Afficher toutes les tâches ouvertes
View overdue tasks,Afficher les tâches en retard
View Release,Voir la version
Visibility,Visibilité
Waiting for this task,En attente de cette tâche
Waits for:,En attente de :
Warning: Resource {0} status is {1},Attention : le statut de la ressource {0} est {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Attention : utilisation de HTTP au lieu de HTTPS. Les données webhook pourraient ne pas être sécurisées.
Watch budget closely,Surveiller le budget de près
We'll respond to:,Nous répondrons à :
Webhook deleted,Webhook supprimé
Webhook name is required,Le nom du webhook est requis
Webhook not found,Webhook non trouvé
Webhook URL is required,L'URL du webhook est requise
Webhook URL must start with http:// or https://,L'URL du webhook doit commencer par http:// ou https://
Wed,Mer
Week,Semaine
Weekend,Week-end
Weekly Capacity,Capacité hebdomadaire
weekly capacity,capacité hebdomadaire
Weekly Capacity (h),Capacité hebdomadaire (h)
Welcome,Bienvenue
Welcome back!,Bon retour !
Welcome to Orga,Bienvenue sur Orga
What are you working on?,Sur quoi travaillez-vous ?
What did you work on?,Sur quoi avez-vous travaillé ?
When,Quand
When work begins,Quand le travail commence
When work is due,Quand le travail est dû
Where,Où
Will capture:,Capturera :
Will create:,Créera :
with checklist items,avec les éléments de la liste de contrôle
Working,En cours
Workload,Charge de travail
Workmanship,Qualité de la main-d'œuvre
Write a comment...,Écrire un commentaire...
Write a comment... Use @name to mention (Ctrl+Enter to send),Écrire un commentaire... Utilisez @nom pour mentionner (Ctrl+Entrée pour envoyer)
Year,Année
Yes,Oui
Yesterday,Hier
yesterday,hier
You are not an attendee of this appointment,Vous n'êtes pas un participant de ce rendez-vous
You are not linked to any resource,Vous n'êtes pas lié à aucune ressource
You are running the latest version of Orga.,Vous utilisez la dernière version d'Orga.
You can only delete your own comments,Vous ne pouvez supprimer que vos propres commentaires
You can only delete your own reactions,Vous ne pouvez supprimer que vos propres réactions
You do not have access to the client portal. Please contact support.,Vous n'avez pas accès au portail client. Veuillez contacter le support.
You have already reacted with '{0}',Vous avez déjà réagi avec « {0} »
