+ Add Milestone,+ Shto pikë referimi
Import failed,Importimi dështoi
Import Template,Importo model
Imported,Importuar
in,në
In Progress,Në progres
In Review,Në rishikim
In-app notifications,Njoftime brenda aplikacionit
Inactive,Joaktiv
Initial Review,Rishikimi fillestar
Installed Version,Installed Version
Insufficient permissions to view all tasks,Leje të pamjaftueshme për të parë të gjitha detyrat
Intermediate,Mesatar
Internal,I brendshëm
Invalid DocType,DocType i pavlefshëm
Invalid DocType for import,DocType i pavlefshëm për importim
Invalid item type: {0},Lloj zëri i pavlefshëm: {0}
Invalid JSON data,Të dhëna JSON të pavlefshme
Invalid note type. Must be one of: {0},Lloj shënimi i pavlefshëm. Duhet të jetë një nga: {0}
Invalid project reference,Referencë projekti e pavlefshme
Invalid reaction type. Must be one of: {0},Lloj reagimi i pavlefshëm. Duhet të jetë një nga: {0}
Invalid RSVP status,Status RSVP i pavlefshëm
Invalid status. Must be one of: {0},Status i pavlefshëm. Duhet të jetë një nga: {0}
Invalid status: {0},Status i pavlefshëm: {0}
Invalid status: {0}. Must be one of: {1},Status i pavlefshëm: {0}. Duhet të jetë një nga: {1}
Invalid tracking context: {0},Kontekst ndjekjeje i pavlefshëm: {0}
Invalid visibility. Must be one of: {0},Dukshmëri e pavlefshme. Duhet të jetë një nga: {0}
Invitation: {0} - {1} at {2},Ftesë: {0} - {1} në {2}
Invite People,Ftoni njerëz
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Zëri u shtua
Item ID is required,ID e zërit është e nevojshme
Item removed,Zëri u hoq
Item type is required,Lloji i zërit është i nevojshëm
Item {0} not found,Zëri {0} nuk u gjet
Job title or role,Titulli i punës ose roli
Join Meeting,Hyni në takim
Just now,Tani
just now,tani
Kanban,Kanban
Kanban Board,Tabela Kanban
Kanban View,Pamja Kanban
Keyboard Shortcuts,Shkurtore tastiere
Keyboard shortcuts (?),Shkurtore tastiere (?)
Last checked: {0},Last checked: {0}
Last Updated,Përditësuar së fundmi
Last updated:,Përditësuar së fundmi:
Last Week,Javën e kaluar
Latest Version,Latest Version
Light,E ndritshme
Link failed,Lidhja dështoi
Link Task,Lidh detyrën
Linked,Lidhur
Linked employee not found,Punonjësi i lidhur nuk u gjet
Linked Tasks,Detyra të lidhura
List,Listë
List View,Pamja listë
Load failed,Ngarkimi dështoi
Load More,Ngarko më shumë
Load more comments,Ngarko më shumë komente
Loading activity...,Duke ngarkuar aktivitetin...
Loading changes...,Duke ngarkuar ndryshimet...
Loading checklist...,Duke ngarkuar listën e kontrollit...
Loading comments...,Duke ngarkuar komentet...
Loading contact...,Duke ngarkuar kontaktin...
Loading contacts...,Duke ngarkuar kontaktet...
Loading dependencies...,Duke ngarkuar varësitë...
Loading details...,Duke ngarkuar detajet...
Loading discussion...,Duke ngarkuar diskutimin...
Loading events...,Duke ngarkuar eventet...
Loading files...,Duke ngarkuar skedarët...
Loading notes...,Duke ngarkuar shënimet...
Loading preferences...,Duke ngarkuar preferencat...
Loading project...,Duke ngarkuar projektin...
Loading projects...,Duke ngarkuar projektet...
Loading replies...,Duke ngarkuar përgjigjet...
Loading report data...,Duke ngarkuar të dhënat e raportit...
Loading settings...,Duke ngarkuar cilësimet...
Loading task...,Duke ngarkuar detyrën...
Loading templates...,Duke ngarkuar modelet...
Loading time logs...,Duke ngarkuar hyrjet e kohës...
Loading your portal...,Duke ngarkuar portalin tuaj...
Loading...,Duke ngarkuar...
Location,Vendndodhja
Log Time,Regjistro kohën
Logout,Dil
Low,E ulët
Make Offer,Bëj ofertë
Manager,Menaxher
Manual Entry,Hyrje manuale
Margin,Marzh
Mark all as read,Shëno të gjitha si të lexuara
Mark all read,Shëno të gjitha si të lexuara
Mark as read,Shëno si të lexuar
Mark as unread,Shëno si të palexuar
Mark read,Shëno si të lexuar
Marking...,Duke shënuar...
Material,Material
Maybe,Ndoshta
Medium,Mesatare
Meeting,Takim
Meeting Link,Lidhja e takimit
Meeting title,Titulli i takimit
Meeting URL,URL e takimit
Meetings,Takime
Mention,Përmendje
Message,Mesazh
Message is required,Mesazhi është i nevojshëm
Message is required for '{0}' action,Mesazhi nevojitet për veprimin '{0}'
Migrate,Migro
Migration Complete,Migrimi përfundoi
Migration ID:,ID migrimi:
Migration log not found: {0},Regjistri i migrimit nuk u gjet: {0}
Milestone,Pikë referimi
milestone,pikë referimi
Milestone created,Pika e referimit u krijua
Milestone description has been saved.,Përshkrimi i pikës së referimit u ruajt.
Milestone ID is required,ID e pikës së referimit është e nevojshme
Milestone marked as Missed (past due date),Pika e referimit u shënua si e humbur (afati ka kaluar)
Milestone moved,Pika e referimit u zhvendos
Milestone Name,Emri i pikës së referimit
Milestone name has been saved.,Emri i pikës së referimit u ruajt.
Milestone name is required,Emri i pikës së referimit është i nevojshëm
Milestone updated,Pika e referimit u përditësua
Milestone {0} not found,Pika e referimit {0} nuk u gjet
Milestone {0} not in project {1},Pika e referimit {0} nuk është në projektin {1}
Milestones,Pika referimi
milestones,pika referimi
Milestones:,Pika referimi:
Minutes,Minuta
Missed,Humbur
Mixed,Përzier
Mobile,Celular
Moderate,Mesatar
Modified,Modifikuar
"Modify details, time, or attendees","Modifiko detajet, kohën ose pjesëmarrësit"
Mon,Hën
Month,Muaj
Move failed,Zhvendosja dështoi
Must be a positive number,Duhet të jetë numër pozitiv
Must finish before this finishes,Duhet të mbarojë para se kjo të mbarojë
Must finish before this starts,Duhet të mbarojë para se kjo të fillojë
Must start before this finishes,Duhet të fillojë para se kjo të mbarojë
Must start before this starts,Duhet të fillojë para se kjo të fillojë
My Assignments,Caktimet e mia
My Projects,Projektet e mia
My Schedule,Plani im
My Tasks,Detyrat e mia
N/A,N/D
Name,Emër
Name (A-Z),Emri (A-Z)
Name (Z-A),Emri (Z-A)
Name cannot exceed 255 characters,Emri nuk mund të kalojë 255 karaktere
Need help?,Keni nevojë për ndihmë?
Needs Attention,Kërkon vëmendje
Never,Never
new activities,aktivitete të reja
New Activity,Aktivitet i ri
New activity,Aktivitet i ri
New Event,Event i ri
New index is required,Indeksi i ri është i nevojshëm
New Project,Projekt i ri
New tasks will auto-trail by default.,Detyrat e reja do të kenë rrëshqitje automatike si parazgjedhje.
Newest First,Më të rejat së pari
Next,Tjetër
Next 14 days,14 ditët e ardhshme
Next 30 days,30 ditët e ardhshme
Next 60 days,60 ditët e ardhshme
Next 7 days,7 ditët e ardhshme
Next 90 days,90 ditët e ardhshme
Next Week,Javën tjetër
Next:,Tjetër:
No,Jo
No active assignments,Asnjë caktim aktiv
No active projects,Asnjë projekt aktiv
No active timer found,Asnjë kronometër aktiv i gjetur
No activity selected,Asnjë aktivitet i zgjedhur
No assignments found,Asnjë caktim i gjetur
No attendees,Pa pjesëmarrës
no change,asnjë ndryshim
No changes for this field.,Asnjë ndryshim për këtë fushë.
No changes recorded for this activity.,Asnjë ndryshim i regjistruar për këtë aktivitet.
No checklist items yet,Asnjë zë në listën e kontrollit ende
No checklist items yet.,Asnjë zë në listën e kontrollit ende.
No comments yet,Asnjë koment ende
No comments yet.,Asnjë koment ende.
No contacts available,Asnjë kontakt i disponueshëm
No content for this tab,Asnjë përmbajtje për këtë skedë
No data available,Asnjë e dhënë e disponueshme
No data available for the selected filters,Asnjë e dhënë e disponueshme për filtrat e zgjedhur
No data to export,Asnjë e dhënë për eksportim
No dates set,Asnjë datë e vendosur
No defects reported,Asnjë defekt i raportuar
No dependencies defined,Asnjë varësi e përcaktuar
No description,Pa përshkrim
No discussion yet.,Asnjë diskutim ende.
No documents attached,Asnjë dokument i bashkëngjitut
No due date,Pa afat
No employee linked to this resource,Asnjë punonjës i lidhur me këtë burim
No ERPNext employee linked to resource,Asnjë punonjës ERPNext i lidhur me burimin
No events found,Asnjë event i gjetur
No files attached yet.,Asnjë skedar i bashkëngjitut ende.
No Frappe Project linked,Asnjë projekt Frappe i lidhur
No Grouping,Pa grupim
No items,Pa zëra
No matching tasks,Asnjë detyrë përputhet
No matching tasks found,Asnjë detyrë përputhet
No migration history,Asnjë historik migrimi
No Milestone,Pa pikë referimi
No milestones,Pa pika referimi
No milestones defined for this project.,Asnjë pikë referimi e përcaktuar për këtë projekt.
No notes yet.,Asnjë shënim ende.
No notes yet. Add a due diligence note to track progress.,Asnjë shënim ende. Shtoni një shënim verifikimi paraprak për të ndjekur progresin.
No notifications,Asnjë njoftim
No Orga Project linked to Frappe Project {0},Asnjë projekt Orga i lidhur me projektin Frappe {0}
No overdue tasks,Asnjë detyrë e vonuar
No pending cascade changes,Asnjë ndryshim kaskadë në pritje
No predecessors - this task can start independently,Pa paraardhës — kjo detyrë mund të fillojë pavarësisht
No project,Pa projekt
No projects found,Asnjë projekt i gjetur
No Projects Yet,Asnjë projekt ende
No recent activity,Asnjë aktivitet i fundit
No related documents,Asnjë dokument i lidhur
No resolved threads.,Asnjë temë e zgjidhur.
No resources found,Asnjë burim i gjetur
No results found,Asnjë rezultat i gjetur
No skills listed,Asnjë aftësi e listuar
No skills recorded yet,Asnjë aftësi e regjistruar ende
No successors - no tasks are waiting for this one,Pa pasardhës — asnjë detyrë nuk pret këtë
No task selected,Asnjë detyrë e zgjedhur
No tasks assigned to you,Asnjë detyrë e caktuar për ju
No tasks available to add,Asnjë detyrë e disponueshme për shtim
No tasks found,Asnjë detyrë e gjetur
No tasks linked to this milestone,Asnjë detyrë e lidhur me këtë pikë referimi
No tasks with dates to display,Asnjë detyrë me data për shfaqje
No tasks yet,Asnjë detyrë ende
No team members,Pa anëtarë ekipi
No template,Pa model
No templates yet,Asnjë model ende
No time data found,Asnjë e dhënë kohe e gjetur
No time logged today,Asnjë kohë e regjistruar sot
No time logged yet,Asnjë kohë e regjistruar ende
No time logs for this period,Asnjë hyrje kohe për këtë periudhë
No time logs found,Asnjë hyrje kohe e gjetur
No unread notifications,Asnjë njoftim i palexuar
No update information available yet.,No update information available yet.
None,Asnjë
Not found,Nuk u gjet
Not permitted,Nuk lejohet
Not permitted to access this project,Nuk lejohet qasja në këtë projekt
Not permitted to access this task,Nuk lejohet qasja në këtë detyrë
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Nuk lejohet komentimi në këtë dokument
Not permitted to create clients,Nuk lejohet krijimi i klientëve
Not permitted to delete this client,Nuk lejohet fshirja e këtij klienti
Not permitted to delete this defect,Nuk lejohet fshirja e këtij defekti
Not permitted to delete this note,Nuk lejohet fshirja e këtij shënimi
Not permitted to delete this project,Nuk lejohet fshirja e këtij projekti
Not permitted to delete this task,Nuk lejohet fshirja e kësaj detyre
Not permitted to delete this time log,Nuk lejohet fshirja e kësaj hyrjeje kohe
Not permitted to invite clients,Nuk lejohet ftimi i klientëve
Not permitted to modify client access,Nuk lejohet modifikimi i aksesit të klientit
Not permitted to modify this project,Nuk lejohet modifikimi i këtij projekti
Not permitted to update settings,Nuk lejohet përditësimi i cilësimeve
Not permitted to update this client,Nuk lejohet përditësimi i këtij klienti
Not permitted to view this client,Nuk lejohet shikimi i këtij klienti
not sent,nuk u dërgua
Not set,E pavendosur
Not specified,E paspecifikuar
Note,Shënim
Note (optional),Shënim (opsional)
Note Content,Përmbajtja e shënimit
Note content is required,Përmbajtja e shënimit është e nevojshme
Note name is required,Emri i shënimit është i nevojshëm
Note not found,Shënimi nuk u gjet
Note Type,Lloji i shënimit
Notes,Shënime
Notification,Njoftim
Notification not found,Njoftimi nuk u gjet
Notifications,Njoftime
Off Track,Jashtë planit
Offer,Ofertë
Offer Prepared,Oferta u përgatit
Oldest First,Më të vjetrat së pari
On Hold,Në pritje
On Leave,Në pushim
On Track,Sipas planit
On-Time Rate,Shkalla e përpikësisë
Only administrators can delete activities,Vetëm administratorët mund të fshijnë aktivitete
Only the comment author or administrators can delete comments,Vetëm autori i komentit ose administratorët mund të fshijnë komente
Only you and admins,Vetëm ju dhe administratorët
Open,Hapur
Open in Desk,Hap në Desk
Open Task Log,Hap regjistrin e detyrës
Open Tasks,Detyra të hapura
Optional,Opsional
optional,opsional
Or email us directly at,Ose na dërgoni email direkt në
Orga Project {0} from Frappe Projects,Projekti Orga {0} nga Frappe Projects
Orga Task {0} from Frappe,Detyra Orga {0} nga Frappe
Organizer,Organizuesi
Other,Tjetër
Over Budget,Mbi buxhet
Overall Progress,Progresi i përgjithshëm
Overall Utilization,Përdorimi i përgjithshëm
Overallocated,Mbi-ndarë
Overdue,Vonuar
overdue,vonuar
Overdue Tasks,Detyra të vonuara
Overview,Pamje e përgjithshme
Owner,Pronari
Page Not Found,Faqja nuk u gjet
Parent,Prind
Parent comment must belong to the same document,Komenti prind duhet t'i përkasë të njëjtit dokument
Parent comment not found,Komenti prind nuk u gjet
Parent project not synced to Frappe yet,Projekti prind nuk është sinkronizuar ende me Frappe
Parent project sync not enabled,Sinkronizimi i projektit prind nuk është aktivizuar
Partner,Partner
Pending,Në pritje
per page,për faqe
Perform initial assessment and background check,Kryeni vlerësimin fillestar dhe kontrollin e sfondit
Permanently remove this event,Hiqni përgjithmonë këtë event
Permanently remove this task,Hiqni përgjithmonë këtë detyrë
Phone,Telefon
Pin,Ngul
Pin Activity,Ngul aktivitetin
Pin to top,Ngul në krye
Pinned,Ngulur
Planned budget for this task,Buxheti i planifikuar për këtë detyrë
Planning,Planifikim
Please describe your question or issue in detail...,Ju lutem përshkruani pyetjen ose problemin tuaj në detaje...
Please login to access Orga,Ju lutem hyni për të aksesuar Orga
Please login to access the client portal,Ju lutem hyni për të aksesuar portalin e klientit
Please respond to this invitation in Orga,Ju lutem përgjigjuni kësaj ftese në Orga
Please select an image file,Ju lutem zgjidhni një skedar imazhi
Please try again,Ju lutem provoni përsëri
Please type,Ju lutem shkruani
Portal,Portal
Portal access revoked for {0},Aksesi në portal u revokua për {0}
Portal user created successfully. Welcome email {0},Përdoruesi i portalit u krijua me sukses. Emaili mirëseardhjes {0}
Post,Publiko
Powered by,Mundësuar nga
Powered by Tonic,Mundësuar nga Tonic
Predecessors (Blocked By),Paraardhësit (bllokuar nga)
Preferences,Preferenca
Preferences saved successfully,Preferencat u ruajtën me sukses
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","Parashtesë për kodet e projekteve të gjeneruara automatikisht (p.sh., ORG-2026-0001)"
Prepare and document offer terms,Përgatitni dhe dokumentoni kushtet e ofertës
Press,Shtypni
Preview,Parashikim
Preview cascade before applying,Parashikoni kaskadën para zbatimit
Previous,Paraardhësi
Priority,Prioritet
Priority assigned to new tasks,Prioriteti i caktuar për detyrat e reja
Priority updated,Prioriteti u përditësua
Proficiency,Zotësi
Profile,Profili
Progress,Progres
Progress (High-Low),Progresi (zbritës)
Progress (Low-High),Progresi (rritës)
Progress Overview,Pamje e përgjithshme e progresit
Progress updated,Progresi u përditësua
Project,Projekt
Project budget has been saved.,Buxheti i projektit u ruajt.
Project code (e.g. ORG-2026-0001),Kodi i projektit (p.sh. ORG-2026-0001)
Project Code Prefix,Parashtesa e kodit të projektit
Project created,Projekti u krijua
Project deleted,Projekti u fshi
Project description has been saved.,Përshkrimi i projektit u ruajt.
Project Details,Detaje projekti
Project end date has been saved.,Data e mbarimit të projektit u ruajt.
Project Files,Skedarë projekti
Project has no linked client,Projekti nuk ka klient të lidhur
Project Health,Shëndeti i projektit
Project Info,Informacione projekti
Project is required,Projekti është i nevojshëm
Project is required for project context,Projekti nevojitet për kontekstin e projektit
Project is required when tracking context is 'project',Projekti nevojitet kur konteksti i ndjekjes është 'projekt'
Project Manager,Menaxheri i projektit
Project Name,Emri i projektit
Project name and template name are required,Emri i projektit dhe emri i modelit janë të nevojshëm
Project name is required,Emri i projektit është i nevojshëm
Project not found,Projekti nuk u gjet
Project not found or you do not have access,Projekti nuk u gjet ose nuk keni akses
Project settings,Cilësimet e projektit
Project start date has been saved.,Data e fillimit të projektit u ruajt.
Project title has been saved.,Titulli i projektit u ruajt.
Project Type,Lloji i projektit
Project updated,Projekti u përditësua
Project {0} linked to client {1},Projekti {0} u lidh me klientin {1}
Project {0} not found,Projekti {0} nuk u gjet
Project {0} to Frappe Projects,Projekti {0} drejt Frappe Projects
Project:,Projekti:
Projects,Projekte
projects,projekte
Projects created:,Projekte të krijuara:
Projects Overview,Pamje e përgjithshme e projekteve
Projects skipped:,Projekte të kapërcyera:
Projects updated:,Projekte të përditësuara:
Promote failed,Ngritja dështoi
Promote to task,Ngrit në detyrë
Promoted to task,U ngrit në detyrë
Propose,Propozo
Propose New Time,Propozo orar të ri
Propose Time,Propozo orar
Proposed End,Mbarimi i propozuar
Proposed Start,Fillimi i propozuar
Public,Publik
Quick Action,Veprim i shpejtë
Quick Actions,Veprime të shpejta
Quick Stats,Statistika të shpejta
Rates,Tarifa
Receive notifications via email,Merrni njoftimet nëpërmjet emailit
Receive notifications within the application,Merrni njoftimet brenda aplikacionit
Recent Activity,Aktiviteti i fundit
Recipient {0} is not a valid user,Marrësi {0} nuk është përdorues i vlefshëm
Reference,Referencë
Refresh,Rifresko
Related,I lidhur
Related Company (optional),Kompania e lidhur (opsional)
Related Documents,Dokumente të lidhura
Related Project,Projekti i lidhur
Remaining,Mbetur
Reminder,Kujtesë
Reminder Lead Time,Koha e kujtesës
Reminder: {0} - {1} at {2},Kujtesë: {0} - {1} në {2}
Remove,Hiq
Remove dependency,Hiq varësinë
Remove dependency on,Hiq varësinë mbi
Remove from group,Hiq nga grupi
Remove group dependency,Hiq varësinë grupit
Remove skill,Hiq aftësinë
Reopen,Rihap
Reopen thread,Rihap temën
reopened,rihapur
replies,përgjigje
Reply,Përgjigju
reply,përgjigje
Replying to,Duke iu përgjigjur
Replying to comment,Duke iu përgjigjur komentit
Report Defect,Raporto defekt
Reported Date,Data e raportimit
Reports,Raporte
Reports To,Raporton te
Request Submitted!,Kërkesa u dërgua!
Required,I nevojshëm
required,i nevojshëm
Research,Kërkime
Reset to Defaults,Rivendos vlerat fillestare
Resolve,Zgjidh
Resolve thread,Zgjidh temën
Resolved,Zgjidhur
Resolved date cannot be before reported date,Data e zgjidhjes nuk mund të jetë përpara datës së raportimit
Resource,Burim
Resource and skill name are required,Burimi dhe emri i aftësisë janë të nevojshëm
Resource is already an attendee,Burimi është tashmë pjesëmarrës
Resource name is required,Emri i burimit është i nevojshëm
Resource not found,Burimi nuk u gjet
Resource synced from employee {0},Burimi u sinkronizua nga punonjësi {0}
Resource {0} is already assigned to this task ({1}),Burimi {0} është tashmë i caktuar për këtë detyrë ({1})
Resource {0} not found,Burimi {0} nuk u gjet
Resources,Burime
Retry,Riprovo
Review,Rishikim
Review all relevant documents and contracts,Rishikoni të gjitha dokumentet dhe kontratat përkatëse
Reviews,Rishikime
Risk Assessment,Vlerësimi i rrezikut
Rollback,Kthe mbrapa
Rolled back,U kthye mbrapa
Room or address,Salla ose adresa
RSVP,RSVP
Safety,Siguri
Sat,Sht
Save,Ruaj
"Save a project as a template, or import one from a JSON file.","Ruani një projekt si model, ose importoni një nga skedari JSON."
Save as Template,Ruaj si model
Save Changes,Ruaj ndryshimet
Save failed,Ruajtja dështoi
Save Preferences,Ruaj preferencat
Save Template,Ruaj modelin
Saving...,Duke ruajtur...
Schedule,Plan
Schedule type is required for scheduled triggers,Lloji i planit nevojitet për nisësit e planifikuar
Scheduled,Planifikuar
Search,Kërko
"Search by name, email, or skill...","Kërkoni sipas emrit, emailit ose aftësisë..."
Search for a project...,Kërkoni një projekt...
Search for a task...,Kërkoni një detyrë...
Search for an event...,Kërkoni një event...
Search for people to invite...,Kërkoni njerëz për të ftuar...
Search tasks to link...,Kërkoni detyra për të lidhur...
Search tasks...,Kërkoni detyra...
Search...,Kërko...
Searching...,Duke kërkuar...
Seen,Parë
Select a project if your request is related to a specific project.,Zgjidhni një projekt nëse kërkesa juaj lidhet me një projekt specifik.
Select a project...,Zgjidhni një projekt...
Select a task from the Gantt chart to view and manage its details.,Zgjidhni një detyrë nga grafiku Gantt për të parë dhe menaxhuar detajet e saj.
Select a task from the list or Kanban board to view and manage its details.,Zgjidhni një detyrë nga lista ose tabela Kanban për të parë dhe menaxhuar detajet e saj.
Select a template...,Zgjidhni një model...
Select priority...,Zgjidhni prioritetin...
Select status...,Zgjidhni statusin...
Select task...,Zgjidhni detyrën...
Select type...,Zgjidhni llojin...
Selection,Zgjedhje
Send,Dërgo
Send comment,Dërgo komentin
Send email invitations to attendees,Dërgo ftesa me email pjesëmarrësve
Send Invitations,Dërgo ftesat
Send notification when a task is assigned to a user,Dërgo njoftim kur një detyrë i caktohet një përdoruesi
Send notification when task status changes,Dërgo njoftim kur ndryshon statusi i detyrës
Send reminder before task due date,Dërgo kujtesë para afatit të detyrës
sent,dërguar
Set rate,Vendos tarifën
Settings,Cilësime
Settings saved successfully,Cilësimet u ruajtën me sukses
Severity,Ashpërsi
SF (Start-Finish),SF (Fillim-Fund)
SF - Start-to-Finish,SF - Fillim-në-Fund
Show,Shfaq
Show all,Shfaq të gjitha
Show all changes,Shfaq të gjitha ndryshimet
Show Archived,Shfaq të arkivuarat
Show full diff,Shfaq ndryshimin e plotë
Show less,Shfaq më pak
Show more,Shfaq më shumë
Skill added,Aftësia u shtua
Skill is required,Aftësia është e nevojshme
Skill Name,Emri i aftësisë
Skill removed,Aftësia u hoq
Skill {0} already exists for this resource,Aftësia {0} ekziston tashmë për këtë burim
Skills,Aftësi
Skills & Competencies,Aftësi dhe kompetenca
Skip already migrated projects,Kapërce projektet tashmë të migruara
Sort by,Rendit sipas
Sort: Due Date,Renditje: Afati
Sort: Priority,Renditje: Prioriteti
Sort: Project,Renditje: Projekti
Sort: Status,Renditje: Statusi
Sort: Task,Renditje: Detyra
Source Code,Kodi burimor
Spent,Shpenzuar
Spent:,Shpenzuar:
SS (Start-Start),SS (Fillim-Fillim)
SS - Start-to-Start,SS - Fillim-në-Fillim
Standalone,I pavarur
Start,Fillim
Start a discussion below,Filloni një diskutim më poshtë
Start Date,Data e fillimit
Start date,Data e fillimit
Start Date (Earliest),Data e fillimit (më e hershme)
Start date updated,Data e fillimit u përditësua
Start date/time is required,Data/ora e fillimit është e nevojshme
Start Migration,Fillo migrimin
Start the conversation below.,Filloni bisedën më poshtë.
Start Timer,Fillo kronometrin
Start typing to search...,Filloni të shkruani për të kërkuar...
Start-to-Finish,Fillim-në-Fund
Start-to-Start,Fillim-në-Fillim
Start:,Fillimi:
Statistics reset,Statistikat u rivendosën
Status,Status
Status assigned to new projects,Statusi i caktuar për projektet e reja
Status assigned to new tasks,Statusi i caktuar për detyrat e reja
Status Changes,Ndryshime statusi
Status updated,Statusi u përditësua
Status:,Statusi:
Stop,Ndalo
Stop & Save,Ndalo dhe ruaj
Stop Timer,Ndalo kronometrin
Stops current timer and starts for this event,Ndalon kronometrin aktual dhe fillon për këtë event
Stops current timer and starts for this task,Ndalon kronometrin aktual dhe fillon për këtë detyrë
Subject,Tema
Subject cannot exceed 255 characters,Tema nuk mund të kalojë 255 karaktere
Subject is required,Tema është e nevojshme
Submit,Dorëzo
Submit Another Request,Dorëzoni një kërkesë tjetër
Submit Request,Dorëzo kërkesën
Submitting...,Duke dërguar...
Successfully saved,U ruajt me sukses
Successors (Blocking),Pasardhësit (bllokues)
Sun,Diel
Supplier,Furnizues
Support,Mbështetje
Switch to this event,Kalo te ky event
Switch to this task,Kalo te kjo detyrë
Sync direction is set to Frappe to Orga only,Drejtimi i sinkronizimit është vendosur vetëm nga Frappe në Orga
Sync direction is set to Orga to Frappe only,Drejtimi i sinkronizimit është vendosur vetëm nga Orga në Frappe
Sync not enabled for this project,Sinkronizimi nuk është aktivizuar për këtë projekt
System,Sistem
Table,Tabelë
Take ownership of this task,Merr pronësinë e kësaj detyre
Target Date,Data e synuar
Target End,Mbarimi i synuar
Target Project,Projekti i synuar
Target user is required for '{0}' action,Përdoruesi i synuar nevojitet për veprimin '{0}'
Task,Detyrë
task,detyrë
Task '{0}' is due on {1}.,Detyra '{0}' ka afat më {1}.
Task and resource are required,Detyra dhe burimi janë të nevojshëm
Task Assignment,Caktim detyre
Task cannot be its own parent,Detyra nuk mund të jetë prindi i vetvetes
Task cannot depend on itself,Detyra nuk mund të varet nga vetja
Task cannot depend on the group it belongs to,Detyra nuk mund të varet nga grupi ku bën pjesë
Task created,Detyra u krijua
Task deleted,Detyra u fshi
Task description has been saved.,Përshkrimi i detyrës u ruajt.
Task Details,Detaje detyre
Task due in {0} days: {1},Detyra ka afat pas {0} ditësh: {1}
Task due today: {0},Detyrë me afat sot: {0}
Task due tomorrow: {0},Detyrë me afat nesër: {0}
Task duplicated,Detyra u kopjua
Task Group,Grup detyrash
Task ID is required,ID e detyrës është e nevojshme
Task is blocked by incomplete dependencies,Detyra është bllokuar nga varësi të papërfunduara
Task is cancelled,Detyra është anuluar
Task is completed,Detyra është përfunduar
Task is no longer blocked by a group,Detyra nuk është më e bllokuar nga një grup
Task is required for task context,Detyra nevojitet për kontekstin e detyrës
Task is required when tracking context is 'task',Detyra nevojitet kur konteksti i ndjekjes është 'detyrë'
Task linked,Detyra u lidh
Task moved,Detyra u zhvendos
Task name,Emri i detyrës
Task name is required,Emri i detyrës është i nevojshëm
Task removed from group,Detyra u hoq nga grupi
Task Subject,Tema e detyrës
Task subject is required,Tema e detyrës është e nevojshme
Task Type,Lloji i detyrës
Task unblocked: {0},Detyra u zhbllokua: {0}
Task unlinked,Detyra u shkëput
Task updated,Detyra u përditësua
Task {0} not found,Detyra {0} nuk u gjet
Task {0} not in project {1},Detyra {0} nuk është në projektin {1}
Task {0} to Frappe,Detyra {0} drejt Frappe
Tasks,Detyra
tasks,detyra
Tasks and milestones will be created with dates relative to the project start date.,Detyrat dhe pikat e referimit do të krijohen me data relative ndaj datës së fillimit të projektit.
Tasks assigned to you across all projects.,Detyra të caktuara për ju në të gjitha projektet.
Tasks created:,Detyra të krijuara:
Tasks from projects you manage.,Detyra nga projektet që menaxhoni.
Tasks updated:,Detyra të përditësuara:
"Tasks, milestones, and dependencies have been created.","Detyrat, pikat e referimit dhe varësitë u krijuan."
Tasks:,Detyra:
TBD,Për t'u përcaktuar
Team,Ekip
Team Members,Anëtarë ekipi
Template,Model
Template applied,Modeli u zbatua
Template data is required in import data,Të dhënat e modelit nevojiten në të dhënat e importuara
Template has no data,Modeli nuk ka të dhëna
Template Name,Emri i modelit
Template name,Emri i modelit
Template name is required,Emri i modelit është i nevojshëm
Template name is required in import data,Emri i modelit nevojitet në të dhënat e importuara
Template saved,Modeli u ruajt
Template updated successfully.,Modeli u përditësua me sukses.
Template {0} not found,Modeli {0} nuk u gjet
Templates,Modele
Tentative,Paraprak
The comment has been deleted,Komenti u fshi
The project,Projekti
The source document may have been deleted.,Dokumenti burimor mund të jetë fshirë.
The source document will not be affected.,Dokumenti burimor nuk do të preket.
The status of '{0}' was changed from {1} to {2}.,Statusi i '{0}' u ndryshua nga {1} në {2}.
Theme,Temë
Theme preference,Preferenca e temës
This action,Ky veprim
This action cannot be undone.,Ky veprim nuk mund të zhbëhet.
This activity has been flagged for attention,Ky aktivitet është sinjaluar për vëmendje
This is a reminder for your upcoming appointment,Ky është një kujtesë për takimin tuaj të ardhshëm
This method is only meant for developer mode,Kjo metodë është vetëm për mënyrën e zhvilluesit
This page wandered off,This page wandered off
This Week,Këtë javë
This will delete all notes and preferences associated with this activity.,Kjo do të fshijë të gjitha shënimet dhe preferencat e lidhura me këtë aktivitet.
This will import all Frappe Projects into Orga. Continue?,Kjo do të importojë të gjitha projektet Frappe në Orga. Vazhdoni?
This will permanently delete,Kjo do të fshijë përgjithmonë
This will permanently delete:,Kjo do të fshijë përgjithmonë:
Thu,Enj
Time,Kohë
Time & Billing,Kohë dhe faturim
