+ Add Milestone,+ Додај прекретницу
Milestone ID is required,Идентификатор прекретнице је обавезан
Milestone marked as Missed (past due date),Прекретница означена као пропуштена (рок истекао)
Milestone moved,Прекретница премештена
Milestone Name,Назив прекретнице
Milestone name has been saved.,Назив прекретнице сачуван.
Milestone name is required,Назив прекретнице је обавезан
Milestone updated,Прекретница ажурирана
Milestone {0} not found,Прекретница {0} није пронађена
Milestone {0} not in project {1},Прекретница {0} није у пројекту {1}
Milestones,Прекретнице
milestones,прекретнице
Milestones:,Прекретнице:
Minutes,Минута
Missed,Пропуштено
Mixed,Мешовит
Mobile,Мобилни
Moderate,Умерен
Modified,Измењено
"Modify details, time, or attendees","Izmijeni detalje, vrijeme ili učesnike"
Mon,Пон
Month,Месец
Move failed,Премештање није успело
Must be a positive number,Мора бити позитиван број
Must finish before this finishes,Мора се завршити пре завршетка овог
Must finish before this starts,Мора се завршити пре почетка овог
Must start before this finishes,Мора почети пре завршетка овог
Must start before this starts,Мора почети пре почетка овог
My Assignments,Моја задужења
My Projects,Моји пројекти
My Schedule,Мој распоред
My Tasks,Моји задаци
N/A,Н/П
Name,Назив
Name (A-Z),Назив (А-Ш)
Name (Z-A),Назив (Ш-А)
Name cannot exceed 255 characters,Назив не може имати више од 255 карактера
Need help?,Треба вам помоћ?
Needs Attention,Захтева пажњу
Never,Never
new activities,нове активности
New Activity,Нова активност
New activity,Нова активност
New Event,Нови догађај
New index is required,Потребан је нови индекс
New Project,Нови пројекат
New tasks will auto-trail by default.,Нови задаци ће подразумевано имати аутоматско клизање.
Newest First,Најновије прво
Next,Даље
Next 14 days,Наредних 14 дана
Next 30 days,Наредних 30 дана
Next 60 days,Наредних 60 дана
Next 7 days,Наредних 7 дана
Next 90 days,Наредних 90 дана
Next Week,Следећа недеља
Next:,Даље:
No,Не
No active assignments,Нема активних задужења
No active projects,Нема активних пројеката
No active timer found,Активни тајмер није пронађен
No activity selected,Активност није изабрана
No assignments found,Задужења нису пронађена
No attendees,Нема учесника
no change,без измена
No changes for this field.,Нема измена за ово поље.
No changes recorded for this activity.,За ову активност измене нису забележене.
No checklist items yet,Ставки на листи још нема
No checklist items yet.,Ставки на листи још нема.
No comments yet,Коментара још нема
No comments yet.,Коментара још нема.
No contacts available,Нема доступних контаката
No content for this tab,Нема садржаја за ову картицу
No data available,Нема доступних података
No data available for the selected filters,Нема података за изабране филтере
No data to export,Нема података за извоз
No dates set,Датуми нису постављени
No defects reported,Дефекти нису пријављени
No dependencies defined,Зависности нису дефинисане
No description,Нема описа
No discussion yet.,Дискусија још нема.
No documents attached,Документи нису приложени
No due date,Нема рока извршења
No employee linked to this resource,Ниједан запослени није повезан са овим ресурсом
No ERPNext employee linked to resource,Ниједан ERPNext запослени није повезан са ресурсом
No events found,Догађаји нису пронађени
No files attached yet.,Фајлови још нису приложени.
No Frappe Project linked,Frappe пројекат није повезан
No Grouping,Без груписања
No items,Нема ставки
No matching tasks,Нема одговарајућих задатака
No matching tasks found,Одговарајући задаци нису пронађени
No migration history,Нема историје преноса
No Milestone,Без прекретнице
No milestones,Нема прекретница
No milestones defined for this project.,За овај пројекат прекретнице нису дефинисане.
No notes yet.,Белешки још нема.
No notes yet. Add a due diligence note to track progress.,Белешки још нема. Додајте белешку провере за праћење напретка.
No notifications,Нема обавештења
No Orga Project linked to Frappe Project {0},Orga пројекат није повезан са Frappe пројектом {0}
No overdue tasks,Нема задатака у кашњењу
No pending cascade changes,Нема каскадних измена на чекању
No predecessors - this task can start independently,Нема претходника — овај задатак може почети самостално
No project,Нема пројекта
No projects found,Пројекти нису пронађени
No Projects Yet,Још нема пројеката
No recent activity,Нема недавне активности
No related documents,Нема повезаних докумената
No resolved threads.,Нема завршених дискусија.
No resources found,Ресурси нису пронађени
No results found,Резултати нису пронађени
No skills listed,Вештине нису наведене
No skills recorded yet,Вештине још нису забележене
No successors - no tasks are waiting for this one,Нема следбеника — ниједан задатак не чека овај
No task selected,Задатак није изабран
No tasks assigned to you,Немате задужених задатака
No tasks available to add,Нема задатака за додавање
No tasks found,Задаци нису пронађени
No tasks linked to this milestone,Ниједан задатак није повезан са овом прекретницом
No tasks with dates to display,Нема задатака са датумима за приказ
No tasks yet,Задатака још нема
No team members,Нема чланова тима
No template,Нема шаблона
No templates yet,Шаблона још нема
No time data found,Подаци о времену нису пронађени
No time logged today,Данас време није забележено
No time logged yet,Време још није забележено
No time logs for this period,Нема записа времена за овај период
No time logs found,Записи времена нису пронађени
No unread notifications,Нема непрочитаних обавештења
No update information available yet.,No update information available yet.
None,Нема
Not found,Није пронађено
Not permitted,Приступ забрањен
Not permitted to access this project,Немате приступ овом пројекту
Not permitted to access this task,Немате приступ овом задатку
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Немате дозволу да коментаришете овај документ
Not permitted to create clients,Немате дозволу да правите клијенте
Not permitted to delete this client,Немате дозволу да обришете овог клијента
Not permitted to delete this defect,Немате дозволу да обришете овај дефект
Not permitted to delete this note,Немате дозволу да обришете ову белешку
Not permitted to delete this project,Немате дозволу да обришете овај пројекат
Not permitted to delete this task,Немате дозволу да обришете овај задатак
Not permitted to delete this time log,Немате дозволу да обришете овај запис времена
Not permitted to invite clients,Немате дозволу да позивате клијенте
Not permitted to modify client access,Немате дозволу да мењате приступ клијента
Not permitted to modify this project,Немате дозволу да мењате овај пројекат
Not permitted to update settings,Немате дозволу да мењате подешавања
Not permitted to update this client,Немате дозволу да мењате овог клијента
Not permitted to view this client,Немате дозволу да прегледате овог клијента
not sent,није послато
Not set,Није постављено
Not specified,Није наведено
Note,Белешка
Note (optional),Белешка (необавезно)
Note Content,Садржај белешке
Note content is required,Садржај белешке је обавезан
Note name is required,Назив белешке је обавезан
Note not found,Белешка није пронађена
Note Type,Тип белешке
Notes,Белешке
Notification,Обавештење
Notification not found,Обавештење није пронађено
Notifications,Обавештења
Off Track,Није по плану
Offer,Понуда
Offer Prepared,Понуда припремљена
Oldest First,Најстарије прво
On Hold,На чекању
On Leave,На одсуству
On Track,По плану
On-Time Rate,Удео на време
Only administrators can delete activities,Само администратори могу брисати активности
Only the comment author or administrators can delete comments,Само аутор коментара или администратори могу брисати коментаре
Only you and admins,Само ви и администратори
Open,Отворено
Open in Desk,Отвори у Desk
Open Task Log,Отвори записник задатка
Open Tasks,Отворени задаци
Optional,Необавезно
optional,необавезно
Or email us directly at,Или нам пишите директно на
Orga Project {0} from Frappe Projects,Orga пројекат {0} из Frappe Projects
Orga Task {0} from Frappe,Orga задатак {0} из Frappe
Organizer,Организатор
Other,Друго
Over Budget,Прекорачење буџета
Overall Progress,Укупни напредак
Overall Utilization,Укупна искоришћеност
Overallocated,Преоптерећен
Overdue,У кашњењу
overdue,у кашњењу
Overdue Tasks,Задаци у кашњењу
Overview,Преглед
Owner,Власник
Page Not Found,Страница није пронађена
Parent,Родитељ
Parent comment must belong to the same document,Родитељски коментар мора припадати истом документу
Parent comment not found,Родитељски коментар није пронађен
Parent project not synced to Frappe yet,Родитељски пројекат још није синхронизован са Frappe
Parent project sync not enabled,Синхронизација родитељског пројекта није укључена
Partner,Партнер
Pending,На чекању
per page,по страници
Perform initial assessment and background check,Извршити почетну процену и проверу
Permanently remove this event,Трајно обриши овај догађај
Permanently remove this task,Трајно обриши овај задатак
Phone,Телефон
Pin,Закачи
Pin Activity,Закачи активност
Pin to top,Закачи на врх
Pinned,Закачено
Planned budget for this task,Планирани буџет за овај задатак
Planning,Планирање
Please describe your question or issue in detail...,Детаљно опишите ваше питање или проблем...
Please login to access Orga,Молимо пријавите се за приступ апликацији Orga
Please login to access the client portal,Молимо пријавите се за приступ клијентском порталу
Please respond to this invitation in Orga,Молимо одговорите на овај позив у апликацији Orga
Please select an image file,Молимо изаберите фајл слике
Please try again,Молимо покушајте поново
Please type,Молимо унесите
Portal,Портал
Portal access revoked for {0},Приступ порталу опозван за {0}
Portal user created successfully. Welcome email {0},Корисник портала успешно направљен. Е-порука добродошлице {0}
Post,Објави
Powered by,Покреће
Powered by Tonic,Покреће Tonic
Predecessors (Blocked By),Претходници (блокирано)
Preferences,Подешавања
Preferences saved successfully,Подешавања успешно сачувана
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Префикс за аутоматске кодове пројеката (нпр. ORG-2026-0001)
Prepare and document offer terms,Припреми и забележи услове понуде
Press,Притисните
Preview,Преглед
Preview cascade before applying,Прегледај каскад пре примене
Previous,Назад
Priority,Приоритет
Priority assigned to new tasks,Приоритет за нове задатке
Priority updated,Приоритет ажуриран
Proficiency,Ниво знања
Profile,Профил
Progress,Напредак
Progress (High-Low),Напредак (опадајуће)
Progress (Low-High),Напредак (растуће)
Progress Overview,Преглед напретка
Progress updated,Напредак ажуриран
Project,Пројекат
Project budget has been saved.,Буџет пројекта сачуван.
Project code (e.g. ORG-2026-0001),Код пројекта (нпр. ORG-2026-0001)
Project Code Prefix,Префикс кода пројекта
Project created,Пројекат направљен
Project deleted,Пројекат обрисан
Project description has been saved.,Опис пројекта сачуван.
Project Details,Детаљи пројекта
Project end date has been saved.,Датум завршетка пројекта сачуван.
Project Files,Фајлови пројекта
Project has no linked client,Пројекат нема повезаног клијента
Project Health,Стање пројекта
Project Info,Подаци о пројекту
Project is required,Пројекат је обавезан
Project is required for project context,Пројекат је обавезан за контекст пројекта
Project is required when tracking context is 'project',Пројекат је обавезан када је контекст праћења «пројекат»
Project Manager,Руководилац пројекта
Project Name,Назив пројекта
Project name and template name are required,Назив пројекта и назив шаблона су обавезни
Project name is required,Назив пројекта је обавезан
Project not found,Пројекат није пронађен
Project not found or you do not have access,Пројекат није пронађен или немате приступ
Project settings,Подешавања пројекта
Project start date has been saved.,Датум почетка пројекта сачуван.
Project title has been saved.,Наслов пројекта сачуван.
Project Type,Тип пројекта
Project updated,Пројекат ажуриран
Project {0} linked to client {1},Пројекат {0} повезан са клијентом {1}
Project {0} not found,Пројекат {0} није пронађен
Project {0} to Frappe Projects,Пројекат {0} у Frappe Projects
Project:,Пројекат:
Projects,Пројекти
projects,пројекти
Projects created:,Пројеката направљено:
Projects Overview,Преглед пројеката
Projects skipped:,Пројеката прескочено:
Projects updated:,Пројеката ажурирано:
Promote failed,Претварање није успело
Promote to task,Претвори у задатак
Promoted to task,Претворено у задатак
Propose,Предложи
Propose New Time,Предложи ново време
Propose Time,Предложи време
Proposed End,Предложени завршетак
Proposed Start,Предложени почетак
Public,Јавно
Quick Action,Брза радња
Quick Actions,Брзе радње
Quick Stats,Брза статистика
Rates,Стопе
Receive notifications via email,Примај обавештења е-поштом
Receive notifications within the application,Примај обавештења у апликацији
Recent Activity,Недавна активност
Recipient {0} is not a valid user,Прималац {0} није важећи корисник
Reference,Референца
Refresh,Освежи
Related,Повезано
Related Company (optional),Повезана компанија (необавезно)
Related Documents,Повезани документи
Related Project,Повезани пројекат
Remaining,Преостало
Reminder,Подсетник
Reminder Lead Time,Време до подсетника
Reminder: {0} - {1} at {2},Подсетник: {0} — {1} у {2}
Remove,Уклони
Remove dependency,Уклони зависност
Remove dependency on,Уклони зависност од
Remove from group,Уклони из групе
Remove group dependency,Уклони групну зависност
Remove skill,Уклони вештину
Reopen,Поново отвори
Reopen thread,Поново отвори дискусију
reopened,поново отворено
replies,одговори
Reply,Одговори
reply,одговор
Replying to,У одговору на
Replying to comment,У одговору на коментар
Report Defect,Пријави дефект
Reported Date,Датум пријаве
Reports,Извештаји
Reports To,Подређен
Request Submitted!,Захтев послат!
Required,Обавезно
required,обавезно
Research,Истраживање
Reset to Defaults,Врати на подразумевано
Resolve,Реши
Resolve thread,Заврши дискусију
Resolved,Решено
Resolved date cannot be before reported date,Датум решења не може бити пре датума пријаве
Resource,Ресурс
Resource and skill name are required,Ресурс и назив вештине су обавезни
Resource is already an attendee,Ресурс је већ учесник
Resource name is required,Назив ресурса је обавезан
Resource not found,Ресурс није пронађен
Resource synced from employee {0},Ресурс синхронизован из запосленог {0}
Resource {0} is already assigned to this task ({1}),Ресурс {0} је већ задужен за овај задатак ({1})
Resource {0} not found,Ресурс {0} није пронађен
Resources,Контакти
Retry,Покушај поново
Review,Преглед
Review all relevant documents and contracts,Прегледајте све релевантне документе и уговоре
Reviews,Прегледи
Risk Assessment,Процена ризика
Rollback,Поништи
Rolled back,Поништено
Room or address,Просторија или адреса
RSVP,RSVP
Safety,Безбедност
Sat,Суб
Save,Сачувај
"Save a project as a template, or import one from a JSON file.",Сачувајте пројекат као шаблон или увезите из JSON фајла.
Save as Template,Сачувај као шаблон
Save Changes,Сачувај измене
Save failed,Чување није успело
Save Preferences,Сачувај подешавања
Save Template,Сачувај шаблон
Saving...,Чување...
Schedule,Распоред
Schedule type is required for scheduled triggers,Тип распореда је обавезан за заказане покретаче
Scheduled,Заказано
Search,Претрага
"Search by name, email, or skill...","Претрага по имену, е-пошти или вештини..."
Search for a project...,Пронађи пројекат...
Search for a task...,Пронађи задатак...
Search for an event...,Пронађи догађај...
Search for people to invite...,Пронађи особе за позивање...
Search tasks to link...,Пронађи задатке за повезивање...
Search tasks...,Претрага задатака...
Search...,Претрага...
Searching...,Претрага...
Seen,Виђено
Select a project if your request is related to a specific project.,Изаберите пројекат ако је ваш захтев везан за одређени пројекат.
Select a project...,Изаберите пројекат...
Select a task from the Gantt chart to view and manage its details.,Изаберите задатак на Gantt дијаграму за преглед и управљање његовим детаљима.
Select a task from the list or Kanban board to view and manage its details.,Изаберите задатак са листе или Kanban табле за преглед и управљање његовим детаљима.
Select a template...,Изаберите шаблон...
Select priority...,Изаберите приоритет...
Select status...,Изаберите статус...
Select task...,Изаберите задатак...
Select type...,Изаберите тип...
Selection,Избор
Send,Пошаљи
Send comment,Пошаљи коментар
Send email invitations to attendees,Пошаљи позиве е-поштом учесницима
Send Invitations,Пошаљи позиве
Send notification when a task is assigned to a user,Пошаљи обавештење када се задатак додели кориснику
Send notification when task status changes,Пошаљи обавештење при промени статуса задатка
Send reminder before task due date,Пошаљи подсетник пре рока задатка
sent,послато
Set rate,Постави стопу
Settings,Подешавања
Settings saved successfully,Подешавања успешно сачувана
Severity,Озбиљност
SF (Start-Finish),SF (Почетак-Крај)
SF - Start-to-Finish,SF — Почетак-Крај
Show,Прикажи
Show all,Прикажи све
Show all changes,Прикажи све измене
Show Archived,Прикажи архивиране
Show full diff,Прикажи потпуне разлике
Show less,Прикажи мање
Show more,Прикажи више
Skill added,Вештина додата
Skill is required,Вештина је обавезна
Skill Name,Назив вештине
Skill removed,Вештина уклоњена
Skill {0} already exists for this resource,Вештина {0} већ постоји за овај ресурс
Skills,Вештине
Skills & Competencies,Вештине и компетенције
Skip already migrated projects,Прескочи већ пренесене пројекте
Sort by,Сортирај по
Sort: Due Date,Сортирање: рок извршења
Sort: Priority,Сортирање: приоритет
Sort: Project,Сортирање: пројекат
Sort: Status,Сортирање: статус
Sort: Task,Сортирање: задатак
Source Code,Изворни код
Spent,Потрошено
Spent:,Потрошено:
SS (Start-Start),SS (Почетак-Почетак)
SS - Start-to-Start,SS — Почетак-Почетак
Standalone,Самосталан
Start,Почетак
Start a discussion below,Почните дискусију испод
Start Date,Датум почетка
Start date,Датум почетка
Start Date (Earliest),Датум почетка (најранији)
Start date updated,Датум почетка ажуриран
Start date/time is required,Датум/време почетка је обавезно
Start Migration,Покрени пренос
Start the conversation below.,Почните разговор испод.
Start Timer,Покрени тајмер
Start typing to search...,Почните да куцате за претрагу...
Start-to-Finish,Почетак-Крај
Start-to-Start,Почетак-Почетак
Start:,Почетак:
Statistics reset,Статистика ресетована
Status,Статус
Status assigned to new projects,Статус за нове пројекте
Status assigned to new tasks,Статус за нове задатке
Status Changes,Промене статуса
Status updated,Статус ажуриран
Status:,Статус:
Stop,Заустави
Stop & Save,Заустави и сачувај
Stop Timer,Заустави тајмер
Stops current timer and starts for this event,Зауставља тренутни тајмер и покреће за овај догађај
Stops current timer and starts for this task,Зауставља тренутни тајмер и покреће за овај задатак
Subject,Тема
Subject cannot exceed 255 characters,Тема не може имати више од 255 карактера
Subject is required,Тема је обавезна
Submit,Пошаљи
Submit Another Request,Пошаљи још један захтев
Submit Request,Пошаљи захтев
Submitting...,Слање...
Successfully saved,Успешно сачувано
Successors (Blocking),Следбеници (блокира)
Sun,Нед
Supplier,Добављач
Support,Подршка
Switch to this event,Пређи на овај догађај
Switch to this task,Пређи на овај задатак
Sync direction is set to Frappe to Orga only,Смер синхронизације: само из Frappe у Orga
Sync direction is set to Orga to Frappe only,Смер синхронизације: само из Orga у Frappe
Sync not enabled for this project,Синхронизација за овај пројекат није укључена
System,Систем
Table,Табела
Take ownership of this task,Преузми овај задатак
Target Date,Циљни датум
Target End,Циљни завршетак
Target Project,Циљни пројекат
Target user is required for '{0}' action,Циљни корисник је обавезан за радњу «{0}»
Task,Задатак
task,задатак
Task '{0}' is due on {1}.,Рок задатка «{0}» је {1}.
Task and resource are required,Задатак и ресурс су обавезни
Task Assignment,Задужење задатка
Task cannot be its own parent,Задатак не може бити свој родитељ
Task cannot depend on itself,Задатак не може зависити од самог себе
Task cannot depend on the group it belongs to,Задатак не може зависити од групе којој припада
Task created,Задатак направљен
Task deleted,Задатак обрисан
Task description has been saved.,Опис задатка сачуван.
Task Details,Детаљи задатка
Task due in {0} days: {1},Рок задатка за {0} дана: {1}
Task due today: {0},Рок задатка данас: {0}
Task due tomorrow: {0},Рок задатка сутра: {0}
Task duplicated,Задатак дуплиран
Task Group,Група задатака
Task ID is required,Идентификатор задатка је обавезан
Task is blocked by incomplete dependencies,Задатак је блокиран незавршеним зависностима
Task is cancelled,Задатак је отказан
Task is completed,Задатак је завршен
Task is no longer blocked by a group,Задатак више није блокиран групом
Task is required for task context,Задатак је обавезан за контекст задатка
Task is required when tracking context is 'task',Задатак је обавезан када је контекст праћења «задатак»
Task linked,Задатак повезан
Task moved,Задатак премештен
Task name,Назив задатка
Task name is required,Назив задатка је обавезан
Task removed from group,Задатак уклоњен из групе
Task Subject,Тема задатка
Task subject is required,Тема задатка је обавезна
Task Type,Тип задатка
Task unblocked: {0},Задатак деблокиран: {0}
Task unlinked,Задатак одвезан
Task updated,Задатак ажуриран
Task {0} not found,Задатак {0} није пронађен
Task {0} not in project {1},Задатак {0} није у пројекту {1}
Task {0} to Frappe,Задатак {0} у Frappe
Tasks,Задаци
tasks,задаци
Tasks and milestones will be created with dates relative to the project start date.,Задаци и прекретнице биће направљени са датумима релативним у односу на датум почетка пројекта.
Tasks assigned to you across all projects.,Задаци који су вам задужени у свим пројектима.
Tasks created:,Задатака направљено:
Tasks from projects you manage.,Задаци из пројеката којима управљате.
Tasks updated:,Задатака ажурирано:
"Tasks, milestones, and dependencies have been created.","Задаци, прекретнице и зависности су направљени."
Tasks:,Задаци:
TBD,Биће одређено
Team,Тим
Team Members,Чланови тима
Template,Шаблон
Template applied,Шаблон примењен
Template data is required in import data,Подаци шаблона су обавезни у увозним подацима
Template has no data,Шаблон нема податке
Template Name,Назив шаблона
Template name,Назив шаблона
Template name is required,Назив шаблона је обавезан
Template name is required in import data,Назив шаблона је обавезан у увозним подацима
Template saved,Шаблон сачуван
Template updated successfully.,Шаблон успешно ажуриран.
Template {0} not found,Шаблон {0} није пронађен
Templates,Шаблони
Tentative,Условно
The comment has been deleted,Коментар је обрисан
The project,Пројекат
The source document may have been deleted.,Изворни документ је можда обрисан.
The source document will not be affected.,Изворни документ неће бити угрожен.
The status of '{0}' was changed from {1} to {2}.,Статус «{0}» промењен из {1} у {2}.
Theme,Тема изгледа
Theme preference,Подешавање теме
This action,Ова радња
This action cannot be undone.,Ова радња се не може поништити.
This activity has been flagged for attention,Ова активност је означена за пажњу
This is a reminder for your upcoming appointment,Ово је подсетник за ваш предстојећи састанак
This method is only meant for developer mode,Овај метод је доступан само у развојном режиму
This page wandered off,This page wandered off
This Week,Ова недеља
This will delete all notes and preferences associated with this activity.,Ово ће обрисати све белешке и подешавања повезана са овом активношћу.
This will import all Frappe Projects into Orga. Continue?,Ово ће увести све Frappe пројекте у Orga. Наставити?
This will permanently delete,Ово ће трајно обрисати
This will permanently delete:,Биће трајно обрисано:
Thu,Чет
Time,Време
Time & Billing,Време и наплата
Time & Revenue,Време и приход
Time Entries,Записи времена
Time log name is required,Назив записа времена је обавезан
Time Log not found,Запис времена није пронађен
Time log {0} not found,Запис времена {0} није пронађен
Time Logs,Записи времена
Time Summary,Преглед времена
Time Tracking,Праћење времена
Timeline,Временска линија
Timer active on,Тајмер активан на
Timer is not running,Тајмер није покренут
Timer Running,Тајмер ради
Timer running,Тајмер ради
Timesheet DocType not available,DocType «Табела времена» није доступан
Timesheets,Табеле времена
Timezone,Временска зона
Timezone is detected from your browser,Временска зона је откривена из вашег прегледача
Title,Наслов
Title cannot exceed 255 characters,Наслов не може имати више од 255 карактера
Title is required,Наслов је обавезан
Title updated,Наслов ажуриран
To,До
to,до
to cancel,за отказивање
to close,за затварање
to confirm:,за потврду:
to edit,за уређивање
"to save,","за чување,"
To Time cannot be before From Time,Време завршетка не може бити пре времена почетка
Today,Данас
today,данас
Toggle billable,Промени наплативост
Toggle Details Panel,Прикажи/сакриј панел детаља
Toggle Manager Panel,Прикажи/сакриј панел руководиоца
Toggle Sidebar,Прикажи/сакриј бочну траку
Tomorrow,Сутра
tomorrow,сутра
Total,Укупно
Total Budget,Укупан буџет
Total Contacts,Укупно контаката
Total Cost,Укупна цена
Total Cost to Org,Укупни трошкови организације
Total Defect Cost,Укупна цена дефеката
Total Hours,Укупно сати
Total Hours Logged,Укупно забележено сати
Total Projects,Укупно пројеката
Total Spent,Укупно потрошено
Total Tasks,Укупно задатака
Total:,Укупно:
Tracked,Праћено
trails to today while Open at 0%,клизи до данас док је статус «Отворено» при 0%
Tried:,Tried:
Try adjusting your filter criteria,Покушајте да промените услове филтрирања
Try adjusting your filters.,Покушајте да промените филтере.
Try Again,Покушај поново
Tue,Уто
Type,Тип
Type updated,Тип ажуриран
Type:,Тип:
Typical response time: 1-2 business days,Уобичајено време одговора: 1–2 радна дана
Unarchive,Деархивирај
Unarchive Activity,Деархивирај активност
Unassign,Скини задужење
Unassigned,Незадужено
Under Budget,У оквиру буџета
Ungrouped,Без групе
Unknown,Непознато
Unknown error,Непозната грешка
Unlink failed,Одвезивање није успело
Unlink task from milestone,Одвежи задатак од прекретнице
Unpin,Откачи
Unpin Activity,Откачи активност
Unread,Непрочитано
Unread only,Само непрочитана
Until,До
Up to Date,Up to Date
Upcoming,Предстојеће
upcoming,предстојеће
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Ажурирање није успело
Updated,Ажурирано
Updated successfully,Успешно ажурирано
Updates,Updates
Upload,Отпреми
Upload failed,Отпремање није успело
Upload files below to attach them to this task.,Отпремите фајлове испод за прилагање овом задатку.
Upload to project,Отпреми у пројекат
Uploading...,Отпремање...
Urgent,Хитно
User {0} is already linked to client {1},Корисник {0} је већ повезан са клијентом {1}
User {0} is already linked to resource {1},Корисник {0} је већ повезан са ресурсом {1}
Utilization,Искоришћеност
Valid,Важеће
Value:,Вредност:
Variance,Одступање
Variance:,Одступање:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Преглед
View All,Прикажи све
View all active projects,Прикажи све активне пројекте
View all open tasks,Прикажи све отворене задатке
View overdue tasks,Прикажи задатке у кашњењу
View Release,View Release
Visibility,Видљивост
Waiting for this task,Чекање на овај задатак
Waits for:,Чека на:
Warning: Resource {0} status is {1},Упозорење: статус ресурса {0} је {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Упозорење: користи се HTTP уместо HTTPS. Подаци вебхукова можда нису заштићени.
Watch budget closely,Пажљиво пратите буџет
We'll respond to:,Одговорићемо на:
Webhook deleted,Вебхук обрисан
Webhook name is required,Назив вебхука је обавезан
Webhook not found,Вебхук није пронађен
Webhook URL is required,URL вебхука је обавезан
Webhook URL must start with http:// or https://,URL вебхука мора почињати са http:// или https://
Wed,Сре
Week,Недеља
Weekend,Викенд
Weekly Capacity,Недељно оптерећење
weekly capacity,недељно оптерећење
Weekly Capacity (h),Недељно оптерећење (ч)
Welcome,Добро дошли
Welcome back!,Добро дошли назад!
Welcome to Orga,Добро дошли у Orga
What are you working on?,На чему радите?
What did you work on?,На чему сте радили?
When,Када
When work begins,Када посао почиње
When work is due,Када посао треба да буде завршен
Where,Где
Will capture:,Биће сачувано:
Will create:,Биће направљено:
with checklist items,са ставкама листе
Working,У раду
Workload,Оптерећење
Workmanship,Квалитет рада
Write a comment...,Напишите коментар...
Write a comment... Use @name to mention (Ctrl+Enter to send),Напишите коментар... Користите @име за помињање (Ctrl+Enter за слање)
Year,Година
Yes,Да
Yesterday,Јуче
yesterday,јуче
You are not an attendee of this appointment,Нисте учесник овог састанка
You are not linked to any resource,Нисте повезани ни са једним ресурсом
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Можете брисати само своје коментаре
You can only delete your own reactions,Можете брисати само своје реакције
You do not have access to the client portal. Please contact support.,Немате приступ клијентском порталу. Обратите се подршци.
You have already reacted with '{0}',Већ сте реаговали са «{0}»
You have been assigned to task '{0}' in project '{1}'.,Задужени сте за задатак «{0}» у пројекту «{1}».
You have been assigned to: {0},Задужени сте за: {0}
You have been invited to the following appointment,Позвани сте на следећи састанак
You have no tasks assigned to you right now.,Тренутно немате задужених задатака.
You were mentioned in {0},Поменути сте у {0}
Your attendance,Ваше присуство
Your comment has been posted,Ваш коментар је објављен
Your Projects,Ваши пројекти
Your projects will appear here once they're assigned to you.,Ваши пројекти ће се појавити овде када вам буду додељени.
Your Response,Ваш одговор
Your RSVP,Ваш RSVP
Your support request has been submitted successfully.,Ваш захтев за подршку је успешно послат.
Your support request has been submitted successfully. We'll get back to you shortly.,Ваш захтев за подршку је успешно послат. Јавићемо вам се ускоро.
"Your task ""{0}"" is no longer blocked and can now be started.",Ваш задатак «{0}» више није блокиран и може бити покренут.
{0} is required,{0} је обавезно
{0} new activities,{0} нових активности
{0} of {1} completed,{0} од {1} завршено
{0} projects already migrated (will be skipped or updated),{0} пројеката већ пренесено (биће прескочено или ажурирано)
{0} status changed to {1},Статус {0} промењен у {1}
{0} tasks remaining,Преостало {0} задатака
{0} tasks without projects will be skipped,{0} задатака без пројеката биће прескочено
{0} {1} not found,{0} {1} није пронађено
