+ Add Milestone,+ மைல்கல் சேர்
Duration Summary,கால அளவு சுருக்கம்
Duration:,கால அளவு:
e.g. Cracked wall finish in bathroom...,எ.கா. குளியலறையில் சுவர் பூச்சு விரிசல்...
"e.g. Electrical, Plumbing...","எ.கா. மின்சாரம், குழாய்..."
Edit,தொகு
Edit (E),திருத்து (E)
Edit dependency,சார்பைத் திருத்து
Edit Event,நிகழ்வைத் திருத்து
Efficiency,செயல்திறன்
Either dependency_name or depends_on is required,dependency_name அல்லது depends_on தேவை
Email,மின்னஞ்சல்
Email invitations to all attendees,அனைத்து பங்கேற்பாளர்களுக்கும் மின்னஞ்சல் அழைப்பிதழ்கள்
Email is required to create portal user,போர்ட்டல் பயனரை உருவாக்க மின்னஞ்சல் தேவை
Email notifications,மின்னஞ்சல் அறிவிப்புகள்
Employee,ஊழியர்
Employee DocType not available,ஊழியர் DocType கிடைக்கவில்லை
Employee not found,ஊழியர் கிடைக்கவில்லை
Enable or disable optional features,விருப்பமான அம்சங்களை இயக்கு அல்லது முடக்கு
Enable Time Tracking,நேரக் கண்காணிப்பை இயக்கு
End,முடிவு
End Date,இறுதி நாள்
End date,முடிவு தேதி
End Date cannot be before Start Date,முடிவு தேதி தொடக்க தேதிக்கு முன்னதாக இருக்க முடியாது
End date cannot be before start date,முடிவு தேதி தொடக்க தேதிக்கு முன்னதாக இருக்க முடியாது
End date updated,முடிவு தேதி புதுப்பிக்கப்பட்டது
End time was before start time. Adjusted to 1 hour after start.,முடிவு நேரம் தொடக்க நேரத்திற்கு முன்னதாக இருந்தது. தொடக்கத்திற்குப் பிறகு 1 மணி நேரமாக சரிசெய்யப்பட்டது.
End:,முடிவு:
Enter milestone name...,மைல்கல் பெயரை உள்ளிடவும்...
Enter project name,திட்டப் பெயரை உள்ளிடவும்
Enter task title...,பணி தலைப்பை உள்ளிடவும்...
Enter template name,வார்ப்புரு பெயரை உள்ளிடவும்
Enter your note... Use @name to mention someone,உங்கள் குறிப்பை உள்ளிடவும்... யாரையாவது குறிப்பிட @பெயர் பயன்படுத்தவும்
Error,பிழை
Error loading activity,செயல்பாட்டை ஏற்றுவதில் பிழை
Error loading contacts,தொடர்புகளை ஏற்றுவதில் பிழை
Error loading dashboard,டாஷ்போர்டை ஏற்றுவதில் பிழை
Error loading project,திட்டத்தை ஏற்றுவதில் பிழை
Error loading projects,திட்டங்களை ஏற்றுவதில் பிழை
Error loading settings,அமைப்புகளை ஏற்றுவதில் பிழை
Error loading tasks,பணிகளை ஏற்றுவதில் பிழை
Error loading templates,வார்ப்புருக்களை ஏற்றுவதில் பிழை
Est. Hours,மதிப்பிடப்பட்ட மணி நேரம்
Estimated,மதிப்பிடப்பட்ட
Estimated Cost,மதிப்பிடப்பட்ட செலவு
Estimated Cost (€),மதிப்பிடப்பட்ட செலவு (€)
Estimated Hours,மதிப்பிடப்பட்ட மணி நேரம்
Estimated:,மதிப்பிடப்பட்ட:
Evaluate potential risks and concerns,சாத்தியமான அபாயங்கள் மற்றும் கவலைகளை மதிப்பீடு செய்யவும்
Event,சம்பவம்
Event is required for event context,நிகழ்வு சூழலுக்கு நிகழ்வு தேவை
Event is required when tracking context is 'event',கண்காணிப்பு சூழல் 'நிகழ்வு' ஆக இருக்கும்போது நிகழ்வு தேவை
Event Type,நிகழ்வு வகை
Events,நிகழ்வுகள்
Events not available. Please run: bench --site orga.localhost migrate,நிகழ்வுகள் கிடைக்கவில்லை. இயக்கவும்: bench --site orga.localhost migrate
Events:,நிகழ்வுகள்:
Expert,நிபுணர்
Explain why you are proposing a different time...,நீங்கள் ஏன் வேறு நேரத்தை முன்மொழிகிறீர்கள் என்பதை விளக்கவும்...
Export,ஏற்றுமதி
Export failed,ஏற்றுமதி தோல்வியடைந்தது
Export JSON,JSON ஏற்றுமதி
Exported,ஏற்றுமதி செய்யப்பட்டது
Exported to timesheet {0},நேரத்தாள் {0} க்கு ஏற்றுமதி செய்யப்பட்டது
External,வெளிப்புற
Failed to add item,உருப்படியைச் சேர்ப்பதில் தோல்வி
Failed to add note,குறிப்பைச் சேர்ப்பதில் தோல்வி
Failed to add skill,திறனைச் சேர்ப்பதில் தோல்வி
Failed to apply cascade changes: {0},அடுக்கு மாற்றங்களைப் பயன்படுத்துவதில் தோல்வி: {0}
Failed to create defect,குறைபாட்டை உருவாக்குவதில் தோல்வி
Failed to create dependency,சார்பை உருவாக்குவதில் தோல்வி
Failed to create event,நிகழ்வை உருவாக்குவதில் தோல்வி
Failed to create milestone,மைல்கல்லை உருவாக்குவதில் தோல்வி
Failed to create project,திட்டத்தை உருவாக்குவதில் தோல்வி
Failed to create task,பணியை உருவாக்குவதில் தோல்வி
Failed to create time log,நேரப் பதிவை உருவாக்குவதில் தோல்வி
Failed to delete,நீக்குவதில் தோல்வி
Failed to delete comment,கருத்தை நீக்குவதில் தோல்வி
Failed to delete contact,தொடர்பை நீக்குவதில் தோல்வி
Failed to load,ஏற்றுவதில் தோல்வி
Failed to load activity,செயல்பாட்டை ஏற்றுவதில் தோல்வி
Failed to load assignments,ஒதுக்கீடுகளை ஏற்றுவதில் தோல்வி
Failed to load contact,தொடர்பை ஏற்றுவதில் தோல்வி
Failed to load dashboard data,டாஷ்போர்டு தரவை ஏற்றுவதில் தோல்வி
Failed to load defects,குறைபாடுகளை ஏற்றுவதில் தோல்வி
Failed to load events,நிகழ்வுகளை ஏற்றுவதில் தோல்வி
Failed to load project,திட்டத்தை ஏற்றுவதில் தோல்வி
Failed to load projects,திட்டங்களை ஏற்றுவதில் தோல்வி
Failed to load report data,அறிக்கை தரவை ஏற்றுவதில் தோல்வி
Failed to load settings,அமைப்புகளை ஏற்றுவதில் தோல்வி
Failed to load tasks,பணிகளை ஏற்றுவதில் தோல்வி
Failed to move task,பணியை நகர்த்துவதில் தோல்வி
Failed to post comment,கருத்தைப் பதிவிடுவதில் தோல்வி
Failed to propose new time,புதிய நேரத்தை முன்மொழிவதில் தோல்வி
Failed to remove item,உருப்படியை நீக்குவதில் தோல்வி
Failed to remove skill,திறனை நீக்குவதில் தோல்வி
Failed to reorder milestones: {0},மைல்கல்களை மறுவரிசைப்படுத்துவதில் தோல்வி: {0}
Failed to reorder tasks: {0},பணிகளை மறுவரிசைப்படுத்துவதில் தோல்வி: {0}
Failed to reschedule dependent tasks: {0},சார்பு பணிகளை மறுதிட்டமிடுவதில் தோல்வி: {0}
Failed to save,சேமிப்பதில் தோல்வி
Failed to save preferences,விருப்பங்களைச் சேமிப்பதில் தோல்வி
Failed to save settings,அமைப்புகளைச் சேமிப்பதில் தோல்வி
Failed to submit request. Please try again.,கோரிக்கையைச் சமர்ப்பிப்பதில் தோல்வி. மீண்டும் முயற்சிக்கவும்.
Failed to update item,உருப்படியைப் புதுப்பிப்பதில் தோல்வி
Failed to update priority,முன்னுரிமையைப் புதுப்பிப்பதில் தோல்வி
Failed to update task,பணியைப் புதுப்பிப்பதில் தோல்வி
Failed to update tasks: {0},பணிகளைப் புதுப்பிப்பதில் தோல்வி: {0}
Failed to upload avatar,அவதாரைப் பதிவேற்றுவதில் தோல்வி
Feature,அம்சம்
Features,அம்சங்கள்
FF (Finish-Finish),FF (முடிவு-முடிவு)
FF - Finish-to-Finish,FF - முடிவு-முடிவு
Field has been updated,புலம் புதுப்பிக்கப்பட்டது
Field name is required for 'Set Field Value' action,'புல மதிப்பை அமை' செயலுக்கு புலப் பெயர் தேவை
Field {0} is not a Link field,புலம் {0} இணைப்பு புலம் அல்ல
Field {0} not found in {1},புலம் {0} {1} இல் கிடைக்கவில்லை
file,கோப்பு
File,கோப்பு
File does not belong to this task,கோப்பு இந்தப் பணிக்கு சொந்தமானது அல்ல
File name is required,கோப்பு பெயர் தேவை
File uploaded,கோப்பு பதிவேற்றப்பட்டது
File {0} not found,கோப்பு {0} கிடைக்கவில்லை
files,கோப்புகள்
Files,கோப்புகள்
Filter,வடிகட்டி
Final Decision,இறுதி முடிவு
Finance,நிதி
Financial,நிதி சார்ந்த
Finish-to-Finish,முடிவு-முடிவு
Finish-to-Start,முடிவு-தொடக்கம்
Flag,கொடி
Flag for attention,கவனத்திற்கு கொடியிடு
Flagged,கொடியிடப்பட்டது
Focus Panel,கவனம் குழு
Follows your system preference. Currently:,உங்கள் கணினி விருப்பத்தைப் பின்பற்றுகிறது. தற்போது:
Frappe Project {0} not found,Frappe திட்டம் {0} கிடைக்கவில்லை
Frappe Projects Migration,Frappe திட்டங்கள் இடம்பெயர்வு
Frappe Projects module not available,Frappe திட்டங்கள் தொகுதி கிடைக்கவில்லை
Frappe Projects module not installed,Frappe திட்டங்கள் தொகுதி நிறுவப்படவில்லை
Frappe Projects sync is not enabled,Frappe திட்டங்கள் ஒத்திசைவு இயக்கப்படவில்லை
Frappe Task DocType not found,Frappe பணி DocType கிடைக்கவில்லை
Frappe Task has no project,Frappe பணிக்கு திட்டம் இல்லை
Frappe Task {0} not found,Frappe பணி {0} கிடைக்கவில்லை
Fri,வெள்
From,இருந்து
From Template,வார்ப்புருவிலிருந்து
FS (Finish-Start),FS (முடிவு-தொடக்கம்)
FS - Finish-to-Start (default),FS - முடிவு-தொடக்கம் (இயல்புநிலை)
Full form view with audit trail,தணிக்கை வரிசையுடன் முழு படிவ காட்சி
Full name,முழுப் பெயர்
Gantt,காண்ட்
Gantt Chart,Gantt விளக்கப்படம்
Gantt View,Gantt காட்சி
General Note,பொதுக் குறிப்பு
Get started,தொடங்குங்கள்
Go back,பின்செல்
Go Back,Go Back
Group by,குழுப்படுத்து
Group dependency removed,குழு சார்பு நீக்கப்பட்டது
Group dependency set,குழு சார்பு அமைக்கப்பட்டது
Group removed,குழு நீக்கப்பட்டது
Group updated,குழு புதுப்பிக்கப்பட்டது
Hammock task dates are auto-calculated and cannot be changed manually,"ஊஞ்சல் பணி தேதிகள் தானியங்கியாகக் கணக்கிடப்படுகின்றன, கைமுறையாக மாற்ற இயலாது"
Have a question or need assistance? Fill out the form below and our team will get back to you.,"கேள்வி அல்லது உதவி தேவையா? கீழே உள்ள படிவத்தை நிரப்பவும், எங்கள் குழு உங்களைத் தொடர்பு கொள்ளும்."
Health,ஆரோக்கியம்
Healthy,ஆரோக்கியமான
Hello {0},வணக்கம் {0}
Here's what's happening with your projects today.,இன்று உங்கள் திட்டங்களில் என்ன நடக்கிறது என்பது இங்கே.
Hide,மறை
High,உயர்
History,வரலாறு
Home,வீட்டில்
Hourly Cost,மணி நேரச் செலவு
Hours,மணி நேரம்
hours,மணி நேரம்
Hours Logged,பதிவு செய்யப்பட்ட மணி நேரம்
ID,ஐடி
Image must be smaller than 5 MB,படம் 5 MB க்கு குறைவாக இருக்க வேண்டும்
Import,இறக்குமதி பொருள்கள்
Import existing projects and tasks from Frappe Projects module,Frappe திட்டங்கள் தொகுதியிலிருந்து ஏற்கனவே உள்ள திட்டங்கள் மற்றும் பணிகளை இறக்குமதி செய்
Import failed,இறக்குமதி தோல்வியடைந்தது
Import Template,வார்ப்புருவை இறக்குமதி செய்
Imported,இறக்குமதி செய்யப்பட்டது
in,உள்ள
In Progress,முன்னேற்றம்
In Review,மதிப்பாய்வில்
In-app notifications,பயன்பாட்டுள் அறிவிப்புகள்
Inactive,செயலற்ற
Initial Review,ஆரம்ப மதிப்பாய்வு
Installed Version,Installed Version
Insufficient permissions to view all tasks,அனைத்து பணிகளையும் பார்க்க போதுமான அனுமதிகள் இல்லை
Intermediate,இடைநிலை
Internal,உள்ளக
Invalid DocType,தவறான DocType
Invalid DocType for import,இறக்குமதிக்கு தவறான DocType
Invalid item type: {0},தவறான உருப்படி வகை: {0}
Invalid JSON data,தவறான JSON தரவு
Invalid note type. Must be one of: {0},தவறான குறிப்பு வகை. இவற்றில் ஒன்றாக இருக்க வேண்டும்: {0}
Invalid project reference,தவறான திட்ட குறிப்பு
Invalid reaction type. Must be one of: {0},தவறான எதிர்வினை வகை. இவற்றில் ஒன்றாக இருக்க வேண்டும்: {0}
Invalid RSVP status,தவறான RSVP நிலை
Invalid status. Must be one of: {0},தவறான நிலை. இவற்றில் ஒன்றாக இருக்க வேண்டும்: {0}
Invalid status: {0},தவறான நிலை: {0}
Invalid status: {0}. Must be one of: {1},தவறான நிலை: {0}. இவற்றில் ஒன்றாக இருக்க வேண்டும்: {1}
Invalid tracking context: {0},தவறான கண்காணிப்பு சூழல்: {0}
Invalid visibility. Must be one of: {0},தவறான தெரிவுநிலை. இவற்றில் ஒன்றாக இருக்க வேண்டும்: {0}
Invitation: {0} - {1} at {2},அழைப்பு: {0} - {1} அன்று {2}
Invite People,நபர்களை அழை
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,உருப்படி சேர்க்கப்பட்டது
Item ID is required,உருப்படி ID தேவை
Item removed,உருப்படி நீக்கப்பட்டது
Item type is required,உருப்படி வகை தேவை
Item {0} not found,உருப்படி {0} கிடைக்கவில்லை
Job title or role,வேலைத் தலைப்பு அல்லது பங்கு
Join Meeting,கூட்டத்தில் சேர்
Just now,இப்போது தான்
just now,இப்போது தான்
Kanban,கான்பன்
Kanban Board,கான்பன் வாரியம்
Kanban View,கான்பன் காட்சி
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்
Keyboard shortcuts (?),விசைப்பலகை குறுக்குவழிகள் (?)
Last checked: {0},Last checked: {0}
Last Updated,கடைசியாக புதுப்பிக்கப்பட்டது
Last updated:,கடைசியாக புதுப்பிக்கப்பட்டது:
Last Week,கடந்த வாரம்
Latest Version,Latest Version
Light,வெளிர்
Link failed,இணைப்பு தோல்வியடைந்தது
Link Task,பணியை இணை
Linked,இணைக்கப்பட்ட
Linked employee not found,இணைக்கப்பட்ட ஊழியர் கிடைக்கவில்லை
Linked Tasks,இணைக்கப்பட்ட பணிகள்
List,பட்டியலில்
List View,பட்டியல் காட்சி
Load failed,ஏற்றுதல் தோல்வியடைந்தது
Load More,அதிகமாக ஏற்று
Load more comments,மேலும் கருத்துகளை ஏற்று
Loading activity...,செயல்பாட்டை ஏற்றுகிறது...
Loading changes...,மாற்றங்களை ஏற்றுகிறது...
Loading checklist...,சரிபார்ப்புப் பட்டியலை ஏற்றுகிறது...
Loading comments...,கருத்துகளை ஏற்றுகிறது...
Loading contact...,தொடர்பை ஏற்றுகிறது...
Loading contacts...,தொடர்புகளை ஏற்றுகிறது...
Loading dependencies...,சார்புகளை ஏற்றுகிறது...
Loading details...,விவரங்களை ஏற்றுகிறது...
Loading discussion...,கலந்துரையாடலை ஏற்றுகிறது...
Loading events...,நிகழ்வுகளை ஏற்றுகிறது...
Loading files...,கோப்புகளை ஏற்றுகிறது...
Loading notes...,குறிப்புகளை ஏற்றுகிறது...
Loading preferences...,விருப்பங்களை ஏற்றுகிறது...
Loading project...,திட்டத்தை ஏற்றுகிறது...
Loading projects...,திட்டங்களை ஏற்றுகிறது...
Loading replies...,பதில்களை ஏற்றுகிறது...
Loading report data...,அறிக்கை தரவை ஏற்றுகிறது...
Loading settings...,அமைப்புகளை ஏற்றுகிறது...
Loading task...,பணியை ஏற்றுகிறது...
Loading templates...,வார்ப்புருக்களை ஏற்றுகிறது...
Loading time logs...,நேரப் பதிவுகளை ஏற்றுகிறது...
Loading your portal...,உங்கள் போர்ட்டலை ஏற்றுகிறது...
Loading...,ஏற்றுகிறது ...
Location,இடம்
Log Time,நேரத்தைப் பதிவு செய்
Logout,வெளியேறு
Low,குறைந்த
Make Offer,சலுகை வழங்கு
Manager,மேலாளர்
Manual Entry,கைமுறை பதிவு
Margin,இலாப வரம்பு
Mark all as read,அனைத்தையும் படிக்கப்பட்டதாகக் குறி
Mark all read,அனைத்தையும் படிக்கப்பட்டதாகக் குறி
Mark as read,படிக்கப்பட்டதாகக் குறி
Mark as unread,படிக்கப்படாததாகக் குறி
Mark read,படிக்கப்பட்டதாகக் குறி
Marking...,குறிக்கிறது...
Material,பொருள்
Maybe,ஒருவேளை
Medium,ஊடகம்
Meeting,சந்தித்தல்
Meeting Link,கூட்ட இணைப்பு
Meeting title,கூட்டத் தலைப்பு
Meeting URL,கூட்ட URL
Meetings,கூட்டங்கள்
Mention,குறிக்கப்பட்டது
Message,செய்தி
Message is required,செய்தி தேவை
Message is required for '{0}' action,'{0}' செயலுக்கு செய்தி தேவை
Migrate,இடம்பெயர்
Migration Complete,இடம்பெயர்வு நிறைவடைந்தது
Migration ID:,இடம்பெயர்வு ID:
Migration log not found: {0},இடம்பெயர்வு பதிவு கிடைக்கவில்லை: {0}
milestone,மைல்கல்
Milestone,மைல் கல்
Milestone created,மைல்கல் உருவாக்கப்பட்டது
Milestone description has been saved.,மைல்கல் விளக்கம் சேமிக்கப்பட்டது.
Milestone ID is required,மைல்கல் ID தேவை
Milestone marked as Missed (past due date),மைல்கல் தவறியது என குறிக்கப்பட்டது (நிலுவைத் தேதி கடந்தது)
Milestone moved,மைல்கல் நகர்த்தப்பட்டது
Milestone Name,மைல்கல் பெயர்
Milestone name has been saved.,மைல்கல் பெயர் சேமிக்கப்பட்டது.
Milestone name is required,மைல்கல் பெயர் தேவை
Milestone updated,மைல்கல் புதுப்பிக்கப்பட்டது
Milestone {0} not found,மைல்கல் {0} கிடைக்கவில்லை
Milestone {0} not in project {1},மைல்கல் {0} திட்டம் {1} இல் இல்லை
milestones,மைல்கல்கள்
Milestones,மைல்கல்கள்
Milestones:,மைல்கல்கள்:
Minutes,நிமிடங்கள்
Missed,தவறியது
Mixed,கலப்பு
Mobile,மொபைல்
Moderate,மிதமான
Modified,மாற்றப்பட்டது
"Modify details, time, or attendees","விவரங்கள், நேரம் அல்லது பங்கேற்பாளர்களை மாற்றவும்"
Mon,திங்
Month,மாதம்
Move failed,நகர்த்துதல் தோல்வியடைந்தது
Must be a positive number,நேர்மறை எண்ணாக இருக்க வேண்டும்
Must finish before this finishes,இது முடிவதற்கு முன் முடிக்க வேண்டும்
Must finish before this starts,இது தொடங்குவதற்கு முன் முடிக்க வேண்டும்
Must start before this finishes,இது முடிவதற்கு முன் தொடங்க வேண்டும்
Must start before this starts,இது தொடங்குவதற்கு முன் தொடங்க வேண்டும்
My Assignments,என் ஒதுக்கீடுகள்
My Projects,என் திட்டங்கள்
My Schedule,என் அட்டவணை
My Tasks,என் பணிகள்
N/A,பொ/இ
Name,பெயர்
Name (A-Z),பெயர் (A-Z)
Name (Z-A),பெயர் (Z-A)
Name cannot exceed 255 characters,பெயர் 255 எழுத்துகளுக்கு மேல் இருக்க முடியாது
Need help?,உதவி வேண்டுமா?
Needs Attention,கவனம் தேவை
Never,Never
new activities,புதிய செயல்பாடுகள்
New Activity,புதிய செயல்பாடு
New activity,புதிய செயல்பாடு
New Event,புதிய நிகழ்வு
New index is required,புதிய குறியீட்டு எண் தேவை
New Project,புதிய திட்டம்
New tasks will auto-trail by default.,புதிய பணிகள் இயல்பாகவே தானியங்கி-தடத்தில் இருக்கும்.
Newest First,புதியது முதலில்
Next,அடுத்து
Next 14 days,அடுத்த 14 நாட்கள்
Next 30 days,அடுத்த 30 நாட்கள்
Next 60 days,அடுத்த 60 நாட்கள்
Next 7 days,அடுத்த 7 நாட்கள்
Next 90 days,அடுத்த 90 நாட்கள்
Next Week,அடுத்த வாரம்
Next:,அடுத்தது:
No,இல்லை
No active assignments,செயலில் உள்ள ஒதுக்கீடுகள் இல்லை
No active projects,செயலில் உள்ள திட்டங்கள் இல்லை
No active timer found,செயலில் உள்ள நேர அளவி கிடைக்கவில்லை
No activity selected,செயல்பாடு தேர்ந்தெடுக்கப்படவில்லை
No assignments found,ஒதுக்கீடுகள் கிடைக்கவில்லை
No attendees,பங்கேற்பாளர்கள் இல்லை
no change,மாற்றம் இல்லை
No changes for this field.,இந்தப் புலத்திற்கு மாற்றங்கள் இல்லை.
No changes recorded for this activity.,இந்தச் செயல்பாட்டிற்கு மாற்றங்கள் பதிவு செய்யப்படவில்லை.
No checklist items yet,சரிபார்ப்புப் பட்டியல் உருப்படிகள் இன்னும் இல்லை
No checklist items yet.,சரிபார்ப்புப் பட்டியல் உருப்படிகள் இன்னும் இல்லை.
No comments yet,இதுவரை இல்லை
No comments yet.,கருத்துகள் இன்னும் இல்லை.
No contacts available,தொடர்புகள் கிடைக்கவில்லை
No content for this tab,இந்தத் தாவலுக்கு உள்ளடக்கம் இல்லை
No data available,தரவு கிடைக்கவில்லை
No data available for the selected filters,தேர்ந்தெடுக்கப்பட்ட வடிகட்டிகளுக்கு தரவு கிடைக்கவில்லை
No data to export,ஏற்றுமதி செய்ய தரவு இல்லை
No dates set,தேதிகள் அமைக்கப்படவில்லை
No defects reported,குறைபாடுகள் புகாரளிக்கப்படவில்லை
No dependencies defined,சார்புகள் வரையறுக்கப்படவில்லை
No description,விளக்கம் இல்லை
No discussion yet.,கலந்துரையாடல் இன்னும் இல்லை.
No documents attached,ஆவணங்கள் இணைக்கப்படவில்லை
No due date,நிலுவைத் தேதி இல்லை
No employee linked to this resource,இந்த வளத்துடன் இணைக்கப்பட்ட ஊழியர் இல்லை
No ERPNext employee linked to resource,வளத்துடன் இணைக்கப்பட்ட ERPNext ஊழியர் இல்லை
No events found,நிகழ்வுகள் கிடைக்கவில்லை
No files attached yet.,கோப்புகள் இன்னும் இணைக்கப்படவில்லை.
No Frappe Project linked,Frappe திட்டம் இணைக்கப்படவில்லை
No Grouping,குழுப்படுத்தல் இல்லை
No items,உருப்படிகள் இல்லை
No matching tasks,பொருந்தும் பணிகள் இல்லை
No matching tasks found,பொருந்தும் பணிகள் கிடைக்கவில்லை
No migration history,இடம்பெயர்வு வரலாறு இல்லை
No Milestone,மைல்கல் இல்லை
No milestones,மைல்கல்கள் இல்லை
No milestones defined for this project.,இந்தத் திட்டத்திற்கு மைல்கல்கள் வரையறுக்கப்படவில்லை.
No notes yet.,குறிப்புகள் இன்னும் இல்லை.
No notes yet. Add a due diligence note to track progress.,குறிப்புகள் இன்னும் இல்லை. முன்னேற்றத்தைக் கண்காணிக்க ஒரு சரிபார்ப்பு குறிப்பைச் சேர்க்கவும்.
No notifications,அறிவிப்புகள் இல்லை
No Orga Project linked to Frappe Project {0},Frappe திட்டம் {0} உடன் இணைக்கப்பட்ட Orga திட்டம் இல்லை
No overdue tasks,தாமதமான பணிகள் இல்லை
No pending cascade changes,நிலுவையில் உள்ள அடுக்கு மாற்றங்கள் இல்லை
No predecessors - this task can start independently,முன்னோடிகள் இல்லை - இந்தப் பணி சுயாதீனமாகத் தொடங்கலாம்
No project,திட்டம் இல்லை
No projects found,திட்டங்கள் கிடைக்கவில்லை
No Projects Yet,இன்னும் திட்டங்கள் இல்லை
No recent activity,சமீபத்திய செயல்பாடு இல்லை
No related documents,தொடர்புடைய ஆவணங்கள் இல்லை
No resolved threads.,தீர்க்கப்பட்ட தொடர்கள் இல்லை.
No resources found,வளங்கள் கிடைக்கவில்லை
No results found,முடிவுகள் கிடைக்கவில்லை
No skills listed,திறன்கள் பட்டியலிடப்படவில்லை
No skills recorded yet,திறன்கள் இன்னும் பதிவு செய்யப்படவில்லை
No successors - no tasks are waiting for this one,வாரிசுகள் இல்லை - இந்தப் பணிக்காக எந்தப் பணியும் காத்திருக்கவில்லை
No task selected,பணி தேர்ந்தெடுக்கப்படவில்லை
No tasks assigned to you,உங்களுக்கு ஒதுக்கப்பட்ட பணிகள் இல்லை
No tasks available to add,சேர்க்க பணிகள் கிடைக்கவில்லை
No tasks found,பணிகள் கிடைக்கவில்லை
No tasks linked to this milestone,இந்த மைல்கல்லுடன் இணைக்கப்பட்ட பணிகள் இல்லை
No tasks with dates to display,காட்ட தேதிகளுடன் கூடிய பணிகள் இல்லை
No tasks yet,இன்னும் பணிகள் இல்லை
No team members,குழு உறுப்பினர்கள் இல்லை
No template,வார்ப்புரு இல்லை
No templates yet,இன்னும் வார்ப்புருக்கள் இல்லை
No time data found,நேரத் தரவு கிடைக்கவில்லை
No time logged today,இன்று நேரம் பதிவு செய்யப்படவில்லை
No time logged yet,இன்னும் நேரம் பதிவு செய்யப்படவில்லை
No time logs for this period,இந்தக் காலகட்டத்திற்கு நேரப் பதிவுகள் இல்லை
No time logs found,நேரப் பதிவுகள் கிடைக்கவில்லை
No unread notifications,படிக்கப்படாத அறிவிப்புகள் இல்லை
No update information available yet.,No update information available yet.
None,யாரும்
Not found,கிடைக்கவில்லை
Not permitted,அனுமதி இல்லை
Not permitted to access this project,இந்தத் திட்டத்தை அணுக அனுமதி இல்லை
Not permitted to access this task,இந்தப் பணியை அணுக அனுமதி இல்லை
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,இந்த ஆவணத்தில் கருத்து தெரிவிக்க அனுமதி இல்லை
Not permitted to create clients,வாடிக்கையாளர்களை உருவாக்க அனுமதி இல்லை
Not permitted to delete this client,இந்த வாடிக்கையாளரை நீக்க அனுமதி இல்லை
Not permitted to delete this defect,இந்தக் குறைபாட்டை நீக்க அனுமதி இல்லை
Not permitted to delete this note,இந்தக் குறிப்பை நீக்க அனுமதி இல்லை
Not permitted to delete this project,இந்தத் திட்டத்தை நீக்க அனுமதி இல்லை
Not permitted to delete this task,இந்தப் பணியை நீக்க அனுமதி இல்லை
Not permitted to delete this time log,இந்த நேரப் பதிவை நீக்க அனுமதி இல்லை
Not permitted to invite clients,வாடிக்கையாளர்களை அழைக்க அனுமதி இல்லை
Not permitted to modify client access,வாடிக்கையாளர் அணுகலை மாற்ற அனுமதி இல்லை
Not permitted to modify this project,இந்தத் திட்டத்தை மாற்ற அனுமதி இல்லை
Not permitted to update settings,அமைப்புகளைப் புதுப்பிக்க அனுமதி இல்லை
Not permitted to update this client,இந்த வாடிக்கையாளரைப் புதுப்பிக்க அனுமதி இல்லை
Not permitted to view this client,இந்த வாடிக்கையாளரைப் பார்க்க அனுமதி இல்லை
not sent,அனுப்பப்படவில்லை
Not set,அமைக்கப்படவில்லை
Not specified,குறிப்பிடப்படவில்லை
Note,குறிப்பு
Note (optional),குறிப்பு (விருப்பமானது)
Note Content,குறிப்பு உள்ளடக்கம்
Note content is required,குறிப்பு உள்ளடக்கம் தேவை
Note name is required,குறிப்பு பெயர் தேவை
Note not found,குறிப்பு கிடைக்கவில்லை
Note Type,குறிப்பு வகை
Notes,குறிப்புகள்
Notification,அறிவித்தல்
Notification not found,அறிவிப்பு கிடைக்கவில்லை
Notifications,அறிவிப்புகள்
Off Track,பாதையிலிருந்து விலகியது
Offer,சலுகை
Offer Prepared,சலுகை தயாரிக்கப்பட்டது
Oldest First,பழையது முதலில்
On Hold,நிறுத்தி வைக்கப்பட்டது
On Leave,விடுப்பில்
On Track,சரியான பாதையில்
On-Time Rate,சரியான நேர விகிதம்
Only administrators can delete activities,நிர்வாகிகள் மட்டுமே செயல்பாடுகளை நீக்க முடியும்
Only the comment author or administrators can delete comments,கருத்து ஆசிரியர் அல்லது நிர்வாகிகள் மட்டுமே கருத்துகளை நீக்க முடியும்
Only you and admins,நீங்களும் நிர்வாகிகளும் மட்டும்
Open,திறந்த
Open in Desk,Desk இல் திற
Open Task Log,பணிப் பதிவைத் திற
Open Tasks,திறந்த பணிகள்
Optional,விருப்பமானது
optional,விருப்பமானது
Or email us directly at,அல்லது நேரடியாக மின்னஞ்சல் செய்யுங்கள்
Orga Project {0} from Frappe Projects,Frappe திட்டங்களிலிருந்து Orga திட்டம் {0}
Orga Task {0} from Frappe,Frappe இலிருந்து Orga பணி {0}
Organizer,ஒருங்கிணைப்பாளர்
Other,வேறு
Over Budget,வரவு செலவுத் திட்டத்தை மீறியது
Overall Progress,ஒட்டுமொத்த முன்னேற்றம்
Overall Utilization,ஒட்டுமொத்த பயன்பாடு
