+ Add Milestone,+ మైలురాయి జోడించు
Edit,సవరించు
Edit (E),సవరించు (E)
Edit dependency,ఆధారం సవరించు
Edit Event,ఈవెంట్ సవరించు
Efficiency,సామర్థ్యం
Either dependency_name or depends_on is required,dependency_name లేదా depends_on అవసరం
Email,ఇమెయిల్
Email invitations to all attendees,అందరు హాజరయ్యేవారికి ఇమెయిల్ ఆహ్వానాలు
Email is required to create portal user,పోర్టల్ వాడుకరిని సృష్టించడానికి ఇమెయిల్ అవసరం
Email notifications,ఇమెయిల్ నోటిఫికేషన్లు
Employee,ఉద్యోగి
Employee DocType not available,ఉద్యోగి DocType అందుబాటులో లేదు
Employee not found,ఉద్యోగి కనుగొనబడలేదు
Enable or disable optional features,ఐచ్ఛిక ఫీచర్లను ఎనేబుల్ లేదా డిసేబుల్ చేయి
Enable Time Tracking,సమయ ట్రాకింగ్ ఎనేబుల్ చేయి
End,ముగింపు
End Date,ముగింపు తేదీ
End date,ముగింపు తేదీ
End Date cannot be before Start Date,ముగింపు తేదీ ప్రారంభ తేదీకి ముందు ఉండకూడదు
End date cannot be before start date,ముగింపు తేదీ ప్రారంభ తేదీకి ముందు ఉండకూడదు
End date updated,ముగింపు తేదీ అప్‌డేట్ చేయబడింది
End time was before start time. Adjusted to 1 hour after start.,ముగింపు సమయం ప్రారంభ సమయానికి ముందు ఉంది. ప్రారంభానికి 1 గంట తర్వాతకు సర్దుబాటు చేయబడింది.
End:,ముగింపు:
Enter milestone name...,మైలురాయి పేరు నమోదు చేయండి...
Enter project name,ప్రాజెక్టు పేరు నమోదు చేయండి
Enter task title...,పని శీర్షిక నమోదు చేయండి...
Enter template name,టెంప్లేట్ పేరు నమోదు చేయండి
Enter your note... Use @name to mention someone,మీ గమనిక నమోదు చేయండి... ఎవరినైనా ప్రస్తావించడానికి @పేరు ఉపయోగించండి
Error,లోపం
Error loading activity,కార్యకలాపం లోడ్ చేయడంలో లోపం
Error loading contacts,పరిచయాలు లోడ్ చేయడంలో లోపం
Error loading dashboard,డాష్‌బోర్డ్ లోడ్ చేయడంలో లోపం
Error loading project,ప్రాజెక్టు లోడ్ చేయడంలో లోపం
Error loading projects,ప్రాజెక్టులు లోడ్ చేయడంలో లోపం
Error loading settings,సెట్టింగ్‌లు లోడ్ చేయడంలో లోపం
Error loading tasks,పనులు లోడ్ చేయడంలో లోపం
Error loading templates,టెంప్లేట్లు లోడ్ చేయడంలో లోపం
Est. Hours,అంచనా గంటలు
Estimated,అంచనా
Estimated Cost,అంచనా ఖర్చు
Estimated Cost (€),అంచనా ఖర్చు (€)
Estimated Hours,అంచనా గంటలు
Estimated:,అంచనా:
Evaluate potential risks and concerns,సంభావ్య ప్రమాదాలు మరియు ఆందోళనలను అంచనా వేయండి
Event,ఈవెంట్
Event is required for event context,ఈవెంట్ సందర్భం కోసం ఈవెంట్ అవసరం
Event is required when tracking context is 'event',ట్రాకింగ్ సందర్భం 'event' అయినప్పుడు ఈవెంట్ అవసరం
Event Type,ఈవెంట్ రకం
Events,ఈవెంట్లు
Events not available. Please run: bench --site orga.localhost migrate,ఈవెంట్లు అందుబాటులో లేవు. దయచేసి ఇది అమలు చేయండి: bench --site orga.localhost migrate
Events:,ఈవెంట్లు:
Expert,నిపుణుడు
Explain why you are proposing a different time...,మీరు వేరే సమయాన్ని ఎందుకు ప్రతిపాదిస్తున్నారో వివరించండి...
Export,ఎక్స్‌పోర్ట్
Export failed,ఎక్స్‌పోర్ట్ విఫలమైంది
Export JSON,JSON ఎక్స్‌పోర్ట్
Exported,ఎక్స్‌పోర్ట్ చేయబడింది
Exported to timesheet {0},టైమ్‌షీట్ {0}కి ఎక్స్‌పోర్ట్ చేయబడింది
External,బాహ్య
Failed to add item,అంశం జోడించడం విఫలమైంది
Failed to add note,గమనిక జోడించడం విఫలమైంది
Failed to add skill,నైపుణ్యం జోడించడం విఫలమైంది
Failed to apply cascade changes: {0},కాస్కేడ్ మార్పులు వర్తింపజేయడం విఫలమైంది: {0}
Failed to create defect,లోపం సృష్టించడం విఫలమైంది
Failed to create dependency,ఆధారం సృష్టించడం విఫలమైంది
Failed to create event,ఈవెంట్ సృష్టించడం విఫలమైంది
Failed to create milestone,మైలురాయి సృష్టించడం విఫలమైంది
Failed to create project,ప్రాజెక్టు సృష్టించడం విఫలమైంది
Failed to create task,పని సృష్టించడం విఫలమైంది
Failed to create time log,సమయ నమోదు సృష్టించడం విఫలమైంది
Failed to delete,తొలగించడం విఫలమైంది
Failed to delete comment,వ్యాఖ్య తొలగించడం విఫలమైంది
Failed to delete contact,పరిచయం తొలగించడం విఫలమైంది
Failed to load,లోడ్ చేయడం విఫలమైంది
Failed to load activity,కార్యకలాపం లోడ్ చేయడం విఫలమైంది
Failed to load assignments,కేటాయింపులు లోడ్ చేయడం విఫలమైంది
Failed to load contact,పరిచయం లోడ్ చేయడం విఫలమైంది
Failed to load dashboard data,డాష్‌బోర్డ్ డేటా లోడ్ చేయడం విఫలమైంది
Failed to load defects,లోపాలు లోడ్ చేయడం విఫలమైంది
Failed to load events,ఈవెంట్లు లోడ్ చేయడం విఫలమైంది
Failed to load project,ప్రాజెక్టు లోడ్ చేయడం విఫలమైంది
Failed to load projects,ప్రాజెక్టులు లోడ్ చేయడం విఫలమైంది
Failed to load report data,రిపోర్ట్ డేటా లోడ్ చేయడం విఫలమైంది
Failed to load settings,సెట్టింగ్‌లు లోడ్ చేయడం విఫలమైంది
Failed to load tasks,పనులు లోడ్ చేయడం విఫలమైంది
Failed to move task,పనిని తరలించడం విఫలమైంది
Failed to post comment,వ్యాఖ్య పోస్ట్ చేయడం విఫలమైంది
Failed to propose new time,కొత్త సమయం ప్రతిపాదించడం విఫలమైంది
Failed to remove item,అంశం తొలగించడం విఫలమైంది
Failed to remove skill,నైపుణ్యం తొలగించడం విఫలమైంది
Failed to reorder milestones: {0},మైలురాళ్ల క్రమం మార్చడం విఫలమైంది: {0}
Failed to reorder tasks: {0},పనుల క్రమం మార్చడం విఫలమైంది: {0}
Failed to reschedule dependent tasks: {0},ఆధారపడిన పనులను పునఃషెడ్యూల్ చేయడం విఫలమైంది: {0}
Failed to save,సేవ్ చేయడం విఫలమైంది
Failed to save preferences,ప్రాధాన్యతలు సేవ్ చేయడం విఫలమైంది
Failed to save settings,సెట్టింగ్‌లు సేవ్ చేయడం విఫలమైంది
Failed to submit request. Please try again.,అభ్యర్థన సమర్పించడం విఫలమైంది. దయచేసి మళ్ళీ ప్రయత్నించండి.
Failed to update item,అంశం అప్‌డేట్ చేయడం విఫలమైంది
Failed to update priority,ప్రాధాన్యత అప్‌డేట్ చేయడం విఫలమైంది
Failed to update task,పని అప్‌డేట్ చేయడం విఫలమైంది
Failed to update tasks: {0},పనులు అప్‌డేట్ చేయడం విఫలమైంది: {0}
Failed to upload avatar,అవతార్ అప్‌లోడ్ చేయడం విఫలమైంది
Feature,ఫీచర్
Features,ఫీచర్లు
FF (Finish-Finish),FF (ముగింపు-ముగింపు)
FF - Finish-to-Finish,FF - ముగింపు-నుండి-ముగింపు
Field has been updated,ఫీల్డ్ అప్‌డేట్ చేయబడింది
Field name is required for 'Set Field Value' action,'Set Field Value' చర్య కోసం ఫీల్డ్ పేరు అవసరం
Field {0} is not a Link field,ఫీల్డ్ {0} లింక్ ఫీల్డ్ కాదు
Field {0} not found in {1},ఫీల్డ్ {0} {1}లో కనుగొనబడలేదు
File,ఫైల్
file,ఫైల్
File does not belong to this task,ఫైల్ ఈ పనికి చెందినది కాదు
File name is required,ఫైల్ పేరు అవసరం
File uploaded,ఫైల్ అప్‌లోడ్ చేయబడింది
File {0} not found,ఫైల్ {0} కనుగొనబడలేదు
Files,ఫైల్‌లు
files,ఫైళ్లు
Filter,ఫిల్టర్
Final Decision,తుది నిర్ణయం
Finance,ఫైనాన్స్
Financial,ఆర్థిక
Finish-to-Finish,ముగింపు-నుండి-ముగింపు
Finish-to-Start,ముగింపు-నుండి-ప్రారంభం
Flag,ఫ్లాగ్
Flag for attention,దృష్టికి ఫ్లాగ్ చేయి
Flagged,ఫ్లాగ్ చేయబడింది
Focus Panel,ఫోకస్ ప్యానెల్
Follows your system preference. Currently:,మీ సిస్టమ్ ప్రాధాన్యతను అనుసరిస్తుంది. ప్రస్తుతం:
Frappe Project {0} not found,Frappe ప్రాజెక్టు {0} కనుగొనబడలేదు
Frappe Projects Migration,Frappe Projects మైగ్రేషన్
Frappe Projects module not available,Frappe Projects మాడ్యూల్ అందుబాటులో లేదు
Frappe Projects module not installed,Frappe Projects మాడ్యూల్ ఇన్‌స్టాల్ చేయబడలేదు
Frappe Projects sync is not enabled,Frappe Projects సింక్ ఎనేబుల్ చేయబడలేదు
Frappe Task DocType not found,Frappe టాస్క్ DocType కనుగొనబడలేదు
Frappe Task has no project,Frappe టాస్క్‌కు ప్రాజెక్టు లేదు
Frappe Task {0} not found,Frappe టాస్క్ {0} కనుగొనబడలేదు
Fri,శుక్ర
From,నుండి
From Template,టెంప్లేట్ నుండి
FS (Finish-Start),FS (ముగింపు-ప్రారంభం)
FS - Finish-to-Start (default),FS - ముగింపు-నుండి-ప్రారంభం (డిఫాల్ట్)
Full form view with audit trail,ఆడిట్ ట్రయల్‌తో పూర్తి ఫారం వీక్షణ
Full name,పూర్తి పేరు
Gantt,Gantt
Gantt Chart,Gantt చార్ట్
Gantt View,Gantt వీక్షణ
General Note,సాధారణ గమనిక
Get started,ప్రారంభించండి
Go back,వెనుకకు వెళ్ళు
Go Back,Go Back
Group by,గ్రూప్ చేయి
Group dependency removed,గ్రూప్ ఆధారం తొలగించబడింది
Group dependency set,గ్రూప్ ఆధారం సెట్ చేయబడింది
Group removed,గ్రూప్ తొలగించబడింది
Group updated,గ్రూప్ అప్‌డేట్ చేయబడింది
Hammock task dates are auto-calculated and cannot be changed manually,హామక్ పని తేదీలు ఆటోమేటిక్‌గా లెక్కించబడతాయి మరియు మాన్యువల్‌గా మార్చలేము
Have a question or need assistance? Fill out the form below and our team will get back to you.,ప్రశ్న ఉందా లేదా సహాయం కావాలా? క్రింది ఫారమ్ నింపండి మరియు మా బృందం మీకు తిరిగి సమాధానం ఇస్తుంది.
Health,ఆరోగ్యం
Healthy,ఆరోగ్యకరం
Hello {0},నమస్కారం {0}
Here's what's happening with your projects today.,ఈ రోజు మీ ప్రాజెక్టులలో ఏం జరుగుతోందో ఇక్కడ ఉంది.
Hide,దాచు
High,అధిక
History,చరిత్ర
Home,హోమ్
Hourly Cost,గంటకు ఖర్చు
Hours,గంటలు
hours,గంటలు
Hours Logged,నమోదు చేసిన గంటలు
ID,ID
Image must be smaller than 5 MB,చిత్రం 5 MB కంటే చిన్నదిగా ఉండాలి
Import,ఇంపోర్ట్
Import existing projects and tasks from Frappe Projects module,Frappe Projects మాడ్యూల్ నుండి ఉన్న ప్రాజెక్టులు మరియు పనులను ఇంపోర్ట్ చేయండి
Import failed,ఇంపోర్ట్ విఫలమైంది
Import Template,టెంప్లేట్ ఇంపోర్ట్
Imported,ఇంపోర్ట్ చేయబడింది
in,లో
In Progress,పురోగతిలో ఉంది
In Review,సమీక్షలో ఉంది
In-app notifications,యాప్‌లో నోటిఫికేషన్లు
Inactive,నిష్క్రియం
Initial Review,ప్రారంభ సమీక్ష
Installed Version,Installed Version
Insufficient permissions to view all tasks,అన్ని పనులను చూడడానికి తగినంత అనుమతులు లేవు
Intermediate,మధ్యస్థ
Internal,అంతర్గత
Invalid DocType,చెల్లని DocType
Invalid DocType for import,ఇంపోర్ట్ కోసం చెల్లని DocType
Invalid item type: {0},చెల్లని అంశం రకం: {0}
Invalid JSON data,చెల్లని JSON డేటా
Invalid note type. Must be one of: {0},చెల్లని గమనిక రకం. ఇవి ఒకటి అయి ఉండాలి: {0}
Invalid project reference,చెల్లని ప్రాజెక్టు సూచన
Invalid reaction type. Must be one of: {0},చెల్లని స్పందన రకం. ఇవి ఒకటి అయి ఉండాలి: {0}
Invalid RSVP status,చెల్లని RSVP స్థితి
Invalid status. Must be one of: {0},చెల్లని స్థితి. ఇవి ఒకటి అయి ఉండాలి: {0}
Invalid status: {0},చెల్లని స్థితి: {0}
Invalid status: {0}. Must be one of: {1},చెల్లని స్థితి: {0}. ఇవి ఒకటి అయి ఉండాలి: {1}
Invalid tracking context: {0},చెల్లని ట్రాకింగ్ సందర్భం: {0}
Invalid visibility. Must be one of: {0},చెల్లని దృశ్యమానత. ఇవి ఒకటి అయి ఉండాలి: {0}
Invitation: {0} - {1} at {2},ఆహ్వానం: {0} - {1} {2} వద్ద
Invite People,వ్యక్తులను ఆహ్వానించు
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,అంశం జోడించబడింది
Item ID is required,అంశం ID అవసరం
Item removed,అంశం తొలగించబడింది
Item type is required,అంశం రకం అవసరం
Item {0} not found,అంశం {0} కనుగొనబడలేదు
Job title or role,ఉద్యోగ శీర్షిక లేదా పాత్ర
Join Meeting,మీటింగ్‌లో చేరు
Just now,ఇప్పుడే
just now,ఇప్పుడే
Kanban,Kanban
Kanban Board,Kanban బోర్డ్
Kanban View,Kanban వీక్షణ
Keyboard Shortcuts,కీబోర్డ్ షార్ట్‌కట్లు
Keyboard shortcuts (?),కీబోర్డ్ షార్ట్‌కట్లు (?)
Last checked: {0},Last checked: {0}
Last Updated,చివరిగా అప్‌డేట్ చేయబడింది
Last updated:,చివరిగా అప్‌డేట్:
Last Week,గత వారం
Latest Version,Latest Version
Light,లైట్
Link failed,లింక్ చేయడం విఫలమైంది
Link Task,పనిని లింక్ చేయి
Linked,లింక్ చేయబడింది
Linked employee not found,లింక్ చేయబడిన ఉద్యోగి కనుగొనబడలేదు
Linked Tasks,లింక్ చేయబడిన పనులు
List,జాబితా
List View,జాబితా వీక్షణ
Load failed,లోడ్ చేయడం విఫలమైంది
Load More,మరిన్ని లోడ్ చేయి
Load more comments,మరిన్ని వ్యాఖ్యలు లోడ్ చేయి
Loading activity...,కార్యకలాపం లోడ్ అవుతోంది...
Loading changes...,మార్పులు లోడ్ అవుతున్నాయి...
Loading checklist...,చెక్‌లిస్ట్ లోడ్ అవుతోంది...
Loading comments...,వ్యాఖ్యలు లోడ్ అవుతున్నాయి...
Loading contact...,పరిచయం లోడ్ అవుతోంది...
Loading contacts...,పరిచయాలు లోడ్ అవుతున్నాయి...
Loading dependencies...,ఆధారాలు లోడ్ అవుతున్నాయి...
Loading details...,వివరాలు లోడ్ అవుతున్నాయి...
Loading discussion...,చర్చ లోడ్ అవుతోంది...
Loading events...,ఈవెంట్లు లోడ్ అవుతున్నాయి...
Loading files...,ఫైల్‌లు లోడ్ అవుతున్నాయి...
Loading notes...,గమనికలు లోడ్ అవుతున్నాయి...
Loading preferences...,ప్రాధాన్యతలు లోడ్ అవుతున్నాయి...
Loading project...,ప్రాజెక్టు లోడ్ అవుతోంది...
Loading projects...,ప్రాజెక్టులు లోడ్ అవుతున్నాయి...
Loading replies...,ప్రత్యుత్తరాలు లోడ్ అవుతున్నాయి...
Loading report data...,రిపోర్ట్ డేటా లోడ్ అవుతోంది...
Loading settings...,సెట్టింగ్‌లు లోడ్ అవుతున్నాయి...
Loading task...,పని లోడ్ అవుతోంది...
Loading templates...,టెంప్లేట్లు లోడ్ అవుతున్నాయి...
Loading time logs...,సమయ నమోదులు లోడ్ అవుతున్నాయి...
Loading your portal...,మీ పోర్టల్ లోడ్ అవుతోంది...
Loading...,లోడ్ అవుతోంది...
Location,స్థానం
Log Time,సమయం నమోదు చేయండి
Logout,లాగ్అవుట్
Low,తక్కువ
Make Offer,ఆఫర్ చేయండి
Manager,నిర్వాహకుడు
Manual Entry,మాన్యువల్ ఎంట్రీ
Margin,మార్జిన్
Mark all as read,అన్నీ చదివినట్లు గుర్తించండి
Mark all read,అన్నీ చదివినట్లు గుర్తించు
Mark as read,చదివినట్లు గుర్తించు
Mark as unread,చదవనిదిగా గుర్తించు
Mark read,చదివినదిగా గుర్తించు
Marking...,గుర్తిస్తోంది...
Material,మెటీరియల్
Maybe,బహుశా
Medium,మధ్యస్థం
Meeting,సమావేశం
Meeting Link,సమావేశ లింక్
Meeting title,సమావేశ శీర్షిక
Meeting URL,సమావేశ URL
Meetings,సమావేశాలు
Mention,ప్రస్తావన
Message,సందేశం
Message is required,సందేశం అవసరం
Message is required for '{0}' action,'{0}' చర్యకు సందేశం అవసరం
Migrate,మైగ్రేట్ చేయండి
Migration Complete,మైగ్రేషన్ పూర్తయింది
Migration ID:,మైగ్రేషన్ ID:
Migration log not found: {0},మైగ్రేషన్ లాగ్ కనుగొనబడలేదు: {0}
Milestone,మైలురాయి
milestone,మైలురాయి
Milestone created,మైలురాయి సృష్టించబడింది
Milestone description has been saved.,మైలురాయి వివరణ భద్రపరచబడింది.
Milestone ID is required,మైలురాయి ID అవసరం
Milestone marked as Missed (past due date),మైలురాయి మిస్డ్‌గా గుర్తించబడింది (గడువు తేదీ దాటింది)
Milestone moved,మైలురాయి తరలించబడింది
Milestone Name,మైలురాయి పేరు
Milestone name has been saved.,మైలురాయి పేరు భద్రపరచబడింది.
Milestone name is required,మైలురాయి పేరు అవసరం
Milestone updated,మైలురాయి నవీకరించబడింది
Milestone {0} not found,మైలురాయి {0} కనుగొనబడలేదు
Milestone {0} not in project {1},మైలురాయి {0} ప్రాజెక్ట్ {1}లో లేదు
Milestones,మైలురాళ్లు
milestones,మైలురాళ్లు
Milestones:,మైలురాళ్లు:
Minutes,నిమిషాలు
Missed,మిస్సయింది
Mixed,మిశ్రమం
Mobile,మొబైల్
Moderate,మితమైన
Modified,సవరించబడింది
"Modify details, time, or attendees","వివరాలు, సమయం లేదా హాజరయ్యేవారిని మార్చండి"
Mon,సోమ
Month,నెల
Move failed,తరలింపు విఫలమైంది
Must be a positive number,సానుకూల సంఖ్య అయి ఉండాలి
Must finish before this finishes,ఇది ముగియడానికి ముందు పూర్తి కావాలి
Must finish before this starts,ఇది ప్రారంభమవడానికి ముందు పూర్తి కావాలి
Must start before this finishes,ఇది ముగియడానికి ముందు ప్రారంభమవాలి
Must start before this starts,ఇది ప్రారంభమవడానికి ముందు ప్రారంభమవాలి
My Assignments,నా అసైన్‌మెంట్లు
My Projects,నా ప్రాజెక్ట్‌లు
My Schedule,నా షెడ్యూల్
My Tasks,నా టాస్క్‌లు
N/A,వర్తించదు
Name,పేరు
Name (A-Z),పేరు (A-Z)
Name (Z-A),పేరు (Z-A)
Name cannot exceed 255 characters,పేరు 255 అక్షరాలకు మించకూడదు
Need help?,సహాయం కావాలా?
Needs Attention,దృష్టి అవసరం
Never,Never
new activities,కొత్త యాక్టివిటీలు
New Activity,కొత్త యాక్టివిటీ
New activity,కొత్త యాక్టివిటీ
New Event,కొత్త ఈవెంట్
New index is required,కొత్త ఇండెక్స్ అవసరం
New Project,కొత్త ప్రాజెక్ట్
New tasks will auto-trail by default.,కొత్త టాస్క్‌లు డిఫాల్ట్‌గా ఆటో-ట్రెయిల్ అవుతాయి.
Newest First,కొత్తవి ముందుగా
Next,తదుపరి
Next 14 days,తదుపరి 14 రోజులు
Next 30 days,తదుపరి 30 రోజులు
Next 60 days,తదుపరి 60 రోజులు
Next 7 days,తదుపరి 7 రోజులు
Next 90 days,తదుపరి 90 రోజులు
Next Week,వచ్చే వారం
Next:,తదుపరి:
No,కాదు
No active assignments,యాక్టివ్ అసైన్‌మెంట్లు లేవు
No active projects,యాక్టివ్ ప్రాజెక్ట్‌లు లేవు
No active timer found,యాక్టివ్ టైమర్ కనుగొనబడలేదు
No activity selected,యాక్టివిటీ ఎంపిక కాలేదు
No assignments found,అసైన్‌మెంట్లు కనుగొనబడలేదు
No attendees,హాజరయ్యేవారు లేరు
no change,మార్పు లేదు
No changes for this field.,ఈ ఫీల్డ్‌కు మార్పులు లేవు.
No changes recorded for this activity.,ఈ యాక్టివిటీకి మార్పులు నమోదు కాలేదు.
No checklist items yet,ఇంకా చెక్‌లిస్ట్ అంశాలు లేవు
No checklist items yet.,ఇంకా చెక్‌లిస్ట్ అంశాలు లేవు.
No comments yet,ఇంకా వ్యాఖ్యలు లేవు
No comments yet.,ఇంకా వ్యాఖ్యలు లేవు.
No contacts available,అందుబాటులో ఉన్న సంప్రదింపులు లేవు
No content for this tab,ఈ ట్యాబ్‌కు కంటెంట్ లేదు
No data available,డేటా అందుబాటులో లేదు
No data available for the selected filters,ఎంచుకున్న ఫిల్టర్లకు డేటా అందుబాటులో లేదు
No data to export,ఎగుమతి చేయడానికి డేటా లేదు
No dates set,తేదీలు సెట్ కాలేదు
No defects reported,లోపాలు నివేదించబడలేదు
No dependencies defined,డిపెండెన్సీలు నిర్వచించబడలేదు
No description,వివరణ లేదు
No discussion yet.,ఇంకా చర్చ లేదు.
No documents attached,డాక్యుమెంట్లు జతచేయబడలేదు
No due date,గడువు తేదీ లేదు
No employee linked to this resource,ఈ వనరుకు ఉద్యోగి లింక్ కాలేదు
No ERPNext employee linked to resource,వనరుకు ERPNext ఉద్యోగి లింక్ కాలేదు
No events found,ఈవెంట్లు కనుగొనబడలేదు
No files attached yet.,ఇంకా ఫైళ్లు జతచేయబడలేదు.
No Frappe Project linked,Frappe ప్రాజెక్ట్ లింక్ కాలేదు
No Grouping,గ్రూపింగ్ లేదు
No items,అంశాలు లేవు
No matching tasks,సరిపోయే టాస్క్‌లు లేవు
No matching tasks found,సరిపోయే టాస్క్‌లు కనుగొనబడలేదు
No migration history,మైగ్రేషన్ చరిత్ర లేదు
No Milestone,మైలురాయి లేదు
No milestones,మైలురాళ్లు లేవు
No milestones defined for this project.,ఈ ప్రాజెక్ట్‌కు మైలురాళ్లు నిర్వచించబడలేదు.
No notes yet.,ఇంకా నోట్స్ లేవు.
No notes yet. Add a due diligence note to track progress.,ఇంకా నోట్స్ లేవు. పురోగతిని ట్రాక్ చేయడానికి డ్యూ డిలిజెన్స్ నోట్ జోడించండి.
No notifications,నోటిఫికేషన్లు లేవు
No Orga Project linked to Frappe Project {0},Frappe ప్రాజెక్ట్ {0}కు Orga ప్రాజెక్ట్ లింక్ కాలేదు
No overdue tasks,ఆలస్యమైన టాస్క్‌లు లేవు
No pending cascade changes,పెండింగ్ క్యాస్కేడ్ మార్పులు లేవు
No predecessors - this task can start independently,పూర్వగాములు లేరు - ఈ టాస్క్ స్వతంత్రంగా ప్రారంభమవగలదు
No project,ప్రాజెక్ట్ లేదు
No projects found,ప్రాజెక్ట్‌లు కనుగొనబడలేదు
No Projects Yet,ఇంకా ప్రాజెక్ట్‌లు లేవు
No recent activity,ఇటీవలి యాక్టివిటీ లేదు
No related documents,సంబంధిత డాక్యుమెంట్లు లేవు
No resolved threads.,పరిష్కరించబడిన థ్రెడ్‌లు లేవు.
No resources found,వనరులు కనుగొనబడలేదు
No results found,ఫలితాలు కనుగొనబడలేదు
No skills listed,నైపుణ్యాలు జాబితా చేయబడలేదు
No skills recorded yet,ఇంకా నైపుణ్యాలు నమోదు కాలేదు
No successors - no tasks are waiting for this one,వారసులు లేరు - ఈ టాస్క్ కోసం ఏ టాస్క్‌లు వేచి ఉండటం లేదు
No task selected,టాస్క్ ఎంపిక కాలేదు
No tasks assigned to you,మీకు అసైన్ చేసిన టాస్క్‌లు లేవు
No tasks available to add,జోడించడానికి టాస్క్‌లు అందుబాటులో లేవు
No tasks found,టాస్క్‌లు కనుగొనబడలేదు
No tasks linked to this milestone,ఈ మైలురాయికి టాస్క్‌లు లింక్ కాలేదు
No tasks with dates to display,ప్రదర్శించడానికి తేదీలతో టాస్క్‌లు లేవు
No tasks yet,ఇంకా టాస్క్‌లు లేవు
No team members,బృంద సభ్యులు లేరు
No template,టెంప్లేట్ లేదు
No templates yet,ఇంకా టెంప్లేట్‌లు లేవు
No time data found,సమయ డేటా కనుగొనబడలేదు
No time logged today,ఈ రోజు సమయం నమోదు కాలేదు
No time logged yet,ఇంకా సమయం నమోదు కాలేదు
No time logs for this period,ఈ కాలానికి సమయ లాగ్‌లు లేవు
No time logs found,సమయ లాగ్‌లు కనుగొనబడలేదు
No unread notifications,చదవని నోటిఫికేషన్లు లేవు
No update information available yet.,No update information available yet.
None,ఏదీ లేదు
Not found,కనుగొనబడలేదు
Not permitted,అనుమతి లేదు
Not permitted to access this project,ఈ ప్రాజెక్ట్‌ను యాక్సెస్ చేయడానికి అనుమతి లేదు
Not permitted to access this task,ఈ టాస్క్‌ను యాక్సెస్ చేయడానికి అనుమతి లేదు
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ఈ డాక్యుమెంట్‌పై వ్యాఖ్యానించడానికి అనుమతి లేదు
Not permitted to create clients,క్లయింట్‌లను సృష్టించడానికి అనుమతి లేదు
Not permitted to delete this client,ఈ క్లయింట్‌ను తొలగించడానికి అనుమతి లేదు
Not permitted to delete this defect,ఈ లోపాన్ని తొలగించడానికి అనుమతి లేదు
Not permitted to delete this note,ఈ నోట్‌ను తొలగించడానికి అనుమతి లేదు
Not permitted to delete this project,ఈ ప్రాజెక్ట్‌ను తొలగించడానికి అనుమతి లేదు
Not permitted to delete this task,ఈ టాస్క్‌ను తొలగించడానికి అనుమతి లేదు
Not permitted to delete this time log,ఈ సమయ లాగ్‌ను తొలగించడానికి అనుమతి లేదు
Not permitted to invite clients,క్లయింట్‌లను ఆహ్వానించడానికి అనుమతి లేదు
Not permitted to modify client access,క్లయింట్ యాక్సెస్‌ను మార్చడానికి అనుమతి లేదు
Not permitted to modify this project,ఈ ప్రాజెక్ట్‌ను మార్చడానికి అనుమతి లేదు
Not permitted to update settings,సెట్టింగ్‌లను నవీకరించడానికి అనుమతి లేదు
Not permitted to update this client,ఈ క్లయింట్‌ను నవీకరించడానికి అనుమతి లేదు
Not permitted to view this client,ఈ క్లయింట్‌ను చూడడానికి అనుమతి లేదు
not sent,పంపబడలేదు
Not set,సెట్ కాలేదు
Not specified,పేర్కొనబడలేదు
Note,నోట్
Note (optional),నోట్ (ఐచ్ఛికం)
Note Content,నోట్ కంటెంట్
Note content is required,నోట్ కంటెంట్ అవసరం
Note name is required,నోట్ పేరు అవసరం
Note not found,నోట్ కనుగొనబడలేదు
Note Type,నోట్ రకం
Notes,నోట్స్
Notification,నోటిఫికేషన్
Notification not found,నోటిఫికేషన్ కనుగొనబడలేదు
Notifications,నోటిఫికేషన్లు
Off Track,ట్రాక్ తప్పింది
Offer,ఆఫర్
Offer Prepared,ఆఫర్ సిద్ధమైంది
Oldest First,పాతవి ముందుగా
On Hold,హోల్డ్‌లో ఉంది
On Leave,సెలవులో
On Track,ట్రాక్‌లో ఉంది
On-Time Rate,సకాలంలో రేటు
Only administrators can delete activities,నిర్వాహకులు మాత్రమే యాక్టివిటీలను తొలగించగలరు
Only the comment author or administrators can delete comments,వ్యాఖ్య రచయిత లేదా నిర్వాహకులు మాత్రమే వ్యాఖ్యలను తొలగించగలరు
Only you and admins,మీరు మరియు అడ్మిన్‌లు మాత్రమే
Open,తెరిచి ఉంది
Open in Desk,డెస్క్‌లో తెరవండి
Open Task Log,టాస్క్ లాగ్ తెరవండి
Open Tasks,తెరిచిన టాస్క్‌లు
Optional,ఐచ్ఛికం
optional,ఐచ్ఛికం
Or email us directly at,లేదా నేరుగా మాకు ఇమెయిల్ చేయండి
Orga Project {0} from Frappe Projects,Frappe ప్రాజెక్ట్‌ల నుండి Orga ప్రాజెక్ట్ {0}
Orga Task {0} from Frappe,Frappe నుండి Orga టాస్క్ {0}
Organizer,నిర్వాహకుడు
Other,ఇతరం
Over Budget,బడ్జెట్ మించిపోయింది
Overall Progress,మొత్తం పురోగతి
Overall Utilization,మొత్తం వినియోగం
Overallocated,అధికంగా కేటాయించబడింది
