+ Add Milestone,+ Tilfoej milepael
Last updated:,Sidst opdateret:
Last Week,Sidste uge
Latest Version,Latest Version
Light,Lys
Link failed,Linking mislykkedes
Link Task,Link opgave
Linked,Linket
Linked employee not found,Linket medarbejder ikke fundet
Linked Tasks,Linkede opgaver
List,Liste
List View,Listevisning
Load failed,Indlaesning mislykkedes
Load More,Indlaes flere
Load more comments,Indlaes flere kommentarer
Loading activity...,Indlaeser aktivitet...
Loading changes...,Indlaeser aendringer...
Loading checklist...,Indlaeser tjekliste...
Loading comments...,Indlaeser kommentarer...
Loading contact...,Indlaeser kontakt...
Loading contacts...,Indlaeser kontakter...
Loading dependencies...,Indlaeser afhaengigheder...
Loading details...,Indlaeser detaljer...
Loading discussion...,Indlaeser diskussion...
Loading events...,Indlaeser begivenheder...
Loading files...,Indlaeser filer...
Loading notes...,Indlaeser noter...
Loading preferences...,Indlaeser indstillinger...
Loading project...,Indlaeser projekt...
Loading projects...,Indlaeser projekter...
Loading replies...,Indlaeser svar...
Loading report data...,Indlaeser rapportdata...
Loading settings...,Indlaeser indstillinger...
Loading task...,Indlaeser opgave...
Loading templates...,Indlaeser skabeloner...
Loading time logs...,Indlaeser tidsposter...
Loading your portal...,Indlaeser din portal...
Loading...,Indlaeser...
Location,Sted
Log Time,Registrer tid
Logout,Log ud
Low,Lav
Make Offer,Opret tilbud
Manager,Leder
Manual Entry,Manuel indtastning
Margin,Margin
Mark all as read,Marker alle som laest
Mark all read,Marker alle som laest
Mark as read,Marker som laest
Mark as unread,Marker som ulaest
Mark read,Marker som laest
Marking...,Markerer...
Material,Materiale
Maybe,Maaske
Medium,Middel
Meeting,Moede
Meeting Link,Moedelink
Meeting title,Moedetitel
Meeting URL,Moede-URL
Meetings,Moeder
Mention,Naevn
Message,Besked
Message is required,Besked er paakraevet
Message is required for '{0}' action,"Besked er paakraevet for handlingen ""{0}"""
Migrate,Migrér
Migration Complete,Migrering faerdig
Migration ID:,Migrerings-ID:
Migration log not found: {0},Migreringslog ikke fundet: {0}
Milestone,Milepael
milestone,milepael
Milestone created,Milepael oprettet
Milestone description has been saved.,Milepael-beskrivelse er gemt.
Milestone ID is required,Milepael-ID er paakraevet
Milestone marked as Missed (past due date),Milepael markeret som overskredet (forfaldsdato passeret)
Milestone moved,Milepael flyttet
Milestone Name,Milepael-navn
Milestone name has been saved.,Milepael-navn er gemt.
Milestone name is required,Milepael-navn er paakraevet
Milestone updated,Milepael opdateret
Milestone {0} not found,Milepael {0} ikke fundet
Milestone {0} not in project {1},Milepael {0} findes ikke i projekt {1}
Milestones,Milepaele
milestones,milepaele
Milestones:,Milepaele:
Minutes,Minutter
Missed,Overskredet
Mixed,Blandet
Mobile,Mobil
Moderate,Moderat
Modified,AEndret
"Modify details, time, or attendees","Ændre detaljer, tid eller deltagere"
Mon,Man
Month,Maned
Move failed,Flytning mislykkedes
Must be a positive number,Skal vaere et positivt tal
Must finish before this finishes,Skal slutte foer dette slutter
Must finish before this starts,Skal slutte foer dette starter
Must start before this finishes,Skal starte foer dette slutter
Must start before this starts,Skal starte foer dette starter
My Assignments,Mine tildelinger
My Projects,Mine projekter
My Schedule,Min tidsplan
My Tasks,Mine opgaver
N/A,I/T
Name,Navn
Name (A-Z),Navn (A-AA)
Name (Z-A),Navn (AA-A)
Name cannot exceed 255 characters,Navn kan ikke overstige 255 tegn
Need help?,Brug for hjaelp?
Needs Attention,Kraever opmaerksomhed
Never,Never
new activities,nye aktiviteter
New Activity,Ny aktivitet
New activity,Ny aktivitet
New Event,Ny begivenhed
New index is required,Nyt indeks er paakraevet
New Project,Nyt projekt
New tasks will auto-trail by default.,Nye opgaver far automatisk glidende start som standard.
Newest First,Nyeste foerst
Next,Naeste
Next 14 days,Naeste 14 dage
Next 30 days,Naeste 30 dage
Next 60 days,Naeste 60 dage
Next 7 days,Naeste 7 dage
Next 90 days,Naeste 90 dage
Next Week,Naeste uge
Next:,Naeste:
No,Nej
No active assignments,Ingen aktive tildelinger
No active projects,Ingen aktive projekter
No active timer found,Ingen aktiv tidtager fundet
No activity selected,Ingen aktivitet valgt
No assignments found,Ingen tildelinger fundet
No attendees,Ingen deltagere
no change,ingen aendring
No changes for this field.,Ingen aendringer for dette felt.
No changes recorded for this activity.,Ingen aendringer registreret for denne aktivitet.
No checklist items yet,Ingen tjeklistepunkter endnu
No checklist items yet.,Ingen tjeklistepunkter endnu.
No comments yet,Ingen kommentarer endnu
No comments yet.,Ingen kommentarer endnu.
No contacts available,Ingen kontakter tilgaengelige
No content for this tab,Intet indhold for denne fane
No data available,Ingen data tilgaengelige
No data available for the selected filters,Ingen data tilgaengelige for valgte filtre
No data to export,Ingen data at eksportere
No dates set,Ingen datoer angivet
No defects reported,Ingen defekter rapporteret
No dependencies defined,Ingen afhaengigheder defineret
No description,Ingen beskrivelse
No discussion yet.,Ingen diskussion endnu.
No documents attached,Ingen dokumenter vedhaengt
No due date,Ingen forfaldsdato
No employee linked to this resource,Ingen medarbejder linket til denne ressource
No ERPNext employee linked to resource,Ingen ERPNext-medarbejder linket til ressource
No events found,Ingen begivenheder fundet
No files attached yet.,Ingen filer vedhaengt endnu.
No Frappe Project linked,Intet Frappe-projekt linket
No Grouping,Ingen gruppering
No items,Ingen elementer
No matching tasks,Ingen matchende opgaver
No matching tasks found,Ingen matchende opgaver fundet
No migration history,Ingen migreringshistorik
No Milestone,Ingen milepael
No milestones,Ingen milepaele
No milestones defined for this project.,Ingen milepaele defineret for dette projekt.
No notes yet.,Ingen noter endnu.
No notes yet. Add a due diligence note to track progress.,Ingen noter endnu. Tilfoej en forhaandsgennemgangsnote for at foelge fremskridtet.
No notifications,Ingen notifikationer
No Orga Project linked to Frappe Project {0},Intet Orga-projekt linket til Frappe-projekt {0}
No overdue tasks,Ingen forsinkede opgaver
No pending cascade changes,Ingen ventende kaskadeaendringer
No predecessors - this task can start independently,Ingen forgaengere -- denne opgave kan starte uafhaengigt
No project,Intet projekt
No projects found,Ingen projekter fundet
No Projects Yet,Ingen projekter endnu
No recent activity,Ingen nylig aktivitet
No related documents,Ingen relaterede dokumenter
No resolved threads.,Ingen loeste trade.
No resources found,Ingen ressourcer fundet
No results found,Ingen resultater fundet
No skills listed,Ingen kompetencer opfoert
No skills recorded yet,Ingen kompetencer registreret endnu
No successors - no tasks are waiting for this one,Ingen efterfoelgere -- ingen opgaver venter pa denne
No task selected,Ingen opgave valgt
No tasks assigned to you,Ingen opgaver tildelt dig
No tasks available to add,Ingen opgaver tilgaengelige at tilfoeje
No tasks found,Ingen opgaver fundet
No tasks linked to this milestone,Ingen opgaver linket til denne milepael
No tasks with dates to display,Ingen opgaver med datoer at vise
No tasks yet,Ingen opgaver endnu
No team members,Ingen teammedlemmer
No template,Ingen skabelon
No templates yet,Ingen skabeloner endnu
No time data found,Ingen tidsdata fundet
No time logged today,Ingen tid registreret i dag
No time logged yet,Ingen tid registreret endnu
No time logs for this period,Ingen tidsposter for denne periode
No time logs found,Ingen tidsposter fundet
No unread notifications,Ingen ulaeste notifikationer
No update information available yet.,No update information available yet.
None,Ingen
Not found,Ikke fundet
Not permitted,Ikke tilladt
Not permitted to access this project,Ikke tilladt at tilga dette projekt
Not permitted to access this task,Ikke tilladt at tilga denne opgave
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ikke tilladt at kommentere dette dokument
Not permitted to create clients,Ikke tilladt at oprette klienter
Not permitted to delete this client,Ikke tilladt at slette denne klient
Not permitted to delete this defect,Ikke tilladt at slette denne defekt
Not permitted to delete this note,Ikke tilladt at slette denne note
Not permitted to delete this project,Ikke tilladt at slette dette projekt
Not permitted to delete this task,Ikke tilladt at slette denne opgave
Not permitted to delete this time log,Ikke tilladt at slette denne tidspost
Not permitted to invite clients,Ikke tilladt at invitere klienter
Not permitted to modify client access,Ikke tilladt at aendre klientadgang
Not permitted to modify this project,Ikke tilladt at aendre dette projekt
Not permitted to update settings,Ikke tilladt at opdatere indstillinger
Not permitted to update this client,Ikke tilladt at opdatere denne klient
Not permitted to view this client,Ikke tilladt at vise denne klient
not sent,ikke sendt
Not set,Ikke angivet
Not specified,Ikke specificeret
Note,Note
Note (optional),Note (valgfrit)
Note Content,Noteindhold
Note content is required,Noteindhold er paakraevet
Note name is required,Notenavn er paakraevet
Note not found,Note ikke fundet
Note Type,Notetype
Notes,Noter
Notification,Notifikation
Notification not found,Notifikation ikke fundet
Notifications,Notifikationer
Off Track,Ude af kurs
Offer,Tilbud
Offer Prepared,Tilbud forberedt
Oldest First,AEldst foerst
On Hold,I bero
On Leave,Pa orlov
On Track,Pa sporet
On-Time Rate,Rettidighed
Only administrators can delete activities,Kun administratorer kan slette aktiviteter
Only the comment author or administrators can delete comments,Kun kommentarforfatteren eller administratorer kan slette kommentarer
Only you and admins,Kun dig og administratorer
Open,Aben
Open in Desk,Abn i Desk
Open Task Log,Abn opgavelog
Open Tasks,Abne opgaver
Optional,Valgfrit
optional,valgfrit
Or email us directly at,Eller send os e-mail direkte pa
Orga Project {0} from Frappe Projects,Orga-projekt {0} fra Frappe Projects
Orga Task {0} from Frappe,Orga-opgave {0} fra Frappe
Organizer,Arrangoe
Other,Andet
Over Budget,Over budget
Overall Progress,Samlet fremskridt
Overall Utilization,Samlet udnyttelse
Overallocated,Overtildelt
Overdue,Forsinket
overdue,forsinket
Overdue Tasks,Forsinkede opgaver
Overview,Oversigt
Owner,Ejer
Page Not Found,Siden blev ikke fundet
Parent,Overordnet
Parent comment must belong to the same document,Overordnet kommentar skal tilhoere samme dokument
Parent comment not found,Overordnet kommentar ikke fundet
Parent project not synced to Frappe yet,Overordnet projekt er ikke synkroniseret med Frappe endnu
Parent project sync not enabled,Overordnet projektsynkronisering er ikke aktiveret
Partner,Partner
Pending,Ventende
per page,per side
Perform initial assessment and background check,Udfoed indledende vurdering og baggrundstjek
Permanently remove this event,Fjern denne begivenhed permanent
Permanently remove this task,Fjern denne opgave permanent
Phone,Telefon
Pin,Fastgoer
Pin Activity,Fastgoer aktivitet
Pin to top,Fastgoer oeverst
Pinned,Fastgjort
Planned budget for this task,Planlagt budget for denne opgave
Planning,Planlaegning
Please describe your question or issue in detail...,Beskriv dit spoergsmal eller problem i detaljer...
Please login to access Orga,Log ind for at fa adgang til Orga
Please login to access the client portal,Log ind for at fa adgang til klientportalen
Please respond to this invitation in Orga,Svar pa denne invitation i Orga
Please select an image file,Vaelg en billedfil
Please try again,Proev igen
Please type,Skriv
Portal,Portal
Portal access revoked for {0},Portaladgang tilbagekaldt for {0}
Portal user created successfully. Welcome email {0},Portalbruger oprettet. Velkomst-e-mail {0}
Post,Publicer
Powered by,Drevet af
Powered by Tonic,Drevet af Tonic
Predecessors (Blocked By),Forgaengere (blokeret af)
Preferences,Indstillinger
Preferences saved successfully,Indstillinger gemt
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Praefiks for automatisk genererede projektkoder (f.eks. ORG-2026-0001)
Prepare and document offer terms,Forbered og dokumenter tilbudsvilkar
Press,Tryk
Preview,Forhaandsvisning
Preview cascade before applying,Forhaandsvis kaskade foer anvendelse
Previous,Forrige
Priority,Prioritet
Priority assigned to new tasks,Prioritet tildelt nye opgaver
Priority updated,Prioritet opdateret
Proficiency,Kompetenceniveau
Profile,Profil
Progress,Fremskridt
Progress (High-Low),Fremskridt (faldende)
Progress (Low-High),Fremskridt (stigende)
Progress Overview,Fremskridtsoversigt
Progress updated,Fremskridt opdateret
Project,Projekt
Project budget has been saved.,Projektbudgettet er gemt.
Project code (e.g. ORG-2026-0001),Projektkode (f.eks. ORG-2026-0001)
Project Code Prefix,Projektkodepraefiks
Project created,Projekt oprettet
Project deleted,Projekt slettet
Project description has been saved.,Projektbeskrivelsen er gemt.
Project Details,Projektdetaljer
Project end date has been saved.,Projektets slutdato er gemt.
Project Files,Projektfiler
Project has no linked client,Projektet har ingen tilknyttet klient
Project Health,Projektsundhed
Project Info,Projektinformation
Project is required,Projekt er paakraevet
Project is required for project context,Projekt er paakraevet for projektkontekst
Project is required when tracking context is 'project',"Projekt er paakraevet nar sporingskonteksten er ""projekt"""
Project Manager,Projektleder
Project Name,Projektnavn
Project name and template name are required,Projektnavn og skabelonnavn er paakraevet
Project name is required,Projektnavn er paakraevet
Project not found,Projekt ikke fundet
Project not found or you do not have access,Projekt ikke fundet eller du mangler adgang
Project settings,Projektindstillinger
Project start date has been saved.,Projektets startdato er gemt.
Project title has been saved.,Projektets titel er gemt.
Project Type,Projekttype
Project updated,Projekt opdateret
Project {0} linked to client {1},Projekt {0} tilknyttet klient {1}
Project {0} not found,Projekt {0} ikke fundet
Project {0} to Frappe Projects,Projekt {0} til Frappe Projects
Project:,Projekt:
Projects,Projekter
projects,projekter
Projects created:,Projekter oprettet:
Projects Overview,Projektoversigt
Projects skipped:,Projekter sprunget over:
Projects updated:,Projekter opdateret:
Promote failed,Forfremmelse mislykkedes
Promote to task,Forfrem til opgave
Promoted to task,Forfremmet til opgave
Propose,Foresla
Propose New Time,Foresla nyt tidspunkt
Propose Time,Foresla tidspunkt
Proposed End,Foreslaaet slut
Proposed Start,Foreslaaet start
Public,Offentlig
Quick Action,Hurtighandling
Quick Actions,Hurtighandlinger
Quick Stats,Hurtigstatistik
Rates,Satser
Receive notifications via email,Modtag notifikationer via e-mail
Receive notifications within the application,Modtag notifikationer i applikationen
Recent Activity,Nylig aktivitet
Recipient {0} is not a valid user,Modtager {0} er ikke en gyldig bruger
Reference,Reference
Refresh,Opdater
Related,Relateret
Related Company (optional),Relateret virksomhed (valgfrit)
Related Documents,Relaterede dokumenter
Related Project,Relateret projekt
Remaining,Tilbagestaende
Reminder,Paamindelse
Reminder Lead Time,Paamindelsestid paa forhaand
Reminder: {0} - {1} at {2},Paamindelse: {0} - {1} kl. {2}
Remove,Fjern
Remove dependency,Fjern afhaengighed
Remove dependency on,Fjern afhaengighed af
Remove from group,Fjern fra gruppe
Remove group dependency,Fjern gruppeafhaengighed
Remove skill,Fjern kompetence
Reopen,Genabn
Reopen thread,Genabn trad
reopened,genabnet
replies,svar
Reply,Svar
reply,svar
Replying to,Svarer pa
Replying to comment,Svarer pa kommentar
Report Defect,Rapporter defekt
Reported Date,Rapporteret dato
Reports,Rapporter
Reports To,Rapporterer til
Request Submitted!,Anmodning sendt!
Required,Paakraevet
required,paakraevet
Research,Forskning
Reset to Defaults,Nulstil til standard
Resolve,Loes
Resolve thread,Loes trad
Resolved,Loest
Resolved date cannot be before reported date,Loesningsdato kan ikke vaere foer rapporteringsdato
Resource,Ressource
Resource and skill name are required,Ressource og kompetencenavn er paakraevet
Resource is already an attendee,Ressourcen er allerede en deltager
Resource name is required,Ressourcenavn er paakraevet
Resource not found,Ressource ikke fundet
Resource synced from employee {0},Ressource synkroniseret fra medarbejder {0}
Resource {0} is already assigned to this task ({1}),Ressource {0} er allerede tildelt denne opgave ({1})
Resource {0} not found,Ressource {0} ikke fundet
Resources,Kontakter
Retry,Proev igen
Review,Gennemgang
Review all relevant documents and contracts,Gennemga alle relevante dokumenter og kontrakter
Reviews,Gennemgange
Risk Assessment,Risikovurdering
Rollback,Fortryd
Rolled back,Fortrudt
Room or address,Lokale eller adresse
RSVP,RSVP
Safety,Sikkerhed
Sat,Loer
Save,Gem
"Save a project as a template, or import one from a JSON file.","Gem et projekt som skabelon, eller importér en fra en JSON-fil."
Save as Template,Gem som skabelon
Save Changes,Gem aendringer
Save failed,Gemning mislykkedes
Save Preferences,Gem indstillinger
Save Template,Gem skabelon
Saving...,Gemmer...
Schedule,Tidsplan
Schedule type is required for scheduled triggers,Tidsplantype er paakraevet for planlagte udloesere
Scheduled,Planlagt
Search,Soeg
"Search by name, email, or skill...","Soeg efter navn, e-mail eller kompetence..."
Search for a project...,Soeg efter et projekt...
Search for a task...,Soeg efter en opgave...
Search for an event...,Soeg efter en begivenhed...
Search for people to invite...,Soeg efter personer at invitere...
Search tasks to link...,Soeg opgaver at linke...
Search tasks...,Soeg opgaver...
Search...,Soeg...
Searching...,Soeger...
Seen,Set
Select a project if your request is related to a specific project.,Vaelg et projekt hvis din anmodning vedroerer et bestemt projekt.
Select a project...,Vaelg et projekt...
Select a task from the Gantt chart to view and manage its details.,Vaelg en opgave fra Gantt-diagrammet for at se og haandtere dens detaljer.
Select a task from the list or Kanban board to view and manage its details.,Vaelg en opgave fra listen eller Kanban-tavlen for at se og haandtere dens detaljer.
Select a template...,Vaelg en skabelon...
Select priority...,Vaelg prioritet...
Select status...,Vaelg status...
Select task...,Vaelg opgave...
Select type...,Vaelg type...
Selection,Udvalg
Send,Send
Send comment,Send kommentar
Send email invitations to attendees,Send e-mailinvitationer til deltagere
Send Invitations,Send invitationer
Send notification when a task is assigned to a user,Send notifikation nar en opgave tildeles en bruger
Send notification when task status changes,Send notifikation nar opgavestatus aendres
Send reminder before task due date,Send paamindelse foer opgavens forfaldsdato
sent,sendt
Set rate,Angiv sats
Settings,Indstillinger
Settings saved successfully,Indstillinger gemt
Severity,Alvorsgrad
SF (Start-Finish),SF (Start-Slut)
SF - Start-to-Finish,SF - Start-til-Slut
Show,Vis
Show all,Vis alle
Show all changes,Vis alle aendringer
Show Archived,Vis arkiverede
Show full diff,Vis fuld forskel
Show less,Vis mindre
Show more,Vis mere
Skill added,Kompetence tilfojet
Skill is required,Kompetence er paakraevet
Skill Name,Kompetencenavn
Skill removed,Kompetence fjernet
Skill {0} already exists for this resource,Kompetence {0} eksisterer allerede for denne ressource
Skills,Kompetencer
Skills & Competencies,Faerdigheder og kompetencer
Skip already migrated projects,Spring allerede migrerede projekter over
Sort by,Sortér efter
Sort: Due Date,Sortering: Forfaldsdato
Sort: Priority,Sortering: Prioritet
Sort: Project,Sortering: Projekt
Sort: Status,Sortering: Status
Sort: Task,Sortering: Opgave
Source Code,Kildekode
Spent,Forbrugt
Spent:,Forbrugt:
SS (Start-Start),SS (Start-Start)
SS - Start-to-Start,SS - Start-til-Start
Standalone,Selvstaendig
Start,Start
Start a discussion below,Start en diskussion nedenfor
Start Date,Startdato
Start date,Startdato
Start Date (Earliest),Startdato (tidligst)
Start date updated,Startdato opdateret
Start date/time is required,Startdato/-tid er paakraevet
Start Migration,Start migrering
Start the conversation below.,Begynd samtalen nedenfor.
Start Timer,Start tidtager
Start typing to search...,Begynd at skrive for at soege...
Start-to-Finish,Start-til-Slut
Start-to-Start,Start-til-Start
Start:,Start:
Statistics reset,Statistik nulstillet
Status,Status
Status assigned to new projects,Status tildelt nye projekter
Status assigned to new tasks,Status tildelt nye opgaver
Status Changes,Statusaendringer
Status updated,Status opdateret
Status:,Status:
Stop,Stop
Stop & Save,Stop og gem
Stop Timer,Stop tidtager
Stops current timer and starts for this event,Stopper aktuel tidtager og starter for denne begivenhed
Stops current timer and starts for this task,Stopper aktuel tidtager og starter for denne opgave
Subject,Emne
Subject cannot exceed 255 characters,Emne kan ikke overstige 255 tegn
Subject is required,Emne er paakraevet
Submit,Indsend
Submit Another Request,Indsend en ny anmodning
Submit Request,Indsend anmodning
Submitting...,Indsender...
Successfully saved,Gemt
Successors (Blocking),Efterfoelgere (blokerer)
Sun,Soen
Supplier,Leverandoer
Support,Support
Switch to this event,Skift til denne begivenhed
Switch to this task,Skift til denne opgave
Sync direction is set to Frappe to Orga only,Synkroniseringsretning er sat til kun Frappe til Orga
Sync direction is set to Orga to Frappe only,Synkroniseringsretning er sat til kun Orga til Frappe
Sync not enabled for this project,Synkronisering er ikke aktiveret for dette projekt
System,System
Table,Tabel
Take ownership of this task,Tag ansvar for denne opgave
Target Date,Maldato
Target End,Malslut
Target Project,Malprojekt
Target user is required for '{0}' action,"Malbruger er paakraevet for handlingen ""{0}"""
Task,Opgave
task,opgave
Task '{0}' is due on {1}.,"Opgave ""{0}"" forfalder {1}."
Task and resource are required,Opgave og ressource er paakraevet
Task Assignment,Opgavetildeling
Task cannot be its own parent,En opgave kan ikke vaere sin egen overordnet
Task cannot depend on itself,En opgave kan ikke afhaenge af sig selv
Task cannot depend on the group it belongs to,En opgave kan ikke afhaenge af gruppen den tilhoerer
Task created,Opgave oprettet
Task deleted,Opgave slettet
Task description has been saved.,Opgavebeskrivelsen er gemt.
Task Details,Opgavedetaljer
Task due in {0} days: {1},Opgave forfalder om {0} dage: {1}
Task due today: {0},Opgave forfalder i dag: {0}
Task due tomorrow: {0},Opgave forfalder i morgen: {0}
Task duplicated,Opgave kopieret
Task Group,Opgavegruppe
Task ID is required,Opgave-ID er paakraevet
Task is blocked by incomplete dependencies,Opgaven er blokeret af ufuldstaendige afhaengigheder
Task is cancelled,Opgaven er annulleret
Task is completed,Opgaven er faerdiggjort
Task is no longer blocked by a group,Opgaven er ikke laengere blokeret af en gruppe
Task is required for task context,Opgave er paakraevet for opgavekontekst
Task is required when tracking context is 'task',"Opgave er paakraevet nar sporingskonteksten er ""opgave"""
Task linked,Opgave linket
Task moved,Opgave flyttet
Task name,Opgavenavn
Task name is required,Opgavenavn er paakraevet
Task removed from group,Opgave fjernet fra gruppe
Task Subject,Opgaveemne
Task subject is required,Opgaveemne er paakraevet
Task Type,Opgavetype
Task unblocked: {0},Opgave afblokeret: {0}
Task unlinked,Opgave aflinket
Task updated,Opgave opdateret
Task {0} not found,Opgave {0} ikke fundet
Task {0} not in project {1},Opgave {0} findes ikke i projekt {1}
Task {0} to Frappe,Opgave {0} til Frappe
Tasks,Opgaver
tasks,opgaver
Tasks and milestones will be created with dates relative to the project start date.,Opgaver og milepaele oprettes med datoer relative til projektets startdato.
Tasks assigned to you across all projects.,Opgaver tildelt dig i alle projekter.
Tasks created:,Opgaver oprettet:
Tasks from projects you manage.,Opgaver fra projekter du leder.
Tasks updated:,Opgaver opdateret:
"Tasks, milestones, and dependencies have been created.","Opgaver, milepaele og afhaengigheder er oprettet."
Tasks:,Opgaver:
TBD,Ikke afgjort
Team,Team
Team Members,Teammedlemmer
Template,Skabelon
Template applied,Skabelon anvendt
Template data is required in import data,Skabelondata er paakraevet i importdata
Template has no data,Skabelonen har ingen data
Template Name,Skabelonnavn
Template name,Skabelonnavn
Template name is required,Skabelonnavn er paakraevet
Template name is required in import data,Skabelonnavn er paakraevet i importdata
Template saved,Skabelon gemt
Template updated successfully.,Skabelon opdateret.
Template {0} not found,Skabelon {0} ikke fundet
Templates,Skabeloner
Tentative,Foreloebig
The comment has been deleted,Kommentaren er slettet
The project,Projektet
The source document may have been deleted.,Kildedokumentet kan vaere slettet.
The source document will not be affected.,Kildedokumentet paavirkes ikke.
The status of '{0}' was changed from {1} to {2}.,"Statusen for ""{0}"" blev aendret fra {1} til {2}."
Theme,Tema
Theme preference,Temaindstilling
This action,Denne handling
This action cannot be undone.,Denne handling kan ikke fortrydes.
This activity has been flagged for attention,Denne aktivitet er flagget for opmaerksomhed
This is a reminder for your upcoming appointment,Dette er en paamindelse om dit kommende moede
This method is only meant for developer mode,Denne metode er kun beregnet til udviklertilstand
This page wandered off,This page wandered off
This Week,Denne uge
This will delete all notes and preferences associated with this activity.,Dette sletter alle noter og indstillinger tilknyttet denne aktivitet.
This will import all Frappe Projects into Orga. Continue?,Dette importerer alle Frappe-projekter til Orga. Fortsaet?
This will permanently delete,Dette sletter permanent
This will permanently delete:,Dette sletter permanent:
Thu,Tor
Time,Tid
Time & Billing,Tid og fakturering
Time & Revenue,Tid og indtaegt
Time Entries,Tidsposter
Time log name is required,Navn pa tidspost er paakraevet
Time Log not found,Tidspost ikke fundet
Time log {0} not found,Tidspost {0} ikke fundet
Time Logs,Tidsposter
Time Summary,Tidsoversigt
Time Tracking,Tidsregistrering
Timeline,Tidslinje
Timer active on,Tidtager aktiv pa
Timer is not running,Tidtageren er ikke i gang
Timer Running,Tidtager i gang
Timer running,Tidtager i gang
Timesheet DocType not available,DocType for tidsregistrering ikke tilgaengelig
Timesheets,Tidsregistreringer
Timezone,Tidszone
Timezone is detected from your browser,Tidszone registreres fra din browser
Title,Titel
Title cannot exceed 255 characters,Titel kan ikke overstige 255 tegn
Title is required,Titel er paakraevet
Title updated,Titel opdateret
To,Til
to,til
to cancel,for at annullere
to close,for at lukke
to confirm:,for at bekraefte:
to edit,for at redigere
"to save,","for at gemme,"
To Time cannot be before From Time,Sluttid kan ikke vaere foer starttid
Today,I dag
today,i dag
Toggle billable,Skift fakturerbar
Toggle Details Panel,Vis/skjul detaljepanelet
Toggle Manager Panel,Vis/skjul lederpanelet
Toggle Sidebar,Vis/skjul sidepanelet
Tomorrow,I morgen
tomorrow,i morgen
Total,I alt
Total Budget,Samlet budget
Total Contacts,Samlet antal kontakter
Total Cost,Samlet omkostning
Total Cost to Org,Samlet omkostning for organisationen
Total Defect Cost,Samlet defektomkostning
Total Hours,Samlet antal timer
Total Hours Logged,Samlet antal registrerede timer
Total Projects,Samlet antal projekter
Total Spent,Samlet forbrugt
Total Tasks,Samlet antal opgaver
Total:,I alt:
Tracked,Fulgt
trails to today while Open at 0%,glider til i dag mens Aben ved 0%
Tried:,Tried:
Try adjusting your filter criteria,Proev at justere dine filterkriterier
Try adjusting your filters.,Proev at justere dine filtre.
Try Again,Proev igen
Tue,Tir
Type,Type
Type updated,Type opdateret
Type:,Type:
Typical response time: 1-2 business days,Typisk svartid: 1-2 hverdage
Unarchive,Afarkiver
Unarchive Activity,Afarkiver aktivitet
Unassign,Fjern tildeling
Unassigned,Ikke tildelt
Under Budget,Under budget
Ungrouped,Ugrupperet
Unknown,Ukendt
Unknown error,Ukendt fejl
Unlink failed,Aflinking mislykkedes
Unlink task from milestone,Aflink opgave fra milepael
Unpin,Frigoe
Unpin Activity,Frigoe aktivitet
Unread,Ulaest
Unread only,Kun ulaeste
Until,Indtil
Up to Date,Up to Date
Upcoming,Kommende
upcoming,kommende
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Opdatering mislykkedes
Updated,Opdateret
Updated successfully,Opdateret
Updates,Updates
Upload,Upload
Upload failed,Upload mislykkedes
Upload files below to attach them to this task.,Upload filer nedenfor for at vedhaenge dem til denne opgave.
Upload to project,Upload til projekt
Uploading...,Uploader...
Urgent,Haster
User {0} is already linked to client {1},Bruger {0} er allerede linket til klient {1}
User {0} is already linked to resource {1},Bruger {0} er allerede linket til ressource {1}
Utilization,Udnyttelse
Valid,Gyldig
Value:,Vaerdi:
Variance,Afvigelse
Variance:,Afvigelse:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Vis
View All,Vis alle
View all active projects,Vis alle aktive projekter
View all open tasks,Vis alle abne opgaver
View overdue tasks,Vis forsinkede opgaver
View Release,View Release
Visibility,Synlighed
Waiting for this task,Venter pa denne opgave
Waits for:,Venter pa:
Warning: Resource {0} status is {1},Advarsel: Ressource {0} har status {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Advarsel: HTTP bruges i stedet for HTTPS. Webhook-data er muligvis ikke sikre.
Watch budget closely,Overvaag budgettet noeje
We'll respond to:,Vi svarer til:
Webhook deleted,Webhook slettet
Webhook name is required,Webhook-navn er paakraevet
Webhook not found,Webhook ikke fundet
Webhook URL is required,Webhook-URL er paakraevet
Webhook URL must start with http:// or https://,Webhook-URL skal starte med http:// eller https://
Wed,Ons
Week,Uge
Weekend,Weekend
Weekly Capacity,Ugekapacitet
weekly capacity,ugekapacitet
Weekly Capacity (h),Ugekapacitet (t)
Welcome,Velkommen
Welcome back!,Velkommen tilbage!
Welcome to Orga,Velkommen til Orga
What are you working on?,Hvad arbejder du pa?
What did you work on?,Hvad arbejdede du pa?
When,Hvornaar
When work begins,Nar arbejdet begynder
When work is due,Nar arbejdet forfalder
Where,Hvor
Will capture:,Vil fange:
Will create:,Vil oprette:
with checklist items,med tjeklistepunkter
Working,Arbejder
