+ Add Milestone,+ Добавить веху
Milestone Name,Название вехи
Milestone name has been saved.,Название вехи сохранено.
Milestone name is required,Название вехи обязательно
Milestone updated,Веха обновлена
Milestone {0} not found,Веха {0} не найдена
Milestone {0} not in project {1},Веха {0} отсутствует в проекте {1}
Milestones,Вехи
milestones,вехи
Milestones:,Вехи:
Minutes,Минуты
Missed,Пропущено
Mixed,Смешанный
Mobile,Мобильный
Moderate,Умеренный
Modified,Изменено
"Modify details, time, or attendees","Изменить детали, время или участников"
Mon,Пн
Month,Месяц
Move failed,Не удалось переместить
Must be a positive number,Должно быть положительным числом
Must finish before this finishes,Должно завершиться до окончания этого
Must finish before this starts,Должно завершиться до начала этого
Must start before this finishes,Должно начаться до окончания этого
Must start before this starts,Должно начаться до начала этого
My Assignments,Мои назначения
My Projects,Мои проекты
My Schedule,Моё расписание
My Tasks,Мои задачи
N/A,Н/Д
Name,Название
Name (A-Z),Название (А-Я)
Name (Z-A),Название (Я-А)
Name cannot exceed 255 characters,Название не может превышать 255 символов
Need help?,Нужна помощь?
Needs Attention,Требует внимания
Never,Never
new activities,новые активности
New Activity,Новая активность
New activity,Новая активность
New Event,Новое событие
New index is required,Требуется новый индекс
New Project,Новый проект
New tasks will auto-trail by default.,Новые задачи будут автоматически скользить по умолчанию.
Newest First,Сначала новые
Next,Далее
Next 14 days,Ближайшие 14 дней
Next 30 days,Ближайшие 30 дней
Next 60 days,Ближайшие 60 дней
Next 7 days,Ближайшие 7 дней
Next 90 days,Ближайшие 90 дней
Next Week,Следующая неделя
Next:,Далее:
No,Нет
No active assignments,Нет активных назначений
No active projects,Нет активных проектов
No active timer found,Активный таймер не найден
No activity selected,Активность не выбрана
No assignments found,Назначения не найдены
No attendees,Нет участников
no change,без изменений
No changes for this field.,Нет изменений для этого поля.
No changes recorded for this activity.,Для этой активности изменения не зафиксированы.
No checklist items yet,Пунктов списка пока нет
No checklist items yet.,Пунктов списка пока нет.
No comments yet,Комментариев пока нет
No comments yet.,Комментариев пока нет.
No contacts available,Нет доступных контактов
No content for this tab,Нет содержимого для этой вкладки
No data available,Нет доступных данных
No data available for the selected filters,Нет данных для выбранных фильтров
No data to export,Нет данных для экспорта
No dates set,Даты не указаны
No defects reported,Дефекты не обнаружены
No dependencies defined,Зависимости не определены
No description,Нет описания
No discussion yet.,Обсуждений пока нет.
No documents attached,Документы не прикреплены
No due date,Нет срока выполнения
No employee linked to this resource,К этому ресурсу не привязан сотрудник
No ERPNext employee linked to resource,К ресурсу не привязан сотрудник ERPNext
No events found,События не найдены
No files attached yet.,Файлы пока не прикреплены.
No Frappe Project linked,Проект Frappe не привязан
No Grouping,Без группировки
No items,Нет элементов
No matching tasks,Нет подходящих задач
No matching tasks found,Подходящие задачи не найдены
No migration history,Нет истории переноса
No Milestone,Без вехи
No milestones,Нет вех
No milestones defined for this project.,Для этого проекта вехи не определены.
No notes yet.,Заметок пока нет.
No notes yet. Add a due diligence note to track progress.,Заметок пока нет. Добавьте заметку проверки для отслеживания прогресса.
No notifications,Нет уведомлений
No Orga Project linked to Frappe Project {0},Проект Orga не привязан к проекту Frappe {0}
No overdue tasks,Нет просроченных задач
No pending cascade changes,Нет ожидающих каскадных изменений
No predecessors - this task can start independently,Нет предшественников — эта задача может начаться самостоятельно
No project,Нет проекта
No projects found,Проекты не найдены
No Projects Yet,Проектов пока нет
No recent activity,Нет недавней активности
No related documents,Нет связанных документов
No resolved threads.,Нет завершённых обсуждений.
No resources found,Ресурсы не найдены
No results found,Результаты не найдены
No skills listed,Навыки не указаны
No skills recorded yet,Навыки пока не записаны
No successors - no tasks are waiting for this one,Нет последователей — ни одна задача не ждёт эту
No task selected,Задача не выбрана
No tasks assigned to you,Вам не назначено задач
No tasks available to add,Нет задач для добавления
No tasks found,Задачи не найдены
No tasks linked to this milestone,К этой вехе не привязано задач
No tasks with dates to display,Нет задач с датами для отображения
No tasks yet,Задач пока нет
No team members,Нет участников команды
No template,Нет шаблона
No templates yet,Шаблонов пока нет
No time data found,Данные о времени не найдены
No time logged today,Сегодня время не записано
No time logged yet,Время пока не записано
No time logs for this period,Нет записей времени за этот период
No time logs found,Записи времени не найдены
No unread notifications,Нет непрочитанных уведомлений
No update information available yet.,No update information available yet.
None,Нет
Not found,Не найдено
Not permitted,Доступ запрещён
Not permitted to access this project,Нет доступа к этому проекту
Not permitted to access this task,Нет доступа к этой задаче
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Вам не разрешено комментировать этот документ
Not permitted to create clients,Вам не разрешено создавать клиентов
Not permitted to delete this client,Вам не разрешено удалять этого клиента
Not permitted to delete this defect,Вам не разрешено удалять этот дефект
Not permitted to delete this note,Вам не разрешено удалять эту заметку
Not permitted to delete this project,Вам не разрешено удалять этот проект
Not permitted to delete this task,Вам не разрешено удалять эту задачу
Not permitted to delete this time log,Вам не разрешено удалять эту запись времени
Not permitted to invite clients,Вам не разрешено приглашать клиентов
Not permitted to modify client access,Вам не разрешено изменять доступ клиента
Not permitted to modify this project,Вам не разрешено изменять этот проект
Not permitted to update settings,Вам не разрешено изменять настройки
Not permitted to update this client,Вам не разрешено изменять этого клиента
Not permitted to view this client,Вам не разрешено просматривать этого клиента
not sent,не отправлено
Not set,Не задано
Not specified,Не указано
Note,Заметка
Note (optional),Заметка (необязательно)
Note Content,Содержание заметки
Note content is required,Содержание заметки обязательно
Note name is required,Название заметки обязательно
Note not found,Заметка не найдена
Note Type,Тип заметки
Notes,Заметки
Notification,Уведомление
Notification not found,Уведомление не найдено
Notifications,Уведомления
Off Track,Не по плану
Offer,Предложение
Offer Prepared,Предложение подготовлено
Oldest First,Сначала старые
On Hold,На удержании
On Leave,В отпуске
On Track,По плану
On-Time Rate,Доля вовремя
Only administrators can delete activities,Только администраторы могут удалять активности
Only the comment author or administrators can delete comments,Только автор комментария или администраторы могут удалять комментарии
Only you and admins,Только вы и администраторы
Open,Открыто
Open in Desk,Открыть в Desk
Open Task Log,Открыть журнал задачи
Open Tasks,Открытые задачи
Optional,Необязательно
optional,необязательно
Or email us directly at,Или напишите нам напрямую на
Orga Project {0} from Frappe Projects,Проект Orga {0} из Frappe Projects
Orga Task {0} from Frappe,Задача Orga {0} из Frappe
Organizer,Организатор
Other,Другое
Over Budget,Превышение бюджета
Overall Progress,Общий прогресс
Overall Utilization,Общая загрузка
Overallocated,Перегружен
Overdue,Просрочено
overdue,просрочено
Overdue Tasks,Просроченные задачи
Overview,Обзор
Owner,Владелец
Page Not Found,Страница не найдена
Parent,Родитель
Parent comment must belong to the same document,Родительский комментарий должен относиться к тому же документу
Parent comment not found,Родительский комментарий не найден
Parent project not synced to Frappe yet,Родительский проект ещё не синхронизирован с Frappe
Parent project sync not enabled,Синхронизация родительского проекта не включена
Partner,Партнёр
Pending,Ожидание
per page,на странице
Perform initial assessment and background check,Провести первичную оценку и проверку
Permanently remove this event,Безвозвратно удалить это событие
Permanently remove this task,Безвозвратно удалить эту задачу
Phone,Телефон
Pin,Закрепить
Pin Activity,Закрепить активность
Pin to top,Закрепить вверху
Pinned,Закреплено
Planned budget for this task,Запланированный бюджет для этой задачи
Planning,Планирование
Please describe your question or issue in detail...,Подробно опишите ваш вопрос или проблему...
Please login to access Orga,Пожалуйста
Please login to access the client portal,Пожалуйста
Please respond to this invitation in Orga,Пожалуйста
Please select an image file,Пожалуйста
Please try again,Пожалуйста
Please type,Пожалуйста
Portal,Портал
Portal access revoked for {0},Доступ к порталу отозван для {0}
Portal user created successfully. Welcome email {0},Пользователь портала успешно создан. Приветственное письмо {0}
Post,Опубликовать
Powered by,Работает на
Powered by Tonic,Работает на Tonic
Predecessors (Blocked By),Предшественники (заблокировано)
Preferences,Настройки
Preferences saved successfully,Настройки успешно сохранены
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Префикс для автоматических кодов проектов (напр. ORG-2026-0001)
Prepare and document offer terms,Подготовить и зафиксировать условия предложения
Press,Нажмите
Preview,Предпросмотр
Preview cascade before applying,Предпросмотр каскада перед применением
Previous,Назад
Priority,Приоритет
Priority assigned to new tasks,Приоритет для новых задач
Priority updated,Приоритет обновлён
Proficiency,Уровень владения
Profile,Профиль
Progress,Прогресс
Progress (High-Low),Прогресс (по убыванию)
Progress (Low-High),Прогресс (по возрастанию)
Progress Overview,Обзор прогресса
Progress updated,Прогресс обновлён
Project,Проект
Project budget has been saved.,Бюджет проекта сохранён.
Project code (e.g. ORG-2026-0001),Код проекта (напр. ORG-2026-0001)
Project Code Prefix,Префикс кода проекта
Project created,Проект создан
Project deleted,Проект удалён
Project description has been saved.,Описание проекта сохранено.
Project Details,Детали проекта
Project end date has been saved.,Дата окончания проекта сохранена.
Project Files,Файлы проекта
Project has no linked client,У проекта нет связанного клиента
Project Health,Состояние проекта
Project Info,Информация о проекте
Project is required,Проект обязателен
Project is required for project context,Проект обязателен для контекста проекта
Project is required when tracking context is 'project',"Проект обязателен, когда контекст отслеживания — «проект»"
Project Manager,Руководитель проекта
Project Name,Название проекта
Project name and template name are required,Название проекта и название шаблона обязательны
Project name is required,Название проекта обязательно
Project not found,Проект не найден
Project not found or you do not have access,Проект не найден или у вас нет доступа
Project settings,Настройки проекта
Project start date has been saved.,Дата начала проекта сохранена.
Project title has been saved.,Заголовок проекта сохранён.
Project Type,Тип проекта
Project updated,Проект обновлён
Project {0} linked to client {1},Проект {0} связан с клиентом {1}
Project {0} not found,Проект {0} не найден
Project {0} to Frappe Projects,Проект {0} в Frappe Projects
Project:,Проект:
Projects,Проекты
projects,проекты
Projects created:,Проектов создано:
Projects Overview,Обзор проектов
Projects skipped:,Проектов пропущено:
Projects updated:,Проектов обновлено:
Promote failed,Не удалось преобразовать
Promote to task,Преобразовать в задачу
Promoted to task,Преобразовано в задачу
Propose,Предложить
Propose New Time,Предложить новое время
Propose Time,Предложить время
Proposed End,Предлагаемое окончание
Proposed Start,Предлагаемое начало
Public,Публичный
Quick Action,Быстрое действие
Quick Actions,Быстрые действия
Quick Stats,Краткая статистика
Rates,Ставки
Receive notifications via email,Получать уведомления по электронной почте
Receive notifications within the application,Получать уведомления в приложении
Recent Activity,Недавняя активность
Recipient {0} is not a valid user,Получатель {0} не является действительным пользователем
Reference,Ссылка
Refresh,Обновить
Related,Связанное
Related Company (optional),Связанная компания (необязательно)
Related Documents,Связанные документы
Related Project,Связанный проект
Remaining,Осталось
Reminder,Напоминание
Reminder Lead Time,Время до напоминания
Reminder: {0} - {1} at {2},Напоминание: {0} — {1} в {2}
Remove,Убрать
Remove dependency,Удалить зависимость
Remove dependency on,Удалить зависимость от
Remove from group,Убрать из группы
Remove group dependency,Удалить групповую зависимость
Remove skill,Удалить навык
Reopen,Возобновить
Reopen thread,Возобновить обсуждение
reopened,возобновлено
replies,ответы
Reply,Ответить
reply,ответ
Replying to,В ответ на
Replying to comment,В ответ на комментарий
Report Defect,Сообщить о дефекте
Reported Date,Дата сообщения
Reports,Отчёты
Reports To,Подчиняется
Request Submitted!,Запрос отправлен!
Required,Обязательно
required,обязательно
Research,Исследование
Reset to Defaults,Сбросить на значения по умолчанию
Resolve,Решить
Resolve thread,Завершить обсуждение
Resolved,Решено
Resolved date cannot be before reported date,Дата решения не может быть раньше даты обнаружения
Resource,Ресурс
Resource and skill name are required,Ресурс и название навыка обязательны
Resource is already an attendee,Ресурс уже является участником
Resource name is required,Название ресурса обязательно
Resource not found,Ресурс не найден
Resource synced from employee {0},Ресурс синхронизирован из сотрудника {0}
Resource {0} is already assigned to this task ({1}),Ресурс {0} уже назначен на эту задачу ({1})
Resource {0} not found,Ресурс {0} не найден
Resources,Контакты
Retry,Повторить
Review,Проверка
Review all relevant documents and contracts,Проверить все соответствующие документы и договоры
Reviews,Проверки
Risk Assessment,Оценка рисков
Rollback,Откатить
Rolled back,Откачено
Room or address,Помещение или адрес
RSVP,RSVP
Safety,Безопасность
Sat,Сб
Save,Сохранить
"Save a project as a template, or import one from a JSON file.",Сохраните проект как шаблон или импортируйте из файла JSON.
Save as Template,Сохранить как шаблон
Save Changes,Сохранить изменения
Save failed,Не удалось сохранить
Save Preferences,Сохранить настройки
Save Template,Сохранить шаблон
Saving...,Сохранение...
Schedule,Расписание
Schedule type is required for scheduled triggers,Тип расписания обязателен для запланированных триггеров
Scheduled,Запланировано
Search,Поиск
"Search by name, email, or skill...","Поиск по имени, электронной почте или навыку..."
Search for a project...,Найти проект...
Search for a task...,Найти задачу...
Search for an event...,Найти событие...
Search for people to invite...,Найти людей для приглашения...
Search tasks to link...,Найти задачи для связи...
Search tasks...,Поиск задач...
Search...,Поиск...
Searching...,Поиск...
Seen,Просмотрено
Select a project if your request is related to a specific project.,"Выберите проект, если ваш запрос связан с конкретным проектом."
Select a project...,Выберите проект...
Select a task from the Gantt chart to view and manage its details.,Выберите задачу на диаграмме Gantt для просмотра и управления её деталями.
Select a task from the list or Kanban board to view and manage its details.,Выберите задачу из списка или доски Kanban для просмотра и управления её деталями.
Select a template...,Выберите шаблон...
Select priority...,Выберите приоритет...
Select status...,Выберите статус...
Select task...,Выберите задачу...
Select type...,Выберите тип...
Selection,Выбор
Send,Отправить
Send comment,Отправить комментарий
Send email invitations to attendees,Отправить приглашения по электронной почте участникам
Send Invitations,Отправить приглашения
Send notification when a task is assigned to a user,Отправить уведомление при назначении задачи пользователю
Send notification when task status changes,Отправить уведомление при изменении статуса задачи
Send reminder before task due date,Отправить напоминание перед сроком задачи
sent,отправлено
Set rate,Задать ставку
Settings,Настройки
Settings saved successfully,Настройки успешно сохранены
Severity,Серьёзность
SF (Start-Finish),SF (Старт-Финиш)
SF - Start-to-Finish,SF — Старт-Финиш
Show,Показать
Show all,Показать все
Show all changes,Показать все изменения
Show Archived,Показать архивные
Show full diff,Показать полные различия
Show less,Свернуть
Show more,Развернуть
Skill added,Навык добавлен
Skill is required,Навык обязателен
Skill Name,Название навыка
Skill removed,Навык удалён
Skill {0} already exists for this resource,Навык {0} уже существует для этого ресурса
Skills,Навыки
Skills & Competencies,Навыки и компетенции
Skip already migrated projects,Пропустить уже перенесённые проекты
Sort by,Сортировать по
Sort: Due Date,Сортировка: срок выполнения
Sort: Priority,Сортировка: приоритет
Sort: Project,Сортировка: проект
Sort: Status,Сортировка: статус
Sort: Task,Сортировка: задача
Source Code,Исходный код
Spent,Потрачено
Spent:,Потрачено:
SS (Start-Start),SS (Старт-Старт)
SS - Start-to-Start,SS — Старт-Старт
Standalone,Самостоятельный
Start,Начало
Start a discussion below,Начните обсуждение ниже
Start Date,Дата начала
Start date,Дата начала
Start Date (Earliest),Дата начала (ближайшая)
Start date updated,Дата начала обновлена
Start date/time is required,Дата/время начала обязательны
Start Migration,Начать перенос
Start the conversation below.,Начните разговор ниже.
Start Timer,Запустить таймер
Start typing to search...,Начните вводить для поиска...
Start-to-Finish,Старт-Финиш
Start-to-Start,Старт-Старт
Start:,Начало:
Statistics reset,Статистика сброшена
Status,Статус
Status assigned to new projects,Статус для новых проектов
Status assigned to new tasks,Статус для новых задач
Status Changes,Изменения статуса
Status updated,Статус обновлён
Status:,Статус:
Stop,Остановить
Stop & Save,Остановить и сохранить
Stop Timer,Остановить таймер
Stops current timer and starts for this event,Останавливает текущий таймер и запускает для этого события
Stops current timer and starts for this task,Останавливает текущий таймер и запускает для этой задачи
Subject,Тема
Subject cannot exceed 255 characters,Тема не может превышать 255 символов
Subject is required,Тема обязательна
Submit,Отправить
Submit Another Request,Отправить ещё один запрос
Submit Request,Отправить запрос
Submitting...,Отправка...
Successfully saved,Успешно сохранено
Successors (Blocking),Последователи (блокирует)
Sun,Вс
Supplier,Поставщик
Support,Поддержка
Switch to this event,Переключиться на это событие
Switch to this task,Переключиться на эту задачу
Sync direction is set to Frappe to Orga only,Направление синхронизации: только из Frappe в Orga
Sync direction is set to Orga to Frappe only,Направление синхронизации: только из Orga в Frappe
Sync not enabled for this project,Синхронизация для этого проекта не включена
System,Система
Table,Таблица
Take ownership of this task,Взять эту задачу себе
Target Date,Целевая дата
Target End,Целевое окончание
Target Project,Целевой проект
Target user is required for '{0}' action,Целевой пользователь обязателен для действия «{0}»
Task,Задача
task,задача
Task '{0}' is due on {1}.,Срок задачи «{0}» — {1}.
Task and resource are required,Задача и ресурс обязательны
Task Assignment,Назначение задачи
Task cannot be its own parent,Задача не может быть своим собственным родителем
Task cannot depend on itself,Задача не может зависеть от самой себя
Task cannot depend on the group it belongs to,Задача не может зависеть от группы
Task created,Задача создана
Task deleted,Задача удалена
Task description has been saved.,Описание задачи сохранено.
Task Details,Детали задачи
Task due in {0} days: {1},Срок задачи через {0} дней: {1}
Task due today: {0},Срок задачи сегодня: {0}
Task due tomorrow: {0},Срок задачи завтра: {0}
Task duplicated,Задача дублирована
Task Group,Группа задач
Task ID is required,Идентификатор задачи обязателен
Task is blocked by incomplete dependencies,Задача заблокирована незавершёнными зависимостями
Task is cancelled,Задача отменена
Task is completed,Задача завершена
Task is no longer blocked by a group,Задача больше не заблокирована группой
Task is required for task context,Задача обязательна для контекста задачи
Task is required when tracking context is 'task',"Задача обязательна, когда контекст отслеживания — «задача»"
Task linked,Задача связана
Task moved,Задача перемещена
Task name,Название задачи
Task name is required,Название задачи обязательно
Task removed from group,Задача удалена из группы
Task Subject,Тема задачи
Task subject is required,Тема задачи обязательна
Task Type,Тип задачи
Task unblocked: {0},Задача разблокирована: {0}
Task unlinked,Задача отвязана
Task updated,Задача обновлена
Task {0} not found,Задача {0} не найдена
Task {0} not in project {1},Задача {0} отсутствует в проекте {1}
Task {0} to Frappe,Задача {0} в Frappe
Tasks,Задачи
tasks,задачи
Tasks and milestones will be created with dates relative to the project start date.,Задачи и вехи будут созданы с датами относительно даты начала проекта.
Tasks assigned to you across all projects.,Задачи
Tasks created:,Задач создано:
Tasks from projects you manage.,Задачи из проектов
Tasks updated:,Задач обновлено:
"Tasks, milestones, and dependencies have been created.","Задачи, вехи и зависимости созданы."
Tasks:,Задачи:
TBD,Уточняется
Team,Команда
Team Members,Участники команды
Template,Шаблон
Template applied,Шаблон применён
Template data is required in import data,Данные шаблона обязательны в импортируемых данных
Template has no data,В шаблоне нет данных
Template Name,Название шаблона
Template name,Название шаблона
Template name is required,Название шаблона обязательно
Template name is required in import data,Название шаблона обязательно в импортируемых данных
Template saved,Шаблон сохранён
Template updated successfully.,Шаблон успешно обновлён.
Template {0} not found,Шаблон {0} не найден
Templates,Шаблоны
Tentative,Предварительно
The comment has been deleted,Комментарий удалён
The project,Проект
The source document may have been deleted.,Исходный документ мог быть удалён.
The source document will not be affected.,Исходный документ не будет затронут.
The status of '{0}' was changed from {1} to {2}.,Статус «{0}» изменён с {1} на {2}.
Theme,Тема оформления
Theme preference,Предпочтение темы
This action,Это действие
This action cannot be undone.,Это действие нельзя отменить.
This activity has been flagged for attention,Эта активность отмечена как важная
This is a reminder for your upcoming appointment,Это напоминание о вашей предстоящей встрече
This method is only meant for developer mode,Этот метод доступен только в режиме разработчика
This page wandered off,Эта страница заблудилась
This Week,Эта неделя
This will delete all notes and preferences associated with this activity.,Это удалит все заметки и настройки
This will import all Frappe Projects into Orga. Continue?,Это импортирует все проекты Frappe в Orga. Продолжить?
This will permanently delete,Это безвозвратно удалит
This will permanently delete:,Будет безвозвратно удалено:
Thu,Чт
Time,Время
Time & Billing,Время и оплата
Time & Revenue,Время и доход
Time Entries,Записи времени
Time log name is required,Название записи времени обязательно
Time Log not found,Запись времени не найдена
Time log {0} not found,Запись времени {0} не найдена
Time Logs,Записи времени
Time Summary,Сводка по времени
Time Tracking,Учёт времени
Timeline,Хронология
Timer active on,Таймер активен на
Timer is not running,Таймер не запущен
Timer Running,Таймер работает
Timer running,Таймер работает
Timesheet DocType not available,DocType «Табель» недоступен
Timesheets,Табели
Timezone,Часовой пояс
Timezone is detected from your browser,Часовой пояс определяется из вашего браузера
Title,Заголовок
Title cannot exceed 255 characters,Заголовок не может превышать 255 символов
Title is required,Заголовок обязателен
Title updated,Заголовок обновлён
To,До
to,до
to cancel,для отмены
to close,для закрытия
to confirm:,для подтверждения:
to edit,для редактирования
"to save,","для сохранения,"
To Time cannot be before From Time,Время окончания не может быть раньше времени начала
Today,Сегодня
today,сегодня
Toggle billable,Переключить оплачиваемость
Toggle Details Panel,Показать/скрыть панель деталей
Toggle Manager Panel,Показать/скрыть панель руководителя
Toggle Sidebar,Показать/скрыть боковую панель
Tomorrow,Завтра
tomorrow,завтра
Total,Итого
Total Budget,Общий бюджет
Total Contacts,Всего контактов
Total Cost,Общая стоимость
Total Cost to Org,Общие затраты организации
Total Defect Cost,Общая стоимость дефектов
Total Hours,Всего часов
Total Hours Logged,Всего часов записано
Total Projects,Всего проектов
Total Spent,Всего потрачено
Total Tasks,Всего задач
Total:,Итого:
Tracked,Отслежено
trails to today while Open at 0%,"скользит до сегодня, пока статус «Открыто» при 0%"
Tried:,Попытка:
Try adjusting your filter criteria,Попробуйте изменить условия фильтрации
Try adjusting your filters.,Попробуйте изменить фильтры.
Try Again,Попробовать снова
Tue,Вт
Type,Тип
Type updated,Тип обновлён
Type:,Тип:
Typical response time: 1-2 business days,Обычное время ответа: 1–2 рабочих дня
Unarchive,Разархивировать
Unarchive Activity,Разархивировать активность
Unassign,Снять назначение
Unassigned,Не назначено
Under Budget,В рамках бюджета
Ungrouped,Без группы
Unknown,Неизвестно
Unknown error,Неизвестная ошибка
Unlink failed,Не удалось отвязать
Unlink task from milestone,Отвязать задачу от вехи
Unpin,Открепить
Unpin Activity,Открепить активность
Unread,Непрочитанное
Unread only,Только непрочитанные
Until,До
Up to Date,Up to Date
Upcoming,Предстоящие
upcoming,предстоящие
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Не удалось обновить
Updated,Обновлено
Updated successfully,Успешно обновлено
Updates,Updates
Upload,Загрузить
Upload failed,Не удалось загрузить
Upload files below to attach them to this task.,Загрузите файлы ниже для прикрепления к этой задаче.
Upload to project,Загрузить в проект
Uploading...,Загрузка...
Urgent,Срочный
User {0} is already linked to client {1},Пользователь {0} уже связан с клиентом {1}
User {0} is already linked to resource {1},Пользователь {0} уже связан с ресурсом {1}
Utilization,Загрузка
Valid,Действительно
Value:,Значение:
Variance,Отклонение
Variance:,Отклонение:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Просмотр
View All,Показать все
View all active projects,Показать все активные проекты
View all open tasks,Показать все открытые задачи
View overdue tasks,Показать просроченные задачи
View Release,View Release
Visibility,Видимость
Waiting for this task,Ожидание этой задачи
Waits for:,Ожидает:
Warning: Resource {0} status is {1},Внимание: статус ресурса {0} — {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Внимание: используется HTTP вместо HTTPS. Данные вебхуков могут быть незащищёнными.
Watch budget closely,Следите за бюджетом внимательно
We'll respond to:,Мы ответим на:
Webhook deleted,Вебхук удалён
Webhook name is required,Название вебхука обязательно
Webhook not found,Вебхук не найден
Webhook URL is required,URL вебхука обязателен
Webhook URL must start with http:// or https://,URL вебхука должен начинаться с http:// или https://
Wed,Ср
Week,Неделя
Weekend,Выходные
Weekly Capacity,Нагрузка в неделю
weekly capacity,нагрузка в неделю
Weekly Capacity (h),Нагрузка в неделю (ч)
Welcome,Добро пожаловать
Welcome back!,С возвращением!
Welcome to Orga,Добро пожаловать в Orga
What are you working on?,Над чем вы работаете?
What did you work on?,Над чем вы работали?
When,Когда
When work begins,Когда начинается работа
When work is due,Когда работа должна быть выполнена
Where,Где
Will capture:,Будет сохранено:
Will create:,Будет создано:
with checklist items,с пунктами списка
Working,В работе
Workload,Нагрузка
Workmanship,Качество работы
Write a comment...,Напишите комментарий...
Write a comment... Use @name to mention (Ctrl+Enter to send),Напишите комментарий... Используйте @имя для упоминания (Ctrl+Enter для отправки)
Year,Год
Yes,Да
Yesterday,Вчера
yesterday,вчера
You are not an attendee of this appointment,Вы не являетесь участником этой встречи
You are not linked to any resource,Вы не привязаны ни к одному ресурсу
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Вы можете удалять только свои комментарии
You can only delete your own reactions,Вы можете удалять только свои реакции
You do not have access to the client portal. Please contact support.,У вас нет доступа к клиентскому порталу. Обратитесь в поддержку.
You have already reacted with '{0}',Вы уже отреагировали «{0}»
You have been assigned to task '{0}' in project '{1}'.,Вам назначена задача «{0}» в проекте «{1}».
You have been assigned to: {0},Вам назначено: {0}
You have been invited to the following appointment,Вы приглашены на следующую встречу
You have no tasks assigned to you right now.,У вас сейчас нет назначенных задач.
You were mentioned in {0},Вас упомянули в {0}
Your attendance,Ваше участие
Your comment has been posted,Ваш комментарий опубликован
Your Projects,Ваши проекты
Your projects will appear here once they're assigned to you.,Ваши проекты появятся здесь
Your Response,Ваш ответ
Your RSVP,Ваш RSVP
Your support request has been submitted successfully.,Ваш запрос в поддержку успешно отправлен.
Your support request has been submitted successfully. We'll get back to you shortly.,Ваш запрос в поддержку успешно отправлен. Мы свяжемся с вами в ближайшее время.
"Your task ""{0}"" is no longer blocked and can now be started.",Ваша задача «{0}» больше не заблокирована и может быть начата.
{0} is required,{0} обязательно
{0} new activities,{0} новых активностей
{0} of {1} completed,{0} из {1} завершено
{0} projects already migrated (will be skipped or updated),{0} проектов уже перенесено (будут пропущены или обновлены)
{0} status changed to {1},Статус {0} изменён на {1}
{0} tasks remaining,Осталось {0} задач
{0} tasks without projects will be skipped,{0} задач без проектов будут пропущены
{0} {1} not found,{0} {1} не найдено
