+ Add Milestone,+ مایلسټون اضافه کړئ
File does not belong to this task,دوتنه دې دندې ته تعلق نلري
File name is required,د دوتنې نوم اړین دی
File uploaded,دوتنه پورته شوه
File {0} not found,دوتنه {0} ونه موندل شوه
files,دوتنې
Files,دوتنې
Filter,فلټر
Final Decision,وروستۍ پریکړه
Finance,مالي چارې
Financial,مالي
Finish-to-Finish,پای-ته-پای
Finish-to-Start,پای-ته-پیل
Flag,نښه کړئ
Flag for attention,د پاملرنې لپاره نښه کړئ
Flagged,نښه شوی
Focus Panel,تمرکز پینل
Follows your system preference. Currently:,ستاسو د سیسټم غوره توب تعقیبوي. اوسمهال:
Frappe Project {0} not found,Frappe پروژه {0} ونه موندل شوه
Frappe Projects Migration,د Frappe پروژو لیږدونه
Frappe Projects module not available,د Frappe پروژو ماډل شته نه دی
Frappe Projects module not installed,د Frappe پروژو ماډل نصب شوی نه دی
Frappe Projects sync is not enabled,د Frappe پروژو همغږي فعاله نه ده
Frappe Task DocType not found,د Frappe دندې DocType ونه موندل شو
Frappe Task has no project,Frappe دنده هیڅ پروژه نلري
Frappe Task {0} not found,Frappe دنده {0} ونه موندل شوه
Fri,جمعه
From,له
From Template,له کینډۍ څخه
FS (Finish-Start),پ‌پ (پای-پیل)
FS - Finish-to-Start (default),پ‌پ - پای-ته-پیل (اصلي)
Full form view with audit trail,بشپړ فورمه لید د پلټنې سلسلې سره
Full name,بشپړ نوم
Gantt,ګانټ
Gantt Chart,ګانټ چارټ
Gantt View,ګانټ لید
General Note,عمومي یادښت
Get started,پیل وکړئ
Go back,شاته لاړ شئ
Go Back,Go Back
Group by,ګروپ بندي
Group dependency removed,د ګروپ انحصار لرې شو
Group dependency set,د ګروپ انحصار ټاکل شو
Group removed,ګروپ لرې شو
Group updated,ګروپ تازه شو
Hammock task dates are auto-calculated and cannot be changed manually,د هموک دندې نیټې اتوماتیک محاسبه کیږي او لاسي نشي بدلیدی
Have a question or need assistance? Fill out the form below and our team will get back to you.,پوښتنه لرئ یا مرستې ته اړتیا لرئ؟ لاندې فورمه ډکه کړئ او زموږ ټیم به تاسو سره اړیکه ونیسي.
Health,روغتیا
Healthy,سالم
Hello {0},سلام {0}
Here's what's happening with your projects today.,دلته هغه څه دي چې نن ستاسو د پروژو سره تیریږي.
Hide,پټ کړئ
High,لوړ
History,تاریخچه
Home,کور
Hourly Cost,ساعتني لګښت
Hours,ساعتونه
hours,ساعتونه
Hours Logged,ثبت شوي ساعتونه
ID,پیژندنه
Image must be smaller than 5 MB,انځور باید له 5 MB څخه کم وي
Import,وارد کړئ
Import existing projects and tasks from Frappe Projects module,د Frappe پروژو ماډل څخه موجودې پروژې او دندې وارد کړئ
Import failed,واردول ناکام شو
Import Template,کینډۍ وارد کړئ
Imported,وارد شوی
in,په
In Progress,روان دی
In Review,بیاکتنه کې
In-app notifications,د اپلیکیشن دننه خبرتیاوې
Inactive,غیرفعال
Initial Review,لومړنۍ بیاکتنه
Installed Version,Installed Version
Insufficient permissions to view all tasks,د ټولو دندو لیدلو لپاره ناکافي اجازې
Intermediate,منځنی
Internal,داخلي
Invalid DocType,ناسم DocType
Invalid DocType for import,د واردولو لپاره ناسم DocType
Invalid item type: {0},ناسم توکي ډول: {0}
Invalid JSON data,ناسم JSON معلومات
Invalid note type. Must be one of: {0},ناسم یادښت ډول. باید له دې څخه یو وي: {0}
Invalid project reference,ناسمه پروژه حواله
Invalid reaction type. Must be one of: {0},ناسم غبرګون ډول. باید له دې څخه یو وي: {0}
Invalid RSVP status,ناسم RSVP حالت
Invalid status. Must be one of: {0},ناسم حالت. باید له دې څخه یو وي: {0}
Invalid status: {0},ناسم حالت: {0}
Invalid status: {0}. Must be one of: {1},ناسم حالت: {0}. باید له دې څخه یو وي: {1}
Invalid tracking context: {0},ناسم تعقیب شرایط: {0}
Invalid visibility. Must be one of: {0},ناسمه لیدنه. باید له دې څخه یو وي: {0}
Invitation: {0} - {1} at {2},بلنه: {0} - {1} په {2}
Invite People,خلک بلنه ورکړئ
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,توکی اضافه شو
Item ID is required,د توکي پیژندنه اړینه ده
Item removed,توکی لرې شو
Item type is required,د توکي ډول اړین دی
Item {0} not found,توکی {0} ونه موندل شو
Job title or role,د دندې سرلیک یا رول
Join Meeting,غونډې ته ورشئ
Just now,همدا اوس
just now,همدا اوس
Kanban,کانبان
Kanban Board,کانبان بورډ
Kanban View,کانبان لید
Keyboard Shortcuts,د کیبورډ شارټکټونه
Keyboard shortcuts (?),د کیبورډ شارټکټونه (?)
Last checked: {0},Last checked: {0}
Last Updated,وروستی ځل تازه شوی
Last updated:,وروستی ځل تازه شوی:
Last Week,تیره اونۍ
Latest Version,Latest Version
Light,روښانه
Link failed,تړل ناکام شو
Link Task,دنده وتړئ
Linked,تړل شوی
Linked employee not found,تړل شوی کارمند ونه موندل شو
Linked Tasks,تړل شوې دندې
List,لیست
List View,لیست لید
Load failed,بارول ناکام شو
Load More,نور بار کړئ
Load more comments,نور نظرونه بار کړئ
Loading activity...,فعالیت بارولو کې...
Loading changes...,بدلونونه بارولو کې...
Loading checklist...,کتنې لیست بارولو کې...
Loading comments...,نظرونه بارولو کې...
Loading contact...,اړیکه بارولو کې...
Loading contacts...,اړیکې بارولو کې...
Loading dependencies...,انحصارونه بارولو کې...
Loading details...,جزئیات بارولو کې...
Loading discussion...,بحث بارولو کې...
Loading events...,پیښې بارولو کې...
Loading files...,دوتنې بارولو کې...
Loading notes...,یادښتونه بارولو کې...
Loading preferences...,غوره توبونه بارولو کې...
Loading project...,پروژه بارولو کې...
Loading projects...,پروژې بارولو کې...
Loading replies...,ځوابونه بارولو کې...
Loading report data...,د راپور معلومات بارولو کې...
Loading settings...,تنظیمات بارولو کې...
Loading task...,دنده بارولو کې...
Loading templates...,کینډۍ بارولو کې...
Loading time logs...,وخت ثبتونه بارولو کې...
Loading your portal...,ستاسو پورټل بارولو کې...
Loading...,بارول کیږي...
Location,ځای
Log Time,وخت ثبت کړئ
Logout,وتل
Low,ټیټ
Make Offer,وړاندیز وکړئ
Manager,مدیر
Manual Entry,لاسي ننوتنه
Margin,حاشیه
Mark all as read,ټول د لوستل شوو په توګه نښه کړئ
Mark all read,ټول لوستل شوي نښه کړئ
Mark as read,د لوستل شوي په توګه نښه کړئ
Mark as unread,د نالوستل شوي په توګه نښه کړئ
Mark read,لوستل شوی نښه کړئ
Marking...,نښه کیږي...
Material,مواد
Maybe,شاید
Medium,منځنی
Meeting,غونډه
Meeting Link,د غونډې لینک
Meeting title,د غونډې سرلیک
Meeting URL,د غونډې URL
Meetings,غونډې
Mention,یادونه
Message,پیغام
Message is required,پیغام اړین دی
Message is required for '{0}' action,د '{0}' عمل لپاره پیغام اړین دی
Migrate,لیږدول
Migration Complete,لیږدونه بشپړه شوه
Migration ID:,د لیږدونې پیژندنه:
Migration log not found: {0},د لیږدونې ثبت ونه موندل شو: {0}
milestone,مایلسټون
Milestone,مایلسټون
Milestone created,مایلسټون جوړ شو
Milestone description has been saved.,د مایلسټون تشریح خوندي شوه.
Milestone ID is required,د مایلسټون پیژندنه اړینه ده
Milestone marked as Missed (past due date),مایلسټون د له لاسه تللي په توګه نښه شو (د وعدې نیټه تیره شوې)
Milestone moved,مایلسټون لیږدول شو
Milestone Name,د مایلسټون نوم
Milestone name has been saved.,د مایلسټون نوم خوندي شو.
Milestone name is required,د مایلسټون نوم اړین دی
Milestone updated,مایلسټون تازه شو
Milestone {0} not found,مایلسټون {0} ونه موندل شو
Milestone {0} not in project {1},مایلسټون {0} په پروژه {1} کې نشته
milestones,مایلسټونونه
Milestones,مایلسټونونه
Milestones:,مایلسټونونه:
Minutes,دقیقې
Missed,له لاسه تللی
Mixed,مخلوط
Mobile,ګرځنده
Moderate,متوسط
Modified,تعدیل شوی
"Modify details, time, or attendees",جزئیات، وخت، یا ګډون کوونکي تعدیل کړئ
Mon,دوشنبه
Month,میاشت
Move failed,لیږدول ناکام شو
Must be a positive number,باید مثبت عدد وي
Must finish before this finishes,باید مخکې له دې چې دا پای ته ورسیږي بشپړ شي
Must finish before this starts,باید مخکې له دې چې دا پیل شي بشپړ شي
Must start before this finishes,باید مخکې له دې چې دا پای ته ورسیږي پیل شي
Must start before this starts,باید مخکې له دې چې دا پیل شي پیل شي
My Assignments,زما دندې ورکونې
My Projects,زما پروژې
My Schedule,زما مهال ویش
My Tasks,زما دندې
N/A,نامعلوم
Name,نوم
Name (A-Z),نوم (الف-ی)
Name (Z-A),نوم (ی-الف)
Name cannot exceed 255 characters,نوم نشي کولی له 255 حرفونو څخه زیات وي
Need help?,مرستې ته اړتیا لرئ؟
Needs Attention,پاملرنې ته اړتیا لري
Never,Never
new activities,نوي فعالیتونه
New Activity,نوی فعالیت
New activity,نوی فعالیت
New Event,نوې پیښه
New index is required,نوی شاخص اړین دی
New Project,نوې پروژه
New tasks will auto-trail by default.,نوې دندې به په اصلي توګه اتوماتیک تعقیب شي.
Newest First,تر ټولو نوی لومړی
Next,راتلونکی
Next 14 days,راتلونکې 14 ورځې
Next 30 days,راتلونکې 30 ورځې
Next 60 days,راتلونکې 60 ورځې
Next 7 days,راتلونکې 7 ورځې
Next 90 days,راتلونکې 90 ورځې
Next Week,راتلونکې اونۍ
Next:,راتلونکی:
No,نه
No active assignments,هیڅ فعالې دندې ورکونې نشته
No active projects,هیڅ فعالې پروژې نشته
No active timer found,هیڅ فعال ټایمر ونه موندل شو
No activity selected,هیڅ فعالیت ندی ټاکل شوی
No assignments found,هیڅ دندې ورکونې ونه موندل شوې
No attendees,هیڅ ګډون کوونکي نشته
no change,هیڅ بدلون نشته
No changes for this field.,د دې ساحې لپاره هیڅ بدلون نشته.
No changes recorded for this activity.,د دې فعالیت لپاره هیڅ بدلون ثبت شوی نه دی.
No checklist items yet,تر اوسه هیڅ د کتنې لیست توکي نشته
No checklist items yet.,تر اوسه هیڅ د کتنې لیست توکي نشته.
No comments yet,تر اوسه هیڅ نظرونه نشته
No comments yet.,تر اوسه هیڅ نظرونه نشته.
No contacts available,هیڅ اړیکې شته نه دي
No content for this tab,د دې ټب لپاره هیڅ منځپانګه نشته
No data available,هیڅ معلومات شته نه دي
No data available for the selected filters,د ټاکل شویو فلټرونو لپاره هیڅ معلومات شته نه دي
No data to export,د صادرولو لپاره هیڅ معلومات نشته
No dates set,هیڅ نیټې ندي ټاکل شوې
No defects reported,هیڅ نیمګړتیاوې ندي راپور شوې
No dependencies defined,هیڅ انحصارونه ندي ټاکل شوي
No description,هیڅ تشریح نشته
No discussion yet.,تر اوسه هیڅ بحث نشته.
No documents attached,هیڅ اسناد ضمیمه ندي
No due date,هیڅ د وعدې نیټه نشته
No employee linked to this resource,هیڅ کارمند دې سرچینې ته تړلی نه دی
No ERPNext employee linked to resource,هیڅ ERPNext کارمند سرچینې ته تړلی نه دی
No events found,هیڅ پیښې ونه موندل شوې
No files attached yet.,تر اوسه هیڅ دوتنې ضمیمه ندي شوې.
No Frappe Project linked,هیڅ Frappe پروژه تړلې نه ده
No Grouping,هیڅ ګروپ بندي نشته
No items,هیڅ توکي نشته
No matching tasks,هیڅ مطابقه لرونکې دندې نشته
No matching tasks found,هیڅ مطابقه لرونکې دندې ونه موندل شوې
No migration history,هیڅ د لیږدونې تاریخچه نشته
No Milestone,هیڅ مایلسټون نشته
No milestones,هیڅ مایلسټونونه نشته
No milestones defined for this project.,د دې پروژې لپاره هیڅ مایلسټونونه ندي ټاکل شوي.
No notes yet.,تر اوسه هیڅ یادښتونه نشته.
No notes yet. Add a due diligence note to track progress.,تر اوسه هیڅ یادښتونه نشته. د پرمختګ تعقیب لپاره د بشپړې پلټنې یادښت اضافه کړئ.
No notifications,هیڅ خبرتیاوې نشته
No Orga Project linked to Frappe Project {0},هیڅ Orga پروژه د Frappe پروژې {0} سره تړلې نه ده
No overdue tasks,هیڅ ناوخته دندې نشته
No pending cascade changes,هیڅ پاتې آبشار بدلونونه نشته
No predecessors - this task can start independently,هیڅ مخکني نشته - دا دنده په خپلواکه توګه پیل کیدی شي
No project,هیڅ پروژه نشته
No projects found,هیڅ پروژې ونه موندل شوې
No Projects Yet,تر اوسه هیڅ پروژې نشته
No recent activity,هیڅ اوسني فعالیت نشته
No related documents,هیڅ اړوند اسناد نشته
No resolved threads.,هیڅ حل شوي موضوعات نشته.
No resources found,هیڅ سرچینې ونه موندل شوې
No results found,هیڅ پایلې ونه موندل شوې
No skills listed,هیڅ مهارتونه لیست شوي ندي
No skills recorded yet,تر اوسه هیڅ مهارتونه ثبت شوي ندي
No successors - no tasks are waiting for this one,هیڅ وروستي نشته - هیڅ دندې د دې لپاره انتظار نه کوي
No task selected,هیڅ دنده ندي ټاکل شوې
No tasks assigned to you,تاسو ته هیڅ دندې ندي ټاکل شوې
No tasks available to add,د اضافه کولو لپاره هیڅ دندې شته نه دي
No tasks found,هیڅ دندې ونه موندل شوې
No tasks linked to this milestone,هیڅ دندې دې مایلسټون ته تړلې نه دي
No tasks with dates to display,د ښودلو لپاره د نیټو سره هیڅ دندې نشته
No tasks yet,تر اوسه هیڅ دندې نشته
No team members,هیڅ ټیم غړي نشته
No template,هیڅ کینډۍ نشته
No templates yet,تر اوسه هیڅ کینډۍ نشته
No time data found,هیڅ وخت معلومات ونه موندل شول
No time logged today,نن هیڅ وخت ثبت شوی نه دی
No time logged yet,تر اوسه هیڅ وخت ثبت شوی نه دی
No time logs for this period,د دې دورې لپاره هیڅ وخت ثبتونه نشته
No time logs found,هیڅ وخت ثبتونه ونه موندل شول
No unread notifications,هیڅ نالوستلې خبرتیاوې نشته
No update information available yet.,No update information available yet.
None,هیڅ
Not found,ونه موندل شو
Not permitted,اجازه نلري
Not permitted to access this project,دې پروژې ته لاسرسي اجازه نلري
Not permitted to access this task,دې دندې ته لاسرسي اجازه نلري
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,په دې سند نظر ورکولو اجازه نلري
Not permitted to create clients,پیرودونکي جوړولو اجازه نلري
Not permitted to delete this client,دا پیرودونکی حذف کولو اجازه نلري
Not permitted to delete this defect,دا نیمګړتیا حذف کولو اجازه نلري
Not permitted to delete this note,دا یادښت حذف کولو اجازه نلري
Not permitted to delete this project,دا پروژه حذف کولو اجازه نلري
Not permitted to delete this task,دا دنده حذف کولو اجازه نلري
Not permitted to delete this time log,دا وخت ثبت حذف کولو اجازه نلري
Not permitted to invite clients,پیرودونکو ته بلنه ورکولو اجازه نلري
Not permitted to modify client access,د پیرودونکي لاسرسي تعدیل اجازه نلري
Not permitted to modify this project,دا پروژه تعدیل کولو اجازه نلري
Not permitted to update settings,تنظیمات تازه کولو اجازه نلري
Not permitted to update this client,دا پیرودونکی تازه کولو اجازه نلري
Not permitted to view this client,دا پیرودونکی لیدلو اجازه نلري
not sent,نه دی لیږل شوی
Not set,ټاکل شوی نه دی
Not specified,مشخص شوی نه دی
Note,یادښت
Note (optional),یادښت (اختیاري)
Note Content,د یادښت منځپانګه
Note content is required,د یادښت منځپانګه اړینه ده
Note name is required,د یادښت نوم اړین دی
Note not found,یادښت ونه موندل شو
Note Type,د یادښت ډول
Notes,یادښتونه
Notification,خبرتیا
Notification not found,خبرتیا ونه موندل شوه
Notifications,خبرتیاوې
Off Track,له لارې وتلی
Offer,وړاندیز
Offer Prepared,وړاندیز چمتو شو
Oldest First,تر ټولو زوړ لومړی
On Hold,ودرول شوی
On Leave,رخصتي
On Track,په سمه لاره
On-Time Rate,په وخت سره نرخ
Only administrators can delete activities,یوازې مدیران کولی شي فعالیتونه حذف کړي
Only the comment author or administrators can delete comments,یوازې د نظر لیکوال یا مدیران کولی شي نظرونه حذف کړي
Only you and admins,یوازې تاسو او مدیران
Open,خلاص
Open in Desk,په ډیسک کې خلاص کړئ
Open Task Log,د دندې ثبت خلاص کړئ
Open Tasks,خلاصې دندې
Optional,اختیاري
optional,اختیاري
Or email us directly at,یا موږ ته مستقیم بریښنالیک ولیکئ
Orga Project {0} from Frappe Projects,د Frappe پروژو څخه Orga پروژه {0}
Orga Task {0} from Frappe,له Frappe څخه Orga دنده {0}
Organizer,تنظیم کوونکی
Other,نور
Over Budget,له بودجې زیات
Overall Progress,ټولیز پرمختګ
Overall Utilization,ټولیزه ګټه اخیستنه
Overallocated,ډیر تخصیص شوی
Overdue,ناوخته
overdue,ناوخته
Overdue Tasks,ناوخته دندې
Overview,کتنه
Owner,مالک
Page Not Found,پاڼه ونه موندل شوه
Parent,اصلي
Parent comment must belong to the same document,اصلي نظر باید ورته سند ته تعلق ولري
Parent comment not found,اصلي نظر ونه موندل شو
Parent project not synced to Frappe yet,اصلي پروژه تر اوسه Frappe ته همغږي شوې نه ده
Parent project sync not enabled,د اصلي پروژې همغږي فعاله نه ده
Partner,شریک
Pending,انتظار
per page,په پاڼه
Perform initial assessment and background check,لومړنۍ ارزونه او شالید کتنه ترسره کړئ
Permanently remove this event,دا پیښه تل لپاره لرې کړئ
Permanently remove this task,دا دنده تل لپاره لرې کړئ
Phone,تلیفون
Pin,پین کړئ
Pin Activity,فعالیت پین کړئ
Pin to top,پورته پین کړئ
Pinned,پین شوی
Planned budget for this task,د دې دندې لپاره پلان شوې بودجه
Planning,پلان جوړونه
Please describe your question or issue in detail...,مهرباني وکړئ خپله پوښتنه یا ستونزه په تفصیل سره تشریح کړئ...
Please login to access Orga,مهرباني وکړئ Orga ته د لاسرسي لپاره ننوزئ
Please login to access the client portal,مهرباني وکړئ د پیرودونکي پورټل ته لاسرسي لپاره ننوزئ
Please respond to this invitation in Orga,مهرباني وکړئ Orga کې دې بلنې ته ځواب ورکړئ
Please select an image file,مهرباني وکړئ د انځور دوتنه وټاکئ
Please try again,مهرباني وکړئ بیا هڅه وکړئ
Please type,مهرباني وکړئ ولیکئ
Portal,پورټل
Portal access revoked for {0},د {0} لپاره د پورټل لاسرسي لغوه شو
Portal user created successfully. Welcome email {0},د پورټل کارونکی په بریالیتوب سره جوړ شو. د ښه راغلاست بریښنالیک {0}
Post,خپره کړئ
Powered by,چلول کیږي له خوا
Powered by Tonic,د Tonic له خوا چلول کیږي
Predecessors (Blocked By),مخکني (بند شوی له خوا)
Preferences,غوره توبونه
Preferences saved successfully,غوره توبونه په بریالیتوب سره خوندي شول
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",د اتوماتیک تولید شویو پروژه کوډونو مختاړی (لکه ORG-2026-0001)
Prepare and document offer terms,د وړاندیز شرایط چمتو او مستند کړئ
Press,فشار ورکړئ
Preview,مخلید
Preview cascade before applying,د پلي کولو مخکې آبشار مخلید
Previous,مخکنی
Priority,لومړیتوب
Priority assigned to new tasks,نویو دندو ته ټاکل شوی لومړیتوب
Priority updated,لومړیتوب تازه شو
Proficiency,مهارتوالی
Profile,پروفایل
Progress,پرمختګ
Progress (High-Low),پرمختګ (لوړ-ټیټ)
Progress (Low-High),پرمختګ (ټیټ-لوړ)
Progress Overview,د پرمختګ کتنه
Progress updated,پرمختګ تازه شو
Project,پروژه
Project budget has been saved.,د پروژې بودجه خوندي شوه.
Project code (e.g. ORG-2026-0001),د پروژې کوډ (لکه ORG-2026-0001)
Project Code Prefix,د پروژې کوډ مختاړی
Project created,پروژه جوړه شوه
Project deleted,پروژه حذف شوه
Project description has been saved.,د پروژې تشریح خوندي شوه.
Project Details,د پروژې جزئیات
Project end date has been saved.,د پروژې د پای نیټه خوندي شوه.
Project Files,د پروژې دوتنې
Project has no linked client,پروژه هیڅ تړلی پیرودونکی نلري
Project Health,د پروژې روغتیا
Project Info,د پروژې معلومات
Project is required,پروژه اړینه ده
Project is required for project context,د پروژې شرایطو لپاره پروژه اړینه ده
Project is required when tracking context is 'project',کله چې د تعقیب شرایط 'پروژه' وي نو پروژه اړینه ده
Project Manager,د پروژې مدیر
Project Name,د پروژې نوم
Project name and template name are required,د پروژې نوم او د کینډۍ نوم اړین دي
Project name is required,د پروژې نوم اړین دی
Project not found,پروژه ونه موندل شوه
Project not found or you do not have access,پروژه ونه موندل شوه یا تاسو لاسرسی نلرئ
Project settings,د پروژې تنظیمات
Project start date has been saved.,د پروژې د پیل نیټه خوندي شوه.
Project title has been saved.,د پروژې سرلیک خوندي شو.
Project Type,د پروژې ډول
Project updated,پروژه تازه شوه
Project {0} linked to client {1},پروژه {0} د پیرودونکي {1} سره وتړل شوه
Project {0} not found,پروژه {0} ونه موندل شوه
Project {0} to Frappe Projects,پروژه {0} Frappe پروژو ته
Project:,پروژه:
projects,پروژې
Projects,پروژې
Projects created:,جوړ شوې پروژې:
Projects Overview,د پروژو کتنه
Projects skipped:,پریښودل شوې پروژې:
Projects updated:,تازه شوې پروژې:
Promote failed,ارتقا ناکام شو
Promote to task,دندې ته ارتقا ورکړئ
Promoted to task,دندې ته ارتقا ورکړل شو
Propose,وړاندیز وکړئ
Propose New Time,نوی وخت وړاندیز کړئ
Propose Time,وخت وړاندیز کړئ
Proposed End,وړاندیز شوی پای
Proposed Start,وړاندیز شوی پیل
Public,عامه
Quick Action,چټک عمل
Quick Actions,چټک عملونه
Quick Stats,چټکې احصایې
Rates,نرخونه
Receive notifications via email,د بریښنالیک له لارې خبرتیاوې ترلاسه کړئ
Receive notifications within the application,د اپلیکیشن دننه خبرتیاوې ترلاسه کړئ
Recent Activity,اوسنی فعالیت
Recipient {0} is not a valid user,ترلاسه کوونکی {0} یو باوري کارونکی نه دی
Reference,حواله
Refresh,تازه کړئ
Related,اړوند
Related Company (optional),اړوند شرکت (اختیاري)
Related Documents,اړوند اسناد
Related Project,اړونده پروژه
Remaining,پاتې
Reminder,یادونه
Reminder Lead Time,د یادونې مخکنی وخت
Reminder: {0} - {1} at {2},یادونه: {0} - {1} په {2}
Remove,لرې کړئ
Remove dependency,انحصار لرې کړئ
Remove dependency on,انحصار لرې کړئ
Remove from group,له ګروپ څخه لرې کړئ
Remove group dependency,د ګروپ انحصار لرې کړئ
Remove skill,مهارت لرې کړئ
Reopen,بیا خلاص کړئ
Reopen thread,موضوع بیا خلاصه کړئ
reopened,بیا خلاص شو
replies,ځوابونه
Reply,ځواب
reply,ځواب
Replying to,ته ځواب ورکول
Replying to comment,نظر ته ځواب ورکول
Report Defect,نیمګړتیا راپور کړئ
Reported Date,د راپور نیټه
Reports,راپورونه
Reports To,راپور ورکوي
Request Submitted!,غوښتنه وسپارل شوه!
Required,اړین
required,اړین
Research,څیړنه
Reset to Defaults,اصلي ارزښتونو ته بیرته تنظیم کړئ
Resolve,حل کړئ
Resolve thread,موضوع حل کړئ
Resolved,حل شوی
Resolved date cannot be before reported date,د حل نیټه نشي کولی د راپور نیټې څخه مخکې وي
Resource,سرچینه
Resource and skill name are required,سرچینه او د مهارت نوم اړین دي
Resource is already an attendee,سرچینه لا دمخه ګډون کوونکی دی
Resource name is required,د سرچینې نوم اړین دی
Resource not found,سرچینه ونه موندل شوه
Resource synced from employee {0},سرچینه د کارمند {0} څخه همغږي شوه
Resource {0} is already assigned to this task ({1}),سرچینه {0} لا دمخه دې دندې ته ټاکل شوې ده ({1})
Resource {0} not found,سرچینه {0} ونه موندل شوه
Resources,سرچینې
Retry,بیا هڅه وکړئ
Review,بیاکتنه
Review all relevant documents and contracts,ټول اړوند اسناد او تړونونه بیاکتنه کړئ
Reviews,بیاکتنې
Risk Assessment,د خطر ارزونه
Rollback,بیرته راستنیدل
Rolled back,بیرته راستون شو
Room or address,خونه یا پته
RSVP,RSVP
Safety,خوندیتوب
Sat,شنبه
Save,خوندي کړئ
"Save a project as a template, or import one from a JSON file.",پروژه د کینډۍ په توګه خوندي کړئ، یا د JSON دوتنې څخه یوه وارد کړئ.
Save as Template,د کینډۍ په توګه خوندي کړئ
Save Changes,بدلونونه خوندي کړئ
Save failed,خوندي کول ناکام شو
Save Preferences,غوره توبونه خوندي کړئ
Save Template,کینډۍ خوندي کړئ
Saving...,خوندي کیږي...
Schedule,مهال ویش
Schedule type is required for scheduled triggers,د مقرر شویو محرکونو لپاره د مهال ویش ډول اړین دی
Scheduled,مقرر شوی
Search,لټون
"Search by name, email, or skill...",د نوم، بریښنالیک، یا مهارت له مخې لټون...
Search for a project...,پروژه ولټوئ...
Search for a task...,دنده ولټوئ...
Search for an event...,پیښه ولټوئ...
Search for people to invite...,د بلنې لپاره خلک ولټوئ...
Search tasks to link...,د تړلو لپاره دندې ولټوئ...
Search tasks...,دندې ولټوئ...
Search...,لټون...
Searching...,لټون کیږي...
Seen,لیدل شوی
Select a project if your request is related to a specific project.,که ستاسو غوښتنه یوې ځانګړې پروژې سره تړاو لري نو پروژه وټاکئ.
Select a project...,پروژه وټاکئ...
Select a task from the Gantt chart to view and manage its details.,د جزئیاتو لیدلو او مدیریت لپاره د ګانټ چارټ څخه دنده وټاکئ.
Select a task from the list or Kanban board to view and manage its details.,د جزئیاتو لیدلو او مدیریت لپاره د لیست یا کانبان بورډ څخه دنده وټاکئ.
Select a template...,کینډۍ وټاکئ...
Select priority...,لومړیتوب وټاکئ...
Select status...,حالت وټاکئ...
Select task...,دنده وټاکئ...
Select type...,ډول وټاکئ...
Selection,انتخاب
Send,ولیږئ
Send comment,نظر ولیږئ
Send email invitations to attendees,ګډون کوونکو ته د بریښنالیک بلنې ولیږئ
Send Invitations,بلنې ولیږئ
Send notification when a task is assigned to a user,کله چې دنده کارونکي ته ټاکل کیږي خبرتیا ولیږئ
Send notification when task status changes,کله چې د دندې حالت بدلیږي خبرتیا ولیږئ
Send reminder before task due date,د دندې د وعدې نیټې مخکې یادونه ولیږئ
sent,لیږل شوی
Set rate,نرخ وټاکئ
Settings,تنظیمات
Settings saved successfully,تنظیمات په بریالیتوب سره خوندي شول
Severity,شدت
SF (Start-Finish),پ‌پ (پیل-پای)
SF - Start-to-Finish,پ‌پ - پیل-ته-پای
Show,وښایئ
Show all,ټول وښایئ
Show all changes,ټول بدلونونه وښایئ
Show Archived,آرشیف شوي وښایئ
Show full diff,بشپړ توپیر وښایئ
Show less,لږ وښایئ
Show more,نور وښایئ
Skill added,مهارت اضافه شو
Skill is required,مهارت اړین دی
Skill Name,د مهارت نوم
Skill removed,مهارت لرې شو
Skill {0} already exists for this resource,مهارت {0} لا دمخه د دې سرچینې لپاره شتون لري
Skills,مهارتونه
Skills & Competencies,مهارتونه او وړتیاوې
Skip already migrated projects,لا دمخه لیږدول شوې پروژې پریښوئ
Sort by,ترتیب ورکړئ
Sort: Due Date,ترتیب: د وعدې نیټه
Sort: Priority,ترتیب: لومړیتوب
Sort: Project,ترتیب: پروژه
Sort: Status,ترتیب: حالت
Sort: Task,ترتیب: دنده
Source Code,سرچینه کوډ
Spent,مصرف شوی
Spent:,مصرف شوی:
SS (Start-Start),پپ (پیل-پیل)
SS - Start-to-Start,پپ - پیل-ته-پیل
Standalone,خپلواک
Start,پیل
Start a discussion below,لاندې بحث پیل کړئ
Start Date,د پیل نیټه
Start date,د پیل نیټه
Start Date (Earliest),د پیل نیټه (تر ټولو وړومبۍ)
Start date updated,د پیل نیټه تازه شوه
Start date/time is required,د پیل نیټه/وخت اړین دی
Start Migration,لیږدونه پیل کړئ
Start the conversation below.,لاندې خبرې اترې پیل کړئ.
Start Timer,ټایمر پیل کړئ
Start typing to search...,د لټون لپاره لیکل پیل کړئ...
Start-to-Finish,پیل-ته-پای
Start-to-Start,پیل-ته-پیل
Start:,پیل:
Statistics reset,احصایې بیا تنظیم شوې
Status,حالت
Status assigned to new projects,نویو پروژو ته ټاکل شوی حالت
Status assigned to new tasks,نویو دندو ته ټاکل شوی حالت
Status Changes,د حالت بدلونونه
Status updated,حالت تازه شو
Status:,حالت:
