+ Add Milestone,+ Додати віху
Mark as unread,Позначити як непрочитане
Mark read,Позначити як прочитане
Marking...,Позначення...
Material,Матеріал
Maybe,Можливо
Medium,Середній
Meeting,Нарада
Meeting Link,Посилання на нараду
Meeting title,Назва наради
Meeting URL,Посилання на нараду
Meetings,Наради
Mention,Згадка
Message,Повідомлення
Message is required,Повідомлення обов'язкове
Message is required for '{0}' action,Повідомлення обов'язкове для дії «{0}»
Migrate,Перенести
Migration Complete,Перенесення завершено
Migration ID:,ID перенесення:
Migration log not found: {0},Журнал перенесення не знайдено: {0}
Milestone,Віха
milestone,віха
Milestone created,Віху створено
Milestone description has been saved.,Опис віхи збережено.
Milestone ID is required,Ідентифікатор віхи обов'язковий
Milestone marked as Missed (past due date),Віху позначено як пропущену (термін минув)
Milestone moved,Віху переміщено
Milestone Name,Назва віхи
Milestone name has been saved.,Назву віхи збережено.
Milestone name is required,Назва віхи обов'язкова
Milestone updated,Віху оновлено
Milestone {0} not found,Віху {0} не знайдено
Milestone {0} not in project {1},Віха {0} відсутня в проєкті {1}
Milestones,Віхи
milestones,віхи
Milestones:,Віхи:
Minutes,Хвилин
Missed,Пропущено
Mixed,Змішаний
Mobile,Мобільний
Moderate,Помірний
Modified,Змінено
"Modify details, time, or attendees","Змінити деталі, час або учасників"
Mon,Пн
Month,Місяць
Move failed,Не вдалося перемістити
Must be a positive number,Має бути додатним числом
Must finish before this finishes,Має завершитися до закінчення цього
Must finish before this starts,Має завершитися до початку цього
Must start before this finishes,Має розпочатися до закінчення цього
Must start before this starts,Має розпочатися до початку цього
My Assignments,Мої призначення
My Projects,Мої проєкти
My Schedule,Мій розклад
My Tasks,Мої завдання
N/A,Н/Д
Name,Назва
Name (A-Z),Назва (А-Я)
Name (Z-A),Назва (Я-А)
Name cannot exceed 255 characters,Назва не може перевищувати 255 символів
Need help?,Потрібна допомога?
Needs Attention,Потребує уваги
Never,Never
new activities,нові активності
New Activity,Нова активність
New activity,Нова активність
New Event,Нова подія
New index is required,Потрібен новий індекс
New Project,Новий проєкт
New tasks will auto-trail by default.,Нові завдання за замовчуванням матимуть автоматичне ковзання.
Newest First,Спочатку нові
Next,Далі
Next 14 days,Найближчі 14 днів
Next 30 days,Найближчі 30 днів
Next 60 days,Найближчі 60 днів
Next 7 days,Найближчі 7 днів
Next 90 days,Найближчі 90 днів
Next Week,Наступний тиждень
Next:,Далі:
No,Ні
No active assignments,Немає активних призначень
No active projects,Немає активних проєктів
No active timer found,Активний таймер не знайдено
No activity selected,Активність не обрано
No assignments found,Призначень не знайдено
No attendees,Немає учасників
no change,без змін
No changes for this field.,Немає змін для цього поля.
No changes recorded for this activity.,Для цієї активності змін не зафіксовано.
No checklist items yet,Пунктів списку поки немає
No checklist items yet.,Пунктів списку поки немає.
No comments yet,Коментарів поки немає
No comments yet.,Коментарів поки немає.
No contacts available,Немає доступних контактів
No content for this tab,Немає вмісту для цієї вкладки
No data available,Немає доступних даних
No data available for the selected filters,Немає даних для обраних фільтрів
No data to export,Немає даних для експорту
No dates set,Дати не вказано
No defects reported,Дефектів не виявлено
No dependencies defined,Залежностей не визначено
No description,Немає опису
No discussion yet.,Обговорень поки немає.
No documents attached,Документів не прикріплено
No due date,Немає терміну виконання
No employee linked to this resource,До цього ресурсу не прив'язано працівника
No ERPNext employee linked to resource,До ресурсу не прив'язано працівника ERPNext
No events found,Подій не знайдено
No files attached yet.,Файлів поки не прикріплено.
No Frappe Project linked,Проєкт Frappe не прив'язано
No Grouping,Без групування
No items,Немає елементів
No matching tasks,Немає відповідних завдань
No matching tasks found,Відповідних завдань не знайдено
No migration history,Немає історії перенесення
No Milestone,Без віхи
No milestones,Немає віх
No milestones defined for this project.,Для цього проєкту віх не визначено.
No notes yet.,Нотаток поки немає.
No notes yet. Add a due diligence note to track progress.,Нотаток поки немає. Додайте нотатку перевірки для відстеження прогресу.
No notifications,Немає сповіщень
No Orga Project linked to Frappe Project {0},Проєкт Orga не прив'язано до проєкту Frappe {0}
No overdue tasks,Немає прострочених завдань
No pending cascade changes,Немає очікуваних каскадних змін
No predecessors - this task can start independently,Немає попередників — це завдання може починатися самостійно
No project,Немає проєкту
No projects found,Проєктів не знайдено
No Projects Yet,Проєктів поки немає
No recent activity,Немає нещодавньої активності
No related documents,Немає пов'язаних документів
No resolved threads.,Немає завершених обговорень.
No resources found,Ресурсів не знайдено
No results found,Результатів не знайдено
No skills listed,Навичок не вказано
No skills recorded yet,Навичок поки не записано
No successors - no tasks are waiting for this one,Немає наступників — жодне завдання не чекає на це
No task selected,Завдання не обрано
No tasks assigned to you,Вам не призначено завдань
No tasks available to add,Немає завдань для додавання
No tasks found,Завдань не знайдено
No tasks linked to this milestone,До цієї віхи не прив'язано завдань
No tasks with dates to display,Немає завдань із датами для відображення
No tasks yet,Завдань поки немає
No team members,Немає учасників команди
No template,Немає шаблону
No templates yet,Шаблонів поки немає
No time data found,Даних про час не знайдено
No time logged today,Сьогодні час не записано
No time logged yet,Час поки не записано
No time logs for this period,Немає записів часу за цей період
No time logs found,Записів часу не знайдено
No unread notifications,Немає непрочитаних сповіщень
No update information available yet.,No update information available yet.
None,Немає
Not found,Не знайдено
Not permitted,Доступ заборонено
Not permitted to access this project,Немає доступу до цього проєкту
Not permitted to access this task,Немає доступу до цього завдання
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Вам не дозволено коментувати цей документ
Not permitted to create clients,Вам не дозволено створювати клієнтів
Not permitted to delete this client,Вам не дозволено видаляти цього клієнта
Not permitted to delete this defect,Вам не дозволено видаляти цей дефект
Not permitted to delete this note,Вам не дозволено видаляти цю нотатку
Not permitted to delete this project,Вам не дозволено видаляти цей проєкт
Not permitted to delete this task,Вам не дозволено видаляти це завдання
Not permitted to delete this time log,Вам не дозволено видаляти цей запис часу
Not permitted to invite clients,Вам не дозволено запрошувати клієнтів
Not permitted to modify client access,Вам не дозволено змінювати доступ клієнта
Not permitted to modify this project,Вам не дозволено змінювати цей проєкт
Not permitted to update settings,Вам не дозволено змінювати налаштування
Not permitted to update this client,Вам не дозволено змінювати цього клієнта
Not permitted to view this client,Вам не дозволено переглядати цього клієнта
not sent,не надіслано
Not set,Не задано
Not specified,Не вказано
Note,Нотатка
Note (optional),Нотатка (необов'язково)
Note Content,Зміст нотатки
Note content is required,Зміст нотатки обов'язковий
Note name is required,Назва нотатки обов'язкова
Note not found,Нотатку не знайдено
Note Type,Тип нотатки
Notes,Нотатки
Notification,Сповіщення
Notification not found,Сповіщення не знайдено
Notifications,Сповіщення
Off Track,Не за планом
Offer,Пропозиція
Offer Prepared,Пропозицію підготовлено
Oldest First,Спочатку старі
On Hold,На утриманні
On Leave,У відпустці
On Track,За планом
On-Time Rate,Частка вчасного
Only administrators can delete activities,Лише адміністратори можуть видаляти активності
Only the comment author or administrators can delete comments,Лише автор коментаря або адміністратори можуть видаляти коментарі
Only you and admins,Лише ви та адміністратори
Open,Відкрито
Open in Desk,Відкрити в Desk
Open Task Log,Відкрити журнал завдання
Open Tasks,Відкриті завдання
Optional,Необов'язково
optional,необов'язково
Or email us directly at,Або напишіть нам безпосередньо на
Orga Project {0} from Frappe Projects,Проєкт Orga {0} з Frappe Projects
Orga Task {0} from Frappe,Завдання Orga {0} з Frappe
Organizer,Організатор
Other,Інше
Over Budget,Перевищення бюджету
Overall Progress,Загальний прогрес
Overall Utilization,Загальне завантаження
Overallocated,Перевантажений
Overdue,Прострочено
overdue,прострочено
Overdue Tasks,Прострочені завдання
Overview,Огляд
Owner,Власник
Page Not Found,Сторінку не знайдено
Parent,Батьківський
Parent comment must belong to the same document,Батьківський коментар повинен належати до того ж документа
Parent comment not found,Батьківський коментар не знайдено
Parent project not synced to Frappe yet,Батьківський проєкт ще не синхронізовано з Frappe
Parent project sync not enabled,Синхронізацію батьківського проєкту не ввімкнено
Partner,Партнер
Pending,Очікування
per page,на сторінку
Perform initial assessment and background check,Провести первинну оцінку та перевірку
Permanently remove this event,Безповоротно видалити цю подію
Permanently remove this task,Безповоротно видалити це завдання
Phone,Телефон
Pin,Закріпити
Pin Activity,Закріпити активність
Pin to top,Закріпити вгорі
Pinned,Закріплено
Planned budget for this task,Запланований бюджет для цього завдання
Planning,Планування
Please describe your question or issue in detail...,Детально опишіть ваше питання або проблему...
Please login to access Orga,Будь ласка
Please login to access the client portal,Будь ласка
Please respond to this invitation in Orga,Будь ласка
Please select an image file,Будь ласка
Please try again,Будь ласка
Please type,Будь ласка
Portal,Портал
Portal access revoked for {0},Доступ до порталу відкликано для {0}
Portal user created successfully. Welcome email {0},Користувача порталу успішно створено. Вітальний лист {0}
Post,Опублікувати
Powered by,Працює на
Powered by Tonic,Працює на Tonic
Predecessors (Blocked By),Попередники (заблоковано)
Preferences,Налаштування
Preferences saved successfully,Налаштування успішно збережено
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Префікс для автоматичних кодів проєктів (напр. ORG-2026-0001)
Prepare and document offer terms,Підготувати та зафіксувати умови пропозиції
Press,Натисніть
Preview,Попередній перегляд
Preview cascade before applying,Попередній перегляд каскаду перед застосуванням
Previous,Назад
Priority,Пріоритет
Priority assigned to new tasks,Пріоритет для нових завдань
Priority updated,Пріоритет оновлено
Proficiency,Рівень володіння
Profile,Профіль
Progress,Прогрес
Progress (High-Low),Прогрес (за спаданням)
Progress (Low-High),Прогрес (за зростанням)
Progress Overview,Огляд прогресу
Progress updated,Прогрес оновлено
Project,Проєкт
Project budget has been saved.,Бюджет проєкту збережено.
Project code (e.g. ORG-2026-0001),Код проєкту (напр. ORG-2026-0001)
Project Code Prefix,Префікс коду проєкту
Project created,Проєкт створено
Project deleted,Проєкт видалено
Project description has been saved.,Опис проєкту збережено.
Project Details,Деталі проєкту
Project end date has been saved.,Дату завершення проєкту збережено.
Project Files,Файли проєкту
Project has no linked client,Проєкт не має пов'язаного клієнта
Project Health,Стан проєкту
Project Info,Інформація про проєкт
Project is required,Проєкт обов'язковий
Project is required for project context,Проєкт обов'язковий для контексту проєкту
Project is required when tracking context is 'project',"Проєкт обов'язковий, коли контекст відстеження — «проєкт»"
Project Manager,Керівник проєкту
Project Name,Назва проєкту
Project name and template name are required,Назва проєкту та назва шаблону обов'язкові
Project name is required,Назва проєкту обов'язкова
Project not found,Проєкт не знайдено
Project not found or you do not have access,Проєкт не знайдено або у вас немає доступу
Project settings,Налаштування проєкту
Project start date has been saved.,Дату початку проєкту збережено.
Project title has been saved.,Заголовок проєкту збережено.
Project Type,Тип проєкту
Project updated,Проєкт оновлено
Project {0} linked to client {1},Проєкт {0} пов'язано з клієнтом {1}
Project {0} not found,Проєкт {0} не знайдено
Project {0} to Frappe Projects,Проєкт {0} до Frappe Projects
Project:,Проєкт:
Projects,Проєкти
projects,проєкти
Projects created:,Проєктів створено:
Projects Overview,Огляд проєктів
Projects skipped:,Проєктів пропущено:
Projects updated:,Проєктів оновлено:
Promote failed,Не вдалося перетворити
Promote to task,Перетворити на завдання
Promoted to task,Перетворено на завдання
Propose,Запропонувати
Propose New Time,Запропонувати новий час
Propose Time,Запропонувати час
Proposed End,Пропоноване завершення
Proposed Start,Пропонований початок
Public,Публічний
Quick Action,Швидка дія
Quick Actions,Швидкі дії
Quick Stats,Коротка статистика
Rates,Ставки
Receive notifications via email,Отримувати сповіщення електронною поштою
Receive notifications within the application,Отримувати сповіщення в додатку
Recent Activity,Нещодавня активність
Recipient {0} is not a valid user,Одержувач {0} не є дійсним користувачем
Reference,Посилання
Refresh,Оновити
Related,Пов'язане
Related Company (optional),Пов'язана компанія (необов'язково)
Related Documents,Пов'язані документи
Related Project,Пов'язаний проєкт
Remaining,Залишилось
Reminder,Нагадування
Reminder Lead Time,Час до нагадування
Reminder: {0} - {1} at {2},Нагадування: {0} — {1} о {2}
Remove,Прибрати
Remove dependency,Видалити залежність
Remove dependency on,Видалити залежність від
Remove from group,Прибрати з групи
Remove group dependency,Видалити групову залежність
Remove skill,Видалити навичку
Reopen,Відновити
Reopen thread,Відновити обговорення
reopened,відновлено
replies,відповіді
Reply,Відповісти
reply,відповідь
Replying to,У відповідь на
Replying to comment,У відповідь на коментар
Report Defect,Повідомити про дефект
Reported Date,Дата повідомлення
Reports,Звіти
Reports To,Підпорядковується
Request Submitted!,Запит надіслано!
Required,Обов'язково
required,обов'язково
Research,Дослідження
Reset to Defaults,Скинути на значення за замовчуванням
Resolve,Вирішити
Resolve thread,Завершити обговорення
Resolved,Вирішено
Resolved date cannot be before reported date,Дата вирішення не може бути раніше дати виявлення
Resource,Ресурс
Resource and skill name are required,Ресурс та назва навички обов'язкові
Resource is already an attendee,Ресурс вже є учасником
Resource name is required,Назва ресурсу обов'язкова
Resource not found,Ресурс не знайдено
Resource synced from employee {0},Ресурс синхронізовано з працівника {0}
Resource {0} is already assigned to this task ({1}),Ресурс {0} вже призначено на це завдання ({1})
Resource {0} not found,Ресурс {0} не знайдено
Resources,Контакти
Retry,Повторити
Review,Перевірка
Review all relevant documents and contracts,Перевірити всі відповідні документи та договори
Reviews,Перевірки
Risk Assessment,Оцінка ризиків
Rollback,Відкотити
Rolled back,Відкочено
Room or address,Приміщення або адреса
RSVP,RSVP
Safety,Безпека
Sat,Сб
Save,Зберегти
"Save a project as a template, or import one from a JSON file.",Збережіть проєкт як шаблон або імпортуйте з файлу JSON.
Save as Template,Зберегти як шаблон
Save Changes,Зберегти зміни
Save failed,Не вдалося зберегти
Save Preferences,Зберегти налаштування
Save Template,Зберегти шаблон
Saving...,Збереження...
Schedule,Розклад
Schedule type is required for scheduled triggers,Тип розкладу обов'язковий для запланованих тригерів
Scheduled,Заплановано
Search,Пошук
"Search by name, email, or skill...","Пошук за ім'ям, електронною поштою або навичкою..."
Search for a project...,Знайти проєкт...
Search for a task...,Знайти завдання...
Search for an event...,Знайти подію...
Search for people to invite...,Знайти людей для запрошення...
Search tasks to link...,Знайти завдання для пов'язання...
Search tasks...,Пошук завдань...
Search...,Пошук...
Searching...,Пошук...
Seen,Переглянуто
Select a project if your request is related to a specific project.,"Оберіть проєкт, якщо ваш запит пов'язаний з конкретним проєктом."
Select a project...,Оберіть проєкт...
Select a task from the Gantt chart to view and manage its details.,Оберіть завдання на діаграмі Gantt для перегляду та керування його деталями.
Select a task from the list or Kanban board to view and manage its details.,Оберіть завдання зі списку або дошки Kanban для перегляду та керування його деталями.
Select a template...,Оберіть шаблон...
Select priority...,Оберіть пріоритет...
Select status...,Оберіть статус...
Select task...,Оберіть завдання...
Select type...,Оберіть тип...
Selection,Вибір
Send,Надіслати
Send comment,Надіслати коментар
Send email invitations to attendees,Надіслати запрошення електронною поштою учасникам
Send Invitations,Надіслати запрошення
Send notification when a task is assigned to a user,Надіслати сповіщення при призначенні завдання користувачу
Send notification when task status changes,Надіслати сповіщення при зміні статусу завдання
Send reminder before task due date,Надіслати нагадування перед терміном завдання
sent,надіслано
Set rate,Задати ставку
Settings,Налаштування
Settings saved successfully,Налаштування успішно збережено
Severity,Серйозність
SF (Start-Finish),SF (Старт-Фініш)
SF - Start-to-Finish,SF — Старт-Фініш
Show,Показати
Show all,Показати все
Show all changes,Показати всі зміни
Show Archived,Показати архівні
Show full diff,Показати повні відмінності
Show less,Згорнути
Show more,Розгорнути
Skill added,Навичку додано
Skill is required,Навичка обов'язкова
Skill Name,Назва навички
Skill removed,Навичку видалено
Skill {0} already exists for this resource,Навичка {0} вже існує для цього ресурсу
Skills,Навички
Skills & Competencies,Навички та компетенції
Skip already migrated projects,Пропустити вже перенесені проєкти
Sort by,Сортувати за
Sort: Due Date,Сортування: термін виконання
Sort: Priority,Сортування: пріоритет
Sort: Project,Сортування: проєкт
Sort: Status,Сортування: статус
Sort: Task,Сортування: завдання
Source Code,Вихідний код
Spent,Витрачено
Spent:,Витрачено:
SS (Start-Start),SS (Старт-Старт)
SS - Start-to-Start,SS — Старт-Старт
Standalone,Самостійний
Start,Початок
Start a discussion below,Почніть обговорення нижче
Start Date,Дата початку
Start date,Дата початку
Start Date (Earliest),Дата початку (найближча)
Start date updated,Дату початку оновлено
Start date/time is required,Дата/час початку обов'язкові
Start Migration,Почати перенесення
Start the conversation below.,Почніть розмову нижче.
Start Timer,Запустити таймер
Start typing to search...,Почніть вводити для пошуку...
Start-to-Finish,Старт-Фініш
Start-to-Start,Старт-Старт
Start:,Початок:
Statistics reset,Статистику скинуто
Status,Статус
Status assigned to new projects,Статус для нових проєктів
Status assigned to new tasks,Статус для нових завдань
Status Changes,Зміни статусу
Status updated,Статус оновлено
Status:,Статус:
Stop,Зупинити
Stop & Save,Зупинити і зберегти
Stop Timer,Зупинити таймер
Stops current timer and starts for this event,Зупиняє поточний таймер і запускає для цієї події
Stops current timer and starts for this task,Зупиняє поточний таймер і запускає для цього завдання
Subject,Тема
Subject cannot exceed 255 characters,Тема не може перевищувати 255 символів
Subject is required,Тема обов'язкова
Submit,Надіслати
Submit Another Request,Надіслати ще один запит
Submit Request,Надіслати запит
Submitting...,Надсилання...
Successfully saved,Успішно збережено
Successors (Blocking),Наступники (блокує)
Sun,Нд
Supplier,Постачальник
Support,Підтримка
Switch to this event,Перемкнутися на цю подію
Switch to this task,Перемкнутися на це завдання
Sync direction is set to Frappe to Orga only,Напрямок синхронізації: лише з Frappe до Orga
Sync direction is set to Orga to Frappe only,Напрямок синхронізації: лише з Orga до Frappe
Sync not enabled for this project,Синхронізацію для цього проєкту не ввімкнено
System,Система
Table,Таблиця
Take ownership of this task,Взяти це завдання собі
Target Date,Цільова дата
Target End,Цільове завершення
Target Project,Цільовий проєкт
Target user is required for '{0}' action,Цільовий користувач обов'язковий для дії «{0}»
Task,Завдання
task,завдання
Task '{0}' is due on {1}.,Термін завдання «{0}» — {1}.
Task and resource are required,Завдання та ресурс обов'язкові
Task Assignment,Призначення завдання
Task cannot be its own parent,Завдання не може бути своїм власним батьком
Task cannot depend on itself,Завдання не може залежати від самого себе
Task cannot depend on the group it belongs to,Завдання не може залежати від групи
Task created,Завдання створено
Task deleted,Завдання видалено
Task description has been saved.,Опис завдання збережено.
Task Details,Деталі завдання
Task due in {0} days: {1},Термін завдання через {0} днів: {1}
Task due today: {0},Термін завдання сьогодні: {0}
Task due tomorrow: {0},Термін завдання завтра: {0}
Task duplicated,Завдання дубльовано
Task Group,Група завдань
Task ID is required,Ідентифікатор завдання обов'язковий
Task is blocked by incomplete dependencies,Завдання заблоковано незавершеними залежностями
Task is cancelled,Завдання скасовано
Task is completed,Завдання завершено
Task is no longer blocked by a group,Завдання більше не заблоковано групою
Task is required for task context,Завдання обов'язкове для контексту завдання
Task is required when tracking context is 'task',"Завдання обов'язкове, коли контекст відстеження — «завдання»"
Task linked,Завдання пов'язано
Task moved,Завдання переміщено
Task name,Назва завдання
Task name is required,Назва завдання обов'язкова
Task removed from group,Завдання видалено з групи
Task Subject,Тема завдання
Task subject is required,Тема завдання обов'язкова
Task Type,Тип завдання
Task unblocked: {0},Завдання розблоковано: {0}
Task unlinked,Завдання від'єднано
Task updated,Завдання оновлено
Task {0} not found,Завдання {0} не знайдено
Task {0} not in project {1},Завдання {0} відсутнє в проєкті {1}
Task {0} to Frappe,Завдання {0} до Frappe
Tasks,Завдання
tasks,завдання
Tasks and milestones will be created with dates relative to the project start date.,Завдання та віхи будуть створені з датами відносно дати початку проєкту.
Tasks assigned to you across all projects.,Завдання
Tasks created:,Завдань створено:
Tasks from projects you manage.,Завдання з проєктів
Tasks updated:,Завдань оновлено:
"Tasks, milestones, and dependencies have been created.","Завдання, віхи та залежності створено."
Tasks:,Завдання:
TBD,Уточнюється
Team,Команда
Team Members,Учасники команди
Template,Шаблон
Template applied,Шаблон застосовано
Template data is required in import data,Дані шаблону обов'язкові в імпортованих даних
Template has no data,Шаблон не містить даних
Template Name,Назва шаблону
Template name,Назва шаблону
Template name is required,Назва шаблону обов'язкова
Template name is required in import data,Назва шаблону обов'язкова в імпортованих даних
Template saved,Шаблон збережено
Template updated successfully.,Шаблон успішно оновлено.
Template {0} not found,Шаблон {0} не знайдено
Templates,Шаблони
Tentative,Попередньо
The comment has been deleted,Коментар видалено
The project,Проєкт
The source document may have been deleted.,Вихідний документ міг бути видалений.
The source document will not be affected.,Вихідний документ не буде зачеплено.
The status of '{0}' was changed from {1} to {2}.,Статус «{0}» змінено з {1} на {2}.
Theme,Тема оформлення
Theme preference,Налаштування теми
This action,Ця дія
This action cannot be undone.,Цю дію не можна скасувати.
This activity has been flagged for attention,Цю активність позначено як важливу
This is a reminder for your upcoming appointment,Це нагадування про вашу найближчу зустріч
This method is only meant for developer mode,Цей метод доступний лише в режимі розробника
This page wandered off,This page wandered off
This Week,Цей тиждень
This will delete all notes and preferences associated with this activity.,Це видалить усі нотатки та налаштування
This will import all Frappe Projects into Orga. Continue?,Це імпортує всі проєкти Frappe до Orga. Продовжити?
This will permanently delete,Це безповоротно видалить
This will permanently delete:,Буде безповоротно видалено:
Thu,Чт
Time,Час
Time & Billing,Час та оплата
Time & Revenue,Час та дохід
Time Entries,Записи часу
Time log name is required,Назва запису часу обов'язкова
Time Log not found,Запис часу не знайдено
Time log {0} not found,Запис часу {0} не знайдено
Time Logs,Записи часу
Time Summary,Зведення часу
Time Tracking,Облік часу
Timeline,Хронологія
Timer active on,Таймер активний на
Timer is not running,Таймер не запущено
Timer Running,Таймер працює
Timer running,Таймер працює
Timesheet DocType not available,DocType «Табель» недоступний
Timesheets,Табелі
Timezone,Часовий пояс
Timezone is detected from your browser,Часовий пояс визначається з вашого браузера
Title,Заголовок
Title cannot exceed 255 characters,Заголовок не може перевищувати 255 символів
Title is required,Заголовок обов'язковий
Title updated,Заголовок оновлено
To,До
to,до
to cancel,для скасування
to close,для закриття
to confirm:,для підтвердження:
to edit,для редагування
"to save,","для збереження,"
To Time cannot be before From Time,Час завершення не може бути раніше часу початку
Today,Сьогодні
today,сьогодні
Toggle billable,Перемкнути оплатність
Toggle Details Panel,Показати/сховати панель деталей
Toggle Manager Panel,Показати/сховати панель керівника
Toggle Sidebar,Показати/сховати бічну панель
Tomorrow,Завтра
tomorrow,завтра
Total,Разом
Total Budget,Загальний бюджет
Total Contacts,Усього контактів
Total Cost,Загальна вартість
Total Cost to Org,Загальні витрати організації
Total Defect Cost,Загальна вартість дефектів
Total Hours,Усього годин
Total Hours Logged,Усього годин записано
Total Projects,Усього проєктів
Total Spent,Усього витрачено
Total Tasks,Усього завдань
Total:,Разом:
Tracked,Відстежено
trails to today while Open at 0%,"ковзає до сьогодні, поки статус «Відкрито» при 0%"
Tried:,Tried:
Try adjusting your filter criteria,Спробуйте змінити умови фільтрації
Try adjusting your filters.,Спробуйте змінити фільтри.
Try Again,Спробувати ще раз
Tue,Вт
Type,Тип
Type updated,Тип оновлено
Type:,Тип:
Typical response time: 1-2 business days,Звичайний час відповіді: 1–2 робочі дні
Unarchive,Розархівувати
Unarchive Activity,Розархівувати активність
Unassign,Зняти призначення
Unassigned,Не призначено
Under Budget,У межах бюджету
Ungrouped,Без групи
Unknown,Невідомо
Unknown error,Невідома помилка
Unlink failed,Не вдалося від'єднати
Unlink task from milestone,Від'єднати завдання від віхи
Unpin,Відкріпити
Unpin Activity,Відкріпити активність
Unread,Непрочитане
Unread only,Лише непрочитані
Until,До
Up to Date,Up to Date
Upcoming,Найближчі
upcoming,найближчі
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Не вдалося оновити
Updated,Оновлено
Updated successfully,Успішно оновлено
Updates,Updates
Upload,Завантажити
Upload failed,Не вдалося завантажити
Upload files below to attach them to this task.,Завантажте файли нижче для прикріплення до цього завдання.
Upload to project,Завантажити до проєкту
Uploading...,Завантаження...
Urgent,Терміновий
User {0} is already linked to client {1},Користувача {0} вже пов'язано з клієнтом {1}
User {0} is already linked to resource {1},Користувача {0} вже пов'язано з ресурсом {1}
Utilization,Завантаження
Valid,Дійсний
Value:,Значення:
Variance,Відхилення
Variance:,Відхилення:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Перегляд
View All,Показати все
View all active projects,Показати всі активні проєкти
View all open tasks,Показати всі відкриті завдання
View overdue tasks,Показати прострочені завдання
View Release,View Release
Visibility,Видимість
Waiting for this task,Очікування цього завдання
Waits for:,Очікує:
Warning: Resource {0} status is {1},Увага: статус ресурсу {0} — {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Увага: використовується HTTP замість HTTPS. Дані вебхуків можуть бути незахищеними.
Watch budget closely,Пильно стежте за бюджетом
We'll respond to:,Ми відповімо на:
Webhook deleted,Вебхук видалено
Webhook name is required,Назва вебхука обов'язкова
Webhook not found,Вебхук не знайдено
Webhook URL is required,URL вебхука обов'язковий
Webhook URL must start with http:// or https://,URL вебхука має починатися з http:// або https://
Wed,Ср
Week,Тиждень
Weekend,Вихідні
Weekly Capacity,Навантаження на тиждень
weekly capacity,навантаження на тиждень
Weekly Capacity (h),Навантаження на тиждень (год)
Welcome,Ласкаво просимо
Welcome back!,З поверненням!
Welcome to Orga,Ласкаво просимо до Orga
What are you working on?,Над чим ви працюєте?
What did you work on?,Над чим ви працювали?
When,Коли
When work begins,Коли починається робота
When work is due,Коли робота має бути виконана
Where,Де
Will capture:,Буде збережено:
Will create:,Буде створено:
with checklist items,з пунктами списку
Working,У роботі
Workload,Навантаження
Workmanship,Якість роботи
Write a comment...,Напишіть коментар...
Write a comment... Use @name to mention (Ctrl+Enter to send),Напишіть коментар... Використовуйте @ім'я для згадування (Ctrl+Enter для надсилання)
Year,Рік
Yes,Так
Yesterday,Вчора
yesterday,вчора
You are not an attendee of this appointment,Ви не є учасником цієї зустрічі
You are not linked to any resource,Ви не прив'язані до жодного ресурсу
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Ви можете видаляти лише власні коментарі
You can only delete your own reactions,Ви можете видаляти лише власні реакції
You do not have access to the client portal. Please contact support.,У вас немає доступу до клієнтського порталу. Зверніться до підтримки.
You have already reacted with '{0}',Ви вже відреагували «{0}»
You have been assigned to task '{0}' in project '{1}'.,Вам призначено завдання «{0}» у проєкті «{1}».
You have been assigned to: {0},Вам призначено: {0}
You have been invited to the following appointment,Вас запрошено на наступну зустріч
You have no tasks assigned to you right now.,Наразі вам не призначено жодного завдання.
You were mentioned in {0},Вас згадали в {0}
Your attendance,Ваша участь
Your comment has been posted,Ваш коментар опубліковано
Your Projects,Ваші проєкти
Your projects will appear here once they're assigned to you.,Ваші проєкти з'являться тут
Your Response,Ваша відповідь
Your RSVP,Ваш RSVP
Your support request has been submitted successfully.,Ваш запит до підтримки успішно надіслано.
Your support request has been submitted successfully. We'll get back to you shortly.,Ваш запит до підтримки успішно надіслано. Ми зв'яжемося з вами найближчим часом.
"Your task ""{0}"" is no longer blocked and can now be started.",Ваше завдання «{0}» більше не заблоковано і може бути розпочато.
{0} is required,{0} обов'язково
{0} new activities,{0} нових активностей
{0} of {1} completed,{0} з {1} завершено
{0} projects already migrated (will be skipped or updated),{0} проєктів вже перенесено (буде пропущено або оновлено)
{0} status changed to {1},Статус {0} змінено на {1}
{0} tasks remaining,Залишилося {0} завдань
{0} tasks without projects will be skipped,{0} завдань без проєктів буде пропущено
{0} {1} not found,{0} {1} не знайдено
