+ Add Milestone,+ माइलस्टोन जोड़ें
Failed to reorder tasks: {0},कार्य पुनःक्रमित करना विफल: {0}
Failed to reschedule dependent tasks: {0},निर्भर कार्यों को पुनर्निर्धारित करना विफल: {0}
Failed to save,सहेजना विफल
Failed to save preferences,प्राथमिकताएँ सहेजना विफल
Failed to save settings,सेटिंग्स सहेजना विफल
Failed to submit request. Please try again.,अनुरोध सबमिट करना विफल। कृपया पुनः प्रयास करें।
Failed to update item,आइटम अपडेट करना विफल
Failed to update priority,प्राथमिकता अपडेट करना विफल
Failed to update task,कार्य अपडेट करना विफल
Failed to update tasks: {0},कार्य अपडेट करना विफल: {0}
Failed to upload avatar,अवतार अपलोड करना विफल
Feature,सुविधा
Features,सुविधाएँ
FF (Finish-Finish),FF (समाप्ति-समाप्ति)
FF - Finish-to-Finish,FF - समाप्ति-से-समाप्ति
Field has been updated,फ़ील्ड अपडेट किया गया है
Field name is required for 'Set Field Value' action,'Set Field Value' कार्रवाई के लिए फ़ील्ड नाम आवश्यक है
Field {0} is not a Link field,फ़ील्ड {0} एक लिंक फ़ील्ड नहीं है
Field {0} not found in {1},फ़ील्ड {0} {1} में नहीं मिला
File,फ़ाइल
file,फ़ाइल
File does not belong to this task,फ़ाइल इस कार्य से संबंधित नहीं है
File name is required,फ़ाइल नाम आवश्यक है
File uploaded,फ़ाइल अपलोड की गई
File {0} not found,फ़ाइल {0} नहीं मिली
Files,फ़ाइलें
files,फ़ाइलें
Filter,फ़िल्टर
Final Decision,अंतिम निर्णय
Finance,वित्त
Financial,वित्तीय
Finish-to-Finish,समाप्ति-से-समाप्ति
Finish-to-Start,समाप्ति-से-आरंभ
Flag,फ़्लैग करें
Flag for attention,ध्यान के लिए फ़्लैग करें
Flagged,फ़्लैग किया गया
Focus Panel,फ़ोकस पैनल
Follows your system preference. Currently:,आपकी सिस्टम प्राथमिकता का पालन करता है। वर्तमान:
Frappe Project {0} not found,Frappe परियोजना {0} नहीं मिली
Frappe Projects Migration,Frappe Projects माइग्रेशन
Frappe Projects module not available,Frappe Projects मॉड्यूल उपलब्ध नहीं है
Frappe Projects module not installed,Frappe Projects मॉड्यूल स्थापित नहीं है
Frappe Projects sync is not enabled,Frappe Projects सिंक सक्षम नहीं है
Frappe Task DocType not found,Frappe कार्य DocType नहीं मिला
Frappe Task has no project,Frappe कार्य की कोई परियोजना नहीं है
Frappe Task {0} not found,Frappe कार्य {0} नहीं मिला
Fri,शुक्र
From,से
From Template,टेम्पलेट से
FS (Finish-Start),FS (समाप्ति-आरंभ)
FS - Finish-to-Start (default),FS - समाप्ति-से-आरंभ (डिफ़ॉल्ट)
Full form view with audit trail,ऑडिट ट्रेल के साथ पूर्ण फ़ॉर्म दृश्य
Full name,पूरा नाम
Gantt,Gantt
Gantt Chart,Gantt चार्ट
Gantt View,Gantt दृश्य
General Note,सामान्य टिप्पणी
Get started,शुरू करें
Go back,वापस जाएँ
Go Back,Go Back
Group by,इसके अनुसार समूहित करें
Group dependency removed,समूह निर्भरता हटाई गई
Group dependency set,समूह निर्भरता सेट की गई
Group removed,समूह हटाया गया
Group updated,समूह अपडेट किया गया
Hammock task dates are auto-calculated and cannot be changed manually,हैमॉक कार्य तिथियाँ स्वचालित रूप से गणना की जाती हैं और मैन्युअल रूप से बदली नहीं जा सकतीं
Have a question or need assistance? Fill out the form below and our team will get back to you.,कोई प्रश्न है या सहायता चाहिए? नीचे फ़ॉर्म भरें और हमारी टीम आपसे संपर्क करेगी।
Health,स्वास्थ्य
Healthy,स्वस्थ
Hello {0},नमस्ते {0}
Here's what's happening with your projects today.,आज आपकी परियोजनाओं में क्या हो रहा है।
Hide,छिपाएँ
High,उच्च
History,इतिहास
Home,होम
Hourly Cost,प्रति घंटा लागत
Hours,घंटे
hours,घंटे
Hours Logged,दर्ज किए गए घंटे
ID,ID
Image must be smaller than 5 MB,छवि 5 MB से छोटी होनी चाहिए
Import,आयात
Import existing projects and tasks from Frappe Projects module,Frappe Projects मॉड्यूल से मौजूदा परियोजनाएँ और कार्य आयात करें
Import failed,आयात विफल
Import Template,टेम्पलेट आयात करें
Imported,आयात किया गया
in,में
In Progress,प्रगति में
In Review,समीक्षा में
In-app notifications,ऐप में सूचनाएँ
Inactive,निष्क्रिय
Initial Review,प्रारंभिक समीक्षा
Installed Version,Installed Version
Insufficient permissions to view all tasks,सभी कार्य देखने के लिए अपर्याप्त अनुमतियाँ
Intermediate,मध्यम
Internal,आंतरिक
Invalid DocType,अमान्य DocType
Invalid DocType for import,आयात के लिए अमान्य DocType
Invalid item type: {0},अमान्य आइटम प्रकार: {0}
Invalid JSON data,अमान्य JSON डेटा
Invalid note type. Must be one of: {0},अमान्य नोट प्रकार। इनमें से एक होना चाहिए: {0}
Invalid project reference,अमान्य परियोजना संदर्भ
Invalid reaction type. Must be one of: {0},अमान्य प्रतिक्रिया प्रकार। इनमें से एक होना चाहिए: {0}
Invalid RSVP status,अमान्य RSVP स्थिति
Invalid status. Must be one of: {0},अमान्य स्थिति। इनमें से एक होनी चाहिए: {0}
Invalid status: {0},अमान्य स्थिति: {0}
Invalid status: {0}. Must be one of: {1},अमान्य स्थिति: {0}। इनमें से एक होनी चाहिए: {1}
Invalid tracking context: {0},अमान्य ट्रैकिंग संदर्भ: {0}
Invalid visibility. Must be one of: {0},अमान्य दृश्यता। इनमें से एक होनी चाहिए: {0}
Invitation: {0} - {1} at {2},निमंत्रण: {0} - {1} {2} पर
Invite People,लोगों को आमंत्रित करें
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,आइटम जोड़ा गया
Item ID is required,आइटम ID आवश्यक है
Item removed,आइटम हटाया गया
Item type is required,आइटम प्रकार आवश्यक है
Item {0} not found,आइटम {0} नहीं मिला
Job title or role,पद शीर्षक या भूमिका
Join Meeting,बैठक में शामिल हों
Just now,अभी-अभी
just now,अभी-अभी
Kanban,Kanban
Kanban Board,Kanban बोर्ड
Kanban View,Kanban दृश्य
Keyboard Shortcuts,कीबोर्ड शॉर्टकट
Keyboard shortcuts (?),कीबोर्ड शॉर्टकट (?)
Last checked: {0},Last checked: {0}
Last Updated,अंतिम अपडेट
Last updated:,अंतिम अपडेट:
Last Week,पिछला सप्ताह
Latest Version,Latest Version
Light,हल्का
Link failed,जोड़ना विफल
Link Task,कार्य जोड़ें
Linked,जुड़ा हुआ
Linked employee not found,जुड़ा कर्मचारी नहीं मिला
Linked Tasks,जुड़े कार्य
List,सूची
List View,सूची दृश्य
Load failed,लोड विफल
Load More,और लोड करें
Load more comments,और टिप्पणियाँ लोड करें
Loading activity...,गतिविधि लोड हो रही है...
Loading changes...,बदलाव लोड हो रहे हैं...
Loading checklist...,चेकलिस्ट लोड हो रही है...
Loading comments...,टिप्पणियाँ लोड हो रही हैं...
Loading contact...,संपर्क लोड हो रहा है...
Loading contacts...,संपर्क लोड हो रहे हैं...
Loading dependencies...,निर्भरताएँ लोड हो रही हैं...
Loading details...,विवरण लोड हो रहे हैं...
Loading discussion...,चर्चा लोड हो रही है...
Loading events...,कार्यक्रम लोड हो रहे हैं...
Loading files...,फ़ाइलें लोड हो रही हैं...
Loading notes...,नोट लोड हो रहे हैं...
Loading preferences...,प्राथमिकताएँ लोड हो रही हैं...
Loading project...,परियोजना लोड हो रही है...
Loading projects...,परियोजनाएँ लोड हो रही हैं...
Loading replies...,उत्तर लोड हो रहे हैं...
Loading report data...,रिपोर्ट डेटा लोड हो रहा है...
Loading settings...,सेटिंग्स लोड हो रही हैं...
Loading task...,कार्य लोड हो रहा है...
Loading templates...,टेम्पलेट लोड हो रहे हैं...
Loading time logs...,समय प्रविष्टियाँ लोड हो रही हैं...
Loading your portal...,आपका पोर्टल लोड हो रहा है...
Loading...,लोड हो रहा है...
Location,स्थान
Log Time,समय दर्ज करें
Logout,लॉगआउट
Low,कम
Make Offer,प्रस्ताव दें
Manager,प्रबंधक
Manual Entry,मैन्युअल प्रविष्टि
Margin,मार्जिन
Mark all as read,सभी को पढ़ा हुआ चिह्नित करें
Mark all read,सभी पढ़ा हुआ चिह्नित करें
Mark as read,पढ़ा हुआ चिह्नित करें
Mark as unread,अपठित चिह्नित करें
Mark read,पढ़ा हुआ चिह्नित करें
Marking...,चिह्नित किया जा रहा है...
Material,सामग्री
Maybe,शायद
Medium,मध्यम
Meeting,बैठक
Meeting Link,बैठक लिंक
Meeting title,बैठक शीर्षक
Meeting URL,बैठक URL
Meetings,बैठकें
Mention,उल्लेख
Message,संदेश
Message is required,संदेश आवश्यक है
Message is required for '{0}' action,'{0}' कार्रवाई के लिए संदेश आवश्यक है
Migrate,माइग्रेट करें
Migration Complete,माइग्रेशन पूर्ण
Migration ID:,माइग्रेशन ID:
Migration log not found: {0},माइग्रेशन लॉग नहीं मिला: {0}
Milestone,माइलस्टोन
milestone,माइलस्टोन
Milestone created,माइलस्टोन बनाया गया
Milestone description has been saved.,माइलस्टोन विवरण सहेजा गया है।
Milestone ID is required,माइलस्टोन ID आवश्यक है
Milestone marked as Missed (past due date),माइलस्टोन छूटा हुआ चिह्नित किया गया (नियत तिथि बीत चुकी है)
Milestone moved,माइलस्टोन ले जाया गया
Milestone Name,माइलस्टोन नाम
Milestone name has been saved.,माइलस्टोन का नाम सहेजा गया है।
Milestone name is required,माइलस्टोन का नाम आवश्यक है
Milestone updated,माइलस्टोन अपडेट किया गया
Milestone {0} not found,माइलस्टोन {0} नहीं मिला
Milestone {0} not in project {1},माइलस्टोन {0} परियोजना {1} में नहीं है
Milestones,माइलस्टोन
milestones,माइलस्टोन
Milestones:,माइलस्टोन:
Minutes,मिनट
Missed,छूटा हुआ
Mixed,मिश्रित
Mobile,मोबाइल
Moderate,मध्यम
Modified,संशोधित
"Modify details, time, or attendees","विवरण, समय, या सहभागी संशोधित करें"
Mon,सोम
Month,महीना
Move failed,ले जाना विफल
Must be a positive number,एक धनात्मक संख्या होनी चाहिए
Must finish before this finishes,इसके समाप्त होने से पहले समाप्त होना चाहिए
Must finish before this starts,इसके शुरू होने से पहले समाप्त होना चाहिए
Must start before this finishes,इसके समाप्त होने से पहले शुरू होना चाहिए
Must start before this starts,इसके शुरू होने से पहले शुरू होना चाहिए
My Assignments,मेरे असाइनमेंट
My Projects,मेरी परियोजनाएँ
My Schedule,मेरा शेड्यूल
My Tasks,मेरे कार्य
N/A,लागू नहीं
Name,नाम
Name (A-Z),नाम (A-Z)
Name (Z-A),नाम (Z-A)
Name cannot exceed 255 characters,नाम 255 अक्षरों से अधिक नहीं हो सकता
Need help?,मदद चाहिए?
Needs Attention,ध्यान आवश्यक
Never,Never
new activities,नई गतिविधियाँ
New Activity,नई गतिविधि
New activity,नई गतिविधि
New Event,नया कार्यक्रम
New index is required,नया इंडेक्स आवश्यक है
New Project,नई परियोजना
New tasks will auto-trail by default.,नए कार्य डिफ़ॉल्ट रूप से स्वचालित ट्रेल करेंगे।
Newest First,नवीनतम पहले
Next,अगला
Next 14 days,अगले 14 दिन
Next 30 days,अगले 30 दिन
Next 60 days,अगले 60 दिन
Next 7 days,अगले 7 दिन
Next 90 days,अगले 90 दिन
Next Week,अगला सप्ताह
Next:,अगला:
No,नहीं
No active assignments,कोई सक्रिय असाइनमेंट नहीं
No active projects,कोई सक्रिय परियोजना नहीं
No active timer found,कोई सक्रिय टाइमर नहीं मिला
No activity selected,कोई गतिविधि चयनित नहीं
No assignments found,कोई असाइनमेंट नहीं मिला
No attendees,कोई सहभागी नहीं
no change,कोई बदलाव नहीं
No changes for this field.,इस फ़ील्ड के लिए कोई बदलाव नहीं।
No changes recorded for this activity.,इस गतिविधि के लिए कोई बदलाव दर्ज नहीं।
No checklist items yet,अभी कोई चेकलिस्ट आइटम नहीं
No checklist items yet.,अभी कोई चेकलिस्ट आइटम नहीं।
No comments yet,अभी कोई टिप्पणी नहीं
No comments yet.,अभी कोई टिप्पणी नहीं।
No contacts available,कोई संपर्क उपलब्ध नहीं
No content for this tab,इस टैब के लिए कोई सामग्री नहीं
No data available,कोई डेटा उपलब्ध नहीं
No data available for the selected filters,चयनित फ़िल्टरों के लिए कोई डेटा उपलब्ध नहीं
No data to export,निर्यात के लिए कोई डेटा नहीं
No dates set,कोई तिथि सेट नहीं
No defects reported,कोई दोष रिपोर्ट नहीं किया गया
No dependencies defined,कोई निर्भरता परिभाषित नहीं
No description,कोई विवरण नहीं
No discussion yet.,अभी कोई चर्चा नहीं।
No documents attached,कोई दस्तावेज़ संलग्न नहीं
No due date,कोई नियत तिथि नहीं
No employee linked to this resource,इस संसाधन से कोई कर्मचारी जुड़ा नहीं है
No ERPNext employee linked to resource,संसाधन से कोई ERPNext कर्मचारी जुड़ा नहीं है
No events found,कोई कार्यक्रम नहीं मिला
No files attached yet.,अभी कोई फ़ाइल संलग्न नहीं।
No Frappe Project linked,कोई Frappe परियोजना जुड़ी नहीं है
No Grouping,कोई समूहन नहीं
No items,कोई आइटम नहीं
No matching tasks,कोई मेल खाने वाला कार्य नहीं
No matching tasks found,कोई मेल खाने वाला कार्य नहीं मिला
No migration history,कोई माइग्रेशन इतिहास नहीं
No Milestone,कोई माइलस्टोन नहीं
No milestones,कोई माइलस्टोन नहीं
No milestones defined for this project.,इस परियोजना के लिए कोई माइलस्टोन परिभाषित नहीं।
No notes yet.,अभी कोई नोट नहीं।
No notes yet. Add a due diligence note to track progress.,अभी कोई नोट नहीं। प्रगति ट्रैक करने के लिए उचित सावधानी नोट जोड़ें।
No notifications,कोई सूचना नहीं
No Orga Project linked to Frappe Project {0},Frappe परियोजना {0} से कोई Orga परियोजना जुड़ी नहीं है
No overdue tasks,कोई विलंबित कार्य नहीं
No pending cascade changes,कोई लंबित कैस्केड बदलाव नहीं
No predecessors - this task can start independently,कोई पूर्ववर्ती नहीं — यह कार्य स्वतंत्र रूप से शुरू हो सकता है
No project,कोई परियोजना नहीं
No projects found,कोई परियोजना नहीं मिली
No Projects Yet,अभी कोई परियोजना नहीं
No recent activity,कोई हालिया गतिविधि नहीं
No related documents,कोई संबंधित दस्तावेज़ नहीं
No resolved threads.,कोई हल किए गए थ्रेड नहीं।
No resources found,कोई संसाधन नहीं मिला
No results found,कोई परिणाम नहीं मिला
No skills listed,कोई कौशल सूचीबद्ध नहीं
No skills recorded yet,अभी कोई कौशल दर्ज नहीं
No successors - no tasks are waiting for this one,कोई उत्तरवर्ती नहीं — कोई कार्य इसकी प्रतीक्षा नहीं कर रहा
No task selected,कोई कार्य चयनित नहीं
No tasks assigned to you,आपको कोई कार्य असाइन नहीं किया गया
No tasks available to add,जोड़ने के लिए कोई कार्य उपलब्ध नहीं
No tasks found,कोई कार्य नहीं मिला
No tasks linked to this milestone,इस माइलस्टोन से कोई कार्य जुड़ा नहीं
No tasks with dates to display,दिखाने के लिए तिथियों वाला कोई कार्य नहीं
No tasks yet,अभी कोई कार्य नहीं
No team members,कोई टीम सदस्य नहीं
No template,कोई टेम्पलेट नहीं
No templates yet,अभी कोई टेम्पलेट नहीं
No time data found,कोई समय डेटा नहीं मिला
No time logged today,आज कोई समय दर्ज नहीं
No time logged yet,अभी कोई समय दर्ज नहीं
No time logs for this period,इस अवधि के लिए कोई समय प्रविष्टि नहीं
No time logs found,कोई समय प्रविष्टि नहीं मिली
No unread notifications,कोई अपठित सूचना नहीं
No update information available yet.,No update information available yet.
None,कोई नहीं
Not found,नहीं मिला
Not permitted,अनुमति नहीं
Not permitted to access this project,इस परियोजना तक पहुँच की अनुमति नहीं
Not permitted to access this task,इस कार्य तक पहुँच की अनुमति नहीं
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,इस दस्तावेज़ पर टिप्पणी करने की अनुमति नहीं
Not permitted to create clients,ग्राहक बनाने की अनुमति नहीं
Not permitted to delete this client,इस ग्राहक को हटाने की अनुमति नहीं
Not permitted to delete this defect,इस दोष को हटाने की अनुमति नहीं
Not permitted to delete this note,इस नोट को हटाने की अनुमति नहीं
Not permitted to delete this project,इस परियोजना को हटाने की अनुमति नहीं
Not permitted to delete this task,इस कार्य को हटाने की अनुमति नहीं
Not permitted to delete this time log,इस समय प्रविष्टि को हटाने की अनुमति नहीं
Not permitted to invite clients,ग्राहकों को आमंत्रित करने की अनुमति नहीं
Not permitted to modify client access,ग्राहक पहुँच संशोधित करने की अनुमति नहीं
Not permitted to modify this project,इस परियोजना को संशोधित करने की अनुमति नहीं
Not permitted to update settings,सेटिंग्स अपडेट करने की अनुमति नहीं
Not permitted to update this client,इस ग्राहक को अपडेट करने की अनुमति नहीं
Not permitted to view this client,इस ग्राहक को देखने की अनुमति नहीं
not sent,नहीं भेजा गया
Not set,सेट नहीं
Not specified,निर्दिष्ट नहीं
Note,नोट
Note (optional),नोट (वैकल्पिक)
Note Content,नोट सामग्री
Note content is required,नोट सामग्री आवश्यक है
Note name is required,नोट का नाम आवश्यक है
Note not found,नोट नहीं मिला
Note Type,नोट प्रकार
Notes,नोट
Notification,सूचना
Notification not found,सूचना नहीं मिली
Notifications,सूचनाएँ
Off Track,पटरी से उतरा
Offer,प्रस्ताव
Offer Prepared,प्रस्ताव तैयार
Oldest First,सबसे पुराने पहले
On Hold,रुका हुआ
On Leave,छुट्टी पर
On Track,सही रास्ते पर
On-Time Rate,समय पर दर
Only administrators can delete activities,केवल व्यवस्थापक गतिविधियाँ हटा सकते हैं
Only the comment author or administrators can delete comments,केवल टिप्पणी लेखक या व्यवस्थापक टिप्पणियाँ हटा सकते हैं
Only you and admins,केवल आप और व्यवस्थापक
Open,खुला
Open in Desk,Desk में खोलें
Open Task Log,कार्य लॉग खोलें
Open Tasks,खुले कार्य
Optional,वैकल्पिक
optional,वैकल्पिक
Or email us directly at,या हमें सीधे ईमेल करें
Orga Project {0} from Frappe Projects,Frappe Projects से Orga परियोजना {0}
Orga Task {0} from Frappe,Frappe से Orga कार्य {0}
Organizer,आयोजक
Other,अन्य
Over Budget,बजट से अधिक
Overall Progress,समग्र प्रगति
Overall Utilization,समग्र उपयोग
Overallocated,अति-आवंटित
Overdue,विलंबित
overdue,विलंबित
Overdue Tasks,विलंबित कार्य
Overview,अवलोकन
Owner,स्वामी
Page Not Found,पृष्ठ नहीं मिला
Parent,पैरेंट
Parent comment must belong to the same document,पैरेंट टिप्पणी उसी दस्तावेज़ से संबंधित होनी चाहिए
Parent comment not found,पैरेंट टिप्पणी नहीं मिली
Parent project not synced to Frappe yet,पैरेंट परियोजना अभी तक Frappe में सिंक नहीं हुई
Parent project sync not enabled,पैरेंट परियोजना सिंक सक्षम नहीं है
Partner,साझेदार
Pending,लंबित
per page,प्रति पृष्ठ
Perform initial assessment and background check,प्रारंभिक मूल्यांकन और पृष्ठभूमि जाँच करें
Permanently remove this event,इस कार्यक्रम को स्थायी रूप से हटाएँ
Permanently remove this task,इस कार्य को स्थायी रूप से हटाएँ
Phone,फ़ोन
Pin,पिन करें
Pin Activity,गतिविधि पिन करें
Pin to top,शीर्ष पर पिन करें
Pinned,पिन किया गया
Planned budget for this task,इस कार्य के लिए नियोजित बजट
Planning,योजना
Please describe your question or issue in detail...,कृपया अपने प्रश्न या समस्या का विस्तार से वर्णन करें...
Please login to access Orga,Orga तक पहुँचने के लिए कृपया लॉगिन करें
Please login to access the client portal,ग्राहक पोर्टल तक पहुँचने के लिए कृपया लॉगिन करें
Please respond to this invitation in Orga,कृपया Orga में इस निमंत्रण का उत्तर दें
Please select an image file,कृपया एक छवि फ़ाइल चुनें
Please try again,कृपया पुनः प्रयास करें
Please type,कृपया टाइप करें
Portal,पोर्टल
Portal access revoked for {0},{0} के लिए पोर्टल पहुँच रद्द की गई
Portal user created successfully. Welcome email {0},पोर्टल उपयोगकर्ता सफलतापूर्वक बनाया गया। स्वागत ईमेल {0}
Post,पोस्ट
Powered by,द्वारा संचालित
Powered by Tonic,Tonic द्वारा संचालित
Predecessors (Blocked By),पूर्ववर्ती (इनके द्वारा अवरुद्ध)
Preferences,प्राथमिकताएँ
Preferences saved successfully,प्राथमिकताएँ सफलतापूर्वक सहेजी गईं
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","स्वचालित रूप से उत्पन्न परियोजना कोड का उपसर्ग (जैसे, ORG-2026-0001)"
Prepare and document offer terms,प्रस्ताव शर्तें तैयार और दस्तावेज़ित करें
Press,दबाएँ
Preview,पूर्वावलोकन
Preview cascade before applying,लागू करने से पहले कैस्केड का पूर्वावलोकन करें
Previous,पिछला
Priority,प्राथमिकता
Priority assigned to new tasks,नए कार्यों को असाइन की गई प्राथमिकता
Priority updated,प्राथमिकता अपडेट की गई
Proficiency,दक्षता
Profile,प्रोफ़ाइल
Progress,प्रगति
Progress (High-Low),प्रगति (अधिक से कम)
Progress (Low-High),प्रगति (कम से अधिक)
Progress Overview,प्रगति अवलोकन
Progress updated,प्रगति अपडेट की गई
Project,परियोजना
Project budget has been saved.,परियोजना बजट सहेजा गया है।
Project code (e.g. ORG-2026-0001),परियोजना कोड (जैसे ORG-2026-0001)
Project Code Prefix,परियोजना कोड उपसर्ग
Project created,परियोजना बनाई गई
Project deleted,परियोजना हटाई गई
Project description has been saved.,परियोजना विवरण सहेजा गया है।
Project Details,परियोजना विवरण
Project end date has been saved.,परियोजना समाप्ति तिथि सहेजी गई है।
Project Files,परियोजना फ़ाइलें
Project has no linked client,परियोजना से कोई ग्राहक जुड़ा नहीं है
Project Health,परियोजना स्वास्थ्य
Project Info,परियोजना जानकारी
Project is required,परियोजना आवश्यक है
Project is required for project context,परियोजना संदर्भ के लिए परियोजना आवश्यक है
Project is required when tracking context is 'project',जब ट्रैकिंग संदर्भ 'project' हो तो परियोजना आवश्यक है
Project Manager,परियोजना प्रबंधक
Project Name,परियोजना नाम
Project name and template name are required,परियोजना नाम और टेम्पलेट नाम आवश्यक हैं
Project name is required,परियोजना नाम आवश्यक है
Project not found,परियोजना नहीं मिली
Project not found or you do not have access,परियोजना नहीं मिली या आपकी पहुँच नहीं है
Project settings,परियोजना सेटिंग्स
Project start date has been saved.,परियोजना आरंभ तिथि सहेजी गई है।
Project title has been saved.,परियोजना शीर्षक सहेजा गया है।
Project Type,परियोजना प्रकार
Project updated,परियोजना अपडेट की गई
Project {0} linked to client {1},परियोजना {0} ग्राहक {1} से जोड़ी गई
Project {0} not found,परियोजना {0} नहीं मिली
Project {0} to Frappe Projects,परियोजना {0} Frappe Projects में
Project:,परियोजना:
Projects,परियोजनाएँ
projects,परियोजनाएँ
Projects created:,बनाई गई परियोजनाएँ:
Projects Overview,परियोजनाओं का अवलोकन
Projects skipped:,छोड़ी गई परियोजनाएँ:
Projects updated:,अपडेट की गई परियोजनाएँ:
Promote failed,प्रोमोट करना विफल
Promote to task,कार्य में प्रोमोट करें
Promoted to task,कार्य में प्रोमोट किया गया
Propose,प्रस्तावित करें
Propose New Time,नया समय प्रस्तावित करें
Propose Time,समय प्रस्तावित करें
Proposed End,प्रस्तावित समाप्ति
Proposed Start,प्रस्तावित आरंभ
Public,सार्वजनिक
Quick Action,त्वरित कार्रवाई
Quick Actions,त्वरित कार्रवाइयाँ
Quick Stats,त्वरित आँकड़े
Rates,दरें
Receive notifications via email,ईमेल के माध्यम से सूचनाएँ प्राप्त करें
Receive notifications within the application,ऐप के भीतर सूचनाएँ प्राप्त करें
Recent Activity,हालिया गतिविधि
Recipient {0} is not a valid user,प्राप्तकर्ता {0} एक मान्य उपयोगकर्ता नहीं है
Reference,संदर्भ
Refresh,ताज़ा करें
Related,संबंधित
Related Company (optional),संबंधित कंपनी (वैकल्पिक)
Related Documents,संबंधित दस्तावेज़
Related Project,संबंधित परियोजना
Remaining,शेष
Reminder,अनुस्मारक
Reminder Lead Time,अनुस्मारक पूर्व समय
Reminder: {0} - {1} at {2},अनुस्मारक: {0} - {1} {2} पर
Remove,हटाएँ
Remove dependency,निर्भरता हटाएँ
Remove dependency on,पर निर्भरता हटाएँ
Remove from group,समूह से हटाएँ
Remove group dependency,समूह निर्भरता हटाएँ
Remove skill,कौशल हटाएँ
Reopen,पुनः खोलें
Reopen thread,थ्रेड पुनः खोलें
reopened,पुनः खोला गया
replies,उत्तर
Reply,उत्तर दें
reply,उत्तर
Replying to,को उत्तर दे रहे हैं
Replying to comment,टिप्पणी का उत्तर दे रहे हैं
Report Defect,दोष रिपोर्ट करें
Reported Date,रिपोर्ट की गई तिथि
Reports,रिपोर्ट
Reports To,को रिपोर्ट करता है
Request Submitted!,अनुरोध सबमिट किया गया!
Required,आवश्यक
required,आवश्यक
Research,अनुसंधान
Reset to Defaults,डिफ़ॉल्ट पर रीसेट करें
Resolve,हल करें
Resolve thread,थ्रेड हल करें
Resolved,हल किया गया
Resolved date cannot be before reported date,हल करने की तिथि रिपोर्ट की गई तिथि से पहले नहीं हो सकती
Resource,संसाधन
Resource and skill name are required,संसाधन और कौशल नाम आवश्यक हैं
Resource is already an attendee,संसाधन पहले से सहभागी है
Resource name is required,संसाधन नाम आवश्यक है
Resource not found,संसाधन नहीं मिला
Resource synced from employee {0},कर्मचारी {0} से संसाधन सिंक किया गया
Resource {0} is already assigned to this task ({1}),संसाधन {0} पहले से इस कार्य ({1}) को असाइन किया गया है
Resource {0} not found,संसाधन {0} नहीं मिला
Resources,संसाधन
Retry,पुनः प्रयास करें
Review,समीक्षा
Review all relevant documents and contracts,सभी संबंधित दस्तावेज़ों और अनुबंधों की समीक्षा करें
Reviews,समीक्षाएँ
Risk Assessment,जोखिम मूल्यांकन
Rollback,वापस लें
Rolled back,वापस लिया गया
Room or address,कमरा या पता
RSVP,RSVP
Safety,सुरक्षा
Sat,शनि
Save,सहेजें
"Save a project as a template, or import one from a JSON file.","परियोजना को टेम्पलेट के रूप में सहेजें, या JSON फ़ाइल से एक आयात करें।"
Save as Template,टेम्पलेट के रूप में सहेजें
Save Changes,बदलाव सहेजें
Save failed,सहेजना विफल
Save Preferences,प्राथमिकताएँ सहेजें
Save Template,टेम्पलेट सहेजें
Saving...,सहेजा जा रहा है...
Schedule,शेड्यूल
Schedule type is required for scheduled triggers,निर्धारित ट्रिगर के लिए शेड्यूल प्रकार आवश्यक है
Scheduled,निर्धारित
Search,खोजें
"Search by name, email, or skill...","नाम, ईमेल, या कौशल से खोजें..."
Search for a project...,परियोजना खोजें...
Search for a task...,कार्य खोजें...
Search for an event...,कार्यक्रम खोजें...
Search for people to invite...,आमंत्रित करने के लिए लोग खोजें...
Search tasks to link...,जोड़ने के लिए कार्य खोजें...
Search tasks...,कार्य खोजें...
Search...,खोजें...
Searching...,खोजा जा रहा है...
Seen,देखा गया
Select a project if your request is related to a specific project.,यदि आपका अनुरोध किसी विशिष्ट परियोजना से संबंधित है तो एक परियोजना चुनें।
Select a project...,परियोजना चुनें...
Select a task from the Gantt chart to view and manage its details.,विवरण देखने और प्रबंधित करने के लिए Gantt चार्ट से कोई कार्य चुनें।
Select a task from the list or Kanban board to view and manage its details.,विवरण देखने और प्रबंधित करने के लिए सूची या Kanban बोर्ड से कोई कार्य चुनें।
Select a template...,टेम्पलेट चुनें...
Select priority...,प्राथमिकता चुनें...
Select status...,स्थिति चुनें...
Select task...,कार्य चुनें...
Select type...,प्रकार चुनें...
Selection,चयन
Send,भेजें
Send comment,टिप्पणी भेजें
Send email invitations to attendees,सहभागियों को ईमेल निमंत्रण भेजें
Send Invitations,निमंत्रण भेजें
Send notification when a task is assigned to a user,जब कोई कार्य किसी उपयोगकर्ता को असाइन किया जाए तो सूचना भेजें
Send notification when task status changes,कार्य स्थिति बदलने पर सूचना भेजें
Send reminder before task due date,कार्य की नियत तिथि से पहले अनुस्मारक भेजें
sent,भेजा गया
Set rate,दर सेट करें
Settings,सेटिंग्स
