+ Add Milestone,+ Lasit Mearrádusa
Field has been updated,Giehtu lea ođasmahttojuvvon
Field name is required for 'Set Field Value' action,Gieđa namma dárbbašuvvo 'Bidje Gieđaárvvu' doibmii
Field {0} is not a Link field,Giehtu {0} ii leat Liŋkkagiehtu
Field {0} not found in {1},Giehtu {0} ii gávdnon {1}:s
File,Fiila
file,fiila
File does not belong to this task,Fiila ii gula dán bargui
File name is required,Fiilla namma dárbbašuvvo
File uploaded,Fiila viežžojuvvon
File {0} not found,Fiila {0} ii gávdnon
Files,Fiillat
files,fiillat
Filter,Sille
Final Decision,Loahpalaš Mearrádus
Finance,Ruhtadoaibma
Financial,Ruhtadoaibmalaš
Finish-to-Finish,Loahppa-Loahpii
Finish-to-Start,Loahppa-Álgui
Flag,Leavga
Flag for attention,Mearkkiš fuomášumiid várás
Flagged,Mearkkašuvvon
Focus Panel,Fokuserengođđi
Follows your system preference. Currently:,Čuovvu du vuogádatválljejumi. Dál:
Frappe Project {0} not found,Frappe prošeavtta {0} ii gávdnon
Frappe Projects Migration,Frappe Projects Sirdin
Frappe Projects module not available,Frappe Projects modula ii gávdno
Frappe Projects module not installed,Frappe Projects modula ii leat ásahuvvon
Frappe Projects sync is not enabled,Frappe Projects syngkroniseren ii leat dohkkehuvvon
Frappe Task DocType not found,Frappe Barggu DocType ii gávdnon
Frappe Task has no project,Frappe Barggus ii leat prošeavtta
Frappe Task {0} not found,Frappe Bargu {0} ii gávdnon
Fri,Bear
From,Rájes
From Template,Málles
FS (Finish-Start),FS (Loahppa-Álgu)
FS - Finish-to-Start (default),FS - Loahppa-Álgui (vuođđo)
Full form view with audit trail,Olles skoviičájeheapmi dárkkistanluoddain
Full name,Olles namma
Gantt,Gantt
Gantt Chart,Gantt-tabealla
Gantt View,Gantt-čájeheapmi
General Note,Dábálaš Čálus
Get started,Álgge
Go back,Mana ruovttoluotta
Go Back,Go Back
Group by,Joavkkus
Group dependency removed,Joavkkusorjavuohta váldojuvvon eret
Group dependency set,Joavkkusorjavuohta biddjojuvvon
Group removed,Joavku váldojuvvon eret
Group updated,Joavku ođasmahttojuvvon
Hammock task dates are auto-calculated and cannot be changed manually,Hámmogbarggu beaivemearat rehkenastojuvvojit automáhtalaččat ja eai sáhte rievdaduvvot gieđaidlahkái
Have a question or need assistance? Fill out the form below and our team will get back to you.,Leatgo dus gažaldat dahje dárbbašatgo veahkki? Devdde skoviira vuollái ja min joavku váldá du oktii.
Health,Dearvvašvuohta
Healthy,Dearvvašlaš
Hello {0},Dearvva {0}
Here's what's happening with your projects today.,Dá lea mii dáhpáhuvvá du prošeavttain odne.
Hide,Čiega
High,Alla
History,Historjá
Home,Ruoktu
Hourly Cost,Diibmugollu
Hours,Diimmut
hours,diimmut
Hours Logged,Čállojuvvon diimmut
ID,ID
Image must be smaller than 5 MB,Govva ferte leat unnit go 5 MB
Import,Importere
Import existing projects and tasks from Frappe Projects module,Importere gávdni prošeavttaid ja bargguid Frappe Projects modulas
Import failed,Importeren ii lihkostuvvan
Import Template,Importere Málle
Imported,Importerejuvvon
in,siste
In Progress,Joatkamis
In Review,Iskamis
In-app notifications,Applikašuvnna siskkobealde dieđáhusat
Inactive,Eaaktivalaš
Initial Review,Álgo iskkan
Installed Version,Installed Version
Insufficient permissions to view all tasks,Váilevaš lohpit oaidnit buot bargguid
Intermediate,Gaskaárvosaš
Internal,Siskkobealde
Invalid DocType,Guohtameahttun DocType
Invalid DocType for import,Guohtameahttun DocType importeremii
Invalid item type: {0},Guohtameahttun oasešládja: {0}
Invalid JSON data,Guohtameahttun JSON dieđut
Invalid note type. Must be one of: {0},Guohtameahttun čállosšládja. Ferte leat okta sis: {0}
Invalid project reference,Guohtameahttun prošeavttačujuhus
Invalid reaction type. Must be one of: {0},Guohtameahttun reagerenšládja. Ferte leat okta sis: {0}
Invalid RSVP status,Guohtameahttun RSVP dilálašvuohta
Invalid status. Must be one of: {0},Guohtameahttun dilálašvuohta. Ferte leat okta sis: {0}
Invalid status: {0},Guohtameahttun dilálašvuohta: {0}
Invalid status: {0}. Must be one of: {1},Guohtameahttun dilálašvuohta: {0}. Ferte leat okta sis: {1}
Invalid tracking context: {0},Guohtameahttun čuovvunkonteavstta: {0}
Invalid visibility. Must be one of: {0},Guohtameahttun oidnomvuohta. Ferte leat okta sis: {0}
Invitation: {0} - {1} at {2},Bovdehus: {0} - {1} {2}:s
Invite People,Bovdde Olbmuid
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Oassi lasihuvvon
Item ID is required,Oasi ID dárbbašuvvo
Item removed,Oassi váldojuvvon eret
Item type is required,Oasešládja dárbbašuvvo
Item {0} not found,Oassi {0} ii gávdnon
Job title or role,Bargonamma dahje rolla
Join Meeting,Searvva Čoahkkimii
Just now,Dáid dáid
just now,dáid dáid
Kanban,Kanban
Kanban Board,Kanban-gođđi
Kanban View,Kanban-čájeheapmi
Keyboard Shortcuts,Boallobeavdeoanehasat
Keyboard shortcuts (?),Boallobeavdeoanehasat (?)
Last checked: {0},Last checked: {0}
Last Updated,Maŋemus ođasmahttojuvvon
Last updated:,Maŋemus ođasmahttojuvvon:
Last Week,Mannan vahkku
Latest Version,Latest Version
Light,Čuvges
Link failed,Liŋkken ii lihkostuvvan
Link Task,Liŋkke Barggu
Linked,Liŋkkejuvvon
Linked employee not found,Liŋkkejuvvon bargi ii gávdnon
Linked Tasks,Liŋkkejuvvon barggut
List,Listu
List View,Listuoaidnu
Load failed,Viežžan ii lihkostuvvan
Load More,Viečča Eanet
Load more comments,Viečča eanet kommeantáraid
Loading activity...,Viežžá doaimma...
Loading changes...,Viežžá rievdadusaid...
Loading checklist...,Viežžá dárkkistanlisttu...
Loading comments...,Viežžá kommeantáraid...
Loading contact...,Viežžá oktavuođa...
Loading contacts...,Viežžá oktavuođaid...
Loading dependencies...,Viežžá sorjavuođaid...
Loading details...,Viežžá dieđuid...
Loading discussion...,Viežžá digaštallan...
Loading events...,Viežžá dáhpáhusaid...
Loading files...,Viežžá fiillaid...
Loading notes...,Viežžá čállosiid...
Loading preferences...,Viežžá válljejumiid...
Loading project...,Viežžá prošeavtta...
Loading projects...,Viežžá prošeavttaid...
Loading replies...,Viežžá vástádusaid...
Loading report data...,Viežžá raportadieđuid...
Loading settings...,Viežžá heivehusaid...
Loading task...,Viežžá barggu...
Loading templates...,Viežžá málliid...
Loading time logs...,Viežžá áigečállimid...
Loading your portal...,Viežžá du portála...
Loading...,Viežžá...
Location,Báiki
Log Time,Čále Áiggi
Logout,Olggos
Low,Vuollegaš
Make Offer,Dahkka Fálaldaga
Manager,Jođiheaddji
Manual Entry,Giehtačállin
Margin,Marginála
Mark all as read,Mearkkiš buot lohkkojuvvon
Mark all read,Mearkkiš buot lohkkojuvvon
Mark as read,Mearkkiš lohkkojuvvon
Mark as unread,Mearkkiš lohkkohaga
Mark read,Mearkkiš lohkkojuvvon
Marking...,Mearkkašuvvo...
Material,Ávdnas
Maybe,Soaitá
Medium,Gaskaárvosaš
Meeting,Čoahkkin
Meeting Link,Čoahkkinliŋka
Meeting title,Čoahkkinbajilčála
Meeting URL,Čoahkkin-URL
Meetings,Čoahkkimat
Mention,Namut
Message,Sátni
Message is required,Sátni dárbbašuvvo
Message is required for '{0}' action,Sátni dárbbašuvvo '{0}' doibmii
Migrate,Sirde
Migration Complete,Sirdin gárvvis
Migration ID:,Sirdin-ID:
Migration log not found: {0},Sirdingirji {0} ii gávdnon
Milestone,Mearrádus
milestone,mearrádus
Milestone created,Mearrádus ráhkaduvvon
Milestone description has been saved.,Mearrádusa govvádus lea vurkejuvvon.
Milestone ID is required,Mearrádusa ID dárbbašuvvo
Milestone marked as Missed (past due date),Mearrádus mearkkašuvvon Massojuvvon (áigerássi vássán)
Milestone moved,Mearrádus sirdojuvvon
Milestone Name,Mearrádusa Namma
Milestone name has been saved.,Mearrádusa namma lea vurkejuvvon.
Milestone name is required,Mearrádusa namma dárbbašuvvo
Milestone updated,Mearrádus ođasmahttojuvvon
Milestone {0} not found,Mearrádus {0} ii gávdnon
Milestone {0} not in project {1},Mearrádus {0} ii leat prošeavttas {1}
Milestones,Mearrádusat
milestones,mearrádusat
Milestones:,Mearrádusat:
Minutes,Minuhtat
Missed,Massojuvvon
Mixed,Seahkalaš
Mobile,Mobiila
Moderate,Gaskageardán
Modified,Rievdaduvvon
"Modify details, time, or attendees","Rievdat dieđuid, áiggi, dahje oasseváldiid"
Mon,Vuos
Month,Mánnu
Move failed,Sirdin ii lihkostuvvan
Must be a positive number,Ferte leat positiivvalaš lohku
Must finish before this finishes,Ferte gárvvistuvvot ovdal go dát gárvvistuvvo
Must finish before this starts,Ferte gárvvistuvvot ovdal go dát álgá
Must start before this finishes,Ferte álgit ovdal go dát gárvvistuvvo
Must start before this starts,Ferte álgit ovdal go dát álgá
My Assignments,Mu Juolludeamit
My Projects,Mu Prošeavttat
My Schedule,Mu Plána
My Tasks,Mu Barggut
N/A,Ii guoskka
Name,Namma
Name (A-Z),Namma (A-Z)
Name (Z-A),Namma (Z-A)
Name cannot exceed 255 characters,Namma ii sáhte leat guhkit go 255 bustáva
Need help?,Dárbbašatgo veahki?
Needs Attention,Dárbbaša Fuomášumi
Never,Never
new activities,ođđa doaimmat
New Activity,Ođđa Doaibma
New activity,Ođđa doaibma
New Event,Ođđa Dáhpáhus
New index is required,Ođđa indeavssa dárbbašuvvo
New Project,Ođđa Prošeavtta
New tasks will auto-trail by default.,Ođđa barggut njuikejit automáhtalaččat vuođđoárvvuin.
Newest First,Ođđaseamosit ovddimus
Next,Boahtte
Next 14 days,Boahtte 14 beaivvi
Next 30 days,Boahtte 30 beaivvi
Next 60 days,Boahtte 60 beaivvi
Next 7 days,Boahtte 7 beaivvi
Next 90 days,Boahtte 90 beaivvi
Next Week,Boahtte vahkku
Next:,Boahtte:
No,Ii
No active assignments,Eai aktiivvalaš juolludeamit
No active projects,Eai aktiivvalaš prošeavttat
No active timer found,Ii aktiivvalaš áigemihtidanmáhkku gávdnon
No activity selected,Ii doaibma válljejuvvon
No assignments found,Eai juolludeamit gávdnon
No attendees,Eai oasseváldit
no change,ii rievdadus
No changes for this field.,Eai rievdadusat dán giehtui.
No changes recorded for this activity.,Eai rievdadusat registrerejuvvon dán doibmii.
No checklist items yet,Eai dárkkistanlisttu oasit vel
No checklist items yet.,Eai dárkkistanlisttu oasit vel.
No comments yet,Eai kommeantárat vel
No comments yet.,Eai kommeantárat vel.
No contacts available,Eai oktavuođat gávdno
No content for this tab,Ii sisdoallu dán fánái
No data available,Eai dieđut gávdno
No data available for the selected filters,Eai dieđut gávdno válljejuvvon filtteriidda
No data to export,Eai dieđut eksportema várás
No dates set,Eai beaivemearat biddjojuvvon
No defects reported,Eai feaillat raportejuvvon
No dependencies defined,Eai sorjavuođat mearriduvvon
No description,Ii govvádus
No discussion yet.,Ii digaštallan vel.
No documents attached,Eai dokumeanttát mielddusdahkkon
No due date,Ii áigerássi
No employee linked to this resource,Ii bargi liŋkkejuvvon dán resursii
No ERPNext employee linked to resource,Ii ERPNext bargi liŋkkejuvvon resursii
No events found,Eai dáhpáhusat gávdnon
No files attached yet.,Eai fiillat mielddusdahkkon vel.
No Frappe Project linked,Ii Frappe prošeavtta liŋkkejuvvon
No Grouping,Ii Joavkkuid
No items,Eai oasit
No matching tasks,Eai heivvolaš barggut
No matching tasks found,Eai heivvolaš barggut gávdnon
No migration history,Ii sirdimhistorjá
No Milestone,Ii Mearrádusa
No milestones,Eai mearrádusat
No milestones defined for this project.,Eai mearrádusat mearriduvvon dán prošeavttii.
No notes yet.,Eai čállosat vel.
No notes yet. Add a due diligence note to track progress.,Eai čállosat vel. Lasit vuđolaš dárkkisteami čállosa ovdáneami čuovvumii.
No notifications,Eai dieđáhusat
No Orga Project linked to Frappe Project {0},Ii Orga prošeavtta liŋkkejuvvon Frappe prošeavttii {0}
No overdue tasks,Eai barggut main áigerássi lea vássán
No pending cascade changes,Eai vuordámis čuovganjohtin rievdadusat
No predecessors - this task can start independently,Eai ovdabarggut — dát bargu sáhttá álgit iešráđálaččat
No project,Ii prošeavtta
No projects found,Eai prošeavttat gávdnon
No Projects Yet,Eai Prošeavttat Vel
No recent activity,Ii ođđa doaibma
No related documents,Eai oktavuođadokumeanttát
No resolved threads.,Eai čovdojuvvon digaštallamat.
No resources found,Eai resursat gávdnon
No results found,Eai bohtosat gávdnon
No skills listed,Eai máhtut listtejuvvon
No skills recorded yet,Eai máhtut registrerejuvvon vel
No successors - no tasks are waiting for this one,Eai boahttebarggut — ii oktage bargu vuordde dán
No task selected,Ii bargu válljejuvvon
No tasks assigned to you,Eai barggut juolluduvvon dutnje
No tasks available to add,Eai barggut gávdno lasihemiid várás
No tasks found,Eai barggut gávdnon
No tasks linked to this milestone,Eai barggut liŋkkejuvvon dán mearrádussii
No tasks with dates to display,Eai barggut beaivemearaiguin čájehit
No tasks yet,Eai barggut vel
No team members,Eai joavkkulahtut
No template,Ii málle
No templates yet,Eai mállet vel
No time data found,Eai áigedieđut gávdnon
No time logged today,Ii áigi čállojuvvon odne
No time logged yet,Ii áigi čállojuvvon vel
No time logs for this period,Eai áigečállimat dán áigodahkii
No time logs found,Eai áigečállimat gávdnon
No unread notifications,Eai lohkkohaga dieđáhusat
No update information available yet.,No update information available yet.
None,Ii mihkkige
Not found,Ii gávdnon
Not permitted,Ii lohpiduvvon
Not permitted to access this project,Ii lohpiduvvon fidnet dán prošeavttii
Not permitted to access this task,Ii lohpiduvvon fidnet dán bargui
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Ii lohpiduvvon kommenterejit dán dokumeantta
Not permitted to create clients,Ii lohpiduvvon ráhkadit áššehasaid
Not permitted to delete this client,Ii lohpiduvvon sihkkut dán áššehasa
Not permitted to delete this defect,Ii lohpiduvvon sihkkut dán feailla
Not permitted to delete this note,Ii lohpiduvvon sihkkut dán čállosa
Not permitted to delete this project,Ii lohpiduvvon sihkkut dán prošeavtta
Not permitted to delete this task,Ii lohpiduvvon sihkkut dán barggu
Not permitted to delete this time log,Ii lohpiduvvon sihkkut dán áigečállima
Not permitted to invite clients,Ii lohpiduvvon bovddit áššehasaid
Not permitted to modify client access,Ii lohpiduvvon rievdadit áššehasa beassama
Not permitted to modify this project,Ii lohpiduvvon rievdadit dán prošeavtta
Not permitted to update settings,Ii lohpiduvvon ođasmahttit heivehusaid
Not permitted to update this client,Ii lohpiduvvon ođasmahttit dán áššehasa
Not permitted to view this client,Ii lohpiduvvon oaidnit dán áššehasa
not sent,ii sáddejuvvon
Not set,Ii biddjojuvvon
Not specified,Ii čielggaduvvon
Note,Čálus
Note (optional),Čálus (eaktodáhtolaš)
Note Content,Čállosa Sisdoallu
Note content is required,Čállosa sisdoallu dárbbašuvvo
Note name is required,Čállosa namma dárbbašuvvo
Note not found,Čálus ii gávdnon
Note Type,Čállosšládja
Notes,Čállosat
Notification,Dieđáhus
Notification not found,Dieđáhus ii gávdnon
Notifications,Dieđáhusat
Off Track,Eret Luottás
Offer,Fálaldat
Offer Prepared,Fálaldat Ráhkaduvvon
Oldest First,Boarráseamosit ovddimus
On Hold,Vuordámis
On Leave,Luomas
On Track,Luotta Mielde
On-Time Rate,Áigerádji
Only administrators can delete activities,Dušše hálddahusat sáhttet sihkkut doaimmaid
Only the comment author or administrators can delete comments,Dušše kommeantára čálli dahje hálddahusat sáhttet sihkkut kommeantáraid
Only you and admins,Dušše don ja hálddahusat
Open,Rabas
Open in Desk,Raba Desk:s
Open Task Log,Raba Barggugirji
Open Tasks,Rabasbarggut
Optional,Eaktodáhtolaš
optional,eaktodáhtolaš
Or email us directly at,Dahje sádde midjiide e-poastta njuolga čujuhussii
Orga Project {0} from Frappe Projects,Orga Prošeavtta {0} Frappe Projects:s
Orga Task {0} from Frappe,Orga Bargu {0} Frappe:s
Organizer,Ordnejeaddji
Other,Eará
Over Budget,Badjel Bušeahta
Overall Progress,Ollislaš Ovdáneapmi
Overall Utilization,Ollislaš Geavaheapmi
Overallocated,Badjeallokašuvdnajuolluduvvon
Overdue,Áigerássi vássán
overdue,áigerássi vássán
Overdue Tasks,Barggut main áigerássi lea vássán
Overview,Oppalašgeahčastat
Owner,Eaiggát
Page Not Found,Siidu Ii Gávdnon
Parent,Váhnen
Parent comment must belong to the same document,Váhnenkommeantár ferte gullet seamma dokumeanttii
Parent comment not found,Váhnenkommeantár ii gávdnon
Parent project not synced to Frappe yet,Váhnenprošeavtta ii vel syngkroniserejuvvon Frappe:in
Parent project sync not enabled,Váhnenprošeavtta syngkroniseren ii leat dohkkehuvvon
Partner,Guoibmi
Pending,Vuordámis
per page,siiddu guokte
Perform initial assessment and background check,Daga álgoárvvoštallan ja duogášdárkkisteami
Permanently remove this event,Bissolaččat váldde dán dáhpáhusa eret
Permanently remove this task,Bissolaččat váldde dán barggu eret
Phone,Telefovdna
Pin,Njielloste
Pin Activity,Njielloste Doaimma
Pin to top,Njielloste bajimussii
Pinned,Njiellostagavvon
Planned budget for this task,Plánejuvvon bušeahtta dán bargui
Planning,Plánen
Please describe your question or issue in detail...,Govvit gažaldagat dahje áššiid dárkileappot...
Please login to access Orga,Logge sisa beassat Orga
Please login to access the client portal,Logge sisa beassat áššehasportálii
Please respond to this invitation in Orga,Vástit dán bovdehussii Orga:s
Please select an image file,Vállje govvafiilla
Please try again,Geahččal ođđasit
Please type,Čále
Portal,Portála
Portal access revoked for {0},Portálabeassan váldojuvvon eret {0}:s
Portal user created successfully. Welcome email {0},Portálageavaheaddji ráhkaduvvon lihkostuvvan. Buresboahtinpoasta {0}
Post,Almmustahtit
Powered by,Fápmolahttu
Powered by Tonic,Fápmolahttu Tonic
Predecessors (Blocked By),Ovdabarggut (Eastojuvvon sis)
Preferences,Válljejumit
Preferences saved successfully,Válljejumit vurkejuvvon lihkostuvvan
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Ovdaliidni automáhtalaččat ráhkaduvvon prošeavttakodaide (omd. ORG-2026-0001)
Prepare and document offer terms,Ráhkat ja dokumentere fálaldateavttuid
Press,Deaddil
Preview,Ovdagáttu
Preview cascade before applying,Ovdagáttu čuovganjohtin ovdal geavaheami
Previous,Ovddit
Priority,Vuoruheapmi
Priority assigned to new tasks,Vuoruheapmi biddjojuvvon ođđa bargguide
Priority updated,Vuoruheapmi ođasmahttojuvvon
Proficiency,Čeahppi
Profile,Profila
Progress,Ovdáneapmi
Progress (High-Low),Ovdáneapmi (Alla-Vuollegaš)
Progress (Low-High),Ovdáneapmi (Vuollegaš-Alla)
Progress Overview,Ovdáneami Oppalašgeahčastat
Progress updated,Ovdáneapmi ođasmahttojuvvon
Project,Prošeavtta
Project budget has been saved.,Prošeavtta bušeahtta lea vurkejuvvon.
Project code (e.g. ORG-2026-0001),Prošeavttakoda (omd. ORG-2026-0001)
Project Code Prefix,Prošeavttakoda Ovdaliidni
Project created,Prošeavtta ráhkaduvvon
Project deleted,Prošeavtta sihkkojuvvon
Project description has been saved.,Prošeavtta govvádus lea vurkejuvvon.
Project Details,Prošeavtta Dieđut
Project end date has been saved.,Prošeavtta loahppabeavvi lea vurkejuvvon.
Project Files,Prošeavtta Fiillat
Project has no linked client,Prošeavttas ii leat liŋkkejuvvon áššehas
Project Health,Prošeavtta Dearvvašvuohta
Project Info,Prošeavtta Dieđut
Project is required,Prošeavtta dárbbašuvvo
Project is required for project context,Prošeavtta dárbbašuvvo prošeavttakonteavsttas
Project is required when tracking context is 'project',Prošeavtta dárbbašuvvo go čuovvunkonteavstta lea 'prošeavtta'
Project Manager,Prošeavttajođiheaddji
Project Name,Prošeavtta Namma
Project name and template name are required,Prošeavttanamma ja mállenamma dárbbašuvvojit
Project name is required,Prošeavttanamma dárbbašuvvo
Project not found,Prošeavtta ii gávdnon
Project not found or you do not have access,Prošeavtta ii gávdnon dahje dus ii leat beassan
Project settings,Prošeavttaheivehusat
Project start date has been saved.,Prošeavtta álgobeavvi lea vurkejuvvon.
Project title has been saved.,Prošeavtta bajilčála lea vurkejuvvon.
Project Type,Prošeavttašládja
Project updated,Prošeavtta ođasmahttojuvvon
Project {0} linked to client {1},Prošeavtta {0} liŋkkejuvvon áššehasii {1}
Project {0} not found,Prošeavtta {0} ii gávdnon
Project {0} to Frappe Projects,Prošeavtta {0} Frappe Projects:ii
Project:,Prošeavtta:
Projects,Prošeavttat
projects,prošeavttat
Projects created:,Prošeavttat ráhkaduvvon:
Projects Overview,Prošeavttaid Oppalašgeahčastat
Projects skipped:,Prošeavttat báddjojuvvon:
Projects updated:,Prošeavttat ođasmahttojuvvon:
Promote failed,Lokten ii lihkostuvvan
Promote to task,Lokte bargun
Promoted to task,Loktejuvvon bargun
Propose,Evttohas
Propose New Time,Evttohas Ođđa Áiggi
Propose Time,Evttohas Áiggi
Proposed End,Evttohuvvon Loahppa
Proposed Start,Evttohuvvon Álgu
Public,Almmolaš
Quick Action,Johtilas Doaibma
Quick Actions,Johtilat Doaimmat
Quick Stats,Johtilas Statistihkkat
Rates,Rádjit
Receive notifications via email,Oaččo dieđáhusaid e-poastta bokte
Receive notifications within the application,Oaččo dieđáhusaid applikašuvnna siskkobealde
Recent Activity,Ođđaseamos Doaimmat
Recipient {0} is not a valid user,Vuostáiválddi {0} ii leat guohtameahttun geavaheaddji
Reference,Čujuhus
Refresh,Ođasmahtte
Related,Oktavuođas
Related Company (optional),Oktavuohtafitnodahka (eaktodáhtolaš)
Related Documents,Oktavuohtadokumeanttát
Related Project,Oktavuohtaprošeavtta
Remaining,Bázahus
Reminder,Muittuhus
Reminder Lead Time,Muittuhusa Ovdaáigi
Reminder: {0} - {1} at {2},Muittuhus: {0} - {1} {2}:s
Remove,Váldde eret
Remove dependency,Váldde eret sorjavuođa
Remove dependency on,Váldde eret sorjavuođa
Remove from group,Váldde eret joavkkus
Remove group dependency,Váldde eret joavkkusorjavuođa
Remove skill,Váldde eret máhtu
Reopen,Raba ođđasit
Reopen thread,Raba digaštallan ođđasit
reopened,ođđasit rahppasuvvan
replies,vástádusat
Reply,Vástit
reply,vástádus
Replying to,Vástida
Replying to comment,Vástida kommeantárii
Report Defect,Raportere Feailla
Reported Date,Raporterebeaivi
Reports,Raportat
Reports To,Raportere
Request Submitted!,Ohcamus Sáddejuvvon!
Required,Dárbbašuvvo
required,dárbbašuvvo
Research,Dutkan
Reset to Defaults,Máhcat Vuođđoárvvuide
Resolve,Čoavdde
Resolve thread,Čoavdde digaštallama
Resolved,Čovdojuvvon
Resolved date cannot be before reported date,Čovdojuvvonbeaivi ii sáhte leat ovdal raporterebeaivvi
Resource,Resursa
Resource and skill name are required,Resursa ja máhtunamma dárbbašuvvojit
Resource is already an attendee,Resursa lea juo oasseváldi
Resource name is required,Resursanamma dárbbašuvvo
Resource not found,Resursa ii gávdnon
Resource synced from employee {0},Resursa syngkroniserejuvvon bargis {0}
Resource {0} is already assigned to this task ({1}),Resursa {0} lea juo juolluduvvon dán bargui ({1})
Resource {0} not found,Resursa {0} ii gávdnon
Resources,Resursat
Retry,Geahččal ođđasit
Review,Iskkan
Review all relevant documents and contracts,Iskka buot guoskevaš dokumeanttáid ja šiehtadusaid
Reviews,Iskamat
Risk Assessment,Riskaárvvoštallan
Rollback,Jorgal ruovttoluotta
Rolled back,Jorgaluvvon ruovttoluotta
Room or address,Latnja dahje čujuhus
RSVP,RSVP
Safety,Sihkarvuohta
Sat,Láv
Save,Vurke
"Save a project as a template, or import one from a JSON file.","Vurke prošeavtta mállen, dahje importere málle JSON-fiillas."
Save as Template,Vurke Mállen
Save Changes,Vurke Rievdadusaid
Save failed,Vurken ii lihkostuvvan
Save Preferences,Vurke Válljejumiid
Save Template,Vurke Málle
Saving...,Vurkejuvvo...
Schedule,Plána
Schedule type is required for scheduled triggers,Plánašládja dárbbašuvvo plánejuvvon čodjiide
Scheduled,Plánejuvvon
Search,Oza
"Search by name, email, or skill...","Oza nama, e-poastta, dahje máhtu mielde..."
Search for a project...,Oza prošeavtta...
Search for a task...,Oza barggu...
Search for an event...,Oza dáhpáhusa...
Search for people to invite...,Oza olbmuid bovdimii...
Search tasks to link...,Oza bargguid liŋkkemii...
Search tasks...,Oza bargguid...
Search...,Oza...
Searching...,Ohcá...
Seen,Oaidnán
Select a project if your request is related to a specific project.,Vállje prošeavtta jus du ohcamus guoská dihto prošeavttii.
Select a project...,Vállje prošeavtta...
Select a task from the Gantt chart to view and manage its details.,Vállje barggu Gantt-tabeallas oaidnit ja hálddašit dan dieđuid.
Select a task from the list or Kanban board to view and manage its details.,Vállje barggu listtas dahje Kanban-gođđis oaidnit ja hálddašit dan dieđuid.
Select a template...,Vállje málle...
Select priority...,Vállje vuoruheami...
Select status...,Vállje dilálašvuođa...
Select task...,Vállje barggu...
Select type...,Vállje šlája...
Selection,Válljejupmi
Send,Sádde
Send comment,Sádde kommeantára
Send email invitations to attendees,Sádde e-poasta bovdehusaid oasseváldiide
Send Invitations,Sádde Bovdehusaid
Send notification when a task is assigned to a user,Sádde dieđáhusa go bargu juolluduvvo geavaheaddjái
Send notification when task status changes,Sádde dieđáhusa go barggu dilálašvuohta rievddada
Send reminder before task due date,Sádde muittuhusa ovdal barggu áigerássi
sent,sáddejuvvon
Set rate,Bidje ráji
Settings,Heivehusat
Settings saved successfully,Heivehusat vurkejuvvon lihkostuvvan
Severity,Duođalašvuohta
SF (Start-Finish),SF (Álgu-Loahppa)
SF - Start-to-Finish,SF - Álgu-Loahpii
Show,Čájet
Show all,Čájet buot
Show all changes,Čájet buot rievdadusaid
Show Archived,Čájet Arkiverejuvvon
Show full diff,Čájet olles erohusa
Show less,Čájet unnit
Show more,Čájet eanet
Skill added,Máhttu lasihuvvon
Skill is required,Máhttu dárbbašuvvo
Skill Name,Máhtu Namma
Skill removed,Máhttu váldojuvvon eret
Skill {0} already exists for this resource,Máhttu {0} lea juo gávdnamis dán resursas
Skills,Máhtut
Skills & Competencies,Máhtut ja Gelbbolašvuohta
Skip already migrated projects,Bádjo juo sirdojuvvon prošeavttaid
Sort by,Ortnegos
Sort: Due Date,Ortnegos: Áigerássi
Sort: Priority,Ortnegos: Vuoruheapmi
Sort: Project,Ortnegos: Prošeavtta
Sort: Status,Ortnegos: Dilálašvuohta
Sort: Task,Ortnegos: Bargu
Source Code,Gáldokoda
Spent,Geavahuvvon
Spent:,Geavahuvvon:
SS (Start-Start),SS (Álgu-Álgu)
SS - Start-to-Start,SS - Álgu-Álgui
Standalone,Iešbirgevaš
Start,Álgu
Start a discussion below,Álgge digaštallan vuollái
Start Date,Álgobeavvi
Start date,Álgobeavvi
Start Date (Earliest),Álgobeavvi (áramus)
Start date updated,Álgobeavvi ođasmahttojuvvon
Start date/time is required,Álgobeavvi/áigi dárbbašuvvo
Start Migration,Álgge Sirdima
Start the conversation below.,Álgge digaštallan vuollái.
Start Timer,Álgge Áigemihtidanmáhku
Start typing to search...,Álgge čállit ohcat...
Start-to-Finish,Álgu-Loahpii
Start-to-Start,Álgu-Álgui
Start:,Álgu:
Statistics reset,Statistihkkat máhcahuvvon
Status,Dilálašvuohta
Status assigned to new projects,Dilálašvuohta biddjojuvvon ođđa prošeavttaide
Status assigned to new tasks,Dilálašvuohta biddjojuvvon ođđa bargguide
Status Changes,Dilálašvuohtarievdadusat
Status updated,Dilálašvuohta ođasmahttojuvvon
Status:,Dilálašvuohta:
Stop,Bisán
Stop & Save,Bisán ja Vurke
Stop Timer,Bisán Áigemihtidanmáhku
Stops current timer and starts for this event,Bisáná dálááigge mihtidanmáhku ja álgá dán dáhpáhussii
