+ Add Milestone,+ Agregar hito
Loading time logs...,Cargando entradas de tiempo...
Loading your portal...,Cargando su portal...
Loading...,Cargando...
Location,Ubicación
Log Time,Registrar tiempo
Logout,Cerrar sesión
Low,Baja
Make Offer,Hacer oferta
Manager,Responsable
Manual Entry,Entrada manual
Margin,Margen
Mark all as read,Marcar todo como leído
Mark all read,Marcar todo como leído
Mark as read,Marcar como leído
Mark as unread,Marcar como no leído
Mark read,Marcar como leído
Marking...,Marcando...
Material,Material
Maybe,Tal vez
Medium,Media
Meeting,Reunión
Meeting Link,Enlace de reunión
Meeting title,Título de la reunión
Meeting URL,URL de la reunión
Meetings,Reuniones
Mention,Mencionar
Message,Mensaje
Message is required,El mensaje es obligatorio
Message is required for '{0}' action,El mensaje es obligatorio para la acción «{0}»
Migrate,Migrar
Migration Complete,Migración completada
Migration ID:,ID de migración:
Migration log not found: {0},Registro de migración no encontrado: {0}
Milestone,Hito
milestone,hito
Milestone created,Hito creado
Milestone description has been saved.,La descripción del hito ha sido guardada.
Milestone ID is required,El ID del hito es obligatorio
Milestone marked as Missed (past due date),Hito marcado como vencido (fecha de vencimiento pasada)
Milestone moved,Hito movido
Milestone Name,Nombre del hito
Milestone name has been saved.,El nombre del hito ha sido guardado.
Milestone name is required,El nombre del hito es obligatorio
Milestone updated,Hito actualizado
Milestone {0} not found,Hito {0} no encontrado
Milestone {0} not in project {1},Hito {0} no se encuentra en el proyecto {1}
Milestones,Hitos
milestones,hitos
Milestones:,Hitos:
Minutes,Minutos
Missed,Vencido
Mixed,Mixto
Mobile,Móvil
Moderate,Moderado
Modified,Modificado
"Modify details, time, or attendees","Modificar detalles, hora o asistentes"
Mon,Lun
Month,Mes
Move failed,Error al mover
Must be a positive number,Debe ser un número positivo
Must finish before this finishes,Debe terminar antes de que esto termine
Must finish before this starts,Debe terminar antes de que esto comience
Must start before this finishes,Debe comenzar antes de que esto termine
Must start before this starts,Debe comenzar antes de que esto comience
My Assignments,Mis asignaciones
My Projects,Mis proyectos
My Schedule,Mi agenda
My Tasks,Mis tareas
N/A,N/D
Name,Nombre
Name (A-Z),Nombre (A-Z)
Name (Z-A),Nombre (Z-A)
Name cannot exceed 255 characters,El nombre no puede exceder 255 caracteres
Need help?,¿Necesita ayuda?
Needs Attention,Requiere atención
Never,Nunca
new activities,nuevas actividades
New Activity,Nueva actividad
New activity,Nueva actividad
New Event,Nuevo evento
New index is required,El nuevo índice es obligatorio
New Project,Nuevo proyecto
New tasks will auto-trail by default.,Las nuevas tareas tendrán deslizamiento automático de forma predeterminada.
Newest First,Más recientes primero
Next,Siguiente
Next 14 days,Próximos 14 días
Next 30 days,Próximos 30 días
Next 60 days,Próximos 60 días
Next 7 days,Próximos 7 días
Next 90 days,Próximos 90 días
Next Week,Próxima semana
Next:,Siguiente:
No,No
No active assignments,Sin asignaciones activas
No active projects,Sin proyectos activos
No active timer found,No se encontró ningún cronómetro activo
No activity selected,Ninguna actividad seleccionada
No assignments found,No se encontraron asignaciones
No attendees,Sin asistentes
no change,sin cambios
No changes for this field.,Sin cambios para este campo.
No changes recorded for this activity.,Sin cambios registrados para esta actividad.
No checklist items yet,Aún no hay elementos en la lista de verificación
No checklist items yet.,Aún no hay elementos en la lista de verificación.
No comments yet,Aún no hay comentarios
No comments yet.,Aún no hay comentarios.
No contacts available,No hay contactos disponibles
No content for this tab,Sin contenido para esta pestaña
No data available,No hay datos disponibles
No data available for the selected filters,No hay datos disponibles para los filtros seleccionados
No data to export,No hay datos para exportar
No dates set,Sin fechas establecidas
No defects reported,No se reportaron defectos
No dependencies defined,Sin dependencias definidas
No description,Sin descripción
No discussion yet.,Aún no hay discusión.
No documents attached,Sin documentos adjuntos
No due date,Sin fecha de vencimiento
No employee linked to this resource,Ningún empleado vinculado a este recurso
No ERPNext employee linked to resource,Ningún empleado de ERPNext vinculado al recurso
No events found,No se encontraron eventos
No files attached yet.,Aún no hay archivos adjuntos.
No Frappe Project linked,Ningún proyecto Frappe vinculado
No Grouping,Sin agrupación
No items,Sin elementos
No matching tasks,No hay tareas que coincidan
No matching tasks found,No se encontraron tareas que coincidan
No migration history,Sin historial de migración
No Milestone,Sin hito
No milestones,Sin hitos
No milestones defined for this project.,Sin hitos definidos para este proyecto.
No notes yet.,Aún no hay notas.
No notes yet. Add a due diligence note to track progress.,Aún no hay notas. Agregue una nota de verificación previa para seguir el avance.
No notifications,Sin notificaciones
No Orga Project linked to Frappe Project {0},Ningún proyecto Orga vinculado al proyecto Frappe {0}
No overdue tasks,Sin tareas atrasadas
No pending cascade changes,Sin cambios en cascada pendientes
No predecessors - this task can start independently,Sin predecesores — esta tarea puede comenzar de forma independiente
No project,Sin proyecto
No projects found,No se encontraron proyectos
No Projects Yet,Aún no hay proyectos
No recent activity,Sin actividad reciente
No related documents,Sin documentos relacionados
No resolved threads.,Sin hilos resueltos.
No resources found,No se encontraron recursos
No results found,No se encontraron resultados
No skills listed,Sin habilidades listadas
No skills recorded yet,Aún no se han registrado habilidades
No successors - no tasks are waiting for this one,Sin sucesores — ninguna tarea espera por esta
No task selected,Ninguna tarea seleccionada
No tasks assigned to you,No tiene tareas asignadas
No tasks available to add,No hay tareas disponibles para agregar
No tasks found,No se encontraron tareas
No tasks linked to this milestone,Sin tareas vinculadas a este hito
No tasks with dates to display,Sin tareas con fechas para mostrar
No tasks yet,Aún no hay tareas
No team members,Sin miembros del equipo
No template,Sin plantilla
No templates yet,Aún no hay plantillas
No time data found,No se encontraron datos de tiempo
No time logged today,Sin tiempo registrado hoy
No time logged yet,Aún no se ha registrado tiempo
No time logs for this period,Sin entradas de tiempo para este período
No time logs found,No se encontraron entradas de tiempo
No unread notifications,Sin notificaciones no leídas
No update information available yet.,No hay información de actualización disponible.
None,Ninguno
Not found,No encontrado
Not permitted,No permitido
Not permitted to access this project,No tiene permiso para acceder a este proyecto
Not permitted to access this task,No tiene permiso para acceder a esta tarea
Not permitted to check for updates,No tiene permiso para buscar actualizaciones
Not permitted to comment on this document,No tiene permiso para comentar en este documento
Not permitted to create clients,No tiene permiso para crear clientes
Not permitted to delete this client,No tiene permiso para eliminar este cliente
Not permitted to delete this defect,No tiene permiso para eliminar este defecto
Not permitted to delete this note,No tiene permiso para eliminar esta nota
Not permitted to delete this project,No tiene permiso para eliminar este proyecto
Not permitted to delete this task,No tiene permiso para eliminar esta tarea
Not permitted to delete this time log,No tiene permiso para eliminar esta entrada de tiempo
Not permitted to invite clients,No tiene permiso para invitar clientes
Not permitted to modify client access,No tiene permiso para modificar el acceso del cliente
Not permitted to modify this project,No tiene permiso para modificar este proyecto
Not permitted to update settings,No tiene permiso para actualizar los ajustes
Not permitted to update this client,No tiene permiso para actualizar este cliente
Not permitted to view this client,No tiene permiso para ver este cliente
not sent,no enviado
Not set,No definido
Not specified,No especificado
Note,Nota
Note (optional),Nota (opcional)
Note Content,Contenido de la nota
Note content is required,El contenido de la nota es obligatorio
Note name is required,El nombre de la nota es obligatorio
Note not found,Nota no encontrada
Note Type,Tipo de nota
Notes,Notas
Notification,Notificación
Notification not found,Notificación no encontrada
Notifications,Notificaciones
Off Track,Fuera de curso
Offer,Oferta
Offer Prepared,Oferta preparada
Oldest First,Más antiguos primero
On Hold,En espera
On Leave,De permiso
On Track,En curso
On-Time Rate,Tasa de puntualidad
Only administrators can delete activities,Solo los administradores pueden eliminar actividades
Only the comment author or administrators can delete comments,Solo el autor del comentario o los administradores pueden eliminar comentarios
Only you and admins,Solo usted y los administradores
Open,Abierto
Open in Desk,Abrir en Desk
Open Task Log,Abrir registro de la tarea
Open Tasks,Tareas abiertas
Optional,Opcional
optional,opcional
Or email us directly at,O envíenos un correo electrónico directamente a
Orga Project {0} from Frappe Projects,Proyecto Orga {0} desde Frappe Projects
Orga Task {0} from Frappe,Tarea Orga {0} desde Frappe
Organizer,Organizador
Other,Otro
Over Budget,Presupuesto excedido
Overall Progress,Avance general
Overall Utilization,Utilización general
Overallocated,Sobreasignado
Overdue,Atrasado
overdue,atrasado
Overdue Tasks,Tareas atrasadas
Overview,Vista general
Owner,Propietario
Page Not Found,Página no encontrada
Parent,Padre
Parent comment must belong to the same document,El comentario padre debe pertenecer al mismo documento
Parent comment not found,Comentario padre no encontrado
Parent project not synced to Frappe yet,El proyecto padre aún no está sincronizado con Frappe
Parent project sync not enabled,La sincronización del proyecto padre no está activada
Partner,Socio
Pending,Pendiente
per page,por página
Perform initial assessment and background check,Realizar la evaluación inicial y verificación de antecedentes
Permanently remove this event,Eliminar este evento de forma permanente
Permanently remove this task,Eliminar esta tarea de forma permanente
Phone,Teléfono
Pin,Fijar
Pin Activity,Fijar actividad
Pin to top,Fijar arriba
Pinned,Fijado
Planned budget for this task,Presupuesto previsto para esta tarea
Planning,Planificación
Please describe your question or issue in detail...,Describa su pregunta o problema en detalle...
Please login to access Orga,Inicie sesión para acceder a Orga
Please login to access the client portal,Inicie sesión para acceder al portal del cliente
Please respond to this invitation in Orga,Responda a esta invitación en Orga
Please select an image file,Seleccione un archivo de imagen
Please try again,Inténtelo de nuevo
Please type,Escriba
Portal,Portal
Portal access revoked for {0},Acceso al portal revocado para {0}
Portal user created successfully. Welcome email {0},Usuario del portal creado correctamente. Correo de bienvenida {0}
Post,Publicar
Powered by,Desarrollado por
Powered by Tonic,Desarrollado por Tonic
Predecessors (Blocked By),Predecesores (bloqueado por)
Preferences,Preferencias
Preferences saved successfully,Preferencias guardadas correctamente
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefijo para códigos de proyecto generados automáticamente (ej.: ORG-2026-0001)
Prepare and document offer terms,Preparar y documentar las condiciones de la oferta
Press,Presione
Preview,Vista previa
Preview cascade before applying,Vista previa de la cascada antes de aplicar
Previous,Anterior
Priority,Prioridad
Priority assigned to new tasks,Prioridad asignada a las nuevas tareas
Priority updated,Prioridad actualizada
Proficiency,Nivel de dominio
Profile,Perfil
Progress,Avance
Progress (High-Low),Avance (descendente)
Progress (Low-High),Avance (ascendente)
Progress Overview,Vista general del avance
Progress updated,Avance actualizado
Project,Proyecto
Project budget has been saved.,El presupuesto del proyecto ha sido guardado.
Project code (e.g. ORG-2026-0001),Código del proyecto (ej.: ORG-2026-0001)
Project Code Prefix,Prefijo de código de proyecto
Project created,Proyecto creado
Project deleted,Proyecto eliminado
Project description has been saved.,La descripción del proyecto ha sido guardada.
Project Details,Detalles del proyecto
Project end date has been saved.,La fecha de fin del proyecto ha sido guardada.
Project Files,Archivos del proyecto
Project has no linked client,El proyecto no tiene cliente vinculado
Project Health,Salud del proyecto
Project Info,Información del proyecto
Project is required,El proyecto es obligatorio
Project is required for project context,El proyecto es obligatorio para el contexto de proyecto
Project is required when tracking context is 'project',El proyecto es obligatorio cuando el contexto de seguimiento es «proyecto»
Project Manager,Responsable del proyecto
Project Name,Nombre del proyecto
Project name and template name are required,El nombre del proyecto y el nombre de la plantilla son obligatorios
Project name is required,El nombre del proyecto es obligatorio
Project not found,Proyecto no encontrado
Project not found or you do not have access,Proyecto no encontrado o no tiene acceso
Project settings,Ajustes del proyecto
Project start date has been saved.,La fecha de inicio del proyecto ha sido guardada.
Project title has been saved.,El título del proyecto ha sido guardado.
Project Type,Tipo de proyecto
Project updated,Proyecto actualizado
Project {0} linked to client {1},Proyecto {0} vinculado al cliente {1}
Project {0} not found,Proyecto {0} no encontrado
Project {0} to Frappe Projects,Proyecto {0} a Frappe Projects
Project:,Proyecto:
Projects,Proyectos
projects,proyectos
Projects created:,Proyectos creados:
Projects Overview,Vista general de proyectos
Projects skipped:,Proyectos omitidos:
Projects updated:,Proyectos actualizados:
Promote failed,Error al promover
Promote to task,Promover a tarea
Promoted to task,Promovido a tarea
Propose,Proponer
Propose New Time,Proponer nuevo horario
Propose Time,Proponer horario
Proposed End,Fin propuesto
Proposed Start,Inicio propuesto
Public,Público
Quick Action,Acción rápida
Quick Actions,Acciones rápidas
Quick Stats,Estadísticas rápidas
Rates,Tarifas
Receive notifications via email,Recibir notificaciones por correo electrónico
Receive notifications within the application,Recibir notificaciones dentro de la aplicación
Recent Activity,Actividad reciente
Recipient {0} is not a valid user,El destinatario {0} no es un usuario válido
Reference,Referencia
Refresh,Actualizar
Related,Relacionado
Related Company (optional),Empresa relacionada (opcional)
Related Documents,Documentos relacionados
Related Project,Proyecto relacionado
Remaining,Restante
Reminder,Recordatorio
Reminder Lead Time,Tiempo de anticipación del recordatorio
Reminder: {0} - {1} at {2},Recordatorio: {0} - {1} a las {2}
Remove,Quitar
Remove dependency,Quitar dependencia
Remove dependency on,Quitar dependencia de
Remove from group,Quitar del grupo
Remove group dependency,Quitar dependencia de grupo
Remove skill,Quitar habilidad
Reopen,Reabrir
Reopen thread,Reabrir hilo
reopened,reabierto
replies,respuestas
Reply,Responder
reply,respuesta
Replying to,Respondiendo a
Replying to comment,Respondiendo al comentario
Report Defect,Reportar defecto
Reported Date,Fecha de reporte
Reports,Informes
Reports To,Reporta a
Request Submitted!,¡Solicitud enviada!
Required,Obligatorio
required,obligatorio
Research,Investigación
Reset to Defaults,Restablecer valores predeterminados
Resolve,Resolver
Resolve thread,Resolver hilo
Resolved,Resuelto
Resolved date cannot be before reported date,La fecha de resolución no puede ser anterior a la fecha de reporte
Resource,Recurso
Resource and skill name are required,El recurso y el nombre de la habilidad son obligatorios
Resource is already an attendee,El recurso ya es un asistente
Resource name is required,El nombre del recurso es obligatorio
Resource not found,Recurso no encontrado
Resource synced from employee {0},Recurso sincronizado desde el empleado {0}
Resource {0} is already assigned to this task ({1}),El recurso {0} ya está asignado a esta tarea ({1})
Resource {0} not found,Recurso {0} no encontrado
Resources,Contactos
Retry,Reintentar
Review,Revisión
Review all relevant documents and contracts,Revisar todos los documentos y contratos relevantes
Reviews,Revisiones
Risk Assessment,Evaluación de riesgos
Rollback,Revertir
Rolled back,Revertido
Room or address,Sala o dirección
RSVP,RSVP
Safety,Seguridad
Sat,Sáb
Save,Guardar
"Save a project as a template, or import one from a JSON file.","Guarde un proyecto como plantilla, o importe uno desde un archivo JSON."
Save as Template,Guardar como plantilla
Save Changes,Guardar cambios
Save failed,Error al guardar
Save Preferences,Guardar preferencias
Save Template,Guardar plantilla
Saving...,Guardando...
Schedule,Agenda
Schedule type is required for scheduled triggers,El tipo de programación es obligatorio para los disparadores programados
Scheduled,Programado
Search,Buscar
"Search by name, email, or skill...","Buscar por nombre, correo electrónico o habilidad..."
Search for a project...,Buscar un proyecto...
Search for a task...,Buscar una tarea...
Search for an event...,Buscar un evento...
Search for people to invite...,Buscar personas para invitar...
Search tasks to link...,Buscar tareas para vincular...
Search tasks...,Buscar tareas...
Search...,Buscar...
Searching...,Buscando...
Seen,Visto
Select a project if your request is related to a specific project.,Seleccione un proyecto si su solicitud está relacionada con un proyecto específico.
Select a project...,Seleccionar un proyecto...
Select a task from the Gantt chart to view and manage its details.,Seleccione una tarea del diagrama de Gantt para ver y gestionar sus detalles.
Select a task from the list or Kanban board to view and manage its details.,Seleccione una tarea de la lista o del tablero Kanban para ver y gestionar sus detalles.
Select a template...,Seleccionar una plantilla...
Select priority...,Seleccionar prioridad...
Select status...,Seleccionar estado...
Select task...,Seleccionar tarea...
Select type...,Seleccionar tipo...
Selection,Selección
Send,Enviar
Send comment,Enviar comentario
Send email invitations to attendees,Enviar invitaciones por correo electrónico a los asistentes
Send Invitations,Enviar invitaciones
Send notification when a task is assigned to a user,Enviar notificación cuando se asigne una tarea a un usuario
Send notification when task status changes,Enviar notificación cuando cambie el estado de la tarea
Send reminder before task due date,Enviar recordatorio antes de la fecha de vencimiento de la tarea
sent,enviado
Set rate,Establecer tarifa
Settings,Ajustes
Settings saved successfully,Ajustes guardados correctamente
Severity,Gravedad
SF (Start-Finish),SF (Inicio-Fin)
SF - Start-to-Finish,SF - Inicio-a-Fin
Show,Mostrar
Show all,Mostrar todo
Show all changes,Mostrar todos los cambios
Show Archived,Mostrar archivados
Show full diff,Mostrar diferencia completa
Show less,Mostrar menos
Show more,Mostrar más
Skill added,Habilidad agregada
Skill is required,La habilidad es obligatoria
Skill Name,Nombre de la habilidad
Skill removed,Habilidad eliminada
Skill {0} already exists for this resource,La habilidad {0} ya existe para este recurso
Skills,Habilidades
Skills & Competencies,Habilidades y competencias
Skip already migrated projects,Omitir proyectos ya migrados
Sort by,Ordenar por
Sort: Due Date,Ordenar: Fecha de vencimiento
Sort: Priority,Ordenar: Prioridad
Sort: Project,Ordenar: Proyecto
Sort: Status,Ordenar: Estado
Sort: Task,Ordenar: Tarea
Source Code,Código fuente
Spent,Gastado
Spent:,Gastado:
SS (Start-Start),SS (Inicio-Inicio)
SS - Start-to-Start,SS - Inicio-a-Inicio
Standalone,Independiente
Start,Inicio
Start a discussion below,Inicie una discusión a continuación
Start Date,Fecha de inicio
Start date,Fecha de inicio
Start Date (Earliest),Fecha de inicio (más próxima)
Start date updated,Fecha de inicio actualizada
Start date/time is required,La fecha/hora de inicio es obligatoria
Start Migration,Iniciar migración
Start the conversation below.,Inicie la conversación a continuación.
Start Timer,Iniciar cronómetro
Start typing to search...,Empiece a escribir para buscar...
Start-to-Finish,Inicio-a-Fin
Start-to-Start,Inicio-a-Inicio
Start:,Inicio:
Statistics reset,Estadísticas restablecidas
Status,Estado
Status assigned to new projects,Estado asignado a los nuevos proyectos
Status assigned to new tasks,Estado asignado a las nuevas tareas
Status Changes,Cambios de estado
Status updated,Estado actualizado
Status:,Estado:
Stop,Detener
Stop & Save,Detener y guardar
Stop Timer,Detener cronómetro
Stops current timer and starts for this event,Detiene el cronómetro actual e inicia uno para este evento
Stops current timer and starts for this task,Detiene el cronómetro actual e inicia uno para esta tarea
Subject,Asunto
Subject cannot exceed 255 characters,El asunto no puede exceder 255 caracteres
Subject is required,El asunto es obligatorio
Submit,Enviar
Submit Another Request,Enviar otra solicitud
Submit Request,Enviar solicitud
Submitting...,Enviando...
Successfully saved,Guardado correctamente
Successors (Blocking),Sucesores (bloqueando)
Sun,Dom
Supplier,Proveedor
Support,Soporte
Switch to this event,Cambiar a este evento
Switch to this task,Cambiar a esta tarea
Sync direction is set to Frappe to Orga only,La dirección de sincronización está configurada solo de Frappe a Orga
Sync direction is set to Orga to Frappe only,La dirección de sincronización está configurada solo de Orga a Frappe
Sync not enabled for this project,La sincronización no está activada para este proyecto
System,Sistema
Table,Tabla
Take ownership of this task,Tomar responsabilidad de esta tarea
Target Date,Fecha objetivo
Target End,Fin objetivo
Target Project,Proyecto destino
Target user is required for '{0}' action,El usuario destino es obligatorio para la acción «{0}»
Task,Tarea
task,tarea
Task '{0}' is due on {1}.,La tarea «{0}» vence el {1}.
Task and resource are required,La tarea y el recurso son obligatorios
Task Assignment,Asignación de tarea
Task cannot be its own parent,Una tarea no puede ser su propio padre
Task cannot depend on itself,Una tarea no puede depender de sí misma
Task cannot depend on the group it belongs to,Una tarea no puede depender del grupo al que pertenece
Task created,Tarea creada
Task deleted,Tarea eliminada
Task description has been saved.,La descripción de la tarea ha sido guardada.
Task Details,Detalles de la tarea
Task due in {0} days: {1},Tarea vence en {0} días: {1}
Task due today: {0},Tarea vence hoy: {0}
Task due tomorrow: {0},Tarea vence mañana: {0}
Task duplicated,Tarea duplicada
Task Group,Grupo de tareas
Task ID is required,El ID de la tarea es obligatorio
Task is blocked by incomplete dependencies,La tarea está bloqueada por dependencias incompletas
Task is cancelled,La tarea está cancelada
Task is completed,La tarea está completada
Task is no longer blocked by a group,La tarea ya no está bloqueada por un grupo
Task is required for task context,La tarea es obligatoria para el contexto de tarea
Task is required when tracking context is 'task',La tarea es obligatoria cuando el contexto de seguimiento es «tarea»
Task linked,Tarea vinculada
Task moved,Tarea movida
Task name,Nombre de la tarea
Task name is required,El nombre de la tarea es obligatorio
Task removed from group,Tarea quitada del grupo
Task Subject,Asunto de la tarea
Task subject is required,El asunto de la tarea es obligatorio
Task Type,Tipo de tarea
Task unblocked: {0},Tarea desbloqueada: {0}
Task unlinked,Tarea desvinculada
Task updated,Tarea actualizada
Task {0} not found,Tarea {0} no encontrada
Task {0} not in project {1},Tarea {0} no se encuentra en el proyecto {1}
Task {0} to Frappe,Tarea {0} a Frappe
Tasks,Tareas
tasks,tareas
Tasks and milestones will be created with dates relative to the project start date.,Las tareas e hitos se crearán con fechas relativas a la fecha de inicio del proyecto.
Tasks assigned to you across all projects.,Tareas asignadas a usted en todos los proyectos.
Tasks created:,Tareas creadas:
Tasks from projects you manage.,Tareas de los proyectos que usted gestiona.
Tasks updated:,Tareas actualizadas:
"Tasks, milestones, and dependencies have been created.","Las tareas, hitos y dependencias han sido creados."
Tasks:,Tareas:
TBD,Por determinar
Team,Equipo
Team Members,Miembros del equipo
Template,Plantilla
Template applied,Plantilla aplicada
Template data is required in import data,Los datos de la plantilla son obligatorios en los datos de importación
Template has no data,La plantilla no tiene datos
Template Name,Nombre de la plantilla
Template name,Nombre de la plantilla
Template name is required,El nombre de la plantilla es obligatorio
Template name is required in import data,El nombre de la plantilla es obligatorio en los datos de importación
Template saved,Plantilla guardada
Template updated successfully.,Plantilla actualizada correctamente.
Template {0} not found,Plantilla {0} no encontrada
Templates,Plantillas
Tentative,Provisional
The comment has been deleted,El comentario ha sido eliminado
The project,El proyecto
The source document may have been deleted.,El documento de origen pudo haber sido eliminado.
The source document will not be affected.,El documento de origen no se verá afectado.
The status of '{0}' was changed from {1} to {2}.,El estado de «{0}» fue cambiado de {1} a {2}.
Theme,Tema
Theme preference,Preferencia de tema
This action,Esta acción
This action cannot be undone.,Esta acción no se puede deshacer.
This activity has been flagged for attention,Esta actividad ha sido marcada para atención
This is a reminder for your upcoming appointment,Este es un recordatorio de su próxima cita
This method is only meant for developer mode,Este método es solo para el modo de desarrollo
This page wandered off,Esta página se ha perdido
This Week,Esta semana
This will delete all notes and preferences associated with this activity.,Esto eliminará todas las notas y preferencias asociadas con esta actividad.
This will import all Frappe Projects into Orga. Continue?,Esto importará todos los proyectos de Frappe a Orga. ¿Continuar?
This will permanently delete,Esto eliminará de forma permanente
This will permanently delete:,Esto eliminará de forma permanente:
Thu,Jue
Time,Hora
Time & Billing,Tiempo y facturación
Time & Revenue,Tiempo e ingresos
Time Entries,Entradas de tiempo
Time log name is required,El nombre de la entrada de tiempo es obligatorio
Time Log not found,Entrada de tiempo no encontrada
Time log {0} not found,Entrada de tiempo {0} no encontrada
Time Logs,Entradas de tiempo
Time Summary,Resumen de tiempo
Time Tracking,Seguimiento de tiempo
Timeline,Línea de tiempo
Timer active on,Cronómetro activo en
Timer is not running,El cronómetro no está en marcha
Timer Running,Cronómetro en marcha
Timer running,Cronómetro en marcha
Timesheet DocType not available,DocType Hoja de tiempo no disponible
Timesheets,Hojas de tiempo
Timezone,Zona horaria
Timezone is detected from your browser,La zona horaria se detecta desde su navegador
Title,Título
Title cannot exceed 255 characters,El título no puede exceder 255 caracteres
Title is required,El título es obligatorio
Title updated,Título actualizado
To,Hasta
to,a
to cancel,para cancelar
to close,para cerrar
to confirm:,para confirmar:
to edit,para editar
"to save,","para guardar,"
To Time cannot be before From Time,La hora de fin no puede ser anterior a la hora de inicio
Today,Hoy
today,hoy
Toggle billable,Alternar facturable
Toggle Details Panel,Mostrar/ocultar panel de detalles
Toggle Manager Panel,Mostrar/ocultar panel de gestión
Toggle Sidebar,Mostrar/ocultar barra lateral
Tomorrow,Mañana
tomorrow,mañana
Total,Total
Total Budget,Presupuesto total
Total Contacts,Total de contactos
Total Cost,Costo total
Total Cost to Org,Costo total para la organización
Total Defect Cost,Costo total de defectos
Total Hours,Total de horas
Total Hours Logged,Total de horas registradas
Total Projects,Total de proyectos
Total Spent,Total gastado
Total Tasks,Total de tareas
Total:,Total:
Tracked,Registrado
trails to today while Open at 0%,se desliza hasta hoy mientras está Abierto al 0%
Tried:,Intentado:
Try adjusting your filter criteria,Intente ajustar sus criterios de filtro
Try adjusting your filters.,Intente ajustar sus filtros.
Try Again,Intentar de nuevo
Tue,Mar
Type,Tipo
Type updated,Tipo actualizado
Type:,Tipo:
Typical response time: 1-2 business days,Tiempo de respuesta habitual: 1 a 2 días hábiles
Unarchive,Desarchivar
Unarchive Activity,Desarchivar actividad
Unassign,Desasignar
Unassigned,No asignado
Under Budget,Bajo presupuesto
Ungrouped,Sin agrupar
Unknown,Desconocido
Unknown error,Error desconocido
Unlink failed,Error al desvincular
Unlink task from milestone,Desvincular tarea del hito
Unpin,Desfijar
Unpin Activity,Desfijar actividad
Unread,No leído
Unread only,Solo no leídos
Until,Hasta
Up to Date,Actualizado
Upcoming,Próximos
upcoming,próximos
Update,Actualización
Update Available,Actualización disponible
Update available,Actualización disponible
Update available: v{0},Actualización disponible: v{0}
Update check failed: {0},Error al buscar actualizaciones: {0}
Update failed,Error al actualizar
Updated,Actualizado
Updated successfully,Actualizado correctamente
Updates,Actualizaciones
Upload,Subir
Upload failed,Error al subir
Upload files below to attach them to this task.,Suba archivos a continuación para adjuntarlos a esta tarea.
Upload to project,Subir al proyecto
Uploading...,Subiendo...
Urgent,Urgente
User {0} is already linked to client {1},El usuario {0} ya está vinculado al cliente {1}
User {0} is already linked to resource {1},El usuario {0} ya está vinculado al recurso {1}
Utilization,Utilización
Valid,Válido
Value:,Valor:
Variance,Variación
Variance:,Variación:
Version {0} is available. You are running {1}.,La versión {0} está disponible. Está usando {1}.
View,Ver
View All,Ver todo
View all active projects,Ver todos los proyectos activos
View all open tasks,Ver todas las tareas abiertas
View overdue tasks,Ver tareas atrasadas
View Release,Ver versión
Visibility,Visibilidad
Waiting for this task,Esperando por esta tarea
Waits for:,Espera a:
Warning: Resource {0} status is {1},Advertencia: el estado del recurso {0} es {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Advertencia: usando HTTP en lugar de HTTPS. Los datos del webhook podrían no ser seguros.
Watch budget closely,Vigilar el presupuesto de cerca
We'll respond to:,Responderemos a:
Webhook deleted,Webhook eliminado
Webhook name is required,El nombre del webhook es obligatorio
Webhook not found,Webhook no encontrado
Webhook URL is required,La URL del webhook es obligatoria
Webhook URL must start with http:// or https://,La URL del webhook debe comenzar con http:// o https://
Wed,Mié
Week,Semana
Weekend,Fin de semana
Weekly Capacity,Capacidad semanal
weekly capacity,capacidad semanal
Weekly Capacity (h),Capacidad semanal (h)
Welcome,Bienvenido
Welcome back!,¡Bienvenido de nuevo!
Welcome to Orga,Bienvenido a Orga
What are you working on?,¿En qué está trabajando?
What did you work on?,¿En qué trabajó?
When,Cuándo
When work begins,Cuando comienza el trabajo
When work is due,Cuando el trabajo vence
Where,Dónde
Will capture:,Capturará:
Will create:,Creará:
with checklist items,con los elementos de la lista de verificación
Working,En curso
Workload,Carga de trabajo
Workmanship,Calidad de la mano de obra
Write a comment...,Escriba un comentario...
Write a comment... Use @name to mention (Ctrl+Enter to send),Escriba un comentario... Use @nombre para mencionar (Ctrl+Enter para enviar)
Year,Año
Yes,Sí
Yesterday,Ayer
yesterday,ayer
You are not an attendee of this appointment,Usted no es un asistente de esta cita
You are not linked to any resource,Usted no está vinculado a ningún recurso
You are running the latest version of Orga.,Está usando la última versión de Orga.
You can only delete your own comments,Solo puede eliminar sus propios comentarios
You can only delete your own reactions,Solo puede eliminar sus propias reacciones
You do not have access to the client portal. Please contact support.,No tiene acceso al portal del cliente. Contacte al soporte.
You have already reacted with '{0}',Ya ha reaccionado con «{0}»
You have been assigned to task '{0}' in project '{1}'.,Se le ha asignado la tarea «{0}» en el proyecto «{1}».
You have been assigned to: {0},Se le ha asignado a: {0}
You have been invited to the following appointment,Ha sido invitado a la siguiente cita
You have no tasks assigned to you right now.,No tiene tareas asignadas en este momento.
You were mentioned in {0},Se le mencionó en {0}
Your attendance,Su asistencia
Your comment has been posted,Su comentario ha sido publicado
Your Projects,Sus proyectos
