+ Add Milestone,+ Bæta við áfanga
Frappe Projects sync is not enabled,Frappe Projects samstilling er ekki virkjuð
Frappe Task DocType not found,Frappe Task DocType fannst ekki
Frappe Task has no project,Frappe verkefni hefur ekkert verkefni
Frappe Task {0} not found,Frappe verkefni {0} fannst ekki
Fri,Fös
From,Frá
From Template,Úr sniðmáti
FS (Finish-Start),FS (Lok-Upphaf)
FS - Finish-to-Start (default),FS - Lok-til-Upphafs (sjálfgefið)
Full form view with audit trail,Heildareyðublað með endurskoðunarslóð
Full name,Fullt nafn
Gantt,Gantt
Gantt Chart,Gantt rit
Gantt View,Gantt yfirlit
General Note,Almenn athugasemd
Get started,Byrjaðu
Go back,Til baka
Go Back,Go Back
Group by,Flokka eftir
Group dependency removed,Hópháð fjarlægt
Group dependency set,Hópháð stillt
Group removed,Hópur fjarlægður
Group updated,Hópur uppfærður
Hammock task dates are auto-calculated and cannot be changed manually,Dagsetningar hengikójuverkefna eru sjálfkrafa reiknaðar og ekki hægt að breyta handvirkt
Have a question or need assistance? Fill out the form below and our team will get back to you.,Ertu með spurningu eða þarft aðstoð? Fylltu út eyðublaðið hér að neðan og teymið okkar mun hafa samband.
Health,Heilsa
Healthy,Í góðri stöðu
Hello {0},Hæ {0}
Here's what's happening with your projects today.,Hér er hvað er á döfinni í verkefnum þínum í dag.
Hide,Fela
High,Hár
History,Ferill
Home,Heim
Hourly Cost,Tímakostnaður
Hours,Stundir
hours,stundir
Hours Logged,Stundir skráðar
ID,Auðkenni
Image must be smaller than 5 MB,Mynd verður að vera minni en 5 MB
Import,Flytja inn
Import existing projects and tasks from Frappe Projects module,Flytja inn fyrirliggjandi verkefni og verk úr Frappe verkefnaeiningu
Import failed,Innflutningur mistókst
Import Template,Flytja inn sniðmát
Imported,Flutt inn
in,í
In Progress,Í vinnslu
In Review,Í yfirferð
In-app notifications,Tilkynningar í forriti
Inactive,Óvirkt
Initial Review,Upphafsyfirferð
Installed Version,Installed Version
Insufficient permissions to view all tasks,Ófullnægjandi heimildir til að skoða öll verk
Intermediate,Miðlungs
Internal,Innri
Invalid DocType,Ógild DocType
Invalid DocType for import,Ógild DocType til innflutnings
Invalid item type: {0},Ógild tegund atriðis: {0}
Invalid JSON data,Ógild JSON-gögn
Invalid note type. Must be one of: {0},Ógild tegund athugasemdar. Verður að vera eitt af: {0}
Invalid project reference,Ógild verkefnatilvísun
Invalid reaction type. Must be one of: {0},Ógild tegund viðbragðs. Verður að vera eitt af: {0}
Invalid RSVP status,Ógild RSVP-staða
Invalid status. Must be one of: {0},Ógild staða. Verður að vera eitt af: {0}
Invalid status: {0},Ógild staða: {0}
Invalid status: {0}. Must be one of: {1},Ógild staða: {0}. Verður að vera eitt af: {1}
Invalid tracking context: {0},Ógilt rakningarsamhengi: {0}
Invalid visibility. Must be one of: {0},Ógild sýnileiki. Verður að vera eitt af: {0}
Invitation: {0} - {1} at {2},Boð: {0} - {1} kl. {2}
Invite People,Bjóða fólki
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Atriði bætt við
Item ID is required,Auðkenni atriðis er krafist
Item removed,Atriði fjarlægt
Item type is required,Tegund atriðis er krafist
Item {0} not found,Atriði {0} fannst ekki
Job title or role,Starfstitill eða hlutverk
Join Meeting,Taka þátt í fundi
Just now,Rétt í þessu
just now,rétt í þessu
Kanban,Kanban
Kanban Board,Kanban-borð
Kanban View,Kanban-yfirlit
Keyboard Shortcuts,Flýtilyklar
Keyboard shortcuts (?),Flýtilyklar (?)
Last checked: {0},Last checked: {0}
Last Updated,Síðast uppfært
Last updated:,Síðast uppfært:
Last Week,Síðustu viku
Latest Version,Latest Version
Light,Ljóst
Link failed,Tenging mistókst
Link Task,Tengja verk
Linked,Tengt
Linked employee not found,Tengdur starfsmaður fannst ekki
Linked Tasks,Tengd verk
List,Listi
List View,Listayfirlit
Load failed,Hleðsla mistókst
Load More,Hlaða fleiru
Load more comments,Hlaða fleiri athugasemdum
Loading activity...,Hleð virkni...
Loading changes...,Hleð breytingum...
Loading checklist...,Hleð gátlista...
Loading comments...,Hleð athugasemdum...
Loading contact...,Hleð tengilið...
Loading contacts...,Hleð tengiliðum...
Loading dependencies...,Hleð tengslum...
Loading details...,Hleð upplýsingum...
Loading discussion...,Hleð umræðu...
Loading events...,Hleð viðburðum...
Loading files...,Hleð skrám...
Loading notes...,Hleð athugasemdum...
Loading preferences...,Hleð stillingum...
Loading project...,Hleð verkefni...
Loading projects...,Hleð verkefnum...
Loading replies...,Hleð svörum...
Loading report data...,Hleð skýrslugögnum...
Loading settings...,Hleð stillingum...
Loading task...,Hleð verki...
Loading templates...,Hleð sniðmátum...
Loading time logs...,Hleð tímafærslum...
Loading your portal...,Hleð gáttinni þinni...
Loading...,Hleð...
Location,Staðsetning
Log Time,Skrá tíma
Logout,Útskrá
Low,Lágur
Make Offer,Gera tilboð
Manager,Stjórnandi
Manual Entry,Handvirk færsla
Margin,Framlegð
Mark all as read,Merkja allt sem lesið
Mark all read,Merkja allt lesið
Mark as read,Merkja sem lesið
Mark as unread,Merkja sem ólesið
Mark read,Merkja lesið
Marking...,Merki...
Material,Efni
Maybe,Kannski
Medium,Miðlungs
Meeting,Fundur
Meeting Link,Fundarslóð
Meeting title,Titill fundar
Meeting URL,Vefslóð fundar
Meetings,Fundir
Mention,Nefna
Message,Skilaboð
Message is required,Skilaboð eru krafist
Message is required for '{0}' action,"Skilaboð eru krafist fyrir aðgerðina „{0}""
Migrate,Flytja
Migration Complete,Flutningi lokið
Migration ID:,Flutningsauðkenni:
Migration log not found: {0},Flutningsskrá fannst ekki: {0}
Milestone,Áfangi
Milestone ID is required,Auðkenni áfanga er krafist
Milestone Name,Nafn áfanga
Milestone created,Áfangi búinn til
Milestone description has been saved.,Lýsing áfanga hefur verið vistuð.
Milestone marked as Missed (past due date),Áfangi merktur sem liðinn (frestur runninn út)
Milestone moved,Áfangi færður
Milestone name has been saved.,Nafn áfanga hefur verið vistað.
Milestone name is required,Nafn áfanga er krafist
Milestone updated,Áfangi uppfærður
Milestone {0} not found,Áfangi {0} fannst ekki
Milestone {0} not in project {1},Áfangi {0} er ekki í verkefni {1}
Milestones,Áfangar
Milestones:,Áfangar:
Minutes,Mínútur
Missed,Liðið
Mixed,Blandað
Mobile,Farsími
Moderate,Í meðallagi
Modify details, time, or attendees,Breyta upplýsingum"
Migrate,Flytja
Migration Complete,Flutningur lokið
Migration ID:,Flutnings ID:
Migration log not found: {0},Flutningsskrá fannst ekki: {0}
milestone,áfangi
Milestone,Áfangi
Milestone created,Áfangi búinn til
Milestone description has been saved.,Lýsing áfanga hefur verið vistuð.
Milestone ID is required,Áfanga ID er nauðsynlegt
Milestone marked as Missed (past due date),Áfangi merktur sem sleppt (liðinn frestur)
Milestone moved,Áfangi færður
Milestone Name,Nafn áfanga
Milestone name has been saved.,Nafn áfanga hefur verið vistað.
Milestone name is required,Nafn áfanga er nauðsynlegt
Milestone updated,Áfangi uppfærður
Milestone {0} not found,Áfangi {0} fannst ekki
Milestone {0} not in project {1},Áfangi {0} er ekki í verkefni {1}
milestones,áfangar
Milestones,Áfangar
Milestones:,Áfangar:
Minutes,Mínútur
Missed,Sleppt
Mixed,Blandað
Mobile,Farsími
Moderate,Hóflegt
Modified,Breytt
"Modify details, time, or attendees","Breyta upplýsingum, tíma eða þátttakendum"
Mon,Mán
Month,Mánuður
Move failed,Færsla mistókst
Must be a positive number,Verður að vera jákvæð tala
Must finish before this finishes,Verður að ljúka áður en þessu lýkur
Must finish before this starts,Verður að ljúka áður en þetta hefst
Must start before this finishes,Verður að hefjast áður en þessu lýkur
Must start before this starts,Verður að hefjast áður en þetta hefst
My Assignments,Mínar úthlutanir
My Projects,Mín verkefni
My Schedule,Mitt dagskrá
My Tasks,Mín verk
N/A,Á ekki við
Name,Nafn
Name (A-Z),Nafn (A-Ö)
Name (Z-A),Nafn (Ö-A)
Name cannot exceed 255 characters,Nafn má ekki vera lengra en 255 stafir
Need help?,Þarftu aðstoð?
Needs Attention,Þarfnast athygli
Never,Never
new activities,ný virkni
New Activity,Ný virkni
New activity,Ný virkni
New Event,Nýr viðburður
New index is required,Nýtt númer er krafist
New Project,Nýtt verkefni
New tasks will auto-trail by default.,Ný verk munu sjálfgefið nota sjálfvirka framlengingu.
Newest First,Nýjast fyrst
Next,Næsta
Next 14 days,Næstu 14 dagar
Next 30 days,Næstu 30 dagar
Next 60 days,Næstu 60 dagar
Next 7 days,Næstu 7 dagar
Next 90 days,Næstu 90 dagar
Next Week,Næsta vika
Next:,Næst:
No,Nei
No active assignments,Engar virkar úthlutanir
No active projects,Engin virk verkefni
No active timer found,Enginn virkur tímamælir fannst
No activity selected,Engin virkni valin
No assignments found,Engar úthlutanir fundust
No attendees,Engir þátttakendur
no change,engin breyting
No changes for this field.,Engar breytingar á þessum reit.
No changes recorded for this activity.,Engar breytingar skráðar fyrir þessa virkni.
No checklist items yet,Engir gátlistaatriði ennþá
No checklist items yet.,Engir gátlistaatriði ennþá.
No comments yet,Engar athugasemdir ennþá
No comments yet.,Engar athugasemdir ennþá.
No contacts available,Engir tengiliðir tiltækir
No content for this tab,Ekkert efni fyrir þennan flipa
No data available,Engin gögn tiltæk
No data available for the selected filters,Engin gögn tiltæk fyrir valdar síur
No data to export,Engin gögn til útflutnings
No dates set,Engar dagsetningar stilltar
No defects reported,Engir gallar tilkynntir
No dependencies defined,Engin tengsl skilgreind
No description,Engin lýsing
No discussion yet.,Engin umræða ennþá.
No documents attached,Engin skjöl hengd við
No due date,Enginn skiladagur
No employee linked to this resource,Enginn starfsmaður tengdur þessu úrræði
No ERPNext employee linked to resource,Enginn ERPNext starfsmaður tengdur við úrræði
No events found,Engir viðburðir fundust
No files attached yet.,Engar skrár hengdar við ennþá.
No Frappe Project linked,Ekkert Frappe verkefni tengt
No Grouping,Engin hópun
No items,Engin atriði
No matching tasks,Engin samsvarandi verk
No matching tasks found,Engin samsvarandi verk fundust
No migration history,Enginn flutningsferill
No Milestone,Enginn áfangi
No milestones,Engir áfangar
No milestones defined for this project.,Engir áfangar skilgreindir fyrir þetta verkefni.
No notes yet.,Engar athugasemdir ennþá.
No notes yet. Add a due diligence note to track progress.,Engar athugasemdir ennþá. Bættu við áreiðanleikaathugasemd til að fylgjast með framvindu.
No notifications,Engar tilkynningar
No Orga Project linked to Frappe Project {0},Ekkert Orga verkefni tengt við Frappe verkefni {0}
No overdue tasks,Engin verk komin fram yfir frest
No pending cascade changes,Engar keðjubreytingar í bið
No predecessors - this task can start independently,Engir forverar — þetta verk getur hafist sjálfstætt
No project,Ekkert verkefni
No projects found,Engin verkefni fundust
No Projects Yet,Engin verkefni ennþá
No recent activity,Engin nýleg virkni
No related documents,Engin tengd skjöl
No resolved threads.,Engir uppleystar umræður.
No resources found,Engin úrræði fundust
No results found,Engar niðurstöður fundust
No skills listed,Engin færni skráð
No skills recorded yet,Engin færni skráð ennþá
No successors - no tasks are waiting for this one,Engir eftirmenn — engin verk bíða eftir þessu
No task selected,Ekkert verk valið
No tasks assigned to you,Engin verk úthlutað þér
No tasks available to add,Engin verk tiltæk til að bæta við
No tasks found,Engin verk fundust
No tasks linked to this milestone,Engin verk tengd þessum áfanga
No tasks with dates to display,Engin verk með dagsetningar til að birta
No tasks yet,Engin verk ennþá
No team members,Engir liðsmenn
No template,Ekkert sniðmát
No templates yet,Engin sniðmát ennþá
No time data found,Engin tímagögn fundust
No time logged today,Enginn tími skráður í dag
No time logged yet,Enginn tími skráður ennþá
No time logs for this period,Engar tímafærslur fyrir þetta tímabil
No time logs found,Engar tímafærslur fundust
No unread notifications,Engar ólesnar tilkynningar
No update information available yet.,No update information available yet.
None,Ekkert
Not found,Fannst ekki
Not permitted,Ekki leyfilegt
Not permitted to access this project,Þú hefur ekki leyfi til að opna þetta verkefni
Not permitted to access this task,Þú hefur ekki leyfi til að opna þetta verk
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Þú hefur ekki leyfi til að skrifa athugasemd við þetta skjal
Not permitted to create clients,Þú hefur ekki leyfi til að búa til viðskiptavini
Not permitted to delete this client,Þú hefur ekki leyfi til að eyða þessum viðskiptavini
Not permitted to delete this defect,Þú hefur ekki leyfi til að eyða þessum galla
Not permitted to delete this note,Þú hefur ekki leyfi til að eyða þessari athugasemd
Not permitted to delete this project,Þú hefur ekki leyfi til að eyða þessu verkefni
Not permitted to delete this task,Þú hefur ekki leyfi til að eyða þessu verki
Not permitted to delete this time log,Þú hefur ekki leyfi til að eyða þessari tímafærslu
Not permitted to invite clients,Þú hefur ekki leyfi til að bjóða viðskiptavinum
Not permitted to modify client access,Þú hefur ekki leyfi til að breyta aðgangi viðskiptavinar
Not permitted to modify this project,Þú hefur ekki leyfi til að breyta þessu verkefni
Not permitted to update settings,Þú hefur ekki leyfi til að uppfæra stillingar
Not permitted to update this client,Þú hefur ekki leyfi til að uppfæra þennan viðskiptavin
Not permitted to view this client,Þú hefur ekki leyfi til að skoða þennan viðskiptavin
not sent,ekki sent
Not set,Ekki stillt
Not specified,Ekki tilgreint
Note,Athugasemd
Note (optional),Athugasemd (valfrjálst)
Note Content,Efni athugasemdar
Note content is required,Efni athugasemdar er krafist
Note name is required,Nafn athugasemdar er krafist
Note not found,Athugasemd fannst ekki
Note Type,Tegund athugasemdar
Notes,Athugasemdir
Notification,Tilkynning
Notification not found,Tilkynning fannst ekki
Notifications,Tilkynningar
Off Track,Á villigötum
Offer,Tilboð
Offer Prepared,Tilboð undirbúið
Oldest First,Elst fyrst
On Hold,Í bið
On Leave,Í fríi
On Track,Á réttri leið
On-Time Rate,Tímaheldni
Only administrators can delete activities,Aðeins stjórnendur geta eytt virkni
Only the comment author or administrators can delete comments,Aðeins höfundur athugasemdar eða stjórnendur geta eytt athugasemdum
Only you and admins,Aðeins þú og stjórnendur
Open,Opið
Open in Desk,Opna í Desk
Open Task Log,Opna verkskrá
Open Tasks,Opin verk
Optional,Valfrjálst
optional,valfrjálst
Or email us directly at,Eða sendu okkur tölvupóst beint á
Orga Project {0} from Frappe Projects,Orga verkefni {0} frá Frappe Projects
Orga Task {0} from Frappe,Orga verk {0} frá Frappe
Organizer,Skipuleggjandi
Other,Annað
Over Budget,Yfir fjárhagsáætlun
Overall Progress,Heildarframvinda
Overall Utilization,Heildarnýting
Overallocated,Ofúthlutað
Overdue,Fram yfir frest
overdue,fram yfir frest
Overdue Tasks,Verk komin fram yfir frest
Overview,Yfirlit
Owner,Eigandi
Page Not Found,Síða fannst ekki
Parent,Yfirliður
Parent comment must belong to the same document,Yfirathugasemd verður að tilheyra sama skjali
Parent comment not found,Yfirathugasemd fannst ekki
Parent project not synced to Frappe yet,Yfirverkefni ekki enn samstillt við Frappe
Parent project sync not enabled,Samstilling yfirverkefnis er ekki virk
Partner,Samstarfsaðili
Pending,Í bið
per page,á síðu
Perform initial assessment and background check,Framkvæma upphafsmat og bakgrunnsathugun
Permanently remove this event,Fjarlægja þennan viðburð varanlega
Permanently remove this task,Fjarlægja þetta verk varanlega
Phone,Sími
Pin,Festa
Pin Activity,Festa virkni
Pin to top,Festa efst
Pinned,Fest
Planned budget for this task,Áætluð fjárhagsáætlun fyrir þetta verk
Planning,Áætlun
Please describe your question or issue in detail...,Lýstu spurningunni eða vandamálinu í smáatriðum...
Please login to access Orga,Skráðu þig inn til að fá aðgang að Orga
Please login to access the client portal,Skráðu þig inn til að fá aðgang að viðskiptavinagáttinni
Please respond to this invitation in Orga,Svaraðu þessu boði í Orga
Please select an image file,Veldu myndaskrá
Please try again,Reyndu aftur
Please type,Sláðu inn
Portal,Gátt
Portal access revoked for {0},Aðgangur að gátt afturkallaður fyrir {0}
Portal user created successfully. Welcome email {0},Gáttarnotandi búinn til. Kynningarpóstur {0}
Post,Birta
Powered by,Keyrt af
Powered by Tonic,Keyrt af Tonic
Predecessors (Blocked By),Forverar (lokað á af)
Preferences,Stillingar
Preferences saved successfully,Stillingar vistaðar
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Forskeyti fyrir sjálfvirkt búin verkefniskóða (t.d. ORG-2026-0001)
Prepare and document offer terms,Undirbúa og skrá tilboðsskilmála
Press,Ýttu á
Preview,Forskoðun
Preview cascade before applying,Forskoða keðjubreytingu áður en hún er notuð
Previous,Fyrri
Priority,Forgangur
Priority assigned to new tasks,Forgangur úthlutaður nýjum verkum
Priority updated,Forgangur uppfærður
Proficiency,Hæfni
Profile,Prófíll
Progress,Framvinda
Progress (High-Low),Framvinda (há-lág)
Progress (Low-High),Framvinda (lág-há)
Progress Overview,Yfirlit framvindu
Progress updated,Framvinda uppfærð
Project,Verkefni
Project budget has been saved.,Fjárhagsáætlun verkefnis hefur verið vistuð.
Project code (e.g. ORG-2026-0001),Verkefniskóði (t.d. ORG-2026-0001)
Project Code Prefix,Forskeyti verkefniskóða
Project created,Verkefni búið til
Project deleted,Verkefni eytt
Project description has been saved.,Verkefnislýsing hefur verið vistuð.
Project Details,Verkefnisupplýsingar
Project end date has been saved.,Lokadagsetning verkefnis hefur verið vistuð.
Project Files,Verkefnisskrár
Project has no linked client,Verkefni á engan tengdan viðskiptavin
Project Health,Heilsa verkefnis
Project Info,Verkefnisupplýsingar
Project is required,Verkefni er krafist
Project is required for project context,Verkefni er krafist fyrir verkefnissamhengi
Project is required when tracking context is 'project',"Verkefni er krafist þegar rakningarsamhengi er „verkefni""
Project name and template name are required,Nafn verkefnis og nafn sniðmáts eru krafist
Project name is required,Nafn verkefnis er krafist
Project not found,Verkefni fannst ekki
Project not found or you do not have access,Verkefni fannst ekki eða þú hefur ekki aðgang
Project settings,Verkefnisstillingar
Project start date has been saved.,Upphafsdagsetning verkefnis hefur verið vistuð.
Project title has been saved.,Titill verkefnis hefur verið vistaður.
Project updated,Verkefni uppfært
Project {0} linked to client {1},Verkefni {0} tengt viðskiptavini {1}
Project {0} not found,Verkefni {0} fannst ekki
Project {0} to Frappe Projects,Verkefni {0} yfir í Frappe Projects
Project:,Verkefni:
Projects,Verkefni
Projects Overview,Yfirlit verkefna
Projects created:,Verkefni búin til:
Projects skipped:,Verkefni sleppt:
Projects updated:,Verkefni uppfærð:
Promote failed,Uppfærsla mistókst
Promote to task,Umbreyta í verk
Promoted to task,Umbreytt í verk
Propose,Leggja til
Propose New Time,Leggja til nýjan tíma
Propose Time,Leggja til tíma
Proposed End,Tillaga um lok
Proposed Start,Tillaga um upphaf
Public,Opinbert
Quick Action,Flýtiaðgerð
Quick Actions,Flýtiaðgerðir
Quick Stats,Stuttar tölur
RSVP,RSVP
Rates,Gjöld
Receive notifications via email,Fá tilkynningar í tölvupósti
Receive notifications within the application,Fá tilkynningar innan forritsins
Recipient {0} is not a valid user,Viðtakandi {0} er ekki gildur notandi
Recent Activity,Nýleg virkni
Reference,Tilvísun
Refresh,Endurhlaða
Related,Tengt
Related Company (optional),Tengt fyrirtæki (valfrjálst)
Related Documents,Tengd skjöl
Related Project,Tengt verkefni
Remaining,Eftirstöðvar
Reminder,Áminning
Reminder Lead Time"""
Project Manager,Verkefnastjóri
Project Name,Nafn verkefnis
Project name and template name are required,Verkefnanafn og sniðmátsnafn eru nauðsynleg
Project name is required,Verkefnanafn er nauðsynlegt
Project not found,Verkefni fannst ekki
Project not found or you do not have access,Verkefni fannst ekki eða þú hefur ekki aðgang
Project settings,Verkefnisstillingar
Project start date has been saved.,Upphafsdagur verkefnis hefur verið vistaður.
Project title has been saved.,Titill verkefnis hefur verið vistaður.
Project Type,Tegund verkefnis
Project updated,Verkefni uppfært
Project {0} linked to client {1},Verkefni {0} tengt viðskiptavini {1}
Project {0} not found,Verkefni {0} fannst ekki
Project {0} to Frappe Projects,Verkefni {0} í Frappe Projects
Project:,Verkefni:
projects,verkefni
Projects,Verkefni
Projects created:,Verkefni búin til:
Projects Overview,Yfirlit verkefna
Projects skipped:,Verkefni sleppt:
Projects updated:,Verkefni uppfærð:
Promote failed,Hækkun mistókst
Promote to task,Hækka í verkefni
Promoted to task,Hækkað í verkefni
Propose,Leggja til
Propose New Time,Leggja til nýjan tíma
Propose Time,Leggja til tíma
Proposed End,Fyrirhugaðar lokar
Proposed Start,Fyrirhugað upphaf
Public,Opinbert
Quick Action,Flýtiaðgerð
Quick Actions,Flýtiaðgerðir
Quick Stats,Flýtitölfræði
Rates,Gjaldskrá
Receive notifications via email,Fá tilkynningar í tölvupósti
Receive notifications within the application,Fá tilkynningar í forritinu
Recent Activity,Nýleg virkni
Recipient {0} is not a valid user,Viðtakandi {0} er ekki gildur notandi
Reference,Tilvísun
Refresh,Endurhlaða
Related,Tengt
Related Company (optional),Tengt fyrirtæki (valfrjálst)
Related Documents,Tengd skjöl
Related Project,Tengt verkefni
Remaining,Eftir
Reminder,Áminning
Reminder Lead Time,Fyrirvarartími áminninga
Reminder: {0} - {1} at {2},Áminning: {0} - {1} kl. {2}
Remove,Fjarlægja
Remove dependency,Fjarlægja tengsl
Remove dependency on,Fjarlægja tengsl við
Remove from group,Fjarlægja úr hóp
Remove group dependency,Fjarlægja hóptengsl
Remove skill,Fjarlægja færni
Reopen,Opna aftur
Reopen thread,Opna umræðu aftur
reopened,opnað aftur
replies,svör
Reply,Svara
reply,svar
Replying to,Svara
Replying to comment,Svara athugasemd
Report Defect,Tilkynna galla
Reported Date,Dagsetning tilkynningar
Reports,Skýrslur
Reports To,Heyrir undir
Request Submitted!,Beiðni send!
Required,Krafist
required,krafist
Research,Rannsókn
Reset to Defaults,Endurstilla í sjálfgildi
Resolve,Leysa
Resolve thread,Leysa umræðu
Resolved,Leyst
Resolved date cannot be before reported date,Dagsetning lausnar getur ekki verið á undan tilkynningardagsetningu
Resource,Úrræði
Resource and skill name are required,Úrræði og nafn færni eru krafist
Resource is already an attendee,Úrræði er þegar þátttakandi
Resource name is required,Nafn úrræðis er krafist
Resource not found,Úrræði fannst ekki
Resource synced from employee {0},Úrræði samstillt frá starfsmanni {0}
Resource {0} is already assigned to this task ({1}),Úrræði {0} er þegar úthlutað þessu verki ({1})
Resource {0} not found,Úrræði {0} fannst ekki
Resources,Tengiliðir
Retry,Reyna aftur
Review,Yfirferð
Review all relevant documents and contracts,Yfirfara öll viðeigandi skjöl og samninga
Reviews,Yfirferðir
Risk Assessment,Áhættumat
Rollback,Afturkalla
Rolled back,Afturkallað
Room or address,Herbergi eða heimilisfang
RSVP,RSVP
Safety,Öryggi
Sat,Lau
Save,Vista
"Save a project as a template, or import one from a JSON file.","Vistaðu verkefni sem sniðmát, eða flyttu eitt inn úr JSON-skrá."
Save as Template,Vista sem sniðmát
Save Changes,Vista breytingar
Save failed,Vistun mistókst
Save Preferences,Vista stillingar
Save Template,Vista sniðmát
Saving...,Vista...
Schedule,Dagskrá
Schedule type is required for scheduled triggers,Tegund dagskrár er krafist fyrir tímasetta ræsa
Scheduled,Tímasett
Search,Leita
"Search by name, email, or skill...","Leita eftir nafni, netfangi eða færni..."
Search for a project...,Leita að verkefni...
Search for a task...,Leita að verki...
Search for an event...,Leita að viðburði...
Search for people to invite...,Leita að fólki til að bjóða...
Search tasks to link...,Leita að verkum til að tengja...
Search tasks...,Leita að verkum...
Search...,Leita...
Searching...,Leita...
Seen,Séð
Select a project if your request is related to a specific project.,Veldu verkefni ef beiðni þín tengist tilteknu verkefni.
Select a project...,Veldu verkefni...
Select a task from the Gantt chart to view and manage its details.,Veldu verk af Gantt-línuritinu til að skoða og stjórna upplýsingum þess.
Select a task from the list or Kanban board to view and manage its details.,Veldu verk af listanum eða Kanban-borðinu til að skoða og stjórna upplýsingum þess.
Select a template...,Veldu sniðmát...
Select priority...,Veldu forgang...
Select status...,Veldu stöðu...
Select task...,Veldu verk...
Select type...,Veldu tegund...
Selection,Val
Send,Senda
Send comment,Senda athugasemd
Send email invitations to attendees,Senda tölvupóstboð til þátttakenda
Send Invitations,Senda boð
Send notification when a task is assigned to a user,Senda tilkynningu þegar verki er úthlutað á notanda
Send notification when task status changes,Senda tilkynningu þegar staða verks breytist
Send reminder before task due date,Senda áminningu fyrir skiladag verks
sent,sent
Set rate,Stilla gjald
Settings,Stillingar
Settings saved successfully,Stillingar vistaðar
Severity,Alvarleiki
SF (Start-Finish),SF (Upphaf-Lok)
SF - Start-to-Finish,SF - Upphaf-til-Loka
Show,Sýna
Show all,Sýna allt
Show all changes,Sýna allar breytingar
Show Archived,Sýna safnað
Show full diff,Sýna allan mun
Show less,Sýna minna
Show more,Sýna meira
Skill added,Færni bætt við
Skill is required,Færni er krafist
Skill Name,Nafn færni
Skill removed,Færni fjarlægð
Skill {0} already exists for this resource,Færni {0} er þegar til fyrir þetta úrræði
Skills,Færni
Skills & Competencies,Færni og hæfni
Skip already migrated projects,Sleppa þegar fluttum verkefnum
Sort by,Raða eftir
Sort: Due Date,Raða: Skiladagur
Sort: Priority,Raða: Forgangur
Sort: Project,Raða: Verkefni
Sort: Status,Raða: Staða
Sort: Task,Raða: Verk
Source Code,Frumkóði
Spent,Eytt
Spent:,Eytt:
SS (Start-Start),SS (Upphaf-Upphaf)
SS - Start-to-Start,SS - Upphaf-til-Upphafs
Standalone,Sjálfstætt
Start,Upphaf
Start a discussion below,Byrjaðu umræðu hér að neðan
Start Date,Upphafsdagsetning
Start date,Upphafsdagsetning
Start Date (Earliest),Upphafsdagsetning (fyrsta)
Start date updated,Upphafsdagsetning uppfærð
Start date/time is required,Upphafsdagsetning/tími er krafist
Start Migration,Hefja flutning
Start the conversation below.,Byrjaðu samtalið hér að neðan.
Start Timer,Ræsa tímamæli
Start typing to search...,Byrjaðu að slá inn til að leita...
Start-to-Finish,Upphaf-til-Loka
Start-to-Start,Upphaf-til-Upphafs
Start:,Upphaf:
Statistics reset,Tölfræði endurstillt
Status,Staða
Status assigned to new projects,Staða úthlutuð nýjum verkefnum
Status assigned to new tasks,Staða úthlutuð nýjum verkum
Status Changes,Stöðubreytingar
Status updated,Staða uppfærð
Status:,Staða:
Stop,Stöðva
Stop & Save,Stöðva og vista
Stop Timer,Stöðva tímamæli
Stops current timer and starts for this event,Stöðvar núverandi tímamæli og ræsir fyrir þennan viðburð
Stops current timer and starts for this task,Stöðvar núverandi tímamæli og ræsir fyrir þetta verk
Subject,Efni
Subject cannot exceed 255 characters,Efni má ekki vera lengra en 255 stafir
Subject is required,Efni er krafist
Submit,Senda inn
Submit Another Request,Senda aðra beiðni
Submit Request,Senda beiðni
Submitting...,Sendi...
Successfully saved,Vistun tókst
Successors (Blocking),Eftirmenn (lokar á)
Sun,Sun
Supplier,Birgir
Support,Aðstoð
Switch to this event,Skipta yfir í þennan viðburð
Switch to this task,Skipta yfir í þetta verk
Sync direction is set to Frappe to Orga only,Samstillingarstefna stillt á Frappe til Orga eingöngu
Sync direction is set to Orga to Frappe only,Samstillingarstefna stillt á Orga til Frappe eingöngu
Sync not enabled for this project,Samstilling ekki virk fyrir þetta verkefni
System,Kerfi
Table,Tafla
Take ownership of this task,Taka þetta verk að þér
Target Date,Markdagsetning
Target End,Marklok
Target Project,Markverkefni
Target user is required for '{0}' action,"Marknotandi er krafist fyrir aðgerðina „{0}""
Task,Verk
Task '{0}' is due on {1}."""
task,verk
Task,Verkefni
Task '{0}' is due on {1}.,Verkefni '{0}' á að vera tilbúið {1}.
Task and resource are required,Verk og úrræði eru krafist
Task Assignment,Verkúthlutun
Task cannot be its own parent,Verk getur ekki verið sitt eigið yfirliður
Task cannot depend on itself,Verk getur ekki verið háð sjálfu sér
Task cannot depend on the group it belongs to,Verk getur ekki verið háð hópnum sem það tilheyrir
Task created,Verk búið til
Task deleted,Verki eytt
