+ Add Milestone,+ Προσθήκη ορόσημου
Estimated Hours,Εκτιμώμενες ώρες
Estimated:,Εκτίμηση:
Evaluate potential risks and concerns,Αξιολόγηση πιθανών κινδύνων και ανησυχιών
Event,Συμβάν
Event is required for event context,Απαιτείται συμβάν για το πλαίσιο συμβάντος
Event is required when tracking context is 'event',Απαιτείται συμβάν όταν το πλαίσιο παρακολούθησης είναι «συμβάν»
Event Type,Τύπος συμβάντος
Events,Συμβάντα
Events not available. Please run: bench --site orga.localhost migrate,Τα συμβάντα δεν είναι διαθέσιμα. Εκτελέστε: bench --site orga.localhost migrate
Events:,Συμβάντα:
Expert,Ειδικός
Explain why you are proposing a different time...,Εξηγήστε γιατί προτείνετε διαφορετικό χρόνο...
Export,Εξαγωγή
Export failed,Η εξαγωγή απέτυχε
Export JSON,Εξαγωγή JSON
Exported,Εξήχθη
Exported to timesheet {0},Εξήχθη στο φύλλο χρόνου {0}
External,Εξωτερικό
Failed to add item,Αποτυχία προσθήκης στοιχείου
Failed to add note,Αποτυχία προσθήκης σημείωσης
Failed to add skill,Αποτυχία προσθήκης δεξιότητας
Failed to apply cascade changes: {0},Αποτυχία εφαρμογής αλυσιδωτών αλλαγών: {0}
Failed to create defect,Αποτυχία δημιουργίας ελαττώματος
Failed to create dependency,Αποτυχία δημιουργίας εξάρτησης
Failed to create event,Αποτυχία δημιουργίας συμβάντος
Failed to create milestone,Αποτυχία δημιουργίας ορόσημου
Failed to create project,Αποτυχία δημιουργίας έργου
Failed to create task,Αποτυχία δημιουργίας εργασίας
Failed to create time log,Αποτυχία δημιουργίας καταχώρησης χρόνου
Failed to delete,Αποτυχία διαγραφής
Failed to delete comment,Αποτυχία διαγραφής σχολίου
Failed to delete contact,Αποτυχία διαγραφής επαφής
Failed to load,Αποτυχία φόρτωσης
Failed to load activity,Αποτυχία φόρτωσης δραστηριότητας
Failed to load assignments,Αποτυχία φόρτωσης αναθέσεων
Failed to load contact,Αποτυχία φόρτωσης επαφής
Failed to load dashboard data,Αποτυχία φόρτωσης δεδομένων πίνακα ελέγχου
Failed to load defects,Αποτυχία φόρτωσης ελαττωμάτων
Failed to load events,Αποτυχία φόρτωσης συμβάντων
Failed to load project,Αποτυχία φόρτωσης έργου
Failed to load projects,Αποτυχία φόρτωσης έργων
Failed to load report data,Αποτυχία φόρτωσης δεδομένων αναφοράς
Failed to load settings,Αποτυχία φόρτωσης ρυθμίσεων
Failed to load tasks,Αποτυχία φόρτωσης εργασιών
Failed to move task,Αποτυχία μετακίνησης εργασίας
Failed to post comment,Αποτυχία δημοσίευσης σχολίου
Failed to propose new time,Αποτυχία πρότασης νέου χρόνου
Failed to remove item,Αποτυχία αφαίρεσης στοιχείου
Failed to remove skill,Αποτυχία αφαίρεσης δεξιότητας
Failed to reorder milestones: {0},Αποτυχία αναδιάταξης ορόσημων: {0}
Failed to reorder tasks: {0},Αποτυχία αναδιάταξης εργασιών: {0}
Failed to reschedule dependent tasks: {0},Αποτυχία επαναπρογραμματισμού εξαρτώμενων εργασιών: {0}
Failed to save,Αποτυχία αποθήκευσης
Failed to save preferences,Αποτυχία αποθήκευσης προτιμήσεων
Failed to save settings,Αποτυχία αποθήκευσης ρυθμίσεων
Failed to submit request. Please try again.,Αποτυχία υποβολής αιτήματος. Δοκιμάστε ξανά.
Failed to update item,Αποτυχία ενημέρωσης στοιχείου
Failed to update priority,Αποτυχία ενημέρωσης προτεραιότητας
Failed to update task,Αποτυχία ενημέρωσης εργασίας
Failed to update tasks: {0},Αποτυχία ενημέρωσης εργασιών: {0}
Failed to upload avatar,Αποτυχία μεταφόρτωσης φωτογραφίας προφίλ
Feature,Λειτουργία
Features,Λειτουργίες
FF (Finish-Finish),FF (Τέλος-Τέλος)
FF - Finish-to-Finish,FF - Τέλος-προς-Τέλος
Field has been updated,Το πεδίο ενημερώθηκε
Field name is required for 'Set Field Value' action,Απαιτείται όνομα πεδίου για την ενέργεια «Ορισμός τιμής πεδίου»
Field {0} is not a Link field,Το πεδίο {0} δεν είναι πεδίο συνδέσμου
Field {0} not found in {1},Το πεδίο {0} δεν βρέθηκε στο {1}
File,Αρχείο
file,αρχείο
File does not belong to this task,Το αρχείο δεν ανήκει σε αυτή την εργασία
File name is required,Απαιτείται το όνομα αρχείου
File uploaded,Το αρχείο μεταφορτώθηκε
File {0} not found,Το αρχείο {0} δεν βρέθηκε
Files,Αρχεία
files,αρχεία
Filter,Φίλτρο
Final Decision,Τελική απόφαση
Finance,Οικονομικά
Financial,Οικονομικό
Finish-to-Finish,Τέλος-προς-Τέλος
Finish-to-Start,Τέλος-προς-Αρχή
Flag,Σημαία
Flag for attention,Σημείωση για προσοχή
Flagged,Σημειωμένο
Focus Panel,Πάνελ εστίασης
Follows your system preference. Currently:,Ακολουθεί την προτίμηση συστήματός σας. Τρέχουσα:
Frappe Project {0} not found,Το Frappe έργο {0} δεν βρέθηκε
Frappe Projects Migration,Μεταφορά Frappe Projects
Frappe Projects module not available,Η ενότητα Frappe Projects δεν είναι διαθέσιμη
Frappe Projects module not installed,Η ενότητα Frappe Projects δεν είναι εγκατεστημένη
Frappe Projects sync is not enabled,Ο συγχρονισμός Frappe Projects δεν είναι ενεργός
Frappe Task DocType not found,Το DocType εργασίας Frappe δεν βρέθηκε
Frappe Task has no project,Η εργασία Frappe δεν έχει έργο
Frappe Task {0} not found,Η εργασία Frappe {0} δεν βρέθηκε
Fri,Παρ
From,Από
From Template,Από πρότυπο
FS (Finish-Start),FS (Τέλος-Αρχή)
FS - Finish-to-Start (default),FS - Τέλος-προς-Αρχή (προεπιλογή)
Full form view with audit trail,Πλήρης προβολή φόρμας με ιστορικό ελέγχου
Full name,Πλήρες όνομα
Gantt,Gantt
Gantt Chart,Γράφημα Gantt
Gantt View,Προβολή Gantt
General Note,Γενική σημείωση
Get started,Ξεκινήστε
Go back,Επιστροφή
Go Back,Go Back
Group by,Ομαδοποίηση κατά
Group dependency removed,Η εξάρτηση ομάδας αφαιρέθηκε
Group dependency set,Η εξάρτηση ομάδας ορίστηκε
Group removed,Η ομάδα αφαιρέθηκε
Group updated,Η ομάδα ενημερώθηκε
Hammock task dates are auto-calculated and cannot be changed manually,Οι ημερομηνίες εργασιών τύπου αιώρας υπολογίζονται αυτόματα και δεν μπορούν να αλλαχθούν χειροκίνητα
Have a question or need assistance? Fill out the form below and our team will get back to you.,Έχετε ερώτηση ή χρειάζεστε βοήθεια; Συμπληρώστε τη φόρμα παρακάτω και η ομάδα μας θα επικοινωνήσει μαζί σας.
Health,Υγεία
Healthy,Σε καλή κατάσταση
Hello {0},Γεια σας {0}
Here's what's happening with your projects today.,Δείτε τι συμβαίνει με τα έργα σας σήμερα.
Hide,Απόκρυψη
High,Υψηλή
History,Ιστορικό
Home,Αρχική
Hourly Cost,Ωριαίο κόστος
Hours,Ώρες
hours,ώρες
Hours Logged,Ώρες καταγεγραμμένες
ID,ID
Image must be smaller than 5 MB,Η εικόνα πρέπει να είναι μικρότερη από 5 MB
Import,Εισαγωγή
Import existing projects and tasks from Frappe Projects module,Εισαγωγή υπαρχόντων έργων και εργασιών από την ενότητα Frappe Projects
Import failed,Η εισαγωγή απέτυχε
Import Template,Εισαγωγή προτύπου
Imported,Εισήχθη
in,σε
In Progress,Σε εξέλιξη
In Review,Υπό ανασκόπηση
In-app notifications,Ειδοποιήσεις εντός εφαρμογής
Inactive,Ανενεργό
Initial Review,Αρχική ανασκόπηση
Installed Version,Installed Version
Insufficient permissions to view all tasks,Ανεπαρκή δικαιώματα για προβολή όλων των εργασιών
Intermediate,Μεσαίο
Internal,Εσωτερικό
Invalid DocType,Μη έγκυρο DocType
Invalid DocType for import,Μη έγκυρο DocType για εισαγωγή
Invalid item type: {0},Μη έγκυρος τύπος στοιχείου: {0}
Invalid JSON data,Μη έγκυρα δεδομένα JSON
Invalid note type. Must be one of: {0},Μη έγκυρος τύπος σημείωσης. Πρέπει να είναι ένα από: {0}
Invalid project reference,Μη έγκυρη αναφορά έργου
Invalid reaction type. Must be one of: {0},Μη έγκυρος τύπος αντίδρασης. Πρέπει να είναι ένα από: {0}
Invalid RSVP status,Μη έγκυρη κατάσταση RSVP
Invalid status. Must be one of: {0},Μη έγκυρη κατάσταση. Πρέπει να είναι ένα από: {0}
Invalid status: {0},Μη έγκυρη κατάσταση: {0}
Invalid status: {0}. Must be one of: {1},Μη έγκυρη κατάσταση: {0}. Πρέπει να είναι ένα από: {1}
Invalid tracking context: {0},Μη έγκυρο πλαίσιο παρακολούθησης: {0}
Invalid visibility. Must be one of: {0},Μη έγκυρη ορατότητα. Πρέπει να είναι ένα από: {0}
Invitation: {0} - {1} at {2},Πρόσκληση: {0} - {1} στις {2}
Invite People,Πρόσκληση ατόμων
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Το στοιχείο προστέθηκε
Item ID is required,Απαιτείται το αναγνωριστικό στοιχείου
Item removed,Το στοιχείο αφαιρέθηκε
Item type is required,Απαιτείται ο τύπος στοιχείου
Item {0} not found,Το στοιχείο {0} δεν βρέθηκε
Job title or role,Τίτλος εργασίας ή ρόλος
Join Meeting,Συμμετοχή σε σύσκεψη
Just now,Μόλις τώρα
just now,μόλις τώρα
Kanban,Kanban
Kanban Board,Πίνακας Kanban
Kanban View,Προβολή Kanban
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου
Keyboard shortcuts (?),Συντομεύσεις πληκτρολογίου (;)
Last checked: {0},Last checked: {0}
Last Updated,Τελευταία ενημέρωση
Last updated:,Τελευταία ενημέρωση:
Last Week,Προηγούμενη εβδομάδα
Latest Version,Latest Version
Light,Φωτεινό
Link failed,Η σύνδεση απέτυχε
Link Task,Σύνδεση εργασίας
Linked,Συνδεδεμένο
Linked employee not found,Ο συνδεδεμένος υπάλληλος δεν βρέθηκε
Linked Tasks,Συνδεδεμένες εργασίες
List,Λίστα
List View,Προβολή λίστας
Load failed,Η φόρτωση απέτυχε
Load More,Φόρτωση περισσότερων
Load more comments,Φόρτωση περισσότερων σχολίων
Loading activity...,Φόρτωση δραστηριότητας...
Loading changes...,Φόρτωση αλλαγών...
Loading checklist...,Φόρτωση λίστας ελέγχου...
Loading comments...,Φόρτωση σχολίων...
Loading contact...,Φόρτωση επαφής...
Loading contacts...,Φόρτωση επαφών...
Loading dependencies...,Φόρτωση εξαρτήσεων...
Loading details...,Φόρτωση λεπτομερειών...
Loading discussion...,Φόρτωση συζήτησης...
Loading events...,Φόρτωση συμβάντων...
Loading files...,Φόρτωση αρχείων...
Loading notes...,Φόρτωση σημειώσεων...
Loading preferences...,Φόρτωση προτιμήσεων...
Loading project...,Φόρτωση έργου...
Loading projects...,Φόρτωση έργων...
Loading replies...,Φόρτωση απαντήσεων...
Loading report data...,Φόρτωση δεδομένων αναφοράς...
Loading settings...,Φόρτωση ρυθμίσεων...
Loading task...,Φόρτωση εργασίας...
Loading templates...,Φόρτωση προτύπων...
Loading time logs...,Φόρτωση καταχωρήσεων χρόνου...
Loading your portal...,Φόρτωση της πύλης σας...
Loading...,Φόρτωση...
Location,Τοποθεσία
Log Time,Καταγραφή χρόνου
Logout,Αποσύνδεση
Low,Χαμηλή
Make Offer,Υποβολή προσφοράς
Manager,Υπεύθυνος
Manual Entry,Χειροκίνητη καταχώρηση
Margin,Περιθώριο
Mark all as read,Σήμανση όλων ως αναγνωσμένα
Mark all read,Σήμανση όλων ως αναγνωσμένα
Mark as read,Σήμανση ως αναγνωσμένο
Mark as unread,Σήμανση ως μη αναγνωσμένο
Mark read,Σήμανση αναγνωσμένο
Marking...,Σήμανση...
Material,Υλικό
Maybe,Ίσως
Medium,Μεσαία
Meeting,Σύσκεψη
Meeting Link,Σύνδεσμος σύσκεψης
Meeting title,Τίτλος σύσκεψης
Meeting URL,URL σύσκεψης
Meetings,Συσκέψεις
Mention,Αναφορά
Message,Μήνυμα
Message is required,Απαιτείται μήνυμα
Message is required for '{0}' action,Απαιτείται μήνυμα για την ενέργεια «{0}»
Migrate,Μεταφορά
Migration Complete,Η μεταφορά ολοκληρώθηκε
Migration ID:,Αναγνωριστικό μεταφοράς:
Migration log not found: {0},Το αρχείο μεταφοράς δεν βρέθηκε: {0}
Milestone,Ορόσημο
milestone,ορόσημο
Milestone created,Το ορόσημο δημιουργήθηκε
Milestone description has been saved.,Η περιγραφή ορόσημου αποθηκεύτηκε.
Milestone ID is required,Απαιτείται αναγνωριστικό ορόσημου
Milestone marked as Missed (past due date),Το ορόσημο σημάνθηκε ως χαμένο (παρήλθε η προθεσμία)
Milestone moved,Το ορόσημο μετακινήθηκε
Milestone Name,Όνομα ορόσημου
Milestone name has been saved.,Το όνομα ορόσημου αποθηκεύτηκε.
Milestone name is required,Απαιτείται το όνομα του ορόσημου
Milestone updated,Το ορόσημο ενημερώθηκε
Milestone {0} not found,Το ορόσημο {0} δεν βρέθηκε
Milestone {0} not in project {1},Το ορόσημο {0} δεν βρίσκεται στο έργο {1}
Milestones,Ορόσημα
milestones,ορόσημα
Milestones:,Ορόσημα:
Minutes,Λεπτά
Missed,Χαμένο
Mixed,Μεικτό
Mobile,Κινητό
Moderate,Μέτριο
Modified,Τροποποιημένο
"Modify details, time, or attendees","Τροποποίηση λεπτομερειών, ώρας ή συμμετεχόντων"
Mon,Δευ
Month,Μήνας
Move failed,Η μετακίνηση απέτυχε
Must be a positive number,Πρέπει να είναι θετικός αριθμός
Must finish before this finishes,Πρέπει να ολοκληρωθεί πριν ολοκληρωθεί αυτό
Must finish before this starts,Πρέπει να ολοκληρωθεί πριν ξεκινήσει αυτό
Must start before this finishes,Πρέπει να ξεκινήσει πριν ολοκληρωθεί αυτό
Must start before this starts,Πρέπει να ξεκινήσει πριν ξεκινήσει αυτό
My Assignments,Οι αναθέσεις μου
My Projects,Τα έργα μου
My Schedule,Το πρόγραμμά μου
My Tasks,Οι εργασίες μου
N/A,Δ/Ε
Name,Όνομα
Name (A-Z),Όνομα (Α-Ω)
Name (Z-A),Όνομα (Ω-Α)
Name cannot exceed 255 characters,Το όνομα δεν μπορεί να υπερβαίνει τους 255 χαρακτήρες
Need help?,Χρειάζεστε βοήθεια;
Needs Attention,Χρειάζεται προσοχή
Never,Never
new activities,νέες δραστηριότητες
New Activity,Νέα δραστηριότητα
New activity,Νέα δραστηριότητα
New Event,Νέο συμβάν
New index is required,Απαιτείται νέος δείκτης
New Project,Νέο έργο
New tasks will auto-trail by default.,Οι νέες εργασίες θα έχουν αυτόματη ολίσθηση από προεπιλογή.
Newest First,Νεότερα πρώτα
Next,Επόμενο
Next 14 days,Επόμενες 14 ημέρες
Next 30 days,Επόμενες 30 ημέρες
Next 60 days,Επόμενες 60 ημέρες
Next 7 days,Επόμενες 7 ημέρες
Next 90 days,Επόμενες 90 ημέρες
Next Week,Επόμενη εβδομάδα
Next:,Επόμενο:
No,Όχι
No active assignments,Δεν υπάρχουν ενεργές αναθέσεις
No active projects,Δεν υπάρχουν ενεργά έργα
No active timer found,Δεν βρέθηκε ενεργό χρονόμετρο
No activity selected,Δεν έχει επιλεγεί δραστηριότητα
No assignments found,Δεν βρέθηκαν αναθέσεις
No attendees,Χωρίς συμμετέχοντες
no change,καμία αλλαγή
No changes for this field.,Δεν υπάρχουν αλλαγές για αυτό το πεδίο.
No changes recorded for this activity.,Δεν καταγράφηκαν αλλαγές για αυτή τη δραστηριότητα.
No checklist items yet,Δεν υπάρχουν ακόμα στοιχεία λίστας ελέγχου
No checklist items yet.,Δεν υπάρχουν ακόμα στοιχεία λίστας ελέγχου.
No comments yet,Δεν υπάρχουν ακόμα σχόλια
No comments yet.,Δεν υπάρχουν ακόμα σχόλια.
No contacts available,Δεν υπάρχουν διαθέσιμες επαφές
No content for this tab,Δεν υπάρχει περιεχόμενο για αυτή την καρτέλα
No data available,Δεν υπάρχουν διαθέσιμα δεδομένα
No data available for the selected filters,Δεν υπάρχουν δεδομένα για τα επιλεγμένα φίλτρα
No data to export,Δεν υπάρχουν δεδομένα για εξαγωγή
No dates set,Δεν έχουν οριστεί ημερομηνίες
No defects reported,Δεν αναφέρθηκαν ελαττώματα
No dependencies defined,Δεν έχουν οριστεί εξαρτήσεις
No description,Χωρίς περιγραφή
No discussion yet.,Δεν υπάρχει ακόμα συζήτηση.
No documents attached,Δεν υπάρχουν επισυναπτόμενα έγγραφα
No due date,Χωρίς ημερομηνία λήξης
No employee linked to this resource,Κανένας υπάλληλος δεν είναι συνδεδεμένος με αυτόν τον πόρο
No ERPNext employee linked to resource,Κανένας υπάλληλος ERPNext δεν είναι συνδεδεμένος με τον πόρο
No events found,Δεν βρέθηκαν συμβάντα
No files attached yet.,Δεν υπάρχουν ακόμα επισυναπτόμενα αρχεία.
No Frappe Project linked,Κανένα Frappe έργο δεν είναι συνδεδεμένο
No Grouping,Χωρίς ομαδοποίηση
No items,Κανένα στοιχείο
No matching tasks,Δεν βρέθηκαν αντίστοιχες εργασίες
No matching tasks found,Δεν βρέθηκαν αντίστοιχες εργασίες
No migration history,Δεν υπάρχει ιστορικό μεταφοράς
No Milestone,Κανένα ορόσημο
No milestones,Κανένα ορόσημο
No milestones defined for this project.,Δεν έχουν οριστεί ορόσημα για αυτό το έργο.
No notes yet.,Δεν υπάρχουν ακόμα σημειώσεις.
No notes yet. Add a due diligence note to track progress.,Δεν υπάρχουν ακόμα σημειώσεις. Προσθέστε μια σημείωση ελέγχου για να παρακολουθείτε την πρόοδο.
No notifications,Δεν υπάρχουν ειδοποιήσεις
No Orga Project linked to Frappe Project {0},Κανένα Orga έργο δεν είναι συνδεδεμένο με το Frappe έργο {0}
No overdue tasks,Δεν υπάρχουν εκπρόθεσμες εργασίες
No pending cascade changes,Δεν υπάρχουν εκκρεμείς αλυσιδωτές αλλαγές
No predecessors - this task can start independently,Χωρίς προηγούμενα — αυτή η εργασία μπορεί να ξεκινήσει ανεξάρτητα
No project,Κανένα έργο
No projects found,Δεν βρέθηκαν έργα
No Projects Yet,Δεν υπάρχουν ακόμα έργα
No recent activity,Δεν υπάρχει πρόσφατη δραστηριότητα
No related documents,Δεν υπάρχουν σχετικά έγγραφα
No resolved threads.,Δεν υπάρχουν επιλυμένες συζητήσεις.
No resources found,Δεν βρέθηκαν πόροι
No results found,Δεν βρέθηκαν αποτελέσματα
No skills listed,Δεν υπάρχουν καταχωρημένες δεξιότητες
No skills recorded yet,Δεν έχουν καταγραφεί ακόμα δεξιότητες
No successors - no tasks are waiting for this one,Χωρίς επόμενα — καμία εργασία δεν περιμένει αυτή
No task selected,Δεν έχει επιλεγεί εργασία
No tasks assigned to you,Δεν σας έχουν ανατεθεί εργασίες
No tasks available to add,Δεν υπάρχουν διαθέσιμες εργασίες για προσθήκη
No tasks found,Δεν βρέθηκαν εργασίες
No tasks linked to this milestone,Δεν υπάρχουν εργασίες συνδεδεμένες με αυτό το ορόσημο
No tasks with dates to display,Δεν υπάρχουν εργασίες με ημερομηνίες για εμφάνιση
No tasks yet,Δεν υπάρχουν ακόμα εργασίες
No team members,Χωρίς μέλη ομάδας
No template,Κανένα πρότυπο
No templates yet,Δεν υπάρχουν ακόμα πρότυπα
No time data found,Δεν βρέθηκαν δεδομένα χρόνου
No time logged today,Δεν καταγράφηκε χρόνος σήμερα
No time logged yet,Δεν έχει καταγραφεί χρόνος ακόμα
No time logs for this period,Δεν υπάρχουν καταχωρήσεις χρόνου για αυτή την περίοδο
No time logs found,Δεν βρέθηκαν καταχωρήσεις χρόνου
No unread notifications,Δεν υπάρχουν μη αναγνωσμένες ειδοποιήσεις
No update information available yet.,No update information available yet.
None,Κανένα
Not found,Δεν βρέθηκε
Not permitted,Δεν επιτρέπεται
Not permitted to access this project,Δεν επιτρέπεται η πρόσβαση σε αυτό το έργο
Not permitted to access this task,Δεν επιτρέπεται η πρόσβαση σε αυτή την εργασία
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Δεν επιτρέπεται ο σχολιασμός σε αυτό το έγγραφο
Not permitted to create clients,Δεν επιτρέπεται η δημιουργία πελατών
Not permitted to delete this client,Δεν επιτρέπεται η διαγραφή αυτού του πελάτη
Not permitted to delete this defect,Δεν επιτρέπεται η διαγραφή αυτού του ελαττώματος
Not permitted to delete this note,Δεν επιτρέπεται η διαγραφή αυτής της σημείωσης
Not permitted to delete this project,Δεν επιτρέπεται η διαγραφή αυτού του έργου
Not permitted to delete this task,Δεν επιτρέπεται η διαγραφή αυτής της εργασίας
Not permitted to delete this time log,Δεν επιτρέπεται η διαγραφή αυτής της καταχώρησης χρόνου
Not permitted to invite clients,Δεν επιτρέπεται η πρόσκληση πελατών
Not permitted to modify client access,Δεν επιτρέπεται η τροποποίηση πρόσβασης πελάτη
Not permitted to modify this project,Δεν επιτρέπεται η τροποποίηση αυτού του έργου
Not permitted to update settings,Δεν επιτρέπεται η ενημέρωση ρυθμίσεων
Not permitted to update this client,Δεν επιτρέπεται η ενημέρωση αυτού του πελάτη
Not permitted to view this client,Δεν επιτρέπεται η προβολή αυτού του πελάτη
not sent,δεν στάλθηκε
Not set,Δεν έχει οριστεί
Not specified,Δεν προσδιορίζεται
Note,Σημείωση
Note (optional),Σημείωση (προαιρετικό)
Note Content,Περιεχόμενο σημείωσης
Note content is required,Απαιτείται το περιεχόμενο της σημείωσης
Note name is required,Απαιτείται το όνομα της σημείωσης
Note not found,Η σημείωση δεν βρέθηκε
Note Type,Τύπος σημείωσης
Notes,Σημειώσεις
Notification,Ειδοποίηση
Notification not found,Η ειδοποίηση δεν βρέθηκε
Notifications,Ειδοποιήσεις
Off Track,Εκτός πορείας
Offer,Προσφορά
Offer Prepared,Προσφορά ετοιμάστηκε
Oldest First,Παλαιότερα πρώτα
On Hold,Σε αναμονή
On Leave,Σε άδεια
On Track,Σε πορεία
On-Time Rate,Ποσοστό εμπρόθεσμων
Only administrators can delete activities,Μόνο οι διαχειριστές μπορούν να διαγράψουν δραστηριότητες
Only the comment author or administrators can delete comments,Μόνο ο συγγραφέας του σχολίου ή οι διαχειριστές μπορούν να διαγράψουν σχόλια
Only you and admins,Μόνο εσείς και οι διαχειριστές
Open,Ανοιχτό
Open in Desk,Άνοιγμα στο Desk
Open Task Log,Άνοιγμα αρχείου εργασίας
Open Tasks,Ανοιχτές εργασίες
Optional,Προαιρετικό
optional,προαιρετικό
Or email us directly at,Ή στείλτε μας email απευθείας στο
Orga Project {0} from Frappe Projects,Orga έργο {0} από Frappe Projects
Orga Task {0} from Frappe,Orga εργασία {0} από Frappe
Organizer,Διοργανωτής
Other,Άλλο
Over Budget,Υπέρβαση προϋπολογισμού
Overall Progress,Συνολική πρόοδος
Overall Utilization,Συνολική αξιοποίηση
Overallocated,Υπερκατανεμημένο
Overdue,Εκπρόθεσμο
overdue,εκπρόθεσμο
Overdue Tasks,Εκπρόθεσμες εργασίες
Overview,Επισκόπηση
Owner,Ιδιοκτήτης
Page Not Found,Η σελίδα δεν βρέθηκε
Parent,Γονικό
Parent comment must belong to the same document,Το γονικό σχόλιο πρέπει να ανήκει στο ίδιο έγγραφο
Parent comment not found,Το γονικό σχόλιο δεν βρέθηκε
Parent project not synced to Frappe yet,Το γονικό έργο δεν έχει συγχρονιστεί ακόμα με το Frappe
Parent project sync not enabled,Ο συγχρονισμός γονικού έργου δεν είναι ενεργός
Partner,Συνεργάτης
Pending,Σε εκκρεμότητα
per page,ανά σελίδα
Perform initial assessment and background check,Εκτέλεση αρχικής αξιολόγησης και ελέγχου ιστορικού
Permanently remove this event,Μόνιμη διαγραφή αυτού του συμβάντος
Permanently remove this task,Μόνιμη διαγραφή αυτής της εργασίας
Phone,Τηλέφωνο
Pin,Καρφίτσωμα
Pin Activity,Καρφίτσωμα δραστηριότητας
Pin to top,Καρφίτσωμα στην κορυφή
Pinned,Καρφιτσωμένο
Planned budget for this task,Προγραμματισμένος προϋπολογισμός για αυτή την εργασία
Planning,Σχεδιασμός
Please describe your question or issue in detail...,Περιγράψτε την ερώτηση ή το πρόβλημά σας αναλυτικά...
Please login to access Orga,Συνδεθείτε για πρόσβαση στο Orga
Please login to access the client portal,Συνδεθείτε για πρόσβαση στην πύλη πελάτη
Please respond to this invitation in Orga,Απαντήστε σε αυτή την πρόσκληση στο Orga
Please select an image file,Επιλέξτε ένα αρχείο εικόνας
Please try again,Δοκιμάστε ξανά
Please type,Πληκτρολογήστε
Portal,Πύλη
Portal access revoked for {0},Η πρόσβαση στην πύλη ανακλήθηκε για {0}
Portal user created successfully. Welcome email {0},Ο χρήστης πύλης δημιουργήθηκε. Email καλωσορίσματος {0}
Post,Δημοσίευση
Powered by,Με τεχνολογία
Powered by Tonic,Με τεχνολογία Tonic
Predecessors (Blocked By),Προηγούμενα (αποκλεισμένο από)
Preferences,Προτιμήσεις
Preferences saved successfully,Οι προτιμήσεις αποθηκεύτηκαν
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Πρόθεμα για αυτόματα δημιουργούμενους κωδικούς έργου (π.χ. ORG-2026-0001)
Prepare and document offer terms,Προετοιμασία και τεκμηρίωση όρων προσφοράς
Press,Πατήστε
Preview,Προεπισκόπηση
Preview cascade before applying,Προεπισκόπηση αλυσιδωτής αλλαγής πριν την εφαρμογή
Previous,Προηγούμενο
Priority,Προτεραιότητα
Priority assigned to new tasks,Προτεραιότητα που ανατίθεται σε νέες εργασίες
Priority updated,Η προτεραιότητα ενημερώθηκε
Proficiency,Επάρκεια
Profile,Προφίλ
Progress,Πρόοδος
Progress (High-Low),Πρόοδος (φθίνουσα)
Progress (Low-High),Πρόοδος (αύξουσα)
Progress Overview,Επισκόπηση προόδου
Progress updated,Η πρόοδος ενημερώθηκε
Project,Έργο
Project budget has been saved.,Ο προϋπολογισμός του έργου αποθηκεύτηκε.
Project code (e.g. ORG-2026-0001),Κωδικός έργου (π.χ. ORG-2026-0001)
Project Code Prefix,Πρόθεμα κωδικού έργου
Project created,Το έργο δημιουργήθηκε
Project deleted,Το έργο διαγράφηκε
Project description has been saved.,Η περιγραφή του έργου αποθηκεύτηκε.
Project Details,Λεπτομέρειες έργου
Project end date has been saved.,Η ημερομηνία λήξης του έργου αποθηκεύτηκε.
Project Files,Αρχεία έργου
Project has no linked client,Το έργο δεν έχει συνδεδεμένο πελάτη
Project Health,Υγεία έργου
Project Info,Πληροφορίες έργου
Project is required,Απαιτείται έργο
Project is required for project context,Απαιτείται έργο για το πλαίσιο έργου
Project is required when tracking context is 'project',Απαιτείται έργο όταν το πλαίσιο παρακολούθησης είναι «έργο»
Project Manager,Υπεύθυνος έργου
Project Name,Όνομα έργου
Project name and template name are required,Απαιτούνται το όνομα έργου και το όνομα προτύπου
Project name is required,Απαιτείται το όνομα του έργου
Project not found,Το έργο δεν βρέθηκε
Project not found or you do not have access,Το έργο δεν βρέθηκε ή δεν έχετε πρόσβαση
Project settings,Ρυθμίσεις έργου
Project start date has been saved.,Η ημερομηνία έναρξης του έργου αποθηκεύτηκε.
Project title has been saved.,Ο τίτλος του έργου αποθηκεύτηκε.
Project Type,Τύπος έργου
Project updated,Το έργο ενημερώθηκε
Project {0} linked to client {1},Το έργο {0} συνδέθηκε με τον πελάτη {1}
Project {0} not found,Το έργο {0} δεν βρέθηκε
Project {0} to Frappe Projects,Έργο {0} προς Frappe Projects
Project:,Έργο:
Projects,Έργα
projects,έργα
Projects created:,Έργα που δημιουργήθηκαν:
Projects Overview,Επισκόπηση έργων
Projects skipped:,Έργα που παραλείφθηκαν:
Projects updated:,Έργα που ενημερώθηκαν:
Promote failed,Η προαγωγή απέτυχε
Promote to task,Προαγωγή σε εργασία
Promoted to task,Προάχθηκε σε εργασία
