+ Add Milestone,+ Ongeza Hatua Muhimu
Group dependency set,Tegemezi ya kikundi imewekwa
Group removed,Kikundi kimeondolewa
Group updated,Kikundi kimesasishwa
Hammock task dates are auto-calculated and cannot be changed manually,Tarehe za kazi ya hamoki huhesabiwa kiotomatiki na haziwezi kubadilishwa kwa mikono
Have a question or need assistance? Fill out the form below and our team will get back to you.,Una swali au unahitaji msaada? Jaza fomu hapa chini na timu yetu itakujibu.
Health,Afya
Healthy,Nzuri
Hello {0},Habari {0}
Here's what's happening with your projects today.,Hivi ndivyo inavyoendelea na miradi yako leo.
Hide,Ficha
High,Juu
History,Historia
Home,Nyumbani
Hourly Cost,Gharama ya kila saa
Hours,Masaa
hours,masaa
Hours Logged,Masaa yaliyorekodiwa
ID,Kitambulisho
Image must be smaller than 5 MB,Picha lazima iwe chini ya MB 5
Import,Ingiza
Import existing projects and tasks from Frappe Projects module,Ingiza miradi na kazi zilizopo kutoka moduli ya Frappe Projects
Import failed,Kuingiza kumeshindikana
Import Template,Ingiza Kiolezo
Imported,Imeingizwa
in,katika
In Progress,Inaendelea
In Review,Inakaguliwa
In-app notifications,Arifa ndani ya programu
Inactive,Haifanyi kazi
Initial Review,Ukaguzi wa awali
Installed Version,Installed Version
Insufficient permissions to view all tasks,Ruhusa hazitoshi kuona kazi zote
Intermediate,Kati
Internal,Ndani
Invalid DocType,DocType batili
Invalid DocType for import,DocType batili kwa kuingiza
Invalid item type: {0},Aina ya kipengee batili: {0}
Invalid JSON data,Data ya JSON batili
Invalid note type. Must be one of: {0},Aina ya dokezo batili. Lazima iwe moja ya: {0}
Invalid project reference,Rejea ya mradi batili
Invalid reaction type. Must be one of: {0},Aina ya mwitikio batili. Lazima iwe moja ya: {0}
Invalid RSVP status,Hali ya RSVP batili
Invalid status. Must be one of: {0},Hali batili. Lazima iwe moja ya: {0}
Invalid status: {0},Hali batili: {0}
Invalid status: {0}. Must be one of: {1},Hali batili: {0}. Lazima iwe moja ya: {1}
Invalid tracking context: {0},Muktadha wa ufuatiliaji batili: {0}
Invalid visibility. Must be one of: {0},Uonekano batili. Lazima uwe moja ya: {0}
Invitation: {0} - {1} at {2},Mwaliko: {0} - {1} saa {2}
Invite People,Alika Watu
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Kipengee kimeongezwa
Item ID is required,Kitambulisho cha kipengee kinahitajika
Item removed,Kipengee kimeondolewa
Item type is required,Aina ya kipengee inahitajika
Item {0} not found,Kipengee {0} hakijapatikana
Job title or role,Cheo au jukumu
Join Meeting,Jiunge na Mkutano
Just now,Sasa hivi
just now,sasa hivi
Kanban,Kanban
Kanban Board,Bodi ya Kanban
Kanban View,Muonekano wa Kanban
Keyboard Shortcuts,Njia za mkato za kibodi
Keyboard shortcuts (?),Njia za mkato za kibodi (?)
Last checked: {0},Last checked: {0}
Last Updated,Iliyosasishwa mwisho
Last updated:,Iliyosasishwa mwisho:
Last Week,Wiki iliyopita
Latest Version,Latest Version
Light,Angavu
Link failed,Kuunganisha kumeshindikana
Link Task,Unganisha Kazi
Linked,Imeunganishwa
Linked employee not found,Mfanyakazi aliyeunganishwa hajapatikana
Linked Tasks,Kazi zilizounganishwa
List,Orodha
List View,Muonekano wa Orodha
Load failed,Kupakia kumeshindikana
Load More,Pakia Zaidi
Load more comments,Pakia maoni zaidi
Loading activity...,Inapakia shughuli...
Loading changes...,Inapakia mabadiliko...
Loading checklist...,Inapakia orodha ya ukaguzi...
Loading comments...,Inapakia maoni...
Loading contact...,Inapakia mawasiliano...
Loading contacts...,Inapakia mawasiliano...
Loading dependencies...,Inapakia tegemezi...
Loading details...,Inapakia maelezo...
Loading discussion...,Inapakia mazungumzo...
Loading events...,Inapakia matukio...
Loading files...,Inapakia faili...
Loading notes...,Inapakia madokezo...
Loading preferences...,Inapakia mapendeleo...
Loading project...,Inapakia mradi...
Loading projects...,Inapakia miradi...
Loading replies...,Inapakia majibu...
Loading report data...,Inapakia data ya ripoti...
Loading settings...,Inapakia mipangilio...
Loading task...,Inapakia kazi...
Loading templates...,Inapakia violezo...
Loading time logs...,Inapakia maingizo ya muda...
Loading your portal...,Inapakia lango lako...
Loading...,Inapakia...
Location,Mahali
Log Time,Rekodi Muda
Logout,Ondoka
Low,Chini
Make Offer,Toa Pendekezo
Manager,Meneja
Manual Entry,Ingizo la mkono
Margin,Faida
Mark all as read,Weka zote kama zilizosomwa
Mark all read,Weka zote zilizosomwa
Mark as read,Weka kama imesomwa
Mark as unread,Weka kama haijasomwa
Mark read,Weka iliyosomwa
Marking...,Inaweka alama...
Material,Vifaa
Maybe,Labda
Medium,Kati
Meeting,Mkutano
Meeting Link,Kiungo cha mkutano
Meeting title,Kichwa cha mkutano
Meeting URL,URL ya mkutano
Meetings,Mikutano
Mention,Taja
Message,Ujumbe
Message is required,Ujumbe unahitajika
Message is required for '{0}' action,Ujumbe unahitajika kwa hatua ya '{0}'
Migrate,Hamisha
Migration Complete,Uhamishaji umekamilika
Migration ID:,Kitambulisho cha uhamishaji:
Migration log not found: {0},Kumbukumbu ya uhamishaji haijapatikana: {0}
Milestone,Hatua Muhimu
milestone,hatua muhimu
Milestone created,Hatua muhimu imeundwa
Milestone description has been saved.,Maelezo ya hatua muhimu yamehifadhiwa.
Milestone ID is required,Kitambulisho cha hatua muhimu kinahitajika
Milestone marked as Missed (past due date),Hatua muhimu imewekwa alama kuwa Imekoswa (tarehe ya mwisho imepita)
Milestone moved,Hatua muhimu imesogezwa
Milestone Name,Jina la Hatua Muhimu
Milestone name has been saved.,Jina la hatua muhimu limehifadhiwa.
Milestone name is required,Jina la hatua muhimu linahitajika
Milestone updated,Hatua muhimu imesasishwa
Milestone {0} not found,Hatua muhimu {0} haijapatikana
Milestone {0} not in project {1},Hatua muhimu {0} haimo katika mradi {1}
Milestones,Hatua muhimu
milestones,hatua muhimu
Milestones:,Hatua muhimu:
Minutes,Dakika
Missed,Imekoswa
Mixed,Mchanganyiko
Mobile,Simu
Moderate,Wastani
Modified,Imebadilishwa
"Modify details, time, or attendees","Badilisha maelezo, muda au washiriki"
Mon,Jtt
Month,Mwezi
Move failed,Kusogeza kumeshindikana
Must be a positive number,Lazima iwe nambari chanya
Must finish before this finishes,Lazima ikamilike kabla hii haijakamilika
Must finish before this starts,Lazima ikamilike kabla hii haijaanza
Must start before this finishes,Lazima ianze kabla hii haijakamilika
Must start before this starts,Lazima ianze kabla hii haijaanza
My Assignments,Migawanyo Yangu
My Projects,Miradi Yangu
My Schedule,Ratiba Yangu
My Tasks,Kazi Zangu
N/A,Haihusiki
Name,Jina
Name (A-Z),Jina (A-Z)
Name (Z-A),Jina (Z-A)
Name cannot exceed 255 characters,Jina haliwezi kuzidi herufi 255
Need help?,Unahitaji msaada?
Needs Attention,Inahitaji Umakini
Never,Never
new activities,shughuli mpya
New Activity,Shughuli Mpya
New activity,Shughuli mpya
New Event,Tukio Jipya
New index is required,Orodha mpya inahitajika
New Project,Mradi Mpya
New tasks will auto-trail by default.,Kazi mpya zitateleza kiotomatiki kwa chaguo-msingi.
Newest First,Mpya zaidi kwanza
Next,Ifuatayo
Next 14 days,Siku 14 zijazo
Next 30 days,Siku 30 zijazo
Next 60 days,Siku 60 zijazo
Next 7 days,Siku 7 zijazo
Next 90 days,Siku 90 zijazo
Next Week,Wiki ijayo
Next:,Ifuatayo:
No,Hapana
No active assignments,Hakuna migawanyo inayofanya kazi
No active projects,Hakuna miradi inayofanya kazi
No active timer found,Hakuna kipima muda kinachofanya kazi
No activity selected,Hakuna shughuli iliyochaguliwa
No assignments found,Hakuna migawanyo iliyopatikana
No attendees,Hakuna washiriki
no change,hakuna mabadiliko
No changes for this field.,Hakuna mabadiliko kwa sehemu hii.
No changes recorded for this activity.,Hakuna mabadiliko yaliyorekodiwa kwa shughuli hii.
No checklist items yet,Hakuna vipengee vya orodha ya ukaguzi bado
No checklist items yet.,Hakuna vipengee vya orodha ya ukaguzi bado.
No comments yet,Hakuna maoni bado
No comments yet.,Hakuna maoni bado.
No contacts available,Hakuna mawasiliano yanayopatikana
No content for this tab,Hakuna maudhui kwa kichupo hiki
No data available,Hakuna data inayopatikana
No data available for the selected filters,Hakuna data inayopatikana kwa vichujio vilivyochaguliwa
No data to export,Hakuna data ya kuhamisha nje
No dates set,Hakuna tarehe zilizowekwa
No defects reported,Hakuna kasoro zilizoripotiwa
No dependencies defined,Hakuna tegemezi zilizobainishwa
No description,Hakuna maelezo
No discussion yet.,Hakuna mazungumzo bado.
No documents attached,Hakuna hati zilizoambatishwa
No due date,Hakuna tarehe ya mwisho
No employee linked to this resource,Hakuna mfanyakazi aliyeunganishwa na rasilimali hii
No ERPNext employee linked to resource,Hakuna mfanyakazi wa ERPNext aliyeunganishwa na rasilimali
No events found,Hakuna matukio yaliyopatikana
No files attached yet.,Hakuna faili zilizoambatishwa bado.
No Frappe Project linked,Hakuna mradi wa Frappe uliounganishwa
No Grouping,Hakuna Upangaji
No items,Hakuna vipengee
No matching tasks,Hakuna kazi zinazolingana
No matching tasks found,Hakuna kazi zinazolingana zilizopatikana
No migration history,Hakuna historia ya uhamishaji
No Milestone,Hakuna Hatua Muhimu
No milestones,Hakuna hatua muhimu
No milestones defined for this project.,Hakuna hatua muhimu zilizobainishwa kwa mradi huu.
No notes yet.,Hakuna madokezo bado.
No notes yet. Add a due diligence note to track progress.,Hakuna madokezo bado. Ongeza dokezo la uchunguzi wa kina kufuatilia maendeleo.
No notifications,Hakuna arifa
No Orga Project linked to Frappe Project {0},Hakuna mradi wa Orga uliounganishwa na mradi wa Frappe {0}
No overdue tasks,Hakuna kazi zilizochelewa
No pending cascade changes,Hakuna mabadiliko ya msururu yanayosubiri
No predecessors - this task can start independently,Hakuna vitangulia — kazi hii inaweza kuanza kivyake
No project,Hakuna mradi
No projects found,Hakuna miradi iliyopatikana
No Projects Yet,Hakuna Miradi Bado
No recent activity,Hakuna shughuli za hivi karibuni
No related documents,Hakuna hati zinazohusiana
No resolved threads.,Hakuna mazungumzo yaliyotatuliwa.
No resources found,Hakuna rasilimali zilizopatikana
No results found,Hakuna matokeo yaliyopatikana
No skills listed,Hakuna ujuzi ulioorodheshwa
No skills recorded yet,Hakuna ujuzi uliorekodtiwa bado
No successors - no tasks are waiting for this one,Hakuna wafuataji — hakuna kazi zinazongoja hii
No task selected,Hakuna kazi iliyochaguliwa
No tasks assigned to you,Hakuna kazi zilizogawiwa kwako
No tasks available to add,Hakuna kazi zinazopatikana kuongeza
No tasks found,Hakuna kazi zilizopatikana
No tasks linked to this milestone,Hakuna kazi zilizounganishwa na hatua hii muhimu
No tasks with dates to display,Hakuna kazi zenye tarehe za kuonyesha
No tasks yet,Hakuna kazi bado
No team members,Hakuna wanachama wa timu
No template,Hakuna kiolezo
No templates yet,Hakuna violezo bado
No time data found,Hakuna data ya muda iliyopatikana
No time logged today,Hakuna muda uliorekotiwa leo
No time logged yet,Hakuna muda uliorekotiwa bado
No time logs for this period,Hakuna maingizo ya muda kwa kipindi hiki
No time logs found,Hakuna maingizo ya muda yaliyopatikana
No unread notifications,Hakuna arifa ambazo hazijasomwa
No update information available yet.,No update information available yet.
None,Hakuna
Not found,Haijapatikana
Not permitted,Hairuhusiwi
Not permitted to access this project,Hairuhusiwi kufikia mradi huu
Not permitted to access this task,Hairuhusiwi kufikia kazi hii
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Huruhusiwi kutoa maoni kwenye hati hii
Not permitted to create clients,Huruhusiwi kuunda wateja
Not permitted to delete this client,Huruhusiwi kufuta mteja huyu
Not permitted to delete this defect,Huruhusiwi kufuta kasoro hii
Not permitted to delete this note,Huruhusiwi kufuta dokezo hili
Not permitted to delete this project,Huruhusiwi kufuta mradi huu
Not permitted to delete this task,Huruhusiwi kufuta kazi hii
Not permitted to delete this time log,Huruhusiwi kufuta ingizo hili la muda
Not permitted to invite clients,Huruhusiwi kualika wateja
Not permitted to modify client access,Huruhusiwi kubadilisha ruhusa ya mteja
Not permitted to modify this project,Huruhusiwi kubadilisha mradi huu
Not permitted to update settings,Huruhusiwi kusasisha mipangilio
Not permitted to update this client,Huruhusiwi kusasisha mteja huyu
Not permitted to view this client,Huruhusiwi kuona mteja huyu
not sent,haijatumwa
Not set,Haijawekwa
Not specified,Haijabainishwa
Note,Dokezo
Note (optional),Dokezo (si lazima)
Note Content,Maudhui ya Dokezo
Note content is required,Maudhui ya dokezo yanahitajika
Note name is required,Jina la dokezo linahitajika
Note not found,Dokezo halijapatikana
Note Type,Aina ya Dokezo
Notes,Madokezo
Notification,Arifa
Notification not found,Arifa haijapatikana
Notifications,Arifa
Off Track,Nje ya mpango
Offer,Pendekezo
Offer Prepared,Pendekezo Limetayarishwa
Oldest First,Ya zamani zaidi kwanza
On Hold,Imesimamishwa
On Leave,Likizoni
On Track,Katika mpango
On-Time Rate,Kiwango cha wakati unaofaa
Only administrators can delete activities,Wasimamizi pekee wanaweza kufuta shughuli
Only the comment author or administrators can delete comments,Mwandishi wa maoni au wasimamizi pekee wanaweza kufuta maoni
Only you and admins,Wewe na wasimamizi pekee
Open,Wazi
Open in Desk,Fungua katika Desk
Open Task Log,Fungua Kumbukumbu ya Kazi
Open Tasks,Kazi Zilizo Wazi
Optional,Si lazima
optional,si lazima
Or email us directly at,Au tutumie barua pepe moja kwa moja kwa
Orga Project {0} from Frappe Projects,Mradi wa Orga {0} kutoka Frappe Projects
Orga Task {0} from Frappe,Kazi ya Orga {0} kutoka Frappe
Organizer,Mpangaji
Other,Nyingine
Over Budget,Zaidi ya Bajeti
Overall Progress,Maendeleo ya Jumla
Overall Utilization,Matumizi ya Jumla
Overallocated,Imegawanywa kupita kiasi
Overdue,Imechelewa
overdue,imechelewa
Overdue Tasks,Kazi Zilizochelewa
Overview,Muhtasari
Owner,Mmiliki
Page Not Found,Ukurasa Haujapatikana
Parent,Mzazi
Parent comment must belong to the same document,Maoni ya mzazi lazima yawe ya hati hiyo hiyo
Parent comment not found,Maoni ya mzazi hayajapatikana
Parent project not synced to Frappe yet,Mradi mkuu bado haujasawazishwa na Frappe
Parent project sync not enabled,Usawazishaji wa mradi mkuu haujawashwa
Partner,Mshirika
Pending,Inasubiri
per page,kwa ukurasa
Perform initial assessment and background check,Fanya tathmini ya awali na ukaguzi wa usuli
Permanently remove this event,Ondoa tukio hili kabisa
Permanently remove this task,Ondoa kazi hii kabisa
Phone,Simu
Pin,Bandika
Pin Activity,Bandika Shughuli
Pin to top,Bandika juu
Pinned,Imebandikwa
Planned budget for this task,Bajeti iliyopangwa kwa kazi hii
Planning,Mipango
Please describe your question or issue in detail...,Tafadhali eleza swali au tatizo lako kwa undani...
Please login to access Orga,Tafadhali ingia kufikia Orga
Please login to access the client portal,Tafadhali ingia kufikia lango la mteja
Please respond to this invitation in Orga,Tafadhali jibu mwaliko huu katika Orga
Please select an image file,Tafadhali chagua faili ya picha
Please try again,Tafadhali jaribu tena
Please type,Tafadhali andika
Portal,Lango
Portal access revoked for {0},Ruhusa ya lango imeondolewa kwa {0}
Portal user created successfully. Welcome email {0},Mtumiaji wa lango ameundwa kwa mafanikio. Barua pepe ya kukaribisha {0}
Post,Chapisha
Powered by,Imetengenezwa na
Powered by Tonic,Imetengenezwa na Tonic
Predecessors (Blocked By),Vitangulia (Imezuiwa na)
Preferences,Mapendeleo
Preferences saved successfully,Mapendeleo yamehifadhiwa kwa mafanikio
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Kiambishi awali kwa misimbo ya miradi inayozalishwa kiotomatiki (mfano: ORG-2026-0001)
Prepare and document offer terms,Tayarisha na uandike masharti ya pendekezo
Press,Bonyeza
Preview,Muonekano
Preview cascade before applying,Muonekano wa msururu kabla ya kutekeleza
Previous,Iliyotangulia
Priority,Kipaumbele
Priority assigned to new tasks,Kipaumbele kilichowekwa kwa kazi mpya
Priority updated,Kipaumbele kimesasishwa
Proficiency,Ustadi
Profile,Wasifu
Progress,Maendeleo
Progress (High-Low),Maendeleo (Juu-Chini)
Progress (Low-High),Maendeleo (Chini-Juu)
Progress Overview,Muhtasari wa Maendeleo
Progress updated,Maendeleo yamesasishwa
Project,Mradi
Project budget has been saved.,Bajeti ya mradi imehifadhiwa.
Project code (e.g. ORG-2026-0001),Msimbo wa mradi (mfano: ORG-2026-0001)
Project Code Prefix,Kiambishi awali cha msimbo wa mradi
Project created,Mradi umeundwa
Project deleted,Mradi umefutwa
Project description has been saved.,Maelezo ya mradi yamehifadhiwa.
Project Details,Maelezo ya Mradi
Project end date has been saved.,Tarehe ya mwisho ya mradi imehifadhiwa.
Project Files,Faili za Mradi
Project has no linked client,Mradi hauna mteja aliyeunganishwa
Project Health,Afya ya Mradi
Project Info,Taarifa za Mradi
Project is required,Mradi unahitajika
Project is required for project context,Mradi unahitajika kwa muktadha wa mradi
Project is required when tracking context is 'project',Mradi unahitajika muktadha wa ufuatiliaji unapokuwa 'mradi'
Project Manager,Meneja wa Mradi
Project Name,Jina la Mradi
Project name and template name are required,Jina la mradi na jina la kiolezo vinahitajika
Project name is required,Jina la mradi linahitajika
Project not found,Mradi haujapatikana
Project not found or you do not have access,Mradi haujapatikana au huna ruhusa
Project settings,Mipangilio ya mradi
Project start date has been saved.,Tarehe ya kuanza ya mradi imehifadhiwa.
Project title has been saved.,Kichwa cha mradi kimehifadhiwa.
Project Type,Aina ya Mradi
Project updated,Mradi umesasishwa
Project {0} linked to client {1},Mradi {0} umeunganishwa na mteja {1}
Project {0} not found,Mradi {0} haujapatikana
Project {0} to Frappe Projects,Mradi {0} kwenda Frappe Projects
Project:,Mradi:
Projects,Miradi
projects,miradi
Projects created:,Miradi iliyoundwa:
Projects Overview,Muhtasari wa Miradi
Projects skipped:,Miradi iliyorukwa:
Projects updated:,Miradi iliyosasishwa:
Promote failed,Kupandisha kumeshindikana
Promote to task,Pandisha kuwa kazi
Promoted to task,Imepandishwa kuwa kazi
Propose,Pendekeza
Propose New Time,Pendekeza Wakati Mpya
Propose Time,Pendekeza Wakati
Proposed End,Mwisho Uliopendekezwa
Proposed Start,Mwanzo Uliopendekezwa
Public,Umma
Quick Action,Hatua ya Haraka
Quick Actions,Hatua za Haraka
Quick Stats,Takwimu za Haraka
Rates,Viwango
Receive notifications via email,Pokea arifa kupitia barua pepe
Receive notifications within the application,Pokea arifa ndani ya programu
Recent Activity,Shughuli za Hivi Karibuni
Recipient {0} is not a valid user,Mpokeaji {0} si mtumiaji halali
Reference,Rejea
Refresh,Onesha upya
Related,Inayohusiana
Related Company (optional),Kampuni inayohusiana (si lazima)
Related Documents,Hati Zinazohusiana
Related Project,Mradi Unaohusiana
Remaining,Iliyobaki
Reminder,Kumbusho
Reminder Lead Time,Muda wa Kumbusho Kabla
Reminder: {0} - {1} at {2},Kumbusho: {0} - {1} saa {2}
Remove,Ondoa
Remove dependency,Ondoa tegemezi
Remove dependency on,Ondoa tegemezi kwa
Remove from group,Ondoa kutoka kikundi
Remove group dependency,Ondoa tegemezi ya kikundi
Remove skill,Ondoa ujuzi
Reopen,Fungua tena
Reopen thread,Fungua tena mazungumzo
reopened,imefunguliwa tena
replies,majibu
Reply,Jibu
reply,jibu
Replying to,Inajibu kwa
Replying to comment,Inajibu maoni
Report Defect,Ripoti Kasoro
Reported Date,Tarehe ya Ripoti
Reports,Ripoti
Reports To,Anaripoti kwa
Request Submitted!,Ombi Limetumwa!
Required,Inahitajika
required,inahitajika
Research,Utafiti
Reset to Defaults,Rudisha kwa Thamani za Awali
Resolve,Tatua
Resolve thread,Tatua mazungumzo
Resolved,Imetatuliwa
Resolved date cannot be before reported date,Tarehe ya kutatuliwa haiwezi kuwa kabla ya tarehe ya kuripotiwa
Resource,Rasilimali
Resource and skill name are required,Rasilimali na jina la ujuzi vinahitajika
Resource is already an attendee,Rasilimali tayari ni mshiriki
Resource name is required,Jina la rasilimali linahitajika
Resource not found,Rasilimali haijapatikana
Resource synced from employee {0},Rasilimali imesawazishwa kutoka mfanyakazi {0}
Resource {0} is already assigned to this task ({1}),Rasilimali {0} tayari imegawiwa kazi hii ({1})
Resource {0} not found,Rasilimali {0} haijapatikana
Resources,Rasilimali
Retry,Jaribu tena
Review,Kagua
Review all relevant documents and contracts,Kagua hati na mikataba yote husika
Reviews,Ukaguzi
Risk Assessment,Tathmini ya Hatari
Rollback,Rudisha nyuma
Rolled back,Imerudishwa nyuma
Room or address,Chumba au anwani
RSVP,RSVP
Safety,Usalama
Sat,Jmt
Save,Hifadhi
"Save a project as a template, or import one from a JSON file.","Hifadhi mradi kama kiolezo, au ingiza moja kutoka faili ya JSON."
Save as Template,Hifadhi kama Kiolezo
Save Changes,Hifadhi Mabadiliko
Save failed,Kuhifadhi kumeshindikana
Save Preferences,Hifadhi Mapendeleo
Save Template,Hifadhi Kiolezo
Saving...,Inahifadhi...
Schedule,Ratiba
Schedule type is required for scheduled triggers,Aina ya ratiba inahitajika kwa vichochezi vilivyopangwa
Scheduled,Imepangwa
Search,Tafuta
"Search by name, email, or skill...","Tafuta kwa jina, barua pepe, au ujuzi..."
Search for a project...,Tafuta mradi...
Search for a task...,Tafuta kazi...
Search for an event...,Tafuta tukio...
Search for people to invite...,Tafuta watu wa kualika...
Search tasks to link...,Tafuta kazi za kuunganisha...
Search tasks...,Tafuta kazi...
Search...,Tafuta...
Searching...,Inatafuta...
Seen,Imeonwa
Select a project if your request is related to a specific project.,Chagua mradi ikiwa ombi lako linahusiana na mradi maalum.
Select a project...,Chagua mradi...
Select a task from the Gantt chart to view and manage its details.,Chagua kazi kutoka chati ya Gantt kuona na kudhibiti maelezo yake.
Select a task from the list or Kanban board to view and manage its details.,Chagua kazi kutoka orodha au bodi ya Kanban kuona na kudhibiti maelezo yake.
Select a template...,Chagua kiolezo...
Select priority...,Chagua kipaumbele...
Select status...,Chagua hali...
Select task...,Chagua kazi...
Select type...,Chagua aina...
Selection,Uteuzi
Send,Tuma
Send comment,Tuma maoni
Send email invitations to attendees,Tuma mialiko ya barua pepe kwa washiriki
Send Invitations,Tuma Mialiko
Send notification when a task is assigned to a user,Tuma arifa kazi inapogawiwa kwa mtumiaji
Send notification when task status changes,Tuma arifa hali ya kazi inapobadilika
Send reminder before task due date,Tuma kumbusho kabla ya tarehe ya mwisho ya kazi
sent,imetumwa
Set rate,Weka kiwango
Settings,Mipangilio
Settings saved successfully,Mipangilio imehifadhiwa kwa mafanikio
Severity,Ukali
SF (Start-Finish),SF (Mwanzo-Mwisho)
SF - Start-to-Finish,SF - Mwanzo-hadi-Mwisho
Show,Onyesha
Show all,Onyesha zote
Show all changes,Onyesha mabadiliko yote
Show Archived,Onyesha Zilizohifadhiwa
Show full diff,Onyesha tofauti kamili
Show less,Onyesha kidogo
Show more,Onyesha zaidi
Skill added,Ujuzi umeongezwa
Skill is required,Ujuzi unahitajika
Skill Name,Jina la Ujuzi
Skill removed,Ujuzi umeondolewa
Skill {0} already exists for this resource,Ujuzi {0} tayari upo kwa rasilimali hii
Skills,Ujuzi
Skills & Competencies,Ujuzi na Uwezo
Skip already migrated projects,Ruka miradi iliyohamishwa tayari
Sort by,Panga kwa
Sort: Due Date,Panga: Tarehe ya mwisho
Sort: Priority,Panga: Kipaumbele
Sort: Project,Panga: Mradi
Sort: Status,Panga: Hali
Sort: Task,Panga: Kazi
Source Code,Msimbo wa Chanzo
Spent,Imetumika
Spent:,Imetumika:
SS (Start-Start),SS (Mwanzo-Mwanzo)
SS - Start-to-Start,SS - Mwanzo-hadi-Mwanzo
Standalone,Inajitegemea
Start,Anza
Start a discussion below,Anza mazungumzo hapa chini
Start Date,Tarehe ya Kuanza
Start date,Tarehe ya kuanza
Start Date (Earliest),Tarehe ya Kuanza (ya mapema zaidi)
Start date updated,Tarehe ya kuanza imesasishwa
Start date/time is required,Tarehe/saa ya kuanza inahitajika
Start Migration,Anza Uhamishaji
Start the conversation below.,Anza mazungumzo hapa chini.
Start Timer,Anza Kipima Muda
Start typing to search...,Anza kuandika kutafuta...
Start-to-Finish,Mwanzo-hadi-Mwisho
Start-to-Start,Mwanzo-hadi-Mwanzo
Start:,Mwanzo:
Statistics reset,Takwimu zimewekwa upya
Status,Hali
Status assigned to new projects,Hali iliyowekwa kwa miradi mipya
Status assigned to new tasks,Hali iliyowekwa kwa kazi mpya
Status Changes,Mabadiliko ya Hali
Status updated,Hali imesasishwa
Status:,Hali:
Stop,Simamisha
Stop & Save,Simamisha na Uhifadhi
Stop Timer,Simamisha Kipima Muda
Stops current timer and starts for this event,Inasimamisha kipima muda sasa na kuanza kwa tukio hili
Stops current timer and starts for this task,Inasimamisha kipima muda sasa na kuanza kwa kazi hii
Subject,Somo
Subject cannot exceed 255 characters,Somo haliwezi kuzidi herufi 255
Subject is required,Somo linahitajika
Submit,Wasilisha
Submit Another Request,Wasilisha Ombi Jingine
Submit Request,Wasilisha Ombi
Submitting...,Inawasilisha...
Successfully saved,Imehifadhiwa kwa mafanikio
Successors (Blocking),Wafuataji (Wanaozuia)
Sun,Jpi
Supplier,Muuzaji
Support,Msaada
Switch to this event,Hamia kwenye tukio hili
Switch to this task,Hamia kwenye kazi hii
Sync direction is set to Frappe to Orga only,Mwelekeo wa usawazishaji umewekwa kutoka Frappe kwenda Orga pekee
Sync direction is set to Orga to Frappe only,Mwelekeo wa usawazishaji umewekwa kutoka Orga kwenda Frappe pekee
Sync not enabled for this project,Usawazishaji haujawashwa kwa mradi huu
System,Mfumo
Table,Jedwali
Take ownership of this task,Chukua umiliki wa kazi hii
Target Date,Tarehe Lengwa
Target End,Mwisho Lengwa
Target Project,Mradi Lengwa
Target user is required for '{0}' action,Mtumiaji lengwa anahitajika kwa hatua ya '{0}'
Task,Kazi
task,kazi
Task '{0}' is due on {1}.,Kazi '{0}' inatarajiwa tarehe {1}.
Task and resource are required,Kazi na rasilimali zinahitajika
Task Assignment,Ugawaji wa Kazi
Task cannot be its own parent,Kazi haiwezi kuwa mzazi wake yenyewe
Task cannot depend on itself,Kazi haiwezi kutegemea yenyewe
Task cannot depend on the group it belongs to,Kazi haiwezi kutegemea kikundi ambacho iko ndani yake
Task created,Kazi imeundwa
Task deleted,Kazi imefutwa
Task description has been saved.,Maelezo ya kazi yamehifadhiwa.
Task Details,Maelezo ya Kazi
Task due in {0} days: {1},Kazi inatarajiwa baada ya siku {0}: {1}
Task due today: {0},Kazi inatarajiwa leo: {0}
Task due tomorrow: {0},Kazi inatarajiwa kesho: {0}
Task duplicated,Kazi imenakiliwa
Task Group,Kikundi cha Kazi
Task ID is required,Kitambulisho cha kazi kinahitajika
Task is blocked by incomplete dependencies,Kazi imezuiwa na tegemezi ambazo hazijakamilika
Task is cancelled,Kazi imeghairiwa
Task is completed,Kazi imekamilika
Task is no longer blocked by a group,Kazi haizuiwi tena na kikundi
Task is required for task context,Kazi inahitajika kwa muktadha wa kazi
Task is required when tracking context is 'task',Kazi inahitajika muktadha wa ufuatiliaji unapokuwa 'kazi'
Task linked,Kazi imeunganishwa
Task moved,Kazi imesogezwa
Task name,Jina la kazi
Task name is required,Jina la kazi linahitajika
Task removed from group,Kazi imeondolewa kutoka kikundi
Task Subject,Somo la Kazi
Task subject is required,Somo la kazi linahitajika
Task Type,Aina ya Kazi
Task unblocked: {0},Kazi imefunguliwa: {0}
Task unlinked,Kazi imeondolewa muunganisho
Task updated,Kazi imesasishwa
Task {0} not found,Kazi {0} haijapatikana
Task {0} not in project {1},Kazi {0} haimo katika mradi {1}
Task {0} to Frappe,Kazi {0} kwenda Frappe
Tasks,Kazi
tasks,kazi
