+ Add Milestone,+ Mérföldkő hozzáadása
Import Template,Sablon importálása
Imported,Importálva
in,ebben
In Progress,Folyamatban
In Review,Felülvizsgálat alatt
In-app notifications,Alkalmazáson belüli értesítések
Inactive,Inaktív
Initial Review,Előzetes felülvizsgálat
Installed Version,Installed Version
Insufficient permissions to view all tasks,Nincs elegendő jogosultság az összes feladat megtekintéséhez
Intermediate,Haladó
Internal,Belső
Invalid DocType,Érvénytelen DocType
Invalid DocType for import,Érvénytelen DocType az importáláshoz
Invalid item type: {0},Érvénytelen elemtípus: {0}
Invalid JSON data,Érvénytelen JSON adatok
Invalid note type. Must be one of: {0},Érvénytelen jegyzettípus. Az alábbiak egyike kell legyen: {0}
Invalid project reference,Érvénytelen projekthivatkozás
Invalid reaction type. Must be one of: {0},Érvénytelen reakciótípus. Az alábbiak egyike kell legyen: {0}
Invalid RSVP status,Érvénytelen RSVP állapot
Invalid status. Must be one of: {0},Érvénytelen állapot. Az alábbiak egyike kell legyen: {0}
Invalid status: {0},Érvénytelen állapot: {0}
Invalid status: {0}. Must be one of: {1},Érvénytelen állapot: {0}. Az alábbiak egyike kell legyen: {1}
Invalid tracking context: {0},Érvénytelen követési kontextus: {0}
Invalid visibility. Must be one of: {0},Érvénytelen láthatóság. Az alábbiak egyike kell legyen: {0}
Invitation: {0} - {1} at {2},"Meghívó: {0} - {1}, {2}"
Invite People,Személyek meghívása
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Elem hozzáadva
Item ID is required,Az elem azonosítója kötelező
Item removed,Elem eltávolítva
Item type is required,Az elemtípus kötelező
Item {0} not found,A(z) {0} elem nem található
Job title or role,Munkakör vagy szerep
Join Meeting,Csatlakozás a megbeszéléshez
Just now,Éppen most
just now,éppen most
Kanban,Kanban
Kanban Board,Kanban tábla
Kanban View,Kanban nézet
Keyboard Shortcuts,Billentyűparancsok
Keyboard shortcuts (?),Billentyűparancsok (?)
Last checked: {0},Last checked: {0}
Last Updated,Utoljára frissítve
Last updated:,Utoljára frissítve:
Last Week,Múlt héten
Latest Version,Latest Version
Light,Világos
Link failed,Az összekapcsolás sikertelen
Link Task,Feladat összekapcsolása
Linked,Összekapcsolva
Linked employee not found,Összekapcsolt alkalmazott nem található
Linked Tasks,Összekapcsolt feladatok
List,Lista
List View,Listanézet
Load failed,A betöltés sikertelen
Load More,Továbbiak betöltése
Load more comments,További hozzászólások betöltése
Loading activity...,Tevékenység betöltése...
Loading changes...,Módosítások betöltése...
Loading checklist...,Ellenőrzőlista betöltése...
Loading comments...,Hozzászólások betöltése...
Loading contact...,Kapcsolattartó betöltése...
Loading contacts...,Kapcsolattartók betöltése...
Loading dependencies...,Függőségek betöltése...
Loading details...,Részletek betöltése...
Loading discussion...,Megbeszélés betöltése...
Loading events...,Események betöltése...
Loading files...,Fájlok betöltése...
Loading notes...,Jegyzetek betöltése...
Loading preferences...,Beállítások betöltése...
Loading project...,Projekt betöltése...
Loading projects...,Projektek betöltése...
Loading replies...,Válaszok betöltése...
Loading report data...,Jelentés adatainak betöltése...
Loading settings...,Beállítások betöltése...
Loading task...,Feladat betöltése...
Loading templates...,Sablonok betöltése...
Loading time logs...,Időbejegyzések betöltése...
Loading your portal...,Portál betöltése...
Loading...,Betöltés...
Location,Helyszín
Log Time,Idő rögzítése
Logout,Kijelentkezés
Low,Alacsony
Make Offer,Ajánlattétel
Manager,Vezető
Manual Entry,Kézi bevitel
Margin,Árrés
Mark all as read,Összes olvasottnak jelölése
Mark all read,Összes olvasottnak jelölése
Mark as read,Olvasottnak jelölés
Mark as unread,Olvasatlannak jelölés
Mark read,Olvasottnak jelölés
Marking...,Jelölés...
Material,Anyag
Maybe,Talán
Medium,Közepes
Meeting,Megbeszélés
Meeting Link,Megbeszélés hivatkozása
Meeting title,Megbeszélés címe
Meeting URL,Megbeszélés URL
Meetings,Megbeszélések
Mention,Említés
Message,Üzenet
Message is required,Az üzenet kötelező
Message is required for '{0}' action,"Az üzenet kötelező a(z) „{0} művelethez"""
Migrate,Áttelepítés
Migration Complete,Áttelepítés kész
Migration ID:,Áttelepítési azonosító:
Migration log not found: {0},Áttelepítési napló nem található: {0}
Milestone,Mérföldkő
milestone,mérföldkő
Milestone created,Mérföldkő létrehozva
Milestone description has been saved.,A mérföldkő leírása mentve lett.
Milestone ID is required,A mérföldkő azonosítója kötelező
Milestone marked as Missed (past due date),Mérföldkő elmulasztottnak jelölve (lejárt határidő)
Milestone moved,Mérföldkő áthelyezve
Milestone Name,Mérföldkő neve
Milestone name has been saved.,A mérföldkő neve mentve lett.
Milestone name is required,A mérföldkő neve kötelező
Milestone updated,Mérföldkő frissítve
Milestone {0} not found,A(z) {0} mérföldkő nem található
Milestone {0} not in project {1},A(z) {0} mérföldkő nincs a(z) {1} projektben
Milestones,Mérföldkövek
milestones,mérföldkövek
Milestones:,Mérföldkövek:
Minutes,Percek
Missed,Elmulasztva
Mixed,Vegyes
Mobile,Mobil
Moderate,Mérsékelt
Modified,Módosítva
"Modify details, time, or attendees","Részletek, időpont vagy résztvevők módosítása"
Mon,Hét
Month,Hónap
Move failed,Az áthelyezés sikertelen
Must be a positive number,Pozitív számnak kell lennie
Must finish before this finishes,Be kell fejeződnie ennek befejezése előtt
Must finish before this starts,Be kell fejeződnie ennek kezdése előtt
Must start before this finishes,Meg kell kezdődnie ennek befejezése előtt
Must start before this starts,Meg kell kezdődnie ennek kezdése előtt
My Assignments,Hozzárendeléseim
My Projects,Projektjeim
My Schedule,Ütemtervem
My Tasks,Feladataim
N/A,N/A
Name,Név
Name (A-Z),Név (A-Z)
Name (Z-A),Név (Z-A)
Name cannot exceed 255 characters,A név nem lehet hosszabb 255 karakternél
Need help?,Segítségre van szüksége?
Needs Attention,Figyelmet igényel
Never,Never
new activities,új tevékenységek
New Activity,Új tevékenység
New activity,Új tevékenység
New Event,Új esemény
New index is required,Az új index megadása kötelező
New Project,Új projekt
New tasks will auto-trail by default.,Az új feladatok alapértelmezés szerint automatikusan csúsznak.
Newest First,Legújabb elöl
Next,Következő
Next 14 days,Következő 14 nap
Next 30 days,Következő 30 nap
Next 60 days,Következő 60 nap
Next 7 days,Következő 7 nap
Next 90 days,Következő 90 nap
Next Week,Jövő héten
Next:,Következő:
No,Nem
No active assignments,Nincsenek aktív hozzárendelések
No active projects,Nincsenek aktív projektek
No active timer found,Nem található aktív időmérő
No activity selected,Nincs tevékenység kiválasztva
No assignments found,Nem találhatók hozzárendelések
No attendees,Nincsenek résztvevők
no change,nincs változás
No changes for this field.,Nincs módosítás ennél a mezőnél.
No changes recorded for this activity.,Nem rögzítettek módosítást ehhez a tevékenységhez.
No checklist items yet,Még nincsenek ellenőrzőlista-elemek
No checklist items yet.,Még nincsenek ellenőrzőlista-elemek.
No comments yet,Még nincsenek hozzászólások
No comments yet.,Még nincsenek hozzászólások.
No contacts available,Nincsenek elérhető kapcsolattartók
No content for this tab,Nincs tartalom ehhez a fülhöz
No data available,Nincsenek elérhető adatok
No data available for the selected filters,Nincs elérhető adat a kiválasztott szűrőkhöz
No data to export,Nincs exportálandó adat
No dates set,Nincsenek dátumok beállítva
No defects reported,Nincsenek jelentett hibák
No dependencies defined,Nincsenek függőségek meghatározva
No description,Nincs leírás
No discussion yet.,Még nincs megbeszélés.
No documents attached,Nincsenek csatolt dokumentumok
No due date,Nincs határidő
No employee linked to this resource,Nincs alkalmazott ehhez az erőforráshoz kapcsolva
No ERPNext employee linked to resource,Nincs ERPNext alkalmazott az erőforráshoz kapcsolva
No events found,Nem találhatók események
No files attached yet.,Még nincsenek csatolt fájlok.
No Frappe Project linked,Nincs Frappe projekt összekapcsolva
No Grouping,Nincs csoportosítás
No items,Nincsenek elemek
No matching tasks,Nincsenek egyező feladatok
No matching tasks found,Nem találhatók egyező feladatok
No migration history,Nincs áttelepítési előzmény
No Milestone,Nincs mérföldkő
No milestones,Nincsenek mérföldkövek
No milestones defined for this project.,Nincsenek mérföldkövek meghatározva ehhez a projekthez.
No notes yet.,Még nincsenek jegyzetek.
No notes yet. Add a due diligence note to track progress.,Még nincsenek jegyzetek. Adjon hozzá egy átvilágítási jegyzetet a haladás nyomon követéséhez.
No notifications,Nincsenek értesítések
No Orga Project linked to Frappe Project {0},Nincs Orga projekt a(z) {0} Frappe projekthez kapcsolva
No overdue tasks,Nincsenek késedelmes feladatok
No pending cascade changes,Nincsenek függőben lévő továbbgyűrűző módosítások
No predecessors - this task can start independently,Nincsenek előfeltételek — ez a feladat önállóan elkezdhető
No project,Nincs projekt
No projects found,Nem találhatók projektek
No Projects Yet,Még nincsenek projektek
No recent activity,Nincs közelmúltbeli tevékenység
No related documents,Nincsenek kapcsolódó dokumentumok
No resolved threads.,Nincsenek megoldott beszélgetések.
No resources found,Nem találhatók erőforrások
No results found,Nem találhatók eredmények
No skills listed,Nincsenek képességek felsorolva
No skills recorded yet,Még nincsenek rögzített képességek
No successors - no tasks are waiting for this one,Nincsenek utódok — egyetlen feladat sem várakozik erre
No task selected,Nincs kiválasztott feladat
No tasks assigned to you,Nincs önhöz rendelt feladat
No tasks available to add,Nincs hozzáadható feladat
No tasks found,Nem találhatók feladatok
No tasks linked to this milestone,Nincsenek ehhez a mérföldkőhöz kapcsolt feladatok
No tasks with dates to display,Nincsenek dátummal rendelkező feladatok a megjelenítéshez
No tasks yet,Még nincsenek feladatok
No team members,Nincsenek csapattagok
No template,Nincs sablon
No templates yet,Még nincsenek sablonok
No time data found,Nem találhatók időadatok
No time logged today,Ma nincs rögzített idő
No time logged yet,Még nincs rögzített idő
No time logs for this period,Nincsenek időbejegyzések erre az időszakra
No time logs found,Nem találhatók időbejegyzések
No unread notifications,Nincsenek olvasatlan értesítések
No update information available yet.,No update information available yet.
None,Nincs
Not found,Nem található
Not permitted,Nincs engedélyezve
Not permitted to access this project,Nincs jogosultság a projekt eléréséhez
Not permitted to access this task,Nincs jogosultság a feladat eléréséhez
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Nincs jogosultság hozzászólni ehhez a dokumentumhoz
Not permitted to create clients,Nincs jogosultság ügyfelek létrehozásához
Not permitted to delete this client,Nincs jogosultság az ügyfél törléséhez
Not permitted to delete this defect,Nincs jogosultság a hiba törléséhez
Not permitted to delete this note,Nincs jogosultság a jegyzet törléséhez
Not permitted to delete this project,Nincs jogosultság a projekt törléséhez
Not permitted to delete this task,Nincs jogosultság a feladat törléséhez
Not permitted to delete this time log,Nincs jogosultság az időbejegyzés törléséhez
Not permitted to invite clients,Nincs jogosultság ügyfelek meghívásához
Not permitted to modify client access,Nincs jogosultság az ügyfélhozzáférés módosításához
Not permitted to modify this project,Nincs jogosultság a projekt módosításához
Not permitted to update settings,Nincs jogosultság a beállítások módosításához
Not permitted to update this client,Nincs jogosultság az ügyfél módosításához
Not permitted to view this client,Nincs jogosultság az ügyfél megtekintéséhez
not sent,nincs elküldve
Not set,Nincs beállítva
Not specified,Nincs megadva
Note,Jegyzet
Note (optional),Jegyzet (nem kötelező)
Note Content,Jegyzet tartalma
Note content is required,A jegyzet tartalma kötelező
Note name is required,A jegyzet neve kötelező
Note not found,Jegyzet nem található
Note Type,Jegyzet típusa
Notes,Jegyzetek
Notification,Értesítés
Notification not found,Értesítés nem található
Notifications,Értesítések
Off Track,Kisiklott
Offer,Ajánlat
Offer Prepared,Ajánlat elkészítve
Oldest First,Legrégebbi elöl
On Hold,Szüneteltetve
On Leave,Szabadságon
On Track,Ütemterv szerint
On-Time Rate,Határidő-tartási arány
Only administrators can delete activities,Csak rendszergazdák törölhetnek tevékenységeket
Only the comment author or administrators can delete comments,Csak a hozzászólás szerzője vagy a rendszergazdák törölhetnek hozzászólásokat
Only you and admins,Csak ön és a rendszergazdák
Open,Nyitott
Open in Desk,Megnyitás a Desk-ben
Open Task Log,Feladatnapló megnyitása
Open Tasks,Nyitott feladatok
Optional,Nem kötelező
optional,nem kötelező
Or email us directly at,Vagy írjon nekünk közvetlenül a következő címre
Orga Project {0} from Frappe Projects,Orga projekt {0} a Frappe Projects-ből
Orga Task {0} from Frappe,Orga feladat {0} a Frappe-ből
Organizer,Szervező
Other,Egyéb
Over Budget,Túlköltés
Overall Progress,Összesített haladás
Overall Utilization,Összesített kihasználtság
Overallocated,Túlterhelt
Overdue,Késedelmes
overdue,késedelmes
Overdue Tasks,Késedelmes feladatok
Overview,Áttekintés
Owner,Tulajdonos
Page Not Found,Az oldal nem található
Parent,Szülő
Parent comment must belong to the same document,A szülő hozzászólásnak ugyanahhoz a dokumentumhoz kell tartoznia
Parent comment not found,Szülő hozzászólás nem található
Parent project not synced to Frappe yet,A szülő projekt még nincs szinkronizálva a Frappe-vel
Parent project sync not enabled,A szülő projekt szinkronizálása nincs engedélyezve
Partner,Partner
Pending,Függőben
per page,oldalanként
Perform initial assessment and background check,Előzetes értékelés és háttérellenőrzés elvégzése
Permanently remove this event,Az esemény végleges törlése
Permanently remove this task,A feladat végleges törlése
Phone,Telefon
Pin,Kitűzés
Pin Activity,Tevékenység kitűzése
Pin to top,Kitűzés a tetejére
Pinned,Kitűzve
Planned budget for this task,A feladat tervezett költségvetése
Planning,Tervezés
Please describe your question or issue in detail...,Kérjük részletesen írja le kérdését vagy problémáját...
Please login to access Orga,Kérjük jelentkezzen be az Orga eléréséhez
Please login to access the client portal,Kérjük jelentkezzen be az ügyfélportál eléréséhez
Please respond to this invitation in Orga,Kérjük válaszoljon erre a meghívóra az Orga-ban
Please select an image file,Kérjük válasszon képfájlt
Please try again,Kérjük próbálja újra
Please type,Kérjük írja be
Portal,Portál
Portal access revoked for {0},Portálhozzáférés visszavonva a következőtől: {0}
Portal user created successfully. Welcome email {0},Portálfelhasználó sikeresen létrehozva. Üdvözlő e-mail {0}
Post,Közzététel
Powered by,Működteti
Powered by Tonic,Működteti a Tonic
Predecessors (Blocked By),Előfeltételek (blokkolja)
Preferences,Beállítások
Preferences saved successfully,Beállítások sikeresen mentve
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Automatikusan generált projektkódok előtagja (pl. ORG-2026-0001)
Prepare and document offer terms,Ajánlati feltételek előkészítése és dokumentálása
Press,Nyomja meg a
Preview,Előnézet
Preview cascade before applying,Továbbgyűrűzés előnézete alkalmazás előtt
Previous,Előző
Priority,Prioritás
Priority assigned to new tasks,Új feladatokhoz rendelt prioritás
Priority updated,Prioritás frissítve
Proficiency,Jártasság
Profile,Profil
Progress,Haladás
Progress (High-Low),Haladás (csökkenő)
Progress (Low-High),Haladás (növekvő)
Progress Overview,Haladás áttekintése
Progress updated,Haladás frissítve
Project,Projekt
Project budget has been saved.,A projekt költségvetése mentve lett.
Project code (e.g. ORG-2026-0001),Projektkód (pl. ORG-2026-0001)
Project Code Prefix,Projektkód előtag
Project created,Projekt létrehozva
Project deleted,Projekt törölve
Project description has been saved.,A projekt leírása mentve lett.
Project Details,Projekt részletei
Project end date has been saved.,A projekt befejezési dátuma mentve lett.
Project Files,Projektfájlok
Project has no linked client,A projekthez nincs ügyfél kapcsolva
Project Health,Projekt állapota
Project Info,Projekt információ
Project is required,A projekt megadása kötelező
Project is required for project context,A projekt megadása kötelező projektkontextusban
Project is required when tracking context is 'project',"A projekt megadása kötelező, ha a követési kontextus „projekt""
Project name and template name are required,A projekt neve és a sablon neve kötelező
Project name is required,A projekt neve kötelező
Project not found,Projekt nem található
Project not found or you do not have access,A projekt nem található vagy nincs hozzáférése
Project settings,Projektbeállítások
Project start date has been saved.,A projekt kezdési dátuma mentve lett.
Project title has been saved.,A projekt címe mentve lett.
Project updated,Projekt frissítve
Project {0} linked to client {1},A(z) {0} projekt összekapcsolva a(z) {1} ügyféllel
Project {0} not found,A(z) {0} projekt nem található
Project {0} to Frappe Projects,A(z) {0} projekt a Frappe Projects-be
Project:,Projekt:
Projects,Projektek
Projects Overview,Projektek áttekintése
Projects created:,Létrehozott projektek:
Projects skipped:,Kihagyott projektek:
Projects updated:,Frissített projektek:
Promote failed,Az előléptetés sikertelen
Promote to task,Előléptetés feladattá
Promoted to task,Feladattá előléptetve
Propose,Javaslat
Propose New Time,Új időpont javaslása
Propose Time,Időpont javaslása
Proposed End,Javasolt befejezés
Proposed Start,Javasolt kezdés
Public,Nyilvános
Quick Action,Gyors művelet
Quick Actions,Gyors műveletek
Quick Stats,Gyors statisztikák
RSVP,RSVP
Rates,Díjak
Receive notifications via email,Értesítések fogadása e-mailben
Receive notifications within the application,Értesítések fogadása az alkalmazáson belül
Recipient {0} is not a valid user,A(z) {0} címzett nem érvényes felhasználó
Recent Activity,Közelmúltbeli tevékenység
Reference,Hivatkozás
Refresh,Frissítés
Related,Kapcsolódó
Related Company (optional),Kapcsolódó cég (nem kötelező)
Related Documents,Kapcsolódó dokumentumok
Related Project,Kapcsolódó projekt
Remaining,Hátralévő
Reminder,Emlékeztető
Reminder Lead Time"""
Project Manager,Projektvezető
Project Name,Projekt neve
Project name and template name are required,A projekt neve és a sablon neve kötelező
Project name is required,A projekt neve kötelező
Project not found,Projekt nem található
Project not found or you do not have access,"Projekt nem található, vagy nincs hozzáférése"
Project settings,Projekt beállítások
Project start date has been saved.,A projekt kezdési dátuma mentve.
Project title has been saved.,A projekt címe mentve.
Project Type,Projekttípus
Project updated,Projekt frissítve
Project {0} linked to client {1},Projekt {0} összekapcsolva az ügyféllel {1}
Project {0} not found,Projekt {0} nem található
Project {0} to Frappe Projects,Projekt {0} a Frappe Projects-be
Project:,Projekt:
projects,projektek
Projects,Projektek
Projects created:,Létrehozott projektek:
Projects Overview,Projektek áttekintése
Projects skipped:,Kihagyott projektek:
Projects updated:,Frissített projektek:
Promote failed,Előléptetés sikertelen
Promote to task,Előléptetés feladattá
Promoted to task,Feladattá előléptetve
Propose,Javaslat
Propose New Time,Új időpont javaslata
Propose Time,Időpont javaslata
Proposed End,Javasolt befejezés
Proposed Start,Javasolt kezdés
Public,Nyilvános
Quick Action,Gyorsművelet
Quick Actions,Gyorsműveletek
Quick Stats,Gyorsstatisztika
Rates,Díjszabások
Receive notifications via email,Értesítések fogadása e-mailben
Receive notifications within the application,Értesítések fogadása az alkalmazáson belül
Recent Activity,Legutóbbi tevékenység
Recipient {0} is not a valid user,A címzett {0} nem érvényes felhasználó
Reference,Hivatkozás
Refresh,Frissítés
Related,Kapcsolódó
Related Company (optional),Kapcsolódó vállalat (opcionális)
Related Documents,Kapcsolódó dokumentumok
Related Project,Kapcsolódó projekt
Remaining,Hátralévő
Reminder,Emlékeztető
Reminder Lead Time,Emlékeztető előzetes idő
Reminder: {0} - {1} at {2},Emlékeztető: {0} - {1} időpontban {2}
Remove,Eltávolítás
Remove dependency,Függőség eltávolítása
Remove dependency on,Függőség eltávolítása ettől
Remove from group,Eltávolítás a csoportból
Remove group dependency,Csoportfüggőség eltávolítása
Remove skill,Képesség eltávolítása
Reopen,Újranyitás
Reopen thread,Beszélgetés újranyitása
reopened,újranyitva
replies,válaszok
Reply,Válasz
reply,válasz
Replying to,Válasz erre
Replying to comment,Válasz a hozzászólásra
Report Defect,Hiba jelentése
Reported Date,Jelentés dátuma
Reports,Jelentések
Reports To,Jelentés címzettje
Request Submitted!,Kérés elküldve!
Required,Kötelező
required,kötelező
Research,Kutatás
Reset to Defaults,Visszaállítás alapértelemre
Resolve,Megoldás
Resolve thread,Beszélgetés megoldása
Resolved,Megoldva
Resolved date cannot be before reported date,A megoldás dátuma nem lehet korábbi a jelentés dátumánál
Resource,Erőforrás
Resource and skill name are required,Az erőforrás és a képesség neve kötelező
Resource is already an attendee,Az erőforrás már résztvevő
Resource name is required,Az erőforrás neve kötelező
Resource not found,Erőforrás nem található
Resource synced from employee {0},Erőforrás szinkronizálva a(z) {0} alkalmazottból
Resource {0} is already assigned to this task ({1}),A(z) {0} erőforrás már hozzá van rendelve ehhez a feladathoz ({1})
Resource {0} not found,A(z) {0} erőforrás nem található
Resources,Kapcsolattartók
Retry,Újrapróbálás
Review,Felülvizsgálat
Review all relevant documents and contracts,Minden vonatkozó dokumentum és szerződés felülvizsgálata
Reviews,Felülvizsgálatok
Risk Assessment,Kockázatértékelés
Rollback,Visszagörgetés
Rolled back,Visszagörgetve
Room or address,Terem vagy cím
RSVP,RSVP
Safety,Biztonság
Sat,Szo
Save,Mentés
"Save a project as a template, or import one from a JSON file.","Mentse el a projektet sablonként, vagy importáljon egyet JSON fájlból."
Save as Template,Mentés sablonként
Save Changes,Módosítások mentése
Save failed,A mentés sikertelen
Save Preferences,Beállítások mentése
Save Template,Sablon mentése
Saving...,Mentés...
Schedule,Ütemterv
Schedule type is required for scheduled triggers,Az ütemezés típusa kötelező az ütemezett eseményindítóknál
Scheduled,Ütemezett
Search,Keresés
"Search by name, email, or skill...","Keresés név, e-mail vagy képesség alapján..."
Search for a project...,Projekt keresése...
Search for a task...,Feladat keresése...
Search for an event...,Esemény keresése...
Search for people to invite...,Meghívandó személyek keresése...
Search tasks to link...,Kapcsolandó feladatok keresése...
Search tasks...,Feladatok keresése...
Search...,Keresés...
Searching...,Keresés...
Seen,Megtekintve
Select a project if your request is related to a specific project.,Válasszon projektet ha kérése egy adott projekthez kapcsolódik.
Select a project...,Válasszon projektet...
Select a task from the Gantt chart to view and manage its details.,Válasszon feladatot a Gantt diagramból a részletek megtekintéséhez és kezeléséhez.
Select a task from the list or Kanban board to view and manage its details.,Válasszon feladatot a listából vagy a Kanban tábláról a részletek megtekintéséhez és kezeléséhez.
Select a template...,Válasszon sablont...
Select priority...,Válasszon prioritást...
Select status...,Válasszon állapotot...
Select task...,Válasszon feladatot...
Select type...,Válasszon típust...
Selection,Kiválasztás
Send,Küldés
Send comment,Hozzászólás küldése
Send email invitations to attendees,E-mail meghívók küldése a résztvevőknek
Send Invitations,Meghívók küldése
Send notification when a task is assigned to a user,Értesítés küldése feladat hozzárendelésekor
Send notification when task status changes,Értesítés küldése a feladat állapotának változásakor
Send reminder before task due date,Emlékeztető küldése a feladat határideje előtt
sent,elküldve
Set rate,Díj beállítása
Settings,Beállítások
Settings saved successfully,Beállítások sikeresen mentve
Severity,Súlyosság
SF (Start-Finish),SF (Kezdés-Befejezés)
SF - Start-to-Finish,SF - Kezdéstől-befejezésig
Show,Megjelenítés
Show all,Összes megjelenítése
Show all changes,Összes módosítás megjelenítése
Show Archived,Archivált megjelenítése
Show full diff,Teljes eltérés megjelenítése
Show less,Kevesebb megjelenítése
Show more,Több megjelenítése
Skill added,Képesség hozzáadva
Skill is required,A képesség megadása kötelező
Skill Name,Képesség neve
Skill removed,Képesség eltávolítva
Skill {0} already exists for this resource,A(z) {0} képesség már létezik ennél az erőforrásnál
Skills,Képességek
Skills & Competencies,Képességek és kompetenciák
Skip already migrated projects,Már áttelepített projektek kihagyása
Sort by,Rendezés
Sort: Due Date,Rendezés: Határidő
Sort: Priority,Rendezés: Prioritás
Sort: Project,Rendezés: Projekt
Sort: Status,Rendezés: Állapot
Sort: Task,Rendezés: Feladat
Source Code,Forráskód
Spent,Elköltött
Spent:,Elköltött:
SS (Start-Start),SS (Kezdés-Kezdés)
SS - Start-to-Start,SS - Kezdéstől-kezdésig
Standalone,Önálló
Start,Kezdés
Start a discussion below,Indítson megbeszélést alább
Start Date,Kezdési dátum
Start date,Kezdési dátum
Start Date (Earliest),Kezdési dátum (legkorábbi)
Start date updated,Kezdési dátum frissítve
Start date/time is required,A kezdési dátum/idő kötelező
Start Migration,Áttelepítés indítása
Start the conversation below.,Indítsa el a beszélgetést alább.
Start Timer,Időmérő indítása
Start typing to search...,Kezdjen el gépelni a kereséshez...
Start-to-Finish,Kezdéstől-befejezésig
Start-to-Start,Kezdéstől-kezdésig
Start:,Kezdés:
Statistics reset,Statisztikák visszaállítva
Status,Állapot
Status assigned to new projects,Új projektekhez rendelt állapot
Status assigned to new tasks,Új feladatokhoz rendelt állapot
Status Changes,Állapotváltozások
Status updated,Állapot frissítve
Status:,Állapot:
Stop,Leállítás
Stop & Save,Leállítás és mentés
Stop Timer,Időmérő leállítása
Stops current timer and starts for this event,Leállítja a jelenlegi időmérőt és elindítja ennél az eseménynél
Stops current timer and starts for this task,Leállítja a jelenlegi időmérőt és elindítja ennél a feladatnál
Subject,Tárgy
Subject cannot exceed 255 characters,A tárgy nem lehet hosszabb 255 karakternél
Subject is required,A tárgy kötelező
Submit,Beküldés
Submit Another Request,Újabb kérés beküldése
Submit Request,Kérés beküldése
Submitting...,Beküldés...
Successfully saved,Sikeresen mentve
Successors (Blocking),Utódok (blokkoló)
Sun,Vas
Supplier,Szállító
Support,Támogatás
Switch to this event,Váltás erre az eseményre
Switch to this task,Váltás erre a feladatra
Sync direction is set to Frappe to Orga only,A szinkronizálás iránya csak Frappe-ből Orga-ba van beállítva
Sync direction is set to Orga to Frappe only,A szinkronizálás iránya csak Orga-ból Frappe-be van beállítva
Sync not enabled for this project,A szinkronizálás nincs engedélyezve ehhez a projekthez
System,Rendszer
Table,Táblázat
Take ownership of this task,A feladat átvétele
Target Date,Cél dátum
Target End,Cél befejezés
Target Project,Célprojekt
Target user is required for '{0}' action,"A célfelhasználó megadása kötelező a(z) „{0} művelethez"""
Task,Feladat
task,feladat
Task '{0}' is due on {1}.,"A(z) „{0} feladat határideje {1}."""
Task and resource are required,A feladat és az erőforrás megadása kötelező
Task Assignment,Feladat-hozzárendelés
Task cannot be its own parent,A feladat nem lehet saját szülője
Task cannot depend on itself,A feladat nem függhet önmagától
Task cannot depend on the group it belongs to,A feladat nem függhet a csoportjától amelyhez tartozik
Task created,Feladat létrehozva
Task deleted,Feladat törölve
Task description has been saved.,A feladat leírása mentve lett.
Task Details,Feladat részletei
Task due in {0} days: {1},{0} nap múlva esedékes feladat: {1}
Task due today: {0},Mai esedékes feladat: {0}
Task due tomorrow: {0},Holnap esedékes feladat: {0}
Task duplicated,Feladat duplikálva
Task Group,Feladatcsoport
Task ID is required,A feladat azonosítója kötelező
Task is blocked by incomplete dependencies,A feladatot befejezetlen függőségek blokkolják
Task is cancelled,A feladat visszavonva
Task is completed,A feladat befejezve
Task is no longer blocked by a group,A feladatot már nem blokkolja egy csoport
Task is required for task context,A feladat megadása kötelező feladatkontextusban
Task is required when tracking context is 'task',"A feladat megadása kötelező, ha a követési kontextus „feladat""
Task linked,Feladat összekapcsolva
Task moved,Feladat áthelyezve
Task name,Feladat neve
Task name is required,A feladat neve kötelező
Task removed from group,Feladat eltávolítva a csoportból
Task subject is required,A feladat tárgya kötelező
Task unblocked: {0},Feladat feloldva: {0}
Task unlinked,Feladat leválasztva
Task updated,Feladat frissítve
Task {0} not found,A(z) {0} feladat nem található
Task {0} not in project {1},A(z) {0} feladat nincs a(z) {1} projektben
Task {0} to Frappe,A(z) {0} feladat a Frappe-be
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Feladat összekapcsolva
Task moved,Feladat áthelyezve
Task name,Feladat neve
Task name is required,A feladat neve kötelező
Task removed from group,Feladat eltávolítva a csoportból
Task Subject,Feladat tárgya
Task subject is required,A feladat tárgya kötelező
Task Type,Feladattípus
Task unblocked: {0},Feladat blokkolása feloldva: {0}
Task unlinked,Feladat leválasztva
Task updated,Feladat frissítve
Task {0} not found,Feladat {0} nem található
Task {0} not in project {1},Feladat {0} nem a(z) {1} projektben van
Task {0} to Frappe,Feladat {0} a Frappe-be
Tasks,Feladatok
tasks,feladatok
Tasks and milestones will be created with dates relative to the project start date.,A feladatok és mérföldkövek a projekt kezdési dátumához viszonyított dátumokkal jönnek létre.
Tasks assigned to you across all projects.,Az összes projektben önhöz rendelt feladatok.
Tasks created:,Létrehozott feladatok:
Tasks from projects you manage.,Az ön által vezetett projektek feladatai.
