+ Add Milestone,+ Dodaj mejnik
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element dodan
Item ID is required,ID elementa je obvezen
Item removed,Element odstranjen
Item type is required,Vrsta elementa je obvezna
Item {0} not found,Element {0} ni najden
Job title or role,Naziv delovnega mesta ali vloga
Join Meeting,Pridruži se sestanku
Just now,Pravkar
just now,pravkar
Kanban,Kanban
Kanban Board,Kanban tabla
Kanban View,Kanban pogled
Keyboard Shortcuts,Bližnjice na tipkovnici
Keyboard shortcuts (?),Bližnjice na tipkovnici (?)
Last checked: {0},Last checked: {0}
Last Updated,Nazadnje posodobljeno
Last updated:,Nazadnje posodobljeno:
Last Week,Prejšnji teden
Latest Version,Latest Version
Light,Svetlo
Link failed,Povezovanje ni uspelo
Link Task,Poveži nalogo
Linked,Povezano
Linked employee not found,Povezani zaposleni ni najden
Linked Tasks,Povezane naloge
List,Seznam
List View,Pogled seznama
Load failed,Nalaganje ni uspelo
Load More,Naloži več
Load more comments,Naloži več komentarjev
Loading activity...,Nalaganje dejavnosti...
Loading changes...,Nalaganje sprememb...
Loading checklist...,Nalaganje kontrolnega seznama...
Loading comments...,Nalaganje komentarjev...
Loading contact...,Nalaganje stika...
Loading contacts...,Nalaganje stikov...
Loading dependencies...,Nalaganje odvisnosti...
Loading details...,Nalaganje podrobnosti...
Loading discussion...,Nalaganje razprave...
Loading events...,Nalaganje dogodkov...
Loading files...,Nalaganje datotek...
Loading notes...,Nalaganje opomb...
Loading preferences...,Nalaganje nastavitev...
Loading project...,Nalaganje projekta...
Loading projects...,Nalaganje projektov...
Loading replies...,Nalaganje odgovorov...
Loading report data...,Nalaganje podatkov poročila...
Loading settings...,Nalaganje nastavitev...
Loading task...,Nalaganje naloge...
Loading templates...,Nalaganje predlog...
Loading time logs...,Nalaganje časovnih zapisov...
Loading your portal...,Nalaganje vašega portala...
Loading...,Nalaganje...
Location,Lokacija
Log Time,Zabeleži čas
Logout,Odjava
Low,Nizka
Make Offer,Pripravi ponudbo
Manager,Vodja
Manual Entry,Ročni vnos
Margin,Marža
Mark all as read,Označi vse kot prebrano
Mark all read,Označi vse kot prebrano
Mark as read,Označi kot prebrano
Mark as unread,Označi kot neprebrano
Mark read,Označi kot prebrano
Marking...,Označevanje...
Material,Material
Maybe,Morda
Medium,Srednja
Meeting,Sestanek
Meeting Link,Povezava do sestanka
Meeting title,Naslov sestanka
Meeting URL,URL sestanka
Meetings,Sestanki
Mention,Omemba
Message,Sporočilo
Message is required,Sporočilo je obvezno
Message is required for '{0}' action,Sporočilo je obvezno za dejanje »{0}«
Migrate,Preseli
Migration Complete,Selitev končana
Migration ID:,ID selitve:
Migration log not found: {0},Dnevnik selitve ni najden: {0}
Milestone,Mejnik
milestone,mejnik
Milestone created,Mejnik ustvarjen
Milestone description has been saved.,Opis mejnika je bil shranjen.
Milestone ID is required,ID mejnika je obvezen
Milestone marked as Missed (past due date),Mejnik označen kot zamujeni (presežen rok)
Milestone moved,Mejnik premaknjen
Milestone Name,Ime mejnika
Milestone name has been saved.,Ime mejnika je bilo shranjeno.
Milestone name is required,Ime mejnika je obvezno
Milestone updated,Mejnik posodobljen
Milestone {0} not found,Mejnik {0} ni najden
Milestone {0} not in project {1},Mejnik {0} ni v projektu {1}
Milestones,Mejniki
milestones,mejniki
Milestones:,Mejniki:
Minutes,Minute
Missed,Zamujeno
Mixed,Mešano
Mobile,Mobilno
Moderate,Zmerno
Modified,Spremenjeno
"Modify details, time, or attendees","Spremeni podrobnosti, čas ali udeležence"
Mon,Pon
Month,Mesec
Move failed,Premik ni uspel
Must be a positive number,Mora biti pozitivno število
Must finish before this finishes,Mora biti končano pred koncem tega
Must finish before this starts,Mora biti končano pred začetkom tega
Must start before this finishes,Mora biti začeto pred koncem tega
Must start before this starts,Mora biti začeto pred začetkom tega
My Assignments,Moje dodelitve
My Projects,Moji projekti
My Schedule,Moj urnik
My Tasks,Moje naloge
N/A,N/R
Name,Ime
Name (A-Z),Ime (A-Ž)
Name (Z-A),Ime (Ž-A)
Name cannot exceed 255 characters,Ime ne sme presegati 255 znakov
Need help?,Potrebujete pomoč?
Needs Attention,Potrebuje pozornost
Never,Never
new activities,nove dejavnosti
New Activity,Nova dejavnost
New activity,Nova dejavnost
New Event,Nov dogodek
New index is required,Nov indeks je obvezen
New Project,Nov projekt
New tasks will auto-trail by default.,Nove naloge bodo privzeto imele samodejni drsni začetek.
Newest First,Najnovejši najprej
Next,Naprej
Next 14 days,Naslednjih 14 dni
Next 30 days,Naslednjih 30 dni
Next 60 days,Naslednjih 60 dni
Next 7 days,Naslednjih 7 dni
Next 90 days,Naslednjih 90 dni
Next Week,Naslednji teden
Next:,Naprej:
No,Ne
No active assignments,Ni aktivnih dodelitev
No active projects,Ni aktivnih projektov
No active timer found,Aktivna štoparica ni najdena
No activity selected,Nobena dejavnost ni izbrana
No assignments found,Nobena dodelitev ni najdena
No attendees,Ni udeležencev
no change,brez sprememb
No changes for this field.,Ni sprememb za to polje.
No changes recorded for this activity.,Ni zabeleženih sprememb za to dejavnost.
No checklist items yet,Še ni elementov kontrolnega seznama
No checklist items yet.,Še ni elementov kontrolnega seznama.
No comments yet,Še ni komentarjev
No comments yet.,Še ni komentarjev.
No contacts available,Ni razpoložljivih stikov
No content for this tab,Ni vsebine za ta zavihek
No data available,Ni razpoložljivih podatkov
No data available for the selected filters,Ni razpoložljivih podatkov za izbrane filtre
No data to export,Ni podatkov za izvoz
No dates set,Datumi niso nastavljeni
No defects reported,Ni prijavljenih napak
No dependencies defined,Ni opredeljenih odvisnosti
No description,Ni opisa
No discussion yet.,Še ni razprave.
No documents attached,Ni priloženih dokumentov
No due date,Ni roka
No employee linked to this resource,Noben zaposleni ni povezan s tem virom
No ERPNext employee linked to resource,Noben ERPNext zaposleni ni povezan z virom
No events found,Ni najdenih dogodkov
No files attached yet.,Še ni priloženih datotek.
No Frappe Project linked,Noben Frappe projekt ni povezan
No Grouping,Brez združevanja
No items,Ni elementov
No matching tasks,Ni ujemajočih nalog
No matching tasks found,Ni najdenih ujemajočih nalog
No migration history,Ni zgodovine selitev
No Milestone,Brez mejnika
No milestones,Ni mejnikov
No milestones defined for this project.,Za ta projekt ni opredeljenih mejnikov.
No notes yet.,Še ni opomb.
No notes yet. Add a due diligence note to track progress.,Še ni opomb. Dodajte opombo skrbnega pregleda za spremljanje napredka.
No notifications,Ni obvestil
No Orga Project linked to Frappe Project {0},Noben Orga projekt ni povezan s Frappe projektom {0}
No overdue tasks,Ni zamujenih nalog
No pending cascade changes,Ni čakajočih kaskadnih sprememb
No predecessors - this task can start independently,Ni predhodnikov — ta naloga se lahko začne samostojno
No project,Ni projekta
No projects found,Ni najdenih projektov
No Projects Yet,Še ni projektov
No recent activity,Ni nedavne dejavnosti
No related documents,Ni povezanih dokumentov
No resolved threads.,Ni razrešenih niti.
No resources found,Ni najdenih virov
No results found,Ni najdenih rezultatov
No skills listed,Ni navedenih veščin
No skills recorded yet,Še ni zabeleženih veščin
No successors - no tasks are waiting for this one,Ni naslednikov — nobena naloga ne čaka na to
No task selected,Nobena naloga ni izbrana
No tasks assigned to you,Nobena naloga vam ni dodeljena
No tasks available to add,Ni nalog za dodajanje
No tasks found,Ni najdenih nalog
No tasks linked to this milestone,Nobena naloga ni povezana s tem mejnikom
No tasks with dates to display,Ni nalog z datumi za prikaz
No tasks yet,Še ni nalog
No team members,Ni članov ekipe
No template,Ni predloge
No templates yet,Še ni predlog
No time data found,Ni najdenih časovnih podatkov
No time logged today,Danes ni zabeležen čas
No time logged yet,Še ni zabeležen čas
No time logs for this period,Ni časovnih zapisov za to obdobje
No time logs found,Ni najdenih časovnih zapisov
No unread notifications,Ni neprebranih obvestil
No update information available yet.,No update information available yet.
None,Brez
Not found,Ni najdeno
Not permitted,Ni dovoljeno
Not permitted to access this project,Dostop do tega projekta ni dovoljen
Not permitted to access this task,Dostop do te naloge ni dovoljen
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Komentiranje tega dokumenta ni dovoljeno
Not permitted to create clients,Ustvarjanje strank ni dovoljeno
Not permitted to delete this client,Brisanje te stranke ni dovoljeno
Not permitted to delete this defect,Brisanje te napake ni dovoljeno
Not permitted to delete this note,Brisanje te opombe ni dovoljeno
Not permitted to delete this project,Brisanje tega projekta ni dovoljeno
Not permitted to delete this task,Brisanje te naloge ni dovoljeno
Not permitted to delete this time log,Brisanje tega časovnega zapisa ni dovoljeno
Not permitted to invite clients,Vabljenje strank ni dovoljeno
Not permitted to modify client access,Spreminjanje dostopa stranke ni dovoljeno
Not permitted to modify this project,Spreminjanje tega projekta ni dovoljeno
Not permitted to update settings,Posodabljanje nastavitev ni dovoljeno
Not permitted to update this client,Posodabljanje te stranke ni dovoljeno
Not permitted to view this client,Ogled te stranke ni dovoljen
not sent,ni poslano
Not set,Ni nastavljeno
Not specified,Ni navedeno
Note,Opomba
Note (optional),Opomba (izbirno)
Note Content,Vsebina opombe
Note content is required,Vsebina opombe je obvezna
Note name is required,Ime opombe je obvezno
Note not found,Opomba ni najdena
Note Type,Vrsta opombe
Notes,Opombe
Notification,Obvestilo
Notification not found,Obvestilo ni najdeno
Notifications,Obvestila
Off Track,Izven načrta
Offer,Ponudba
Offer Prepared,Ponudba pripravljena
Oldest First,Najstarejši najprej
On Hold,Na čakanju
On Leave,Na dopustu
On Track,Po načrtu
On-Time Rate,Stopnja pravočasnosti
Only administrators can delete activities,Samo skrbniki lahko brišejo dejavnosti
Only the comment author or administrators can delete comments,Samo avtor komentarja ali skrbniki lahko brišejo komentarje
Only you and admins,Samo vi in skrbniki
Open,Odprto
Open in Desk,Odpri v Desk
Open Task Log,Odpri dnevnik naloge
Open Tasks,Odprte naloge
Optional,Izbirno
optional,izbirno
Or email us directly at,Ali nam pišite neposredno na
Orga Project {0} from Frappe Projects,Orga projekt {0} iz Frappe Projects
Orga Task {0} from Frappe,Orga naloga {0} iz Frappe
Organizer,Organizator
Other,Drugo
Over Budget,Presežen proračun
Overall Progress,Skupni napredek
Overall Utilization,Skupna zasedenost
Overallocated,Preveč dodeljeno
Overdue,Zamujeno
overdue,zamujeno
Overdue Tasks,Zamujene naloge
Overview,Pregled
Owner,Lastnik
Page Not Found,Stran ni najdena
Parent,Nadrejeni
Parent comment must belong to the same document,Nadrejeni komentar mora pripadati istemu dokumentu
Parent comment not found,Nadrejeni komentar ni najden
Parent project not synced to Frappe yet,Nadrejeni projekt še ni sinhroniziran s Frappe
Parent project sync not enabled,Sinhronizacija nadrejenega projekta ni omogočena
Partner,Partner
Pending,V čakanju
per page,na stran
Perform initial assessment and background check,Izvedite začetno oceno in preverjanje ozadja
Permanently remove this event,Trajno odstrani ta dogodek
Permanently remove this task,Trajno odstrani to nalogo
Phone,Telefon
Pin,Pripni
Pin Activity,Pripni dejavnost
Pin to top,Pripni na vrh
Pinned,Pripeto
Planned budget for this task,Načrtovani proračun za to nalogo
Planning,Načrtovanje
Please describe your question or issue in detail...,Podrobno opišite vaše vprašanje ali težavo...
Please login to access Orga,Za dostop do Orga se prijavite
Please login to access the client portal,Za dostop do portala za stranke se prijavite
Please respond to this invitation in Orga,Prosimo odgovorite na to povabilo v Orga
Please select an image file,Izberite slikovno datoteko
Please try again,Poskusite znova
Please type,Vnesite
Portal,Portal
Portal access revoked for {0},Dostop do portala preklican za {0}
Portal user created successfully. Welcome email {0},Uporabnik portala uspešno ustvarjen. Pozdravno e-poštno sporočilo {0}
Post,Objavi
Powered by,Poganja
Powered by Tonic,Poganja Tonic
Predecessors (Blocked By),Predhodniki (blokirano s strani)
Preferences,Nastavitve
Preferences saved successfully,Nastavitve uspešno shranjene
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Predpona za samodejno generirane projektne oznake (npr. ORG-2026-0001)
Prepare and document offer terms,Pripravite in dokumentirajte pogoje ponudbe
Press,Pritisnite
Preview,Predogled
Preview cascade before applying,Predogled kaskade pred uporabo
Previous,Prejšnji
Priority,Prioriteta
Priority assigned to new tasks,Prioriteta dodeljena novim nalogam
Priority updated,Prioriteta posodobljena
Proficiency,Usposobljenost
Profile,Profil
Progress,Napredek
Progress (High-Low),Napredek (padajoče)
Progress (Low-High),Napredek (naraščajoče)
Progress Overview,Pregled napredka
Progress updated,Napredek posodobljen
Project,Projekt
Project budget has been saved.,Proračun projekta je bil shranjen.
Project code (e.g. ORG-2026-0001),Oznaka projekta (npr. ORG-2026-0001)
Project Code Prefix,Predpona oznake projekta
Project created,Projekt ustvarjen
Project deleted,Projekt izbrisan
Project description has been saved.,Opis projekta je bil shranjen.
Project Details,Podrobnosti projekta
Project end date has been saved.,Datum konca projekta je bil shranjen.
Project Files,Projektne datoteke
Project has no linked client,Projekt nima povezane stranke
Project Health,Zdravje projekta
Project Info,Podatki o projektu
Project is required,Projekt je obvezen
Project is required for project context,Projekt je obvezen za kontekst projekta
Project is required when tracking context is 'project',"Projekt je obvezen, ko je kontekst sledenja »projekt«"
Project Manager,Vodja projekta
Project Name,Ime projekta
Project name and template name are required,Ime projekta in ime predloge sta obvezna
Project name is required,Ime projekta je obvezno
Project not found,Projekt ni najden
Project not found or you do not have access,Projekt ni najden ali nimate dostopa
Project settings,Nastavitve projekta
Project start date has been saved.,Datum začetka projekta je bil shranjen.
Project title has been saved.,Naslov projekta je bil shranjen.
Project Type,Vrsta projekta
Project updated,Projekt posodobljen
Project {0} linked to client {1},Projekt {0} povezan s stranko {1}
Project {0} not found,Projekt {0} ni najden
Project {0} to Frappe Projects,Projekt {0} v Frappe Projects
Project:,Projekt:
Projects,Projekti
projects,projekti
Projects created:,Ustvarjeni projekti:
Projects Overview,Pregled projektov
Projects skipped:,Preskočeni projekti:
Projects updated:,Posodobljeni projekti:
Promote failed,Povišanje ni uspelo
Promote to task,Povišaj v nalogo
Promoted to task,Povišano v nalogo
Propose,Predlagaj
Propose New Time,Predlagaj nov čas
Propose Time,Predlagaj čas
Proposed End,Predlagani konec
Proposed Start,Predlagani začetek
Public,Javno
Quick Action,Hiter ukrep
Quick Actions,Hitri ukrepi
Quick Stats,Hitra statistika
Rates,Postavke
Receive notifications via email,Prejemajte obvestila po e-pošti
Receive notifications within the application,Prejemajte obvestila znotraj aplikacije
Recent Activity,Nedavna dejavnost
Recipient {0} is not a valid user,Prejemnik {0} ni veljaven uporabnik
Reference,Referenca
Refresh,Osveži
Related,Povezano
Related Company (optional),Povezano podjetje (izbirno)
Related Documents,Povezani dokumenti
Related Project,Povezani projekt
Remaining,Preostalo
Reminder,Opomnik
Reminder Lead Time,Čas predhodnega opomnika
Reminder: {0} - {1} at {2},Opomnik: {0} - {1} ob {2}
Remove,Odstrani
Remove dependency,Odstrani odvisnost
Remove dependency on,Odstrani odvisnost od
Remove from group,Odstrani iz skupine
Remove group dependency,Odstrani odvisnost skupine
Remove skill,Odstrani veščino
Reopen,Ponovno odpri
Reopen thread,Ponovno odpri nit
reopened,ponovno odprto
replies,odgovori
Reply,Odgovori
reply,odgovor
Replying to,Odgovarjanje na
Replying to comment,Odgovarjanje na komentar
Report Defect,Prijavi napako
Reported Date,Datum prijave
Reports,Poročila
Reports To,Poroča
Request Submitted!,Zahteva poslana!
Required,Obvezno
required,obvezno
Research,Raziskava
Reset to Defaults,Ponastavi na privzeto
Resolve,Razreši
Resolve thread,Razreši nit
Resolved,Razrešeno
Resolved date cannot be before reported date,Datum razrešitve ne more biti pred datumom prijave
Resource,Vir
Resource and skill name are required,Vir in ime veščine sta obvezna
Resource is already an attendee,Vir je že udeleženec
Resource name is required,Ime vira je obvezno
Resource not found,Vir ni najden
Resource synced from employee {0},Vir sinhroniziran iz zaposlenega {0}
Resource {0} is already assigned to this task ({1}),Vir {0} je že dodeljen tej nalogi ({1})
Resource {0} not found,Vir {0} ni najden
Resources,Viri
Retry,Poskusi znova
Review,Pregled
Review all relevant documents and contracts,Preglejte vse ustrezne dokumente in pogodbe
Reviews,Pregledi
Risk Assessment,Ocena tveganja
Rollback,Razveljavi
Rolled back,Razveljavljeno
Room or address,Prostor ali naslov
RSVP,RSVP
Safety,Varnost
Sat,Sob
Save,Shrani
"Save a project as a template, or import one from a JSON file.",Shranite projekt kot predlogo ali uvozite eno iz JSON datoteke.
Save as Template,Shrani kot predlogo
Save Changes,Shrani spremembe
Save failed,Shranjevanje ni uspelo
Save Preferences,Shrani nastavitve
Save Template,Shrani predlogo
Saving...,Shranjevanje...
Schedule,Urnik
Schedule type is required for scheduled triggers,Vrsta urnika je obvezna za načrtovane sprožilce
Scheduled,Načrtovano
Search,Iskanje
"Search by name, email, or skill...","Iščite po imenu, e-pošti ali veščini..."
Search for a project...,Iščite projekt...
Search for a task...,Iščite nalogo...
Search for an event...,Iščite dogodek...
Search for people to invite...,Iščite osebe za povabilo...
Search tasks to link...,Iščite naloge za povezovanje...
Search tasks...,Iščite naloge...
Search...,Iskanje...
Searching...,Iskanje...
Seen,Videno
Select a project if your request is related to a specific project.,"Izberite projekt, če se vaša zahteva nanaša na določen projekt."
Select a project...,Izberite projekt...
Select a task from the Gantt chart to view and manage its details.,Izberite nalogo iz Gantt diagrama za ogled in upravljanje podrobnosti.
Select a task from the list or Kanban board to view and manage its details.,Izberite nalogo s seznama ali Kanban table za ogled in upravljanje podrobnosti.
Select a template...,Izberite predlogo...
Select priority...,Izberite prioriteto...
Select status...,Izberite stanje...
Select task...,Izberite nalogo...
Select type...,Izberite vrsto...
Selection,Izbor
Send,Pošlji
Send comment,Pošlji komentar
Send email invitations to attendees,Pošlji e-poštna povabila udeležencem
Send Invitations,Pošlji povabila
Send notification when a task is assigned to a user,Pošlji obvestilo ob dodelitvi naloge uporabniku
Send notification when task status changes,Pošlji obvestilo ob spremembi stanja naloge
Send reminder before task due date,Pošlji opomnik pred rokom naloge
sent,poslano
Set rate,Nastavi postavko
Settings,Nastavitve
Settings saved successfully,Nastavitve uspešno shranjene
Severity,Resnost
SF (Start-Finish),SF (začetek-konec)
SF - Start-to-Finish,SF - začetek-konec
Show,Prikaži
Show all,Prikaži vse
Show all changes,Prikaži vse spremembe
Show Archived,Prikaži arhivirane
Show full diff,Prikaži celotno razliko
Show less,Prikaži manj
Show more,Prikaži več
Skill added,Veščina dodana
Skill is required,Veščina je obvezna
Skill Name,Ime veščine
Skill removed,Veščina odstranjena
Skill {0} already exists for this resource,Veščina {0} že obstaja za ta vir
Skills,Veščine
Skills & Competencies,Veščine in sposobnosti
Skip already migrated projects,Preskoči že preseljene projekte
Sort by,Razvrsti po
Sort: Due Date,Razvrsti: rok
Sort: Priority,Razvrsti: prioriteta
Sort: Project,Razvrsti: projekt
Sort: Status,Razvrsti: stanje
Sort: Task,Razvrsti: naloga
Source Code,Izvorna koda
Spent,Porabljeno
Spent:,Porabljeno:
SS (Start-Start),SS (začetek-začetek)
SS - Start-to-Start,SS - začetek-začetek
Standalone,Samostojno
Start,Začetek
Start a discussion below,Začnite razpravo spodaj
Start Date,Datum začetka
Start date,Datum začetka
Start Date (Earliest),Datum začetka (najzgodnejši)
Start date updated,Datum začetka posodobljen
Start date/time is required,Datum/čas začetka je obvezen
Start Migration,Začni selitev
Start the conversation below.,Začnite pogovor spodaj.
Start Timer,Zaženi štoparico
Start typing to search...,Začnite tipkati za iskanje...
Start-to-Finish,Začetek-konec
Start-to-Start,Začetek-začetek
Start:,Začetek:
Statistics reset,Statistika ponastavljena
Status,Stanje
Status assigned to new projects,Stanje dodeljeno novim projektom
Status assigned to new tasks,Stanje dodeljeno novim nalogam
Status Changes,Spremembe stanja
Status updated,Stanje posodobljeno
Status:,Stanje:
Stop,Ustavi
Stop & Save,Ustavi in shrani
Stop Timer,Ustavi štoparico
Stops current timer and starts for this event,Ustavi trenutno štoparico in zažene za ta dogodek
Stops current timer and starts for this task,Ustavi trenutno štoparico in zažene za to nalogo
Subject,Zadeva
Subject cannot exceed 255 characters,Zadeva ne sme presegati 255 znakov
Subject is required,Zadeva je obvezna
Submit,Oddaj
Submit Another Request,Oddaj novo zahtevo
Submit Request,Oddaj zahtevo
Submitting...,Oddajanje...
Successfully saved,Uspešno shranjeno
Successors (Blocking),Nasledniki (blokirajo)
Sun,Ned
Supplier,Dobavitelj
Support,Podpora
Switch to this event,Preklopi na ta dogodek
Switch to this task,Preklopi na to nalogo
Sync direction is set to Frappe to Orga only,Smer sinhronizacije je nastavljena samo iz Frappe v Orga
Sync direction is set to Orga to Frappe only,Smer sinhronizacije je nastavljena samo iz Orga v Frappe
Sync not enabled for this project,Sinhronizacija za ta projekt ni omogočena
System,Sistem
Table,Tabela
Take ownership of this task,Prevzemi to nalogo
Target Date,Ciljni datum
Target End,Ciljni konec
Target Project,Ciljni projekt
Target user is required for '{0}' action,Ciljni uporabnik je obvezen za dejanje »{0}«
Task,Naloga
task,naloga
Task '{0}' is due on {1}.,Naloga »{0}« ima rok {1}.
Task and resource are required,Naloga in vir sta obvezna
Task Assignment,Dodelitev naloge
Task cannot be its own parent,Naloga ne more biti sama sebi nadrejena
Task cannot depend on itself,Naloga ne more biti odvisna od same sebe
Task cannot depend on the group it belongs to,Naloga ne more biti odvisna od skupine
Task created,Naloga ustvarjena
Task deleted,Naloga izbrisana
Task description has been saved.,Opis naloge je bil shranjen.
Task Details,Podrobnosti naloge
Task due in {0} days: {1},Rok naloge čez {0} dni: {1}
Task due today: {0},Rok naloge danes: {0}
Task due tomorrow: {0},Rok naloge jutri: {0}
Task duplicated,Naloga podvojena
Task Group,Skupina nalog
Task ID is required,ID naloge je obvezen
Task is blocked by incomplete dependencies,Naloga je blokirana zaradi nedokončanih odvisnosti
Task is cancelled,Naloga je preklicana
Task is completed,Naloga je dokončana
Task is no longer blocked by a group,Naloga ni več blokirana s strani skupine
Task is required for task context,Naloga je obvezna za kontekst naloge
Task is required when tracking context is 'task',"Naloga je obvezna, ko je kontekst sledenja »naloga«"
Task linked,Naloga povezana
Task moved,Naloga premaknjena
Task name,Ime naloge
Task name is required,Ime naloge je obvezno
Task removed from group,Naloga odstranjena iz skupine
Task Subject,Zadeva naloge
Task subject is required,Zadeva naloge je obvezna
Task Type,Vrsta naloge
Task unblocked: {0},Naloga odblokirana: {0}
Task unlinked,Naloga razpojena
Task updated,Naloga posodobljena
Task {0} not found,Naloga {0} ni najdena
Task {0} not in project {1},Naloga {0} ni v projektu {1}
Task {0} to Frappe,Naloga {0} v Frappe
Tasks,Naloge
tasks,naloge
Tasks and milestones will be created with dates relative to the project start date.,Naloge in mejniki bodo ustvarjeni z datumi relativnimi glede na datum začetka projekta.
Tasks assigned to you across all projects.,Naloge dodeljene vam v vseh projektih.
Tasks created:,Ustvarjene naloge:
Tasks from projects you manage.,Naloge iz projektov
Tasks updated:,Posodobljene naloge:
"Tasks, milestones, and dependencies have been created.","Naloge, mejniki in odvisnosti so bili ustvarjeni."
Tasks:,Naloge:
TBD,Se določi
Team,Ekipa
Team Members,Člani ekipe
Template,Predloga
Template applied,Predloga uporabljena
Template data is required in import data,Podatki predloge so obvezni v uvoznih podatkih
Template has no data,Predloga nima podatkov
Template Name,Ime predloge
Template name,Ime predloge
Template name is required,Ime predloge je obvezno
Template name is required in import data,Ime predloge je obvezno v uvoznih podatkih
Template saved,Predloga shranjena
Template updated successfully.,Predloga uspešno posodobljena.
Template {0} not found,Predloga {0} ni najdena
Templates,Predloge
Tentative,Okvirno
The comment has been deleted,Komentar je bil izbrisan
The project,Projekt
The source document may have been deleted.,Izvorni dokument je bil morda izbrisan.
The source document will not be affected.,Izvorni dokument ne bo prizadet.
The status of '{0}' was changed from {1} to {2}.,Stanje »{0}« je bilo spremenjeno iz {1} v {2}.
Theme,Tema
Theme preference,Nastavitev teme
This action,To dejanje
This action cannot be undone.,Tega dejanja ni mogoče razveljaviti.
This activity has been flagged for attention,Ta dejavnost je bila označena za pozornost
This is a reminder for your upcoming appointment,To je opomnik za vaš prihajajoči sestanek
This method is only meant for developer mode,Ta metoda je namenjena samo razvijalskemu načinu
This page wandered off,This page wandered off
This Week,Ta teden
This will delete all notes and preferences associated with this activity.,To bo izbrisalo vse opombe in nastavitve povezane s to dejavnostjo.
This will import all Frappe Projects into Orga. Continue?,To bo uvozilo vse Frappe projekte v Orga. Nadaljujete?
This will permanently delete,To bo trajno izbrisalo
This will permanently delete:,To bo trajno izbrisalo:
Thu,Čet
Time,Čas
Time & Billing,Čas in zaračunavanje
Time & Revenue,Čas in prihodki
Time Entries,Časovni vnosi
Time log name is required,Ime časovnega zapisa je obvezno
Time Log not found,Časovni zapis ni najden
Time log {0} not found,Časovni zapis {0} ni najden
Time Logs,Časovni zapisi
Time Summary,Časovni povzetek
Time Tracking,Sledenje časa
Timeline,Časovnica
Timer active on,Štoparica aktivna na
Timer is not running,Štoparica ne teče
Timer Running,Štoparica teče
Timer running,Štoparica teče
Timesheet DocType not available,Tip dokumenta Feuille de temps ni na voljo
Timesheets,Časovnice
Timezone,Časovni pas
Timezone is detected from your browser,Časovni pas je zaznan iz vašega brskalnika
Title,Naslov
Title cannot exceed 255 characters,Naslov ne sme presegati 255 znakov
Title is required,Naslov je obvezen
Title updated,Naslov posodobljen
To,Do
to,do
to cancel,za preklic
to close,za zapiranje
to confirm:,za potrditev:
to edit,za urejanje
"to save,","za shranjevanje,"
To Time cannot be before From Time,Čas konca ne more biti pred časom začetka
Today,Danes
today,danes
Toggle billable,Preklopi zaračunljivost
Toggle Details Panel,Preklopi panel podrobnosti
Toggle Manager Panel,Preklopi panel vodje
Toggle Sidebar,Preklopi stransko vrstico
Tomorrow,Jutri
tomorrow,jutri
Total,Skupaj
Total Budget,Skupni proračun
Total Contacts,Skupaj stikov
Total Cost,Skupni stroški
Total Cost to Org,Skupni stroški za organizacijo
Total Defect Cost,Skupni stroški napak
Total Hours,Skupaj ur
Total Hours Logged,Skupaj zabeleženih ur
Total Projects,Skupaj projektov
Total Spent,Skupaj porabljeno
Total Tasks,Skupaj nalog
Total:,Skupaj:
Tracked,Sledeno
trails to today while Open at 0%,"drsi do danes, medtem ko je odprto na 0%"
Tried:,Tried:
Try adjusting your filter criteria,Poskusite prilagoditi vaše kriterije filtrov
Try adjusting your filters.,Poskusite prilagoditi vaše filtre.
Try Again,Poskusite znova
Tue,Tor
Type,Vrsta
Type updated,Vrsta posodobljena
Type:,Vrsta:
Typical response time: 1-2 business days,Običajni odzivni čas: 1–2 delovna dneva
Unarchive,Odarhiviraj
Unarchive Activity,Odarhiviraj dejavnost
Unassign,Prekliči dodelitev
Unassigned,Nedodeljeno
Under Budget,Pod proračunom
Ungrouped,Nerazvrščeno
Unknown,Neznano
Unknown error,Neznana napaka
Unlink failed,Odpovezovanje ni uspelo
Unlink task from milestone,Odpoveži nalogo od mejnika
Unpin,Odpni
Unpin Activity,Odpni dejavnost
Unread,Neprebrano
Unread only,Samo neprebrano
Until,Do
Up to Date,Up to Date
Upcoming,Prihajajoče
upcoming,prihajajoče
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Posodobitev ni uspela
Updated,Posodobljeno
Updated successfully,Uspešno posodobljeno
Updates,Updates
Upload,Naloži
Upload failed,Nalaganje ni uspelo
Upload files below to attach them to this task.,Naložite datoteke spodaj za prilogo k tej nalogi.
Upload to project,Naloži v projekt
Uploading...,Nalaganje...
Urgent,Nujno
User {0} is already linked to client {1},Uporabnik {0} je že povezan s stranko {1}
User {0} is already linked to resource {1},Uporabnik {0} je že povezan z virom {1}
Utilization,Zasedenost
Valid,Veljavno
Value:,Vrednost:
Variance,Odstopanje
Variance:,Odstopanje:
