+ Add Milestone,+ মাইলস্টোন যোগ করুন
Enable Time Tracking,সময় ট্র্যাকিং সক্রিয় করুন
End,শেষ
End Date,শেষ তারিখ
End date,শেষ তারিখ
End Date cannot be before Start Date,শেষ তারিখ শুরুর তারিখের আগে হতে পারে না
End date cannot be before start date,শেষ তারিখ শুরুর তারিখের আগে হতে পারে না
End date updated,শেষ তারিখ আপডেট হয়েছে
End time was before start time. Adjusted to 1 hour after start.,শেষের সময় শুরুর সময়ের আগে ছিল। শুরুর ১ ঘণ্টা পরে সমন্বয় করা হয়েছে।
End:,শেষ:
Enter milestone name...,মাইলস্টোনের নাম লিখুন...
Enter project name,প্রকল্পের নাম লিখুন
Enter task title...,টাস্কের শিরোনাম লিখুন...
Enter template name,টেমপ্লেটের নাম লিখুন
Enter your note... Use @name to mention someone,আপনার নোট লিখুন... কাউকে উল্লেখ করতে @name ব্যবহার করুন
Error,ত্রুটি
Error loading activity,কার্যকলাপ লোড করতে ত্রুটি
Error loading contacts,পরিচিতি লোড করতে ত্রুটি
Error loading dashboard,ড্যাশবোর্ড লোড করতে ত্রুটি
Error loading project,প্রকল্প লোড করতে ত্রুটি
Error loading projects,প্রকল্প লোড করতে ত্রুটি
Error loading settings,সেটিংস লোড করতে ত্রুটি
Error loading tasks,টাস্ক লোড করতে ত্রুটি
Error loading templates,টেমপ্লেট লোড করতে ত্রুটি
Est. Hours,আনু. ঘণ্টা
Estimated,আনুমানিক
Estimated Cost,আনুমানিক খরচ
Estimated Cost (€),আনুমানিক খরচ (€)
Estimated Hours,আনুমানিক ঘণ্টা
Estimated:,আনুমানিক:
Evaluate potential risks and concerns,সম্ভাব্য ঝুঁকি ও উদ্বেগ মূল্যায়ন করুন
Event,ইভেন্ট
Event is required for event context,ইভেন্ট প্রসঙ্গের জন্য ইভেন্ট প্রয়োজন
Event is required when tracking context is 'event',ট্র্যাকিং প্রসঙ্গ 'event' হলে ইভেন্ট প্রয়োজন
Event Type,ইভেন্টের ধরন
Events,ইভেন্টসমূহ
Events not available. Please run: bench --site orga.localhost migrate,ইভেন্ট উপলব্ধ নয়। অনুগ্রহ করে চালান: bench --site orga.localhost migrate
Events:,ইভেন্ট:
Expert,বিশেষজ্ঞ
Explain why you are proposing a different time...,আপনি কেন ভিন্ন সময় প্রস্তাব করছেন তা ব্যাখ্যা করুন...
Export,রপ্তানি
Export failed,রপ্তানি ব্যর্থ
Export JSON,JSON রপ্তানি
Exported,রপ্তানি হয়েছে
Exported to timesheet {0},টাইমশিট {0}-এ রপ্তানি হয়েছে
External,বাহ্যিক
Failed to add item,আইটেম যোগ করতে ব্যর্থ
Failed to add note,নোট যোগ করতে ব্যর্থ
Failed to add skill,দক্ষতা যোগ করতে ব্যর্থ
Failed to apply cascade changes: {0},ক্যাসকেড পরিবর্তন প্রয়োগ করতে ব্যর্থ: {0}
Failed to create defect,ত্রুটি তৈরি করতে ব্যর্থ
Failed to create dependency,নির্ভরতা তৈরি করতে ব্যর্থ
Failed to create event,ইভেন্ট তৈরি করতে ব্যর্থ
Failed to create milestone,মাইলস্টোন তৈরি করতে ব্যর্থ
Failed to create project,প্রকল্প তৈরি করতে ব্যর্থ
Failed to create task,টাস্ক তৈরি করতে ব্যর্থ
Failed to create time log,টাইম লগ তৈরি করতে ব্যর্থ
Failed to delete,মুছতে ব্যর্থ
Failed to delete comment,মন্তব্য মুছতে ব্যর্থ
Failed to delete contact,পরিচিতি মুছতে ব্যর্থ
Failed to load,লোড করতে ব্যর্থ
Failed to load activity,কার্যকলাপ লোড করতে ব্যর্থ
Failed to load assignments,অ্যাসাইনমেন্ট লোড করতে ব্যর্থ
Failed to load contact,পরিচিতি লোড করতে ব্যর্থ
Failed to load dashboard data,ড্যাশবোর্ড ডেটা লোড করতে ব্যর্থ
Failed to load defects,ত্রুটি লোড করতে ব্যর্থ
Failed to load events,ইভেন্ট লোড করতে ব্যর্থ
Failed to load project,প্রকল্প লোড করতে ব্যর্থ
Failed to load projects,প্রকল্প লোড করতে ব্যর্থ
Failed to load report data,রিপোর্ট ডেটা লোড করতে ব্যর্থ
Failed to load settings,সেটিংস লোড করতে ব্যর্থ
Failed to load tasks,টাস্ক লোড করতে ব্যর্থ
Failed to move task,টাস্ক সরাতে ব্যর্থ
Failed to post comment,মন্তব্য পোস্ট করতে ব্যর্থ
Failed to propose new time,নতুন সময় প্রস্তাব করতে ব্যর্থ
Failed to remove item,আইটেম সরাতে ব্যর্থ
Failed to remove skill,দক্ষতা সরাতে ব্যর্থ
Failed to reorder milestones: {0},মাইলস্টোন পুনর্বিন্যাস করতে ব্যর্থ: {0}
Failed to reorder tasks: {0},টাস্ক পুনর্বিন্যাস করতে ব্যর্থ: {0}
Failed to reschedule dependent tasks: {0},নির্ভরশীল টাস্ক পুনঃনির্ধারণ করতে ব্যর্থ: {0}
Failed to save,সংরক্ষণ করতে ব্যর্থ
Failed to save preferences,পছন্দসমূহ সংরক্ষণ করতে ব্যর্থ
Failed to save settings,সেটিংস সংরক্ষণ করতে ব্যর্থ
Failed to submit request. Please try again.,অনুরোধ জমা দিতে ব্যর্থ। অনুগ্রহ করে আবার চেষ্টা করুন।
Failed to update item,আইটেম আপডেট করতে ব্যর্থ
Failed to update priority,অগ্রাধিকার আপডেট করতে ব্যর্থ
Failed to update task,টাস্ক আপডেট করতে ব্যর্থ
Failed to update tasks: {0},টাস্ক আপডেট করতে ব্যর্থ: {0}
Failed to upload avatar,অবতার আপলোড করতে ব্যর্থ
Feature,বৈশিষ্ট্য
Features,বৈশিষ্ট্যসমূহ
FF (Finish-Finish),FF (সমাপ্তি-সমাপ্তি)
FF - Finish-to-Finish,FF – সমাপ্তি-থেকে-সমাপ্তি
Field has been updated,ক্ষেত্র আপডেট হয়েছে
Field name is required for 'Set Field Value' action,'ক্ষেত্রের মান সেট করুন' অ্যাকশনের জন্য ক্ষেত্রের নাম প্রয়োজন
Field {0} is not a Link field,ক্ষেত্র {0} একটি লিংক ক্ষেত্র নয়
Field {0} not found in {1},ক্ষেত্র {0} {1}-এ পাওয়া যায়নি
file,ফাইল
File,ফাইল
File does not belong to this task,ফাইলটি এই টাস্কের অন্তর্ভুক্ত নয়
File name is required,ফাইলের নাম প্রয়োজন
File uploaded,ফাইল আপলোড হয়েছে
File {0} not found,ফাইল {0} পাওয়া যায়নি
files,ফাইল
Files,ফাইলসমূহ
Filter,ফিল্টার
Final Decision,চূড়ান্ত সিদ্ধান্ত
Finance,অর্থ
Financial,আর্থিক
Finish-to-Finish,সমাপ্তি-থেকে-সমাপ্তি
Finish-to-Start,সমাপ্তি-থেকে-শুরু
Flag,ফ্ল্যাগ
Flag for attention,মনোযোগের জন্য ফ্ল্যাগ করুন
Flagged,ফ্ল্যাগকৃত
Focus Panel,ফোকাস প্যানেল
Follows your system preference. Currently:,আপনার সিস্টেম পছন্দ অনুসরণ করে। বর্তমানে:
Frappe Project {0} not found,Frappe প্রকল্প {0} পাওয়া যায়নি
Frappe Projects Migration,Frappe Projects মাইগ্রেশন
Frappe Projects module not available,Frappe Projects মডিউল উপলব্ধ নয়
Frappe Projects module not installed,Frappe Projects মডিউল ইনস্টল করা নেই
Frappe Projects sync is not enabled,Frappe Projects সিঙ্ক সক্রিয় নয়
Frappe Task DocType not found,Frappe Task DocType পাওয়া যায়নি
Frappe Task has no project,Frappe টাস্কের কোনো প্রকল্প নেই
Frappe Task {0} not found,Frappe টাস্ক {0} পাওয়া যায়নি
Fri,শুক্র
From,থেকে
From Template,টেমপ্লেট থেকে
FS (Finish-Start),FS (সমাপ্তি-শুরু)
FS - Finish-to-Start (default),FS – সমাপ্তি-থেকে-শুরু (ডিফল্ট)
Full form view with audit trail,অডিট ট্রেইল সহ পূর্ণ ফর্ম ভিউ
Full name,পুরো নাম
Gantt,গ্যান্ট
Gantt Chart,গ্যান্ট চার্ট
Gantt View,গ্যান্ট ভিউ
General Note,সাধারণ নোট
Get started,শুরু করুন
Go back,পেছনে যান
Go Back,Go Back
Group by,গ্রুপ করুন
Group dependency removed,গ্রুপ নির্ভরতা সরানো হয়েছে
Group dependency set,গ্রুপ নির্ভরতা সেট হয়েছে
Group removed,গ্রুপ সরানো হয়েছে
Group updated,গ্রুপ আপডেট হয়েছে
Hammock task dates are auto-calculated and cannot be changed manually,হ্যামক টাস্কের তারিখ স্বয়ংক্রিয়ভাবে গণনা করা হয় এবং ম্যানুয়ালি পরিবর্তন করা যায় না
Have a question or need assistance? Fill out the form below and our team will get back to you.,কোনো প্রশ্ন আছে বা সাহায্য দরকার? নিচের ফর্মটি পূরণ করুন এবং আমাদের দল আপনার সাথে যোগাযোগ করবে।
Health,স্বাস্থ্য
Healthy,সুস্থ
Hello {0},হ্যালো {0}
Here's what's happening with your projects today.,আজ আপনার প্রকল্পে কী ঘটছে তা এখানে দেখুন।
Hide,লুকান
High,উচ্চ
History,ইতিহাস
Home,হোম
Hourly Cost,ঘণ্টাপ্রতি খরচ
Hours,ঘণ্টা
hours,ঘণ্টা
Hours Logged,রেকর্ডকৃত ঘণ্টা
ID,ID
Image must be smaller than 5 MB,ছবি ৫ MB-এর চেয়ে ছোট হতে হবে
Import,ইমপোর্ট
Import existing projects and tasks from Frappe Projects module,Frappe Projects মডিউল থেকে বিদ্যমান প্রকল্প ও টাস্ক ইমপোর্ট করুন
Import failed,ইমপোর্ট ব্যর্থ
Import Template,টেমপ্লেট ইমপোর্ট
Imported,ইমপোর্ট হয়েছে
in,এ
In Progress,চলমান
In Review,পর্যালোচনায়
In-app notifications,ইন-অ্যাপ বিজ্ঞপ্তি
Inactive,নিষ্ক্রিয়
Initial Review,প্রাথমিক পর্যালোচনা
Installed Version,Installed Version
Insufficient permissions to view all tasks,সব টাস্ক দেখার জন্য অপর্যাপ্ত অনুমতি
Intermediate,মধ্যবর্তী
Internal,অভ্যন্তরীণ
Invalid DocType,অবৈধ DocType
Invalid DocType for import,ইমপোর্টের জন্য অবৈধ DocType
Invalid item type: {0},অবৈধ আইটেম ধরন: {0}
Invalid JSON data,অবৈধ JSON ডেটা
Invalid note type. Must be one of: {0},অবৈধ নোটের ধরন। এর মধ্যে একটি হতে হবে: {0}
Invalid project reference,অবৈধ প্রকল্প রেফারেন্স
Invalid reaction type. Must be one of: {0},অবৈধ প্রতিক্রিয়ার ধরন। এর মধ্যে একটি হতে হবে: {0}
Invalid RSVP status,অবৈধ RSVP স্ট্যাটাস
Invalid status. Must be one of: {0},অবৈধ স্ট্যাটাস। এর মধ্যে একটি হতে হবে: {0}
Invalid status: {0},অবৈধ স্ট্যাটাস: {0}
Invalid status: {0}. Must be one of: {1},অবৈধ স্ট্যাটাস: {0}। এর মধ্যে একটি হতে হবে: {1}
Invalid tracking context: {0},অবৈধ ট্র্যাকিং প্রসঙ্গ: {0}
Invalid visibility. Must be one of: {0},অবৈধ দৃশ্যমানতা। এর মধ্যে একটি হতে হবে: {0}
Invitation: {0} - {1} at {2},আমন্ত্রণ: {0} - {1} সময় {2}
Invite People,লোকদের আমন্ত্রণ করুন
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,আইটেম যোগ হয়েছে
Item ID is required,আইটেম ID প্রয়োজন
Item removed,আইটেম সরানো হয়েছে
Item type is required,আইটেমের ধরন প্রয়োজন
Item {0} not found,আইটেম {0} পাওয়া যায়নি
Job title or role,পদবি বা ভূমিকা
Join Meeting,মিটিংয়ে যোগ দিন
Just now,এইমাত্র
just now,এইমাত্র
Kanban,কানবান
Kanban Board,কানবান বোর্ড
Kanban View,কানবান ভিউ
Keyboard Shortcuts,কীবোর্ড শর্টকাট
Keyboard shortcuts (?),কীবোর্ড শর্টকাট (?)
Last checked: {0},Last checked: {0}
Last Updated,সর্বশেষ আপডেট
Last updated:,সর্বশেষ আপডেট:
Last Week,গত সপ্তাহ
Latest Version,Latest Version
Light,হালকা
Link failed,লিংক ব্যর্থ
Link Task,টাস্ক লিংক করুন
Linked,সংযুক্ত
Linked employee not found,সংযুক্ত কর্মচারী পাওয়া যায়নি
Linked Tasks,সংযুক্ত টাস্ক
List,তালিকা
List View,তালিকা ভিউ
Load failed,লোড ব্যর্থ
Load More,আরও লোড করুন
Load more comments,আরও মন্তব্য লোড করুন
Loading activity...,কার্যকলাপ লোড হচ্ছে...
Loading changes...,পরিবর্তন লোড হচ্ছে...
Loading checklist...,চেকলিস্ট লোড হচ্ছে...
Loading comments...,মন্তব্য লোড হচ্ছে...
Loading contact...,পরিচিতি লোড হচ্ছে...
Loading contacts...,পরিচিতি লোড হচ্ছে...
Loading dependencies...,নির্ভরতা লোড হচ্ছে...
Loading details...,বিস্তারিত লোড হচ্ছে...
Loading discussion...,আলোচনা লোড হচ্ছে...
Loading events...,ইভেন্ট লোড হচ্ছে...
Loading files...,ফাইল লোড হচ্ছে...
Loading notes...,নোট লোড হচ্ছে...
Loading preferences...,পছন্দসমূহ লোড হচ্ছে...
Loading project...,প্রকল্প লোড হচ্ছে...
Loading projects...,প্রকল্প লোড হচ্ছে...
Loading replies...,উত্তর লোড হচ্ছে...
Loading report data...,রিপোর্ট ডেটা লোড হচ্ছে...
Loading settings...,সেটিংস লোড হচ্ছে...
Loading task...,টাস্ক লোড হচ্ছে...
Loading templates...,টেমপ্লেট লোড হচ্ছে...
Loading time logs...,টাইম লগ লোড হচ্ছে...
Loading your portal...,আপনার পোর্টাল লোড হচ্ছে...
Loading...,লোড হচ্ছে...
Location,অবস্থান
Log Time,সময় রেকর্ড করুন
Logout,লগআউট
Low,নিম্ন
Make Offer,অফার দিন
Manager,ম্যানেজার
Manual Entry,ম্যানুয়াল এন্ট্রি
Margin,মার্জিন
Mark all as read,সব পঠিত হিসেবে চিহ্নিত করুন
Mark all read,সব পঠিত চিহ্নিত করুন
Mark as read,পঠিত হিসেবে চিহ্নিত করুন
Mark as unread,অপঠিত হিসেবে চিহ্নিত করুন
Mark read,পঠিত চিহ্নিত করুন
Marking...,চিহ্নিত করা হচ্ছে...
Material,উপকরণ
Maybe,হয়তো
Medium,মাঝারি
Meeting,মিটিং
Meeting Link,মিটিং লিংক
Meeting title,মিটিংয়ের শিরোনাম
Meeting URL,মিটিং URL
Meetings,মিটিংসমূহ
Mention,উল্লেখ
Message,বার্তা
Message is required,বার্তা প্রয়োজন
Message is required for '{0}' action,'{0}' অ্যাকশনের জন্য বার্তা প্রয়োজন
Migrate,মাইগ্রেট
Migration Complete,মাইগ্রেশন সম্পন্ন
Migration ID:,মাইগ্রেশন ID:
Migration log not found: {0},মাইগ্রেশন লগ পাওয়া যায়নি: {0}
milestone,মাইলস্টোন
Milestone,মাইলস্টোন
Milestone created,মাইলস্টোন তৈরি হয়েছে
Milestone description has been saved.,মাইলস্টোনের বিবরণ সংরক্ষিত হয়েছে।
Milestone ID is required,মাইলস্টোন ID প্রয়োজন
Milestone marked as Missed (past due date),মাইলস্টোন মিসড হিসেবে চিহ্নিত (শেষ তারিখ পেরিয়ে গেছে)
Milestone moved,মাইলস্টোন সরানো হয়েছে
Milestone Name,মাইলস্টোনের নাম
Milestone name has been saved.,মাইলস্টোনের নাম সংরক্ষিত হয়েছে।
Milestone name is required,মাইলস্টোনের নাম প্রয়োজন
Milestone updated,মাইলস্টোন আপডেট হয়েছে
Milestone {0} not found,মাইলস্টোন {0} পাওয়া যায়নি
Milestone {0} not in project {1},মাইলস্টোন {0} প্রকল্প {1}-এ নেই
milestones,মাইলস্টোন
Milestones,মাইলস্টোনসমূহ
Milestones:,মাইলস্টোন:
Minutes,মিনিট
Missed,মিসড
Mixed,মিশ্র
Mobile,মোবাইল
Moderate,মাঝারি
Modified,পরিবর্তিত
"Modify details, time, or attendees","বিস্তারিত, সময়, বা অংশগ্রহণকারী পরিবর্তন করুন"
Mon,সোম
Month,মাস
Move failed,সরাতে ব্যর্থ
Must be a positive number,একটি ধনাত্মক সংখ্যা হতে হবে
Must finish before this finishes,এটি শেষ হওয়ার আগে শেষ হতে হবে
Must finish before this starts,এটি শুরু হওয়ার আগে শেষ হতে হবে
Must start before this finishes,এটি শেষ হওয়ার আগে শুরু হতে হবে
Must start before this starts,এটি শুরু হওয়ার আগে শুরু হতে হবে
My Assignments,আমার অ্যাসাইনমেন্ট
My Projects,আমার প্রকল্প
My Schedule,আমার সময়সূচি
My Tasks,আমার টাস্ক
N/A,প্রযোজ্য নয়
Name,নাম
Name (A-Z),নাম (A-Z)
Name (Z-A),নাম (Z-A)
Name cannot exceed 255 characters,নাম ২৫৫ অক্ষরের বেশি হতে পারে না
Need help?,সাহায্য দরকার?
Needs Attention,মনোযোগ প্রয়োজন
Never,Never
new activities,নতুন কার্যকলাপ
New Activity,নতুন কার্যকলাপ
New activity,নতুন কার্যকলাপ
New Event,নতুন ইভেন্ট
New index is required,নতুন ইনডেক্স প্রয়োজন
New Project,নতুন প্রকল্প
New tasks will auto-trail by default.,নতুন টাস্ক ডিফল্টভাবে স্বয়ংক্রিয়ভাবে ট্রেইল করবে।
Newest First,নতুনগুলো আগে
Next,পরবর্তী
Next 14 days,পরবর্তী ১৪ দিন
Next 30 days,পরবর্তী ৩০ দিন
Next 60 days,পরবর্তী ৬০ দিন
Next 7 days,পরবর্তী ৭ দিন
Next 90 days,পরবর্তী ৯০ দিন
Next Week,আগামী সপ্তাহ
Next:,পরবর্তী:
No,না
No active assignments,কোনো সক্রিয় অ্যাসাইনমেন্ট নেই
No active projects,কোনো সক্রিয় প্রকল্প নেই
No active timer found,কোনো সক্রিয় টাইমার পাওয়া যায়নি
No activity selected,কোনো কার্যকলাপ নির্বাচিত নয়
No assignments found,কোনো অ্যাসাইনমেন্ট পাওয়া যায়নি
No attendees,কোনো অংশগ্রহণকারী নেই
no change,কোনো পরিবর্তন নেই
No changes for this field.,এই ক্ষেত্রে কোনো পরিবর্তন নেই।
No changes recorded for this activity.,এই কার্যকলাপের জন্য কোনো পরিবর্তন রেকর্ড করা হয়নি।
No checklist items yet,এখনো কোনো চেকলিস্ট আইটেম নেই
No checklist items yet.,এখনো কোনো চেকলিস্ট আইটেম নেই।
No comments yet,এখনো কোনো মন্তব্য নেই
No comments yet.,এখনো কোনো মন্তব্য নেই।
No contacts available,কোনো পরিচিতি উপলব্ধ নেই
No content for this tab,এই ট্যাবে কোনো বিষয়বস্তু নেই
No data available,কোনো ডেটা উপলব্ধ নেই
No data available for the selected filters,নির্বাচিত ফিল্টারের জন্য কোনো ডেটা উপলব্ধ নেই
No data to export,রপ্তানি করার কোনো ডেটা নেই
No dates set,কোনো তারিখ সেট নেই
No defects reported,কোনো ত্রুটি রিপোর্ট করা হয়নি
No dependencies defined,কোনো নির্ভরতা সংজ্ঞায়িত নেই
No description,কোনো বিবরণ নেই
No discussion yet.,এখনো কোনো আলোচনা নেই।
No documents attached,কোনো ডকুমেন্ট সংযুক্ত নেই
No due date,কোনো শেষ তারিখ নেই
No employee linked to this resource,এই রিসোর্সের সাথে কোনো কর্মচারী সংযুক্ত নেই
No ERPNext employee linked to resource,রিসোর্সের সাথে কোনো ERPNext কর্মচারী সংযুক্ত নেই
No events found,কোনো ইভেন্ট পাওয়া যায়নি
No files attached yet.,এখনো কোনো ফাইল সংযুক্ত করা হয়নি।
No Frappe Project linked,কোনো Frappe প্রকল্প সংযুক্ত নেই
No Grouping,কোনো গ্রুপিং নেই
No items,কোনো আইটেম নেই
No matching tasks,কোনো মিলে যাওয়া টাস্ক নেই
No matching tasks found,কোনো মিলে যাওয়া টাস্ক পাওয়া যায়নি
No migration history,কোনো মাইগ্রেশন ইতিহাস নেই
No Milestone,কোনো মাইলস্টোন নেই
No milestones,কোনো মাইলস্টোন নেই
No milestones defined for this project.,এই প্রকল্পের জন্য কোনো মাইলস্টোন সংজ্ঞায়িত নেই।
No notes yet.,এখনো কোনো নোট নেই।
No notes yet. Add a due diligence note to track progress.,এখনো কোনো নোট নেই। অগ্রগতি ট্র্যাক করতে একটি যথাযথ পরীক্ষার নোট যোগ করুন।
No notifications,কোনো বিজ্ঞপ্তি নেই
No Orga Project linked to Frappe Project {0},Frappe প্রকল্প {0}-এর সাথে কোনো Orga প্রকল্প সংযুক্ত নেই
No overdue tasks,কোনো মেয়াদোত্তীর্ণ টাস্ক নেই
No pending cascade changes,কোনো মুলতুবি ক্যাসকেড পরিবর্তন নেই
No predecessors - this task can start independently,কোনো পূর্বসূরি নেই - এই টাস্ক স্বাধীনভাবে শুরু হতে পারে
No project,কোনো প্রকল্প নেই
No projects found,কোনো প্রকল্প পাওয়া যায়নি
No Projects Yet,এখনো কোনো প্রকল্প নেই
No recent activity,কোনো সাম্প্রতিক কার্যকলাপ নেই
No related documents,কোনো সম্পর্কিত ডকুমেন্ট নেই
No resolved threads.,কোনো সমাধানকৃত থ্রেড নেই।
No resources found,কোনো রিসোর্স পাওয়া যায়নি
No results found,কোনো ফলাফল পাওয়া যায়নি
No skills listed,কোনো দক্ষতা তালিকাভুক্ত নেই
No skills recorded yet,এখনো কোনো দক্ষতা রেকর্ড করা হয়নি
No successors - no tasks are waiting for this one,কোনো উত্তরসূরি নেই - কোনো টাস্ক এটির জন্য অপেক্ষা করছে না
No task selected,কোনো টাস্ক নির্বাচিত নয়
No tasks assigned to you,আপনাকে কোনো টাস্ক অ্যাসাইন করা হয়নি
No tasks available to add,যোগ করার জন্য কোনো টাস্ক উপলব্ধ নেই
No tasks found,কোনো টাস্ক পাওয়া যায়নি
No tasks linked to this milestone,এই মাইলস্টোনের সাথে কোনো টাস্ক সংযুক্ত নেই
No tasks with dates to display,প্রদর্শনের জন্য তারিখ সহ কোনো টাস্ক নেই
No tasks yet,এখনো কোনো টাস্ক নেই
No team members,কোনো দলের সদস্য নেই
No template,কোনো টেমপ্লেট নেই
No templates yet,এখনো কোনো টেমপ্লেট নেই
No time data found,কোনো সময়ের ডেটা পাওয়া যায়নি
No time logged today,আজ কোনো সময় রেকর্ড করা হয়নি
No time logged yet,এখনো কোনো সময় রেকর্ড করা হয়নি
No time logs for this period,এই সময়কালের জন্য কোনো টাইম লগ নেই
No time logs found,কোনো টাইম লগ পাওয়া যায়নি
No unread notifications,কোনো অপঠিত বিজ্ঞপ্তি নেই
No update information available yet.,No update information available yet.
None,কিছুই নয়
Not found,পাওয়া যায়নি
Not permitted,অনুমতি নেই
Not permitted to access this project,এই প্রকল্পে অ্যাক্সেসের অনুমতি নেই
Not permitted to access this task,এই টাস্কে অ্যাক্সেসের অনুমতি নেই
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,এই ডকুমেন্টে মন্তব্য করার অনুমতি নেই
Not permitted to create clients,ক্লায়েন্ট তৈরির অনুমতি নেই
Not permitted to delete this client,এই ক্লায়েন্ট মুছে ফেলার অনুমতি নেই
Not permitted to delete this defect,এই ত্রুটি মুছে ফেলার অনুমতি নেই
Not permitted to delete this note,এই নোট মুছে ফেলার অনুমতি নেই
Not permitted to delete this project,এই প্রকল্প মুছে ফেলার অনুমতি নেই
Not permitted to delete this task,এই টাস্ক মুছে ফেলার অনুমতি নেই
Not permitted to delete this time log,এই টাইম লগ মুছে ফেলার অনুমতি নেই
Not permitted to invite clients,ক্লায়েন্ট আমন্ত্রণের অনুমতি নেই
Not permitted to modify client access,ক্লায়েন্ট অ্যাক্সেস পরিবর্তনের অনুমতি নেই
Not permitted to modify this project,এই প্রকল্প পরিবর্তনের অনুমতি নেই
Not permitted to update settings,সেটিংস আপডেটের অনুমতি নেই
Not permitted to update this client,এই ক্লায়েন্ট আপডেটের অনুমতি নেই
Not permitted to view this client,এই ক্লায়েন্ট দেখার অনুমতি নেই
not sent,পাঠানো হয়নি
Not set,সেট করা হয়নি
Not specified,নির্দিষ্ট করা হয়নি
Note,নোট
Note (optional),নোট (ঐচ্ছিক)
Note Content,নোটের বিষয়বস্তু
Note content is required,নোটের বিষয়বস্তু প্রয়োজন
Note name is required,নোটের নাম প্রয়োজন
Note not found,নোট পাওয়া যায়নি
Note Type,নোটের ধরন
Notes,নোটসমূহ
Notification,বিজ্ঞপ্তি
Notification not found,বিজ্ঞপ্তি পাওয়া যায়নি
Notifications,বিজ্ঞপ্তিসমূহ
Off Track,পথভ্রষ্ট
Offer,অফার
Offer Prepared,অফার প্রস্তুত
Oldest First,পুরানোগুলো আগে
On Hold,স্থগিত
On Leave,ছুটিতে
On Track,সঠিক পথে
On-Time Rate,সময়মতো হার
Only administrators can delete activities,শুধুমাত্র প্রশাসকরা কার্যকলাপ মুছতে পারেন
Only the comment author or administrators can delete comments,শুধুমাত্র মন্তব্যকারী বা প্রশাসকরা মন্তব্য মুছতে পারেন
Only you and admins,শুধুমাত্র আপনি এবং প্রশাসকরা
Open,খোলা
Open in Desk,ডেস্কে খুলুন
Open Task Log,টাস্ক লগ খুলুন
Open Tasks,খোলা টাস্ক
Optional,ঐচ্ছিক
optional,ঐচ্ছিক
Or email us directly at,অথবা সরাসরি আমাদের ইমেইল করুন
Orga Project {0} from Frappe Projects,Frappe Projects থেকে Orga প্রকল্প {0}
Orga Task {0} from Frappe,Frappe থেকে Orga টাস্ক {0}
Organizer,আয়োজক
Other,অন্যান্য
Over Budget,বাজেট অতিক্রম
Overall Progress,সামগ্রিক অগ্রগতি
Overall Utilization,সামগ্রিক ব্যবহার
Overallocated,অতিরিক্ত বরাদ্দ
Overdue,মেয়াদোত্তীর্ণ
overdue,মেয়াদোত্তীর্ণ
Overdue Tasks,মেয়াদোত্তীর্ণ টাস্ক
Overview,সারসংক্ষেপ
Owner,মালিক
Page Not Found,পৃষ্ঠা পাওয়া যায়নি
Parent,প্যারেন্ট
Parent comment must belong to the same document,প্যারেন্ট মন্তব্য একই ডকুমেন্টের হতে হবে
Parent comment not found,প্যারেন্ট মন্তব্য পাওয়া যায়নি
Parent project not synced to Frappe yet,প্যারেন্ট প্রকল্প এখনো Frappe-এ সিঙ্ক হয়নি
Parent project sync not enabled,প্যারেন্ট প্রকল্প সিঙ্ক সক্রিয় নয়
Partner,অংশীদার
Pending,মুলতুবি
per page,প্রতি পৃষ্ঠা
Perform initial assessment and background check,প্রাথমিক মূল্যায়ন ও পটভূমি পরীক্ষা করুন
Permanently remove this event,এই ইভেন্ট স্থায়ীভাবে সরান
Permanently remove this task,এই টাস্ক স্থায়ীভাবে সরান
Phone,ফোন
Pin,পিন
Pin Activity,কার্যকলাপ পিন করুন
Pin to top,উপরে পিন করুন
Pinned,পিনকৃত
Planned budget for this task,এই টাস্কের জন্য পরিকল্পিত বাজেট
Planning,পরিকল্পনা
Please describe your question or issue in detail...,অনুগ্রহ করে আপনার প্রশ্ন বা সমস্যা বিস্তারিতভাবে বর্ণনা করুন...
Please login to access Orga,Orga অ্যাক্সেস করতে অনুগ্রহ করে লগইন করুন
Please login to access the client portal,ক্লায়েন্ট পোর্টাল অ্যাক্সেস করতে অনুগ্রহ করে লগইন করুন
Please respond to this invitation in Orga,অনুগ্রহ করে Orga-তে এই আমন্ত্রণে সাড়া দিন
Please select an image file,অনুগ্রহ করে একটি ছবি ফাইল নির্বাচন করুন
Please try again,অনুগ্রহ করে আবার চেষ্টা করুন
Please type,অনুগ্রহ করে টাইপ করুন
Portal,পোর্টাল
Portal access revoked for {0},{0}-এর জন্য পোর্টাল অ্যাক্সেস বাতিল করা হয়েছে
Portal user created successfully. Welcome email {0},পোর্টাল ব্যবহারকারী সফলভাবে তৈরি হয়েছে। স্বাগত ইমেইল {0}
Post,পোস্ট করুন
Powered by,চালিত
Powered by Tonic,Tonic দ্বারা চালিত
Predecessors (Blocked By),পূর্বসূরি (যার দ্বারা ব্লকড)
Preferences,পছন্দসমূহ
