+ Add Milestone,+ Meilenstein hinzufügen
Group dependency set,Gruppenabhängigkeit gesetzt
Group removed,Gruppe entfernt
Group updated,Gruppe aktualisiert
Hammock task dates are auto-calculated and cannot be changed manually,Hängematte-Aufgabendaten werden automatisch berechnet und können nicht manuell geändert werden
Have a question or need assistance? Fill out the form below and our team will get back to you.,"Haben Sie eine Frage oder benötigen Sie Hilfe? Füllen Sie das folgende Formular aus, und unser Team wird sich bei Ihnen melden."
Health,Zustand
Healthy,Gesund
Hello {0},Hallo {0}
Here's what's happening with your projects today.,"Hier ist, was heute bei Ihren Projekten passiert."
Hide,Ausblenden
High,Hoch
History,Verlauf
Home,Startseite
Hourly Cost,Stundensatz
Hours,Stunden
hours,Stunden
Hours Logged,Erfasste Stunden
ID,ID
Image must be smaller than 5 MB,Bild muss kleiner als 5 MB sein
Import,Importieren
Import existing projects and tasks from Frappe Projects module,Bestehende Projekte und Aufgaben aus dem Frappe Projects-Modul importieren
Import failed,Import fehlgeschlagen
Import Template,Vorlage importieren
Imported,Importiert
in,in
In Progress,In Bearbeitung
In Review,In Überprüfung
In-app notifications,In-App-Benachrichtigungen
Inactive,Inaktiv
Initial Review,Erstprüfung
Installed Version,Installierte Version
Insufficient permissions to view all tasks,Unzureichende Berechtigungen um alle Aufgaben anzuzeigen
Intermediate,Fortgeschritten
Internal,Intern
Invalid DocType,Ungültiger DocType
Invalid DocType for import,Ungültiger DocType für Import
Invalid item type: {0},Ungültiger Elementtyp: {0}
Invalid JSON data,Ungültige JSON-Daten
Invalid note type. Must be one of: {0},Ungültiger Notiztyp. Muss einer der folgenden sein: {0}
Invalid project reference,Ungültige Projektreferenz
Invalid reaction type. Must be one of: {0},Ungültiger Reaktionstyp. Muss einer der folgenden sein: {0}
Invalid RSVP status,Ungültiger RSVP-Status
Invalid status. Must be one of: {0},Ungültiger Status. Muss einer der folgenden sein: {0}
Invalid status: {0},Ungültiger Status: {0}
Invalid status: {0}. Must be one of: {1},Ungültiger Status: {0}. Muss einer der folgenden sein: {1}
Invalid tracking context: {0},Ungültiger Erfassungskontext: {0}
Invalid visibility. Must be one of: {0},Ungültige Sichtbarkeit. Muss einer der folgenden sein: {0}
Invitation: {0} - {1} at {2},Einladung: {0} - {1} um {2}
Invite People,Personen einladen
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","Es liegt nicht an Ihnen, es liegt am Link. Die Seite, die Sie suchen, wurde möglicherweise verschoben, umbenannt oder macht eine wohlverdiente Kaffeepause. Ihre Projekte und Daten sind vollkommen sicher."
Item added,Element hinzugefügt
Item ID is required,Element-ID ist erforderlich
Item removed,Element entfernt
Item type is required,Elementtyp ist erforderlich
Item {0} not found,Element {0} nicht gefunden
Job title or role,Jobtitel oder Rolle
Join Meeting,Besprechung beitreten
Just now,Gerade eben
just now,gerade eben
Kanban,Kanban
Kanban Board,Kanban-Board
Kanban View,Kanban-Ansicht
Keyboard Shortcuts,Tastaturkürzel
Keyboard shortcuts (?),Tastaturkürzel (?)
Last checked: {0},Zuletzt geprüft: {0}
Last Updated,Zuletzt aktualisiert
Last updated:,Zuletzt aktualisiert:
Last Week,Letzte Woche
Latest Version,Neueste Version
Light,Hell
Link failed,Verknüpfung fehlgeschlagen
Link Task,Aufgabe verknüpfen
Linked,Verknüpft
Linked employee not found,Verknüpfter Mitarbeiter nicht gefunden
Linked Tasks,Verknüpfte Aufgaben
List,Liste
List View,Listenansicht
Load failed,Laden fehlgeschlagen
Load More,Mehr laden
Load more comments,Weitere Kommentare laden
Loading activity...,Aktivität wird geladen...
Loading changes...,Änderungen werden geladen...
Loading checklist...,Checkliste wird geladen...
Loading comments...,Kommentare werden geladen...
Loading contact...,Kontakt wird geladen...
Loading contacts...,Kontakte werden geladen...
Loading dependencies...,Abhängigkeiten werden geladen...
Loading details...,Details werden geladen...
Loading discussion...,Diskussion wird geladen...
Loading events...,Termine werden geladen...
Loading files...,Dateien werden geladen...
Loading notes...,Notizen werden geladen...
Loading preferences...,Einstellungen werden geladen...
Loading project...,Projekt wird geladen...
Loading projects...,Projekte werden geladen...
Loading replies...,Antworten werden geladen...
Loading report data...,Berichtsdaten werden geladen...
Loading settings...,Einstellungen werden geladen...
Loading task...,Aufgabe wird geladen...
Loading templates...,Vorlagen werden geladen...
Loading time logs...,Zeiteinträge werden geladen...
Loading your portal...,Ihr Portal wird geladen...
Loading...,Wird geladen...
Location,Ort
Log Time,Zeit erfassen
Logout,Abmelden
Low,Niedrig
Make Offer,Angebot erstellen
Manager,Manager
Manual Entry,Manueller Eintrag
Margin,Marge
Mark all as read,Alle als gelesen markieren
Mark all read,Alle als gelesen markieren
Mark as read,Als gelesen markieren
Mark as unread,Als ungelesen markieren
Mark read,Als gelesen markieren
Marking...,Wird markiert...
Material,Material
Maybe,Vielleicht
Medium,Mittel
Meeting,Besprechung
Meeting Link,Besprechungslink
Meeting title,Besprechungstitel
Meeting URL,Besprechungs-URL
Meetings,Besprechungen
Mention,Erwähnen
Message,Nachricht
Message is required,Nachricht ist erforderlich
Message is required for '{0}' action,Nachricht ist für die Aktion '{0}' erforderlich
Migrate,Migrieren
Migration Complete,Migration abgeschlossen
Migration ID:,Migrations-ID:
Migration log not found: {0},Migrationsprotokoll nicht gefunden: {0}
Milestone,Meilenstein
milestone,Meilenstein
Milestone created,Meilenstein erstellt
Milestone description has been saved.,Meilensteinbeschreibung wurde gespeichert.
Milestone ID is required,Meilenstein-ID ist erforderlich
Milestone marked as Missed (past due date),Meilenstein als verpasst markiert (Fälligkeitsdatum überschritten)
Milestone moved,Meilenstein verschoben
Milestone Name,Meilensteinname
Milestone name has been saved.,Meilensteinname wurde gespeichert.
Milestone name is required,Meilensteinname ist erforderlich
Milestone updated,Meilenstein aktualisiert
Milestone {0} not found,Meilenstein {0} nicht gefunden
Milestone {0} not in project {1},Meilenstein {0} nicht in Projekt {1}
Milestones,Meilensteine
milestones,Meilensteine
Milestones:,Meilensteine:
Minutes,Minuten
Missed,Verpasst
Mixed,Gemischt
Mobile,Mobil
Moderate,Mäßig
Modified,Geändert
"Modify details, time, or attendees","Details, Zeit oder Teilnehmer ändern"
Mon,Mo
Month,Monat
Move failed,Verschieben fehlgeschlagen
Must be a positive number,Muss eine positive Zahl sein
Must finish before this finishes,"Muss beendet werden, bevor dieses endet"
Must finish before this starts,"Muss beendet werden, bevor dieses beginnt"
Must start before this finishes,"Muss beginnen, bevor dieses endet"
Must start before this starts,"Muss beginnen, bevor dieses beginnt"
My Assignments,Meine Zuweisungen
My Projects,Meine Projekte
My Schedule,Mein Terminplan
My Tasks,Meine Aufgaben
N/A,k. A.
Name,Name
Name (A-Z),Name (A-Z)
Name (Z-A),Name (Z-A)
Name cannot exceed 255 characters,Name darf 255 Zeichen nicht überschreiten
Need help?,Brauchen Sie Hilfe?
Needs Attention,Erfordert Aufmerksamkeit
Never,Nie
new activities,neue Aktivitäten
New Activity,Neue Aktivität
New activity,Neue Aktivität
New Event,Neuer Termin
New index is required,Neuer Index erforderlich
New Project,Neues Projekt
New tasks will auto-trail by default.,Neue Aufgaben werden standardmäßig automatisch nachlaufen.
Newest First,Neueste zuerst
Next,Weiter
Next 14 days,Nächste 14 Tage
Next 30 days,Nächste 30 Tage
Next 60 days,Nächste 60 Tage
Next 7 days,Nächste 7 Tage
Next 90 days,Nächste 90 Tage
Next Week,Nächste Woche
Next:,Weiter:
No,Nein
No active assignments,Keine aktiven Zuweisungen
No active projects,Keine aktiven Projekte
No active timer found,Kein aktiver Timer gefunden
No activity selected,Keine Aktivität ausgewählt
No assignments found,Keine Zuweisungen gefunden
No attendees,Keine Teilnehmer
no change,keine Änderung
No changes for this field.,Keine Änderungen für dieses Feld.
No changes recorded for this activity.,Keine Änderungen für diese Aktivität aufgezeichnet.
No checklist items yet,Noch keine Checklistenelemente
No checklist items yet.,Noch keine Checklistenelemente.
No comments yet,Noch keine Kommentare
No comments yet.,Noch keine Kommentare.
No contacts available,Keine Kontakte verfügbar
No content for this tab,Kein Inhalt für diesen Tab
No data available,Keine Daten verfügbar
No data available for the selected filters,Keine Daten für die ausgewählten Filter verfügbar
No data to export,Keine Daten zum Exportieren
No dates set,Keine Daten gesetzt
No defects reported,Keine Mängel gemeldet
No dependencies defined,Keine Abhängigkeiten definiert
No description,Keine Beschreibung
No discussion yet.,Noch keine Diskussion.
No documents attached,Keine Dokumente angehängt
No due date,Kein Fälligkeitsdatum
No employee linked to this resource,Kein Mitarbeiter mit dieser Ressource verknüpft
No ERPNext employee linked to resource,Kein ERPNext-Mitarbeiter mit Ressource verknüpft
No events found,Keine Termine gefunden
No files attached yet.,Noch keine Dateien angehängt.
No Frappe Project linked,Kein Frappe-Projekt verknüpft
No Grouping,Keine Gruppierung
No items,Keine Einträge
No matching tasks,Keine passenden Aufgaben
No matching tasks found,Keine passenden Aufgaben gefunden
No migration history,Kein Migrationsverlauf
No Milestone,Kein Meilenstein
No milestones,Keine Meilensteine
No milestones defined for this project.,Keine Meilensteine für dieses Projekt definiert.
No notes yet.,Noch keine Notizen.
No notes yet. Add a due diligence note to track progress.,"Noch keine Notizen. Fügen Sie eine Sorgfaltspflicht-Notiz hinzu, um den Fortschritt zu verfolgen."
No notifications,Keine Benachrichtigungen
No Orga Project linked to Frappe Project {0},Kein Orga-Projekt mit Frappe-Projekt {0} verknüpft
No overdue tasks,Keine überfälligen Aufgaben
No pending cascade changes,Keine ausstehenden Kaskadenänderungen
No predecessors - this task can start independently,Keine Vorgänger – diese Aufgabe kann unabhängig begonnen werden
No project,Kein Projekt
No projects found,Keine Projekte gefunden
No Projects Yet,Noch keine Projekte
No recent activity,Keine aktuelle Aktivität
No related documents,Keine zugehörigen Dokumente
No resolved threads.,Keine gelösten Themen.
No resources found,Keine Ressourcen gefunden
No results found,Keine Ergebnisse gefunden
No skills listed,Keine Fähigkeiten aufgeführt
No skills recorded yet,Noch keine Fähigkeiten erfasst
No successors - no tasks are waiting for this one,Keine Nachfolger – keine Aufgaben warten auf diese
No task selected,Keine Aufgabe ausgewählt
No tasks assigned to you,Keine Aufgaben an Sie zugewiesen
No tasks available to add,Keine Aufgaben zum Hinzufügen verfügbar
No tasks found,Keine Aufgaben gefunden
No tasks linked to this milestone,Keine Aufgaben mit diesem Meilenstein verknüpft
No tasks with dates to display,Keine Aufgaben mit Daten zum Anzeigen
No tasks yet,Noch keine Aufgaben
No team members,Keine Teammitglieder
No template,Keine Vorlage
No templates yet,Noch keine Vorlagen
No time data found,Keine Zeitdaten gefunden
No time logged today,Heute keine Zeit erfasst
No time logged yet,Noch keine Zeit erfasst
No time logs for this period,Keine Zeiteinträge für diesen Zeitraum
No time logs found,Keine Zeiteinträge gefunden
No unread notifications,Keine ungelesenen Benachrichtigungen
No update information available yet.,Noch keine Update-Informationen verfügbar.
None,Keine
Not found,Nicht gefunden
Not permitted,Nicht erlaubt
Not permitted to access this project,Kein Zugriff auf dieses Projekt erlaubt
Not permitted to access this task,Kein Zugriff auf diese Aufgabe erlaubt
Not permitted to check for updates,Keine Berechtigung für Update-Prüfung
Not permitted to comment on this document,Kommentieren dieses Dokuments nicht erlaubt
Not permitted to create clients,Erstellen von Kunden nicht erlaubt
Not permitted to delete this client,Löschen dieses Kunden nicht erlaubt
Not permitted to delete this defect,Löschen dieses Mangels nicht erlaubt
Not permitted to delete this note,Löschen dieser Notiz nicht erlaubt
Not permitted to delete this project,Löschen dieses Projekts nicht erlaubt
Not permitted to delete this task,Löschen dieser Aufgabe nicht erlaubt
Not permitted to delete this time log,Löschen dieses Zeiteintrags nicht erlaubt
Not permitted to invite clients,Einladen von Kunden nicht erlaubt
Not permitted to modify client access,Ändern des Kundenzugangs nicht erlaubt
Not permitted to modify this project,Ändern dieses Projekts nicht erlaubt
Not permitted to update settings,Aktualisieren der Einstellungen nicht erlaubt
Not permitted to update this client,Aktualisieren dieses Kunden nicht erlaubt
Not permitted to view this client,Anzeigen dieses Kunden nicht erlaubt
not sent,nicht gesendet
Not set,Nicht gesetzt
Not specified,Nicht angegeben
Note,Notiz
Note (optional),Notiz (optional)
Note Content,Notizinhalt
Note content is required,Notizinhalt ist erforderlich
Note name is required,Notizname ist erforderlich
Note not found,Notiz nicht gefunden
Note Type,Notiztyp
Notes,Notizen
Notification,Benachrichtigung
Notification not found,Benachrichtigung nicht gefunden
Notifications,Benachrichtigungen
Off Track,Aus dem Plan
Offer,Angebot
Offer Prepared,Angebot vorbereitet
Oldest First,Älteste zuerst
On Hold,Pausiert
On Leave,Abwesend
On Track,Im Plan
On-Time Rate,Pünktlichkeitsrate
Only administrators can delete activities,Nur Administratoren können Aktivitäten löschen
Only the comment author or administrators can delete comments,Nur der Kommentarautor oder Administratoren können Kommentare löschen
Only you and admins,Nur Sie und Administratoren
Open,Offen
Open in Desk,In Desk öffnen
Open Task Log,Aufgabenprotokoll öffnen
Open Tasks,Offene Aufgaben
Optional,Fakultativ
optional,optional
Or email us directly at,Oder schreiben Sie uns direkt an
Orga Project {0} from Frappe Projects,Orga-Projekt {0} aus Frappe Projects
Orga Task {0} from Frappe,Orga-Aufgabe {0} aus Frappe
Organizer,Organisator
Other,Sonstiges
Over Budget,Über Budget
Overall Progress,Gesamtfortschritt
Overall Utilization,Gesamtauslastung
Overallocated,Überlastet
Overdue,Überfällig
overdue,überfällig
Overdue Tasks,Überfällige Aufgaben
Overview,Übersicht
Owner,Eigentümer
Page Not Found,Seite nicht gefunden
Parent,Übergeordnet
Parent comment must belong to the same document,Übergeordneter Kommentar muss zum selben Dokument gehören
Parent comment not found,Übergeordneter Kommentar nicht gefunden
Parent project not synced to Frappe yet,Übergeordnetes Projekt noch nicht mit Frappe synchronisiert
Parent project sync not enabled,Synchronisation des übergeordneten Projekts nicht aktiviert
Partner,Partner
Pending,Ausstehend
per page,pro Seite
Perform initial assessment and background check,Erstbewertung und Hintergrundprüfung durchführen
Permanently remove this event,Diesen Termin dauerhaft entfernen
Permanently remove this task,Diese Aufgabe dauerhaft entfernen
Phone,Telefon
Pin,Anheften
Pin Activity,Aktivität anheften
Pin to top,Oben anheften
Pinned,Angeheftet
Planned budget for this task,Geplantes Budget für diese Aufgabe
Planning,Planung
Please describe your question or issue in detail...,Bitte beschreiben Sie Ihre Frage oder Ihr Anliegen im Detail...
Please login to access Orga,Bitte melden Sie sich an um auf Orga zuzugreifen
Please login to access the client portal,Bitte melden Sie sich an um auf das Kundenportal zuzugreifen
Please respond to this invitation in Orga,Bitte antworten Sie auf diese Einladung in Orga
Please select an image file,Bitte wählen Sie eine Bilddatei aus
Please try again,Bitte versuchen Sie es erneut
Please type,Bitte eingeben
Portal,Portal
Portal access revoked for {0},Portalzugang für {0} widerrufen
Portal user created successfully. Welcome email {0},Portal-Benutzer erfolgreich erstellt. Willkommens-E-Mail {0}
Post,Veröffentlichen
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Vorgänger (Blockiert durch)
Preferences,Einstellungen
Preferences saved successfully,Einstellungen erfolgreich gespeichert
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Präfix für automatisch generierte Projektcodes (z. B. ORG-2026-0001)
Prepare and document offer terms,Angebotskonditionen vorbereiten und dokumentieren
Press,Drücken Sie
Preview,Vorschau
Preview cascade before applying,Kaskade vor dem Anwenden in der Vorschau anzeigen
Previous,Zurück
Priority,Priorität
Priority assigned to new tasks,Neuen Aufgaben zugewiesene Priorität
Priority updated,Priorität aktualisiert
Proficiency,Kompetenz
Profile,Profil
Progress,Fortschritt
Progress (High-Low),Fortschritt (Hoch-Niedrig)
Progress (Low-High),Fortschritt (Niedrig-Hoch)
Progress Overview,Fortschrittsübersicht
Progress updated,Fortschritt aktualisiert
Project,Projekt
Project budget has been saved.,Projektbudget wurde gespeichert.
Project code (e.g. ORG-2026-0001),Projektcode (z. B. ORG-2026-0001)
Project Code Prefix,Projektcode-Präfix
Project created,Projekt erstellt
Project deleted,Projekt gelöscht
Project description has been saved.,Projektbeschreibung wurde gespeichert.
Project Details,Projektdetails
Project end date has been saved.,Projekt-Enddatum wurde gespeichert.
Project Files,Projektdateien
Project has no linked client,Projekt hat keinen verknüpften Kunden
Project Health,Projektzustand
Project Info,Projektinformationen
Project is required,Projekt ist erforderlich
Project is required for project context,Projekt ist für Projektkontext erforderlich
Project is required when tracking context is 'project',"Projekt ist erforderlich, wenn der Erfassungskontext 'Projekt' ist"
Project Manager,Projektmanager
Project Name,Projektname
Project name and template name are required,Projektname und Vorlagenname sind erforderlich
Project name is required,Projektname ist erforderlich
Project not found,Projekt nicht gefunden
Project not found or you do not have access,Projekt nicht gefunden oder Sie haben keinen Zugriff
Project settings,Projekteinstellungen
Project start date has been saved.,Projekt-Startdatum wurde gespeichert.
Project title has been saved.,Projekttitel wurde gespeichert.
Project Type,Projekttyp
Project updated,Projekt aktualisiert
Project {0} linked to client {1},Projekt {0} mit Kunde {1} verknüpft
Project {0} not found,Projekt {0} nicht gefunden
Project {0} to Frappe Projects,Projekt {0} nach Frappe Projects
Project:,Projekt:
Projects,Projekte
projects,Projekte
Projects created:,Erstellte Projekte:
Projects Overview,Projektübersicht
Projects skipped:,Übersprungene Projekte:
Projects updated:,Aktualisierte Projekte:
Promote failed,Beförderung fehlgeschlagen
Promote to task,Zur Aufgabe befördern
Promoted to task,Zur Aufgabe befördert
Propose,Vorschlagen
Propose New Time,Neue Zeit vorschlagen
Propose Time,Zeit vorschlagen
Proposed End,Vorgeschlagenes Ende
Proposed Start,Vorgeschlagener Beginn
Public,Öffentlich
Quick Action,Schnellaktion
Quick Actions,Schnellaktionen
Quick Stats,Schnellstatistiken
Rates,Sätze
Receive notifications via email,Benachrichtigungen per E-Mail erhalten
Receive notifications within the application,Benachrichtigungen innerhalb der Anwendung erhalten
Recent Activity,Letzte Aktivität
Recipient {0} is not a valid user,Empfänger {0} ist kein gültiger Benutzer
Reference,Referenz
Refresh,Aktualisieren
Related,Zugehörig
Related Company (optional),Zugehöriges Unternehmen (optional)
Related Documents,Zugehörige Dokumente
Related Project,Zugehöriges Projekt
Remaining,Verbleibend
Reminder,Erinnerung
Reminder Lead Time,Erinnerungsvorlaufzeit
Reminder: {0} - {1} at {2},Erinnerung: {0} - {1} um {2}
Remove,Entfernen
Remove dependency,Abhängigkeit entfernen
Remove dependency on,Abhängigkeit entfernen von
Remove from group,Aus Gruppe entfernen
Remove group dependency,Gruppenabhängigkeit entfernen
Remove skill,Fähigkeit entfernen
Reopen,Wieder öffnen
Reopen thread,Thema wieder öffnen
reopened,wieder geöffnet
replies,Antworten
Reply,Antworten
reply,Antwort
Replying to,Antwort an
Replying to comment,Antwort auf Kommentar
Report Defect,Mangel melden
Reported Date,Meldedatum
Reports,Berichte
Reports To,Berichtet an
Request Submitted!,Anfrage eingereicht!
Required,Erforderlich
required,erforderlich
Research,Recherche
Reset to Defaults,Auf Standardwerte zurücksetzen
Resolve,Lösen
Resolve thread,Thema lösen
Resolved,Gelöst
Resolved date cannot be before reported date,Lösungsdatum kann nicht vor dem Meldedatum liegen
Resource,Ressource
Resource and skill name are required,Ressource und Fähigkeitsname sind erforderlich
Resource is already an attendee,Ressource ist bereits ein Teilnehmer
Resource name is required,Ressourcenname ist erforderlich
Resource not found,Ressource nicht gefunden
Resource synced from employee {0},Ressource von Mitarbeiter {0} synchronisiert
Resource {0} is already assigned to this task ({1}),Ressource {0} ist dieser Aufgabe bereits zugewiesen ({1})
Resource {0} not found,Ressource {0} nicht gefunden
Resources,Ressourcen
Retry,Erneut versuchen
Review,Überprüfung
Review all relevant documents and contracts,Alle relevanten Dokumente und Verträge überprüfen
Reviews,Überprüfungen
Risk Assessment,Risikobewertung
Rollback,Zurücksetzen
Rolled back,Zurückgesetzt
Room or address,Raum oder Adresse
RSVP,RSVP
Safety,Sicherheit
Sat,Sa
Save,Speichern
"Save a project as a template, or import one from a JSON file.","Speichern Sie ein Projekt als Vorlage, oder importieren Sie eine aus einer JSON-Datei."
Save as Template,Als Vorlage speichern
Save Changes,Änderungen speichern
Save failed,Speichern fehlgeschlagen
Save Preferences,Einstellungen speichern
Save Template,Vorlage speichern
Saving...,Wird gespeichert...
Schedule,Terminplan
Schedule type is required for scheduled triggers,Zeitplantyp ist für geplante Auslöser erforderlich
Scheduled,Geplant
Search,Suchen
"Search by name, email, or skill...","Nach Name, E-Mail oder Fähigkeit suchen..."
Search for a project...,Nach einem Projekt suchen...
Search for a task...,Nach einer Aufgabe suchen...
Search for an event...,Nach einem Termin suchen...
Search for people to invite...,Nach Personen zum Einladen suchen...
Search tasks to link...,Aufgaben zum Verknüpfen suchen...
Search tasks...,Aufgaben suchen...
Search...,Suchen...
Searching...,Wird gesucht...
Seen,Gesehen
Select a project if your request is related to a specific project.,"Wählen Sie ein Projekt aus, wenn Ihre Anfrage sich auf ein bestimmtes Projekt bezieht."
Select a project...,Projekt auswählen...
Select a task from the Gantt chart to view and manage its details.,"Wählen Sie eine Aufgabe im Gantt-Diagramm aus, um deren Details anzuzeigen und zu verwalten."
Select a task from the list or Kanban board to view and manage its details.,"Wählen Sie eine Aufgabe aus der Liste oder dem Kanban-Board, um deren Details anzuzeigen und zu verwalten."
Select a template...,Vorlage auswählen...
Select priority...,Priorität auswählen...
Select status...,Status auswählen...
Select task...,Aufgabe auswählen...
Select type...,Typ auswählen...
Selection,Auswahl
Send,Senden
Send comment,Kommentar senden
Send email invitations to attendees,E-Mail-Einladungen an Teilnehmer senden
Send Invitations,Einladungen senden
Send notification when a task is assigned to a user,"Benachrichtigung senden, wenn eine Aufgabe einem Benutzer zugewiesen wird"
Send notification when task status changes,"Benachrichtigung senden, wenn sich der Aufgabenstatus ändert"
Send reminder before task due date,Erinnerung vor Fälligkeitsdatum der Aufgabe senden
sent,gesendet
Set rate,Satz festlegen
Settings,Einstellungen
Settings saved successfully,Einstellungen erfolgreich gespeichert
Severity,Schweregrad
SF (Start-Finish),AE (Anfang-Ende)
SF - Start-to-Finish,AE – Anfang-Ende
Show,Anzeigen
Show all,Alle anzeigen
Show all changes,Alle Änderungen anzeigen
Show Archived,Archivierte anzeigen
Show full diff,Vollständigen Unterschied anzeigen
Show less,Weniger anzeigen
Show more,Mehr anzeigen
Skill added,Fähigkeit hinzugefügt
Skill is required,Fähigkeit ist erforderlich
Skill Name,Fähigkeitsname
Skill removed,Fähigkeit entfernt
Skill {0} already exists for this resource,Fähigkeit {0} existiert bereits für diese Ressource
Skills,Fähigkeiten
Skills & Competencies,Fähigkeiten & Kompetenzen
Skip already migrated projects,Bereits migrierte Projekte überspringen
Sort by,Sortieren nach
Sort: Due Date,Sortierung: Fälligkeitsdatum
Sort: Priority,Sortierung: Priorität
Sort: Project,Sortierung: Projekt
Sort: Status,Sortierung: Status
Sort: Task,Sortierung: Aufgabe
Source Code,Quellcode
Spent,Ausgegeben
Spent:,Ausgegeben:
SS (Start-Start),AA (Anfang-Anfang)
SS - Start-to-Start,AA – Anfang-Anfang
Standalone,Eigenständig
Start,Start
Start a discussion below,Starten Sie eine Diskussion unten
Start Date,Startdatum
Start date,Startdatum
Start Date (Earliest),Startdatum (frühestes)
Start date updated,Startdatum aktualisiert
Start date/time is required,Startdatum/-zeit ist erforderlich
Start Migration,Migration starten
Start the conversation below.,Starten Sie die Unterhaltung unten.
Start Timer,Timer starten
Start typing to search...,Tippen Sie um zu suchen...
Start-to-Finish,Anfang-Ende
Start-to-Start,Anfang-Anfang
Start:,Start:
Statistics reset,Statistiken zurückgesetzt
Status,Status
Status assigned to new projects,Neuen Projekten zugewiesener Status
Status assigned to new tasks,Neuen Aufgaben zugewiesener Status
Status Changes,Statusänderungen
Status updated,Status aktualisiert
Status:,Status:
Stop,Stopp
Stop & Save,Stopp & Speichern
Stop Timer,Timer stoppen
Stops current timer and starts for this event,Stoppt den aktuellen Timer und startet für diesen Termin
Stops current timer and starts for this task,Stoppt den aktuellen Timer und startet für diese Aufgabe
Subject,Betreff
Subject cannot exceed 255 characters,Betreff darf 255 Zeichen nicht überschreiten
Subject is required,Betreff ist erforderlich
Submit,Absenden
Submit Another Request,Weitere Anfrage einreichen
Submit Request,Anfrage einreichen
Submitting...,Wird eingereicht...
Successfully saved,Erfolgreich gespeichert
Successors (Blocking),Nachfolger (Blockierend)
Sun,So
Supplier,Lieferant
Support,Support
Switch to this event,Zu diesem Termin wechseln
Switch to this task,Zu dieser Aufgabe wechseln
Sync direction is set to Frappe to Orga only,Synchronisationsrichtung ist auf Frappe zu Orga beschränkt
Sync direction is set to Orga to Frappe only,Synchronisationsrichtung ist auf Orga zu Frappe beschränkt
Sync not enabled for this project,Synchronisation für dieses Projekt nicht aktiviert
System,System
Table,Tabelle
Take ownership of this task,Diese Aufgabe übernehmen
Target Date,Zieldatum
Target End,Ziel-Ende
Target Project,Zielprojekt
Target user is required for '{0}' action,Zielbenutzer ist für die Aktion '{0}' erforderlich
Task,Aufgabe
task,Aufgabe
Task '{0}' is due on {1}.,Aufgabe '{0}' ist fällig am {1}.
Task and resource are required,Aufgabe und Ressource sind erforderlich
Task Assignment,Aufgabenzuweisung
Task cannot be its own parent,Aufgabe kann nicht ihr eigenes übergeordnetes Element sein
Task cannot depend on itself,Aufgabe kann nicht von sich selbst abhängen
Task cannot depend on the group it belongs to,"Aufgabe kann nicht von der Gruppe abhängen, der sie angehört"
Task created,Aufgabe erstellt
Task deleted,Aufgabe gelöscht
Task description has been saved.,Aufgabenbeschreibung wurde gespeichert.
Task Details,Aufgabendetails
Task due in {0} days: {1},Aufgabe fällig in {0} Tagen: {1}
Task due today: {0},Aufgabe heute fällig: {0}
Task due tomorrow: {0},Aufgabe morgen fällig: {0}
Task duplicated,Aufgabe dupliziert
Task Group,Aufgabengruppe
Task ID is required,Aufgaben-ID ist erforderlich
Task is blocked by incomplete dependencies,Aufgabe ist durch unvollständige Abhängigkeiten blockiert
Task is cancelled,Aufgabe ist abgebrochen
Task is completed,Aufgabe ist abgeschlossen
Task is no longer blocked by a group,Aufgabe ist nicht mehr durch eine Gruppe blockiert
Task is required for task context,Aufgabe ist für Aufgabenkontext erforderlich
Task is required when tracking context is 'task',"Aufgabe ist erforderlich, wenn der Erfassungskontext 'Aufgabe' ist"
Task linked,Aufgabe verknüpft
Task moved,Aufgabe verschoben
Task name,Aufgabenname
Task name is required,Aufgabenname ist erforderlich
Task removed from group,Aufgabe aus Gruppe entfernt
Task Subject,Aufgabenbetreff
Task subject is required,Aufgabenbetreff ist erforderlich
Task Type,Aufgabentyp
Task unblocked: {0},Aufgabe entsperrt: {0}
Task unlinked,Aufgabe getrennt
Task updated,Aufgabe aktualisiert
Task {0} not found,Aufgabe {0} nicht gefunden
Task {0} not in project {1},Aufgabe {0} nicht in Projekt {1}
Task {0} to Frappe,Aufgabe {0} nach Frappe
Tasks,Aufgaben
tasks,Aufgaben
Tasks and milestones will be created with dates relative to the project start date.,Aufgaben und Meilensteine werden mit Daten relativ zum Projekt-Startdatum erstellt.
Tasks assigned to you across all projects.,Ihnen zugewiesene Aufgaben über alle Projekte hinweg.
Tasks created:,Erstellte Aufgaben:
Tasks from projects you manage.,Aufgaben aus Projekten die Sie verwalten.
Tasks updated:,Aktualisierte Aufgaben:
"Tasks, milestones, and dependencies have been created.","Aufgaben, Meilensteine und Abhängigkeiten wurden erstellt."
Tasks:,Aufgaben:
TBD,Noch offen
Team,Team
Team Members,Teammitglieder
Template,Vorlage
Template applied,Vorlage angewendet
Template data is required in import data,Vorlagendaten sind in den Importdaten erforderlich
Template has no data,Vorlage enthält keine Daten
Template Name,Vorlagenname
Template name,Vorlagenname
Template name is required,Vorlagenname ist erforderlich
Template name is required in import data,Vorlagenname ist in den Importdaten erforderlich
Template saved,Vorlage gespeichert
