+ Add Milestone,+ Lagg till milstolpe
Loading contacts...,Laddar kontakter...
Loading dependencies...,Laddar beroenden...
Loading details...,Laddar detaljer...
Loading discussion...,Laddar diskussion...
Loading events...,Laddar evenemang...
Loading files...,Laddar filer...
Loading notes...,Laddar anteckningar...
Loading preferences...,Laddar installningar...
Loading project...,Laddar projekt...
Loading projects...,Laddar projekt...
Loading replies...,Laddar svar...
Loading report data...,Laddar rapportdata...
Loading settings...,Laddar installningar...
Loading task...,Laddar uppgift...
Loading templates...,Laddar mallar...
Loading time logs...,Laddar tidsposter...
Loading your portal...,Laddar din portal...
Loading...,Laddar...
Location,Plats
Log Time,Registrera tid
Logout,Logga ut
Low,Lag
Make Offer,Gor erbjudande
Manager,Chef
Manual Entry,Manuell inmatning
Margin,Marginal
Mark all as read,Markera alla som lasta
Mark all read,Markera alla som lasta
Mark as read,Markera som last
Mark as unread,Markera som olast
Mark read,Markera som last
Marking...,Markerar...
Material,Material
Maybe,Kanske
Medium,Medel
Meeting,Mote
Meeting Link,Moteslank
Meeting title,Motestitel
Meeting URL,Motes-URL
Meetings,Moten
Mention,Namna
Message,Meddelande
Message is required,Meddelande kravs
Message is required for '{0}' action,"Meddelande kravs for atgarден ""{0}"""
Migrate,Migrera
Migration Complete,Migrering slutford
Migration ID:,Migrerings-ID:
Migration log not found: {0},Migreringslogg hittades inte: {0}
Milestone,Milstolpe
milestone,milstolpe
Milestone created,Milstolpe skapad
Milestone description has been saved.,Milstolpebeskrivning har sparats.
Milestone ID is required,Milstolpe-ID kravs
Milestone marked as Missed (past due date),Milstolpe markerad som missad (passerat forfallodag)
Milestone moved,Milstolpe flyttad
Milestone Name,Milstolpenamn
Milestone name has been saved.,Milstolpenamn har sparats.
Milestone name is required,Milstolpenamn kravs
Milestone updated,Milstolpe uppdaterad
Milestone {0} not found,Milstolpe {0} hittades inte
Milestone {0} not in project {1},Milstolpe {0} finns inte i projekt {1}
Milestones,Milstolpar
milestones,milstolpar
Milestones:,Milstolpar:
Minutes,Minuter
Missed,Missad
Mixed,Blandad
Mobile,Mobil
Moderate,Mattlig
Modified,Andrad
"Modify details, time, or attendees","Ändra detaljer, tid eller deltagare"
Mon,Man
Month,Manad
Move failed,Flytt misslyckades
Must be a positive number,Maste vara ett positivt tal
Must finish before this finishes,Maste sluta innan detta slutar
Must finish before this starts,Maste sluta innan detta borjar
Must start before this finishes,Maste borja innan detta slutar
Must start before this starts,Maste borja innan detta borjar
My Assignments,Mina tilldelningar
My Projects,Mina projekt
My Schedule,Mitt schema
My Tasks,Mina uppgifter
N/A,Ej tillampl.
Name,Namn
Name (A-Z),Namn (A-O)
Name (Z-A),Namn (O-A)
Name cannot exceed 255 characters,Namn far inte overstiga 255 tecken
Need help?,Behover du hjalp?
Needs Attention,Behover uppmarksamhet
Never,Never
new activities,nya aktiviteter
New Activity,Ny aktivitet
New activity,Ny aktivitet
New Event,Nytt evenemang
New index is required,Nytt index kravs
New Project,Nytt projekt
New tasks will auto-trail by default.,Nya uppgifter far automatisk glidande start som standard.
Newest First,Nyast forst
Next,Nasta
Next 14 days,Nasta 14 dagar
Next 30 days,Nasta 30 dagar
Next 60 days,Nasta 60 dagar
Next 7 days,Nasta 7 dagar
Next 90 days,Nasta 90 dagar
Next Week,Nasta vecka
Next:,Nasta:
No,Nej
No active assignments,Inga aktiva tilldelningar
No active projects,Inga aktiva projekt
No active timer found,Ingen aktiv kronometer hittades
No activity selected,Ingen aktivitet vald
No assignments found,Inga tilldelningar hittades
No attendees,Inga deltagare
no change,ingen andring
No changes for this field.,Inga andringar for detta falt.
No changes recorded for this activity.,Inga andringar registrerade for denna aktivitet.
No checklist items yet,Inga checklistepunkter annu
No checklist items yet.,Inga checklistepunkter annu.
No comments yet,Inga kommentarer annu
No comments yet.,Inga kommentarer annu.
No contacts available,Inga kontakter tillgangliga
No content for this tab,Inget innehall for denna flik
No data available,Inga data tillgangliga
No data available for the selected filters,Inga data tillgangliga for valda filter
No data to export,Inga data att exportera
No dates set,Inga datum angivna
No defects reported,Inga defekter rapporterade
No dependencies defined,Inga beroenden definierade
No description,Ingen beskrivning
No discussion yet.,Ingen diskussion annu.
No documents attached,Inga dokument bifogade
No due date,Inget forfallodag
No employee linked to this resource,Ingen anstalld lankad till denna resurs
No ERPNext employee linked to resource,Ingen ERPNext-anstalld lankad till resurs
No events found,Inga evenemang hittades
No files attached yet.,Inga filer bifogade annu.
No Frappe Project linked,Inget Frappe-projekt lankat
No Grouping,Ingen gruppering
No items,Inga element
No matching tasks,Inga matchande uppgifter
No matching tasks found,Inga matchande uppgifter hittades
No migration history,Ingen migreringshistorik
No Milestone,Ingen milstolpe
No milestones,Inga milstolpar
No milestones defined for this project.,Inga milstolpar definierade for detta projekt.
No notes yet.,Inga anteckningar annu.
No notes yet. Add a due diligence note to track progress.,Inga anteckningar annu. Lagg till en forhandsgranskningsanteckning for att folja framstegen.
No notifications,Inga notifieringar
No Orga Project linked to Frappe Project {0},Inget Orga-projekt lankat till Frappe-projekt {0}
No overdue tasks,Inga forsenade uppgifter
No pending cascade changes,Inga vantande kaskadandringar
No predecessors - this task can start independently,Inga foregaende -- denna uppgift kan starta oberoende
No project,Inget projekt
No projects found,Inga projekt hittades
No Projects Yet,Inga projekt annu
No recent activity,Ingen nylig aktivitet
No related documents,Inga relaterade dokument
No resolved threads.,Inga losta tradar.
No resources found,Inga resurser hittades
No results found,Inga resultat hittades
No skills listed,Inga kompetenser listade
No skills recorded yet,Inga kompetenser registrerade annu
No successors - no tasks are waiting for this one,Inga efterfoljande -- inga uppgifter vantar pa denna
No task selected,Ingen uppgift vald
No tasks assigned to you,Inga uppgifter tilldelade till dig
No tasks available to add,Inga uppgifter tillgangliga att lagga till
No tasks found,Inga uppgifter hittades
No tasks linked to this milestone,Inga uppgifter lankade till denna milstolpe
No tasks with dates to display,Inga uppgifter med datum att visa
No tasks yet,Inga uppgifter annu
No team members,Inga teammedlemmar
No template,Ingen mall
No templates yet,Inga mallar annu
No time data found,Inga tidsdata hittades
No time logged today,Ingen tid registrerad idag
No time logged yet,Ingen tid registrerad annu
No time logs for this period,Inga tidsposter for denna period
No time logs found,Inga tidsposter hittades
No unread notifications,Inga olasta notifieringar
No update information available yet.,No update information available yet.
None,Ingen
Not found,Hittades inte
Not permitted,Inte tillattet
Not permitted to access this project,Inte tillattet att komma at detta projekt
Not permitted to access this task,Inte tillattet att komma at denna uppgift
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Inte tillattet att kommentera detta dokument
Not permitted to create clients,Inte tillattet att skapa klienter
Not permitted to delete this client,Inte tillattet att radera denna klient
Not permitted to delete this defect,Inte tillattet att radera denna defekt
Not permitted to delete this note,Inte tillattet att radera denna anteckning
Not permitted to delete this project,Inte tillattet att radera detta projekt
Not permitted to delete this task,Inte tillattet att radera denna uppgift
Not permitted to delete this time log,Inte tillattet att radera denna tidspost
Not permitted to invite clients,Inte tillattet att bjuda in klienter
Not permitted to modify client access,Inte tillattet att andra klientatkomst
Not permitted to modify this project,Inte tillattet att andra detta projekt
Not permitted to update settings,Inte tillattet att uppdatera installningar
Not permitted to update this client,Inte tillattet att uppdatera denna klient
Not permitted to view this client,Inte tillattet att visa denna klient
not sent,inte skickad
Not set,Inte angiven
Not specified,Inte specificerad
Note,Anteckning
Note (optional),Anteckning (valfritt)
Note Content,Anteckningsinnehall
Note content is required,Anteckningsinnehall kravs
Note name is required,Anteckningsnamn kravs
Note not found,Anteckning hittades inte
Note Type,Anteckningstyp
Notes,Anteckningar
Notification,Notifiering
Notification not found,Notifiering hittades inte
Notifications,Notifieringar
Off Track,Ur kurs
Offer,Erbjudande
Offer Prepared,Erbjudande forberett
Oldest First,Aldst forst
On Hold,Pausad
On Leave,Pa ledighet
On Track,I fas
On-Time Rate,Punktlighet
Only administrators can delete activities,Bara administratorer kan radera aktiviteter
Only the comment author or administrators can delete comments,Bara kommentarens forfattare eller administratorer kan radera kommentarer
Only you and admins,Bara du och administratorer
Open,Oppen
Open in Desk,Oppna i Desk
Open Task Log,Oppna uppgiftslogg
Open Tasks,Oppna uppgifter
Optional,Valfritt
optional,valfritt
Or email us directly at,Eller mejla oss direkt pa
Orga Project {0} from Frappe Projects,Orga-projekt {0} fran Frappe Projects
Orga Task {0} from Frappe,Orga-uppgift {0} fran Frappe
Organizer,Organisator
Other,Ovrig
Over Budget,Over budget
Overall Progress,Overgripande framsteg
Overall Utilization,Overgripande nyttjande
Overallocated,Overtilldelad
Overdue,Forsenad
overdue,forsenad
Overdue Tasks,Forsenade uppgifter
Overview,Oversikt
Owner,Agare
Page Not Found,Sidan hittades inte
Parent,Overordnad
Parent comment must belong to the same document,Overordnad kommentar maste tillhora samma dokument
Parent comment not found,Overordnad kommentar hittades inte
Parent project not synced to Frappe yet,Overordnat projekt ar inte synkroniserat med Frappe annu
Parent project sync not enabled,Overordnad projektsynkronisering ar inte aktiverad
Partner,Partner
Pending,Vantande
per page,per sida
Perform initial assessment and background check,Utfor inledande bedomning och bakgrundskontroll
Permanently remove this event,Ta bort detta evenemang permanent
Permanently remove this task,Ta bort denna uppgift permanent
Phone,Telefon
Pin,Nala fast
Pin Activity,Nala fast aktivitet
Pin to top,Nala fast langst upp
Pinned,Fastnalad
Planned budget for this task,Planerad budget for denna uppgift
Planning,Planering
Please describe your question or issue in detail...,Beskriv din fraga eller ditt problem i detalj...
Please login to access Orga,Logga in for att komma at Orga
Please login to access the client portal,Logga in for att komma at klientportalen
Please respond to this invitation in Orga,Svara pa denna inbjudan i Orga
Please select an image file,Valj en bildfil
Please try again,Forsok igen
Please type,Skriv
Portal,Portal
Portal access revoked for {0},Portalatkomst aterkallad for {0}
Portal user created successfully. Welcome email {0},Portalanvandare skapad. Valkostmail {0}
Post,Publicera
Powered by,Drivs av
Powered by Tonic,Drivs av Tonic
Predecessors (Blocked By),Foregaende (blockerad av)
Preferences,Installningar
Preferences saved successfully,Installningar sparade
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefix for automatiskt genererade projektkoder (t.ex. ORG-2026-0001)
Prepare and document offer terms,Forbered och dokumentera villkoren for erbjudandet
Press,Tryck
Preview,Forhandsgranskning
Preview cascade before applying,Forhandsgranska kaskad innan tillampa
Previous,Foregaende
Priority,Prioritet
Priority assigned to new tasks,Prioritet tilldelad nya uppgifter
Priority updated,Prioritet uppdaterad
Proficiency,Kompetensgrad
Profile,Profil
Progress,Framsteg
Progress (High-Low),Framsteg (fallande)
Progress (Low-High),Framsteg (stigande)
Progress Overview,Framstegsöversikt
Progress updated,Framsteg uppdaterat
Project,Projekt
Project budget has been saved.,Projektbudget har sparats.
Project code (e.g. ORG-2026-0001),Projektkod (t.ex. ORG-2026-0001)
Project Code Prefix,Projektkodprefix
Project created,Projekt skapat
Project deleted,Projekt raderat
Project description has been saved.,Projektbeskrivning har sparats.
Project Details,Projektdetaljer
Project end date has been saved.,Projektets slutdatum har sparats.
Project Files,Projektfiler
Project has no linked client,Projektet har ingen kopplad klient
Project Health,Projekthalsa
Project Info,Projektinformation
Project is required,Projekt kravs
Project is required for project context,Projekt kravs for projektsammanhang
Project is required when tracking context is 'project',"Projekt kravs nar uppfoljningssammanhanget ar ""projekt"""
Project Manager,Projektledare
Project Name,Projektnamn
Project name and template name are required,Projektnamn och mallnamn kravs
Project name is required,Projektnamn kravs
Project not found,Projekt hittades inte
Project not found or you do not have access,Projekt hittades inte eller du saknar atkomst
Project settings,Projektinstallningar
Project start date has been saved.,Projektets startdatum har sparats.
Project title has been saved.,Projektets titel har sparats.
Project Type,Projekttyp
Project updated,Projekt uppdaterat
Project {0} linked to client {1},Projekt {0} kopplat till klient {1}
Project {0} not found,Projekt {0} hittades inte
Project {0} to Frappe Projects,Projekt {0} till Frappe Projects
Project:,Projekt:
Projects,Projekt
projects,projekt
Projects created:,Projekt skapade:
Projects Overview,Projektöversikt
Projects skipped:,Projekt hoppade over:
Projects updated:,Projekt uppdaterade:
Promote failed,Befordran misslyckades
Promote to task,Befordra till uppgift
Promoted to task,Befordrad till uppgift
Propose,Foreslå
Propose New Time,Foreslå ny tid
Propose Time,Foreslå tid
Proposed End,Foreslagen slut
Proposed Start,Foreslagen start
Public,Offentlig
Quick Action,Snabbatgard
Quick Actions,Snabbatgarder
Quick Stats,Snabbstatistik
Rates,Taxor
Receive notifications via email,Ta emot notifieringar via e-post
Receive notifications within the application,Ta emot notifieringar i programmet
Recent Activity,Senaste aktivitet
Recipient {0} is not a valid user,Mottagare {0} ar inte en giltig anvandare
Reference,Referens
Refresh,Uppdatera
Related,Relaterad
Related Company (optional),Relaterat foretag (valfritt)
Related Documents,Relaterade dokument
Related Project,Relaterat projekt
Remaining,Aterstående
Reminder,Paminnelse
Reminder Lead Time,Paminnelsetid i forvag
Reminder: {0} - {1} at {2},Paminnelse: {0} - {1} kl. {2}
Remove,Ta bort
Remove dependency,Ta bort beroende
Remove dependency on,Ta bort beroende pa
Remove from group,Ta bort fran grupp
Remove group dependency,Ta bort gruppberoende
Remove skill,Ta bort kompetens
Reopen,Ateröppna
Reopen thread,Ateröppna trad
reopened,ateropnad
replies,svar
Reply,Svara
reply,svar
Replying to,Svarar pa
Replying to comment,Svarar pa kommentar
Report Defect,Rapportera defekt
Reported Date,Rapporterat datum
Reports,Rapporter
Reports To,Rapporterar till
Request Submitted!,Forfragan skickad!
Required,Obligatorisk
required,obligatorisk
Research,Forskning
Reset to Defaults,Aterstall till standard
Resolve,Los
Resolve thread,Los trad
Resolved,Lost
Resolved date cannot be before reported date,Losningsdatum kan inte vara fore rapporteringsdatum
Resource,Resurs
Resource and skill name are required,Resurs och kompetensnamn kravs
Resource is already an attendee,Resursen ar redan en deltagare
Resource name is required,Resursnamn kravs
Resource not found,Resurs hittades inte
Resource synced from employee {0},Resurs synkroniserad fran anstalld {0}
Resource {0} is already assigned to this task ({1}),Resurs {0} ar redan tilldelad denna uppgift ({1})
Resource {0} not found,Resurs {0} hittades inte
Resources,Kontakter
Retry,Forsok igen
Review,Granskning
Review all relevant documents and contracts,Granska alla relevanta dokument och avtal
Reviews,Granskningar
Risk Assessment,Riskbedomning
Rollback,Aterstall
Rolled back,Aterstalls
Room or address,Rum eller adress
RSVP,RSVP
Safety,Sakerhet
Sat,Lor
Save,Spara
"Save a project as a template, or import one from a JSON file.","Spara ett projekt som mall, eller importera en fran en JSON-fil."
Save as Template,Spara som mall
Save Changes,Spara andringar
Save failed,Sparande misslyckades
Save Preferences,Spara installningar
Save Template,Spara mall
Saving...,Sparar...
Schedule,Schema
Schedule type is required for scheduled triggers,Schematyp kravs for schemalagda utlosare
Scheduled,Schemalagd
Search,Sok
"Search by name, email, or skill...","Sok efter namn, e-post eller kompetens..."
Search for a project...,Sok efter ett projekt...
Search for a task...,Sok efter en uppgift...
Search for an event...,Sok efter ett evenemang...
Search for people to invite...,Sok efter personer att bjuda in...
Search tasks to link...,Sok uppgifter att lanka...
Search tasks...,Sok uppgifter...
Search...,Sok...
Searching...,Soker...
Seen,Sedd
Select a project if your request is related to a specific project.,Valj ett projekt om din forfragan ror ett specifikt projekt.
Select a project...,Valj ett projekt...
Select a task from the Gantt chart to view and manage its details.,Valj en uppgift i Gantt-schemat for att visa och hantera dess detaljer.
Select a task from the list or Kanban board to view and manage its details.,Valj en uppgift fran listan eller Kanban-tavlan for att visa och hantera dess detaljer.
Select a template...,Valj en mall...
Select priority...,Valj prioritet...
Select status...,Valj status...
Select task...,Valj uppgift...
Select type...,Valj typ...
Selection,Urval
Send,Skicka
Send comment,Skicka kommentar
Send email invitations to attendees,Skicka e-postinbjudningar till deltagare
Send Invitations,Skicka inbjudningar
Send notification when a task is assigned to a user,Skicka notifiering nar en uppgift tilldelas en anvandare
Send notification when task status changes,Skicka notifiering nar uppgiftsstatus andras
Send reminder before task due date,Skicka paminnelse fore uppgiftens forfallodag
sent,skickad
Set rate,Ange taxa
Settings,Installningar
Settings saved successfully,Installningar sparade
Severity,Allvarlighetsgrad
SF (Start-Finish),SF (Start-Slut)
SF - Start-to-Finish,SF - Start-till-Slut
Show,Visa
Show all,Visa alla
Show all changes,Visa alla andringar
Show Archived,Visa arkiverade
Show full diff,Visa fullstandig skillnad
Show less,Visa mindre
Show more,Visa mer
Skill added,Kompetens tillagd
Skill is required,Kompetens kravs
Skill Name,Kompetensnamn
Skill removed,Kompetens borttagen
Skill {0} already exists for this resource,Kompetens {0} finns redan for denna resurs
Skills,Kompetenser
Skills & Competencies,Fardigheter och kompetenser
Skip already migrated projects,Hoppa over redan migrerade projekt
Sort by,Sortera efter
Sort: Due Date,Sortering: Forfallodag
Sort: Priority,Sortering: Prioritet
Sort: Project,Sortering: Projekt
Sort: Status,Sortering: Status
Sort: Task,Sortering: Uppgift
Source Code,Kallkod
Spent,Forbrukat
Spent:,Forbrukat:
SS (Start-Start),SS (Start-Start)
SS - Start-to-Start,SS - Start-till-Start
Standalone,Fristaende
Start,Start
Start a discussion below,Starta en diskussion nedan
Start Date,Startdatum
Start date,Startdatum
Start Date (Earliest),Startdatum (tidigast)
Start date updated,Startdatum uppdaterat
Start date/time is required,Startdatum/-tid kravs
Start Migration,Starta migrering
Start the conversation below.,Borja samtalet nedan.
Start Timer,Starta kronometer
Start typing to search...,Borja skriva for att soka...
Start-to-Finish,Start-till-Slut
Start-to-Start,Start-till-Start
Start:,Start:
Statistics reset,Statistik aterstallda
Status,Status
Status assigned to new projects,Status tilldelad nya projekt
Status assigned to new tasks,Status tilldelad nya uppgifter
Status Changes,Statusandringar
Status updated,Status uppdaterad
Status:,Status:
Stop,Stoppa
Stop & Save,Stoppa och spara
Stop Timer,Stoppa kronometer
Stops current timer and starts for this event,Stoppar aktuell kronometer och startar for detta evenemang
Stops current timer and starts for this task,Stoppar aktuell kronometer och startar for denna uppgift
Subject,Amne
Subject cannot exceed 255 characters,Amne far inte overstiga 255 tecken
Subject is required,Amne kravs
Submit,Skicka in
Submit Another Request,Skicka in ytterligare en forfragan
Submit Request,Skicka in forfragan
Submitting...,Skickar...
Successfully saved,Sparades
Successors (Blocking),Efterfoljande (blockerande)
Sun,Son
Supplier,Leverantor
Support,Support
Switch to this event,Vaxla till detta evenemang
Switch to this task,Vaxla till denna uppgift
Sync direction is set to Frappe to Orga only,Synkroniseringsriktning ar satt till enbart Frappe till Orga
Sync direction is set to Orga to Frappe only,Synkroniseringsriktning ar satt till enbart Orga till Frappe
Sync not enabled for this project,Synkronisering ar inte aktiverad for detta projekt
System,System
Table,Tabell
Take ownership of this task,Ta ansvar for denna uppgift
Target Date,Maldatum
Target End,Malslut
Target Project,Malprojekt
Target user is required for '{0}' action,"Malanvandare kravs for atgarден ""{0}"""
Task,Uppgift
task,uppgift
Task '{0}' is due on {1}.,"Uppgift ""{0}"" forfaller {1}."
Task and resource are required,Uppgift och resurs kravs
Task Assignment,Uppgiftstilldelning
Task cannot be its own parent,En uppgift kan inte vara sin egen overordnad
Task cannot depend on itself,En uppgift kan inte bero pa sig sjalv
Task cannot depend on the group it belongs to,En uppgift kan inte bero pa gruppen den tillhor
Task created,Uppgift skapad
Task deleted,Uppgift raderad
Task description has been saved.,Uppgiftsbeskrivning har sparats.
Task Details,Uppgiftsdetaljer
Task due in {0} days: {1},Uppgift forfaller om {0} dagar: {1}
Task due today: {0},Uppgift forfaller idag: {0}
Task due tomorrow: {0},Uppgift forfaller imorgon: {0}
Task duplicated,Uppgift kopierad
Task Group,Uppgiftsgrupp
Task ID is required,Uppgifts-ID kravs
Task is blocked by incomplete dependencies,Uppgiften ar blockerad av ofullstandiga beroenden
Task is cancelled,Uppgiften ar avbruten
Task is completed,Uppgiften ar slutford
Task is no longer blocked by a group,Uppgiften ar inte langre blockerad av en grupp
Task is required for task context,Uppgift kravs for uppgiftssammanhang
Task is required when tracking context is 'task',"Uppgift kravs nar uppfoljningssammanhanget ar ""uppgift"""
Task linked,Uppgift lankad
Task moved,Uppgift flyttad
Task name,Uppgiftsnamn
Task name is required,Uppgiftsnamn kravs
Task removed from group,Uppgift borttagen fran grupp
Task Subject,Uppgiftsamne
Task subject is required,Uppgiftsamne kravs
Task Type,Uppgiftstyp
Task unblocked: {0},Uppgift avblockerad: {0}
Task unlinked,Uppgift avlankad
Task updated,Uppgift uppdaterad
Task {0} not found,Uppgift {0} hittades inte
Task {0} not in project {1},Uppgift {0} finns inte i projekt {1}
Task {0} to Frappe,Uppgift {0} till Frappe
Tasks,Uppgifter
tasks,uppgifter
Tasks and milestones will be created with dates relative to the project start date.,Uppgifter och milstolpar skapas med datum relativt projektets startdatum.
Tasks assigned to you across all projects.,Uppgifter tilldelade till dig i alla projekt.
Tasks created:,Uppgifter skapade:
Tasks from projects you manage.,Uppgifter fran projekt du hanterar.
Tasks updated:,Uppgifter uppdaterade:
"Tasks, milestones, and dependencies have been created.","Uppgifter, milstolpar och beroenden har skapats."
Tasks:,Uppgifter:
TBD,Ej beslutat
Team,Team
Team Members,Teammedlemmar
Template,Mall
Template applied,Mall tillampad
Template data is required in import data,Malldata kravs i importdata
Template has no data,Mallen har inga data
Template Name,Mallnamn
Template name,Mallnamn
Template name is required,Mallnamn kravs
Template name is required in import data,Mallnamn kravs i importdata
Template saved,Mall sparad
Template updated successfully.,Mall uppdaterad.
Template {0} not found,Mall {0} hittades inte
Templates,Mallar
Tentative,Preliminar
The comment has been deleted,Kommentaren har raderats
The project,Projektet
The source document may have been deleted.,Kalldokumentet kan ha raderats.
The source document will not be affected.,Kalldokumentet paverkas inte.
The status of '{0}' was changed from {1} to {2}.,"Statusen for ""{0}"" andrades fran {1} till {2}."
Theme,Tema
Theme preference,Temainställning
This action,Denna atgard
This action cannot be undone.,Denna atgard kan inte angras.
This activity has been flagged for attention,Denna aktivitet har flaggats for uppmarksamhet
This is a reminder for your upcoming appointment,Detta ar en paminnelse om ditt kommande mote
This method is only meant for developer mode,Denna metod ar enbart avsedd for utvecklarlage
This page wandered off,This page wandered off
This Week,Denna vecka
This will delete all notes and preferences associated with this activity.,Detta raderar alla anteckningar och installningar kopplde till denna aktivitet.
This will import all Frappe Projects into Orga. Continue?,Detta importerar alla Frappe-projekt till Orga. Fortsatt?
This will permanently delete,Detta raderar permanent
This will permanently delete:,Detta raderar permanent:
Thu,Tor
Time,Tid
Time & Billing,Tid och fakturering
Time & Revenue,Tid och intakter
Time Entries,Tidsposter
Time log name is required,Namn pa tidspost kravs
Time Log not found,Tidspost hittades inte
Time log {0} not found,Tidspost {0} hittades inte
Time Logs,Tidsposter
Time Summary,Tidssammanstallning
Time Tracking,Tidsregistrering
Timeline,Tidslinje
Timer active on,Kronometer aktiv pa
Timer is not running,Kronometern ar inte igang
Timer Running,Kronometer igang
Timer running,Kronometer igang
Timesheet DocType not available,DocType for tidrapport inte tillganglig
Timesheets,Tidrapporter
Timezone,Tidszon
Timezone is detected from your browser,Tidszon detekteras fran din webblasare
Title,Titel
Title cannot exceed 255 characters,Titel far inte overstiga 255 tecken
Title is required,Titel kravs
Title updated,Titel uppdaterad
To,Till
to,till
to cancel,for att avbryta
to close,for att stanga
to confirm:,for att bekrafta:
to edit,for att redigera
"to save,","for att spara,"
To Time cannot be before From Time,Sluttiden kan inte vara fore starttiden
Today,Idag
today,idag
Toggle billable,Vaxla fakturerbar
Toggle Details Panel,Visa/dolj detaljpanelen
Toggle Manager Panel,Visa/dolj chefspanelen
Toggle Sidebar,Visa/dolj sidofalt
Tomorrow,Imorgon
tomorrow,imorgon
Total,Totalt
Total Budget,Total budget
Total Contacts,Totalt antal kontakter
Total Cost,Total kostnad
Total Cost to Org,Total kostnad for organisationen
Total Defect Cost,Total defektkostnad
Total Hours,Totalt antal timmar
Total Hours Logged,Totalt antal registrerade timmar
Total Projects,Totalt antal projekt
Total Spent,Totalt forbrukat
Total Tasks,Totalt antal uppgifter
Total:,Totalt:
Tracked,Folj
trails to today while Open at 0%,glider till idag medan Oppen vid 0%
Tried:,Tried:
Try adjusting your filter criteria,Forsok justera dina filterkriterier
Try adjusting your filters.,Forsok justera dina filter.
Try Again,Forsok igen
Tue,Tis
Type,Typ
Type updated,Typ uppdaterad
Type:,Typ:
Typical response time: 1-2 business days,Typisk svarstid: 1-2 arbetsdagar
Unarchive,Avarkivera
Unarchive Activity,Avarkivera aktivitet
Unassign,Avdela
Unassigned,Ej tilldelad
Under Budget,Under budget
Ungrouped,Ogrupperad
Unknown,Okand
Unknown error,Okant fel
Unlink failed,Avlankning misslyckades
Unlink task from milestone,Avlanka uppgift fran milstolpe
Unpin,Ta bort nal
Unpin Activity,Ta bort nal fran aktivitet
Unread,Olast
Unread only,Enbart olasta
Until,Till och med
Up to Date,Up to Date
Upcoming,Kommande
upcoming,kommande
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Uppdatering misslyckades
Updated,Uppdaterad
Updated successfully,Uppdaterad
Updates,Updates
Upload,Ladda upp
Upload failed,Uppladdning misslyckades
Upload files below to attach them to this task.,Ladda upp filer nedan for att bifoga dem till denna uppgift.
Upload to project,Ladda upp till projekt
Uploading...,Laddar upp...
Urgent,Akut
User {0} is already linked to client {1},Anvandare {0} ar redan lankad till klient {1}
User {0} is already linked to resource {1},Anvandare {0} ar redan lankad till resurs {1}
Utilization,Nyttjande
Valid,Giltig
Value:,Varde:
Variance,Avvikelse
Variance:,Avvikelse:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Visa
View All,Visa alla
View all active projects,Visa alla aktiva projekt
View all open tasks,Visa alla oppna uppgifter
View overdue tasks,Visa forsenade uppgifter
View Release,View Release
Visibility,Synlighet
Waiting for this task,Vantar pa denna uppgift
Waits for:,Vantar pa:
Warning: Resource {0} status is {1},Varning: Resurs {0} har status {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Varning: HTTP anvands istallet for HTTPS. Webhook-data kanske inte ar sakra.
Watch budget closely,Bevaka budgeten noggrant
We'll respond to:,Vi svarar till:
Webhook deleted,Webhook raderad
Webhook name is required,Webhook-namn kravs
Webhook not found,Webhook hittades inte
Webhook URL is required,Webhook-URL kravs
Webhook URL must start with http:// or https://,Webhook-URL maste borja med http:// eller https://
Wed,Ons
Week,Vecka
Weekend,Helg
Weekly Capacity,Veckokapacitet
weekly capacity,veckokapacitet
Weekly Capacity (h),Veckokapacitet (t)
Welcome,Valkommen
Welcome back!,Valkomnen tillbaka!
Welcome to Orga,Valkommen till Orga
What are you working on?,Vad arbetar du med?
What did you work on?,Vad arbetade du med?
When,Nar
When work begins,Nar arbetet borjar
When work is due,Nar arbetet forfaller
Where,Var
Will capture:,Kommer att fanga:
Will create:,Kommer att skapa:
with checklist items,med checklistepunkter
Working,Arbetar
Workload,Arbetsbelastning
Workmanship,Utforande
Write a comment...,Skriv en kommentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Skriv en kommentar... Anvand @namn for att namna (Ctrl+Enter for att skicka)
Year,Ar
Yes,Ja
Yesterday,Igar
yesterday,igar
You are not an attendee of this appointment,Du ar inte en deltagare i detta mote
You are not linked to any resource,Du ar inte lankad till nagon resurs
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Du kan bara radera dina egna kommentarer
You can only delete your own reactions,Du kan bara radera dina egna reaktioner
You do not have access to the client portal. Please contact support.,Du har inte atkomst till klientportalen. Kontakta supporten.
You have already reacted with '{0}',"Du har redan reagerat med ""{0}"""
You have been assigned to task '{0}' in project '{1}'.,"Du har tilldelats uppgiften ""{0}"" i projektet ""{1}""."
You have been assigned to: {0},Du har tilldelats: {0}
You have been invited to the following appointment,Du har blivit inbjuden till foljande mote
You have no tasks assigned to you right now.,Du har inga uppgifter tilldelade just nu.
