+ Add Milestone,+ Adaugă o etapă
Just now,Chiar acum
just now,chiar acum
Kanban,Kanban
Kanban Board,Tablou Kanban
Kanban View,Vizualizare Kanban
Keyboard Shortcuts,Scurtături de tastatură
Keyboard shortcuts (?),Scurtături de tastatură (?)
Last checked: {0},Last checked: {0}
Last Updated,Ultima actualizare
Last updated:,Ultima actualizare:
Last Week,Săptămâna trecută
Latest Version,Latest Version
Light,Luminos
Link failed,Asocierea a eșuat
Link Task,Asociază o sarcină
Linked,Asociat
Linked employee not found,Angajat asociat negăsit
Linked Tasks,Sarcini asociate
List,Listă
List View,Vizualizare listă
Load failed,Încărcarea a eșuat
Load More,Încarcă mai mult
Load more comments,Încarcă mai multe comentarii
Loading activity...,Se încarcă activitatea...
Loading changes...,Se încarcă modificările...
Loading checklist...,Se încarcă lista de verificare...
Loading comments...,Se încarcă comentariile...
Loading contact...,Se încarcă contactul...
Loading contacts...,Se încarcă contactele...
Loading dependencies...,Se încarcă dependențele...
Loading details...,Se încarcă detaliile...
Loading discussion...,Se încarcă discuția...
Loading events...,Se încarcă evenimentele...
Loading files...,Se încarcă fișierele...
Loading notes...,Se încarcă notele...
Loading preferences...,Se încarcă preferințele...
Loading project...,Se încarcă proiectul...
Loading projects...,Se încarcă proiectele...
Loading replies...,Se încarcă răspunsurile...
Loading report data...,Se încarcă datele raportului...
Loading settings...,Se încarcă setările...
Loading task...,Se încarcă sarcina...
Loading templates...,Se încarcă șabloanele...
Loading time logs...,Se încarcă înregistrările de timp...
Loading your portal...,Se încarcă portalul dumneavoastră...
Loading...,Se încarcă...
Location,Locație
Log Time,Înregistrează timpul
Logout,Deconectare
Low,Scăzută
Make Offer,Fă o ofertă
Manager,Responsabil
Manual Entry,Introducere manuală
Margin,Marjă
Mark all as read,Marchează toate ca citite
Mark all read,Marchează toate ca citite
Mark as read,Marchează ca citit
Mark as unread,Marchează ca necitit
Mark read,Marchează ca citit
Marking...,Se marchează...
Material,Material
Maybe,Poate
Medium,Medie
Meeting,Întâlnire
Meeting Link,Link întâlnire
Meeting title,Titlul întâlnirii
Meeting URL,URL întâlnire
Meetings,Întâlniri
Mention,Menționează
Message,Mesaj
Message is required,Mesajul este obligatoriu
Message is required for '{0}' action,Mesajul este obligatoriu pentru acțiunea «{0}»
Migrate,Migrează
Migration Complete,Migrare finalizată
Migration ID:,ID de migrare:
Migration log not found: {0},Jurnalul de migrare nu a fost găsit: {0}
Milestone,Etapă
milestone,etapă
Milestone created,Etapă creată
Milestone description has been saved.,Descrierea etapei a fost salvată.
Milestone ID is required,Identificatorul etapei este obligatoriu
Milestone marked as Missed (past due date),Etapă marcată ca ratată (dată scadentă depășită)
Milestone moved,Etapă mutată
Milestone Name,Numele etapei
Milestone name has been saved.,Numele etapei a fost salvat.
Milestone name is required,Numele etapei este obligatoriu
Milestone updated,Etapă actualizată
Milestone {0} not found,Etapa {0} nu a fost găsită
Milestone {0} not in project {1},Etapa {0} nu se află în proiectul {1}
Milestones,Etape
milestones,etape
Milestones:,Etape:
Minutes,Minute
Missed,Ratat
Mixed,Mixt
Mobile,Mobil
Moderate,Moderat
Modified,Modificat
"Modify details, time, or attendees","Modifică detalii, ora sau participanții"
Mon,Lu
Month,Lună
Move failed,Mutarea a eșuat
Must be a positive number,Trebuie să fie un număr pozitiv
Must finish before this finishes,Trebuie să se termine înainte ca aceasta să se termine
Must finish before this starts,Trebuie să se termine înainte ca aceasta să înceapă
Must start before this finishes,Trebuie să înceapă înainte ca aceasta să se termine
Must start before this starts,Trebuie să înceapă înainte ca aceasta să înceapă
My Assignments,Atribuirile mele
My Projects,Proiectele mele
My Schedule,Programul meu
My Tasks,Sarcinile mele
N/A,N/D
Name,Nume
Name (A-Z),Nume (A-Z)
Name (Z-A),Nume (Z-A)
Name cannot exceed 255 characters,Numele nu poate depăși 255 de caractere
Need help?,Aveți nevoie de ajutor?
Needs Attention,Necesită atenție
Never,Never
new activities,activități noi
New Activity,Activitate nouă
New activity,Activitate nouă
New Event,Eveniment nou
New index is required,Noul index este obligatoriu
New Project,Proiect nou
New tasks will auto-trail by default.,Sarcinile noi vor avea alunecare automată în mod implicit.
Newest First,Cele mai noi primele
Next,Următorul
Next 14 days,Următoarele 14 zile
Next 30 days,Următoarele 30 de zile
Next 60 days,Următoarele 60 de zile
Next 7 days,Următoarele 7 zile
Next 90 days,Următoarele 90 de zile
Next Week,Săptămâna viitoare
Next:,Următorul:
No,Nu
No active assignments,Nicio atribuire activă
No active projects,Niciun proiect activ
No active timer found,Niciun cronometru activ găsit
No activity selected,Nicio activitate selectată
No assignments found,Nicio atribuire găsită
No attendees,Niciun participant
no change,nicio modificare
No changes for this field.,Nicio modificare pentru acest câmp.
No changes recorded for this activity.,Nicio modificare înregistrată pentru această activitate.
No checklist items yet,Niciun element în lista de verificare încă
No checklist items yet.,Niciun element în lista de verificare încă.
No comments yet,Niciun comentariu încă
No comments yet.,Niciun comentariu încă.
No contacts available,Niciun contact disponibil
No content for this tab,Niciun conținut pentru această filă
No data available,Nicio informație disponibilă
No data available for the selected filters,Nicio informație disponibilă pentru filtrele selectate
No data to export,Nicio informație de exportat
No dates set,Nicio dată stabilită
No defects reported,Niciun defect raportat
No dependencies defined,Nicio dependență definită
No description,Fără descriere
No discussion yet.,Nicio discuție încă.
No documents attached,Niciun document atașat
No due date,Fără dată scadentă
No employee linked to this resource,Niciun angajat asociat cu această resursă
No ERPNext employee linked to resource,Niciun angajat ERPNext asociat cu resursa
No events found,Niciun eveniment găsit
No files attached yet.,Niciun fișier atașat încă.
No Frappe Project linked,Niciun proiect Frappe asociat
No Grouping,Fără grupare
No items,Niciun element
No matching tasks,Nicio sarcină corespunzătoare
No matching tasks found,Nicio sarcină corespunzătoare găsită
No migration history,Niciun istoric de migrare
No Milestone,Fără etapă
No milestones,Fără etape
No milestones defined for this project.,Nicio etapă definită pentru acest proiect.
No notes yet.,Nicio notă încă.
No notes yet. Add a due diligence note to track progress.,Nicio notă încă. Adăugați o notă de verificare prealabilă pentru a urmări progresul.
No notifications,Nicio notificare
No Orga Project linked to Frappe Project {0},Niciun proiect Orga asociat cu proiectul Frappe {0}
No overdue tasks,Nicio sarcină întârziată
No pending cascade changes,Nicio modificare în cascadă în așteptare
No predecessors - this task can start independently,Fără predecesori - această sarcină poate începe independent
No project,Fără proiect
No projects found,Niciun proiect găsit
No Projects Yet,Niciun proiect încă
No recent activity,Nicio activitate recentă
No related documents,Niciun document asociat
No resolved threads.,Niciun fir de discuție rezolvat.
No resources found,Nicio resursă găsită
No results found,Niciun rezultat găsit
No skills listed,Nicio competență listată
No skills recorded yet,Nicio competență înregistrată încă
No successors - no tasks are waiting for this one,Fără succesori - nicio sarcină nu așteaptă după aceasta
No task selected,Nicio sarcină selectată
No tasks assigned to you,Nicio sarcină atribuită dumneavoastră
No tasks available to add,Nicio sarcină disponibilă de adăugat
No tasks found,Nicio sarcină găsită
No tasks linked to this milestone,Nicio sarcină asociată cu această etapă
No tasks with dates to display,Nicio sarcină cu date de afișat
No tasks yet,Nicio sarcină încă
No team members,Niciun membru al echipei
No template,Fără șablon
No templates yet,Niciun șablon încă
No time data found,Nicio informație de timp găsită
No time logged today,Niciun timp înregistrat astăzi
No time logged yet,Niciun timp înregistrat încă
No time logs for this period,Nicio înregistrare de timp pentru această perioadă
No time logs found,Nicio înregistrare de timp găsită
No unread notifications,Nicio notificare necitită
No update information available yet.,No update information available yet.
None,Niciunul
Not found,Negăsit
Not permitted,Neautorizat
Not permitted to access this project,Nu sunteți autorizat să accesați acest proiect
Not permitted to access this task,Nu sunteți autorizat să accesați această sarcină
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Nu sunteți autorizat să comentați acest document
Not permitted to create clients,Nu sunteți autorizat să creați clienți
Not permitted to delete this client,Nu sunteți autorizat să ștergeți acest client
Not permitted to delete this defect,Nu sunteți autorizat să ștergeți acest defect
Not permitted to delete this note,Nu sunteți autorizat să ștergeți această notă
Not permitted to delete this project,Nu sunteți autorizat să ștergeți acest proiect
Not permitted to delete this task,Nu sunteți autorizat să ștergeți această sarcină
Not permitted to delete this time log,Nu sunteți autorizat să ștergeți această înregistrare de timp
Not permitted to invite clients,Nu sunteți autorizat să invitați clienți
Not permitted to modify client access,Nu sunteți autorizat să modificați accesul clientului
Not permitted to modify this project,Nu sunteți autorizat să modificați acest proiect
Not permitted to update settings,Nu sunteți autorizat să modificați setările
Not permitted to update this client,Nu sunteți autorizat să modificați acest client
Not permitted to view this client,Nu sunteți autorizat să vedeți acest client
not sent,netrimis
Not set,Nestabilit
Not specified,Nespecificat
Note,Notă
Note (optional),Notă (opțional)
Note Content,Conținutul notei
Note content is required,Conținutul notei este obligatoriu
Note name is required,Numele notei este obligatoriu
Note not found,Notă negăsită
Note Type,Tip de notă
Notes,Note
Notification,Notificare
Notification not found,Notificare negăsită
Notifications,Notificări
Off Track,În afara graficului
Offer,Ofertă
Offer Prepared,Ofertă pregătită
Oldest First,Cele mai vechi primele
On Hold,În așteptare
On Leave,În concediu
On Track,Conform graficului
On-Time Rate,Rata de punctualitate
Only administrators can delete activities,Doar administratorii pot șterge activitățile
Only the comment author or administrators can delete comments,Doar autorul comentariului sau administratorii pot șterge comentariile
Only you and admins,Doar dumneavoastră și administratorii
Open,Deschis
Open in Desk,Deschide în Desk
Open Task Log,Deschide jurnalul sarcinii
Open Tasks,Sarcini deschise
Optional,Opțional
optional,opțional
Or email us directly at,Sau trimiteți-ne un e-mail direct la
Orga Project {0} from Frappe Projects,Proiect Orga {0} din Frappe Projects
Orga Task {0} from Frappe,Sarcină Orga {0} din Frappe
Organizer,Organizator
Other,Altul
Over Budget,Peste buget
Overall Progress,Progres general
Overall Utilization,Utilizare generală
Overallocated,Supraalocat
Overdue,Întârziat
overdue,întârziat
Overdue Tasks,Sarcini întârziate
Overview,Prezentare generală
Owner,Proprietar
Page Not Found,Pagină negăsită
Parent,Părinte
Parent comment must belong to the same document,Comentariul părinte trebuie să aparțină aceluiași document
Parent comment not found,Comentariu părinte negăsit
Parent project not synced to Frappe yet,Proiectul părinte nu a fost încă sincronizat cu Frappe
Parent project sync not enabled,Sincronizarea proiectului părinte nu este activată
Partner,Partener
Pending,În așteptare
per page,pe pagină
Perform initial assessment and background check,Efectuați evaluarea inițială și verificarea antecedentelor
Permanently remove this event,Șterge definitiv acest eveniment
Permanently remove this task,Șterge definitiv această sarcină
Phone,Telefon
Pin,Fixează
Pin Activity,Fixează activitatea
Pin to top,Fixează în partea de sus
Pinned,Fixat
Planned budget for this task,Bugetul planificat pentru această sarcină
Planning,Planificare
Please describe your question or issue in detail...,Vă rugăm descrieți întrebarea sau problema în detaliu...
Please login to access Orga,Vă rugăm autentificați-vă pentru a accesa Orga
Please login to access the client portal,Vă rugăm autentificați-vă pentru a accesa portalul clientului
Please respond to this invitation in Orga,Vă rugăm răspundeți la această invitație în Orga
Please select an image file,Vă rugăm selectați un fișier imagine
Please try again,Vă rugăm încercați din nou
Please type,Vă rugăm tastați
Portal,Portal
Portal access revoked for {0},Acces la portal revocat pentru {0}
Portal user created successfully. Welcome email {0},Utilizator de portal creat cu succes. E-mail de bun venit {0}
Post,Publică
Powered by,Susținut de
Powered by Tonic,Susținut de Tonic
Predecessors (Blocked By),Predecesori (blocat de)
Preferences,Preferințe
Preferences saved successfully,Preferințe salvate cu succes
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","Prefix pentru codurile de proiect generate automat (de ex., ORG-2026-0001)"
Prepare and document offer terms,Pregătiți și documentați condițiile ofertei
Press,Apăsați
Preview,Previzualizare
Preview cascade before applying,Previzualizați cascada înainte de aplicare
Previous,Anterior
Priority,Prioritate
Priority assigned to new tasks,Prioritate atribuită sarcinilor noi
Priority updated,Prioritate actualizată
Proficiency,Competență
Profile,Profil
Progress,Progres
Progress (High-Low),Progres (descrescător)
Progress (Low-High),Progres (crescător)
Progress Overview,Prezentare generală a progresului
Progress updated,Progres actualizat
Project,Proiect
Project budget has been saved.,Bugetul proiectului a fost salvat.
Project code (e.g. ORG-2026-0001),Cod proiect (de ex. ORG-2026-0001)
Project Code Prefix,Prefix cod proiect
Project created,Proiect creat
Project deleted,Proiect șters
Project description has been saved.,Descrierea proiectului a fost salvată.
Project Details,Detalii proiect
Project end date has been saved.,Data de finalizare a proiectului a fost salvată.
Project Files,Fișiere proiect
Project has no linked client,Proiectul nu are niciun client asociat
Project Health,Sănătatea proiectului
Project Info,Informații proiect
Project is required,Proiectul este obligatoriu
Project is required for project context,Proiectul este obligatoriu pentru contextul de proiect
Project is required when tracking context is 'project',Proiectul este obligatoriu când contextul de urmărire este «proiect»
Project Manager,Responsabil de proiect
Project Name,Numele proiectului
Project name and template name are required,Numele proiectului și numele șablonului sunt obligatorii
Project name is required,Numele proiectului este obligatoriu
Project not found,Proiect negăsit
Project not found or you do not have access,Proiect negăsit sau nu aveți acces
Project settings,Setări proiect
Project start date has been saved.,Data de începere a proiectului a fost salvată.
Project title has been saved.,Titlul proiectului a fost salvat.
Project Type,Tipul proiectului
Project updated,Proiect actualizat
Project {0} linked to client {1},Proiectul {0} a fost asociat cu clientul {1}
Project {0} not found,Proiectul {0} nu a fost găsit
Project {0} to Frappe Projects,Proiectul {0} către Frappe Projects
Project:,Proiect:
Projects,Proiecte
projects,proiecte
Projects created:,Proiecte create:
Projects Overview,Prezentare generală a proiectelor
Projects skipped:,Proiecte omise:
Projects updated:,Proiecte actualizate:
Promote failed,Promovarea a eșuat
Promote to task,Promovează la sarcină
Promoted to task,Promovat la sarcină
Propose,Propune
Propose New Time,Propune un orar nou
Propose Time,Propune un orar
Proposed End,Sfârșit propus
Proposed Start,Început propus
Public,Public
Quick Action,Acțiune rapidă
Quick Actions,Acțiuni rapide
Quick Stats,Statistici rapide
Rates,Tarife
Receive notifications via email,Primiți notificări prin e-mail
Receive notifications within the application,Primiți notificări în cadrul aplicației
Recent Activity,Activitate recentă
Recipient {0} is not a valid user,Destinatarul {0} nu este un utilizator valid
Reference,Referință
Refresh,Reîmprospătează
Related,Asociat
Related Company (optional),Companie asociată (opțional)
Related Documents,Documente asociate
Related Project,Proiect asociat
Remaining,Rămas
Reminder,Memento
Reminder Lead Time,Timp de avans al memento-ului
Reminder: {0} - {1} at {2},Memento: {0} - {1} la {2}
Remove,Elimină
Remove dependency,Elimină dependența
Remove dependency on,Elimină dependența de
Remove from group,Scoate din grup
Remove group dependency,Elimină dependența de grup
Remove skill,Elimină competența
Reopen,Redeschide
Reopen thread,Redeschide firul de discuție
reopened,redeschis
replies,răspunsuri
Reply,Răspunde
reply,răspuns
Replying to,Răspuns la
Replying to comment,Răspuns la comentariu
Report Defect,Raportează un defect
Reported Date,Data raportării
Reports,Rapoarte
Reports To,Raportează la
Request Submitted!,Solicitare trimisă!
Required,Obligatoriu
required,obligatoriu
Research,Cercetare
Reset to Defaults,Resetează la valorile implicite
Resolve,Rezolvă
Resolve thread,Rezolvă firul de discuție
Resolved,Rezolvat
Resolved date cannot be before reported date,Data rezolvării nu poate fi anterioară datei raportării
Resource,Resursă
Resource and skill name are required,Resursa și numele competenței sunt obligatorii
Resource is already an attendee,Resursa este deja participant
Resource name is required,Numele resursei este obligatoriu
Resource not found,Resursă negăsită
Resource synced from employee {0},Resursă sincronizată de la angajatul {0}
Resource {0} is already assigned to this task ({1}),Resursa {0} este deja atribuită acestei sarcini ({1})
Resource {0} not found,Resursa {0} nu a fost găsită
Resources,Contacte
Retry,Reîncearcă
Review,Revizuire
Review all relevant documents and contracts,Revizuiți toate documentele și contractele relevante
Reviews,Revizuiri
Risk Assessment,Evaluare a riscurilor
Rollback,Anulează
Rolled back,Anulat
Room or address,Sală sau adresă
RSVP,RSVP
Safety,Siguranță
Sat,Sâ
Save,Salvează
"Save a project as a template, or import one from a JSON file.","Salvați un proiect ca șablon, sau importați unul dintr-un fișier JSON."
Save as Template,Salvează ca șablon
Save Changes,Salvează modificările
Save failed,Salvarea a eșuat
Save Preferences,Salvează preferințele
Save Template,Salvează șablonul
Saving...,Se salvează...
Schedule,Program
Schedule type is required for scheduled triggers,Tipul de programare este obligatoriu pentru declanșatoarele programate
Scheduled,Programat
Search,Caută
"Search by name, email, or skill...","Căutați după nume, e-mail sau competență..."
Search for a project...,Căutați un proiect...
Search for a task...,Căutați o sarcină...
Search for an event...,Căutați un eveniment...
Search for people to invite...,Căutați persoane de invitat...
Search tasks to link...,Căutați sarcini de asociat...
Search tasks...,Căutați sarcini...
Search...,Căutați...
Searching...,Se caută...
Seen,Văzut
Select a project if your request is related to a specific project.,Selectați un proiect dacă solicitarea dumneavoastră este legată de un proiect anume.
Select a project...,Selectați un proiect...
Select a task from the Gantt chart to view and manage its details.,Selectați o sarcină din diagrama Gantt pentru a-i vedea și gestiona detaliile.
Select a task from the list or Kanban board to view and manage its details.,Selectați o sarcină din listă sau din tabloul Kanban pentru a-i vedea și gestiona detaliile.
Select a template...,Selectați un șablon...
Select priority...,Selectați o prioritate...
Select status...,Selectați o stare...
Select task...,Selectați o sarcină...
Select type...,Selectați un tip...
Selection,Selecție
Send,Trimite
Send comment,Trimite comentariul
Send email invitations to attendees,Trimiteți invitații prin e-mail participanților
Send Invitations,Trimite invitațiile
Send notification when a task is assigned to a user,Trimite o notificare când o sarcină este atribuită unui utilizator
Send notification when task status changes,Trimite o notificare la schimbarea stării unei sarcini
Send reminder before task due date,Trimite un memento înainte de data scadentă a sarcinii
sent,trimis
Set rate,Stabilește tariful
Settings,Setări
Settings saved successfully,Setări salvate cu succes
Severity,Severitate
SF (Start-Finish),SF (Început-Final)
SF - Start-to-Finish,SF - Început-la-Final
Show,Afișează
Show all,Afișează tot
Show all changes,Afișează toate modificările
Show Archived,Afișează arhivatele
Show full diff,Afișează diferențele complet
Show less,Afișează mai puțin
Show more,Afișează mai mult
Skill added,Competență adăugată
Skill is required,Competența este obligatorie
Skill Name,Numele competenței
Skill removed,Competență eliminată
Skill {0} already exists for this resource,Competența {0} există deja pentru această resursă
Skills,Competențe
Skills & Competencies,Competențe și aptitudini
Skip already migrated projects,Omite proiectele deja migrate
Sort by,Sortează după
Sort: Due Date,Sortare: Dată scadentă
Sort: Priority,Sortare: Prioritate
Sort: Project,Sortare: Proiect
Sort: Status,Sortare: Stare
Sort: Task,Sortare: Sarcină
Source Code,Cod sursă
Spent,Cheltuit
Spent:,Cheltuit:
SS (Start-Start),SS (Început-Început)
SS - Start-to-Start,SS - Început-la-Început
Standalone,Independent
Start,Început
Start a discussion below,Începeți o discuție mai jos
Start Date,Dată de începere
Start date,Dată de începere
Start Date (Earliest),Dată de începere (cea mai apropiată)
Start date updated,Dată de începere actualizată
Start date/time is required,Data/ora de începere este obligatorie
Start Migration,Începe migrarea
Start the conversation below.,Începeți conversația mai jos.
Start Timer,Pornește cronometrul
Start typing to search...,Începeți să tastați pentru a căuta...
Start-to-Finish,Început-la-Final
Start-to-Start,Început-la-Început
Start:,Început:
Statistics reset,Statistici resetate
Status,Stare
Status assigned to new projects,Stare atribuită proiectelor noi
Status assigned to new tasks,Stare atribuită sarcinilor noi
Status Changes,Schimbări de stare
Status updated,Stare actualizată
Status:,Stare:
Stop,Oprește
Stop & Save,Oprește și salvează
Stop Timer,Oprește cronometrul
Stops current timer and starts for this event,Oprește cronometrul curent și îl pornește pentru acest eveniment
Stops current timer and starts for this task,Oprește cronometrul curent și îl pornește pentru această sarcină
Subject,Subiect
Subject cannot exceed 255 characters,Subiectul nu poate depăși 255 de caractere
Subject is required,Subiectul este obligatoriu
Submit,Trimite
Submit Another Request,Trimite o altă solicitare
Submit Request,Trimite solicitarea
Submitting...,Se trimite...
Successfully saved,Salvat cu succes
Successors (Blocking),Succesori (blochează)
Sun,Du
Supplier,Furnizor
Support,Asistență
Switch to this event,Comută la acest eveniment
Switch to this task,Comută la această sarcină
Sync direction is set to Frappe to Orga only,Direcția de sincronizare este setată doar de la Frappe la Orga
Sync direction is set to Orga to Frappe only,Direcția de sincronizare este setată doar de la Orga la Frappe
Sync not enabled for this project,Sincronizarea nu este activată pentru acest proiect
System,Sistem
Table,Tabel
Take ownership of this task,Preia această sarcină
Target Date,Dată țintă
Target End,Sfârșit țintă
Target Project,Proiect țintă
Target user is required for '{0}' action,Utilizatorul țintă este obligatoriu pentru acțiunea «{0}»
Task,Sarcină
task,sarcină
Task '{0}' is due on {1}.,Sarcina «{0}» este scadentă pe {1}.
Task and resource are required,Sarcina și resursa sunt obligatorii
Task Assignment,Atribuire de sarcină
Task cannot be its own parent,O sarcină nu poate fi propriul ei părinte
Task cannot depend on itself,O sarcină nu poate depinde de ea însăși
Task cannot depend on the group it belongs to,O sarcină nu poate depinde de grupul căruia îi aparține
Task created,Sarcină creată
Task deleted,Sarcină ștearsă
Task description has been saved.,Descrierea sarcinii a fost salvată.
Task Details,Detalii sarcină
Task due in {0} days: {1},Sarcină scadentă în {0} zile: {1}
Task due today: {0},Sarcină scadentă astăzi: {0}
Task due tomorrow: {0},Sarcină scadentă mâine: {0}
Task duplicated,Sarcină duplicată
Task Group,Grup de sarcini
Task ID is required,Identificatorul sarcinii este obligatoriu
Task is blocked by incomplete dependencies,Sarcina este blocată de dependențe nefinalizate
Task is cancelled,Sarcina este anulată
Task is completed,Sarcina este finalizată
Task is no longer blocked by a group,Sarcina nu mai este blocată de un grup
Task is required for task context,Sarcina este obligatorie pentru contextul de sarcină
Task is required when tracking context is 'task',Sarcina este obligatorie când contextul de urmărire este «sarcină»
Task linked,Sarcină asociată
Task moved,Sarcină mutată
Task name,Numele sarcinii
Task name is required,Numele sarcinii este obligatoriu
Task removed from group,Sarcină eliminată din grup
Task Subject,Subiectul sarcinii
Task subject is required,Subiectul sarcinii este obligatoriu
Task Type,Tipul sarcinii
Task unblocked: {0},Sarcină deblocată: {0}
Task unlinked,Sarcină disociată
Task updated,Sarcină actualizată
Task {0} not found,Sarcina {0} nu a fost găsită
Task {0} not in project {1},Sarcina {0} nu se află în proiectul {1}
Task {0} to Frappe,Sarcina {0} către Frappe
Tasks,Sarcini
tasks,sarcini
Tasks and milestones will be created with dates relative to the project start date.,Sarcinile și etapele vor fi create cu date relative la data de începere a proiectului.
Tasks assigned to you across all projects.,Sarcini atribuite dumneavoastră din toate proiectele.
Tasks created:,Sarcini create:
Tasks from projects you manage.,Sarcini din proiectele pe care le gestionați.
Tasks updated:,Sarcini actualizate:
"Tasks, milestones, and dependencies have been created.","Sarcinile, etapele și dependențele au fost create."
Tasks:,Sarcini:
TBD,De stabilit
Team,Echipă
Team Members,Membrii echipei
Template,Șablon
Template applied,Șablon aplicat
Template data is required in import data,Datele șablonului sunt obligatorii în datele de import
Template has no data,Șablonul nu conține date
Template Name,Numele șablonului
Template name,Numele șablonului
Template name is required,Numele șablonului este obligatoriu
Template name is required in import data,Numele șablonului este obligatoriu în datele de import
Template saved,Șablon salvat
Template updated successfully.,Șablon actualizat cu succes.
Template {0} not found,Șablonul {0} nu a fost găsit
Templates,Șabloane
Tentative,Provizoriu
The comment has been deleted,Comentariul a fost șters
The project,Proiectul
The source document may have been deleted.,Documentul sursă este posibil să fi fost șters.
The source document will not be affected.,Documentul sursă nu va fi afectat.
The status of '{0}' was changed from {1} to {2}.,Starea «{0}» a fost schimbată de la {1} la {2}.
Theme,Temă
Theme preference,Preferință de temă
This action,Această acțiune
This action cannot be undone.,Această acțiune este ireversibilă.
This activity has been flagged for attention,Această activitate a fost semnalată pentru atenție
This is a reminder for your upcoming appointment,Acesta este un memento pentru programarea dumneavoastră următoare
This method is only meant for developer mode,Această metodă este destinată doar modului de dezvoltator
This page wandered off,This page wandered off
This Week,Săptămâna aceasta
This will delete all notes and preferences associated with this activity.,Aceasta va șterge toate notele și preferințele asociate cu această activitate.
This will import all Frappe Projects into Orga. Continue?,Aceasta va importa toate proiectele Frappe în Orga. Continuați?
This will permanently delete,Aceasta va șterge definitiv
This will permanently delete:,Aceasta va șterge definitiv:
Thu,Jo
Time,Timp
Time & Billing,Timp și facturare
Time & Revenue,Timp și venituri
Time Entries,Înregistrări de timp
Time log name is required,Numele înregistrării de timp este obligatoriu
Time Log not found,Înregistrare de timp negăsită
Time log {0} not found,Înregistrarea de timp {0} nu a fost găsită
Time Logs,Înregistrări de timp
Time Summary,Rezumatul timpului
Time Tracking,Urmărirea timpului
Timeline,Cronologie
Timer active on,Cronometru activ pe
Timer is not running,Cronometrul nu este în funcțiune
Timer Running,Cronometru în funcțiune
Timer running,Cronometru în funcțiune
Timesheet DocType not available,DocType Foaie de pontaj indisponibil
Timesheets,Foi de pontaj
Timezone,Fus orar
Timezone is detected from your browser,Fusul orar este detectat din navigatorul dumneavoastră
Title,Titlu
Title cannot exceed 255 characters,Titlul nu poate depăși 255 de caractere
Title is required,Titlul este obligatoriu
Title updated,Titlu actualizat
To,Către
to,la
to cancel,pentru a anula
to close,pentru a închide
to confirm:,pentru a confirma:
to edit,pentru a edita
"to save,","pentru a salva,"
To Time cannot be before From Time,Ora de sfârșit nu poate fi anterioară orei de început
Today,Astăzi
today,astăzi
Toggle billable,Comută facturabil
Toggle Details Panel,Afișează/ascunde panoul de detalii
Toggle Manager Panel,Afișează/ascunde panoul de gestionare
Toggle Sidebar,Afișează/ascunde bara laterală
Tomorrow,Mâine
tomorrow,mâine
Total,Total
Total Budget,Buget total
Total Contacts,Total contacte
Total Cost,Cost total
Total Cost to Org,Cost total pentru organizație
Total Defect Cost,Cost total al defectelor
Total Hours,Total ore
Total Hours Logged,Total ore înregistrate
Total Projects,Total proiecte
Total Spent,Total cheltuit
Total Tasks,Total sarcini
Total:,Total:
Tracked,Urmărit
trails to today while Open at 0%,alunecă până astăzi cât timp este Deschis la 0%
Tried:,Tried:
Try adjusting your filter criteria,Încercați să ajustați criteriile de filtrare
Try adjusting your filters.,Încercați să vă ajustați filtrele.
Try Again,Încercați din nou
Tue,Ma
Type,Tip
Type updated,Tip actualizat
Type:,Tip:
Typical response time: 1-2 business days,Timp obișnuit de răspuns: 1-2 zile lucrătoare
Unarchive,Dezarhivează
Unarchive Activity,Dezarhivează activitatea
Unassign,Retrage atribuirea
Unassigned,Neatribuit
Under Budget,Sub buget
Ungrouped,Negrupat
Unknown,Necunoscut
Unknown error,Eroare necunoscută
Unlink failed,Disocierea a eșuat
Unlink task from milestone,Disociază sarcina de etapă
Unpin,Anulează fixarea
Unpin Activity,Anulează fixarea activității
Unread,Necitit
Unread only,Doar necitite
Until,Până la
Up to Date,Up to Date
Upcoming,Viitor
upcoming,viitor
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Actualizarea a eșuat
Updated,Actualizat
Updated successfully,Actualizat cu succes
Updates,Updates
Upload,Încarcă
Upload failed,Încărcarea a eșuat
Upload files below to attach them to this task.,Încărcați fișiere mai jos pentru a le atașa la această sarcină.
Upload to project,Încarcă în proiect
Uploading...,Se încarcă...
Urgent,Urgent
User {0} is already linked to client {1},Utilizatorul {0} este deja asociat cu clientul {1}
User {0} is already linked to resource {1},Utilizatorul {0} este deja asociat cu resursa {1}
Utilization,Utilizare
Valid,Valid
Value:,Valoare:
Variance,Abatere
Variance:,Abatere:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Vizualizare
View All,Afișează tot
View all active projects,Afișează toate proiectele active
View all open tasks,Afișează toate sarcinile deschise
View overdue tasks,Afișează sarcinile întârziate
View Release,View Release
Visibility,Vizibilitate
Waiting for this task,Se așteaptă această sarcină
Waits for:,Așteaptă:
Warning: Resource {0} status is {1},Atenție: starea resursei {0} este {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Atenție: se utilizează HTTP în loc de HTTPS. Datele webhook ar putea să nu fie securizate.
