+ Add Milestone,+ සන්ධිස්ථානයක් එකතු කරන්න
Due Date (Earliest),නියමිත දිනය (ඉක්මනින්ම)
Due date cannot be before start date,නියමිත දිනය ආරම්භ දිනයට පෙර විය නොහැක
Due date is in the past,නියමිත දිනය අතීතයේය
Due Date Reminders,නියමිත දින මතක් කිරීම්
Due Diligence,නිසි පරීක්ෂාව
Due Diligence Checklist,නිසි පරීක්ෂා ලැයිස්තුව
Due This Week,මෙම සතියේ නියමිත
Due:,නියමිත:
Duplicate events are not allowed,අනුපිටපත් සිද්ධීන්ට ඉඩ නොදේ
Duplicate failed,අනුපිටපත් කිරීම අසාර්ථක විය
Duplicate Task,කාර්යය අනුපිටපත් කරන්න
Duration,කාල සීමාව
Duration Summary,කාල සීමා සාරාංශය
Duration:,කාල සීමාව:
e.g. Cracked wall finish in bathroom...,උදා. නානකාමරයේ බිත්ති නිමාවේ ඉරිතැලීමක්...
"e.g. Electrical, Plumbing...","උදා. විදුලි, නල..."
Edit,සංස්කරණය කරන්න
Edit (E),සංස්කරණය (E)
Edit dependency,පරායත්තතාව සංස්කරණය කරන්න
Edit Event,සිද්ධිය සංස්කරණය කරන්න
Efficiency,කාර්යක්ෂමතාව
Either dependency_name or depends_on is required,dependency_name හෝ depends_on අවශ්‍යයි
Email,විද්‍යුත් තැපෑල
Email invitations to all attendees,සියලු සහභාගිවන්නන්ට විද්‍යුත් ආරාධනා
Email is required to create portal user,ද්වාර පරිශීලකයෙකු සෑදීමට විද්‍යුත් තැපෑල අවශ්‍යයි
Email notifications,විද්‍යුත් තැපෑල දැනුම්දීම්
Employee,සේවකයා
Employee DocType not available,සේවක DocType ලබා ගත නොහැක
Employee not found,සේවකයා හමු නොවීය
Enable or disable optional features,විකල්ප විශේෂාංග සබල හෝ අබල කරන්න
Enable Time Tracking,කාල නිරීක්ෂණය සබල කරන්න
End,අවසානය
End Date,අවසන් දිනය
End date,අවසන් දිනය
End Date cannot be before Start Date,අවසන් දිනය ආරම්භ දිනයට පෙර විය නොහැක
End date cannot be before start date,අවසන් දිනය ආරම්භ දිනයට පෙර විය නොහැක
End date updated,අවසන් දිනය යාවත්කාලීන විය
End time was before start time. Adjusted to 1 hour after start.,අවසන් වේලාව ආරම්භ වේලාවට පෙර විය. ආරම්භයෙන් පැය 1කට පසු ලෙස සකස් කරන ලදී.
End:,අවසානය:
Enter milestone name...,සන්ධිස්ථාන නම ඇතුළත් කරන්න...
Enter project name,ව්‍යාපෘති නම ඇතුළත් කරන්න
Enter task title...,කාර්ය මාතෘකාව ඇතුළත් කරන්න...
Enter template name,සැකිල්ලේ නම ඇතුළත් කරන්න
Enter your note... Use @name to mention someone,ඔබේ සටහන ඇතුළත් කරන්න... යමෙකු සඳහන් කිරීමට @නම භාවිතා කරන්න
Error,දෝෂය
Error loading activity,ක්‍රියාකාරකම් පූරණයේ දෝෂයකි
Error loading contacts,සම්බන්ධතා පූරණයේ දෝෂයකි
Error loading dashboard,උපකරණ පුවරුව පූරණයේ දෝෂයකි
Error loading project,ව්‍යාපෘතිය පූරණයේ දෝෂයකි
Error loading projects,ව්‍යාපෘති පූරණයේ දෝෂයකි
Error loading settings,සැකසුම් පූරණයේ දෝෂයකි
Error loading tasks,කාර්යයන් පූරණයේ දෝෂයකි
Error loading templates,සැකිලි පූරණයේ දෝෂයකි
Est. Hours,ඇස්. පැය
Estimated,ඇස්තමේන්තුගත
Estimated Cost,ඇස්තමේන්තු පිරිවැය
Estimated Cost (€),ඇස්තමේන්තු පිරිවැය (€)
Estimated Hours,ඇස්තමේන්තු පැය
Estimated:,ඇස්තමේන්තු:
Evaluate potential risks and concerns,විභව අවදානම් සහ ගැටලු ඇගයීමට ලක් කරන්න
Event,සිද්ධිය
Event is required for event context,සිද්ධි සන්දර්භය සඳහා සිද්ධිය අවශ්‍යයි
Event is required when tracking context is 'event',නිරීක්ෂණ සන්දර්භය 'සිද්ධිය' වන විට සිද්ධිය අවශ්‍යයි
Event Type,සිද්ධි වර්ගය
Events,සිද්ධීන්
Events not available. Please run: bench --site orga.localhost migrate,සිද්ධීන් ලබා ගත නොහැක. කරුණාකර ක්‍රියාත්මක කරන්න: bench --site orga.localhost migrate
Events:,සිද්ධීන්:
Expert,විශේෂඥ
Explain why you are proposing a different time...,ඔබ වෙනත් වේලාවක් යෝජනා කරන්නේ ඇයිදැයි පැහැදිලි කරන්න...
Export,නිර්යාත කරන්න
Export failed,නිර්යාතය අසාර්ථක විය
Export JSON,JSON නිර්යාත කරන්න
Exported,නිර්යාත කළ
Exported to timesheet {0},කාල පත්‍රිකාව {0} වෙත නිර්යාත කරන ලදී
External,බාහිර
Failed to add item,අයිතමය එක් කිරීම අසාර්ථක විය
Failed to add note,සටහන එක් කිරීම අසාර්ථක විය
Failed to add skill,කුසලතාව එක් කිරීම අසාර්ථක විය
Failed to apply cascade changes: {0},ගංගා ප්‍රවාහ වෙනස්කම් යෙදීම අසාර්ථක විය: {0}
Failed to create defect,දෝෂය සෑදීම අසාර්ථක විය
Failed to create dependency,පරායත්තතාව සෑදීම අසාර්ථක විය
Failed to create event,සිද්ධිය සෑදීම අසාර්ථක විය
Failed to create milestone,සන්ධිස්ථානය සෑදීම අසාර්ථක විය
Failed to create project,ව්‍යාපෘතිය සෑදීම අසාර්ථක විය
Failed to create task,කාර්යය සෑදීම අසාර්ථක විය
Failed to create time log,කාල සටහන සෑදීම අසාර්ථක විය
Failed to delete,මකා දැමීම අසාර්ථක විය
Failed to delete comment,අදහස මකා දැමීම අසාර්ථක විය
Failed to delete contact,සම්බන්ධතාව මකා දැමීම අසාර්ථක විය
Failed to load,පූරණය අසාර්ථක විය
Failed to load activity,ක්‍රියාකාරකම පූරණය අසාර්ථක විය
Failed to load assignments,පැවරුම් පූරණය අසාර්ථක විය
Failed to load contact,සම්බන්ධතාව පූරණය අසාර්ථක විය
Failed to load dashboard data,උපකරණ පුවරු දත්ත පූරණය අසාර්ථක විය
Failed to load defects,දෝෂ පූරණය අසාර්ථක විය
Failed to load events,සිද්ධීන් පූරණය අසාර්ථක විය
Failed to load project,ව්‍යාපෘතිය පූරණය අසාර්ථක විය
Failed to load projects,ව්‍යාපෘති පූරණය අසාර්ථක විය
Failed to load report data,වාර්තා දත්ත පූරණය අසාර්ථක විය
Failed to load settings,සැකසුම් පූරණය අසාර්ථක විය
Failed to load tasks,කාර්යයන් පූරණය අසාර්ථක විය
Failed to move task,කාර්යය ගෙන යෑම අසාර්ථක විය
Failed to post comment,අදහස පළ කිරීම අසාර්ථක විය
Failed to propose new time,නව වේලාවක් යෝජනා කිරීම අසාර්ථක විය
Failed to remove item,අයිතමය ඉවත් කිරීම අසාර්ථක විය
Failed to remove skill,කුසලතාව ඉවත් කිරීම අසාර්ථක විය
Failed to reorder milestones: {0},සන්ධිස්ථාන නැවත අනුපිළිවෙළ කිරීම අසාර්ථක විය: {0}
Failed to reorder tasks: {0},කාර්යයන් නැවත අනුපිළිවෙළ කිරීම අසාර්ථක විය: {0}
Failed to reschedule dependent tasks: {0},පරායත්ත කාර්යයන් නැවත උපලේඛනගත කිරීම අසාර්ථක විය: {0}
Failed to save,සුරැකීම අසාර්ථක විය
Failed to save preferences,මනාපයන් සුරැකීම අසාර්ථක විය
Failed to save settings,සැකසුම් සුරැකීම අසාර්ථක විය
Failed to submit request. Please try again.,ඉල්ලීම ඉදිරිපත් කිරීම අසාර්ථක විය. කරුණාකර නැවත උත්සාහ කරන්න.
Failed to update item,අයිතමය යාවත්කාලීන කිරීම අසාර්ථක විය
Failed to update priority,ප්‍රමුඛතාව යාවත්කාලීන කිරීම අසාර්ථක විය
Failed to update task,කාර්යය යාවත්කාලීන කිරීම අසාර්ථක විය
Failed to update tasks: {0},කාර්යයන් යාවත්කාලීන කිරීම අසාර්ථක විය: {0}
Failed to upload avatar,අවතාරය උඩුගත කිරීම අසාර්ථක විය
Feature,විශේෂාංගය
Features,විශේෂාංග
FF (Finish-Finish),FF (අවසාන-අවසාන)
FF - Finish-to-Finish,FF - අවසාන-සිට-අවසාන
Field has been updated,ක්ෂේත්‍රය යාවත්කාලීන කරන ලදී
Field name is required for 'Set Field Value' action,'ක්ෂේත්‍ර අගය සකසන්න' ක්‍රියාව සඳහා ක්ෂේත්‍ර නම අවශ්‍යයි
Field {0} is not a Link field,ක්ෂේත්‍රය {0} සබැඳි ක්ෂේත්‍රයක් නොවේ
Field {0} not found in {1},ක්ෂේත්‍රය {0} {1} හි හමු නොවීය
file,ගොනුව
File,ගොනුව
File does not belong to this task,ගොනුව මෙම කාර්යයට අයත් නොවේ
File name is required,ගොනු නම අවශ්‍යයි
File uploaded,ගොනුව උඩුගත කරන ලදී
File {0} not found,ගොනුව {0} හමු නොවීය
files,ගොනු
Files,ගොනු
Filter,පෙරන්න
Final Decision,අවසන් තීරණය
Finance,මුල්‍ය
Financial,මුල්‍ය
Finish-to-Finish,අවසාන-සිට-අවසාන
Finish-to-Start,අවසාන-සිට-ආරම්භ
Flag,ධජය
Flag for attention,අවධානය සඳහා ධජය
Flagged,ධජය සලකුණු කළ
Focus Panel,අවධානය යොමු කිරීමේ පුවරුව
Follows your system preference. Currently:,ඔබේ පද්ධති මනාපය අනුගමනය කරයි. දැනට:
Frappe Project {0} not found,Frappe ව්‍යාපෘතිය {0} හමු නොවීය
Frappe Projects Migration,Frappe ව්‍යාපෘති සංක්‍රමණය
Frappe Projects module not available,Frappe ව්‍යාපෘති මොඩියුලය ලබා ගත නොහැක
Frappe Projects module not installed,Frappe ව්‍යාපෘති මොඩියුලය ස්ථාපනය කර නැත
Frappe Projects sync is not enabled,Frappe ව්‍යාපෘති සමමුහුර්ත කිරීම සබල කර නැත
Frappe Task DocType not found,Frappe කාර්ය DocType හමු නොවීය
Frappe Task has no project,Frappe කාර්යයට ව්‍යාපෘතියක් නැත
Frappe Task {0} not found,Frappe කාර්යය {0} හමු නොවීය
Fri,සිකු
From,සිට
From Template,සැකිල්ලකින්
FS (Finish-Start),FS (අවසාන-ආරම්භ)
FS - Finish-to-Start (default),FS - අවසාන-සිට-ආරම්භ (පෙරනිමි)
Full form view with audit trail,විගණන මාර්ගය සහිත සම්පූර්ණ පෝරම දසුන
Full name,සම්පූර්ණ නම
Gantt,Gantt
Gantt Chart,Gantt ප්‍රස්ථාරය
Gantt View,Gantt දසුන
General Note,සාමාන්‍ය සටහන
Get started,ආරම්භ කරන්න
Go back,ආපසු යන්න
Go Back,Go Back
Group by,කණ්ඩායම් කරන්න
Group dependency removed,කණ්ඩායම් පරායත්තතාව ඉවත් කරන ලදී
Group dependency set,කණ්ඩායම් පරායත්තතාව සකසන ලදී
Group removed,කණ්ඩායම ඉවත් කරන ලදී
Group updated,කණ්ඩායම යාවත්කාලීන විය
Hammock task dates are auto-calculated and cannot be changed manually,Hammock කාර්ය දිනයන් ස්වයංක්‍රීයව ගණනය කරන අතර අතින් වෙනස් කළ නොහැක
Have a question or need assistance? Fill out the form below and our team will get back to you.,"ප්‍රශ්නයක් හෝ සහාය අවශ්‍යද? පහත පෝරමය පුරවන්න, අපගේ කණ්ඩායම ඔබ වෙත සම්බන්ධ වනු ඇත."
Health,සෞඛ්‍ය තත්ත්වය
Healthy,සෞඛ්‍ය සම්පන්න
Hello {0},ආයුබෝවන් {0}
Here's what's happening with your projects today.,ඔබේ ව්‍යාපෘතිවල අද සිදුවන්නේ මෙයයි.
Hide,සඟවන්න
High,ඉහළ
History,ඉතිහාසය
Home,මුල් පිටුව
Hourly Cost,පැයකට පිරිවැය
Hours,පැය
hours,පැය
Hours Logged,සටහන් කළ පැය
ID,හැඳුනුම
Image must be smaller than 5 MB,රූපය 5 MB ට වඩා කුඩා විය යුතුය
Import,ආනයනය කරන්න
Import existing projects and tasks from Frappe Projects module,Frappe ව්‍යාපෘති මොඩියුලයෙන් පවතින ව්‍යාපෘති සහ කාර්යයන් ආනයනය කරන්න
Import failed,ආනයනය අසාර්ථක විය
Import Template,සැකිල්ල ආනයනය කරන්න
Imported,ආනයනය කළ
in,තුළ
In Progress,ප්‍රගතියේ
In Review,සමාලෝචනයේ
In-app notifications,යෙදුම් තුළ දැනුම්දීම්
Inactive,අක්‍රිය
Initial Review,ආරම්භක සමාලෝචනය
Installed Version,Installed Version
Insufficient permissions to view all tasks,සියලු කාර්යයන් බැලීමට ප්‍රමාණවත් අවසර නැත
Intermediate,මධ්‍යම
Internal,අභ්‍යන්තර
Invalid DocType,වලංගු නොවන DocType
Invalid DocType for import,ආනයනය සඳහා වලංගු නොවන DocType
Invalid item type: {0},වලංගු නොවන අයිතම වර්ගය: {0}
Invalid JSON data,වලංගු නොවන JSON දත්ත
Invalid note type. Must be one of: {0},වලංගු නොවන සටහන් වර්ගය. {0} වලින් එකක් විය යුතුය
Invalid project reference,වලංගු නොවන ව්‍යාපෘති යොමුව
Invalid reaction type. Must be one of: {0},වලංගු නොවන ප්‍රතිචාර වර්ගය. {0} වලින් එකක් විය යුතුය
Invalid RSVP status,වලංගු නොවන RSVP තත්ත්වය
Invalid status. Must be one of: {0},වලංගු නොවන තත්ත්වය. {0} වලින් එකක් විය යුතුය
Invalid status: {0},වලංගු නොවන තත්ත්වය: {0}
Invalid status: {0}. Must be one of: {1},වලංගු නොවන තත්ත්වය: {0}. {1} වලින් එකක් විය යුතුය
Invalid tracking context: {0},වලංගු නොවන නිරීක්ෂණ සන්දර්භය: {0}
Invalid visibility. Must be one of: {0},වලංගු නොවන දෘශ්‍යතාව. {0} වලින් එකක් විය යුතුය
Invitation: {0} - {1} at {2},ආරාධනය: {0} - {1} {2} වේලාවට
Invite People,පුද්ගලයින් ආරාධනා කරන්න
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,අයිතමය එකතු කරන ලදී
Item ID is required,අයිතම හැඳුනුම අවශ්‍යයි
Item removed,අයිතමය ඉවත් කරන ලදී
Item type is required,අයිතම වර්ගය අවශ්‍යයි
Item {0} not found,අයිතමය {0} හමු නොවීය
Job title or role,රැකියා තනතුර හෝ භූමිකාව
Join Meeting,රැස්වීමට සම්බන්ධ වන්න
Just now,මේ මොහොතේ
just now,මේ මොහොතේ
Kanban,කන්බන්
Kanban Board,කන්බන් පුවරුව
Kanban View,කන්බන් දසුන
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං
Keyboard shortcuts (?),යතුරුපුවරු කෙටිමං (?)
Last checked: {0},Last checked: {0}
Last Updated,අවසන් යාවත්කාලීනය
Last updated:,අවසන් යාවත්කාලීනය:
Last Week,පසුගිය සතිය
Latest Version,Latest Version
Light,දීප්ත
Link failed,සබැඳිය අසාර්ථක විය
Link Task,කාර්යය සම්බන්ධ කරන්න
Linked,සම්බන්ධිත
Linked employee not found,සම්බන්ධිත සේවකයා හමු නොවීය
Linked Tasks,සම්බන්ධිත කාර්යයන්
List,ලැයිස්තුව
List View,ලැයිස්තු දසුන
Load failed,පූරණය අසාර්ථක විය
Load More,තවත් පූරණය කරන්න
Load more comments,තවත් අදහස් පූරණය කරන්න
Loading activity...,ක්‍රියාකාරකම පූරණය වෙමින්...
Loading changes...,වෙනස්කම් පූරණය වෙමින්...
Loading checklist...,පරීක්ෂා ලැයිස්තුව පූරණය වෙමින්...
Loading comments...,අදහස් පූරණය වෙමින්...
Loading contact...,සම්බන්ධතාව පූරණය වෙමින්...
Loading contacts...,සම්බන්ධතා පූරණය වෙමින්...
Loading dependencies...,පරායත්තතා පූරණය වෙමින්...
Loading details...,විස්තර පූරණය වෙමින්...
Loading discussion...,සාකච්ඡාව පූරණය වෙමින්...
Loading events...,සිද්ධීන් පූරණය වෙමින්...
Loading files...,ගොනු පූරණය වෙමින්...
Loading notes...,සටහන් පූරණය වෙමින්...
Loading preferences...,මනාපයන් පූරණය වෙමින්...
Loading project...,ව්‍යාපෘතිය පූරණය වෙමින්...
Loading projects...,ව්‍යාපෘති පූරණය වෙමින්...
Loading replies...,පිළිතුරු පූරණය වෙමින්...
Loading report data...,වාර්තා දත්ත පූරණය වෙමින්...
Loading settings...,සැකසුම් පූරණය වෙමින්...
Loading task...,කාර්යය පූරණය වෙමින්...
Loading templates...,සැකිලි පූරණය වෙමින්...
Loading time logs...,කාල සටහන් පූරණය වෙමින්...
Loading your portal...,ඔබේ ද්වාරය පූරණය වෙමින්...
Loading...,පූරණය වෙමින්...
Location,ස්ථානය
Log Time,කාලය සටහන් කරන්න
Logout,පිටවන්න
Low,අඩු
Make Offer,දීමනාවක් කරන්න
Manager,කළමනාකරු
Manual Entry,අතින් ඇතුළත් කිරීම
Margin,ආන්තිකය
Mark all as read,සියල්ල කියවූ ලෙස සලකුණු කරන්න
Mark all read,සියල්ල කියවූ ලෙස සලකුණු කරන්න
Mark as read,කියවූ ලෙස සලකුණු කරන්න
Mark as unread,නොකියවූ ලෙස සලකුණු කරන්න
Mark read,කියවූ ලෙස සලකුණු කරන්න
Marking...,සලකුණු කරමින්...
Material,ද්‍රව්‍ය
Maybe,සමහරවිට
Medium,මධ්‍යම
Meeting,රැස්වීම
Meeting Link,රැස්වීම් සබැඳිය
Meeting title,රැස්වීම් මාතෘකාව
Meeting URL,රැස්වීම් URL
Meetings,රැස්වීම්
Mention,සඳහන් කිරීම
Message,පණිවිඩය
Message is required,පණිවිඩය අවශ්‍යයි
Message is required for '{0}' action,'{0}' ක්‍රියාව සඳහා පණිවිඩය අවශ්‍යයි
Migrate,සංක්‍රමණය කරන්න
Migration Complete,සංක්‍රමණය සම්පූර්ණයි
Migration ID:,සංක්‍රමණ හැඳුනුම:
Migration log not found: {0},සංක්‍රමණ සටහන හමු නොවීය: {0}
milestone,සන්ධිස්ථානය
Milestone,සන්ධිස්ථානය
Milestone created,සන්ධිස්ථානය සාදන ලදී
Milestone description has been saved.,සන්ධිස්ථාන විස්තරය සුරැකිණි.
Milestone ID is required,සන්ධිස්ථාන හැඳුනුම අවශ්‍යයි
Milestone marked as Missed (past due date),සන්ධිස්ථානය මඟහැරුණු ලෙස සලකුණු කරන ලදී (නියමිත දිනය ඉක්මවා ඇත)
Milestone moved,සන්ධිස්ථානය ගෙන යන ලදී
Milestone Name,සන්ධිස්ථාන නම
Milestone name has been saved.,සන්ධිස්ථාන නම සුරැකිණි.
Milestone name is required,සන්ධිස්ථාන නම අවශ්‍යයි
Milestone updated,සන්ධිස්ථානය යාවත්කාලීන විය
Milestone {0} not found,සන්ධිස්ථානය {0} හමු නොවීය
Milestone {0} not in project {1},සන්ධිස්ථානය {0} ව්‍යාපෘතිය {1} හි නොමැත
milestones,සන්ධිස්ථාන
Milestones,සන්ධිස්ථාන
Milestones:,සන්ධිස්ථාන:
Minutes,මිනිත්තු
Missed,මඟහැරුණු
Mixed,මිශ්‍ර
Mobile,ජංගම
Moderate,මධ්‍යස්ථ
Modified,වෙනස් කළ
"Modify details, time, or attendees","විස්තර, වේලාව, හෝ සහභාගිවන්නන් වෙනස් කරන්න"
Mon,සඳුදා
Month,මාසය
Move failed,ගෙන යෑම අසාර්ථක විය
Must be a positive number,ධන සංඛ්‍යාවක් විය යුතුය
Must finish before this finishes,මෙය අවසන් වීමට පෙර අවසන් විය යුතුය
Must finish before this starts,මෙය ආරම්භ වීමට පෙර අවසන් විය යුතුය
Must start before this finishes,මෙය අවසන් වීමට පෙර ආරම්භ විය යුතුය
Must start before this starts,මෙය ආරම්භ වීමට පෙර ආරම්භ විය යුතුය
My Assignments,මගේ පැවරුම්
My Projects,මගේ ව්‍යාපෘති
My Schedule,මගේ කාලසටහන
My Tasks,මගේ කාර්යයන්
N/A,අදාළ නැත
Name,නම
Name (A-Z),නම (A-Z)
Name (Z-A),නම (Z-A)
Name cannot exceed 255 characters,නම අක්ෂර 255 ඉක්මවිය නොහැක
Need help?,උදව් අවශ්‍යද?
Needs Attention,අවධානය අවශ්‍යයි
Never,Never
new activities,නව ක්‍රියාකාරකම්
New Activity,නව ක්‍රියාකාරකම
New activity,නව ක්‍රියාකාරකම
New Event,නව සිද්ධිය
New index is required,නව දර්ශකය අවශ්‍යයි
New Project,නව ව්‍යාපෘතිය
New tasks will auto-trail by default.,නව කාර්යයන් පෙරනිමි ලෙස ස්වයංක්‍රීයව පාද වනු ඇත.
Newest First,නවතම පළමුව
Next,ඊළඟ
Next 14 days,ඊළඟ දින 14
Next 30 days,ඊළඟ දින 30
Next 60 days,ඊළඟ දින 60
Next 7 days,ඊළඟ දින 7
Next 90 days,ඊළඟ දින 90
Next Week,ඊළඟ සතිය
Next:,ඊළඟ:
No,නැත
No active assignments,ක්‍රියාකාරී පැවරුම් නැත
No active projects,ක්‍රියාකාරී ව්‍යාපෘති නැත
No active timer found,ක්‍රියාකාරී කාල ගණකයක් හමු නොවීය
No activity selected,ක්‍රියාකාරකමක් තෝරාගෙන නැත
No assignments found,පැවරුම් හමු නොවීය
No attendees,සහභාගිවන්නන් නැත
no change,වෙනසක් නැත
No changes for this field.,මෙම ක්ෂේත්‍රය සඳහා වෙනස්කම් නැත.
No changes recorded for this activity.,මෙම ක්‍රියාකාරකම සඳහා වෙනස්කම් සටහන් කර නැත.
No checklist items yet,තවම පරීක්ෂා ලැයිස්තු අයිතම නැත
No checklist items yet.,තවම පරීක්ෂා ලැයිස්තු අයිතම නැත.
No comments yet,තවම අදහස් නැත
No comments yet.,තවම අදහස් නැත.
No contacts available,සම්බන්ධතා ලබා ගත නොහැක
No content for this tab,මෙම ටැබය සඳහා අන්තර්ගතය නැත
No data available,දත්ත ලබා ගත නොහැක
No data available for the selected filters,තෝරාගත් පෙරහන් සඳහා දත්ත ලබා ගත නොහැක
No data to export,නිර්යාත කිරීමට දත්ත නැත
No dates set,දිනයන් සකසා නැත
No defects reported,දෝෂ වාර්තා කර නැත
No dependencies defined,පරායත්තතා නිර්වචනය කර නැත
No description,විස්තරයක් නැත
No discussion yet.,තවම සාකච්ඡාවක් නැත.
No documents attached,ලේඛන ඇමිණී නැත
No due date,නියමිත දිනයක් නැත
No employee linked to this resource,මෙම සම්පතට සම්බන්ධ සේවකයෙක් නැත
No ERPNext employee linked to resource,සම්පතට සම්බන්ධ ERPNext සේවකයෙක් නැත
No events found,සිද්ධීන් හමු නොවීය
No files attached yet.,තවම ගොනු ඇමිණී නැත.
No Frappe Project linked,සම්බන්ධ Frappe ව්‍යාපෘතියක් නැත
No Grouping,කණ්ඩායම් කිරීමක් නැත
No items,අයිතම නැත
No matching tasks,ගැළපෙන කාර්යයන් නැත
No matching tasks found,ගැළපෙන කාර්යයන් හමු නොවීය
No migration history,සංක්‍රමණ ඉතිහාසයක් නැත
No Milestone,සන්ධිස්ථානයක් නැත
No milestones,සන්ධිස්ථාන නැත
No milestones defined for this project.,මෙම ව්‍යාපෘතිය සඳහා සන්ධිස්ථාන නිර්වචනය කර නැත.
No notes yet.,තවම සටහන් නැත.
No notes yet. Add a due diligence note to track progress.,තවම සටහන් නැත. ප්‍රගතිය නිරීක්ෂණය කිරීමට නිසි පරීක්ෂා සටහනක් එක් කරන්න.
No notifications,දැනුම්දීම් නැත
No Orga Project linked to Frappe Project {0},Frappe ව්‍යාපෘතිය {0} වෙත සම්බන්ධ Orga ව්‍යාපෘතියක් නැත
No overdue tasks,ප්‍රමාද කාර්යයන් නැත
No pending cascade changes,විසඳීමට ගංගා ප්‍රවාහ වෙනස්කම් නැත
No predecessors - this task can start independently,පෙරගාමීන් නැත - මෙම කාර්යය ස්වාධීනව ආරම්භ කළ හැක
No project,ව්‍යාපෘතියක් නැත
No projects found,ව්‍යාපෘති හමු නොවීය
No Projects Yet,තවම ව්‍යාපෘති නැත
No recent activity,මෑත ක්‍රියාකාරකම් නැත
No related documents,සම්බන්ධ ලේඛන නැත
No resolved threads.,විසඳන ලද සාකච්ඡා පෙළ නැත.
No resources found,සම්පත් හමු නොවීය
No results found,ප්‍රතිඵල හමු නොවීය
No skills listed,කුසලතා ලැයිස්තුගත කර නැත
No skills recorded yet,තවම කුසලතා සටහන් කර නැත
No successors - no tasks are waiting for this one,පසුගාමීන් නැත - මෙම කාර්යය සඳහා කිසිදු කාර්යයක් බලා නැත
No task selected,කාර්යයක් තෝරාගෙන නැත
No tasks assigned to you,ඔබට පවරන ලද කාර්යයන් නැත
No tasks available to add,එක් කිරීමට කාර්යයන් ලබා ගත නොහැක
No tasks found,කාර්යයන් හමු නොවීය
No tasks linked to this milestone,මෙම සන්ධිස්ථානයට සම්බන්ධ කාර්යයන් නැත
No tasks with dates to display,දිනයන් සහිත කාර්යයන් පෙන්වීමට නැත
No tasks yet,තවම කාර්යයන් නැත
No team members,කණ්ඩායම් සාමාජිකයින් නැත
No template,සැකිල්ලක් නැත
No templates yet,තවම සැකිලි නැත
No time data found,කාල දත්ත හමු නොවීය
No time logged today,අද කාලය සටහන් කර නැත
No time logged yet,තවම කාලය සටහන් කර නැත
No time logs for this period,මෙම කාල පරිච්ඡේදය සඳහා කාල සටහන් නැත
No time logs found,කාල සටහන් හමු නොවීය
No unread notifications,නොකියවූ දැනුම්දීම් නැත
No update information available yet.,No update information available yet.
None,කිසිවක් නැත
Not found,හමු නොවීය
Not permitted,අවසර නැත
Not permitted to access this project,මෙම ව්‍යාපෘතියට ප්‍රවේශ වීමට අවසර නැත
Not permitted to access this task,මෙම කාර්යයට ප්‍රවේශ වීමට අවසර නැත
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,මෙම ලේඛනය පිළිබඳ අදහස් දැක්වීමට අවසර නැත
Not permitted to create clients,සේවාදායකයින් සෑදීමට අවසර නැත
Not permitted to delete this client,මෙම සේවාදායකයා මකා දැමීමට අවසර නැත
Not permitted to delete this defect,මෙම දෝෂය මකා දැමීමට අවසර නැත
Not permitted to delete this note,මෙම සටහන මකා දැමීමට අවසර නැත
Not permitted to delete this project,මෙම ව්‍යාපෘතිය මකා දැමීමට අවසර නැත
Not permitted to delete this task,මෙම කාර්යය මකා දැමීමට අවසර නැත
Not permitted to delete this time log,මෙම කාල සටහන මකා දැමීමට අවසර නැත
Not permitted to invite clients,සේවාදායකයින් ආරාධනා කිරීමට අවසර නැත
Not permitted to modify client access,සේවාදායක ප්‍රවේශය වෙනස් කිරීමට අවසර නැත
Not permitted to modify this project,මෙම ව්‍යාපෘතිය වෙනස් කිරීමට අවසර නැත
Not permitted to update settings,සැකසුම් යාවත්කාලීන කිරීමට අවසර නැත
Not permitted to update this client,මෙම සේවාදායකයා යාවත්කාලීන කිරීමට අවසර නැත
Not permitted to view this client,මෙම සේවාදායකයා බැලීමට අවසර නැත
not sent,යවා නැත
Not set,සකසා නැත
Not specified,සඳහන් කර නැත
Note,සටහන
Note (optional),සටහන (විකල්ප)
Note Content,සටහන් අන්තර්ගතය
Note content is required,සටහන් අන්තර්ගතය අවශ්‍යයි
Note name is required,සටහනේ නම අවශ්‍යයි
Note not found,සටහන හමු නොවීය
Note Type,සටහන් වර්ගය
Notes,සටහන්
Notification,දැනුම්දීම
Notification not found,දැනුම්දීම හමු නොවීය
Notifications,දැනුම්දීම්
Off Track,මාර්ගයෙන් ඉවත්
Offer,දීමනාව
Offer Prepared,දීමනාව සකස් කරන ලදී
Oldest First,පැරණිම පළමුව
On Hold,රඳවා ඇත
On Leave,නිවාඩුවේ
On Track,මාර්ගයේ
On-Time Rate,නියමිත කාල අනුපාතය
Only administrators can delete activities,පරිපාලකයින්ට පමණක් ක්‍රියාකාරකම් මකා දැමිය හැක
Only the comment author or administrators can delete comments,අදහස් කතුවරයාට හෝ පරිපාලකයින්ට පමණක් අදහස් මකා දැමිය හැක
Only you and admins,ඔබ සහ පරිපාලකයින් පමණි
Open,විවෘත
Open in Desk,Desk හි විවෘත කරන්න
