+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
Create Milestone,നാഴികക്കല്ല് സൃഷ്ടിക്കുക
Create New Milestone,പുതിയ നാഴികക്കല്ല് സൃഷ്ടിക്കുക
Create New Task,പുതിയ ടാസ്ക് സൃഷ്ടിക്കുക
Create Project,പ്രോജക്ട് സൃഷ്ടിക്കുക
Create Task,ടാസ്ക് സൃഷ്ടിക്കുക
Create tasks and milestones from a template,ഒരു ടെംപ്ലേറ്റിൽ നിന്ന് ടാസ്കുകളും നാഴികക്കല്ലുകളും സൃഷ്ടിക്കുക
Create your first project to get started.,ആരംഭിക്കാൻ നിങ്ങളുടെ ആദ്യ പ്രോജക്ട് സൃഷ്ടിക്കുക.
Create your first task to start tracking work on this project.,ഈ പ്രോജക്ടിലെ ജോലി ട്രാക്ക് ചെയ്യാൻ ആരംഭിക്കുന്നതിന് നിങ്ങളുടെ ആദ്യ ടാസ്ക് സൃഷ്ടിക്കുക.
Created,സൃഷ്ടിച്ചു
Creating...,സൃഷ്ടിക്കുന്നു...
Critical,നിർണായകം
Critical Path,നിർണായക പാത
"Currency used for budgets, costs, and billing rates","ബജറ്റുകൾ, ചെലവുകൾ, ബില്ലിംഗ് നിരക്കുകൾ എന്നിവയ്ക്ക് ഉപയോഗിക്കുന്ന കറൻസി"
Current,നിലവിലെ
Current Assignments,നിലവിലെ അസൈൻമെന്റുകൾ
Current scheduled time:,നിലവിലെ ഷെഡ്യൂൾ ചെയ്ത സമയം:
Currently running version,Currently running version
d lag,d കാലതാമസം
Daily Availability,ദൈനംദിന ലഭ്യത
Daily Hours,ദൈനംദിന മണിക്കൂറുകൾ
Danger Zone,അപകട മേഖല
Dark,ഡാർക്ക്
Dashboard,ഡാഷ്‌ബോർഡ്
Date,തീയതി
Date changes on this task will show cascade impact here,ഈ ടാസ്കിലെ തീയതി മാറ്റങ്ങൾ ഇവിടെ കാസ്കേഡ് ആഘാതം കാണിക്കും
Date cleared,തീയതി മായ്ച്ചു
Date of Joining,ചേരുന്ന തീയതി
Date updated,തീയതി അപ്‌ഡേറ്റ് ചെയ്തു
Dates,തീയതികൾ
Dates cascaded,തീയതികൾ കാസ്കേഡ് ചെയ്തു
Dates will be relative to the project's start date.,തീയതികൾ പ്രോജക്ടിന്റെ ആരംഭ തീയതിയെ അടിസ്ഥാനമാക്കിയുള്ളതായിരിക്കും.
Day,ദിവസം
day,ദിവസം
days,ദിവസങ്ങൾ
Days before due date to send reminder,ഓർമ്മപ്പെടുത്തൽ അയയ്ക്കാൻ അവസാന തീയതിക്ക് മുമ്പുള്ള ദിവസങ്ങൾ
Days Overdue,കാലഹരണപ്പെട്ട ദിവസങ്ങൾ
Days Remaining,ശേഷിക്കുന്ന ദിവസങ്ങൾ
Deadline,അന്തിമ തീയതി
Deadlines,അന്തിമ തീയതികൾ
Decision,തീരുമാനം
Decline,നിരസിക്കുക
Declined,നിരസിച്ചു
Default Currency,സ്ഥിരസ്ഥിതി കറൻസി
Default hours per week for contact capacity planning,കോൺടാക്ട് ശേഷി ആസൂത്രണത്തിനായി ആഴ്ചയിലെ സ്ഥിരസ്ഥിതി മണിക്കൂറുകൾ
Default Priority,സ്ഥിരസ്ഥിതി മുൻഗണന
Default Project Status,സ്ഥിരസ്ഥിതി പ്രോജക്ട് സ്ഥിതി
Default Task Status,സ്ഥിരസ്ഥിതി ടാസ്ക് സ്ഥിതി
Default task view,സ്ഥിരസ്ഥിതി ടാസ്ക് കാഴ്ച
Default Values,സ്ഥിരസ്ഥിതി മൂല്യങ്ങൾ
Default Weekly Capacity,സ്ഥിരസ്ഥിതി ആഴ്ചക്കുള്ള ശേഷി
Defaults,സ്ഥിരസ്ഥിതികൾ
Defect Cost Impact,തകരാർ ചെലവ് ആഘാതം
Defect name is required,തകരാർ പേര് ആവശ്യമാണ്
Defect Type,തകരാർ തരം
Defect {0} not found,തകരാർ {0} കണ്ടെത്തിയില്ല
Defects,തകരാറുകൾ
Defects & Issues,തകരാറുകളും പ്രശ്‌നങ്ങളും
Defects Resolved,പരിഹരിച്ച തകരാറുകൾ
Delayed,വൈകി
Delete,ഇല്ലാതാക്കുക
Delete Activity Data,പ്രവർത്തന ഡാറ്റ ഇല്ലാതാക്കുക
Delete all read notifications?,വായിച്ച എല്ലാ അറിയിപ്പുകളും ഇല്ലാതാക്കണോ?
Delete comment,അഭിപ്രായം ഇല്ലാതാക്കുക
Delete Contact,കോൺടാക്ട് ഇല്ലാതാക്കുക
Delete Event,ഇവന്റ് ഇല്ലാതാക്കുക
Delete Event?,ഇവന്റ് ഇല്ലാതാക്കണോ?
Delete failed,ഇല്ലാതാക്കൽ പരാജയപ്പെട്ടു
Delete file,ഫയൽ ഇല്ലാതാക്കുക
Delete item,ഇനം ഇല്ലാതാക്കുക
Delete note,കുറിപ്പ് ഇല്ലാതാക്കുക
Delete Project,പ്രോജക്ട് ഇല്ലാതാക്കുക
Delete Task,ടാസ്ക് ഇല്ലാതാക്കുക
Delete this project,ഈ പ്രോജക്ട് ഇല്ലാതാക്കുക
Deleted,ഇല്ലാതാക്കി
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","പ്രോജക്ട് ""{0}"" ഇല്ലാതാക്കി ({1} ടാസ്കുകൾ, {2} നാഴികക്കല്ലുകൾ)"
Deletes notes and preferences. Source document is not affected.,കുറിപ്പുകളും മുൻഗണനകളും ഇല്ലാതാക്കുന്നു. ഉറവിട ഡോക്യുമെന്റിനെ ബാധിക്കില്ല.
Deleting...,ഇല്ലാതാക്കുന്നു...
Department,വകുപ്പ്
Dependencies,ആശ്രിതത്വങ്ങൾ
dependencies,ആശ്രിതത്വങ്ങൾ
Dependencies are informational only,ആശ്രിതത്വങ്ങൾ വിവരദായകം മാത്രമാണ്
dependency,ആശ്രിതത്വം
Dependency already exists,ആശ്രിതത്വം ഇതിനകം നിലവിലുണ്ട്
Dependency Chain,ആശ്രിതത്വ ശൃംഖല
Dependency created,ആശ്രിതത്വം സൃഷ്ടിച്ചു
Dependency mode updated,ആശ്രിതത്വ മോഡ് അപ്‌ഡേറ്റ് ചെയ്തു
Dependency name is required,ആശ്രിതത്വ പേര് ആവശ്യമാണ്
Dependency task {0} not found,ആശ്രിതത്വ ടാസ്ക് {0} കണ്ടെത്തിയില്ല
Dependency {0} not found,ആശ്രിതത്വം {0} കണ്ടെത്തിയില്ല
depends,ആശ്രയിക്കുന്നു
Depends on Group,ഗ്രൂപ്പിനെ ആശ്രയിക്കുന്നു
Depends on task is required,ആശ്രയിക്കുന്ന ടാസ്ക് ആവശ്യമാണ്
depends on...,ആശ്രയിക്കുന്നു...
Descending -- click to reverse,അവരോഹണം -- വിപരീതമാക്കാൻ ക്ലിക്ക് ചെയ്യുക
Describe the defect in detail...,തകരാർ വിശദമായി വിവരിക്കുക...
Description,വിവരണം
Description updated,വിവരണം അപ്‌ഡേറ്റ് ചെയ്തു
Designation,പദവി
"Detailed description of the defect, location, and impact","തകരാറിന്റെ, സ്ഥാനത്തിന്റെ, ആഘാതത്തിന്റെ വിശദമായ വിവരണം"
Details,വിശദാംശങ്ങൾ
Discard timer,ടൈമർ നിരസിക്കുക
Discussion,ചർച്ച
Dismiss,Dismiss
Display,പ്രദർശനം
Document,ഡോക്യുമെന്റ്
Document attached to project,പ്രോജക്ടിലേക്ക് ഡോക്യുമെന്റ് അറ്റാച്ച് ചെയ്തു
Document final decision and rationale,അന്തിമ തീരുമാനവും ന്യായവും ഡോക്യുമെന്റ് ചെയ്യുക
Documentation Review,ഡോക്യുമെന്റേഷൻ അവലോകനം
Documents,ഡോക്യുമെന്റുകൾ
Done,പൂർത്തിയായി
Download,ഡൗൺലോഡ്
Drag to create dependency,ആശ്രിതത്വം സൃഷ്ടിക്കാൻ വലിച്ചിടുക
Dry Run,ഡ്രൈ റൺ
Dry Run Complete,ഡ്രൈ റൺ പൂർത്തിയായി
Due Date,അവസാന തീയതി
Due date,അവസാന തീയതി
Due Date (Earliest),അവസാന തീയതി (ആദ്യത്തേത്)
Due date cannot be before start date,അവസാന തീയതി ആരംഭ തീയതിക്ക് മുമ്പാകാൻ കഴിയില്ല
Due date is in the past,അവസാന തീയതി കഴിഞ്ഞതാണ്
Due Date Reminders,അവസാന തീയതി ഓർമ്മപ്പെടുത്തലുകൾ
Due Diligence,ഡ്യൂ ഡിലിജൻസ്
Due Diligence Checklist,ഡ്യൂ ഡിലിജൻസ് ചെക്ക്‌ലിസ്റ്റ്
Due This Week,ഈ ആഴ്ച അവസാനിക്കുന്നവ
Due:,അവസാന തീയതി:
Duplicate events are not allowed,ഡ്യൂപ്ലിക്കേറ്റ് ഇവന്റുകൾ അനുവദനീയമല്ല
Duplicate failed,ഡ്യൂപ്ലിക്കേഷൻ പരാജയപ്പെട്ടു
Duplicate Task,ടാസ്ക് ഡ്യൂപ്ലിക്കേറ്റ് ചെയ്യുക
Duration,കാലയളവ്
Duration Summary,കാലയളവ് സംഗ്രഹം
Duration:,കാലയളവ്:
e.g. Cracked wall finish in bathroom...,ഉദാ. ബാത്ത്‌റൂമിലെ ചുമർ ഫിനിഷിൽ വിള്ളൽ...
"e.g. Electrical, Plumbing...","ഉദാ. ഇലക്ട്രിക്കൽ, പ്ലംബിംഗ്..."
Edit,എഡിറ്റുചെയ്യുക
Edit (E),എഡിറ്റ് ചെയ്യുക (E)
Edit dependency,ആശ്രിതത്വം എഡിറ്റ് ചെയ്യുക
Edit Event,ഇവന്റ് എഡിറ്റ് ചെയ്യുക
Efficiency,കാര്യക്ഷമത
Either dependency_name or depends_on is required,dependency_name അല്ലെങ്കിൽ depends_on ആവശ്യമാണ്
Email,ഇമെയിൽ
Email invitations to all attendees,എല്ലാ പങ്കെടുക്കുന്നവർക്കും ഇമെയിൽ ക്ഷണങ്ങൾ
Email is required to create portal user,പോർട്ടൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ ഇമെയിൽ ആവശ്യമാണ്
Email notifications,ഇമെയിൽ അറിയിപ്പുകൾ
Employee,ജീവനക്കാരൻ
Employee DocType not available,Employee DocType ലഭ്യമല്ല
Employee not found,ജീവനക്കാരനെ കണ്ടെത്തിയില്ല
Enable or disable optional features,ഐച്ഛിക സവിശേഷതകൾ പ്രവർത്തനക്ഷമമാക്കുക അല്ലെങ്കിൽ നിഷ്ക്രിയമാക്കുക
Enable Time Tracking,സമയ ട്രാക്കിംഗ് പ്രവർത്തനക്ഷമമാക്കുക
End,അവസാനം
End Date,അവസാന ദിവസം
End date,അവസാന തീയതി
End Date cannot be before Start Date,അവസാന തീയതി ആരംഭ തീയതിക്ക് മുമ്പാകാൻ കഴിയില്ല
End date cannot be before start date,അവസാന തീയതി ആരംഭ തീയതിക്ക് മുമ്പാകാൻ കഴിയില്ല
End date updated,അവസാന തീയതി അപ്‌ഡേറ്റ് ചെയ്തു
End time was before start time. Adjusted to 1 hour after start.,അവസാന സമയം ആരംഭ സമയത്തിന് മുമ്പായിരുന്നു. ആരംഭത്തിന് 1 മണിക്കൂർ ശേഷമായി ക്രമീകരിച്ചു.
End:,അവസാനം:
Enter milestone name...,നാഴികക്കല്ല് പേര് നൽകുക...
Enter project name,പ്രോജക്ട് പേര് നൽകുക
Enter task title...,ടാസ്ക് ശീർഷകം നൽകുക...
Enter template name,ടെംപ്ലേറ്റ് പേര് നൽകുക
Enter your note... Use @name to mention someone,നിങ്ങളുടെ കുറിപ്പ് നൽകുക... ആരെയെങ്കിലും പരാമർശിക്കാൻ @name ഉപയോഗിക്കുക
Error,പിശക്
Error loading activity,പ്രവർത്തനം ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading contacts,കോൺടാക്ടുകൾ ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading dashboard,ഡാഷ്‌ബോർഡ് ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading project,പ്രോജക്ട് ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading projects,പ്രോജക്ടുകൾ ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading settings,ക്രമീകരണങ്ങൾ ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading tasks,ടാസ്കുകൾ ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Error loading templates,ടെംപ്ലേറ്റുകൾ ലോഡ് ചെയ്യുന്നതിൽ പിശക്
Est. Hours,കണക്കാക്കിയ മണിക്കൂറുകൾ
Estimated,കണക്കാക്കിയ
Estimated Cost,കണക്കാക്കിയ ചെലവ്
Estimated Cost (€),കണക്കാക്കിയ ചെലവ് (€)
Estimated Hours,കണക്കാക്കിയ മണിക്കൂറുകൾ
Estimated:,കണക്കാക്കിയത്:
Evaluate potential risks and concerns,സാധ്യതയുള്ള അപകടസാധ്യതകളും ആശങ്കകളും വിലയിരുത്തുക
Event,ഇവന്റ്
Event is required for event context,ഇവന്റ് സന്ദർഭത്തിന് ഇവന്റ് ആവശ്യമാണ്
Event is required when tracking context is 'event',ട്രാക്കിംഗ് സന്ദർഭം 'event' ആയിരിക്കുമ്പോൾ ഇവന്റ് ആവശ്യമാണ്
Event Type,ഇവന്റ് തരം
Events,ഇവന്റുകൾ
Events not available. Please run: bench --site orga.localhost migrate,ഇവന്റുകൾ ലഭ്യമല്ല. ദയവായി bench --site orga.localhost migrate പ്രവർത്തിപ്പിക്കുക
Events:,ഇവന്റുകൾ:
Expert,വിദഗ്ധ
Explain why you are proposing a different time...,നിങ്ങൾ എന്തുകൊണ്ട് മറ്റൊരു സമയം നിർദ്ദേശിക്കുന്നുവെന്ന് വിശദീകരിക്കുക...
Export,എക്സ്പോർട്ട്
Export failed,എക്‌സ്‌പോർട്ട് പരാജയപ്പെട്ടു
Export JSON,JSON എക്‌സ്‌പോർട്ട് ചെയ്യുക
Exported,എക്‌സ്‌പോർട്ട് ചെയ്തു
Exported to timesheet {0},ടൈംഷീറ്റ് {0} ലേക്ക് എക്‌സ്‌പോർട്ട് ചെയ്തു
External,ബാഹ്യം
Failed to add item,ഇനം ചേർക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to add note,കുറിപ്പ് ചേർക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to add skill,നൈപുണ്യം ചേർക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to apply cascade changes: {0},കാസ്കേഡ് മാറ്റങ്ങൾ പ്രയോഗിക്കുന്നതിൽ പരാജയപ്പെട്ടു: {0}
Failed to create defect,തകരാർ സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create dependency,ആശ്രിതത്വം സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create event,ഇവന്റ് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create milestone,നാഴികക്കല്ല് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create project,പ്രോജക്ട് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create task,ടാസ്ക് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create time log,ടൈം ലോഗ് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to delete,ഇല്ലാതാക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to delete comment,അഭിപ്രായം ഇല്ലാതാക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to delete contact,കോൺടാക്ട് ഇല്ലാതാക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load,ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load activity,പ്രവർത്തനം ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load assignments,അസൈൻമെന്റുകൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load contact,കോൺടാക്ട് ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load dashboard data,ഡാഷ്‌ബോർഡ് ഡാറ്റ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load defects,തകരാറുകൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load events,ഇവന്റുകൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load project,പ്രോജക്ട് ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load projects,പ്രോജക്ടുകൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load report data,റിപ്പോർട്ട് ഡാറ്റ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load settings,ക്രമീകരണങ്ങൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to load tasks,ടാസ്കുകൾ ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to move task,ടാസ്ക് നീക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to post comment,അഭിപ്രായം പോസ്റ്റ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to propose new time,പുതിയ സമയം നിർദ്ദേശിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to remove item,ഇനം നീക്കം ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to remove skill,നൈപുണ്യം നീക്കം ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to reorder milestones: {0},നാഴികക്കല്ലുകൾ പുനഃക്രമീകരിക്കുന്നതിൽ പരാജയപ്പെട്ടു: {0}
Failed to reorder tasks: {0},ടാസ്കുകൾ പുനഃക്രമീകരിക്കുന്നതിൽ പരാജയപ്പെട്ടു: {0}
Failed to reschedule dependent tasks: {0},ആശ്രിത ടാസ്കുകൾ പുനഃഷെഡ്യൂൾ ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു: {0}
Failed to save,സേവ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to save preferences,മുൻഗണനകൾ സേവ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to save settings,ക്രമീകരണങ്ങൾ സേവ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to submit request. Please try again.,അഭ്യർത്ഥന സമർപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടു. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Failed to update item,ഇനം അപ്‌ഡേറ്റ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to update priority,മുൻഗണന അപ്‌ഡേറ്റ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to update task,ടാസ്ക് അപ്‌ഡേറ്റ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to update tasks: {0},ടാസ്കുകൾ അപ്‌ഡേറ്റ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു: {0}
Failed to upload avatar,അവതാർ അപ്‌ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Feature,സവിശേഷത
Features,സവിശേഷതകൾ
FF (Finish-Finish),FF (പൂർത്തീകരണം-പൂർത്തീകരണം)
FF - Finish-to-Finish,FF - പൂർത്തീകരണം-മുതൽ-പൂർത്തീകരണം
Field has been updated,ഫീൽഡ് അപ്‌ഡേറ്റ് ചെയ്തു
Field name is required for 'Set Field Value' action,'Set Field Value' പ്രവർത്തനത്തിന് ഫീൽഡ് പേര് ആവശ്യമാണ്
Field {0} is not a Link field,ഫീൽഡ് {0} ഒരു Link ഫീൽഡ് അല്ല
Field {0} not found in {1},ഫീൽഡ് {0} {1}-ൽ കണ്ടെത്തിയില്ല
file,ഫയല്
File,ഫയൽ
File does not belong to this task,ഫയൽ ഈ ടാസ്കിന്റേതല്ല
File name is required,ഫയൽ പേര് ആവശ്യമാണ്
File uploaded,ഫയൽ അപ്‌ലോഡ് ചെയ്തു
File {0} not found,ഫയൽ {0} കണ്ടെത്തിയില്ല
files,ഫയലുകൾ
Files,ഫയലുകൾ
Filter,ഫിൽറ്റർ ചെയ്യുക
Final Decision,അന്തിമ തീരുമാനം
Finance,ധനകാര്യം
Financial,സാമ്പത്തികം
Finish-to-Finish,പൂർത്തീകരണം-മുതൽ-പൂർത്തീകരണം
Finish-to-Start,പൂർത്തീകരണം-മുതൽ-ആരംഭം
Flag,ഫ്ലാഗ്
Flag for attention,ശ്രദ്ധയ്ക്കായി ഫ്ലാഗ് ചെയ്യുക
Flagged,ഫ്ലാഗ് ചെയ്തു
Focus Panel,ഫോക്കസ് പാനൽ
Follows your system preference. Currently:,നിങ്ങളുടെ സിസ്റ്റം മുൻഗണന പിന്തുടരുന്നു. നിലവിൽ:
Frappe Project {0} not found,Frappe പ്രോജക്ട് {0} കണ്ടെത്തിയില്ല
Frappe Projects Migration,Frappe പ്രോജക്ടുകൾ മൈഗ്രേഷൻ
Frappe Projects module not available,Frappe പ്രോജക്ടുകൾ മൊഡ്യൂൾ ലഭ്യമല്ല
Frappe Projects module not installed,Frappe പ്രോജക്ടുകൾ മൊഡ്യൂൾ ഇൻസ്റ്റാൾ ചെയ്തിട്ടില്ല
Frappe Projects sync is not enabled,Frappe പ്രോജക്ടുകൾ സമന്വയം പ്രവർത്തനക്ഷമമല്ല
Frappe Task DocType not found,Frappe Task DocType കണ്ടെത്തിയില്ല
Frappe Task has no project,Frappe ടാസ്കിന് പ്രോജക്ട് ഇല്ല
Frappe Task {0} not found,Frappe ടാസ്ക് {0} കണ്ടെത്തിയില്ല
Fri,വെള്ളി
From,നിന്നും
From Template,ടെംപ്ലേറ്റിൽ നിന്ന്
FS (Finish-Start),FS (പൂർത്തീകരണം-ആരംഭം)
FS - Finish-to-Start (default),FS - പൂർത്തീകരണം-മുതൽ-ആരംഭം (സ്ഥിരസ്ഥിതി)
Full form view with audit trail,ഓഡിറ്റ് ട്രെയിൽ ഉള്ള പൂർണ ഫോം കാഴ്ച
Full name,പൂർണ നാമം
Gantt,Gantt
Gantt Chart,ഗാന്റ് ചാർട്ട്
Gantt View,ഗാന്റ് കാഴ്ച
General Note,പൊതു കുറിപ്പ്
Get started,ആരംഭിക്കുക
Go back,തിരികെ പോകുക
Go Back,Go Back
Group by,ഗ്രൂപ്പ് ചെയ്യുക
Group dependency removed,ഗ്രൂപ്പ് ആശ്രിതത്വം നീക്കം ചെയ്തു
Group dependency set,ഗ്രൂപ്പ് ആശ്രിതത്വം സജ്ജമാക്കി
Group removed,ഗ്രൂപ്പ് നീക്കം ചെയ്തു
Group updated,ഗ്രൂപ്പ് അപ്‌ഡേറ്റ് ചെയ്തു
Hammock task dates are auto-calculated and cannot be changed manually,"ഹാമോക്ക് ടാസ്ക് തീയതികൾ സ്വയം കണക്കാക്കുന്നതാണ്, സ്വമേധയാ മാറ്റാൻ കഴിയില്ല"
Have a question or need assistance? Fill out the form below and our team will get back to you.,"ഒരു ചോദ്യമുണ്ടോ അല്ലെങ്കിൽ സഹായം ആവശ്യമാണോ? താഴെയുള്ള ഫോം പൂരിപ്പിക്കുക, ഞങ്ങളുടെ ടീം നിങ്ങളെ ബന്ധപ്പെടും."
Health,ആരോഗ്യം
Healthy,ആരോഗ്യകരം
Hello {0},ഹലോ {0}
Here's what's happening with your projects today.,നിങ്ങളുടെ പ്രോജക്ടുകളിൽ ഇന്ന് സംഭവിക്കുന്നത് ഇതാ.
Hide,മറയ്‌ക്കുക
High,ഹൈ
History,ചരിത്രം
Home,ഹോം
Hourly Cost,മണിക്കൂർ ചെലവ്
Hours,മണിക്കൂറുകൾ
hours,മണിക്കൂറുകൾ
Hours Logged,രേഖപ്പെടുത്തിയ മണിക്കൂറുകൾ
ID,ഐഡി
Image must be smaller than 5 MB,ചിത്രം 5 MB-യിൽ ചെറുതായിരിക്കണം
Import,ഇംപോർട്ട്
Import existing projects and tasks from Frappe Projects module,Frappe പ്രോജക്ടുകൾ മൊഡ്യൂളിൽ നിന്ന് നിലവിലുള്ള പ്രോജക്ടുകളും ടാസ്കുകളും ഇംപോർട്ട് ചെയ്യുക
Import failed,ഇംപോർട്ട് പരാജയപ്പെട്ടു
Import Template,ടെംപ്ലേറ്റ് ഇംപോർട്ട് ചെയ്യുക
Imported,ഇംപോർട്ട് ചെയ്തു
in,ൽ
In Progress,പുരോഗതിയിൽ
In Review,അവലോകനത്തിൽ
In-app notifications,ആപ്പിനുള്ളിലെ അറിയിപ്പുകൾ
Inactive,നിഷ്ക്രിയം
Initial Review,പ്രാഥമിക അവലോകനം
Installed Version,Installed Version
Insufficient permissions to view all tasks,എല്ലാ ടാസ്കുകളും കാണാൻ മതിയായ അനുമതിയില്ല
Intermediate,ഇന്റർമീഡിയറ്റ്
Internal,ആന്തരികം
Invalid DocType,അസാധുവായ DocType
Invalid DocType for import,ഇംപോർട്ടിനായി അസാധുവായ DocType
Invalid item type: {0},അസാധുവായ ഇനം തരം: {0}
Invalid JSON data,അസാധുവായ JSON ഡാറ്റ
Invalid note type. Must be one of: {0},അസാധുവായ കുറിപ്പ് തരം. ഇവയിൽ ഒന്നായിരിക്കണം: {0}
Invalid project reference,അസാധുവായ പ്രോജക്ട് റഫറൻസ്
Invalid reaction type. Must be one of: {0},അസാധുവായ പ്രതികരണ തരം. ഇവയിൽ ഒന്നായിരിക്കണം: {0}
Invalid RSVP status,അസാധുവായ RSVP സ്ഥിതി
Invalid status. Must be one of: {0},അസാധുവായ സ്ഥിതി. ഇവയിൽ ഒന്നായിരിക്കണം: {0}
Invalid status: {0},അസാധുവായ സ്ഥിതി: {0}
Invalid status: {0}. Must be one of: {1},അസാധുവായ സ്ഥിതി: {0}. ഇവയിൽ ഒന്നായിരിക്കണം: {1}
Invalid tracking context: {0},അസാധുവായ ട്രാക്കിംഗ് സന്ദർഭം: {0}
Invalid visibility. Must be one of: {0},അസാധുവായ ദൃശ്യത. ഇവയിൽ ഒന്നായിരിക്കണം: {0}
Invitation: {0} - {1} at {2},ക്ഷണം: {0} - {1} {2}-ൽ
Invite People,ആളുകളെ ക്ഷണിക്കുക
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,ഇനം ചേർത്തു
Item ID is required,ഇനം ID ആവശ്യമാണ്
Item removed,ഇനം നീക്കം ചെയ്തു
Item type is required,ഇനം തരം ആവശ്യമാണ്
Item {0} not found,ഇനം {0} കണ്ടെത്തിയില്ല
Job title or role,ജോലി ശീർഷകം അല്ലെങ്കിൽ റോൾ
Join Meeting,മീറ്റിംഗിൽ ചേരുക
Just now,ഇപ്പോൾ
just now,ഇപ്പോള്
Kanban,Kanban
Kanban Board,Kanban ബോർഡ്
Kanban View,കാൻബൻ കാഴ്ച
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ
Keyboard shortcuts (?),കീബോർഡ് കുറുക്കുവഴികൾ (?)
Last checked: {0},Last checked: {0}
Last Updated,അവസാനം അപ്‌ഡേറ്റ് ചെയ്തത്
Last updated:,അവസാനം അപ്‌ഡേറ്റ് ചെയ്തത്:
Last Week,കഴിഞ്ഞ ആഴ്ച
Latest Version,Latest Version
Light,ലൈറ്റ്
Link failed,ലിങ്ക് പരാജയപ്പെട്ടു
Link Task,ടാസ്ക് ലിങ്ക് ചെയ്യുക
Linked,ലിങ്ക്ഡ്
Linked employee not found,ലിങ്ക് ചെയ്ത ജീവനക്കാരനെ കണ്ടെത്തിയില്ല
Linked Tasks,ലിങ്ക് ചെയ്ത ടാസ്കുകൾ
List,പട്ടിക
