+ Add Milestone,+ Dodaj prekretnicu
Here's what's happening with your projects today.,Evo što se danas događa s vašim projektima.
Hide,Sakrij
High,Visoki
History,Povijest
Home,Početna
Hourly Cost,Satni trošak
Hours,Sati
hours,sati
Hours Logged,Zapisani sati
ID,ID
Image must be smaller than 5 MB,Slika mora biti manja od 5 MB
Import,Uvezi
Import existing projects and tasks from Frappe Projects module,Uvezite postojeće projekte i zadatke iz modula Frappe Projects
Import failed,Uvoz neuspješan
Import Template,Uvezi predložak
Imported,Uvezeno
in,u
In Progress,U tijeku
In Review,U pregledu
In-app notifications,Obavijesti u aplikaciji
Inactive,Neaktivno
Initial Review,Početni pregled
Installed Version,Installed Version
Insufficient permissions to view all tasks,Nedovoljne dozvole za pregled svih zadataka
Intermediate,Srednji
Internal,Interno
Invalid DocType,Nevažeći DocType
Invalid DocType for import,Nevažeći DocType za uvoz
Invalid item type: {0},Nevažeća vrsta stavke: {0}
Invalid JSON data,Nevažeći JSON podaci
Invalid note type. Must be one of: {0},Nevažeća vrsta bilješke. Mora biti jedna od: {0}
Invalid project reference,Nevažeća referenca projekta
Invalid reaction type. Must be one of: {0},Nevažeća vrsta reakcije. Mora biti jedna od: {0}
Invalid RSVP status,Nevažeći RSVP status
Invalid status. Must be one of: {0},Nevažeći status. Mora biti jedan od: {0}
Invalid status: {0},Nevažeći status: {0}
Invalid status: {0}. Must be one of: {1},Nevažeći status: {0}. Mora biti jedan od: {1}
Invalid tracking context: {0},Nevažeći kontekst praćenja: {0}
Invalid visibility. Must be one of: {0},Nevažeća vidljivost. Mora biti jedna od: {0}
Invitation: {0} - {1} at {2},Pozivnica: {0} - {1} u {2}
Invite People,Pozovi ljude
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Stavka dodana
Item ID is required,ID stavke je obavezan
Item removed,Stavka uklonjena
Item type is required,Vrsta stavke je obavezna
Item {0} not found,Stavka {0} nije pronađena
Job title or role,Naziv radnog mjesta ili uloga
Join Meeting,Pridruži se sastanku
Just now,Upravo sada
just now,upravo sada
Kanban,Kanban
Kanban Board,Kanban ploča
Kanban View,Kanban prikaz
Keyboard Shortcuts,Tipkovni prečaci
Keyboard shortcuts (?),Tipkovni prečaci (?)
Last checked: {0},Last checked: {0}
Last Updated,Zadnje ažurirano
Last updated:,Zadnje ažurirano:
Last Week,Prošli tjedan
Latest Version,Latest Version
Light,Svijetlo
Link failed,Povezivanje neuspješno
Link Task,Poveži zadatak
Linked,Povezano
Linked employee not found,Povezani zaposlenik nije pronađen
Linked Tasks,Povezani zadaci
List,Popis
List View,Prikaz popisa
Load failed,Učitavanje neuspješno
Load More,Učitaj više
Load more comments,Učitaj više komentara
Loading activity...,Učitavanje aktivnosti...
Loading changes...,Učitavanje promjena...
Loading checklist...,Učitavanje kontrolnog popisa...
Loading comments...,Učitavanje komentara...
Loading contact...,Učitavanje kontakta...
Loading contacts...,Učitavanje kontakata...
Loading dependencies...,Učitavanje ovisnosti...
Loading details...,Učitavanje pojedinosti...
Loading discussion...,Učitavanje rasprave...
Loading events...,Učitavanje događaja...
Loading files...,Učitavanje datoteka...
Loading notes...,Učitavanje bilješki...
Loading preferences...,Učitavanje postavki...
Loading project...,Učitavanje projekta...
Loading projects...,Učitavanje projekata...
Loading replies...,Učitavanje odgovora...
Loading report data...,Učitavanje podataka izvješća...
Loading settings...,Učitavanje postavki...
Loading task...,Učitavanje zadatka...
Loading templates...,Učitavanje predložaka...
Loading time logs...,Učitavanje zapisa vremena...
Loading your portal...,Učitavanje vašeg portala...
Loading...,Učitavanje...
Location,Lokacija
Log Time,Zapiši vrijeme
Logout,Odjava
Low,Niski
Make Offer,Napravi ponudu
Manager,Voditelj
Manual Entry,Ručni unos
Margin,Marža
Mark all as read,Označi sve kao pročitano
Mark all read,Označi sve kao pročitano
Mark as read,Označi kao pročitano
Mark as unread,Označi kao nepročitano
Mark read,Označi kao pročitano
Marking...,Označavanje...
Material,Materijal
Maybe,Možda
Medium,Srednji
Meeting,Sastanak
Meeting Link,Poveznica na sastanak
Meeting title,Naslov sastanka
Meeting URL,URL sastanka
Meetings,Sastanci
Mention,Spominjanje
Message,Poruka
Message is required,Poruka je obavezna
Message is required for '{0}' action,"Poruka je obavezna za radnju „{0}""
Migrate,Migriraj
Migration Complete,Migracija završena
Migration ID:,ID migracije:
Migration log not found: {0},Zapis migracije nije pronađen: {0}
Milestone,Prekretnica
Milestone ID is required,ID prekretnice je obavezan
Milestone Name,Naziv prekretnice
Milestone created,Prekretnica stvorena
Milestone description has been saved.,Opis prekretnice je spremljen.
Milestone marked as Missed (past due date),Prekretnica označena kao propuštena (prošao rok)
Milestone moved,Prekretnica pomaknuta
Milestone name has been saved.,Naziv prekretnice je spremljen.
Milestone name is required,Naziv prekretnice je obavezan
Milestone updated,Prekretnica ažurirana
Milestone {0} not found,Prekretnica {0} nije pronađena
Milestone {0} not in project {1},Prekretnica {0} nije u projektu {1}
Milestones,Prekretnice
Milestones:,Prekretnice:
Minutes,Minute
Missed,Propušteno
Mixed,Mješovito
Mobile,Mobilno
Moderate,Umjereno
Modify details, time, or attendees,Izmijeni pojedinosti"
Migrate,Migracija
Migration Complete,Migracija završena
Migration ID:,ID migracije:
Migration log not found: {0},Dnevnik migracije nije pronađen: {0}
milestone,prekretnica
Milestone,Prekretnica
Milestone created,Prekretnica je stvorena
Milestone description has been saved.,Opis prekretnice je spremljen.
Milestone ID is required,ID prekretnice je obavezan
Milestone marked as Missed (past due date),Prekretnica označena kao propuštena (istekao rok)
Milestone moved,Prekretnica premještena
Milestone Name,Naziv prekretnice
Milestone name has been saved.,Naziv prekretnice je spremljen.
Milestone name is required,Naziv prekretnice je obavezan
Milestone updated,Prekretnica ažurirana
Milestone {0} not found,Prekretnica {0} nije pronađena
Milestone {0} not in project {1},Prekretnica {0} nije u projektu {1}
milestones,prekretnice
Milestones,Prekretnice
Milestones:,Prekretnice:
Minutes,Minute
Missed,Propušteno
Mixed,Mješovito
Mobile,Mobilno
Moderate,Umjereno
Modified,Izmijenjeno
"Modify details, time, or attendees","Izmijeni detalje, vrijeme ili sudionike"
Mon,Pon
Month,Mjesec
Move failed,Premještanje neuspješno
Must be a positive number,Mora biti pozitivan broj
Must finish before this finishes,Mora završiti prije završetka ovog zadatka
Must finish before this starts,Mora završiti prije početka ovog zadatka
Must start before this finishes,Mora započeti prije završetka ovog zadatka
Must start before this starts,Mora započeti prije početka ovog zadatka
My Assignments,Moje dodjele
My Projects,Moji projekti
My Schedule,Moj raspored
My Tasks,Moji zadaci
N/A,N/D
Name,Naziv
Name (A-Z),Naziv (A-Z)
Name (Z-A),Naziv (Z-A)
Name cannot exceed 255 characters,Naziv ne smije premašiti 255 znakova
Need help?,Trebate pomoć?
Needs Attention,Zahtijeva pozornost
Never,Never
new activities,nove aktivnosti
New Activity,Nova aktivnost
New activity,Nova aktivnost
New Event,Novi događaj
New index is required,Novi indeks je obavezan
New Project,Novi projekt
New tasks will auto-trail by default.,Novi zadaci će se automatski pomicati prema zadanom.
Newest First,Najnovije prvo
Next,Sljedeće
Next 14 days,Sljedećih 14 dana
Next 30 days,Sljedećih 30 dana
Next 60 days,Sljedećih 60 dana
Next 7 days,Sljedećih 7 dana
Next 90 days,Sljedećih 90 dana
Next Week,Sljedeći tjedan
Next:,Sljedeće:
No,Ne
No active assignments,Nema aktivnih dodjela
No active projects,Nema aktivnih projekata
No active timer found,Aktivan mjerač vremena nije pronađen
No activity selected,Aktivnost nije odabrana
No assignments found,Dodjele nisu pronađene
No attendees,Nema sudionika
no change,bez promjene
No changes for this field.,Nema promjena za ovo polje.
No changes recorded for this activity.,Nema zabilježenih promjena za ovu aktivnost.
No checklist items yet,Još nema stavki kontrolnog popisa
No checklist items yet.,Još nema stavki kontrolnog popisa.
No comments yet,Još nema komentara
No comments yet.,Još nema komentara.
No contacts available,Nema dostupnih kontakata
No content for this tab,Nema sadržaja za ovu karticu
No data available,Nema dostupnih podataka
No data available for the selected filters,Nema podataka za odabrane filtre
No data to export,Nema podataka za izvoz
No dates set,Datumi nisu postavljeni
No defects reported,Nema prijavljenih nedostataka
No dependencies defined,Ovisnosti nisu definirane
No description,Bez opisa
No discussion yet.,Još nema rasprave.
No documents attached,Dokumenti nisu priloženi
No due date,Bez roka
No employee linked to this resource,Nijedan zaposlenik nije povezan s ovim resursom
No ERPNext employee linked to resource,Nijedan ERPNext zaposlenik nije povezan s resursom
No events found,Događaji nisu pronađeni
No files attached yet.,Još nema priloženih datoteka.
No Frappe Project linked,Nijedan Frappe projekt nije povezan
No Grouping,Bez grupiranja
No items,Nema stavki
No matching tasks,Nema odgovarajućih zadataka
No matching tasks found,Odgovarajući zadaci nisu pronađeni
No migration history,Nema povijesti migracije
No Milestone,Bez prekretnice
No milestones,Nema prekretnica
No milestones defined for this project.,Za ovaj projekt nisu definirane prekretnice.
No notes yet.,Još nema bilješki.
No notes yet. Add a due diligence note to track progress.,Još nema bilješki. Dodajte bilješku provjere za praćenje napretka.
No notifications,Nema obavijesti
No Orga Project linked to Frappe Project {0},Nijedan Orga projekt nije povezan s Frappe projektom {0}
No overdue tasks,Nema zadataka koji kasne
No pending cascade changes,Nema kaskadnih promjena na čekanju
No predecessors - this task can start independently,Nema prethodnika — ovaj zadatak može započeti samostalno
No project,Bez projekta
No projects found,Projekti nisu pronađeni
No Projects Yet,Još nema projekata
No recent activity,Nema nedavne aktivnosti
No related documents,Nema povezanih dokumenata
No resolved threads.,Nema riješenih rasprava.
No resources found,Resursi nisu pronađeni
No results found,Rezultati nisu pronađeni
No skills listed,Vještine nisu navedene
No skills recorded yet,Vještine još nisu zabilježene
No successors - no tasks are waiting for this one,Nema sljedbenika — nijedan zadatak ne čeka ovaj
No task selected,Zadatak nije odabran
No tasks assigned to you,Nemate dodijeljenih zadataka
No tasks available to add,Nema dostupnih zadataka za dodavanje
No tasks found,Zadaci nisu pronađeni
No tasks linked to this milestone,Nijedan zadatak nije povezan s ovom prekretnicom
No tasks with dates to display,Nema zadataka s datumima za prikaz
No tasks yet,Još nema zadataka
No team members,Nema članova tima
No template,Bez predloška
No templates yet,Još nema predložaka
No time data found,Vremenski podaci nisu pronađeni
No time logged today,Danas nije zapisano vrijeme
No time logged yet,Vrijeme još nije zapisano
No time logs for this period,Nema zapisa vremena za ovo razdoblje
No time logs found,Zapisi vremena nisu pronađeni
No unread notifications,Nema nepročitanih obavijesti
No update information available yet.,No update information available yet.
None,Ništa
Not found,Nije pronađeno
Not permitted,Nije dopušteno
Not permitted to access this project,Nemate dozvolu za pristup ovom projektu
Not permitted to access this task,Nemate dozvolu za pristup ovom zadatku
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Nemate dozvolu za komentiranje ovog dokumenta
Not permitted to create clients,Nemate dozvolu za stvaranje klijenata
Not permitted to delete this client,Nemate dozvolu za brisanje ovog klijenta
Not permitted to delete this defect,Nemate dozvolu za brisanje ovog nedostatka
Not permitted to delete this note,Nemate dozvolu za brisanje ove bilješke
Not permitted to delete this project,Nemate dozvolu za brisanje ovog projekta
Not permitted to delete this task,Nemate dozvolu za brisanje ovog zadatka
Not permitted to delete this time log,Nemate dozvolu za brisanje ovog zapisa vremena
Not permitted to invite clients,Nemate dozvolu za pozivanje klijenata
Not permitted to modify client access,Nemate dozvolu za izmjenu pristupa klijenta
Not permitted to modify this project,Nemate dozvolu za izmjenu ovog projekta
Not permitted to update settings,Nemate dozvolu za izmjenu postavki
Not permitted to update this client,Nemate dozvolu za izmjenu ovog klijenta
Not permitted to view this client,Nemate dozvolu za pregled ovog klijenta
not sent,nije poslano
Not set,Nije postavljeno
Not specified,Nije navedeno
Note,Bilješka
Note (optional),Bilješka (neobavezno)
Note Content,Sadržaj bilješke
Note content is required,Sadržaj bilješke je obavezan
Note name is required,Naziv bilješke je obavezan
Note not found,Bilješka nije pronađena
Note Type,Vrsta bilješke
Notes,Bilješke
Notification,Obavijest
Notification not found,Obavijest nije pronađena
Notifications,Obavijesti
Off Track,Izvan plana
Offer,Ponuda
Offer Prepared,Ponuda pripremljena
Oldest First,Najstarije prvo
On Hold,Na čekanju
On Leave,Na odmoru
On Track,Prema planu
On-Time Rate,Stopa pravodobnosti
Only administrators can delete activities,Samo administratori mogu brisati aktivnosti
Only the comment author or administrators can delete comments,Samo autor komentara ili administratori mogu brisati komentare
Only you and admins,Samo vi i administratori
Open,Otvoreno
Open in Desk,Otvori u Desk
Open Task Log,Otvori dnevnik zadatka
Open Tasks,Otvoreni zadaci
Optional,Neobavezno
optional,neobavezno
Or email us directly at,Ili nam pišite izravno na
Orga Project {0} from Frappe Projects,Orga projekt {0} iz Frappe Projects
Orga Task {0} from Frappe,Orga zadatak {0} iz Frappe
Organizer,Organizator
Other,Ostalo
Over Budget,Prekoračen proračun
Overall Progress,Ukupni napredak
Overall Utilization,Ukupna iskorištenost
Overallocated,Preopterećeno
Overdue,Kasni
overdue,kasni
Overdue Tasks,Zadaci koji kasne
Overview,Pregled
Owner,Vlasnik
Page Not Found,Stranica nije pronađena
Parent,Nadređeni
Parent comment must belong to the same document,Nadređeni komentar mora pripadati istom dokumentu
Parent comment not found,Nadređeni komentar nije pronađen
Parent project not synced to Frappe yet,Nadređeni projekt još nije sinkroniziran s Frappe
Parent project sync not enabled,Sinkronizacija nadređenog projekta nije omogućena
Partner,Partner
Pending,Na čekanju
per page,po stranici
Perform initial assessment and background check,Provedite početnu procjenu i provjeru pozadine
Permanently remove this event,Trajno ukloni ovaj događaj
Permanently remove this task,Trajno ukloni ovaj zadatak
Phone,Telefon
Pin,Prikvači
Pin Activity,Prikvači aktivnost
Pin to top,Prikvači na vrh
Pinned,Prikvačeno
Planned budget for this task,Planirani proračun za ovaj zadatak
Planning,Planiranje
Please describe your question or issue in detail...,Molimo opišite svoje pitanje ili problem detaljno...
Please login to access Orga,Molimo prijavite se za pristup Orga
Please login to access the client portal,Molimo prijavite se za pristup klijentskom portalu
Please respond to this invitation in Orga,Molimo odgovorite na ovu pozivnicu u Orga
Please select an image file,Molimo odaberite slikovnu datoteku
Please try again,Molimo pokušajte ponovo
Please type,Molimo upišite
Portal,Portal
Portal access revoked for {0},Pristup portalu opozvan za {0}
Portal user created successfully. Welcome email {0},Korisnik portala uspješno stvoren. E-pošta dobrodošlice {0}
Post,Objavi
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Prethodnici (blokirano od)
Preferences,Postavke
Preferences saved successfully,Postavke uspješno spremljene
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefiks za automatski generirane kodove projekata (npr. ORG-2026-0001)
Prepare and document offer terms,Pripremite i zabilježite uvjete ponude
Press,Pritisnite
Preview,Pretpregled
Preview cascade before applying,Pretpregled kaskade prije primjene
Previous,Prethodno
Priority,Prioritet
Priority assigned to new tasks,Prioritet dodijeljen novim zadacima
Priority updated,Prioritet ažuriran
Proficiency,Razina vještine
Profile,Profil
Progress,Napredak
Progress (High-Low),Napredak (silazno)
Progress (Low-High),Napredak (uzlazno)
Progress Overview,Pregled napretka
Progress updated,Napredak ažuriran
Project,Projekt
Project budget has been saved.,Proračun projekta je spremljen.
Project code (e.g. ORG-2026-0001),Kod projekta (npr. ORG-2026-0001)
Project Code Prefix,Prefiks koda projekta
Project created,Projekt stvoren
Project deleted,Projekt izbrisan
Project description has been saved.,Opis projekta je spremljen.
Project Details,Pojedinosti projekta
Project end date has been saved.,Datum završetka projekta je spremljen.
Project Files,Datoteke projekta
Project has no linked client,Projekt nema povezanog klijenta
Project Health,Zdravlje projekta
Project Info,Podaci o projektu
Project is required,Projekt je obavezan
Project is required for project context,Projekt je obavezan za kontekst projekta
Project is required when tracking context is 'project',"Projekt je obavezan kada je kontekst praćenja „projekt""
Project name and template name are required,Naziv projekta i naziv predloška su obavezni
Project name is required,Naziv projekta je obavezan
Project not found,Projekt nije pronađen
Project not found or you do not have access,Projekt nije pronađen ili nemate pristup
Project settings,Postavke projekta
Project start date has been saved.,Datum početka projekta je spremljen.
Project title has been saved.,Naslov projekta je spremljen.
Project updated,Projekt ažuriran
Project {0} linked to client {1},Projekt {0} povezan s klijentom {1}
Project {0} not found,Projekt {0} nije pronađen
Project {0} to Frappe Projects,Projekt {0} u Frappe Projects
Project:,Projekt:
Projects,Projekti
Projects Overview,Pregled projekata
Projects created:,Stvoreni projekti:
Projects skipped:,Preskočeni projekti:
Projects updated:,Ažurirani projekti:
Promote failed,Pretvaranje neuspješno
Promote to task,Pretvori u zadatak
Promoted to task,Pretvoreno u zadatak
Propose,Predloži
Propose New Time,Predloži novo vrijeme
Propose Time,Predloži vrijeme
Proposed End,Predloženi završetak
Proposed Start,Predloženi početak
Public,Javno
Quick Action,Brza radnja
Quick Actions,Brze radnje
Quick Stats,Brza statistika
RSVP,RSVP
Rates,Stope
Receive notifications via email,Primajte obavijesti putem e-pošte
Receive notifications within the application,Primajte obavijesti unutar aplikacije
Recipient {0} is not a valid user,Primatelj {0} nije važeći korisnik
Recent Activity,Nedavna aktivnost
Reference,Referenca
Refresh,Osvježi
Related,Povezano
Related Company (optional),Povezana tvrtka (neobavezno)
Related Documents,Povezani dokumenti
Related Project,Povezani projekt
Remaining,Preostalo
Reminder,Podsjetnik
Reminder Lead Time"""
Project Manager,Voditelj projekta
Project Name,Naziv projekta
Project name and template name are required,Naziv projekta i naziv predloška su obavezni
Project name is required,Naziv projekta je obavezan
Project not found,Projekt nije pronađen
Project not found or you do not have access,Projekt nije pronađen ili nemate pristup
Project settings,Postavke projekta
Project start date has been saved.,Datum početka projekta je spremljen.
Project title has been saved.,Naslov projekta je spremljen.
Project Type,Vrsta projekta
Project updated,Projekt ažuriran
Project {0} linked to client {1},Projekt {0} povezan s klijentom {1}
Project {0} not found,Projekt {0} nije pronađen
Project {0} to Frappe Projects,Projekt {0} u Frappe Projects
Project:,Projekt:
projects,projekti
Projects,Projekti
Projects created:,Stvoreni projekti:
Projects Overview,Pregled projekata
Projects skipped:,Preskočeni projekti:
Projects updated:,Ažurirani projekti:
Promote failed,Promicanje neuspješno
Promote to task,Promoviraj u zadatak
Promoted to task,Promoviran u zadatak
Propose,Predloži
Propose New Time,Predloži novo vrijeme
Propose Time,Predloži vrijeme
Proposed End,Predloženi završetak
Proposed Start,Predloženi početak
Public,Javno
Quick Action,Brza radnja
Quick Actions,Brze radnje
Quick Stats,Brza statistika
Rates,Tarife
Receive notifications via email,Primajte obavijesti putem e-pošte
Receive notifications within the application,Primajte obavijesti unutar aplikacije
Recent Activity,Nedavna aktivnost
Recipient {0} is not a valid user,Primatelj {0} nije valjani korisnik
Reference,Referenca
Refresh,Osvježi
Related,Povezano
Related Company (optional),Povezano poduzeće (neobavezno)
Related Documents,Povezani dokumenti
Related Project,Povezani projekt
Remaining,Preostalo
Reminder,Podsjetnik
Reminder Lead Time,Vrijeme prije podsjetnika
Reminder: {0} - {1} at {2},Podsjetnik: {0} - {1} u {2}
Remove,Ukloni
Remove dependency,Ukloni ovisnost
Remove dependency on,Ukloni ovisnost o
Remove from group,Ukloni iz grupe
Remove group dependency,Ukloni grupnu ovisnost
Remove skill,Ukloni vještinu
Reopen,Ponovno otvori
Reopen thread,Ponovno otvori raspravu
reopened,ponovno otvoreno
replies,odgovori
Reply,Odgovori
reply,odgovor
Replying to,Odgovaranje na
Replying to comment,Odgovaranje na komentar
Report Defect,Prijavi nedostatak
Reported Date,Datum prijave
Reports,Izvješća
Reports To,Podređen
Request Submitted!,Zahtjev poslan!
Required,Obavezno
required,obavezno
Research,Istraživanje
Reset to Defaults,Vrati na zadane vrijednosti
Resolve,Riješi
Resolve thread,Riješi raspravu
Resolved,Riješeno
Resolved date cannot be before reported date,Datum rješavanja ne može biti prije datuma prijave
Resource,Resurs
Resource and skill name are required,Resurs i naziv vještine su obavezni
Resource is already an attendee,Resurs je već sudionik
Resource name is required,Naziv resursa je obavezan
Resource not found,Resurs nije pronađen
Resource synced from employee {0},Resurs sinkroniziran sa zaposlenika {0}
Resource {0} is already assigned to this task ({1}),Resurs {0} je već dodijeljen ovom zadatku ({1})
Resource {0} not found,Resurs {0} nije pronađen
Resources,Kontakti
Retry,Pokušaj ponovo
Review,Pregled
Review all relevant documents and contracts,Pregledajte sve relevantne dokumente i ugovore
Reviews,Pregledi
Risk Assessment,Procjena rizika
Rollback,Vrati
Rolled back,Vraćeno
Room or address,Prostorija ili adresa
RSVP,RSVP
Safety,Sigurnost
Sat,Sub
Save,Spremi
"Save a project as a template, or import one from a JSON file.",Spremite projekt kao predložak ili uvezite iz JSON datoteke.
Save as Template,Spremi kao predložak
Save Changes,Spremi promjene
Save failed,Spremanje neuspješno
Save Preferences,Spremi postavke
Save Template,Spremi predložak
Saving...,Spremanje...
Schedule,Raspored
Schedule type is required for scheduled triggers,Vrsta rasporeda obavezna je za zakazane okidače
Scheduled,Zakazano
Search,Pretraži
"Search by name, email, or skill...","Pretražujte po imenu, e-pošti ili vještini..."
Search for a project...,Pretražite projekt...
Search for a task...,Pretražite zadatak...
Search for an event...,Pretražite događaj...
Search for people to invite...,Pretražite ljude za pozivanje...
Search tasks to link...,Pretražite zadatke za povezivanje...
Search tasks...,Pretražite zadatke...
Search...,Pretraži...
Searching...,Pretraživanje...
Seen,Viđeno
Select a project if your request is related to a specific project.,Odaberite projekt ako je vaš zahtjev vezan uz određeni projekt.
Select a project...,Odaberite projekt...
Select a task from the Gantt chart to view and manage its details.,Odaberite zadatak iz Gantt dijagrama za pregled i upravljanje pojedinostima.
Select a task from the list or Kanban board to view and manage its details.,Odaberite zadatak s popisa ili Kanban ploče za pregled i upravljanje pojedinostima.
Select a template...,Odaberite predložak...
Select priority...,Odaberite prioritet...
Select status...,Odaberite status...
Select task...,Odaberite zadatak...
Select type...,Odaberite vrstu...
Selection,Odabir
Send,Pošalji
Send comment,Pošalji komentar
Send email invitations to attendees,Pošaljite pozivnice e-poštom sudionicima
Send Invitations,Pošalji pozivnice
Send notification when a task is assigned to a user,Pošalji obavijest kada je zadatak dodijeljen korisniku
Send notification when task status changes,Pošalji obavijest pri promjeni statusa zadatka
Send reminder before task due date,Pošalji podsjetnik prije roka zadatka
sent,poslano
Set rate,Postavi stopu
Settings,Postavke
Settings saved successfully,Postavke uspješno spremljene
Severity,Ozbiljnost
SF (Start-Finish),SF (Početak-Završetak)
SF - Start-to-Finish,SF - Početak-Završetak
Show,Prikaži
Show all,Prikaži sve
Show all changes,Prikaži sve promjene
Show Archived,Prikaži arhivirane
Show full diff,Prikaži potpunu razliku
Show less,Prikaži manje
Show more,Prikaži više
Skill added,Vještina dodana
Skill is required,Vještina je obavezna
Skill Name,Naziv vještine
Skill removed,Vještina uklonjena
Skill {0} already exists for this resource,Vještina {0} već postoji za ovaj resurs
Skills,Vještine
Skills & Competencies,Vještine i kompetencije
Skip already migrated projects,Preskoči već migrirane projekte
Sort by,Sortiraj po
Sort: Due Date,Sortiraj: Rok
Sort: Priority,Sortiraj: Prioritet
Sort: Project,Sortiraj: Projekt
Sort: Status,Sortiraj: Status
Sort: Task,Sortiraj: Zadatak
Source Code,Izvorni kod
Spent,Potrošeno
Spent:,Potrošeno:
SS (Start-Start),SS (Početak-Početak)
SS - Start-to-Start,SS - Početak-Početak
Standalone,Samostalno
Start,Početak
Start a discussion below,Započnite raspravu ispod
Start Date,Datum početka
Start date,Datum početka
Start Date (Earliest),Datum početka (najraniji)
Start date updated,Datum početka ažuriran
Start date/time is required,Datum/vrijeme početka je obavezno
Start Migration,Pokreni migraciju
Start the conversation below.,Započnite razgovor ispod.
Start Timer,Pokreni mjerač vremena
Start typing to search...,Počnite tipkati za pretraživanje...
Start-to-Finish,Početak-Završetak
Start-to-Start,Početak-Početak
Start:,Početak:
Statistics reset,Statistika poništena
Status,Status
Status assigned to new projects,Status dodijeljen novim projektima
Status assigned to new tasks,Status dodijeljen novim zadacima
Status Changes,Promjene statusa
Status updated,Status ažuriran
Status:,Status:
Stop,Zaustavi
Stop & Save,Zaustavi i spremi
Stop Timer,Zaustavi mjerač vremena
Stops current timer and starts for this event,Zaustavlja trenutni mjerač i pokreće za ovaj događaj
Stops current timer and starts for this task,Zaustavlja trenutni mjerač i pokreće za ovaj zadatak
Subject,Predmet
Subject cannot exceed 255 characters,Predmet ne smije premašiti 255 znakova
Subject is required,Predmet je obavezan
Submit,Pošalji
Submit Another Request,Pošalji još jedan zahtjev
Submit Request,Pošalji zahtjev
Submitting...,Slanje...
Successfully saved,Uspješno spremljeno
Successors (Blocking),Sljedbenici (blokiraju)
Sun,Ned
Supplier,Dobavljač
Support,Podrška
Switch to this event,Prebaci na ovaj događaj
Switch to this task,Prebaci na ovaj zadatak
Sync direction is set to Frappe to Orga only,Smjer sinkronizacije postavljen samo iz Frappe u Orga
Sync direction is set to Orga to Frappe only,Smjer sinkronizacije postavljen samo iz Orga u Frappe
Sync not enabled for this project,Sinkronizacija nije omogućena za ovaj projekt
System,Sustav
Table,Tablica
Take ownership of this task,Preuzmi ovaj zadatak
Target Date,Ciljani datum
Target End,Ciljani završetak
Target Project,Ciljani projekt
Target user is required for '{0}' action,"Ciljani korisnik je obavezan za radnju „{0}""
Task,Zadatak
Task '{0}' is due on {1}."""
task,zadatak
Task,Zadatak
Task '{0}' is due on {1}.,Zadatak '{0}' dospijeva {1}.
Task and resource are required,Zadatak i resurs su obavezni
Task Assignment,Dodjela zadatka
Task cannot be its own parent,Zadatak ne može biti vlastiti nadređeni
Task cannot depend on itself,Zadatak ne može ovisiti o samom sebi
Task cannot depend on the group it belongs to,Zadatak ne može ovisiti o grupi kojoj pripada
Task created,Zadatak stvoren
Task deleted,Zadatak izbrisan
Task description has been saved.,Opis zadatka je spremljen.
Task Details,Pojedinosti zadatka
Task due in {0} days: {1},Rok zadatka za {0} dana: {1}
Task due today: {0},Rok zadatka danas: {0}
Task due tomorrow: {0},Rok zadatka sutra: {0}
Task duplicated,Zadatak dupliciran
Task Group,Grupa zadataka
Task ID is required,ID zadatka je obavezan
Task is blocked by incomplete dependencies,Zadatak je blokiran nedovršenim ovisnostima
Task is cancelled,Zadatak je otkazan
Task is completed,Zadatak je dovršen
Task is no longer blocked by a group,Zadatak više nije blokiran grupom
Task is required for task context,Zadatak je obavezan za kontekst zadatka
Task is required when tracking context is 'task',"Zadatak je obavezan kada je kontekst praćenja „zadatak""
Task linked,Zadatak povezan
Task moved,Zadatak premješten
Task name,Naziv zadatka
Task name is required,Naziv zadatka je obavezan
Task removed from group,Zadatak uklonjen iz grupe
Task subject is required,Predmet zadatka je obavezan
Task unblocked: {0},Zadatak odblokiran: {0}
Task unlinked,Zadatak odspojen
Task updated,Zadatak ažuriran
Task {0} not found,Zadatak {0} nije pronađen
Task {0} not in project {1},Zadatak {0} nije u projektu {1}
Task {0} to Frappe,Zadatak {0} u Frappe
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Zadatak povezan
Task moved,Zadatak premješten
Task name,Naziv zadatka
Task name is required,Naziv zadatka je obavezan
Task removed from group,Zadatak uklonjen iz grupe
Task Subject,Predmet zadatka
Task subject is required,Tema zadatka je obavezna
Task Type,Vrsta zadatka
Task unblocked: {0},Zadatak deblokiran: {0}
Task unlinked,Zadatak odvojen
Task updated,Zadatak ažuriran
Task {0} not found,Zadatak {0} nije pronađen
Task {0} not in project {1},Zadatak {0} nije u projektu {1}
Task {0} to Frappe,Zadatak {0} u Frappe
Tasks,Zadaci
tasks,zadaci
Tasks and milestones will be created with dates relative to the project start date.,Zadaci i prekretnice bit će stvoreni s datumima relativnim prema datumu početka projekta.
