+ Add Milestone,+ टप्पा जोडा
Failed to reorder tasks: {0},कामे पुनर्रचना करणे अयशस्वी: {0}
Failed to reschedule dependent tasks: {0},अवलंबित कामे पुनर्नियोजित करणे अयशस्वी: {0}
Failed to save,जतन करणे अयशस्वी
Failed to save preferences,प्राधान्ये जतन करणे अयशस्वी
Failed to save settings,सेटिंग्ज जतन करणे अयशस्वी
Failed to submit request. Please try again.,विनंती पाठवणे अयशस्वी. कृपया पुन्हा प्रयत्न करा.
Failed to update item,आयटम अद्यतनित करणे अयशस्वी
Failed to update priority,प्राधान्य अद्यतनित करणे अयशस्वी
Failed to update task,काम अद्यतनित करणे अयशस्वी
Failed to update tasks: {0},कामे अद्यतनित करणे अयशस्वी: {0}
Failed to upload avatar,अवतार अपलोड करणे अयशस्वी
Feature,वैशिष्ट्य
Features,वैशिष्ट्ये
FF (Finish-Finish),FF (शेवट-शेवट)
FF - Finish-to-Finish,FF - शेवट-ते-शेवट
Field has been updated,फील्ड अद्यतनित केले
Field name is required for 'Set Field Value' action,'Set Field Value' कृतीसाठी फील्डचे नाव आवश्यक आहे
Field {0} is not a Link field,फील्ड {0} हे लिंक फील्ड नाही
Field {0} not found in {1},फील्ड {0} {1} मध्ये सापडले नाही
File,फाइल
file,फाइल
File does not belong to this task,फाइल या कामाशी संबंधित नाही
File name is required,फाइलचे नाव आवश्यक आहे
File uploaded,फाइल अपलोड झाली
File {0} not found,फाइल {0} सापडली नाही
Files,फाइल्स
files,फाइल्स
Filter,फिल्टर
Final Decision,अंतिम निर्णय
Finance,वित्त
Financial,आर्थिक
Finish-to-Finish,शेवट-ते-शेवट
Finish-to-Start,शेवट-ते-सुरुवात
Flag,ध्वजांकित करा
Flag for attention,लक्ष वेधण्यासाठी ध्वजांकित करा
Flagged,ध्वजांकित
Focus Panel,फोकस पॅनेल
Follows your system preference. Currently:,तुमच्या सिस्टम प्राधान्याचे अनुसरण करते. सध्या:
Frappe Project {0} not found,Frappe प्रकल्प {0} सापडला नाही
Frappe Projects Migration,Frappe Projects स्थलांतर
Frappe Projects module not available,Frappe Projects मॉड्यूल उपलब्ध नाही
Frappe Projects module not installed,Frappe Projects मॉड्यूल स्थापित नाही
Frappe Projects sync is not enabled,Frappe Projects सिंक सक्षम नाही
Frappe Task DocType not found,Frappe Task DocType सापडले नाही
Frappe Task has no project,Frappe कामाला प्रकल्प नाही
Frappe Task {0} not found,Frappe काम {0} सापडले नाही
Fri,शुक्र
From,पासून
From Template,टेम्पलेटमधून
FS (Finish-Start),FS (शेवट-सुरुवात)
FS - Finish-to-Start (default),FS - शेवट-ते-सुरुवात (डीफॉल्ट)
Full form view with audit trail,ऑडिट ट्रेलसह पूर्ण फॉर्म दृश्य
Full name,पूर्ण नाव
Gantt,Gantt
Gantt Chart,Gantt चार्ट
Gantt View,Gantt दृश्य
General Note,सामान्य टीप
Get started,सुरू करा
Go back,मागे जा
Go Back,Go Back
Group by,यानुसार गट करा
Group dependency removed,गट अवलंबित्व काढले
Group dependency set,गट अवलंबित्व सेट केले
Group removed,गट काढला
Group updated,गट अद्यतनित
Hammock task dates are auto-calculated and cannot be changed manually,हॅमॉक कामाच्या तारखा स्वयंचलित गणित केल्या जातात आणि हाताने बदलता येत नाहीत
Have a question or need assistance? Fill out the form below and our team will get back to you.,प्रश्न आहे किंवा मदत हवी आहे? खालील फॉर्म भरा आणि आमची टीम तुम्हाला उत्तर देईल.
Health,आरोग्य
Healthy,चांगले
Hello {0},नमस्कार {0}
Here's what's happening with your projects today.,आज तुमच्या प्रकल्पांमध्ये काय चालू आहे ते येथे आहे.
Hide,लपवा
High,उच्च
History,इतिहास
Home,मुख्यपृष्ठ
Hourly Cost,तासाचा खर्च
Hours,तास
hours,तास
Hours Logged,नोंदवलेले तास
ID,आयडी
Image must be smaller than 5 MB,प्रतिमा 5 MB पेक्षा लहान असणे आवश्यक आहे
Import,आयात करा
Import existing projects and tasks from Frappe Projects module,Frappe Projects मॉड्यूलमधून विद्यमान प्रकल्प आणि कामे आयात करा
Import failed,आयात अयशस्वी
Import Template,टेम्पलेट आयात करा
Imported,आयात केले
in,मध्ये
In Progress,प्रगतीपथावर
In Review,पुनरावलोकनात
In-app notifications,अॅपमधील सूचना
Inactive,निष्क्रिय
Initial Review,प्रारंभिक पुनरावलोकन
Installed Version,Installed Version
Insufficient permissions to view all tasks,सर्व कामे पाहण्यासाठी अपुऱ्या परवानग्या
Intermediate,मध्यम
Internal,अंतर्गत
Invalid DocType,अवैध DocType
Invalid DocType for import,आयातीसाठी अवैध DocType
Invalid item type: {0},अवैध आयटम प्रकार: {0}
Invalid JSON data,अवैध JSON डेटा
Invalid note type. Must be one of: {0},अवैध टीप प्रकार. पुढीलपैकी एक असणे आवश्यक: {0}
Invalid project reference,अवैध प्रकल्प संदर्भ
Invalid reaction type. Must be one of: {0},अवैध प्रतिक्रिया प्रकार. पुढीलपैकी एक असणे आवश्यक: {0}
Invalid RSVP status,अवैध RSVP स्थिती
Invalid status. Must be one of: {0},अवैध स्थिती. पुढीलपैकी एक असणे आवश्यक: {0}
Invalid status: {0},अवैध स्थिती: {0}
Invalid status: {0}. Must be one of: {1},अवैध स्थिती: {0}. पुढीलपैकी एक असणे आवश्यक: {1}
Invalid tracking context: {0},अवैध ट्रॅकिंग संदर्भ: {0}
Invalid visibility. Must be one of: {0},अवैध दृश्यमानता. पुढीलपैकी एक असणे आवश्यक: {0}
Invitation: {0} - {1} at {2},आमंत्रण: {0} - {1} येथे {2}
Invite People,लोकांना आमंत्रित करा
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,आयटम जोडला
Item ID is required,आयटम आयडी आवश्यक आहे
Item removed,आयटम काढला
Item type is required,आयटम प्रकार आवश्यक आहे
Item {0} not found,आयटम {0} सापडला नाही
Job title or role,पदनाव किंवा भूमिका
Join Meeting,बैठकीत सामील व्हा
Just now,आत्ताच
just now,आत्ताच
Kanban,Kanban
Kanban Board,Kanban बोर्ड
Kanban View,Kanban दृश्य
Keyboard Shortcuts,कीबोर्ड शॉर्टकट्स
Keyboard shortcuts (?),कीबोर्ड शॉर्टकट्स (?)
Last checked: {0},Last checked: {0}
Last Updated,शेवटचे अद्यतन
Last updated:,शेवटचे अद्यतन:
Last Week,मागील आठवडा
Latest Version,Latest Version
Light,हलके
Link failed,जोडणे अयशस्वी
Link Task,काम जोडा
Linked,जोडलेले
Linked employee not found,जोडलेला कर्मचारी सापडला नाही
Linked Tasks,जोडलेली कामे
List,यादी
List View,यादी दृश्य
Load failed,लोड अयशस्वी
Load More,अधिक लोड करा
Load more comments,अधिक प्रतिक्रिया लोड करा
Loading activity...,हालचाली लोड करत आहे...
Loading changes...,बदल लोड करत आहे...
Loading checklist...,चेकलिस्ट लोड करत आहे...
Loading comments...,प्रतिक्रिया लोड करत आहे...
Loading contact...,संपर्क लोड करत आहे...
Loading contacts...,संपर्क लोड करत आहे...
Loading dependencies...,अवलंबित्वे लोड करत आहे...
Loading details...,तपशील लोड करत आहे...
Loading discussion...,चर्चा लोड करत आहे...
Loading events...,कार्यक्रम लोड करत आहे...
Loading files...,फाइल्स लोड करत आहे...
Loading notes...,टिपा लोड करत आहे...
Loading preferences...,प्राधान्ये लोड करत आहे...
Loading project...,प्रकल्प लोड करत आहे...
Loading projects...,प्रकल्प लोड करत आहे...
Loading replies...,उत्तरे लोड करत आहे...
Loading report data...,अहवाल डेटा लोड करत आहे...
Loading settings...,सेटिंग्ज लोड करत आहे...
Loading task...,काम लोड करत आहे...
Loading templates...,टेम्पलेट्स लोड करत आहे...
Loading time logs...,वेळ नोंदी लोड करत आहे...
Loading your portal...,तुमचे पोर्टल लोड करत आहे...
Loading...,लोड करत आहे...
Location,स्थान
Log Time,वेळ नोंदवा
Logout,बाहेर पडा
Low,कमी
Make Offer,ऑफर करा
Manager,व्यवस्थापक
Manual Entry,हाताने नोंद
Margin,मार्जिन
Mark all as read,सर्व वाचले म्हणून चिन्हांकित करा
Mark all read,सर्व वाचले चिन्हांकित करा
Mark as read,वाचले म्हणून चिन्हांकित करा
Mark as unread,न वाचलेले म्हणून चिन्हांकित करा
Mark read,वाचले चिन्हांकित करा
Marking...,चिन्हांकित करत आहे...
Material,साहित्य
Maybe,कदाचित
Medium,मध्यम
Meeting,बैठक
Meeting Link,बैठक लिंक
Meeting title,बैठकीचे शीर्षक
Meeting URL,बैठक URL
Meetings,बैठका
Mention,उल्लेख
Message,संदेश
Message is required,संदेश आवश्यक आहे
Message is required for '{0}' action,'{0}' कृतीसाठी संदेश आवश्यक आहे
Migrate,स्थलांतर करा
Migration Complete,स्थलांतर पूर्ण
Migration ID:,स्थलांतर आयडी:
Migration log not found: {0},स्थलांतर लॉग सापडला नाही: {0}
Milestone,टप्पा
milestone,टप्पा
Milestone created,टप्पा तयार केला
Milestone description has been saved.,टप्प्याचे वर्णन जतन केले.
Milestone ID is required,टप्प्याचा आयडी आवश्यक आहे
Milestone marked as Missed (past due date),टप्पा चुकला म्हणून चिन्हांकित (मुदत उलटली)
Milestone moved,टप्पा हलवला
Milestone Name,टप्प्याचे नाव
Milestone name has been saved.,टप्प्याचे नाव जतन केले.
Milestone name is required,टप्प्याचे नाव आवश्यक आहे
Milestone updated,टप्पा अद्यतनित
Milestone {0} not found,टप्पा {0} सापडला नाही
Milestone {0} not in project {1},टप्पा {0} प्रकल्प {1} मध्ये नाही
Milestones,टप्पे
milestones,टप्पे
Milestones:,टप्पे:
Minutes,मिनिटे
Missed,चुकला
Mixed,मिश्र
Mobile,मोबाइल
Moderate,माफक
Modified,बदलले
"Modify details, time, or attendees","तपशील, वेळ किंवा उपस्थित बदला"
Mon,सोम
Month,महिना
Move failed,हलवणे अयशस्वी
Must be a positive number,धन संख्या असणे आवश्यक आहे
Must finish before this finishes,हे संपण्यापूर्वी संपणे आवश्यक
Must finish before this starts,हे सुरू होण्यापूर्वी संपणे आवश्यक
Must start before this finishes,हे संपण्यापूर्वी सुरू होणे आवश्यक
Must start before this starts,हे सुरू होण्यापूर्वी सुरू होणे आवश्यक
My Assignments,माझ्या नेमणुका
My Projects,माझे प्रकल्प
My Schedule,माझे वेळापत्रक
My Tasks,माझी कामे
N/A,लागू नाही
Name,नाव
Name (A-Z),नाव (A-Z)
Name (Z-A),नाव (Z-A)
Name cannot exceed 255 characters,नाव 255 अक्षरांपेक्षा जास्त असू शकत नाही
Need help?,मदत हवी आहे?
Needs Attention,लक्ष आवश्यक
Never,Never
new activities,नवीन हालचाली
New Activity,नवीन हालचाल
New activity,नवीन हालचाल
New Event,नवीन कार्यक्रम
New index is required,नवीन अनुक्रमांक आवश्यक आहे
New Project,नवीन प्रकल्प
New tasks will auto-trail by default.,नवीन कामे डीफॉल्ट म्हणून स्वयं-सरकतील.
Newest First,नवीनतम प्रथम
Next,पुढे
Next 14 days,पुढील 14 दिवस
Next 30 days,पुढील 30 दिवस
Next 60 days,पुढील 60 दिवस
Next 7 days,पुढील 7 दिवस
Next 90 days,पुढील 90 दिवस
Next Week,पुढील आठवडा
Next:,पुढील:
No,नाही
No active assignments,सक्रिय नेमणुका नाहीत
No active projects,सक्रिय प्रकल्प नाहीत
No active timer found,सक्रिय टाइमर सापडला नाही
No activity selected,हालचाल निवडलेली नाही
No assignments found,नेमणुका सापडल्या नाहीत
No attendees,सहभागी नाहीत
no change,बदल नाही
No changes for this field.,या फील्डसाठी बदल नाहीत.
No changes recorded for this activity.,या हालचालीसाठी बदल नोंदवले नाहीत.
No checklist items yet,अजून चेकलिस्ट आयटम नाहीत
No checklist items yet.,अजून चेकलिस्ट आयटम नाहीत.
No comments yet,अजून प्रतिक्रिया नाहीत
No comments yet.,अजून प्रतिक्रिया नाहीत.
No contacts available,संपर्क उपलब्ध नाहीत
No content for this tab,या टॅबसाठी मजकूर नाही
No data available,डेटा उपलब्ध नाही
No data available for the selected filters,निवडलेल्या फिल्टरसाठी डेटा उपलब्ध नाही
No data to export,निर्यात करण्यासाठी डेटा नाही
No dates set,तारखा सेट केलेल्या नाहीत
No defects reported,दोष नोंदवले नाहीत
No dependencies defined,अवलंबित्वे परिभाषित नाहीत
No description,वर्णन नाही
No discussion yet.,अजून चर्चा नाही.
No documents attached,दस्तऐवज जोडलेले नाहीत
No due date,देय तारीख नाही
No employee linked to this resource,या संसाधनाशी कर्मचारी जोडलेला नाही
No ERPNext employee linked to resource,ERPNext कर्मचारी संसाधनाशी जोडलेला नाही
No events found,कार्यक्रम सापडले नाहीत
No files attached yet.,अजून फाइल्स जोडलेल्या नाहीत.
No Frappe Project linked,Frappe प्रकल्प जोडलेला नाही
No Grouping,गट नाही
No items,आयटम नाहीत
No matching tasks,जुळणारी कामे नाहीत
No matching tasks found,जुळणारी कामे सापडली नाहीत
No migration history,स्थलांतर इतिहास नाही
No Milestone,टप्पा नाही
No milestones,टप्पे नाहीत
No milestones defined for this project.,या प्रकल्पासाठी टप्पे परिभाषित नाहीत.
No notes yet.,अजून टिपा नाहीत.
No notes yet. Add a due diligence note to track progress.,अजून टिपा नाहीत. प्रगती ट्रॅक करण्यासाठी सखोल तपासणी टीप जोडा.
No notifications,सूचना नाहीत
No Orga Project linked to Frappe Project {0},Frappe प्रकल्प {0} ला Orga प्रकल्प जोडलेला नाही
No overdue tasks,विलंबित कामे नाहीत
No pending cascade changes,प्रलंबित कॅस्केड बदल नाहीत
No predecessors - this task can start independently,पूर्ववर्ती नाहीत — हे काम स्वतंत्रपणे सुरू होऊ शकते
No project,प्रकल्प नाही
No projects found,प्रकल्प सापडले नाहीत
No Projects Yet,अजून प्रकल्प नाहीत
No recent activity,अलीकडील हालचाली नाहीत
No related documents,संबंधित दस्तऐवज नाहीत
No resolved threads.,निराकरण केलेले चर्चाधागे नाहीत.
No resources found,संसाधने सापडली नाहीत
No results found,निकाल सापडले नाहीत
No skills listed,कौशल्ये सूचीबद्ध नाहीत
No skills recorded yet,अजून कौशल्ये नोंदवलेली नाहीत
No successors - no tasks are waiting for this one,उत्तराधिकारी नाहीत — कोणतेही काम याची वाट पाहत नाही
No task selected,काम निवडलेले नाही
No tasks assigned to you,तुम्हाला कामे नेमलेली नाहीत
No tasks available to add,जोडण्यासाठी कामे उपलब्ध नाहीत
No tasks found,कामे सापडली नाहीत
No tasks linked to this milestone,या टप्प्याला कामे जोडलेली नाहीत
No tasks with dates to display,प्रदर्शित करण्यासाठी तारखा असलेली कामे नाहीत
No tasks yet,अजून कामे नाहीत
No team members,टीम सदस्य नाहीत
No template,टेम्पलेट नाही
No templates yet,अजून टेम्पलेट्स नाहीत
No time data found,वेळ डेटा सापडला नाही
No time logged today,आज वेळ नोंदवलेली नाही
No time logged yet,अजून वेळ नोंदवलेली नाही
No time logs for this period,या कालावधीसाठी वेळ नोंदी नाहीत
No time logs found,वेळ नोंदी सापडल्या नाहीत
No unread notifications,न वाचलेल्या सूचना नाहीत
No update information available yet.,No update information available yet.
None,काहीही नाही
Not found,सापडले नाही
Not permitted,परवानगी नाही
Not permitted to access this project,या प्रकल्पात प्रवेश करण्याची परवानगी नाही
Not permitted to access this task,या कामात प्रवेश करण्याची परवानगी नाही
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,या दस्तऐवजावर प्रतिक्रिया देण्याची परवानगी नाही
Not permitted to create clients,ग्राहक तयार करण्याची परवानगी नाही
Not permitted to delete this client,हा ग्राहक हटवण्याची परवानगी नाही
Not permitted to delete this defect,हा दोष हटवण्याची परवानगी नाही
Not permitted to delete this note,ही टीप हटवण्याची परवानगी नाही
Not permitted to delete this project,हा प्रकल्प हटवण्याची परवानगी नाही
Not permitted to delete this task,हे काम हटवण्याची परवानगी नाही
Not permitted to delete this time log,ही वेळ नोंद हटवण्याची परवानगी नाही
Not permitted to invite clients,ग्राहकांना आमंत्रित करण्याची परवानगी नाही
Not permitted to modify client access,ग्राहक प्रवेश बदलण्याची परवानगी नाही
Not permitted to modify this project,हा प्रकल्प बदलण्याची परवानगी नाही
Not permitted to update settings,सेटिंग्ज अद्यतनित करण्याची परवानगी नाही
Not permitted to update this client,हा ग्राहक अद्यतनित करण्याची परवानगी नाही
Not permitted to view this client,हा ग्राहक पाहण्याची परवानगी नाही
not sent,पाठवले नाही
Not set,सेट नाही
Not specified,निर्दिष्ट नाही
Note,टीप
Note (optional),टीप (ऐच्छिक)
Note Content,टीप मजकूर
Note content is required,टीप मजकूर आवश्यक आहे
Note name is required,टीपचे नाव आवश्यक आहे
Note not found,टीप सापडली नाही
Note Type,टीप प्रकार
Notes,टिपा
Notification,सूचना
Notification not found,सूचना सापडली नाही
Notifications,सूचना
Off Track,मागे पडलेले
Offer,ऑफर
Offer Prepared,ऑफर तयार
Oldest First,जुने प्रथम
On Hold,थांबवलेले
On Leave,रजेवर
On Track,वेळेवर
On-Time Rate,वेळेवर पूर्णत्व दर
Only administrators can delete activities,केवळ प्रशासक हालचाली हटवू शकतात
Only the comment author or administrators can delete comments,केवळ प्रतिक्रिया लेखक किंवा प्रशासक प्रतिक्रिया हटवू शकतात
Only you and admins,फक्त तुम्ही आणि प्रशासक
Open,उघडे
Open in Desk,Desk मध्ये उघडा
Open Task Log,कामाचा लॉग उघडा
Open Tasks,उघडी कामे
Optional,ऐच्छिक
optional,ऐच्छिक
Or email us directly at,किंवा आम्हाला थेट ई-मेल करा
Orga Project {0} from Frappe Projects,Frappe Projects मधून Orga प्रकल्प {0}
Orga Task {0} from Frappe,Frappe मधून Orga काम {0}
Organizer,आयोजक
Other,इतर
Over Budget,अंदाजपत्रक ओलांडले
Overall Progress,एकूण प्रगती
Overall Utilization,एकूण वापर
Overallocated,जास्त वाटप
Overdue,विलंबित
overdue,विलंबित
Overdue Tasks,विलंबित कामे
Overview,विहंगावलोकन
Owner,मालक
Page Not Found,पृष्ठ सापडले नाही
Parent,मूळ
Parent comment must belong to the same document,मूळ प्रतिक्रिया त्याच दस्तऐवजाशी संबंधित असणे आवश्यक
Parent comment not found,मूळ प्रतिक्रिया सापडली नाही
Parent project not synced to Frappe yet,मूळ प्रकल्प अजून Frappe शी सिंक केलेला नाही
Parent project sync not enabled,मूळ प्रकल्प सिंक सक्षम नाही
Partner,भागीदार
Pending,प्रलंबित
per page,प्रति पृष्ठ
Perform initial assessment and background check,प्रारंभिक मूल्यांकन आणि पार्श्वभूमी तपासणी करा
Permanently remove this event,हा कार्यक्रम कायमचा काढा
Permanently remove this task,हे काम कायमचे काढा
Phone,फोन
Pin,पिन करा
Pin Activity,हालचाल पिन करा
Pin to top,वर पिन करा
Pinned,पिन केलेले
Planned budget for this task,या कामासाठी नियोजित अंदाजपत्रक
Planning,नियोजन
Please describe your question or issue in detail...,कृपया तुमचा प्रश्न किंवा समस्या तपशीलवार वर्णन करा...
Please login to access Orga,Orga मध्ये प्रवेश करण्यासाठी कृपया लॉगिन करा
Please login to access the client portal,ग्राहक पोर्टलमध्ये प्रवेश करण्यासाठी कृपया लॉगिन करा
Please respond to this invitation in Orga,कृपया या आमंत्रणाला Orga मध्ये उत्तर द्या
Please select an image file,कृपया प्रतिमा फाइल निवडा
Please try again,कृपया पुन्हा प्रयत्न करा
Please type,कृपया टाइप करा
Portal,पोर्टल
Portal access revoked for {0},{0} साठी पोर्टल प्रवेश रद्द केला
Portal user created successfully. Welcome email {0},पोर्टल वापरकर्ता यशस्वीरित्या तयार केला. स्वागत ई-मेल {0}
Post,पोस्ट करा
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),पूर्ववर्ती (यांनी अवरोधित)
Preferences,प्राधान्ये
Preferences saved successfully,प्राधान्ये यशस्वीरित्या जतन केली
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",स्वयं-निर्मित प्रकल्प कोडसाठी उपसर्ग (उदा. ORG-2026-0001)
Prepare and document offer terms,ऑफर अटी तयार करा आणि नोंदवा
Press,दाबा
Preview,पूर्वावलोकन
Preview cascade before applying,लागू करण्यापूर्वी कॅस्केड पूर्वावलोकन करा
Previous,मागील
Priority,प्राधान्य
Priority assigned to new tasks,नवीन कामांना दिलेले प्राधान्य
Priority updated,प्राधान्य अद्यतनित
Proficiency,प्रवीणता
Profile,प्रोफाइल
Progress,प्रगती
Progress (High-Low),प्रगती (उच्च-कमी)
Progress (Low-High),प्रगती (कमी-उच्च)
Progress Overview,प्रगती विहंगावलोकन
Progress updated,प्रगती अद्यतनित
Project,प्रकल्प
Project budget has been saved.,प्रकल्प अंदाजपत्रक जतन केले.
Project code (e.g. ORG-2026-0001),प्रकल्प कोड (उदा. ORG-2026-0001)
Project Code Prefix,प्रकल्प कोड उपसर्ग
Project created,प्रकल्प तयार केला
Project deleted,प्रकल्प हटवला
Project description has been saved.,प्रकल्पाचे वर्णन जतन केले.
Project Details,प्रकल्प तपशील
Project end date has been saved.,प्रकल्पाची शेवटची तारीख जतन केली.
Project Files,प्रकल्प फाइल्स
Project has no linked client,प्रकल्पाला जोडलेला ग्राहक नाही
Project Health,प्रकल्प आरोग्य
Project Info,प्रकल्प माहिती
Project is required,प्रकल्प आवश्यक आहे
Project is required for project context,प्रकल्प संदर्भासाठी प्रकल्प आवश्यक आहे
Project is required when tracking context is 'project',ट्रॅकिंग संदर्भ 'project' असताना प्रकल्प आवश्यक आहे
Project Manager,प्रकल्प व्यवस्थापक
Project Name,प्रकल्पाचे नाव
Project name and template name are required,प्रकल्पाचे नाव आणि टेम्पलेटचे नाव आवश्यक आहे
Project name is required,प्रकल्पाचे नाव आवश्यक आहे
Project not found,प्रकल्प सापडला नाही
Project not found or you do not have access,प्रकल्प सापडला नाही किंवा तुम्हाला प्रवेश नाही
Project settings,प्रकल्प सेटिंग्ज
Project start date has been saved.,प्रकल्पाची सुरुवातीची तारीख जतन केली.
Project title has been saved.,प्रकल्पाचे शीर्षक जतन केले.
Project Type,प्रकल्प प्रकार
Project updated,प्रकल्प अद्यतनित
Project {0} linked to client {1},प्रकल्प {0} ग्राहक {1} शी जोडला
Project {0} not found,प्रकल्प {0} सापडला नाही
Project {0} to Frappe Projects,प्रकल्प {0} Frappe Projects मध्ये
Project:,प्रकल्प:
Projects,प्रकल्प
projects,प्रकल्प
Projects created:,प्रकल्प तयार केले:
Projects Overview,प्रकल्प विहंगावलोकन
Projects skipped:,प्रकल्प वगळले:
Projects updated:,प्रकल्प अद्यतनित:
Promote failed,प्रमोट करणे अयशस्वी
Promote to task,कामात बदला
Promoted to task,कामात बदलले
Propose,सुचवा
Propose New Time,नवीन वेळ सुचवा
Propose Time,वेळ सुचवा
Proposed End,सुचवलेला शेवट
Proposed Start,सुचवलेली सुरुवात
Public,सार्वजनिक
Quick Action,झटपट कृती
Quick Actions,झटपट कृती
Quick Stats,झटपट आकडेवारी
Rates,दर
Receive notifications via email,ई-मेलद्वारे सूचना प्राप्त करा
Receive notifications within the application,अॅपमध्ये सूचना प्राप्त करा
Recent Activity,अलीकडील हालचाली
Recipient {0} is not a valid user,प्राप्तकर्ता {0} हा वैध वापरकर्ता नाही
Reference,संदर्भ
Refresh,रिफ्रेश करा
Related,संबंधित
Related Company (optional),संबंधित कंपनी (ऐच्छिक)
Related Documents,संबंधित दस्तऐवज
Related Project,संबंधित प्रकल्प
Remaining,उरलेले
Reminder,स्मरणपत्र
Reminder Lead Time,स्मरणपत्र आगाऊ वेळ
Reminder: {0} - {1} at {2},स्मरणपत्र: {0} - {1} येथे {2}
Remove,काढा
Remove dependency,अवलंबित्व काढा
Remove dependency on,यावरील अवलंबित्व काढा
Remove from group,गटातून काढा
Remove group dependency,गट अवलंबित्व काढा
Remove skill,कौशल्य काढा
Reopen,पुन्हा उघडा
Reopen thread,चर्चाधागा पुन्हा उघडा
reopened,पुन्हा उघडले
replies,उत्तरे
Reply,उत्तर द्या
reply,उत्तर
Replying to,यांना उत्तर देत आहे
Replying to comment,प्रतिक्रियेला उत्तर देत आहे
Report Defect,दोष नोंदवा
Reported Date,नोंदवलेली तारीख
Reports,अहवाल
Reports To,यांना अहवाल देतात
Request Submitted!,विनंती पाठवली!
Required,आवश्यक
required,आवश्यक
Research,संशोधन
Reset to Defaults,डीफॉल्टवर रीसेट करा
Resolve,निराकरण करा
Resolve thread,चर्चाधागा निराकरण करा
Resolved,निराकरण केले
Resolved date cannot be before reported date,निराकरण तारीख नोंदवलेल्या तारखेपूर्वी असू शकत नाही
Resource,संसाधन
Resource and skill name are required,संसाधन आणि कौशल्याचे नाव आवश्यक आहे
Resource is already an attendee,संसाधन आधीच सहभागी आहे
Resource name is required,संसाधनाचे नाव आवश्यक आहे
Resource not found,संसाधन सापडले नाही
Resource synced from employee {0},कर्मचारी {0} कडून संसाधन सिंक केले
Resource {0} is already assigned to this task ({1}),संसाधन {0} आधीच या कामाला ({1}) नेमलेले आहे
Resource {0} not found,संसाधन {0} सापडले नाही
Resources,संपर्क
Retry,पुन्हा प्रयत्न करा
Review,पुनरावलोकन
Review all relevant documents and contracts,सर्व संबंधित दस्तऐवज आणि करार तपासा
Reviews,पुनरावलोकने
Risk Assessment,जोखीम मूल्यांकन
Rollback,रोलबॅक
Rolled back,रोलबॅक केले
Room or address,खोली किंवा पत्ता
RSVP,RSVP
Safety,सुरक्षितता
Sat,शनि
Save,जतन करा
"Save a project as a template, or import one from a JSON file.","प्रकल्प टेम्पलेट म्हणून जतन करा, किंवा JSON फाइलमधून आयात करा."
Save as Template,टेम्पलेट म्हणून जतन करा
Save Changes,बदल जतन करा
Save failed,जतन अयशस्वी
Save Preferences,प्राधान्ये जतन करा
Save Template,टेम्पलेट जतन करा
Saving...,जतन करत आहे...
Schedule,वेळापत्रक
Schedule type is required for scheduled triggers,नियोजित ट्रिगरसाठी वेळापत्रक प्रकार आवश्यक आहे
Scheduled,नियोजित
Search,शोधा
"Search by name, email, or skill...","नाव, ई-मेल किंवा कौशल्यानुसार शोधा..."
Search for a project...,प्रकल्प शोधा...
Search for a task...,काम शोधा...
Search for an event...,कार्यक्रम शोधा...
Search for people to invite...,आमंत्रित करण्यासाठी लोक शोधा...
Search tasks to link...,जोडण्यासाठी कामे शोधा...
Search tasks...,कामे शोधा...
Search...,शोधा...
Searching...,शोधत आहे...
Seen,पाहिले
Select a project if your request is related to a specific project.,तुमची विनंती विशिष्ट प्रकल्पाशी संबंधित असल्यास प्रकल्प निवडा.
Select a project...,प्रकल्प निवडा...
Select a task from the Gantt chart to view and manage its details.,तपशील पाहण्यासाठी आणि व्यवस्थापित करण्यासाठी Gantt चार्टमधून काम निवडा.
Select a task from the list or Kanban board to view and manage its details.,तपशील पाहण्यासाठी आणि व्यवस्थापित करण्यासाठी यादी किंवा Kanban बोर्डमधून काम निवडा.
Select a template...,टेम्पलेट निवडा...
Select priority...,प्राधान्य निवडा...
Select status...,स्थिती निवडा...
Select task...,काम निवडा...
Select type...,प्रकार निवडा...
Selection,निवड
Send,पाठवा
Send comment,प्रतिक्रिया पाठवा
Send email invitations to attendees,सहभागींना ई-मेल आमंत्रणे पाठवा
Send Invitations,आमंत्रणे पाठवा
Send notification when a task is assigned to a user,वापरकर्त्याला काम नेमल्यावर सूचना पाठवा
Send notification when task status changes,कामाची स्थिती बदलल्यावर सूचना पाठवा
Send reminder before task due date,कामाच्या देय तारखेपूर्वी स्मरणपत्र पाठवा
sent,पाठवले
Set rate,दर सेट करा
Settings,सेटिंग्ज
Settings saved successfully,सेटिंग्ज यशस्वीरित्या जतन केल्या
Severity,तीव्रता
SF (Start-Finish),SF (सुरुवात-शेवट)
SF - Start-to-Finish,SF - सुरुवात-ते-शेवट
Show,दाखवा
Show all,सर्व दाखवा
Show all changes,सर्व बदल दाखवा
