+ Add Milestone,+ Aggiungi traguardo
Keyboard Shortcuts,Scorciatoie da tastiera
Keyboard shortcuts (?),Scorciatoie da tastiera (?)
Last checked: {0},Last checked: {0}
Last Updated,Ultimo aggiornamento
Last updated:,Ultimo aggiornamento:
Last Week,Settimana scorsa
Latest Version,Latest Version
Light,Chiaro
Link failed,Collegamento non riuscito
Link Task,Collegare un'attività
Linked,Collegato
Linked employee not found,Dipendente collegato non trovato
Linked Tasks,Attività collegate
List,Elenco
List View,Vista elenco
Load failed,Caricamento non riuscito
Load More,Carica altro
Load more comments,Carica altri commenti
Loading activity...,Caricamento dell'attività...
Loading changes...,Caricamento delle modifiche...
Loading checklist...,Caricamento della lista di controllo...
Loading comments...,Caricamento dei commenti...
Loading contact...,Caricamento del contatto...
Loading contacts...,Caricamento dei contatti...
Loading dependencies...,Caricamento delle dipendenze...
Loading details...,Caricamento dei dettagli...
Loading discussion...,Caricamento della discussione...
Loading events...,Caricamento degli eventi...
Loading files...,Caricamento dei file...
Loading notes...,Caricamento delle note...
Loading preferences...,Caricamento delle preferenze...
Loading project...,Caricamento del progetto...
Loading projects...,Caricamento dei progetti...
Loading replies...,Caricamento delle risposte...
Loading report data...,Caricamento dei dati del rapporto...
Loading settings...,Caricamento delle impostazioni...
Loading task...,Caricamento dell'attività...
Loading templates...,Caricamento dei modelli...
Loading time logs...,Caricamento delle voci di tempo...
Loading your portal...,Caricamento del vostro portale...
Loading...,Caricamento...
Location,Luogo
Log Time,Registrare il tempo
Logout,Disconnettersi
Low,Bassa
Make Offer,Fare un'offerta
Manager,Responsabile
Manual Entry,Inserimento manuale
Margin,Margine
Mark all as read,Segna tutto come letto
Mark all read,Segna tutto come letto
Mark as read,Segna come letto
Mark as unread,Segna come non letto
Mark read,Segna come letto
Marking...,Contrassegno in corso...
Material,Materiale
Maybe,Forse
Medium,Media
Meeting,Riunione
Meeting Link,Collegamento alla riunione
Meeting title,Titolo della riunione
Meeting URL,URL della riunione
Meetings,Riunioni
Mention,Menzionare
Message,Messaggio
Message is required,Il messaggio è obbligatorio
Message is required for '{0}' action,Il messaggio è obbligatorio per l'azione «{0}»
Migrate,Migrare
Migration Complete,Migrazione completata
Migration ID:,ID migrazione:
Migration log not found: {0},Registro di migrazione non trovato: {0}
Milestone,Traguardo
milestone,traguardo
Milestone created,Traguardo creato
Milestone description has been saved.,La descrizione del traguardo è stata salvata.
Milestone ID is required,L'identificativo del traguardo è obbligatorio
Milestone marked as Missed (past due date),Traguardo contrassegnato come mancato (data di scadenza superata)
Milestone moved,Traguardo spostato
Milestone Name,Nome del traguardo
Milestone name has been saved.,Il nome del traguardo è stato salvato.
Milestone name is required,Il nome del traguardo è obbligatorio
Milestone updated,Traguardo aggiornato
Milestone {0} not found,Traguardo {0} non trovato
Milestone {0} not in project {1},Traguardo {0} non presente nel progetto {1}
Milestones,Traguardi
milestones,traguardi
Milestones:,Traguardi:
Minutes,Minuti
Missed,Mancato
Mixed,Misto
Mobile,Mobile
Moderate,Moderato
Modified,Modificato
"Modify details, time, or attendees","Modifica dettagli, orario o partecipanti"
Mon,Lun
Month,Mese
Move failed,Spostamento non riuscito
Must be a positive number,Deve essere un numero positivo
Must finish before this finishes,Deve finire prima che questo finisca
Must finish before this starts,Deve finire prima che questo inizi
Must start before this finishes,Deve iniziare prima che questo finisca
Must start before this starts,Deve iniziare prima che questo inizi
My Assignments,Le mie assegnazioni
My Projects,I miei progetti
My Schedule,Il mio calendario
My Tasks,Le mie attività
N/A,N/D
Name,Nome
Name (A-Z),Nome (A-Z)
Name (Z-A),Nome (Z-A)
Name cannot exceed 255 characters,Il nome non può superare i 255 caratteri
Need help?,Avete bisogno di aiuto?
Needs Attention,Richiede attenzione
Never,Never
new activities,nuove attività
New Activity,Nuova attività
New activity,Nuova attività
New Event,Nuovo evento
New index is required,Il nuovo indice è obbligatorio
New Project,Nuovo progetto
New tasks will auto-trail by default.,Le nuove attività avranno lo slittamento automatico per impostazione predefinita.
Newest First,Più recenti per primi
Next,Successivo
Next 14 days,Prossimi 14 giorni
Next 30 days,Prossimi 30 giorni
Next 60 days,Prossimi 60 giorni
Next 7 days,Prossimi 7 giorni
Next 90 days,Prossimi 90 giorni
Next Week,Prossima settimana
Next:,Successivo:
No,No
No active assignments,Nessuna assegnazione attiva
No active projects,Nessun progetto attivo
No active timer found,Nessun cronometro attivo trovato
No activity selected,Nessuna attività selezionata
No assignments found,Nessuna assegnazione trovata
No attendees,Nessun partecipante
no change,nessuna modifica
No changes for this field.,Nessuna modifica per questo campo.
No changes recorded for this activity.,Nessuna modifica registrata per questa attività.
No checklist items yet,Ancora nessun elemento nella lista di controllo
No checklist items yet.,Ancora nessun elemento nella lista di controllo.
No comments yet,Ancora nessun commento
No comments yet.,Ancora nessun commento.
No contacts available,Nessun contatto disponibile
No content for this tab,Nessun contenuto per questa scheda
No data available,Nessun dato disponibile
No data available for the selected filters,Nessun dato disponibile per i filtri selezionati
No data to export,Nessun dato da esportare
No dates set,Nessuna data impostata
No defects reported,Nessun difetto segnalato
No dependencies defined,Nessuna dipendenza definita
No description,Nessuna descrizione
No discussion yet.,Ancora nessuna discussione.
No documents attached,Nessun documento allegato
No due date,Nessuna data di scadenza
No employee linked to this resource,Nessun dipendente collegato a questa risorsa
No ERPNext employee linked to resource,Nessun dipendente ERPNext collegato alla risorsa
No events found,Nessun evento trovato
No files attached yet.,Ancora nessun file allegato.
No Frappe Project linked,Nessun progetto Frappe collegato
No Grouping,Nessun raggruppamento
No items,Nessun elemento
No matching tasks,Nessuna attività corrispondente
No matching tasks found,Nessuna attività corrispondente trovata
No migration history,Nessuna cronologia di migrazione
No Milestone,Nessun traguardo
No milestones,Nessun traguardo
No milestones defined for this project.,Nessun traguardo definito per questo progetto.
No notes yet.,Ancora nessuna nota.
No notes yet. Add a due diligence note to track progress.,Ancora nessuna nota. Aggiungete una nota di verifica preliminare per monitorare l'avanzamento.
No notifications,Nessuna notifica
No Orga Project linked to Frappe Project {0},Nessun progetto Orga collegato al progetto Frappe {0}
No overdue tasks,Nessuna attività in ritardo
No pending cascade changes,Nessuna modifica a cascata in sospeso
No predecessors - this task can start independently,Nessun predecessore — questa attività può iniziare indipendentemente
No project,Nessun progetto
No projects found,Nessun progetto trovato
No Projects Yet,Ancora nessun progetto
No recent activity,Nessuna attività recente
No related documents,Nessun documento correlato
No resolved threads.,Nessun argomento di discussione risolto.
No resources found,Nessuna risorsa trovata
No results found,Nessun risultato trovato
No skills listed,Nessuna competenza elencata
No skills recorded yet,Ancora nessuna competenza registrata
No successors - no tasks are waiting for this one,Nessun successore — nessuna attività attende questa
No task selected,Nessuna attività selezionata
No tasks assigned to you,Nessuna attività assegnata a voi
No tasks available to add,Nessuna attività disponibile da aggiungere
No tasks found,Nessuna attività trovata
No tasks linked to this milestone,Nessuna attività collegata a questo traguardo
No tasks with dates to display,Nessuna attività con date da visualizzare
No tasks yet,Ancora nessuna attività
No team members,Nessun membro del gruppo
No template,Nessun modello
No templates yet,Ancora nessun modello
No time data found,Nessun dato temporale trovato
No time logged today,Nessun tempo registrato oggi
No time logged yet,Ancora nessun tempo registrato
No time logs for this period,Nessuna voce di tempo per questo periodo
No time logs found,Nessuna voce di tempo trovata
No unread notifications,Nessuna notifica non letta
No update information available yet.,No update information available yet.
None,Nessuno
Not found,Non trovato
Not permitted,Non autorizzato
Not permitted to access this project,Accesso non autorizzato a questo progetto
Not permitted to access this task,Accesso non autorizzato a questa attività
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Non siete autorizzati a commentare questo documento
Not permitted to create clients,Non siete autorizzati a creare clienti
Not permitted to delete this client,Non siete autorizzati a eliminare questo cliente
Not permitted to delete this defect,Non siete autorizzati a eliminare questo difetto
Not permitted to delete this note,Non siete autorizzati a eliminare questa nota
Not permitted to delete this project,Non siete autorizzati a eliminare questo progetto
Not permitted to delete this task,Non siete autorizzati a eliminare questa attività
Not permitted to delete this time log,Non siete autorizzati a eliminare questa voce di tempo
Not permitted to invite clients,Non siete autorizzati a invitare clienti
Not permitted to modify client access,Non siete autorizzati a modificare l'accesso del cliente
Not permitted to modify this project,Non siete autorizzati a modificare questo progetto
Not permitted to update settings,Non siete autorizzati a modificare le impostazioni
Not permitted to update this client,Non siete autorizzati a modificare questo cliente
Not permitted to view this client,Non siete autorizzati a visualizzare questo cliente
not sent,non inviato
Not set,Non impostato
Not specified,Non specificato
Note,Nota
Note (optional),Nota (facoltativo)
Note Content,Contenuto della nota
Note content is required,Il contenuto della nota è obbligatorio
Note name is required,Il nome della nota è obbligatorio
Note not found,Nota non trovata
Note Type,Tipo di nota
Notes,Note
Notification,Notifica
Notification not found,Notifica non trovata
Notifications,Notifiche
Off Track,Fuori strada
Offer,Offerta
Offer Prepared,Offerta preparata
Oldest First,Più vecchi per primi
On Hold,In sospeso
On Leave,In ferie
On Track,In linea
On-Time Rate,Tasso di puntualità
Only administrators can delete activities,Solo gli amministratori possono eliminare le attività
Only the comment author or administrators can delete comments,Solo l'autore del commento o gli amministratori possono eliminare i commenti
Only you and admins,Solo voi e gli amministratori
Open,Aperto
Open in Desk,Aprire nel Desk
Open Task Log,Aprire il registro dell'attività
Open Tasks,Attività aperte
Optional,Facoltativo
optional,facoltativo
Or email us directly at,Oppure inviateci un'e-mail direttamente a
Orga Project {0} from Frappe Projects,Progetto Orga {0} da Frappe Projects
Orga Task {0} from Frappe,Attività Orga {0} da Frappe
Organizer,Organizzatore
Other,Altro
Over Budget,Budget superato
Overall Progress,Avanzamento complessivo
Overall Utilization,Utilizzo complessivo
Overallocated,Sovrallocato
Overdue,In ritardo
overdue,in ritardo
Overdue Tasks,Attività in ritardo
Overview,Panoramica
Owner,Proprietario
Page Not Found,Pagina non trovata
Parent,Genitore
Parent comment must belong to the same document,Il commento genitore deve appartenere allo stesso documento
Parent comment not found,Commento genitore non trovato
Parent project not synced to Frappe yet,Il progetto principale non è ancora sincronizzato con Frappe
Parent project sync not enabled,La sincronizzazione del progetto principale non è attivata
Partner,Partner
Pending,In attesa
per page,per pagina
Perform initial assessment and background check,Eseguire la valutazione iniziale e il controllo dei precedenti
Permanently remove this event,Rimuovere definitivamente questo evento
Permanently remove this task,Rimuovere definitivamente questa attività
Phone,Telefono
Pin,Fissare
Pin Activity,Fissare l'attività
Pin to top,Fissare in alto
Pinned,Fissato
Planned budget for this task,Budget previsto per questa attività
Planning,Pianificazione
Please describe your question or issue in detail...,Descrivete la vostra domanda o il vostro problema in dettaglio...
Please login to access Orga,Effettuare l'accesso per accedere a Orga
Please login to access the client portal,Effettuare l'accesso per accedere al portale clienti
Please respond to this invitation in Orga,Rispondete a questo invito in Orga
Please select an image file,Selezionare un file immagine
Please try again,Riprovare
Please type,Digitare
Portal,Portale
Portal access revoked for {0},Accesso al portale revocato per {0}
Portal user created successfully. Welcome email {0},Utente del portale creato con successo. E-mail di benvenuto {0}
Post,Pubblicare
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Predecessori (bloccato da)
Preferences,Preferenze
Preferences saved successfully,Preferenze salvate con successo
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Prefisso per i codici progetto generati automaticamente (es.: ORG-2026-0001)
Prepare and document offer terms,Preparare e documentare i termini dell'offerta
Press,Premere
Preview,Anteprima
Preview cascade before applying,Anteprima della cascata prima dell'applicazione
Previous,Precedente
Priority,Priorità
Priority assigned to new tasks,Priorità assegnata alle nuove attività
Priority updated,Priorità aggiornata
Proficiency,Competenza
Profile,Profilo
Progress,Avanzamento
Progress (High-Low),Avanzamento (decrescente)
Progress (Low-High),Avanzamento (crescente)
Progress Overview,Panoramica dell'avanzamento
Progress updated,Avanzamento aggiornato
Project,Progetto
Project budget has been saved.,Il budget del progetto è stato salvato.
Project code (e.g. ORG-2026-0001),Codice del progetto (es.: ORG-2026-0001)
Project Code Prefix,Prefisso codice progetto
Project created,Progetto creato
Project deleted,Progetto eliminato
Project description has been saved.,La descrizione del progetto è stata salvata.
Project Details,Dettagli del progetto
Project end date has been saved.,La data di fine del progetto è stata salvata.
Project Files,File del progetto
Project has no linked client,Il progetto non ha nessun cliente collegato
Project Health,Stato del progetto
Project Info,Informazioni sul progetto
Project is required,Il progetto è obbligatorio
Project is required for project context,Il progetto è obbligatorio per il contesto progetto
Project is required when tracking context is 'project',Il progetto è obbligatorio quando il contesto di monitoraggio è «progetto»
Project Manager,Responsabile del progetto
Project Name,Nome del progetto
Project name and template name are required,Il nome del progetto e il nome del modello sono obbligatori
Project name is required,Il nome del progetto è obbligatorio
Project not found,Progetto non trovato
Project not found or you do not have access,Progetto non trovato o accesso negato
Project settings,Impostazioni del progetto
Project start date has been saved.,La data di inizio del progetto è stata salvata.
Project title has been saved.,Il titolo del progetto è stato salvato.
Project Type,Tipo di progetto
Project updated,Progetto aggiornato
Project {0} linked to client {1},Progetto {0} collegato al cliente {1}
Project {0} not found,Progetto {0} non trovato
Project {0} to Frappe Projects,Progetto {0} verso Frappe Projects
Project:,Progetto:
Projects,Progetti
projects,progetti
Projects created:,Progetti creati:
Projects Overview,Panoramica dei progetti
Projects skipped:,Progetti saltati:
Projects updated:,Progetti aggiornati:
Promote failed,Promozione non riuscita
Promote to task,Promuovere ad attività
Promoted to task,Promosso ad attività
Propose,Proporre
Propose New Time,Proporre un nuovo orario
Propose Time,Proporre un orario
Proposed End,Fine proposta
Proposed Start,Inizio proposto
Public,Pubblico
Quick Action,Azione rapida
Quick Actions,Azioni rapide
Quick Stats,Statistiche rapide
Rates,Tariffe
Receive notifications via email,Ricevere notifiche via e-mail
Receive notifications within the application,Ricevere notifiche all'interno dell'applicazione
Recent Activity,Attività recente
Recipient {0} is not a valid user,Il destinatario {0} non è un utente valido
Reference,Riferimento
Refresh,Aggiornare
Related,Correlato
Related Company (optional),Azienda correlata (facoltativo)
Related Documents,Documenti correlati
Related Project,Progetto correlato
Remaining,Rimanente
Reminder,Promemoria
Reminder Lead Time,Anticipo del promemoria
Reminder: {0} - {1} at {2},Promemoria: {0} - {1} alle {2}
Remove,Rimuovere
Remove dependency,Rimuovere la dipendenza
Remove dependency on,Rimuovere la dipendenza da
Remove from group,Rimuovere dal gruppo
Remove group dependency,Rimuovere la dipendenza di gruppo
Remove skill,Rimuovere la competenza
Reopen,Riaprire
Reopen thread,Riaprire il tema di discussione
reopened,riaperto
replies,risposte
Reply,Rispondere
reply,risposta
Replying to,In risposta a
Replying to comment,In risposta al commento
Report Defect,Segnalare un difetto
Reported Date,Data di segnalazione
Reports,Rapporti
Reports To,Riferisce a
Request Submitted!,Richiesta inviata!
Required,Obbligatorio
required,obbligatorio
Research,Ricerca
Reset to Defaults,Ripristinare i valori predefiniti
Resolve,Risolvere
Resolve thread,Risolvere il tema di discussione
Resolved,Risolto
Resolved date cannot be before reported date,La data di risoluzione non può essere precedente alla data di segnalazione
Resource,Risorsa
Resource and skill name are required,La risorsa e il nome della competenza sono obbligatori
Resource is already an attendee,La risorsa è già un partecipante
Resource name is required,Il nome della risorsa è obbligatorio
Resource not found,Risorsa non trovata
Resource synced from employee {0},Risorsa sincronizzata dal dipendente {0}
Resource {0} is already assigned to this task ({1}),La risorsa {0} è già assegnata a questa attività ({1})
Resource {0} not found,Risorsa {0} non trovata
Resources,Contatti
Retry,Riprovare
Review,Revisione
Review all relevant documents and contracts,Esaminare tutti i documenti e i contratti pertinenti
Reviews,Esami
Risk Assessment,Valutazione dei rischi
Rollback,Ripristinare
Rolled back,Ripristinato
Room or address,Sala o indirizzo
RSVP,RSVP
Safety,Sicurezza
Sat,Sab
Save,Salvare
"Save a project as a template, or import one from a JSON file.","Salvate un progetto come modello, o importatene uno da un file JSON."
Save as Template,Salvare come modello
Save Changes,Salvare le modifiche
Save failed,Salvataggio non riuscito
Save Preferences,Salvare le preferenze
Save Template,Salvare il modello
Saving...,Salvataggio in corso...
Schedule,Calendario
Schedule type is required for scheduled triggers,Il tipo di pianificazione è obbligatorio per i trigger pianificati
Scheduled,Pianificato
Search,Cercare
"Search by name, email, or skill...","Cercare per nome, e-mail o competenza..."
Search for a project...,Cercare un progetto...
Search for a task...,Cercare un'attività...
Search for an event...,Cercare un evento...
Search for people to invite...,Cercare persone da invitare...
Search tasks to link...,Cercare attività da collegare...
Search tasks...,Cercare attività...
Search...,Cercare...
Searching...,Ricerca in corso...
Seen,Visto
Select a project if your request is related to a specific project.,Selezionare un progetto se la vostra richiesta è relativa a un progetto specifico.
Select a project...,Selezionare un progetto...
Select a task from the Gantt chart to view and manage its details.,Selezionare un'attività dal diagramma di Gantt per visualizzare e gestire i suoi dettagli.
Select a task from the list or Kanban board to view and manage its details.,Selezionare un'attività dall'elenco o dalla bacheca Kanban per visualizzare e gestire i suoi dettagli.
Select a template...,Selezionare un modello...
Select priority...,Selezionare una priorità...
Select status...,Selezionare uno stato...
Select task...,Selezionare un'attività...
Select type...,Selezionare un tipo...
Selection,Selezione
Send,Inviare
Send comment,Inviare il commento
Send email invitations to attendees,Inviare gli inviti via e-mail ai partecipanti
Send Invitations,Inviare gli inviti
Send notification when a task is assigned to a user,Inviare una notifica quando un'attività viene assegnata a un utente
Send notification when task status changes,Inviare una notifica quando lo stato dell'attività cambia
Send reminder before task due date,Inviare un promemoria prima della scadenza dell'attività
sent,inviato
Set rate,Impostare la tariffa
Settings,Impostazioni
Settings saved successfully,Impostazioni salvate con successo
Severity,Gravità
SF (Start-Finish),SF (Inizio-Fine)
SF - Start-to-Finish,SF - Inizio-a-Fine
Show,Mostrare
Show all,Mostrare tutto
Show all changes,Mostrare tutte le modifiche
Show Archived,Mostrare gli archiviati
Show full diff,Mostrare il confronto completo
Show less,Mostrare meno
Show more,Mostrare di più
Skill added,Competenza aggiunta
Skill is required,La competenza è obbligatoria
Skill Name,Nome della competenza
Skill removed,Competenza rimossa
Skill {0} already exists for this resource,La competenza {0} esiste già per questa risorsa
Skills,Competenze
Skills & Competencies,Competenze e abilità
Skip already migrated projects,Saltare i progetti già migrati
Sort by,Ordinare per
Sort: Due Date,Ordina: Data di scadenza
Sort: Priority,Ordina: Priorità
Sort: Project,Ordina: Progetto
Sort: Status,Ordina: Stato
Sort: Task,Ordina: Attività
Source Code,Codice sorgente
Spent,Speso
Spent:,Speso:
SS (Start-Start),SS (Inizio-Inizio)
SS - Start-to-Start,SS - Inizio-a-Inizio
Standalone,Indipendente
Start,Inizio
Start a discussion below,Avviate una discussione qui sotto
Start Date,Data di inizio
Start date,Data di inizio
Start Date (Earliest),Data di inizio (la più vicina)
Start date updated,Data di inizio aggiornata
Start date/time is required,La data/ora di inizio è obbligatoria
Start Migration,Avviare la migrazione
Start the conversation below.,Iniziate la conversazione qui sotto.
Start Timer,Avviare il cronometro
Start typing to search...,Iniziate a digitare per cercare...
Start-to-Finish,Inizio-a-Fine
Start-to-Start,Inizio-a-Inizio
Start:,Inizio:
Statistics reset,Statistiche ripristinate
Status,Stato
Status assigned to new projects,Stato assegnato ai nuovi progetti
Status assigned to new tasks,Stato assegnato alle nuove attività
Status Changes,Cambiamenti di stato
Status updated,Stato aggiornato
Status:,Stato:
Stop,Fermare
Stop & Save,Fermare e salvare
Stop Timer,Fermare il cronometro
Stops current timer and starts for this event,Ferma il cronometro attuale e lo avvia per questo evento
Stops current timer and starts for this task,Ferma il cronometro attuale e lo avvia per questa attività
Subject,Oggetto
Subject cannot exceed 255 characters,L'oggetto non può superare i 255 caratteri
Subject is required,L'oggetto è obbligatorio
Submit,Inviare
Submit Another Request,Inviare un'altra richiesta
Submit Request,Inviare la richiesta
Submitting...,Invio in corso...
Successfully saved,Salvato con successo
Successors (Blocking),Successori (bloccante)
Sun,Dom
Supplier,Fornitore
Support,Supporto
Switch to this event,Passare a questo evento
Switch to this task,Passare a questa attività
Sync direction is set to Frappe to Orga only,La direzione di sincronizzazione è impostata solo da Frappe a Orga
Sync direction is set to Orga to Frappe only,La direzione di sincronizzazione è impostata solo da Orga a Frappe
Sync not enabled for this project,La sincronizzazione non è attivata per questo progetto
System,Sistema
Table,Tabella
Take ownership of this task,Prendere in carico questa attività
Target Date,Data obiettivo
Target End,Fine obiettivo
Target Project,Progetto obiettivo
Target user is required for '{0}' action,L'utente di destinazione è obbligatorio per l'azione «{0}»
Task,Attività
task,attività
Task '{0}' is due on {1}.,L'attività «{0}» scade il {1}.
Task and resource are required,L'attività e la risorsa sono obbligatorie
Task Assignment,Assegnazione dell'attività
Task cannot be its own parent,Un'attività non può essere il proprio genitore
Task cannot depend on itself,Un'attività non può dipendere da sé stessa
Task cannot depend on the group it belongs to,Un'attività non può dipendere dal gruppo a cui appartiene
Task created,Attività creata
Task deleted,Attività eliminata
Task description has been saved.,La descrizione dell'attività è stata salvata.
Task Details,Dettagli dell'attività
Task due in {0} days: {1},Attività in scadenza tra {0} giorni: {1}
Task due today: {0},Attività in scadenza oggi: {0}
Task due tomorrow: {0},Attività in scadenza domani: {0}
Task duplicated,Attività duplicata
Task Group,Gruppo di attività
Task ID is required,L'identificativo dell'attività è obbligatorio
Task is blocked by incomplete dependencies,L'attività è bloccata da dipendenze incomplete
Task is cancelled,L'attività è annullata
Task is completed,L'attività è completata
Task is no longer blocked by a group,L'attività non è più bloccata da un gruppo
Task is required for task context,L'attività è obbligatoria per il contesto attività
Task is required when tracking context is 'task',L'attività è obbligatoria quando il contesto di monitoraggio è «attività»
Task linked,Attività collegata
Task moved,Attività spostata
Task name,Nome dell'attività
Task name is required,Il nome dell'attività è obbligatorio
Task removed from group,Attività rimossa dal gruppo
Task Subject,Oggetto dell'attività
Task subject is required,L'oggetto dell'attività è obbligatorio
Task Type,Tipo di attività
Task unblocked: {0},Attività sbloccata: {0}
Task unlinked,Attività scollegata
Task updated,Attività aggiornata
Task {0} not found,Attività {0} non trovata
Task {0} not in project {1},Attività {0} non presente nel progetto {1}
Task {0} to Frappe,Attività {0} verso Frappe
Tasks,Attività
tasks,attività
Tasks and milestones will be created with dates relative to the project start date.,Le attività e i traguardi saranno creati con date relative alla data di inizio del progetto.
Tasks assigned to you across all projects.,Attività assegnate a voi in tutti i progetti.
Tasks created:,Attività create:
Tasks from projects you manage.,Attività dei progetti che gestite.
Tasks updated:,Attività aggiornate:
"Tasks, milestones, and dependencies have been created.","Le attività, i traguardi e le dipendenze sono stati creati."
Tasks:,Attività:
TBD,Da definire
Team,Gruppo
Team Members,Membri del gruppo
Template,Modello
Template applied,Modello applicato
Template data is required in import data,I dati del modello sono obbligatori nei dati di importazione
Template has no data,Il modello non contiene dati
Template Name,Nome del modello
Template name,Nome del modello
Template name is required,Il nome del modello è obbligatorio
Template name is required in import data,Il nome del modello è obbligatorio nei dati di importazione
Template saved,Modello salvato
Template updated successfully.,Modello aggiornato con successo.
Template {0} not found,Modello {0} non trovato
Templates,Modelli
Tentative,Provvisorio
The comment has been deleted,Il commento è stato eliminato
The project,Il progetto
The source document may have been deleted.,Il documento di origine potrebbe essere stato eliminato.
The source document will not be affected.,Il documento di origine non sarà modificato.
The status of '{0}' was changed from {1} to {2}.,Lo stato di «{0}» è stato modificato da {1} a {2}.
Theme,Tema
Theme preference,Preferenza tema
This action,Questa azione
This action cannot be undone.,Questa azione è irreversibile.
This activity has been flagged for attention,Questa attività è stata segnalata per attenzione
This is a reminder for your upcoming appointment,Questo è un promemoria per il vostro prossimo appuntamento
This method is only meant for developer mode,Questo metodo è riservato alla modalità sviluppatore
This page wandered off,Questa pagina si è persa
This Week,Questa settimana
This will delete all notes and preferences associated with this activity.,Questo eliminerà tutte le note e le preferenze associate a questa attività.
This will import all Frappe Projects into Orga. Continue?,Questo importerà tutti i progetti Frappe in Orga. Continuare?
This will permanently delete,Questo eliminerà definitivamente
This will permanently delete:,Questo eliminerà definitivamente:
Thu,Gio
Time,Ora
Time & Billing,Tempo e fatturazione
Time & Revenue,Tempo e ricavi
Time Entries,Voci di tempo
Time log name is required,Il nome della voce di tempo è obbligatorio
Time Log not found,Voce di tempo non trovata
Time log {0} not found,Voce di tempo {0} non trovata
Time Logs,Voci di tempo
Time Summary,Riepilogo tempo
Time Tracking,Monitoraggio del tempo
Timeline,Cronologia
Timer active on,Cronometro attivo su
Timer is not running,Il cronometro non è in corso
Timer Running,Cronometro in corso
Timer running,Cronometro in corso
Timesheet DocType not available,DocType Foglio ore non disponibile
Timesheets,Fogli ore
Timezone,Fuso orario
Timezone is detected from your browser,Il fuso orario è rilevato dal vostro browser
Title,Titolo
Title cannot exceed 255 characters,Il titolo non può superare i 255 caratteri
Title is required,Il titolo è obbligatorio
Title updated,Titolo aggiornato
To,A
to,a
to cancel,per annullare
to close,per chiudere
to confirm:,per confermare:
to edit,per modificare
"to save,","per salvare,"
To Time cannot be before From Time,L'ora di fine non può essere precedente all'ora di inizio
Today,Oggi
today,oggi
Toggle billable,Attivare/disattivare fatturabile
Toggle Details Panel,Mostrare/nascondere il pannello dei dettagli
Toggle Manager Panel,Mostrare/nascondere il pannello gestione
Toggle Sidebar,Mostrare/nascondere la barra laterale
Tomorrow,Domani
tomorrow,domani
Total,Totale
Total Budget,Budget totale
Total Contacts,Totale contatti
Total Cost,Costo totale
Total Cost to Org,Costo totale per l'organizzazione
Total Defect Cost,Costo totale difetti
Total Hours,Ore totali
Total Hours Logged,Ore totali registrate
Total Projects,Totale progetti
Total Spent,Totale speso
Total Tasks,Totale attività
Total:,Totale:
Tracked,Monitorato
trails to today while Open at 0%,slitta fino a oggi finché aperto allo 0%
Tried:,Provato:
Try adjusting your filter criteria,Provate a modificare i criteri di filtro
Try adjusting your filters.,Provate a modificare i filtri.
Try Again,Riprovare
Tue,Mar
Type,Tipo
Type updated,Tipo aggiornato
Type:,Tipo:
Typical response time: 1-2 business days,Tempo di risposta tipico: 1-2 giorni lavorativi
Unarchive,Disarchiviare
Unarchive Activity,Disarchiviare l'attività
Unassign,Disassegnare
Unassigned,Non assegnato
Under Budget,Sotto il budget
Ungrouped,Non raggruppato
Unknown,Sconosciuto
Unknown error,Errore sconosciuto
Unlink failed,Scollegamento non riuscito
Unlink task from milestone,Scollegare l'attività dal traguardo
Unpin,Togliere dal fisso
Unpin Activity,Togliere l'attività dal fisso
Unread,Non letto
Unread only,Solo non letti
Until,Fino a
Up to Date,Up to Date
Upcoming,In arrivo
upcoming,in arrivo
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Aggiornamento non riuscito
Updated,Aggiornato
Updated successfully,Aggiornato con successo
Updates,Updates
Upload,Caricare
Upload failed,Caricamento non riuscito
Upload files below to attach them to this task.,Caricate i file qui sotto per allegarli a questa attività.
Upload to project,Caricare nel progetto
Uploading...,Caricamento in corso...
Urgent,Urgente
User {0} is already linked to client {1},L'utente {0} è già collegato al cliente {1}
User {0} is already linked to resource {1},L'utente {0} è già collegato alla risorsa {1}
Utilization,Utilizzo
Valid,Valido
Value:,Valore:
Variance,Scostamento
Variance:,Scostamento:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Visualizzare
View All,Visualizza tutto
View all active projects,Visualizzare tutti i progetti attivi
View all open tasks,Visualizzare tutte le attività aperte
View overdue tasks,Visualizzare le attività in ritardo
View Release,View Release
Visibility,Visibilità
Waiting for this task,In attesa di questa attività
Waits for:,In attesa di:
Warning: Resource {0} status is {1},Attenzione: lo stato della risorsa {0} è {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Attenzione: utilizzo di HTTP invece di HTTPS. I dati webhook potrebbero non essere sicuri.
Watch budget closely,Monitorare il budget attentamente
We'll respond to:,Risponderemo a:
Webhook deleted,Webhook eliminato
Webhook name is required,Il nome del webhook è obbligatorio
Webhook not found,Webhook non trovato
