+ Add Milestone,+ ເພີ່ມຈຸດໝາຍ
Defect Type,ປະເພດຂໍ້ບົກພ່ອງ
Defect {0} not found,ບໍ່ພົບຂໍ້ບົກພ່ອງ {0}
Defects,ຂໍ້ບົກພ່ອງ
Defects & Issues,ຂໍ້ບົກພ່ອງ ແລະ ບັນຫາ
Defects Resolved,ຂໍ້ບົກພ່ອງທີ່ແກ້ໄຂແລ້ວ
Delayed,ລ່າຊ້າ
Delete,ລຶບ
Delete Activity Data,ລຶບຂໍ້ມູນກິດຈະກຳ
Delete all read notifications?,ລຶບການແຈ້ງເຕືອນທີ່ອ່ານແລ້ວທັງໝົດ?
Delete comment,ລຶບຄຳເຫັນ
Delete Contact,ລຶບຜູ້ຕິດຕໍ່
Delete Event,ລຶບເຫດການ
Delete Event?,ລຶບເຫດການ?
Delete failed,ການລຶບລົ້ມເຫຼວ
Delete file,ລຶບໄຟລ໌
Delete item,ລຶບລາຍການ
Delete note,ລຶບບັນທຶກ
Delete Project,ລຶບໂຄງການ
Delete Task,ລຶບໜ້າວຽກ
Delete this project,ລຶບໂຄງການນີ້
Deleted,ລຶບແລ້ວ
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ລຶບໂຄງການ ""{0}"" ({1} ໜ້າວຽກ, {2} ຈຸດໝາຍ) ແລ້ວ"
Deletes notes and preferences. Source document is not affected.,ລຶບບັນທຶກ ແລະ ການຕັ້ງຄ່າ. ເອກະສານຕົ້ນສະບັບບໍ່ຖືກກະທົບ.
Deleting...,ກຳລັງລຶບ...
Department,ພະແນກ
Dependencies,ການເພິ່ງພາ
dependencies,ການເພິ່ງພາ
Dependencies are informational only,ການເພິ່ງພາເປັນຂໍ້ມູນເທົ່ານັ້ນ
dependency,ການເພິ່ງພາ
Dependency already exists,ການເພິ່ງພາມີຢູ່ແລ້ວ
Dependency Chain,ລະບົບຕ່ອງໂສ້ການເພິ່ງພາ
Dependency created,ສ້າງການເພິ່ງພາແລ້ວ
Dependency mode updated,ອັບເດດຮູບແບບການເພິ່ງພາແລ້ວ
Dependency name is required,ຕ້ອງລະບຸຊື່ການເພິ່ງພາ
Dependency task {0} not found,ບໍ່ພົບໜ້າວຽກການເພິ່ງພາ {0}
Dependency {0} not found,ບໍ່ພົບການເພິ່ງພາ {0}
depends,ຂຶ້ນກັບ
Depends on Group,ຂຶ້ນກັບກຸ່ມ
Depends on task is required,ຕ້ອງລະບຸໜ້າວຽກທີ່ຂຶ້ນກັບ
depends on...,ຂຶ້ນກັບ...
Descending -- click to reverse,ຈັດລຽງຈາກໃຫຍ່ຫານ້ອຍ -- ກົດເພື່ອປີ້ນກັບ
Describe the defect in detail...,ອະທິບາຍຂໍ້ບົກພ່ອງຢ່າງລະອຽດ...
Description,ລາຍລະອຽດ
Description updated,ອັບເດດລາຍລະອຽດແລ້ວ
Designation,ຕຳແໜ່ງ
"Detailed description of the defect, location, and impact","ລາຍລະອຽດຂອງຂໍ້ບົກພ່ອງ, ສະຖານທີ່, ແລະ ຜົນກະທົບ"
Details,ລາຍລະອຽດ
Discard timer,ຍົກເລີກໂມງຈັບເວລາ
Discussion,ການສົນທະນາ
Dismiss,Dismiss
Display,ສະແດງ
Document,ເອກະສານ
Document attached to project,ແນບເອກະສານກັບໂຄງການແລ້ວ
Document final decision and rationale,ບັນທຶກການຕັດສິນໃຈສຸດທ້າຍ ແລະ ເຫດຜົນ
Documentation Review,ການກວດສອບເອກະສານ
Documents,ເອກະສານ
Done,ສຳເລັດ
Download,ດາວໂຫຼດ
Drag to create dependency,ລາກເພື່ອສ້າງການເພິ່ງພາ
Dry Run,ທົດລອງແລ່ນ
Dry Run Complete,ທົດລອງແລ່ນສຳເລັດ
Due Date,ວັນທີກຳນົດ
Due date,ວັນທີກຳນົດ
Due Date (Earliest),ວັນທີກຳນົດ (ໄວສຸດ)
Due date cannot be before start date,ວັນທີກຳນົດບໍ່ສາມາດຢູ່ກ່ອນວັນທີເລີ່ມຕົ້ນ
Due date is in the past,ວັນທີກຳນົດຢູ່ໃນອະດີດ
Due Date Reminders,ການເຕືອນວັນທີກຳນົດ
Due Diligence,ການກວດສອບຄວາມຮອບຄອບ
Due Diligence Checklist,ລາຍການກວດສອບຄວາມຮອບຄອບ
Due This Week,ກຳນົດສົ່ງອາທິດນີ້
Due:,ກຳນົດ:
Duplicate events are not allowed,ບໍ່ອະນຸຍາດເຫດການຊ້ຳກັນ
Duplicate failed,ການສຳເນົາລົ້ມເຫຼວ
Duplicate Task,ສຳເນົາໜ້າວຽກ
Duration,ໄລຍະເວລາ
Duration Summary,ສະຫຼຸບໄລຍະເວລາ
Duration:,ໄລຍະເວລາ:
e.g. Cracked wall finish in bathroom...,ເຊັ່ນ: ຝາຫ້ອງນ້ຳແຕກ...
"e.g. Electrical, Plumbing...","ເຊັ່ນ: ໄຟຟ້າ, ປະປາ..."
Edit,ແກ້ໄຂ
Edit (E),ແກ້ໄຂ (E)
Edit dependency,ແກ້ໄຂການເພິ່ງພາ
Edit Event,ແກ້ໄຂເຫດການ
Efficiency,ປະສິດທິພາບ
Either dependency_name or depends_on is required,ຕ້ອງລະບຸ dependency_name ຫຼື depends_on
Email,ອີເมວ
Email invitations to all attendees,ສົ່ງຄຳເຊີນທາງອີເມວໃຫ້ຜູ້ເຂົ້າຮ່ວມທັງໝົດ
Email is required to create portal user,ຕ້ອງມີອີເມວເພື່ອສ້າງຜູ້ໃຊ້ພອລ໌ທອນ
Email notifications,ການແຈ້ງເຕືອນທາງອີເມວ
Employee,ພະນັກງານ
Employee DocType not available,DocType ພະນັກງານບໍ່ພ້ອມໃຊ້ງານ
Employee not found,ບໍ່ພົບພະນັກງານ
Enable or disable optional features,ເປີດ ຫຼື ປິດຄຸນສົມບັດເສີມ
Enable Time Tracking,ເປີດການຕິດຕາມເວລາ
End,ສິ້ນສຸດ
End Date,ວັນທີສິ້ນສຸດ
End date,ວັນທີສິ້ນສຸດ
End Date cannot be before Start Date,ວັນທີສິ້ນສຸດບໍ່ສາມາດຢູ່ກ່ອນວັນທີເລີ່ມຕົ້ນ
End date cannot be before start date,ວັນທີສິ້ນສຸດບໍ່ສາມາດຢູ່ກ່ອນວັນທີເລີ່ມຕົ້ນ
End date updated,ອັບເດດວັນທີສິ້ນສຸດແລ້ວ
End time was before start time. Adjusted to 1 hour after start.,ເວລາສິ້ນສຸດຢູ່ກ່ອນເວລາເລີ່ມຕົ້ນ. ປັບເປັນ 1 ຊົ່ວໂມງຫຼັງຈາກເລີ່ມຕົ້ນ.
End:,ສິ້ນສຸດ:
Enter milestone name...,ໃສ່ຊື່ຈຸດໝາຍ...
Enter project name,ໃສ່ຊື່ໂຄງການ
Enter task title...,ໃສ່ຫົວຂໍ້ໜ້າວຽກ...
Enter template name,ໃສ່ຊື່ແມ່ແບບ
Enter your note... Use @name to mention someone,ໃສ່ບັນທຶກຂອງທ່ານ... ໃຊ້ @ຊື່ ເພື່ອກ່າວເຖິງຜູ້ໃດຜູ້ໜຶ່ງ
Error,ຂໍ້ຜິດພາດ
Error loading activity,ຂໍ້ຜິດພາດໃນການໂຫຼດກິດຈະກຳ
Error loading contacts,ຂໍ້ຜິດພາດໃນການໂຫຼດຜູ້ຕິດຕໍ່
Error loading dashboard,ຂໍ້ຜິດພາດໃນການໂຫຼດໜ້າຫຼັກ
Error loading project,ຂໍ້ຜິດພາດໃນການໂຫຼດໂຄງການ
Error loading projects,ຂໍ້ຜິດພາດໃນການໂຫຼດໂຄງການ
Error loading settings,ຂໍ້ຜິດພາດໃນການໂຫຼດການຕັ້ງຄ່າ
Error loading tasks,ຂໍ້ຜິດພາດໃນການໂຫຼດໜ້າວຽກ
Error loading templates,ຂໍ້ຜິດພາດໃນການໂຫຼດແມ່ແບບ
Est. Hours,ຊມ. ປະມານ
Estimated,ປະມານ
Estimated Cost,ຄ່າໃຊ້ຈ່າຍປະມານ
Estimated Cost (€),ຄ່າໃຊ້ຈ່າຍປະມານ (€)
Estimated Hours,ຊົ່ວໂມງປະມານ
Estimated:,ປະມານ:
Evaluate potential risks and concerns,ປະເມີນຄວາມສ່ຽງ ແລະ ຄວາມກັງວົນທີ່ອາດເກີດຂຶ້ນ
Event,ເຫດການ
Event is required for event context,ຕ້ອງມີເຫດການສຳລັບບໍລິບົດເຫດການ
Event is required when tracking context is 'event',ຕ້ອງມີເຫດການເມື່ອບໍລິບົດການຕິດຕາມເປັນ 'ເຫດການ'
Event Type,ປະເພດເຫດການ
Events,ເຫດການ
Events not available. Please run: bench --site orga.localhost migrate,ເຫດການບໍ່ພ້ອມໃຊ້ງານ. ກະລຸນາແລ່ນ: bench --site orga.localhost migrate
Events:,ເຫດການ:
Expert,ຊ່ຽວຊານ
Explain why you are proposing a different time...,ອະທິບາຍເຫດຜົນທີ່ທ່ານສະເໜີເວລາອື່ນ...
Export,ສົ່ງອອກ
Export failed,ການສົ່ງອອກລົ້ມເຫຼວ
Export JSON,ສົ່ງອອກ JSON
Exported,ສົ່ງອອກແລ້ວ
Exported to timesheet {0},ສົ່ງອອກໄປໃບບັນທຶກເວລາ {0} ແລ້ວ
External,ພາຍນອກ
Failed to add item,ການເພີ່ມລາຍການລົ້ມເຫຼວ
Failed to add note,ການເພີ່ມບັນທຶກລົ້ມເຫຼວ
Failed to add skill,ການເພີ່ມທັກສະລົ້ມເຫຼວ
Failed to apply cascade changes: {0},ການນຳໃຊ້ການປ່ຽນແປງການສືບທອດລົ້ມເຫຼວ: {0}
Failed to create defect,ການສ້າງຂໍ້ບົກພ່ອງລົ້ມເຫຼວ
Failed to create dependency,ການສ້າງການເພິ່ງພາລົ້ມເຫຼວ
Failed to create event,ການສ້າງເຫດການລົ້ມເຫຼວ
Failed to create milestone,ການສ້າງຈຸດໝາຍລົ້ມເຫຼວ
Failed to create project,ການສ້າງໂຄງການລົ້ມເຫຼວ
Failed to create task,ການສ້າງໜ້າວຽກລົ້ມເຫຼວ
Failed to create time log,ການສ້າງບັນທຶກເວລາລົ້ມເຫຼວ
Failed to delete,ການລຶບລົ້ມເຫຼວ
Failed to delete comment,ການລຶບຄຳເຫັນລົ້ມເຫຼວ
Failed to delete contact,ການລຶບຜູ້ຕິດຕໍ່ລົ້ມເຫຼວ
Failed to load,ການໂຫຼດລົ້ມເຫຼວ
Failed to load activity,ການໂຫຼດກິດຈະກຳລົ້ມເຫຼວ
Failed to load assignments,ການໂຫຼດການມອບໝາຍລົ້ມເຫຼວ
Failed to load contact,ການໂຫຼດຜູ້ຕິດຕໍ່ລົ້ມເຫຼວ
Failed to load dashboard data,ການໂຫຼດຂໍ້ມູນໜ້າຫຼັກລົ້ມເຫຼວ
Failed to load defects,ການໂຫຼດຂໍ້ບົກພ່ອງລົ້ມເຫຼວ
Failed to load events,ການໂຫຼດເຫດການລົ້ມເຫຼວ
Failed to load project,ການໂຫຼດໂຄງການລົ້ມເຫຼວ
Failed to load projects,ການໂຫຼດໂຄງການລົ້ມເຫຼວ
Failed to load report data,ການໂຫຼດຂໍ້ມູນລາຍງານລົ້ມເຫຼວ
Failed to load settings,ການໂຫຼດການຕັ້ງຄ່າລົ້ມເຫຼວ
Failed to load tasks,ການໂຫຼດໜ້າວຽກລົ້ມເຫຼວ
Failed to move task,ການຍ້າຍໜ້າວຽກລົ້ມເຫຼວ
Failed to post comment,ການໂພສຄຳເຫັນລົ້ມເຫຼວ
Failed to propose new time,ການສະເໜີເວລາໃໝ່ລົ້ມເຫຼວ
Failed to remove item,ການລຶບລາຍການລົ້ມເຫຼວ
Failed to remove skill,ການລຶບທັກສະລົ້ມເຫຼວ
Failed to reorder milestones: {0},ການຈັດລຽງຈຸດໝາຍໃໝ່ລົ້ມເຫຼວ: {0}
Failed to reorder tasks: {0},ການຈັດລຽງໜ້າວຽກໃໝ່ລົ້ມເຫຼວ: {0}
Failed to reschedule dependent tasks: {0},ການຈັດຕາຕະລາງໜ້າວຽກທີ່ເພິ່ງພາໃໝ່ລົ້ມເຫຼວ: {0}
Failed to save,ການບັນທຶກລົ້ມເຫຼວ
Failed to save preferences,ການບັນທຶກການຕັ້ງຄ່າລົ້ມເຫຼວ
Failed to save settings,ການບັນທຶກການຕັ້ງຄ່າລົ້ມເຫຼວ
Failed to submit request. Please try again.,ການສົ່ງຄຳຮ້ອງຂໍລົ້ມເຫຼວ. ກະລຸນາລອງໃໝ່.
Failed to update item,ການອັບເດດລາຍການລົ້ມເຫຼວ
Failed to update priority,ການອັບເດດລຳດັບຄວາມສຳຄັນລົ້ມເຫຼວ
Failed to update task,ການອັບເດດໜ້າວຽກລົ້ມເຫຼວ
Failed to update tasks: {0},ການອັບເດດໜ້າວຽກລົ້ມເຫຼວ: {0}
Failed to upload avatar,ການອັບໂຫຼດຮູບແທນຕົວລົ້ມເຫຼວ
Feature,ຄຸນສົມບັດ
Features,ຄຸນສົມບັດ
FF (Finish-Finish),FF (ສິ້ນສຸດ-ສິ້ນສຸດ)
FF - Finish-to-Finish,FF - ສິ້ນສຸດ-ຫາ-ສິ້ນສຸດ
Field has been updated,ອັບເດດຊ່ອງຂໍ້ມູນແລ້ວ
Field name is required for 'Set Field Value' action,ຕ້ອງລະບຸຊື່ຊ່ອງຂໍ້ມູນສຳລັບການກະທຳ 'ຕັ້ງຄ່າຊ່ອງຂໍ້ມູນ'
Field {0} is not a Link field,ຊ່ອງ {0} ບໍ່ແມ່ນຊ່ອງ Link
Field {0} not found in {1},ບໍ່ພົບຊ່ອງ {0} ໃນ {1}
file,ໄຟລ໌
File,ໄຟລ໌
File does not belong to this task,ໄຟລ໌ບໍ່ໄດ້ຢູ່ໃນໜ້າວຽກນີ້
File name is required,ຕ້ອງລະບຸຊື່ໄຟລ໌
File uploaded,ອັບໂຫຼດໄຟລ໌ແລ້ວ
File {0} not found,ບໍ່ພົບໄຟລ໌ {0}
files,ໄຟລ໌
Files,ໄຟລ໌
Filter,ຕົວກອງ
Final Decision,ການຕັດສິນໃຈສຸດທ້າຍ
Finance,ການເງິນ
Financial,ດ້ານການເງິນ
Finish-to-Finish,ສິ້ນສຸດ-ຫາ-ສິ້ນສຸດ
Finish-to-Start,ສິ້ນສຸດ-ຫາ-ເລີ່ມຕົ້ນ
Flag,ທຸງ
Flag for attention,ໝາຍທຸງເພື່ອເອົາໃຈໃສ່
Flagged,ໝາຍທຸງແລ້ວ
Focus Panel,ແຜງຈຸດສຸມ
Follows your system preference. Currently:,ຕາມການຕັ້ງຄ່າລະບົບຂອງທ່ານ. ປັດຈຸບັນ:
Frappe Project {0} not found,ບໍ່ພົບ Frappe Project {0}
Frappe Projects Migration,ການຍ້າຍຂໍ້ມູນ Frappe Projects
Frappe Projects module not available,ໂມດູນ Frappe Projects ບໍ່ພ້ອມໃຊ້ງານ
Frappe Projects module not installed,ໂມດູນ Frappe Projects ບໍ່ໄດ້ຕິດຕັ້ງ
Frappe Projects sync is not enabled,ການຊິ້ງ Frappe Projects ບໍ່ໄດ້ເປີດໃຊ້ງານ
Frappe Task DocType not found,ບໍ່ພົບ Frappe Task DocType
Frappe Task has no project,Frappe Task ບໍ່ມີໂຄງການ
Frappe Task {0} not found,ບໍ່ພົບ Frappe Task {0}
Fri,ສຸກ
From,ຈາກ
From Template,ຈາກແມ່ແບບ
FS (Finish-Start),FS (ສິ້ນສຸດ-ເລີ່ມຕົ້ນ)
FS - Finish-to-Start (default),FS - ສິ້ນສຸດ-ຫາ-ເລີ່ມຕົ້ນ (ຄ່າເລີ່ມຕົ້ນ)
Full form view with audit trail,ມຸມມອງແບບຟອມເຕັມກັບຮ່ອງຮອຍກວດສອບ
Full name,ຊື່ເຕັມ
Gantt,Gantt
Gantt Chart,ແຜນภູມິ Gantt
Gantt View,ມຸມມອງ Gantt
General Note,ບັນທຶກທົ່ວໄປ
Get started,ເລີ່ມຕົ້ນ
Go back,ກັບຄືນ
Go Back,Go Back
Group by,ຈັດກຸ່ມຕາມ
Group dependency removed,ລຶບການເພິ່ງພາກຸ່ມແລ້ວ
Group dependency set,ຕັ້ງການເພິ່ງພາກຸ່ມແລ້ວ
Group removed,ລຶບກຸ່ມແລ້ວ
Group updated,ອັບເດດກຸ່ມແລ້ວ
Hammock task dates are auto-calculated and cannot be changed manually,ວັນທີໜ້າວຽກ Hammock ຖືກຄິດໄລ່ອັດຕະໂນມັດ ແລະ ບໍ່ສາມາດປ່ຽນດ້ວຍມືໄດ້
Have a question or need assistance? Fill out the form below and our team will get back to you.,ມີຄຳຖາມ ຫຼື ຕ້ອງການຄວາມຊ່ວຍເຫຼືອ? ຕື່ມຂໍ້ມູນໃນແບບຟອມດ້ານລຸ່ມ ແລະ ທີມງານຂອງພວກເຮົາຈະຕິດຕໍ່ກັບທ່ານ.
Health,ສຸຂະພາບ
Healthy,ດີ
Hello {0},ສະບາຍດີ {0}
Here's what's happening with your projects today.,ນີ້ແມ່ນສິ່ງທີ່ເກີດຂຶ້ນກັບໂຄງການຂອງທ່ານມື້ນີ້.
Hide,ເຊື່ອງ
High,ສູງ
History,ປະຫວັດ
Home,ໜ້າຫຼັກ
Hourly Cost,ຄ່າໃຊ້ຈ່າຍຕໍ່ຊົ່ວໂມງ
Hours,ຊົ່ວໂມງ
hours,ຊົ່ວໂມງ
Hours Logged,ຊົ່ວໂມງທີ່ບັນທຶກ
ID,ID
Image must be smaller than 5 MB,ຮູບພາບຕ້ອງນ້ອຍກວ່າ 5 MB
Import,ນຳເຂົ້າ
Import existing projects and tasks from Frappe Projects module,ນຳເຂົ້າໂຄງການ ແລະ ໜ້າວຽກທີ່ມີຢູ່ຈາກໂມດູນ Frappe Projects
Import failed,ການນຳເຂົ້າລົ້ມເຫຼວ
Import Template,ນຳເຂົ້າແມ່ແບບ
Imported,ນຳເຂົ້າແລ້ວ
in,ໃນ
In Progress,ກຳລັງດຳເນີນ
In Review,ກຳລັງກວດສອບ
In-app notifications,ການແຈ້ງເຕືອນໃນແອັບ
Inactive,ບໍ່ເປີດໃຊ້ງານ
Initial Review,ການກວດສອບເບື້ອງຕົ້ນ
Installed Version,Installed Version
Insufficient permissions to view all tasks,ສິດບໍ່ພຽງພໍເພື່ອເບິ່ງໜ້າວຽກທັງໝົດ
Intermediate,ລະດັບກາງ
Internal,ພາຍໃນ
Invalid DocType,DocType ບໍ່ຖືກຕ້ອງ
Invalid DocType for import,DocType ບໍ່ຖືກຕ້ອງສຳລັບການນຳເຂົ້າ
Invalid item type: {0},ປະເພດລາຍການບໍ່ຖືກຕ້ອງ: {0}
Invalid JSON data,ຂໍ້ມູນ JSON ບໍ່ຖືກຕ້ອງ
Invalid note type. Must be one of: {0},ປະເພດບັນທຶກບໍ່ຖືກຕ້ອງ. ຕ້ອງເປັນໜຶ່ງໃນ: {0}
Invalid project reference,ການອ້າງອິງໂຄງການບໍ່ຖືກຕ້ອງ
Invalid reaction type. Must be one of: {0},ປະເພດປະຕິກິລິຍາບໍ່ຖືກຕ້ອງ. ຕ້ອງເປັນໜຶ່ງໃນ: {0}
Invalid RSVP status,ສະຖານະ RSVP ບໍ່ຖືກຕ້ອງ
Invalid status. Must be one of: {0},ສະຖານະບໍ່ຖືກຕ້ອງ. ຕ້ອງເປັນໜຶ່ງໃນ: {0}
Invalid status: {0},ສະຖານະບໍ່ຖືກຕ້ອງ: {0}
Invalid status: {0}. Must be one of: {1},ສະຖານະບໍ່ຖືກຕ້ອງ: {0}. ຕ້ອງເປັນໜຶ່ງໃນ: {1}
Invalid tracking context: {0},ບໍລິບົດການຕິດຕາມບໍ່ຖືກຕ້ອງ: {0}
Invalid visibility. Must be one of: {0},ການເບິ່ງເຫັນບໍ່ຖືກຕ້ອງ. ຕ້ອງເປັນໜຶ່ງໃນ: {0}
Invitation: {0} - {1} at {2},ຄຳເຊີນ: {0} - {1} ທີ່ {2}
Invite People,ເຊີນຄົນ
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,ເພີ່ມລາຍການແລ້ວ
Item ID is required,ຕ້ອງລະບຸ ID ລາຍການ
Item removed,ລຶບລາຍການແລ້ວ
Item type is required,ຕ້ອງລະບຸປະເພດລາຍການ
Item {0} not found,ບໍ່ພົບລາຍການ {0}
Job title or role,ຕຳແໜ່ງ ຫຼື ບົດບາດ
Join Meeting,ເຂົ້າຮ່ວມການປະຊຸມ
Just now,ຫາກໍ
just now,ຫາກໍ
Kanban,Kanban
Kanban Board,ກະດານ Kanban
Kanban View,ມຸມມອງ Kanban
Keyboard Shortcuts,ທາງລັດແປ້ນພິມ
Keyboard shortcuts (?),ທາງລັດແປ້ນພິມ (?)
Last checked: {0},Last checked: {0}
Last Updated,ອັບເດດລ່າສຸດ
Last updated:,ອັບເດດລ່າສຸດ:
Last Week,ອາທິດທີ່ຜ່ານມາ
Latest Version,Latest Version
Light,ສະຫວ່າງ
Link failed,ການເຊື່ອມຕໍ່ລົ້ມເຫຼວ
Link Task,ເຊື່ອມຕໍ່ໜ້າວຽກ
Linked,ເຊື່ອມຕໍ່ແລ້ວ
Linked employee not found,ບໍ່ພົບພະນັກງານທີ່ເຊື່ອມຕໍ່
Linked Tasks,ໜ້າວຽກທີ່ເຊື່ອມຕໍ່
List,ລາຍການ
List View,ມຸມມອງລາຍການ
Load failed,ການໂຫຼດລົ້ມເຫຼວ
Load More,ໂຫຼດເພີ່ມ
Load more comments,ໂຫຼດຄຳເຫັນເພີ່ມ
Loading activity...,ກຳລັງໂຫຼດກິດຈະກຳ...
Loading changes...,ກຳລັງໂຫຼດການປ່ຽນແປງ...
Loading checklist...,ກຳລັງໂຫຼດລາຍການກວດກາ...
Loading comments...,ກຳລັງໂຫຼດຄຳເຫັນ...
Loading contact...,ກຳລັງໂຫຼດຜູ້ຕິດຕໍ່...
Loading contacts...,ກຳລັງໂຫຼດຜູ້ຕິດຕໍ່...
Loading dependencies...,ກຳລັງໂຫຼດການເພິ່ງພາ...
Loading details...,ກຳລັງໂຫຼດລາຍລະອຽດ...
Loading discussion...,ກຳລັງໂຫຼດການສົນທະນາ...
Loading events...,ກຳລັງໂຫຼດເຫດການ...
Loading files...,ກຳລັງໂຫຼດໄຟລ໌...
Loading notes...,ກຳລັງໂຫຼດບັນທຶກ...
Loading preferences...,ກຳລັງໂຫຼດການຕັ້ງຄ່າ...
Loading project...,ກຳລັງໂຫຼດໂຄງການ...
Loading projects...,ກຳລັງໂຫຼດໂຄງການ...
Loading replies...,ກຳລັງໂຫຼດການຕອບ...
Loading report data...,ກຳລັງໂຫຼດຂໍ້ມູນລາຍງານ...
Loading settings...,ກຳລັງໂຫຼດການຕັ້ງຄ່າ...
Loading task...,ກຳລັງໂຫຼດໜ້າວຽກ...
Loading templates...,ກຳລັງໂຫຼດແມ່ແບບ...
Loading time logs...,ກຳລັງໂຫຼດບັນທຶກເວລາ...
Loading your portal...,ກຳລັງໂຫຼດພອລ໌ທອນຂອງທ່ານ...
Loading...,ກຳລັງໂຫຼດ...
Location,ສະຖານທີ່
Log Time,ບັນທຶກເວລາ
Logout,ອອກຈາກລະບົບ
Low,ຕ່ຳ
Make Offer,ສ້າງຂໍ້ສະເໜີ
Manager,ຜູ້ຈັດການ
Manual Entry,ປ້ອນດ້ວຍມື
Margin,ກຳໄລ
Mark all as read,ໝາຍທັງໝົດວ່າອ່ານແລ້ວ
Mark all read,ໝາຍອ່ານແລ້ວທັງໝົດ
Mark as read,ໝາຍວ່າອ່ານແລ້ວ
Mark as unread,ໝາຍວ່າຍັງບໍ່ໄດ້ອ່ານ
Mark read,ໝາຍອ່ານແລ້ວ
Marking...,ກຳລັງໝາຍ...
Material,ວັດສະດຸ
Maybe,ບາງທີ
Medium,ປານກາງ
Meeting,ການປະຊຸມ
Meeting Link,ລິ້ງການປະຊຸມ
Meeting title,ຫົວຂໍ້ການປະຊຸມ
Meeting URL,URL ການປະຊຸມ
Meetings,ການປະຊຸມ
Mention,ກ່າວເຖິງ
Message,ຂໍ້ຄວາມ
Message is required,ຕ້ອງລະບຸຂໍ້ຄວາມ
Message is required for '{0}' action,ຕ້ອງລະບຸຂໍ້ຄວາມສຳລັບການກະທຳ '{0}'
Migrate,ຍ້າຍຂໍ້ມູນ
Migration Complete,ການຍ້າຍຂໍ້ມູນສຳເລັດ
Migration ID:,ID ການຍ້າຍຂໍ້ມູນ:
Migration log not found: {0},ບໍ່ພົບບັນທຶກການຍ້າຍຂໍ້ມູນ: {0}
milestone,ຈຸດໝາຍ
Milestone,ຈຸດໝາຍ
Milestone created,ສ້າງຈຸດໝາຍແລ້ວ
Milestone description has been saved.,ບັນທຶກລາຍລະອຽດຈຸດໝາຍແລ້ວ.
Milestone ID is required,ຕ້ອງລະບຸ ID ຈຸດໝາຍ
Milestone marked as Missed (past due date),ໝາຍຈຸດໝາຍເປັນພາດ (ເກີນກຳນົດ)
Milestone moved,ຍ້າຍຈຸດໝາຍແລ້ວ
Milestone Name,ຊື່ຈຸດໝາຍ
Milestone name has been saved.,ບັນທຶກຊື່ຈຸດໝາຍແລ້ວ.
Milestone name is required,ຕ້ອງລະບຸຊື່ຈຸດໝາຍ
Milestone updated,ອັບເດດຈຸດໝາຍແລ້ວ
Milestone {0} not found,ບໍ່ພົບຈຸດໝາຍ {0}
Milestone {0} not in project {1},ຈຸດໝາຍ {0} ບໍ່ຢູ່ໃນໂຄງການ {1}
milestones,ຈຸດໝາຍ
Milestones,ຈຸດໝາຍ
Milestones:,ຈຸດໝາຍ:
Minutes,ນາທີ
Missed,ພາດ
Mixed,ປະສົມ
Mobile,ມືຖື
Moderate,ປານກາງ
Modified,ແກ້ໄຂແລ້ວ
"Modify details, time, or attendees","ແກ້ໄຂລາຍລະອຽດ, ເວລາ, ຫຼື ຜູ້ເຂົ້າຮ່ວມ"
Mon,ຈັນ
Month,ເດືອນ
Move failed,ການຍ້າຍລົ້ມເຫຼວ
Must be a positive number,ຕ້ອງເປັນຈຳນວນບວກ
Must finish before this finishes,ຕ້ອງສິ້ນສຸດກ່ອນທີ່ນີ້ຈະສິ້ນສຸດ
Must finish before this starts,ຕ້ອງສິ້ນສຸດກ່ອນທີ່ນີ້ຈະເລີ່ມ
Must start before this finishes,ຕ້ອງເລີ່ມກ່ອນທີ່ນີ້ຈະສິ້ນສຸດ
Must start before this starts,ຕ້ອງເລີ່ມກ່ອນທີ່ນີ້ຈະເລີ່ມ
My Assignments,ການມອບໝາຍຂອງຂ້ອຍ
My Projects,ໂຄງການຂອງຂ້ອຍ
My Schedule,ຕາຕະລາງຂອງຂ້ອຍ
My Tasks,ໜ້າວຽກຂອງຂ້ອຍ
N/A,ບໍ່ມີ
Name,ຊື່
Name (A-Z),ຊື່ (A-Z)
Name (Z-A),ຊື່ (Z-A)
Name cannot exceed 255 characters,ຊື່ບໍ່ສາມາດເກີນ 255 ຕົວອັກສອນ
Need help?,ຕ້ອງການຄວາມຊ່ວຍເຫຼືອ?
Needs Attention,ຕ້ອງການເອົາໃຈໃສ່
Never,Never
new activities,ກິດຈະກຳໃໝ່
New Activity,ກິດຈະກຳໃໝ່
New activity,ກິດຈະກຳໃໝ່
New Event,ເຫດການໃໝ່
New index is required,ຕ້ອງລະບຸດັດສະນີໃໝ່
New Project,ໂຄງການໃໝ່
New tasks will auto-trail by default.,ໜ້າວຽກໃໝ່ຈະຕິດຕາມອັດຕະໂນມັດຕາມຄ່າເລີ່ມຕົ້ນ.
Newest First,ໃໝ່ສຸດກ່ອນ
Next,ຖັດໄປ
Next 14 days,14 ມື້ຖັດໄປ
Next 30 days,30 ມື້ຖັດໄປ
Next 60 days,60 ມື້ຖັດໄປ
Next 7 days,7 ມື້ຖັດໄປ
