+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
Comment removed,ಕಾಮೆಂಟ್ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Comment {0} not found in task,ಕಾರ್ಯದಲ್ಲಿ ಕಾಮೆಂಟ್ {0} ಕಂಡುಬಂದಿಲ್ಲ
Comments,ಕಾಮೆಂಟ್‌ಗಳು
comments,ಕಾಮೆಂಟ್‌ಗಳು
Community Edition,Community Edition
Company,ಕಂಪನಿ
Company name...,ಕಂಪನಿ ಹೆಸರು...
Complete,ಪೂರ್ಣಗೊಳಿಸಿ
Completed,ಪೂರ್ಣಗೊಂಡಿದೆ
completed,ಪೂರ್ಣಗೊಂಡಿದೆ
Completed Tasks,ಪೂರ್ಣಗೊಂಡ ಕಾರ್ಯಗಳು
Compliance,ಅನುಸರಣೆ
Configure default values for new projects and tasks,ಹೊಸ ಯೋಜನೆಗಳು ಮತ್ತು ಕಾರ್ಯಗಳಿಗೆ ಡೀಫಾಲ್ಟ್ ಮೌಲ್ಯಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಿ
Configure email notification settings,ಇಮೇಲ್ ಅಧಿಸೂಚನೆ ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಿ
Confirm,ಖಚಿತಪಡಿಸಿ
Contact deleted,ಸಂಪರ್ಕ ಅಳಿಸಲಾಗಿದೆ
Contact Details,ಸಂಪರ್ಕ ವಿವರಗಳು
Contact Information,ಸಂಪರ್ಕ ಮಾಹಿತಿ
Contact name is required,ಸಂಪರ್ಕದ ಹೆಸರು ಅಗತ್ಯ
Contact Support,ಬೆಂಬಲ ಸಂಪರ್ಕಿಸಿ
Contact your project manager for more information.,ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ನಿಮ್ಮ ಯೋಜನೆ ನಿರ್ವಾಹಕರನ್ನು ಸಂಪರ್ಕಿಸಿ.
Contact:,ಸಂಪರ್ಕ:
Contacts,ಸಂಪರ್ಕಗಳು
Context,ಸಂದರ್ಭ
Contractor,ಗುತ್ತಿಗೆದಾರ
Cost estimate cannot be negative,ವೆಚ್ಚದ ಅಂದಾಜು ಋಣಾತ್ಮಕವಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ
Cost Impact,ವೆಚ್ಚದ ಪರಿಣಾಮ
Cost Summary,ವೆಚ್ಚದ ಸಾರಾಂಶ
Could not apply the template. Please try again.,ಟೆಂಪ್ಲೇಟ್ ಅನ್ವಯಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Could not attach file to project,ಯೋಜನೆಗೆ ಕಡತ ಲಗತ್ತಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not change task priority,ಕಾರ್ಯದ ಆದ್ಯತೆ ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not change task status,ಕಾರ್ಯದ ಸ್ಥಿತಿ ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not delete the project. Please try again.,ಯೋಜನೆ ಅಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Could not delete the task. Please try again.,ಕಾರ್ಯ ಅಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Could not delete the template.,ಟೆಂಪ್ಲೇಟ್ ಅಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not duplicate the task. Please try again.,ಕಾರ್ಯ ನಕಲಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Could not export the template.,ಟೆಂಪ್ಲೇಟ್ ರಫ್ತು ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not import the template. Please check the file format.,ಟೆಂಪ್ಲೇಟ್ ಆಮದು ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಕಡತ ಸ್ವರೂಪ ಪರಿಶೀಲಿಸಿ.
Could not link task to milestone,ಕಾರ್ಯವನ್ನು ಮೈಲಿಗಲ್ಲಿಗೆ ಲಿಂಕ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not load document details.,ದಸ್ತಾವೇಜು ವಿವರಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not load task details,ಕಾರ್ಯ ವಿವರಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not promote checklist item to task.,ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶವನ್ನು ಕಾರ್ಯವಾಗಿ ಬಡ್ತಿ ನೀಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not remove task from milestone,ಮೈಲಿಗಲ್ಲಿನಿಂದ ಕಾರ್ಯ ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not save budget.,ಬಜೆಟ್ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not save changes to the milestone,ಮೈಲಿಗಲ್ಲಿನ ಬದಲಾವಣೆಗಳನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not save changes to the task,ಕಾರ್ಯದ ಬದಲಾವಣೆಗಳನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not save description.,ವಿವರಣೆ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not save end date.,ಅಂತಿಮ ದಿನಾಂಕ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not save milestone name.,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not save start date.,ಪ್ರಾರಂಭ ದಿನಾಂಕ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not save the template. Please try again.,ಟೆಂಪ್ಲೇಟ್ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Could not save title.,ಶೀರ್ಷಿಕೆ ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not update dependency mode.,ಅವಲಂಬನೆ ಮೋಡ್ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not update milestone date,ಮೈಲಿಗಲ್ಲಿನ ದಿನಾಂಕ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not update project status.,ಯೋಜನೆ ಸ್ಥಿತಿ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not update project type.,ಯೋಜನೆ ಪ್ರಕಾರ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not update setting.,ಸೆಟ್ಟಿಂಗ್ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Could not update task dates,ಕಾರ್ಯದ ದಿನಾಂಕಗಳನ್ನು ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not update task status,ಕಾರ್ಯದ ಸ್ಥಿತಿ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Could not update the template.,ಟೆಂಪ್ಲೇಟ್ ನವೀಕರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.
Create a copy of this task,ಈ ಕಾರ್ಯದ ನಕಲನ್ನು ರಚಿಸಿ
Create Contact,ಸಂಪರ್ಕ ರಚಿಸಿ
Create Event,ಕಾರ್ಯಕ್ರಮ ರಚಿಸಿ
Create Milestone,ಮೈಲಿಗಲ್ಲು ರಚಿಸಿ
Create New Milestone,ಹೊಸ ಮೈಲಿಗಲ್ಲು ರಚಿಸಿ
Create New Task,ಹೊಸ ಕಾರ್ಯ ರಚಿಸಿ
Create Project,ಯೋಜನೆ ರಚಿಸಿ
Create Task,ಕಾರ್ಯ ರಚಿಸಿ
Create tasks and milestones from a template,ಟೆಂಪ್ಲೇಟ್‌ನಿಂದ ಕಾರ್ಯಗಳು ಮತ್ತು ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ರಚಿಸಿ
Create your first project to get started.,ಪ್ರಾರಂಭಿಸಲು ನಿಮ್ಮ ಮೊದಲ ಯೋಜನೆಯನ್ನು ರಚಿಸಿ.
Create your first task to start tracking work on this project.,ಈ ಯೋಜನೆಯಲ್ಲಿ ಕೆಲಸವನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ನಿಮ್ಮ ಮೊದಲ ಕಾರ್ಯವನ್ನು ರಚಿಸಿ.
Created,ರಚಿಸಲಾಗಿದೆ
Creating...,ರಚಿಸಲಾಗುತ್ತಿದೆ...
Critical,ತುರ್ತು
Critical Path,ತುರ್ತು ಮಾರ್ಗ
"Currency used for budgets, costs, and billing rates","ಬಜೆಟ್‌ಗಳು, ವೆಚ್ಚಗಳು ಮತ್ತು ಬಿಲ್ಲಿಂಗ್ ದರಗಳಿಗೆ ಬಳಸುವ ಕರೆನ್ಸಿ"
Current,ಪ್ರಸ್ತುತ
Current Assignments,ಪ್ರಸ್ತುತ ನಿಯೋಜನೆಗಳು
Current scheduled time:,ಪ್ರಸ್ತುತ ನಿಗದಿತ ಸಮಯ:
Currently running version,Currently running version
d lag,ದಿ ವಿಳಂಬ
Daily Availability,ದೈನಿಕ ಲಭ್ಯತೆ
Daily Hours,ದೈನಿಕ ಗಂಟೆಗಳು
Danger Zone,ಅಪಾಯ ವಲಯ
Dark,ಡಾರ್ಕ್
Dashboard,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್
Date,ದಿನಾಂಕ
Date changes on this task will show cascade impact here,ಈ ಕಾರ್ಯದ ದಿನಾಂಕ ಬದಲಾವಣೆಗಳು ಇಲ್ಲಿ ಕ್ಯಾಸ್ಕೇಡ್ ಪರಿಣಾಮವನ್ನು ತೋರಿಸುತ್ತವೆ
Date cleared,ದಿನಾಂಕ ತೆರವುಗೊಳಿಸಲಾಗಿದೆ
Date of Joining,ಸೇರ್ಪಡೆ ದಿನಾಂಕ
Date updated,ದಿನಾಂಕ ನವೀಕರಿಸಲಾಗಿದೆ
Dates,ದಿನಾಂಕಗಳು
Dates cascaded,ದಿನಾಂಕಗಳು ಕ್ಯಾಸ್ಕೇಡ್ ಮಾಡಲಾಗಿದೆ
Dates will be relative to the project's start date.,ದಿನಾಂಕಗಳು ಯೋಜನೆಯ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕೆ ಸಂಬಂಧಿಸಿರುತ್ತವೆ.
Day,ದಿನ
day,ದಿನ
days,ದಿನಗಳು
Days before due date to send reminder,ಜ್ಞಾಪನೆ ಕಳುಹಿಸಲು ಅಂತಿಮ ದಿನಾಂಕದ ಮೊದಲು ದಿನಗಳು
Days Overdue,ವಿಳಂಬ ದಿನಗಳು
Days Remaining,ಉಳಿದ ದಿನಗಳು
Deadline,ಅಂತಿಮ ಗಡುವು
Deadlines,ಅಂತಿಮ ಗಡುವುಗಳು
Decision,ನಿರ್ಧಾರ
Decline,ನಿರಾಕರಿಸಿ
Declined,ನಿರಾಕರಿಸಲಾಗಿದೆ
Default Currency,ಡೀಫಾಲ್ಟ್ ಕರೆನ್ಸಿ
Default hours per week for contact capacity planning,ಸಂಪರ್ಕ ಸಾಮರ್ಥ್ಯ ಯೋಜನೆಗಾಗಿ ಪ್ರತಿ ವಾರಕ್ಕೆ ಡೀಫಾಲ್ಟ್ ಗಂಟೆಗಳು
Default Priority,ಡೀಫಾಲ್ಟ್ ಆದ್ಯತೆ
Default Project Status,ಡೀಫಾಲ್ಟ್ ಯೋಜನೆ ಸ್ಥಿತಿ
Default Task Status,ಡೀಫಾಲ್ಟ್ ಕಾರ್ಯ ಸ್ಥಿತಿ
Default task view,ಡೀಫಾಲ್ಟ್ ಕಾರ್ಯ ನೋಟ
Default Values,ಡೀಫಾಲ್ಟ್ ಮೌಲ್ಯಗಳು
Default Weekly Capacity,ಡೀಫಾಲ್ಟ್ ಸಾಪ್ತಾಹಿಕ ಸಾಮರ್ಥ್ಯ
Defaults,ಡೀಫಾಲ್ಟ್‌ಗಳು
Defect Cost Impact,ದೋಷ ವೆಚ್ಚದ ಪರಿಣಾಮ
Defect name is required,ದೋಷದ ಹೆಸರು ಅಗತ್ಯ
Defect Type,ದೋಷ ಪ್ರಕಾರ
Defect {0} not found,ದೋಷ {0} ಕಂಡುಬಂದಿಲ್ಲ
Defects,ದೋಷಗಳು
Defects & Issues,ದೋಷಗಳು ಮತ್ತು ಸಮಸ್ಯೆಗಳು
Defects Resolved,ದೋಷಗಳು ಪರಿಹರಿಸಲಾಗಿದೆ
Delayed,ವಿಳಂಬವಾಗಿದೆ
Delete,ಅಳಿಸಿ
Delete Activity Data,ಚಟುವಟಿಕೆ ಡೇಟಾ ಅಳಿಸಿ
Delete all read notifications?,ಓದಿದ ಎಲ್ಲ ಅಧಿಸೂಚನೆಗಳನ್ನು ಅಳಿಸುವುದೇ?
Delete comment,ಕಾಮೆಂಟ್ ಅಳಿಸಿ
Delete Contact,ಸಂಪರ್ಕ ಅಳಿಸಿ
Delete Event,ಕಾರ್ಯಕ್ರಮ ಅಳಿಸಿ
Delete Event?,ಕಾರ್ಯಕ್ರಮ ಅಳಿಸುವುದೇ?
Delete failed,ಅಳಿಸುವಿಕೆ ವಿಫಲವಾಗಿದೆ
Delete file,ಕಡತ ಅಳಿಸಿ
Delete item,ಅಂಶ ಅಳಿಸಿ
Delete note,ಟಿಪ್ಪಣಿ ಅಳಿಸಿ
Delete Project,ಯೋಜನೆ ಅಳಿಸಿ
Delete Task,ಕಾರ್ಯ ಅಳಿಸಿ
Delete this project,ಈ ಯೋಜನೆ ಅಳಿಸಿ
Deleted,ಅಳಿಸಲಾಗಿದೆ
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","ಯೋಜನೆ ""{0}"" ಅಳಿಸಲಾಗಿದೆ ({1} ಕಾರ್ಯಗಳು, {2} ಮೈಲಿಗಲ್ಲುಗಳು)"
Deletes notes and preferences. Source document is not affected.,ಟಿಪ್ಪಣಿಗಳು ಮತ್ತು ಆದ್ಯತೆಗಳನ್ನು ಅಳಿಸುತ್ತದೆ. ಮೂಲ ದಸ್ತಾವೇಜು ಪ್ರಭಾವಿತವಾಗುವುದಿಲ್ಲ.
Deleting...,ಅಳಿಸಲಾಗುತ್ತಿದೆ...
Department,ವಿಭಾಗ
Dependencies,ಅವಲಂಬನೆಗಳು
dependencies,ಅವಲಂಬನೆಗಳು
Dependencies are informational only,ಅವಲಂಬನೆಗಳು ಮಾಹಿತಿ ಉದ್ದೇಶಕ್ಕೆ ಮಾತ್ರ
dependency,ಅವಲಂಬನೆ
Dependency already exists,ಅವಲಂಬನೆ ಈಗಾಗಲೇ ಇದೆ
Dependency Chain,ಅವಲಂಬನೆ ಸರಪಳಿ
Dependency created,ಅವಲಂಬನೆ ರಚಿಸಲಾಗಿದೆ
Dependency mode updated,ಅವಲಂಬನೆ ಮೋಡ್ ನವೀಕರಿಸಲಾಗಿದೆ
Dependency name is required,ಅವಲಂಬನೆ ಹೆಸರು ಅಗತ್ಯ
Dependency task {0} not found,ಅವಲಂಬನೆ ಕಾರ್ಯ {0} ಕಂಡುಬಂದಿಲ್ಲ
Dependency {0} not found,ಅವಲಂಬನೆ {0} ಕಂಡುಬಂದಿಲ್ಲ
depends,ಅವಲಂಬಿಸುತ್ತದೆ
Depends on Group,ಗುಂಪಿನ ಮೇಲೆ ಅವಲಂಬಿತ
Depends on task is required,ಅವಲಂಬಿತ ಕಾರ್ಯ ಅಗತ್ಯ
depends on...,ಅವಲಂಬಿಸುತ್ತದೆ...
Descending -- click to reverse,ಅವರೋಹಣ -- ತಿರುಗಿಸಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Describe the defect in detail...,ದೋಷವನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಿ...
Description,ವಿವರಣೆ
Description updated,ವಿವರಣೆ ನವೀಕರಿಸಲಾಗಿದೆ
Designation,ಹುದ್ದೆ
"Detailed description of the defect, location, and impact","ದೋಷ, ಸ್ಥಳ ಮತ್ತು ಪರಿಣಾಮದ ವಿವರವಾದ ವಿವರಣೆ"
Details,ವಿವರಗಳು
Discard timer,ಟೈಮರ್ ತ್ಯಜಿಸಿ
Discussion,ಚರ್ಚೆ
Dismiss,Dismiss
Display,ಪ್ರದರ್ಶನ
Document,ದಸ್ತಾವೇಜು
Document attached to project,ಯೋಜನೆಗೆ ದಸ್ತಾವೇಜು ಲಗತ್ತಿಸಲಾಗಿದೆ
Document final decision and rationale,ಅಂತಿಮ ನಿರ್ಧಾರ ಮತ್ತು ತಾರ್ಕಿಕತೆಯನ್ನು ದಾಖಲಿಸಿ
Documentation Review,ದಸ್ತಾವೇಜು ಪರಿಶೀಲನೆ
Documents,ದಸ್ತಾವೇಜುಗಳು
Done,ಮುಗಿದಿದೆ
Download,ಡೌನ್‌ಲೋಡ್
Drag to create dependency,ಅವಲಂಬನೆ ರಚಿಸಲು ಡ್ರ್ಯಾಗ್ ಮಾಡಿ
Dry Run,ಪ್ರಾಯೋಗಿಕ ಓಟ
Dry Run Complete,ಪ್ರಾಯೋಗಿಕ ಓಟ ಪೂರ್ಣ
Due Date,ಅಂತಿಮ ದಿನಾಂಕ
Due date,ಅಂತಿಮ ದಿನಾಂಕ
Due Date (Earliest),ಅಂತಿಮ ದಿನಾಂಕ (ಹತ್ತಿರದ)
Due date cannot be before start date,ಅಂತಿಮ ದಿನಾಂಕ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕಿಂತ ಮೊದಲು ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ
Due date is in the past,ಅಂತಿಮ ದಿನಾಂಕ ಹಿಂದಿನ ದಿನಾಂಕವಾಗಿದೆ
Due Date Reminders,ಅಂತಿಮ ದಿನಾಂಕ ಜ್ಞಾಪನೆಗಳು
Due Diligence,ಸಮಗ್ರ ಪರಿಶೀಲನೆ
Due Diligence Checklist,ಸಮಗ್ರ ಪರಿಶೀಲನೆ ಪಟ್ಟಿ
Due This Week,ಈ ವಾರ ಅಂತಿಮ
Due:,ಅಂತಿಮ:
Duplicate events are not allowed,ನಕಲು ಕಾರ್ಯಕ್ರಮಗಳಿಗೆ ಅನುಮತಿಯಿಲ್ಲ
Duplicate failed,ನಕಲು ವಿಫಲವಾಗಿದೆ
Duplicate Task,ಕಾರ್ಯ ನಕಲಿಸಿ
Duration,ಅವಧಿ
Duration Summary,ಅವಧಿ ಸಾರಾಂಶ
Duration:,ಅವಧಿ:
e.g. Cracked wall finish in bathroom...,ಉದಾ. ಸ್ನಾನಗೃಹದಲ್ಲಿ ಬಿರುಕು ಬಿಟ್ಟ ಗೋಡೆ ಮುಕ್ತಾಯ...
"e.g. Electrical, Plumbing...","ಉದಾ. ವಿದ್ಯುತ್, ಪ್ಲಂಬಿಂಗ್..."
Edit,ಸಂಪಾದಿಸಿ
Edit (E),ಸಂಪಾದಿಸಿ (E)
Edit dependency,ಅವಲಂಬನೆ ಸಂಪಾದಿಸಿ
Edit Event,ಕಾರ್ಯಕ್ರಮ ಸಂಪಾದಿಸಿ
Efficiency,ದಕ್ಷತೆ
Either dependency_name or depends_on is required,dependency_name ಅಥವಾ depends_on ಅಗತ್ಯ
Email,ಇಮೇಲ್
Email invitations to all attendees,ಎಲ್ಲಾ ಹಾಜರಾತಿದಾರರಿಗೆ ಇಮೇಲ್ ಆಹ್ವಾನಗಳು
Email is required to create portal user,ಪೋರ್ಟಲ್ ಬಳಕೆದಾರ ರಚಿಸಲು ಇಮೇಲ್ ಅಗತ್ಯ
Email notifications,ಇಮೇಲ್ ಅಧಿಸೂಚನೆಗಳು
Employee,ಉದ್ಯೋಗಿ
Employee DocType not available,ಉದ್ಯೋಗಿ DocType ಲಭ್ಯವಿಲ್ಲ
Employee not found,ಉದ್ಯೋಗಿ ಕಂಡುಬಂದಿಲ್ಲ
Enable or disable optional features,ಐಚ್ಛಿಕ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಸಕ್ರಿಯ ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
Enable Time Tracking,ಸಮಯ ಟ್ರ್ಯಾಕಿಂಗ್ ಸಕ್ರಿಯಗೊಳಿಸಿ
End,ಅಂತ್ಯ
End Date,ಅಂತಿಮ ದಿನಾಂಕ
End date,ಅಂತಿಮ ದಿನಾಂಕ
End Date cannot be before Start Date,ಅಂತಿಮ ದಿನಾಂಕ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕಿಂತ ಮೊದಲು ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ
End date cannot be before start date,ಅಂತಿಮ ದಿನಾಂಕ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕಿಂತ ಮೊದಲು ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ
End date updated,ಅಂತಿಮ ದಿನಾಂಕ ನವೀಕರಿಸಲಾಗಿದೆ
End time was before start time. Adjusted to 1 hour after start.,ಅಂತಿಮ ಸಮಯ ಪ್ರಾರಂಭ ಸಮಯಕ್ಕಿಂತ ಮೊದಲಿತ್ತು. ಪ್ರಾರಂಭದ ನಂತರ 1 ಗಂಟೆಗೆ ಹೊಂದಿಸಲಾಗಿದೆ.
End:,ಅಂತ್ಯ:
Enter milestone name...,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು ನಮೂದಿಸಿ...
Enter project name,ಯೋಜನೆ ಹೆಸರು ನಮೂದಿಸಿ
Enter task title...,ಕಾರ್ಯದ ಶೀರ್ಷಿಕೆ ನಮೂದಿಸಿ...
Enter template name,ಟೆಂಪ್ಲೇಟ್ ಹೆಸರು ನಮೂದಿಸಿ
Enter your note... Use @name to mention someone,ನಿಮ್ಮ ಟಿಪ್ಪಣಿ ನಮೂದಿಸಿ... ಯಾರನ್ನಾದರೂ ಉಲ್ಲೇಖಿಸಲು @ಹೆಸರು ಬಳಸಿ
Error,ದೋಷ
Error loading activity,ಚಟುವಟಿಕೆ ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading contacts,ಸಂಪರ್ಕಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading dashboard,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading project,ಯೋಜನೆ ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading projects,ಯೋಜನೆಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading tasks,ಕಾರ್ಯಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading templates,ಟೆಂಪ್ಲೇಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Est. Hours,ಅಂ. ಗಂಟೆಗಳು
Estimated,ಅಂದಾಜು
Estimated Cost,ಅಂದಾಜು ವೆಚ್ಚ
Estimated Cost (€),ಅಂದಾಜು ವೆಚ್ಚ (€)
Estimated Hours,ಅಂದಾಜು ಗಂಟೆಗಳು
Estimated:,ಅಂದಾಜು:
Evaluate potential risks and concerns,ಸಂಭಾವ್ಯ ಅಪಾಯಗಳು ಮತ್ತು ಕಳವಳಗಳನ್ನು ಮೌಲ್ಯಮಾಪನ ಮಾಡಿ
Event,ಕಾರ್ಯಕ್ರಮ
Event is required for event context,ಕಾರ್ಯಕ್ರಮ ಸಂದರ್ಭಕ್ಕೆ ಕಾರ್ಯಕ್ರಮ ಅಗತ್ಯ
Event is required when tracking context is 'event',ಟ್ರ್ಯಾಕಿಂಗ್ ಸಂದರ್ಭ 'event' ಆಗಿರುವಾಗ ಕಾರ್ಯಕ್ರಮ ಅಗತ್ಯ
Event Type,ಕಾರ್ಯಕ್ರಮ ಪ್ರಕಾರ
Events,ಕಾರ್ಯಕ್ರಮಗಳು
Events not available. Please run: bench --site orga.localhost migrate,ಕಾರ್ಯಕ್ರಮಗಳು ಲಭ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ಚಲಾಯಿಸಿ: bench --site orga.localhost migrate
Events:,ಕಾರ್ಯಕ್ರಮಗಳು:
Expert,ಪರಿಣಿತ
Explain why you are proposing a different time...,ಬೇರೆ ಸಮಯ ಏಕೆ ಪ್ರಸ್ತಾಪಿಸುತ್ತಿದ್ದೀರಿ ಎಂದು ವಿವರಿಸಿ...
Export,ರಫ್ತು
Export failed,ರಫ್ತು ವಿಫಲವಾಗಿದೆ
Export JSON,JSON ರಫ್ತು
Exported,ರಫ್ತು ಮಾಡಲಾಗಿದೆ
Exported to timesheet {0},ಸಮಯಪಟ್ಟಿ {0} ಗೆ ರಫ್ತು ಮಾಡಲಾಗಿದೆ
External,ಬಾಹ್ಯ
Failed to add item,ಅಂಶ ಸೇರಿಸಲು ವಿಫಲ
Failed to add note,ಟಿಪ್ಪಣಿ ಸೇರಿಸಲು ವಿಫಲ
Failed to add skill,ಕೌಶಲ ಸೇರಿಸಲು ವಿಫಲ
Failed to apply cascade changes: {0},ಕ್ಯಾಸ್ಕೇಡ್ ಬದಲಾವಣೆಗಳನ್ನು ಅನ್ವಯಿಸಲು ವಿಫಲ: {0}
Failed to create defect,ದೋಷ ರಚಿಸಲು ವಿಫಲ
Failed to create dependency,ಅವಲಂಬನೆ ರಚಿಸಲು ವಿಫಲ
Failed to create event,ಕಾರ್ಯಕ್ರಮ ರಚಿಸಲು ವಿಫಲ
Failed to create milestone,ಮೈಲಿಗಲ್ಲು ರಚಿಸಲು ವಿಫಲ
Failed to create project,ಯೋಜನೆ ರಚಿಸಲು ವಿಫಲ
Failed to create task,ಕಾರ್ಯ ರಚಿಸಲು ವಿಫಲ
Failed to create time log,ಸಮಯ ನಮೂದು ರಚಿಸಲು ವಿಫಲ
Failed to delete,ಅಳಿಸಲು ವಿಫಲ
Failed to delete comment,ಕಾಮೆಂಟ್ ಅಳಿಸಲು ವಿಫಲ
Failed to delete contact,ಸಂಪರ್ಕ ಅಳಿಸಲು ವಿಫಲ
Failed to load,ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load activity,ಚಟುವಟಿಕೆ ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load assignments,ನಿಯೋಜನೆಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load contact,ಸಂಪರ್ಕ ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
