+ Add Milestone,+ Додај пресвртница
Invitation: {0} - {1} at {2},Покана: {0} - {1} во {2}
Invite People,Покани луѓе
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Ставката е додадена
Item ID is required,ID на ставката е задолжително
Item removed,Ставката е отстранета
Item type is required,Видот на ставката е задолжителен
Item {0} not found,Ставката {0} не е пронајдена
Job title or role,Работно место или улога
Join Meeting,Приклучи се на состанок
Just now,Штотуку
just now,штотуку
Kanban,Kanban
Kanban Board,Kanban табла
Kanban View,Kanban приказ
Keyboard Shortcuts,Кратенки на тастатура
Keyboard shortcuts (?),Кратенки на тастатура (?)
Last checked: {0},Last checked: {0}
Last Updated,Последно ажурирано
Last updated:,Последно ажурирано:
Last Week,Минатата недела
Latest Version,Latest Version
Light,Светло
Link failed,Поврзувањето не успеа
Link Task,Поврзи задача
Linked,Поврзано
Linked employee not found,Поврзаниот вработен не е пронајден
Linked Tasks,Поврзани задачи
List,Листа
List View,Приказ во листа
Load failed,Вчитувањето не успеа
Load More,Вчитај повеќе
Load more comments,Вчитај повеќе коментари
Loading activity...,Вчитување на активноста...
Loading changes...,Вчитување на промените...
Loading checklist...,Вчитување на контролната листа...
Loading comments...,Вчитување на коментарите...
Loading contact...,Вчитување на контактот...
Loading contacts...,Вчитување на контактите...
Loading dependencies...,Вчитување на зависностите...
Loading details...,Вчитување на деталите...
Loading discussion...,Вчитување на дискусијата...
Loading events...,Вчитување на настаните...
Loading files...,Вчитување на датотеките...
Loading notes...,Вчитување на белешките...
Loading preferences...,Вчитување на поставките...
Loading project...,Вчитување на проектот...
Loading projects...,Вчитување на проектите...
Loading replies...,Вчитување на одговорите...
Loading report data...,Вчитување на податоците на извештајот...
Loading settings...,Вчитување на поставките...
Loading task...,Вчитување на задачата...
Loading templates...,Вчитување на шаблоните...
Loading time logs...,Вчитување на записите на време...
Loading your portal...,Вчитување на вашиот портал...
Loading...,Вчитување...
Location,Локација
Log Time,Запиши време
Logout,Одјава
Low,Низок
Make Offer,Направи понуда
Manager,Раководител
Manual Entry,Рачен внес
Margin,Маржа
Mark all as read,Означи сè како прочитано
Mark all read,Означи сè како прочитано
Mark as read,Означи како прочитано
Mark as unread,Означи како непрочитано
Mark read,Означи како прочитано
Marking...,Означување...
Material,Материјал
Maybe,Можеби
Medium,Среден
Meeting,Состанок
Meeting Link,Врска до состанокот
Meeting title,Наслов на состанокот
Meeting URL,URL на состанокот
Meetings,Состаноци
Mention,Спомнување
Message,Порака
Message is required,Пораката е задолжителна
Message is required for '{0}' action,"Пораката е задолжителна за дејството „{0}""
Migrate,Мигрирај
Migration Complete,Миграцијата е завршена
Migration ID:,ID на миграцијата:
Migration log not found: {0},Записот за миграција не е пронајден: {0}
Milestone,Пресвртница
Milestone ID is required,ID на пресвртницата е задолжително
Milestone Name,Име на пресвртницата
Milestone created,Пресвртницата е создадена
Milestone description has been saved.,Описот на пресвртницата е зачуван.
Milestone marked as Missed (past due date),Пресвртницата е означена како пропуштена (поминат рок)
Milestone moved,Пресвртницата е поместена
Milestone name has been saved.,Името на пресвртницата е зачувано.
Milestone name is required,Името на пресвртницата е задолжително
Milestone updated,Пресвртницата е ажурирана
Milestone {0} not found,Пресвртницата {0} не е пронајдена
Milestone {0} not in project {1},Пресвртницата {0} не е во проектот {1}
Milestones,Пресвртници
Milestones:,Пресвртници:
Minutes,Минути
Missed,Пропуштено
Mixed,Мешано
Mobile,Мобилно
Moderate,Умерено
Modify details, time, or attendees,Промени детали"
Migrate,Мигрирај
Migration Complete,Миграцијата е завршена
Migration ID:,ID на миграција:
Migration log not found: {0},Дневник на миграција не е пронајден: {0}
milestone,пресвртница
Milestone,Пресвртница
Milestone created,Пресвртницата е создадена
Milestone description has been saved.,Описот на пресвртницата е зачуван.
Milestone ID is required,ID на пресвртницата е задолжителен
Milestone marked as Missed (past due date),Пресвртницата е означена како пропуштена (поминат рок)
Milestone moved,Пресвртницата е преместена
Milestone Name,Име на пресвртница
Milestone name has been saved.,Името на пресвртницата е зачувано.
Milestone name is required,Името на пресвртницата е задолжително
Milestone updated,Пресвртницата е ажурирана
Milestone {0} not found,Пресвртница {0} не е пронајдена
Milestone {0} not in project {1},Пресвртница {0} не е во проект {1}
milestones,пресвртници
Milestones,Пресвртници
Milestones:,Пресвртници:
Minutes,Минути
Missed,Пропуштено
Mixed,Мешано
Mobile,Мобилен
Moderate,Умерено
Modified,Изменето
"Modify details, time, or attendees","Измени детали, време или присутни"
Mon,Пон
Month,Месец
Move failed,Поместувањето не успеа
Must be a positive number,Мора да биде позитивен број
Must finish before this finishes,Мора да заврши пред завршувањето на ова
Must finish before this starts,Мора да заврши пред почетокот на ова
Must start before this finishes,Мора да почне пред завршувањето на ова
Must start before this starts,Мора да почне пред почетокот на ова
My Assignments,Мои доделувања
My Projects,Мои проекти
My Schedule,Мој распоред
My Tasks,Мои задачи
N/A,Н/Д
Name,Име
Name (A-Z),Име (А-Ш)
Name (Z-A),Име (Ш-А)
Name cannot exceed 255 characters,Името не може да надмине 255 знаци
Need help?,Ви треба помош?
Needs Attention,Бара внимание
Never,Never
new activities,нови активности
New Activity,Нова активност
New activity,Нова активност
New Event,Нов настан
New index is required,Нов индекс е задолжителен
New Project,Нов проект
New tasks will auto-trail by default.,Новите задачи стандардно ќе се автоматски поместуваат.
Newest First,Најнови прво
Next,Следно
Next 14 days,Следни 14 дена
Next 30 days,Следни 30 дена
Next 60 days,Следни 60 дена
Next 7 days,Следни 7 дена
Next 90 days,Следни 90 дена
Next Week,Следната недела
Next:,Следно:
No,Не
No active assignments,Нема активни доделувања
No active projects,Нема активни проекти
No active timer found,Не е пронајден активен мерач на време
No activity selected,Не е избрана активност
No assignments found,Не се пронајдени доделувања
No attendees,Нема учесници
no change,без промена
No changes for this field.,Нема промени за ова поле.
No changes recorded for this activity.,Нема забележани промени за оваа активност.
No checklist items yet,Сè уште нема ставки во контролната листа
No checklist items yet.,Сè уште нема ставки во контролната листа.
No comments yet,Сè уште нема коментари
No comments yet.,Сè уште нема коментари.
No contacts available,Нема достапни контакти
No content for this tab,Нема содржина за ова јазиче
No data available,Нема достапни податоци
No data available for the selected filters,Нема податоци за избраните филтри
No data to export,Нема податоци за извоз
No dates set,Датумите не се поставени
No defects reported,Нема пријавени дефекти
No dependencies defined,Нема дефинирани зависности
No description,Без опис
No discussion yet.,Сè уште нема дискусија.
No documents attached,Нема приложени документи
No due date,Без рок
No employee linked to this resource,Нема вработен поврзан со овој ресурс
No ERPNext employee linked to resource,Нема ERPNext вработен поврзан со ресурсот
No events found,Не се пронајдени настани
No files attached yet.,Сè уште нема приложени датотеки.
No Frappe Project linked,Нема поврзан Frappe проект
No Grouping,Без групирање
No items,Нема ставки
No matching tasks,Нема соодветни задачи
No matching tasks found,Не се пронајдени соодветни задачи
No migration history,Нема историја на миграција
No Milestone,Без пресвртница
No milestones,Нема пресвртници
No milestones defined for this project.,За овој проект не се дефинирани пресвртници.
No notes yet.,Сè уште нема белешки.
No notes yet. Add a due diligence note to track progress.,Сè уште нема белешки. Додајте белешка за длабинска проверка за следење на напредокот.
No notifications,Нема известувања
No Orga Project linked to Frappe Project {0},Нема Orga проект поврзан со Frappe проектот {0}
No overdue tasks,Нема задачи што задоцнуваат
No pending cascade changes,Нема каскадни промени на чекање
No predecessors - this task can start independently,Нема претходници — оваа задача може да започне самостојно
No project,Без проект
No projects found,Не се пронајдени проекти
No Projects Yet,Сè уште нема проекти
No recent activity,Нема неодамнешна активност
No related documents,Нема поврзани документи
No resolved threads.,Нема решени дискусии.
No resources found,Не се пронајдени ресурси
No results found,Не се пронајдени резултати
No skills listed,Нема наведени вештини
No skills recorded yet,Сè уште нема забележани вештини
No successors - no tasks are waiting for this one,Нема наследници — ниедна задача не чека на оваа
No task selected,Не е избрана задача
No tasks assigned to you,Немате доделени задачи
No tasks available to add,Нема достапни задачи за додавање
No tasks found,Не се пронајдени задачи
No tasks linked to this milestone,Нема задачи поврзани со оваа пресвртница
No tasks with dates to display,Нема задачи со датуми за приказ
No tasks yet,Сè уште нема задачи
No team members,Нема членови на тимот
No template,Без шаблон
No templates yet,Сè уште нема шаблони
No time data found,Не се пронајдени временски податоци
No time logged today,Денес не е запишано време
No time logged yet,Сè уште не е запишано време
No time logs for this period,Нема записи на време за овој период
No time logs found,Не се пронајдени записи на време
No unread notifications,Нема непрочитани известувања
No update information available yet.,No update information available yet.
None,Ништо
Not found,Не е пронајдено
Not permitted,Не е дозволено
Not permitted to access this project,Немате дозвола за пристап до овој проект
Not permitted to access this task,Немате дозвола за пристап до оваа задача
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Немате дозвола да коментирате на овој документ
Not permitted to create clients,Немате дозвола да создавате клиенти
Not permitted to delete this client,Немате дозвола да го избришете овој клиент
Not permitted to delete this defect,Немате дозвола да го избришете овој дефект
Not permitted to delete this note,Немате дозвола да ја избришете оваа белешка
Not permitted to delete this project,Немате дозвола да го избришете овој проект
Not permitted to delete this task,Немате дозвола да ја избришете оваа задача
Not permitted to delete this time log,Немате дозвола да го избришете овој запис на време
Not permitted to invite clients,Немате дозвола да поканувате клиенти
Not permitted to modify client access,Немате дозвола да го менувате пристапот на клиентот
Not permitted to modify this project,Немате дозвола да го менувате овој проект
Not permitted to update settings,Немате дозвола да ги менувате поставките
Not permitted to update this client,Немате дозвола да го менувате овој клиент
Not permitted to view this client,Немате дозвола да го прегледате овој клиент
not sent,не е испратено
Not set,Не е поставено
Not specified,Не е наведено
Note,Белешка
Note (optional),Белешка (незадолжително)
Note Content,Содржина на белешката
Note content is required,Содржината на белешката е задолжителна
Note name is required,Името на белешката е задолжително
Note not found,Белешката не е пронајдена
Note Type,Вид на белешка
Notes,Белешки
Notification,Известување
Notification not found,Известувањето не е пронајдено
Notifications,Известувања
Off Track,Надвор од план
Offer,Понуда
Offer Prepared,Понудата е подготвена
Oldest First,Најстари прво
On Hold,На чекање
On Leave,На одмор
On Track,Според планот
On-Time Rate,Стапка на навременост
Only administrators can delete activities,Само администраторите можат да бришат активности
Only the comment author or administrators can delete comments,Само авторот на коментарот или администраторите можат да бришат коментари
Only you and admins,Само вие и администраторите
Open,Отворено
Open in Desk,Отвори во Desk
Open Task Log,Отвори дневник на задачата
Open Tasks,Отворени задачи
Optional,Незадолжително
optional,незадолжително
Or email us directly at,Или пишете ни директно на
Orga Project {0} from Frappe Projects,Orga проект {0} од Frappe Projects
Orga Task {0} from Frappe,Orga задача {0} од Frappe
Organizer,Организатор
Other,Друго
Over Budget,Надминат буџет
Overall Progress,Вкупен напредок
Overall Utilization,Вкупна искористеност
Overallocated,Преоптоварено
Overdue,Задоцнува
overdue,задоцнува
Overdue Tasks,Задоцнети задачи
Overview,Преглед
Owner,Сопственик
Page Not Found,Страницата не е пронајдена
Parent,Надредена
Parent comment must belong to the same document,Надредениот коментар мора да припаѓа на истиот документ
Parent comment not found,Надредениот коментар не е пронајден
Parent project not synced to Frappe yet,Надредениот проект сè уште не е синхронизиран со Frappe
Parent project sync not enabled,Синхронизацијата на надредениот проект не е овозможена
Partner,Партнер
Pending,На чекање
per page,по страница
Perform initial assessment and background check,Спроведете почетна проценка и проверка на позадината
Permanently remove this event,Трајно отстрани го овој настан
Permanently remove this task,Трајно отстрани ја оваа задача
Phone,Телефон
Pin,Закачи
Pin Activity,Закачи активност
Pin to top,Закачи на врвот
Pinned,Закачено
Planned budget for this task,Планиран буџет за оваа задача
Planning,Планирање
Please describe your question or issue in detail...,Ве молиме опишете го вашето прашање или проблем детално...
Please login to access Orga,Ве молиме пријавете се за пристап до Orga
Please login to access the client portal,Ве молиме пријавете се за пристап до клиентскиот портал
Please respond to this invitation in Orga,Ве молиме одговорете на оваа покана во Orga
Please select an image file,Ве молиме изберете датотека со слика
Please try again,Ве молиме обидете се повторно
Please type,Ве молиме внесете
Portal,Портал
Portal access revoked for {0},Пристапот до порталот е одземен за {0}
Portal user created successfully. Welcome email {0},Корисникот на порталот е успешно создаден. Е-пошта за добредојде {0}
Post,Објави
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Претходници (блокирано од)
Preferences,Поставки
Preferences saved successfully,Поставките се успешно зачувани
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Претставка за автоматски генерирани кодови на проекти (пр. ORG-2026-0001)
Prepare and document offer terms,Подгответе и документирајте ги условите на понудата
Press,Притиснете
Preview,Преглед
Preview cascade before applying,Преглед на каскадата пред примена
Previous,Претходно
Priority,Приоритет
Priority assigned to new tasks,Приоритет доделен на нови задачи
Priority updated,Приоритетот е ажуриран
Proficiency,Ниво на вештина
Profile,Профил
Progress,Напредок
Progress (High-Low),Напредок (опаѓачки)
Progress (Low-High),Напредок (растечки)
Progress Overview,Преглед на напредокот
Progress updated,Напредокот е ажуриран
Project,Проект
Project budget has been saved.,Буџетот на проектот е зачуван.
Project code (e.g. ORG-2026-0001),Код на проект (пр. ORG-2026-0001)
Project Code Prefix,Претставка на кодот на проектот
Project created,Проектот е создаден
Project deleted,Проектот е избришан
Project description has been saved.,Описот на проектот е зачуван.
Project Details,Детали за проектот
Project end date has been saved.,Датумот на завршување на проектот е зачуван.
Project Files,Датотеки на проектот
Project has no linked client,Проектот нема поврзан клиент
Project Health,Здравје на проектот
Project Info,Информации за проектот
Project is required,Проектот е задолжителен
Project is required for project context,Проектот е задолжителен за контекст на проект
Project is required when tracking context is 'project',"Проектот е задолжителен кога контекстот на следење е „проект""
Project name and template name are required,Името на проектот и името на шаблонот се задолжителни
Project name is required,Името на проектот е задолжително
Project not found,Проектот не е пронајден
Project not found or you do not have access,Проектот не е пронајден или немате пристап
Project settings,Поставки на проектот
Project start date has been saved.,Датумот на почеток на проектот е зачуван.
Project title has been saved.,Насловот на проектот е зачуван.
Project updated,Проектот е ажуриран
Project {0} linked to client {1},Проектот {0} е поврзан со клиентот {1}
Project {0} not found,Проектот {0} не е пронајден
Project {0} to Frappe Projects,Проектот {0} во Frappe Projects
Project:,Проект:
Projects,Проекти
Projects Overview,Преглед на проектите
Projects created:,Создадени проекти:
Projects skipped:,Прескокнати проекти:
Projects updated:,Ажурирани проекти:
Promote failed,Претворањето не успеа
Promote to task,Претвори во задача
Promoted to task,Претворено во задача
Propose,Предложи
Propose New Time,Предложи ново време
Propose Time,Предложи време
Proposed End,Предложен крај
Proposed Start,Предложен почеток
Public,Јавно
Quick Action,Брзо дејство
Quick Actions,Брзи дејства
Quick Stats,Брза статистика
RSVP,RSVP
Rates,Стапки
Receive notifications via email,Примајте известувања по е-пошта
Receive notifications within the application,Примајте известувања во апликацијата
Recipient {0} is not a valid user,Примателот {0} не е валиден корисник
Recent Activity,Неодамнешна активност
Reference,Референца
Refresh,Освежи
Related,Поврзано
Related Company (optional),Поврзана компанија (незадолжително)
Related Documents,Поврзани документи
Related Project,Поврзан проект
Remaining,Преостанато
Reminder,Потсетник
Reminder Lead Time"""
Project Manager,Проектен менаџер
Project Name,Име на проектот
Project name and template name are required,Името на проектот и името на шаблонот се задолжителни
Project name is required,Името на проектот е задолжително
Project not found,Проектот не е пронајден
Project not found or you do not have access,Проектот не е пронајден или немате пристап
Project settings,Поставки на проект
Project start date has been saved.,Почетниот датум на проектот е зачуван.
Project title has been saved.,Насловот на проектот е зачуван.
Project Type,Вид на проект
Project updated,Проектот е ажуриран
Project {0} linked to client {1},Проект {0} е поврзан со клиент {1}
Project {0} not found,Проект {0} не е пронајден
Project {0} to Frappe Projects,Проект {0} во Frappe Projects
Project:,Проект:
projects,проекти
Projects,Проекти
Projects created:,Создадени проекти:
Projects Overview,Преглед на проекти
Projects skipped:,Прескокнати проекти:
Projects updated:,Ажурирани проекти:
Promote failed,Промоцијата е неуспешна
Promote to task,Промовирај во задача
Promoted to task,Промовирано во задача
Propose,Предложи
Propose New Time,Предложи ново време
Propose Time,Предложи време
Proposed End,Предложен крај
Proposed Start,Предложен почеток
Public,Јавен
Quick Action,Брза акција
Quick Actions,Брзи акции
Quick Stats,Брза статистика
Rates,Тарифи
Receive notifications via email,Примајте известувања преку е-пошта
Receive notifications within the application,Примајте известувања во апликацијата
Recent Activity,Неодамнешна активност
Recipient {0} is not a valid user,Примателот {0} не е валиден корисник
Reference,Референца
Refresh,Освежи
Related,Поврзано
Related Company (optional),Поврзана компанија (опционално)
Related Documents,Поврзани документи
Related Project,Поврзан проект
Remaining,Преостанато
Reminder,Потсетник
Reminder Lead Time,Време пред потсетник
Reminder: {0} - {1} at {2},Потсетник: {0} - {1} во {2}
Remove,Отстрани
Remove dependency,Отстрани зависност
Remove dependency on,Отстрани зависност од
Remove from group,Отстрани од група
Remove group dependency,Отстрани групна зависност
Remove skill,Отстрани вештина
Reopen,Повторно отвори
Reopen thread,Повторно отвори дискусија
reopened,повторно отворено
replies,одговори
Reply,Одговори
reply,одговор
Replying to,Одговор на
Replying to comment,Одговор на коментар
Report Defect,Пријави дефект
Reported Date,Датум на пријавување
Reports,Извештаи
Reports To,Одговара на
Request Submitted!,Барањето е испратено!
Required,Задолжително
required,задолжително
Research,Истражување
Reset to Defaults,Врати на стандардни вредности
Resolve,Реши
Resolve thread,Реши дискусија
Resolved,Решено
Resolved date cannot be before reported date,Датумот на решавање не може да биде пред датумот на пријавување
Resource,Ресурс
Resource and skill name are required,Ресурсот и името на вештината се задолжителни
Resource is already an attendee,Ресурсот е веќе учесник
Resource name is required,Името на ресурсот е задолжително
Resource not found,Ресурсот не е пронајден
Resource synced from employee {0},Ресурсот е синхронизиран од вработениот {0}
Resource {0} is already assigned to this task ({1}),Ресурсот {0} е веќе доделен на оваа задача ({1})
Resource {0} not found,Ресурсот {0} не е пронајден
Resources,Контакти
Retry,Обидете се повторно
Review,Преглед
Review all relevant documents and contracts,Прегледајте ги сите релевантни документи и договори
Reviews,Прегледи
Risk Assessment,Проценка на ризик
Rollback,Врати назад
Rolled back,Вратено назад
Room or address,Просторија или адреса
RSVP,RSVP
Safety,Безбедност
Sat,Саб
Save,Зачувај
"Save a project as a template, or import one from a JSON file.",Зачувајте проект како шаблон или увезете од JSON датотека.
Save as Template,Зачувај како шаблон
Save Changes,Зачувај промени
Save failed,Зачувувањето не успеа
Save Preferences,Зачувај поставки
Save Template,Зачувај шаблон
Saving...,Зачувување...
Schedule,Распоред
Schedule type is required for scheduled triggers,Видот на распоред е задолжителен за закажани активирања
Scheduled,Закажано
Search,Пребарај
"Search by name, email, or skill...","Пребарувајте по име, е-пошта или вештина..."
Search for a project...,Пребарајте проект...
Search for a task...,Пребарајте задача...
Search for an event...,Пребарајте настан...
Search for people to invite...,Пребарајте луѓе за поканување...
Search tasks to link...,Пребарајте задачи за поврзување...
Search tasks...,Пребарајте задачи...
Search...,Пребарај...
Searching...,Пребарување...
Seen,Видено
Select a project if your request is related to a specific project.,Изберете проект ако вашето барање е поврзано со одреден проект.
Select a project...,Изберете проект...
Select a task from the Gantt chart to view and manage its details.,Изберете задача од Gantt дијаграмот за преглед и управување со деталите.
Select a task from the list or Kanban board to view and manage its details.,Изберете задача од листата или Kanban таблата за преглед и управување со деталите.
Select a template...,Изберете шаблон...
Select priority...,Изберете приоритет...
Select status...,Изберете статус...
Select task...,Изберете задача...
Select type...,Изберете вид...
Selection,Избор
Send,Испрати
Send comment,Испрати коментар
Send email invitations to attendees,Испратете покани по е-пошта до учесниците
Send Invitations,Испрати покани
Send notification when a task is assigned to a user,Испрати известување кога задача е доделена на корисник
Send notification when task status changes,Испрати известување при промена на статусот на задачата
Send reminder before task due date,Испрати потсетник пред рокот на задачата
sent,испратено
Set rate,Постави стапка
Settings,Поставки
Settings saved successfully,Поставките се успешно зачувани
Severity,Сериозност
SF (Start-Finish),SF (Почеток-Крај)
SF - Start-to-Finish,SF - Почеток-Крај
Show,Прикажи
Show all,Прикажи сè
Show all changes,Прикажи ги сите промени
Show Archived,Прикажи архивирани
Show full diff,Прикажи целосна разлика
Show less,Прикажи помалку
Show more,Прикажи повеќе
Skill added,Вештината е додадена
Skill is required,Вештината е задолжителна
Skill Name,Име на вештина
Skill removed,Вештината е отстранета
Skill {0} already exists for this resource,Вештината {0} веќе постои за овој ресурс
Skills,Вештини
Skills & Competencies,Вештини и компетенции
Skip already migrated projects,Прескокни веќе мигрирани проекти
Sort by,Сортирај по
Sort: Due Date,Сортирај: Рок
Sort: Priority,Сортирај: Приоритет
Sort: Project,Сортирај: Проект
Sort: Status,Сортирај: Статус
Sort: Task,Сортирај: Задача
Source Code,Изворен код
Spent,Потрошено
Spent:,Потрошено:
SS (Start-Start),SS (Почеток-Почеток)
SS - Start-to-Start,SS - Почеток-Почеток
Standalone,Самостојно
Start,Почеток
Start a discussion below,Започнете дискусија подолу
Start Date,Датум на почеток
Start date,Датум на почеток
Start Date (Earliest),Датум на почеток (најран)
Start date updated,Датумот на почеток е ажуриран
Start date/time is required,Датумот/времето на почеток е задолжително
Start Migration,Започни миграција
Start the conversation below.,Започнете го разговорот подолу.
Start Timer,Започни мерач на време
Start typing to search...,Почнете да пишувате за пребарување...
Start-to-Finish,Почеток-Крај
Start-to-Start,Почеток-Почеток
Start:,Почеток:
Statistics reset,Статистиката е ресетирана
Status,Статус
Status assigned to new projects,Статус доделен на нови проекти
Status assigned to new tasks,Статус доделен на нови задачи
Status Changes,Промени на статус
Status updated,Статусот е ажуриран
Status:,Статус:
Stop,Запри
Stop & Save,Запри и зачувај
Stop Timer,Запри мерач на време
Stops current timer and starts for this event,Го запира тековниот мерач и го стартува за овој настан
Stops current timer and starts for this task,Го запира тековниот мерач и го стартува за оваа задача
Subject,Предмет
Subject cannot exceed 255 characters,Предметот не може да надмине 255 знаци
Subject is required,Предметот е задолжителен
Submit,Испрати
Submit Another Request,Испрати друго барање
Submit Request,Испрати барање
Submitting...,Испраќање...
Successfully saved,Успешно зачувано
Successors (Blocking),Наследници (блокираат)
Sun,Нед
Supplier,Добавувач
Support,Поддршка
Switch to this event,Префрли на овој настан
Switch to this task,Префрли на оваа задача
Sync direction is set to Frappe to Orga only,Насоката на синхронизација е поставена само од Frappe кон Orga
Sync direction is set to Orga to Frappe only,Насоката на синхронизација е поставена само од Orga кон Frappe
Sync not enabled for this project,Синхронизацијата не е овозможена за овој проект
System,Систем
Table,Табела
Take ownership of this task,Преземи ја оваа задача
Target Date,Целен датум
Target End,Целен крај
Target Project,Целен проект
Target user is required for '{0}' action,"Целниот корисник е задолжителен за дејството „{0}""
Task,Задача
Task '{0}' is due on {1}."""
task,задача
Task,Задача
Task '{0}' is due on {1}.,Задача '{0}' доспева на {1}.
Task and resource are required,Задачата и ресурсот се задолжителни
Task Assignment,Доделување на задача
Task cannot be its own parent,Задачата не може да биде свој сопствен родител
Task cannot depend on itself,Задачата не може да зависи од самата себе
Task cannot depend on the group it belongs to,Задачата не може да зависи од групата на која припаѓа
Task created,Задачата е создадена
Task deleted,Задачата е избришана
Task description has been saved.,Описот на задачата е зачуван.
Task Details,Детали за задачата
Task due in {0} days: {1},Рок на задачата за {0} дена: {1}
Task due today: {0},Рок на задачата денес: {0}
Task due tomorrow: {0},Рок на задачата утре: {0}
Task duplicated,Задачата е копирана
Task Group,Група на задачи
Task ID is required,ID на задачата е задолжително
Task is blocked by incomplete dependencies,Задачата е блокирана од незавршени зависности
Task is cancelled,Задачата е откажана
Task is completed,Задачата е завршена
Task is no longer blocked by a group,Задачата повеќе не е блокирана од група
Task is required for task context,Задачата е задолжителна за контекст на задача
Task is required when tracking context is 'task',"Задачата е задолжителна кога контекстот на следење е „задача""
Task linked,Задачата е поврзана
Task moved,Задачата е поместена
Task name,Име на задачата
Task name is required,Името на задачата е задолжително
Task removed from group,Задачата е отстранета од групата
Task subject is required,Предметот на задачата е задолжителен
Task unblocked: {0},Задачата е одблокирана: {0}
Task unlinked,Врската со задачата е отстранета
Task updated,Задачата е ажурирана
Task {0} not found,Задачата {0} не е пронајдена
Task {0} not in project {1},Задачата {0} не е во проектот {1}
Task {0} to Frappe,Задачата {0} во Frappe
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Задачата е поврзана
Task moved,Задачата е преместена
Task name,Име на задача
Task name is required,Името на задачата е задолжително
Task removed from group,Задачата е отстранета од групата
Task Subject,Предмет на задачата
Task subject is required,Темата на задачата е задолжителна
Task Type,Вид на задача
Task unblocked: {0},Задачата е одблокирана: {0}
Task unlinked,Задачата е одврзана
Task updated,Задачата е ажурирана
Task {0} not found,Задача {0} не е пронајдена
Task {0} not in project {1},Задача {0} не е во проект {1}
Task {0} to Frappe,Задача {0} во Frappe
Tasks,Задачи
tasks,задачи
Tasks and milestones will be created with dates relative to the project start date.,Задачите и пресвртниците ќе бидат создадени со датуми релативни на почетниот датум на проектот.
Tasks assigned to you across all projects.,Задачи доделени вам во сите проекти.
Tasks created:,Создадени задачи:
Tasks from projects you manage.,Задачи од проектите со кои управувате.
Tasks updated:,Ажурирани задачи:
"Tasks, milestones, and dependencies have been created.","Задачите, пресвртниците и зависностите се создадени."
Tasks:,Задачи:
TBD,Ќе се одреди
Team,Тим
Team Members,Членови на тимот
Template,Шаблон
Template applied,Шаблонот е применет
Template data is required in import data,Податоците на шаблонот се задолжителни во увозните податоци
Template has no data,Шаблонот нема податоци
Template Name,Име на шаблонот
Template name,Име на шаблонот
Template name is required,Името на шаблонот е задолжително
Template name is required in import data,Името на шаблонот е задолжително во увозните податоци
Template saved,Шаблонот е зачуван
Template updated successfully.,Шаблонот е успешно ажуриран.
Template {0} not found,Шаблонот {0} не е пронајден
Templates,Шаблони
Tentative,Привремено
The comment has been deleted,Коментарот е избришан
The project,Проектот
The source document may have been deleted.,Изворниот документ можеби е избришан.
The source document will not be affected.,Изворниот документ нема да биде засегнат.
The status of '{0}' was changed from {1} to {2}.,"Статусот на „{0} е променет од {1} на {2}."""
Theme,Тема
Theme preference,Поставка за тема
This action,Ова дејство
This action cannot be undone.,Ова дејство не може да се врати.
This activity has been flagged for attention,Оваа активност е означена за внимание
This is a reminder for your upcoming appointment,Ова е потсетник за вашиот претстоен состанок
This method is only meant for developer mode,Овој метод е наменет само за развојниот режим
This page wandered off,This page wandered off
This Week,Оваа недела
This will delete all notes and preferences associated with this activity.,Ова ќе ги избрише сите белешки и поставки поврзани со оваа активност.
This will import all Frappe Projects into Orga. Continue?,Ова ќе ги увезе сите Frappe проекти во Orga. Да се продолжи?
This will permanently delete,Ова трајно ќе избрише
This will permanently delete:,Ова трајно ќе избрише:
Thu,Чет
Time,Време
Time & Billing,Време и наплата
Time & Revenue,Време и приход
Time Entries,Записи на време
Time log name is required,Името на записот на време е задолжително
Time Log not found,Записот на време не е пронајден
Time log {0} not found,Записот на време {0} не е пронајден
Time Logs,Записи на време
Time Summary,Преглед на времето
Time Tracking,Следење на времето
Timeline,Временска линија
Timer active on,Мерачот на време е активен на
Timer is not running,Мерачот на време не работи
Timer Running,Мерачот на време работи
Timer running,Мерачот на време работи
Timesheet DocType not available,DocType на временскиот лист не е достапен
Timesheets,Временски листови
Timezone,Временска зона
Timezone is detected from your browser,Временската зона е откриена од вашиот прелистувач
Title,Наслов
Title cannot exceed 255 characters,Насловот не може да надмине 255 знаци
Title is required,Насловот е задолжителен
Title updated,Насловот е ажуриран
To,До
to,до
to cancel,за откажување
to close,за затворање
to confirm:,за потврда:
to edit,за уредување
"to save,","за зачувување,"
To Time cannot be before From Time,Времето на завршување не може да биде пред времето на почеток
Today,Денес
today,денес
Toggle billable,Вклучи/исклучи наплатливост
Toggle Details Panel,Вклучи/исклучи панел за детали
Toggle Manager Panel,Вклучи/исклучи панел за раководител
