+ Add Milestone,+ Lisa verstapost
Initial Review,Esialgne ülevaatus
Installed Version,Installed Version
Insufficient permissions to view all tasks,Ebapiisavad õigused kõigi ülesannete vaatamiseks
Intermediate,Keskmine
Internal,Sisemine
Invalid DocType,Vigane DocType
Invalid DocType for import,Vigane DocType importimiseks
Invalid item type: {0},Vigane elemendi tüüp: {0}
Invalid JSON data,Vigased JSON andmed
Invalid note type. Must be one of: {0},Vigane märkuse tüüp. Peab olema üks järgmistest: {0}
Invalid project reference,Vigane projekti viide
Invalid reaction type. Must be one of: {0},Vigane reaktsiooni tüüp. Peab olema üks järgmistest: {0}
Invalid RSVP status,Vigane RSVP olek
Invalid status. Must be one of: {0},Vigane olek. Peab olema üks järgmistest: {0}
Invalid status: {0},Vigane olek: {0}
Invalid status: {0}. Must be one of: {1},Vigane olek: {0}. Peab olema üks järgmistest: {1}
Invalid tracking context: {0},Vigane jälgimise kontekst: {0}
Invalid visibility. Must be one of: {0},Vigane nähtavus. Peab olema üks järgmistest: {0}
Invitation: {0} - {1} at {2},Kutse: {0} - {1} kell {2}
Invite People,Kutsu inimesi
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,Element lisatud
Item ID is required,Elemendi ID on nõutav
Item removed,Element eemaldatud
Item type is required,Elemendi tüüp on nõutav
Item {0} not found,Elementi {0} ei leitud
Job title or role,Ametinimetus või roll
Join Meeting,Liitu koosolekuga
Just now,Just praegu
just now,just praegu
Kanban,Kanban
Kanban Board,Kanban tahvel
Kanban View,Kanban vaade
Keyboard Shortcuts,Kiirklahvid
Keyboard shortcuts (?),Kiirklahvid (?)
Last checked: {0},Last checked: {0}
Last Updated,Viimati uuendatud
Last updated:,Viimati uuendatud:
Last Week,Eelmine nädal
Latest Version,Latest Version
Light,Hele
Link failed,Sidumine ebaõnnestus
Link Task,Seo ülesanne
Linked,Seotud
Linked employee not found,Seotud töötajat ei leitud
Linked Tasks,Seotud ülesanded
List,Loend
List View,Loendivaade
Load failed,Laadimine ebaõnnestus
Load More,Laadi rohkem
Load more comments,Laadi rohkem kommentaare
Loading activity...,Tegevuse laadimine...
Loading changes...,Muudatuste laadimine...
Loading checklist...,Kontrollnimekirja laadimine...
Loading comments...,Kommentaaride laadimine...
Loading contact...,Kontakti laadimine...
Loading contacts...,Kontaktide laadimine...
Loading dependencies...,Sõltuvuste laadimine...
Loading details...,Üksikasjade laadimine...
Loading discussion...,Arutelu laadimine...
Loading events...,Sündmuste laadimine...
Loading files...,Failide laadimine...
Loading notes...,Märkmete laadimine...
Loading preferences...,Eelistuste laadimine...
Loading project...,Projekti laadimine...
Loading projects...,Projektide laadimine...
Loading replies...,Vastuste laadimine...
Loading report data...,Aruande andmete laadimine...
Loading settings...,Sätete laadimine...
Loading task...,Ülesande laadimine...
Loading templates...,Mallide laadimine...
Loading time logs...,Ajakannete laadimine...
Loading your portal...,Teie portaali laadimine...
Loading...,Laadimine...
Location,Asukoht
Log Time,Kirjuta aeg
Logout,Logi välja
Low,Madal
Make Offer,Tee pakkumine
Manager,Haldur
Manual Entry,Käsitsi sisestamine
Margin,Marginaal
Mark all as read,Märgi kõik loetuks
Mark all read,Märgi kõik loetuks
Mark as read,Märgi loetuks
Mark as unread,Märgi mitteloetuks
Mark read,Märgi loetuks
Marking...,Märkimine...
Material,Materjal
Maybe,Võib-olla
Medium,Keskmine
Meeting,Koosolek
Meeting Link,Koosoleku link
Meeting title,Koosoleku pealkiri
Meeting URL,Koosoleku URL
Meetings,Koosolekud
Mention,Mainimine
Message,Sõnum
Message is required,Sõnum on nõutav
Message is required for '{0}' action,"Sõnum on nõutav tegevuse „{0} jaoks"""
Migrate,Migreeri
Migration Complete,Migratsioon lõpetatud
Migration ID:,Migratsiooni ID:
Migration log not found: {0},Migratsiooni logi ei leitud: {0}
Milestone,Verstapost
milestone,verstapost
Milestone created,Verstapost loodud
Milestone description has been saved.,Verstapostile kirjeldus on salvestatud.
Milestone ID is required,Verstapostile ID on nõutav
Milestone marked as Missed (past due date),Verstapost märgitud möödunuks (tähtaeg ületatud)
Milestone moved,Verstapost liigutatud
Milestone Name,Verstapostile nimi
Milestone name has been saved.,Verstapostile nimi on salvestatud.
Milestone name is required,Verstapostile nimi on nõutav
Milestone updated,Verstapost uuendatud
Milestone {0} not found,Verstaposti {0} ei leitud
Milestone {0} not in project {1},Verstapost {0} puudub projektist {1}
Milestones,Verstapostid
milestones,verstapostid
Milestones:,Verstapostid:
Minutes,Minutid
Missed,Möödunud
Mixed,Segamini
Mobile,Mobiil
Moderate,Mõõdukas
Modified,Muudetud
"Modify details, time, or attendees","Muuda üksikasju, aega või osalejaid"
Mon,E
Month,Kuu
Move failed,Liigutamine ebaõnnestus
Must be a positive number,Peab olema positiivne arv
Must finish before this finishes,Peab lõppema enne selle lõppu
Must finish before this starts,Peab lõppema enne selle algust
Must start before this finishes,Peab algama enne selle lõppu
Must start before this starts,Peab algama enne selle algust
My Assignments,Minu määramised
My Projects,Minu projektid
My Schedule,Minu ajakava
My Tasks,Minu ülesanded
N/A,Puudub
Name,Nimi
Name (A-Z),Nimi (A-Z)
Name (Z-A),Nimi (Z-A)
Name cannot exceed 255 characters,Nimi ei tohi ületada 255 tähemärki
Need help?,Vajad abi?
Needs Attention,Vajab tähelepanu
Never,Never
new activities,uued tegevused
New Activity,Uus tegevus
New activity,Uus tegevus
New Event,Uus sündmus
New index is required,Uus indeks on nõutav
New Project,Uus projekt
New tasks will auto-trail by default.,Uued ülesanded nihkuvad vaikimisi automaatselt.
Newest First,Uuemad enne
Next,Järgmine
Next 14 days,Järgmised 14 päeva
Next 30 days,Järgmised 30 päeva
Next 60 days,Järgmised 60 päeva
Next 7 days,Järgmised 7 päeva
Next 90 days,Järgmised 90 päeva
Next Week,Järgmine nädal
Next:,Järgmine:
No,Ei
No active assignments,Aktiivseid määramisi ei ole
No active projects,Aktiivseid projekte ei ole
No active timer found,Aktiivset taimerit ei leitud
No activity selected,Tegevust ei ole valitud
No assignments found,Määramisi ei leitud
No attendees,Osalejaid ei ole
no change,muudatusi ei ole
No changes for this field.,Selle välja muudatused puuduvad.
No changes recorded for this activity.,Selle tegevuse kohta ei ole muudatusi salvestatud.
No checklist items yet,Kontrollnimekirja elemente veel ei ole
No checklist items yet.,Kontrollnimekirja elemente veel ei ole.
No comments yet,Kommentaare veel ei ole
No comments yet.,Kommentaare veel ei ole.
No contacts available,Kontakte ei ole saadaval
No content for this tab,Selle vahekaardi sisu puudub
No data available,Andmed puuduvad
No data available for the selected filters,Valitud filtritele vastavaid andmeid ei ole
No data to export,Eksporditavaid andmeid ei ole
No dates set,Kuupäevi ei ole määratud
No defects reported,Defekte ei ole teatatud
No dependencies defined,Sõltuvusi ei ole määratud
No description,Kirjeldus puudub
No discussion yet.,Arutelu veel puudub.
No documents attached,Dokumente ei ole lisatud
No due date,Tähtaeg puudub
No employee linked to this resource,Selle ressursiga ei ole seotud ühtegi töötajat
No ERPNext employee linked to resource,Ressursiga ei ole seotud ühtegi ERPNext töötajat
No events found,Sündmusi ei leitud
No files attached yet.,Faile ei ole veel lisatud.
No Frappe Project linked,Frappe projekti ei ole seotud
No Grouping,Ilma rühmitamiseta
No items,Elemente ei ole
No matching tasks,Vastavaid ülesandeid ei ole
No matching tasks found,Vastavaid ülesandeid ei leitud
No migration history,Migratsiooni ajalugu puudub
No Milestone,Verstapostita
No milestones,Verstaposte ei ole
No milestones defined for this project.,Selle projekti jaoks ei ole verstaposte määratud.
No notes yet.,Märkmeid veel ei ole.
No notes yet. Add a due diligence note to track progress.,Märkmeid veel ei ole. Lisage nõuetekohase hoolsuse märkus edenemise jälgimiseks.
No notifications,Teavitusi ei ole
No Orga Project linked to Frappe Project {0},Frappe projektiga {0} ei ole seotud ühtegi Orga projekti
No overdue tasks,Üle tähtaja ülesandeid ei ole
No pending cascade changes,Ootel kaskaadmuudatusi ei ole
No predecessors - this task can start independently,Eelnevaid ülesandeid ei ole — see ülesanne saab alata iseseisvalt
No project,Projekt puudub
No projects found,Projekte ei leitud
No Projects Yet,Projekte ei ole veel
No recent activity,Hiljutist tegevust ei ole
No related documents,Seotud dokumente ei ole
No resolved threads.,Lahendatud arutelusid ei ole.
No resources found,Ressursse ei leitud
No results found,Tulemusi ei leitud
No skills listed,Oskusi ei ole loetletud
No skills recorded yet,Oskusi ei ole veel kirjutatud
No successors - no tasks are waiting for this one,Järgnevaid ülesandeid ei ole — ükski ülesanne ei oota seda
No task selected,Ülesannet ei ole valitud
No tasks assigned to you,Teile ei ole ülesandeid määratud
No tasks available to add,Lisamiseks pole ülesandeid saadaval
No tasks found,Ülesandeid ei leitud
No tasks linked to this milestone,Selle verstapostiga ei ole seotud ülesandeid
No tasks with dates to display,Kuupäevadega ülesandeid kuvamiseks ei ole
No tasks yet,Ülesandeid veel ei ole
No team members,Meeskonnaliikmeid ei ole
No template,Mall puudub
No templates yet,Malle veel ei ole
No time data found,Ajaandmeid ei leitud
No time logged today,Täna ei ole aega kirjutatud
No time logged yet,Aega ei ole veel kirjutatud
No time logs for this period,Selle perioodi ajakandeid ei ole
No time logs found,Ajakandeid ei leitud
No unread notifications,Lugemata teavitusi ei ole
No update information available yet.,No update information available yet.
None,Puudub
Not found,Ei leitud
Not permitted,Ei ole lubatud
Not permitted to access this project,Puudub õigus sellele projektile juurde pääseda
Not permitted to access this task,Puudub õigus sellele ülesandele juurde pääseda
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,Teil puudub õigus seda dokumenti kommenteerida
Not permitted to create clients,Teil puudub õigus kliente luua
Not permitted to delete this client,Teil puudub õigus seda klienti kustutada
Not permitted to delete this defect,Teil puudub õigus seda defekti kustutada
Not permitted to delete this note,Teil puudub õigus seda märkust kustutada
Not permitted to delete this project,Teil puudub õigus seda projekti kustutada
Not permitted to delete this task,Teil puudub õigus seda ülesannet kustutada
Not permitted to delete this time log,Teil puudub õigus seda ajakannet kustutada
Not permitted to invite clients,Teil puudub õigus kliente kutsuda
Not permitted to modify client access,Teil puudub õigus kliendi juurdepääsu muuta
Not permitted to modify this project,Teil puudub õigus seda projekti muuta
Not permitted to update settings,Teil puudub õigus sätteid muuta
Not permitted to update this client,Teil puudub õigus seda klienti muuta
Not permitted to view this client,Teil puudub õigus seda klienti vaadata
not sent,saatmata
Not set,Määramata
Not specified,Täpsustamata
Note,Märkus
Note (optional),Märkus (valikuline)
Note Content,Märkuse sisu
Note content is required,Märkuse sisu on nõutav
Note name is required,Märkuse nimi on nõutav
Note not found,Märkust ei leitud
Note Type,Märkuse tüüp
Notes,Märkmed
Notification,Teavitus
Notification not found,Teavitust ei leitud
Notifications,Teavitused
Off Track,Rajalt maas
Offer,Pakkumine
Offer Prepared,Pakkumine ettevalmistatud
Oldest First,Vanemad enne
On Hold,Ootel
On Leave,Puhkusel
On Track,Graafikus
On-Time Rate,Õigeaegsuse määr
Only administrators can delete activities,Ainult administraatorid saavad tegevusi kustutada
Only the comment author or administrators can delete comments,Ainult kommentaari autor või administraatorid saavad kommentaare kustutada
Only you and admins,Ainult teie ja administraatorid
Open,Avatud
Open in Desk,Ava Deskis
Open Task Log,Ava ülesande logi
Open Tasks,Avatud ülesanded
Optional,Valikuline
optional,valikuline
Or email us directly at,Või kirjutage meile otse aadressil
Orga Project {0} from Frappe Projects,Orga projekt {0} Frappe Projectsist
Orga Task {0} from Frappe,Orga ülesanne {0} Frappest
Organizer,Korraldaja
Other,Muu
Over Budget,Eelarve ületatud
Overall Progress,Üldine edenemine
Overall Utilization,Üldine kasutus
Overallocated,Üle eraldatud
Overdue,Üle tähtaja
overdue,üle tähtaja
Overdue Tasks,Üle tähtaja ülesanded
Overview,Ülevaade
Owner,Omanik
Page Not Found,Lehte ei leitud
Parent,Ülem
Parent comment must belong to the same document,Ülemkommentaar peab kuuluma samale dokumendile
Parent comment not found,Ülemkommentaari ei leitud
Parent project not synced to Frappe yet,Ülemprojekti ei ole veel Frappega sünkroonitud
Parent project sync not enabled,Ülemprojekti sünkroonimine ei ole lubatud
Partner,Partner
Pending,Ootel
per page,lehel
Perform initial assessment and background check,Viige läbi esialgne hindamine ja taustakontroll
Permanently remove this event,Kustuta see sündmus jäädavalt
Permanently remove this task,Kustuta see ülesanne jäädavalt
Phone,Telefon
Pin,Kinnita
Pin Activity,Kinnita tegevus
Pin to top,Kinnita üles
Pinned,Kinnitatud
Planned budget for this task,Selle ülesande kavandatud eelarve
Planning,Planeerimine
Please describe your question or issue in detail...,Palun kirjeldage oma küsimust või probleemi üksikasjalikult...
Please login to access Orga,Palun logige sisse Orgale juurdepääsemiseks
Please login to access the client portal,Palun logige sisse kliendiportaalile juurdepääsemiseks
Please respond to this invitation in Orga,Palun vastake sellele kutsele Orgas
Please select an image file,Palun valige pildifail
Please try again,Palun proovige uuesti
Please type,Palun sisestage
Portal,Portaal
Portal access revoked for {0},Portaali juurdepääs tühistatud kasutajal {0}
Portal user created successfully. Welcome email {0},Portaali kasutaja edukalt loodud. Tervituskiri {0}
Post,Postita
Powered by,Powered by
Powered by Tonic,Powered by Tonic
Predecessors (Blocked By),Eelnevad (blokeeritud)
Preferences,Eelistused
Preferences saved successfully,Eelistused edukalt salvestatud
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Automaatselt loodud projektikoodide eesliide (nt ORG-2026-0001)
Prepare and document offer terms,Valmistage ette ja dokumenteerige pakkumise tingimused
Press,Vajutage
Preview,Eelvaade
Preview cascade before applying,Vaadake kaskaadi eelvaadet enne rakendamist
Previous,Eelmine
Priority,Prioriteet
Priority assigned to new tasks,Uutele ülesannetele määratud prioriteet
Priority updated,Prioriteet uuendatud
Proficiency,Oskustase
Profile,Profiil
Progress,Edenemine
Progress (High-Low),Edenemine (kõrge-madal)
Progress (Low-High),Edenemine (madal-kõrge)
Progress Overview,Edenemise ülevaade
Progress updated,Edenemine uuendatud
Project,Projekt
Project budget has been saved.,Projekti eelarve on salvestatud.
Project code (e.g. ORG-2026-0001),Projektikood (nt ORG-2026-0001)
Project Code Prefix,Projektikoodi eesliide
Project created,Projekt loodud
Project deleted,Projekt kustutatud
Project description has been saved.,Projekti kirjeldus on salvestatud.
Project Details,Projekti üksikasjad
Project end date has been saved.,Projekti lõppkuupäev on salvestatud.
Project Files,Projekti failid
Project has no linked client,Projektil puudub seotud klient
Project Health,Projekti tervis
Project Info,Projekti info
Project is required,Projekt on nõutav
Project is required for project context,Projekt on nõutav projekti konteksti jaoks
Project is required when tracking context is 'project',"Projekt on nõutav kui jälgimise kontekst on „projekt""
Project name and template name are required,Projekti nimi ja malli nimi on nõutavad
Project name is required,Projekti nimi on nõutav
Project not found,Projekti ei leitud
Project not found or you do not have access,Projekti ei leitud või juurdepääs puudub
Project settings,Projekti sätted
Project start date has been saved.,Projekti alguskuupäev on salvestatud.
Project title has been saved.,Projekti pealkiri on salvestatud.
Project updated,Projekt uuendatud
Project {0} linked to client {1},Projekt {0} seotud kliendiga {1}
Project {0} not found,Projekti {0} ei leitud
Project {0} to Frappe Projects,Projekt {0} Frappe Projectsisse
Project:,Projekt:
Projects,Projektid
Projects Overview,Projektide ülevaade
Projects created:,Loodud projekte:
Projects skipped:,Vahele jäetud projekte:
Projects updated:,Uuendatud projekte:
Promote failed,Edutamine ebaõnnestus
Promote to task,Eduta ülesandeks
Promoted to task,Edutatud ülesandeks
Propose,Paku
Propose New Time,Paku uus aeg
Propose Time,Paku aeg
Proposed End,Pakutud lõpp
Proposed Start,Pakutud algus
Public,Avalik
Quick Action,Kiirtegevus
Quick Actions,Kiirtegevused
Quick Stats,Kiirstatistika
RSVP,RSVP
Rates,Määrad
Receive notifications via email,Saage teavitusi e-posti teel
Receive notifications within the application,Saage teavitusi rakenduses
Recipient {0} is not a valid user,Saaja {0} ei ole kehtiv kasutaja
Recent Activity,Hiljutine tegevus
Reference,Viide
Refresh,Värskenda
Related,Seotud
Related Company (optional),Seotud ettevõte (valikuline)
Related Documents,Seotud dokumendid
Related Project,Seotud projekt
Remaining,Järelejäänud
Reminder,Meeldetuletus
Reminder Lead Time"""
Project Manager,Projektijuht
Project Name,Projekti nimi
Project name and template name are required,Projekti nimi ja malli nimi on nõutud
Project name is required,Projekti nimi on nõutud
Project not found,Projekti ei leitud
Project not found or you do not have access,Projekti ei leitud või teil puudub juurdepääs
Project settings,Projekti seaded
Project start date has been saved.,Projekti alguskuupäev on salvestatud.
Project title has been saved.,Projekti pealkiri on salvestatud.
Project Type,Projekti tüüp
Project updated,Projekt uuendatud
Project {0} linked to client {1},Projekt {0} seotud kliendiga {1}
Project {0} not found,Projekti {0} ei leitud
Project {0} to Frappe Projects,Projekt {0} Frappe Projects'isse
Project:,Projekt:
projects,projektid
Projects,Projektid
Projects created:,Loodud projektid:
Projects Overview,Projektide ülevaade
Projects skipped:,Vahele jäetud projektid:
Projects updated:,Uuendatud projektid:
Promote failed,Ülendamine ebaõnnestus
Promote to task,Ülenda ülesandeks
Promoted to task,Ülendatud ülesandeks
Propose,Paku välja
Propose New Time,Paku uus aeg
Propose Time,Paku aeg
Proposed End,Pakutud lõpp
Proposed Start,Pakutud algus
Public,Avalik
Quick Action,Kiirtoiming
Quick Actions,Kiirtoimingud
Quick Stats,Kiirstatistika
Rates,Tariifid
Receive notifications via email,Saa teavitusi e-posti teel
Receive notifications within the application,Saa teavitusi rakenduses
Recent Activity,Hiljutine tegevus
Recipient {0} is not a valid user,Saaja {0} ei ole kehtiv kasutaja
Reference,Viide
Refresh,Värskenda
Related,Seotud
Related Company (optional),Seotud ettevõte (valikuline)
Related Documents,Seotud dokumendid
Related Project,Seotud projekt
Remaining,Järelejäänud
Reminder,Meeldetuletus
Reminder Lead Time,Meeldetuletuse etteteatamisaeg
Reminder: {0} - {1} at {2},Meeldetuletus: {0} - {1} kell {2}
Remove,Eemalda
Remove dependency,Eemalda sõltuvus
Remove dependency on,Eemalda sõltuvus
Remove from group,Eemalda rühmast
Remove group dependency,Eemalda rühma sõltuvus
Remove skill,Eemalda oskus
Reopen,Ava uuesti
Reopen thread,Ava arutelu uuesti
reopened,taasavatud
replies,vastused
Reply,Vasta
reply,vastus
Replying to,Vastamine
Replying to comment,Vastamine kommentaarile
Report Defect,Teata defektist
Reported Date,Teatamise kuupäev
Reports,Aruanded
Reports To,Allub
Request Submitted!,Taotlus esitatud!
Required,Nõutav
required,nõutav
Research,Uurimine
Reset to Defaults,Lähtesta vaikeväärtustele
Resolve,Lahenda
Resolve thread,Lahenda arutelu
Resolved,Lahendatud
Resolved date cannot be before reported date,Lahendamise kuupäev ei saa olla enne teatamise kuupäeva
Resource,Ressurss
Resource and skill name are required,Ressurss ja oskuse nimi on nõutavad
Resource is already an attendee,Ressurss on juba osaleja
Resource name is required,Ressursi nimi on nõutav
Resource not found,Ressurssi ei leitud
Resource synced from employee {0},Ressurss sünkroonitud töötajalt {0}
Resource {0} is already assigned to this task ({1}),Ressurss {0} on juba sellele ülesandele määratud ({1})
Resource {0} not found,Ressurssi {0} ei leitud
Resources,Kontaktid
Retry,Proovi uuesti
Review,Ülevaatus
Review all relevant documents and contracts,Vaadake üle kõik asjakohased dokumendid ja lepingud
Reviews,Ülevaatused
Risk Assessment,Riskihindamine
Rollback,Võta tagasi
Rolled back,Tagasi võetud
Room or address,Ruum või aadress
RSVP,RSVP
Safety,Ohutus
Sat,L
Save,Salvesta
"Save a project as a template, or import one from a JSON file.",Salvestage projekt mallina või importige see JSON failist.
Save as Template,Salvesta mallina
Save Changes,Salvesta muudatused
Save failed,Salvestamine ebaõnnestus
Save Preferences,Salvesta eelistused
Save Template,Salvesta mall
Saving...,Salvestamine...
Schedule,Ajakava
Schedule type is required for scheduled triggers,Ajakava tüüp on nõutav kavandatud päästikute jaoks
Scheduled,Kavandatud
Search,Otsing
"Search by name, email, or skill...","Otsige nime, e-posti või oskuse järgi..."
Search for a project...,Otsige projekti...
Search for a task...,Otsige ülesannet...
Search for an event...,Otsige sündmust...
Search for people to invite...,Otsige inimesi kutsumiseks...
Search tasks to link...,Otsige ülesandeid sidumiseks...
Search tasks...,Otsige ülesandeid...
Search...,Otsi...
Searching...,Otsimine...
Seen,Nähtud
Select a project if your request is related to a specific project.,Valige projekt kui teie taotlus on seotud konkreetse projektiga.
Select a project...,Valige projekt...
Select a task from the Gantt chart to view and manage its details.,Valige Gantt diagrammilt ülesanne selle üksikasjade vaatamiseks ja haldamiseks.
Select a task from the list or Kanban board to view and manage its details.,Valige ülesanne loendist või Kanban tahvlilt selle üksikasjade vaatamiseks ja haldamiseks.
Select a template...,Valige mall...
Select priority...,Valige prioriteet...
Select status...,Valige olek...
Select task...,Valige ülesanne...
Select type...,Valige tüüp...
Selection,Valik
Send,Saada
Send comment,Saada kommentaar
Send email invitations to attendees,Saatke e-posti kutsed osalejatele
Send Invitations,Saada kutsed
Send notification when a task is assigned to a user,Saada teavitus kui ülesanne on kasutajale määratud
Send notification when task status changes,Saada teavitus ülesande oleku muutumisel
Send reminder before task due date,Saada meeldetuletus enne ülesande tähtaega
sent,saadetud
Set rate,Määra hind
Settings,Sätted
Settings saved successfully,Sätted edukalt salvestatud
Severity,Tõsidus
SF (Start-Finish),SF (Algus-Lõpp)
SF - Start-to-Finish,SF - Algus-Lõpp
Show,Näita
Show all,Näita kõiki
Show all changes,Näita kõiki muudatusi
Show Archived,Näita arhiveeritud
Show full diff,Näita täielikku erinevust
Show less,Näita vähem
Show more,Näita rohkem
Skill added,Oskus lisatud
Skill is required,Oskus on nõutav
Skill Name,Oskuse nimi
Skill removed,Oskus eemaldatud
Skill {0} already exists for this resource,Oskus {0} on selle ressursi jaoks juba olemas
Skills,Oskused
Skills & Competencies,Oskused ja pädevused
Skip already migrated projects,Jäta juba migreeritud projektid vahele
Sort by,Sordi
Sort: Due Date,Sordi: Tähtaeg
Sort: Priority,Sordi: Prioriteet
Sort: Project,Sordi: Projekt
Sort: Status,Sordi: Olek
Sort: Task,Sordi: Ülesanne
Source Code,Lähtekood
Spent,Kulutatud
Spent:,Kulutatud:
SS (Start-Start),SS (Algus-Algus)
SS - Start-to-Start,SS - Algus-Algus
Standalone,Iseseisev
Start,Algus
Start a discussion below,Alustage allpool arutelu
Start Date,Alguskuupäev
Start date,Alguskuupäev
Start Date (Earliest),Alguskuupäev (varaseim)
Start date updated,Alguskuupäev uuendatud
Start date/time is required,Alguskuupäev/-aeg on nõutav
Start Migration,Alusta migratsiooni
Start the conversation below.,Alustage vestlust allpool.
Start Timer,Käivita taimer
Start typing to search...,Alustage otsimiseks tippimist...
Start-to-Finish,Algus-Lõpp
Start-to-Start,Algus-Algus
Start:,Algus:
Statistics reset,Statistika lähtestatud
Status,Olek
Status assigned to new projects,Uutele projektidele määratud olek
Status assigned to new tasks,Uutele ülesannetele määratud olek
Status Changes,Olekumuudatused
Status updated,Olek uuendatud
Status:,Olek:
Stop,Peata
Stop & Save,Peata ja salvesta
Stop Timer,Peata taimer
Stops current timer and starts for this event,Peatab praeguse taimeri ja käivitab selle sündmuse jaoks
Stops current timer and starts for this task,Peatab praeguse taimeri ja käivitab selle ülesande jaoks
Subject,Teema
Subject cannot exceed 255 characters,Teema ei tohi ületada 255 tähemärki
Subject is required,Teema on nõutav
Submit,Esita
Submit Another Request,Esita uus taotlus
Submit Request,Esita taotlus
Submitting...,Esitamine...
Successfully saved,Edukalt salvestatud
Successors (Blocking),Järgnevad (blokeerivad)
Sun,P
Supplier,Tarnija
Support,Tugi
Switch to this event,Lülitu sellele sündmusele
Switch to this task,Lülitu sellele ülesandele
Sync direction is set to Frappe to Orga only,Sünkroonimise suund on ainult Frappest Orgasse
Sync direction is set to Orga to Frappe only,Sünkroonimise suund on ainult Orgast Frappesse
Sync not enabled for this project,Sünkroonimine ei ole selle projekti jaoks lubatud
System,Süsteem
Table,Tabel
Take ownership of this task,Võta see ülesanne enda peale
Target Date,Sihtkuupäev
Target End,Sihtlõpp
Target Project,Sihtprojekt
Target user is required for '{0}' action,"Sihtkasutaja on nõutav tegevuse „{0} jaoks"""
Task,Ülesanne
task,ülesanne
Task '{0}' is due on {1}.,"Ülesande „{0} tähtaeg on {1}."""
Task and resource are required,Ülesanne ja ressurss on nõutavad
Task Assignment,Ülesande määramine
Task cannot be its own parent,Ülesanne ei saa olla enda ülem
Task cannot depend on itself,Ülesanne ei saa sõltuda iseendast
Task cannot depend on the group it belongs to,Ülesanne ei saa sõltuda rühmast kuhu ta kuulub
Task created,Ülesanne loodud
Task deleted,Ülesanne kustutatud
Task description has been saved.,Ülesande kirjeldus on salvestatud.
Task Details,Ülesande üksikasjad
Task due in {0} days: {1},Ülesande tähtaeg {0} päeva pärast: {1}
Task due today: {0},Ülesande tähtaeg täna: {0}
Task due tomorrow: {0},Ülesande tähtaeg homme: {0}
Task duplicated,Ülesanne kopeeritud
Task Group,Ülesannete rühm
Task ID is required,Ülesande ID on nõutav
Task is blocked by incomplete dependencies,Ülesanne on blokeeritud lõpetamata sõltuvuste tõttu
Task is cancelled,Ülesanne on tühistatud
Task is completed,Ülesanne on lõpetatud
Task is no longer blocked by a group,Ülesanne ei ole enam rühma poolt blokeeritud
Task is required for task context,Ülesanne on nõutav ülesande konteksti jaoks
Task is required when tracking context is 'task',"Ülesanne on nõutav kui jälgimise kontekst on „ülesanne""
Task linked,Ülesanne seotud
Task moved,Ülesanne liigutatud
Task name,Ülesande nimi
Task name is required,Ülesande nimi on nõutav
Task removed from group,Ülesanne eemaldatud rühmast
Task subject is required,Ülesande teema on nõutav
Task unblocked: {0},Ülesanne vabastatud: {0}
Task unlinked,Ülesande seos eemaldatud
Task updated,Ülesanne uuendatud
Task {0} not found,Ülesannet {0} ei leitud
Task {0} not in project {1},Ülesanne {0} puudub projektist {1}
Task {0} to Frappe,Ülesanne {0} Frappesse
Tasks and milestones will be created with dates relative to the project start date."""
Task linked,Ülesanne seotud
Task moved,Ülesanne teisaldatud
Task name,Ülesande nimi
Task name is required,Ülesande nimi on nõutud
Task removed from group,Ülesanne eemaldatud grupist
Task Subject,Ülesande teema
Task subject is required,Ülesande teema on nõutud
Task Type,Ülesande tüüp
Task unblocked: {0},Ülesanne blokeeringust vabastatud: {0}
Task unlinked,Ülesande seos eemaldatud
Task updated,Ülesanne uuendatud
Task {0} not found,Ülesannet {0} ei leitud
Task {0} not in project {1},Ülesanne {0} ei ole projektis {1}
Task {0} to Frappe,Ülesanne {0} Frappe'sse
Tasks,Ülesanded
tasks,ülesanded
Tasks and milestones will be created with dates relative to the project start date.,Ülesanded ja verstapostid luuakse projekti alguskuupäevaga seotud kuupäevadega.
Tasks assigned to you across all projects.,Teile määratud ülesanded kõikides projektides.
Tasks created:,Loodud ülesandeid:
Tasks from projects you manage.,Ülesanded teie hallatavatest projektidest.
Tasks updated:,Uuendatud ülesandeid:
"Tasks, milestones, and dependencies have been created.","Ülesanded, verstapostid ja sõltuvused on loodud."
Tasks:,Ülesanded:
TBD,Selgub
Team,Meeskond
Team Members,Meeskonnaliikmed
Template,Mall
Template applied,Mall rakendatud
Template data is required in import data,Malli andmed on nõutavad impordiandmetes
Template has no data,Mallil puuduvad andmed
Template Name,Malli nimi
Template name,Malli nimi
Template name is required,Malli nimi on nõutav
Template name is required in import data,Malli nimi on nõutav impordiandmetes
Template saved,Mall salvestatud
Template updated successfully.,Mall edukalt uuendatud.
Template {0} not found,Malli {0} ei leitud
Templates,Mallid
Tentative,Esialgne
The comment has been deleted,Kommentaar on kustutatud
The project,Projekt
The source document may have been deleted.,Lähtedokument võib olla kustutatud.
The source document will not be affected.,Lähtedokumenti ei mõjutata.
