+ Add Milestone,+ Voeg mylpaal by
Item added,Item bygevoeg
Item ID is required,Item-ID word vereis
Item removed,Item verwyder
Item type is required,Itemtipe word vereis
Item {0} not found,Item {0} nie gevind nie
Job title or role,Postitel of rol
Join Meeting,Sluit by vergadering aan
Just now,Sopas
just now,sopas
Kanban,Kanban
Kanban Board,Kanban-bord
Kanban View,Kanban-weergawe
Keyboard Shortcuts,Sleutelbordkortpaaie
Keyboard shortcuts (?),Sleutelbordkortpaaie (?)
Last checked: {0},Last checked: {0}
Last Updated,Laas bygewerk
Last updated:,Laas bygewerk:
Last Week,Verlede week
Latest Version,Latest Version
Light,Lig
Link failed,Koppeling het misluk
Link Task,Koppel taak
Linked,Gekoppel
Linked employee not found,Gekoppelde werknemer nie gevind nie
Linked Tasks,Gekoppelde take
List,Lys
List View,Lysweergawe
Load failed,Laai het misluk
Load More,Laai meer
Load more comments,Laai meer opmerkings
Loading activity...,Besig om aktiwiteit te laai...
Loading changes...,Besig om veranderings te laai...
Loading checklist...,Besig om kontrolelys te laai...
Loading comments...,Besig om opmerkings te laai...
Loading contact...,Besig om kontak te laai...
Loading contacts...,Besig om kontakte te laai...
Loading dependencies...,Besig om afhanklikhede te laai...
Loading details...,Besig om besonderhede te laai...
Loading discussion...,Besig om bespreking te laai...
Loading events...,Besig om geleenthede te laai...
Loading files...,Besig om lêers te laai...
Loading notes...,Besig om notas te laai...
Loading preferences...,Besig om voorkeure te laai...
Loading project...,Besig om projek te laai...
Loading projects...,Besig om projekte te laai...
Loading replies...,Besig om antwoorde te laai...
Loading report data...,Besig om verslagdata te laai...
Loading settings...,Besig om instellings te laai...
Loading task...,Besig om taak te laai...
Loading templates...,Besig om sjablone te laai...
Loading time logs...,Besig om tydinskrywings te laai...
Loading your portal...,Besig om u portaal te laai...
Loading...,Besig om te laai...
Location,Ligging
Log Time,Teken tyd aan
Logout,Teken uit
Low,Laag
Make Offer,Maak aanbod
Manager,Bestuurder
Manual Entry,Handmatige inskrywing
Margin,Marge
Mark all as read,Merk alles as gelees
Mark all read,Merk alles as gelees
Mark as read,Merk as gelees
Mark as unread,Merk as ongelees
Mark read,Merk as gelees
Marking...,Besig om te merk...
Material,Materiaal
Maybe,Miskien
Medium,Medium
Meeting,Vergadering
Meeting Link,Vergaderingskakel
Meeting title,Vergaderingtitel
Meeting URL,Vergadering-URL
Meetings,Vergaderings
Mention,Noem
Message,Boodskap
Message is required,Boodskap word vereis
Message is required for '{0}' action,Boodskap word vereis vir die '{0}'-aksie
Migrate,Migreer
Migration Complete,Migrasie voltooi
Migration ID:,Migrasie-ID:
Migration log not found: {0},Migrasielogboek nie gevind nie: {0}
Milestone,Mylpaal
milestone,mylpaal
Milestone created,Mylpaal geskep
Milestone description has been saved.,Mylpaalbeskrywing is gestoor.
Milestone ID is required,Mylpaal-ID word vereis
Milestone marked as Missed (past due date),Mylpaal gemerk as gemis (sperdatum verby)
Milestone moved,Mylpaal geskuif
Milestone Name,Mylpaalnaam
Milestone name has been saved.,Mylpaalnaam is gestoor.
Milestone name is required,Die mylpaalnaam word vereis
Milestone updated,Mylpaal bygewerk
Milestone {0} not found,Mylpaal {0} nie gevind nie
Milestone {0} not in project {1},Mylpaal {0} nie in projek {1} nie
Milestones,Mylpale
milestones,mylpale
Milestones:,Mylpale:
Minutes,Minute
Missed,Gemis
Mixed,Gemengd
Mobile,Mobiel
Moderate,Matig
Modified,Gewysig
"Modify details, time, or attendees","Wysig besonderhede, tyd of bywoners"
Mon,Ma
Month,Maand
Move failed,Skuif het misluk
Must be a positive number,Moet 'n positiewe getal wees
Must finish before this finishes,Moet klaarmaak voordat hierdie een klaarmaak
Must finish before this starts,Moet klaarmaak voordat hierdie een begin
Must start before this finishes,Moet begin voordat hierdie een klaarmaak
Must start before this starts,Moet begin voordat hierdie een begin
My Assignments,My toekennings
My Projects,My projekte
My Schedule,My skedule
My Tasks,My take
N/A,N.v.t.
Name,Naam
Name (A-Z),Naam (A-Z)
Name (Z-A),Naam (Z-A)
Name cannot exceed 255 characters,Naam kan nie 255 karakters oorskry nie
Need help?,Hulp nodig?
Needs Attention,Vereis aandag
Never,Never
new activities,nuwe aktiwiteite
New Activity,Nuwe aktiwiteit
New activity,Nuwe aktiwiteit
New Event,Nuwe geleentheid
New index is required,Nuwe indeks word vereis
New Project,Nuwe projek
New tasks will auto-trail by default.,Nuwe take sal by verstek outomaties opskuif.
Newest First,Nuutste eerste
Next,Volgende
Next 14 days,Volgende 14 dae
Next 30 days,Volgende 30 dae
Next 60 days,Volgende 60 dae
Next 7 days,Volgende 7 dae
Next 90 days,Volgende 90 dae
Next Week,Volgende week
Next:,Volgende:
No,Nee
No active assignments,Geen aktiewe toekennings nie
No active projects,Geen aktiewe projekte nie
No active timer found,Geen aktiewe tydhouer gevind nie
No activity selected,Geen aktiwiteit gekies nie
No assignments found,Geen toekennings gevind nie
No attendees,Geen bywoners nie
no change,geen verandering
No changes for this field.,Geen veranderings vir hierdie veld nie.
No changes recorded for this activity.,Geen veranderings aangeteken vir hierdie aktiwiteit nie.
No checklist items yet,Nog geen kontrolelysitems nie
No checklist items yet.,Nog geen kontrolelysitems nie.
No comments yet,Nog geen opmerkings nie
No comments yet.,Nog geen opmerkings nie.
No contacts available,Geen kontakte beskikbaar nie
No content for this tab,Geen inhoud vir hierdie oortjie nie
No data available,Geen data beskikbaar nie
No data available for the selected filters,Geen data beskikbaar vir die gekose filters nie
No data to export,Geen data om uit te voer nie
No dates set,Geen datums ingestel nie
No defects reported,Geen gebreke aangemeld nie
No dependencies defined,Geen afhanklikhede gedefinieer nie
No description,Geen beskrywing nie
No discussion yet.,Nog geen bespreking nie.
No documents attached,Geen dokumente aangeheg nie
No due date,Geen sperdatum nie
No employee linked to this resource,Geen werknemer aan hierdie kontakpersoon gekoppel nie
No ERPNext employee linked to resource,Geen ERPNext-werknemer aan kontakpersoon gekoppel nie
No events found,Geen geleenthede gevind nie
No files attached yet.,Nog geen lêers aangeheg nie.
No Frappe Project linked,Geen Frappe-projek gekoppel nie
No Grouping,Geen groepering
No items,Geen items nie
No matching tasks,Geen ooreenstemmende take nie
No matching tasks found,Geen ooreenstemmende take gevind nie
No migration history,Geen migrasiegeskiedenis nie
No Milestone,Geen mylpaal
No milestones,Geen mylpale nie
No milestones defined for this project.,Geen mylpale vir hierdie projek gedefinieer nie.
No notes yet.,Nog geen notas nie.
No notes yet. Add a due diligence note to track progress.,Nog geen notas nie. Voeg 'n omsigtigheidsondersoek-nota by om vordering na te spoor.
No notifications,Geen kennisgewings nie
No Orga Project linked to Frappe Project {0},Geen Orga-projek aan Frappe-projek {0} gekoppel nie
No overdue tasks,Geen agterstallige take nie
No pending cascade changes,Geen hangende kaskade-veranderings nie
No predecessors - this task can start independently,Geen voorgangers nie — hierdie taak kan onafhanklik begin
No project,Geen projek nie
No projects found,Geen projekte gevind nie
No Projects Yet,Nog geen projekte nie
No recent activity,Geen onlangse aktiwiteit nie
No related documents,Geen verwante dokumente nie
No resolved threads.,Geen opgelope besprekingsdrade nie.
No resources found,Geen kontakpersone gevind nie
No results found,Geen resultate gevind nie
No skills listed,Geen vaardighede gelys nie
No skills recorded yet,Nog geen vaardighede aangeteken nie
No successors - no tasks are waiting for this one,Geen opvolgers nie — geen take wag vir hierdie een nie
No task selected,Geen taak gekies nie
No tasks assigned to you,Geen take aan u toegeken nie
No tasks available to add,Geen take beskikbaar om by te voeg nie
No tasks found,Geen take gevind nie
No tasks linked to this milestone,Geen take aan hierdie mylpaal gekoppel nie
No tasks with dates to display,Geen take met datums om te vertoon nie
No tasks yet,Nog geen take nie
No team members,Geen spanlede nie
No template,Geen sjabloon nie
No templates yet,Nog geen sjablone nie
No time data found,Geen tyddata gevind nie
No time logged today,Vandag geen tyd aangeteken nie
No time logged yet,Nog geen tyd aangeteken nie
No time logs for this period,Geen tydinskrywings vir hierdie tydperk nie
No time logs found,Geen tydinskrywings gevind nie
No unread notifications,Geen ongelees kennisgewings nie
No update information available yet.,No update information available yet.
None,Geen
Not found,Nie gevind nie
Not permitted,Nie toegelaat nie
Not permitted to access this project,Nie toegelaat om hierdie projek te benader nie
Not permitted to access this task,Nie toegelaat om hierdie taak te benader nie
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,U word nie toegelaat om op hierdie dokument kommentaar te lewer nie
Not permitted to create clients,U word nie toegelaat om kliënte te skep nie
Not permitted to delete this client,U word nie toegelaat om hierdie kliënt te verwyder nie
Not permitted to delete this defect,U word nie toegelaat om hierdie gebrek te verwyder nie
Not permitted to delete this note,U word nie toegelaat om hierdie nota te verwyder nie
Not permitted to delete this project,U word nie toegelaat om hierdie projek te verwyder nie
Not permitted to delete this task,U word nie toegelaat om hierdie taak te verwyder nie
Not permitted to delete this time log,U word nie toegelaat om hierdie tydinskrywing te verwyder nie
Not permitted to invite clients,U word nie toegelaat om kliënte uit te nooi nie
Not permitted to modify client access,U word nie toegelaat om kliënttoegang te wysig nie
Not permitted to modify this project,U word nie toegelaat om hierdie projek te wysig nie
Not permitted to update settings,U word nie toegelaat om instellings by te werk nie
Not permitted to update this client,U word nie toegelaat om hierdie kliënt by te werk nie
Not permitted to view this client,U word nie toegelaat om hierdie kliënt te bekyk nie
not sent,nie gestuur nie
Not set,Nie ingestel nie
Not specified,Nie gespesifiseer nie
Note,Nota
Note (optional),Nota (opsioneel)
Note Content,Nota-inhoud
Note content is required,Nota-inhoud word vereis
Note name is required,Die notanaam word vereis
Note not found,Nota nie gevind nie
Note Type,Notatipe
Notes,Notas
Notification,Kennisgewings
Notification not found,Kennisgewing nie gevind nie
Notifications,Kennisgewings
Off Track,Van die spoor af
Offer,Aanbod
Offer Prepared,Aanbod voorberei
Oldest First,Oudste eerste
On Hold,In die wag
On Leave,Met verlof
On Track,Op koers
On-Time Rate,Tydigheidsyfer
Only administrators can delete activities,Slegs administrateurs kan aktiwiteite verwyder
Only the comment author or administrators can delete comments,Slegs die opmerkingskrywer of administrateurs kan opmerkings verwyder
Only you and admins,Slegs u en administrateurs
Open,Oop
Open in Desk,Maak in Desk oop
Open Task Log,Maak taaklogboek oop
Open Tasks,Oop take
Optional,Opsioneel
optional,opsioneel
Or email us directly at,Of stuur ons direk 'n e-pos by
Orga Project {0} from Frappe Projects,Orga-projek {0} uit Frappe Projects
Orga Task {0} from Frappe,Orga-taak {0} uit Frappe
Organizer,Organiseerder
Other,Ander
Over Budget,Oor begroting
Overall Progress,Algehele vordering
Overall Utilization,Algehele benutting
Overallocated,Oortoegeken
Overdue,Agterstallig
overdue,agterstallig
Overdue Tasks,Agterstallige take
Overview,Oorsig
Owner,Eienaar
Page Not Found,Bladsy nie gevind nie
Parent,Ouer
Parent comment must belong to the same document,Ouerlyskommentaar moet aan dieselfde dokument behoort
Parent comment not found,Ouer-opmerking nie gevind nie
Parent project not synced to Frappe yet,Ouerprojek nog nie met Frappe gesinkroniseer nie
Parent project sync not enabled,Ouerprojeksinkronisasie nie geaktiveer nie
Partner,Vennoot
Pending,Hangende
per page,per bladsy
Perform initial assessment and background check,Voer aanvanklike assessering en agtergrondondersoek uit
Permanently remove this event,Verwyder hierdie geleentheid permanent
Permanently remove this task,Verwyder hierdie taak permanent
Phone,Telefoon
Pin,Speld vas
Pin Activity,Speld aktiwiteit vas
Pin to top,Speld bo-aan vas
Pinned,Vasgespeld
Planned budget for this task,Beplande begroting vir hierdie taak
Planning,Beplanning
Please describe your question or issue in detail...,Beskryf asseblief u vraag of probleem in detail...
Please login to access Orga,Teken asseblief in om toegang tot Orga te kry
Please login to access the client portal,Teken asseblief in om toegang tot die kliënteportaal te kry
Please respond to this invitation in Orga,Reageer asseblief op hierdie uitnodiging in Orga
Please select an image file,Kies asseblief 'n beeldlêer
Please try again,Probeer asseblief weer
Please type,Tik asseblief
Portal,Portaal
Portal access revoked for {0},Portaaltoegang herroep vir {0}
Portal user created successfully. Welcome email {0},Portaalgebruiker suksesvol geskep. Welkoms-e-pos {0}
Post,Plaas
Powered by,Aangedryf deur
Powered by Tonic,Aangedryf deur Tonic
Predecessors (Blocked By),Voorgangers (geblokkeer deur)
Preferences,Voorkeure
Preferences saved successfully,Voorkeure suksesvol gestoor
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",Voorvoegsel vir outomaties-gegenereerde projekkodes (bv. ORG-2026-0001)
Prepare and document offer terms,Berei aanbodvoorwaardes voor en dokumenteer dit
Press,Druk
Preview,Voorskou
Preview cascade before applying,Voorskou kaskade voor toepassing
Previous,Vorige
Priority,Prioriteit
Priority assigned to new tasks,Prioriteit toegeken aan nuwe take
Priority updated,Prioriteit bygewerk
Proficiency,Vaardigheidsvlak
Profile,Profiel
Progress,Vordering
Progress (High-Low),Vordering (hoog-laag)
Progress (Low-High),Vordering (laag-hoog)
Progress Overview,Vorderingsoorsig
Progress updated,Vordering bygewerk
Project,Projek
Project budget has been saved.,Projekbegroting is gestoor.
Project code (e.g. ORG-2026-0001),Projekkode (bv. ORG-2026-0001)
Project Code Prefix,Projekkodevoorvoegsel
Project created,Projek geskep
Project deleted,Projek verwyder
Project description has been saved.,Projekbeskrywing is gestoor.
Project Details,Projekbesonderhede
Project end date has been saved.,Projek-einddatum is gestoor.
Project Files,Projeklêers
Project has no linked client,Projek het geen gekoppelde kliënt nie
Project Health,Projekgesondheid
Project Info,Projekinligting
Project is required,Projek word vereis
Project is required for project context,Projek word vereis vir projekkonteks
Project is required when tracking context is 'project',Projek word vereis wanneer die spoorkonteks 'projek' is
Project Manager,Projekbestuurder
Project Name,Projeknaam
Project name and template name are required,Projeknaam en sjabloonnaam word vereis
Project name is required,Projeknaam word vereis
Project not found,Projek nie gevind nie
Project not found or you do not have access,Projek nie gevind nie of u het nie toegang nie
Project settings,Projekinstellings
Project start date has been saved.,Projekbegindatum is gestoor.
Project title has been saved.,Projektitel is gestoor.
Project Type,Projektipe
Project updated,Projek bygewerk
Project {0} linked to client {1},Projek {0} gekoppel aan kliënt {1}
Project {0} not found,Projek {0} nie gevind nie
Project {0} to Frappe Projects,Projek {0} na Frappe Projects
Project:,Projek:
Projects,Projekte
projects,projekte
Projects created:,Projekte geskep:
Projects Overview,Projekte-oorsig
Projects skipped:,Projekte oorgeslaan:
Projects updated:,Projekte bygewerk:
Promote failed,Bevordering het misluk
Promote to task,Bevorder tot taak
Promoted to task,Bevorder tot taak
Propose,Stel voor
Propose New Time,Stel nuwe tyd voor
Propose Time,Stel tyd voor
Proposed End,Voorgestelde einde
Proposed Start,Voorgestelde begin
Public,Openbaar
Quick Action,Vinnige aksie
Quick Actions,Vinnige aksies
Quick Stats,Vinnige statistieke
Rates,Tariewe
Receive notifications via email,Ontvang kennisgewings via e-pos
Receive notifications within the application,Ontvang kennisgewings binne die toepassing
Recent Activity,Onlangse aktiwiteit
Recipient {0} is not a valid user,Ontvanger {0} is nie 'n geldige gebruiker nie
Reference,Verwysing
Refresh,Verfris
Related,Verwant
Related Company (optional),Verwante maatskappy (opsioneel)
Related Documents,Verwante dokumente
Related Project,Verwante projek
Remaining,Oorblywend
Reminder,Herinnering
Reminder Lead Time,Herinnering-voorleityd
Reminder: {0} - {1} at {2},Herinnering: {0} - {1} om {2}
Remove,Verwyder
Remove dependency,Verwyder afhanklikheid
Remove dependency on,Verwyder afhanklikheid op
Remove from group,Verwyder uit groep
Remove group dependency,Verwyder groepafhanklikheid
Remove skill,Verwyder vaardigheid
Reopen,Heropen
Reopen thread,Heropen besprekingsdraad
reopened,heropen
replies,antwoorde
Reply,Antwoord
reply,antwoord
Replying to,Antwoord op
Replying to comment,Antwoord op opmerking
Report Defect,Meld gebrek aan
Reported Date,Aanmelddatum
Reports,Verslae
Reports To,Rapporteer aan
Request Submitted!,Versoek ingedien!
Required,Verpligtend
required,verpligtend
Research,Navorsing
Reset to Defaults,Herstel na verstekwaardes
Resolve,Los op
Resolve thread,Los besprekingsdraad op
Resolved,Opgelos
Resolved date cannot be before reported date,Die oplossingsdatum kan nie voor die aanmelddatum wees nie
Resource,Kontakpersoon
Resource and skill name are required,Kontakpersoon en vaardigheidsnaam word vereis
Resource is already an attendee,Kontakpersoon is reeds 'n bywoner
Resource name is required,Die kontakpersoonnaam word vereis
Resource not found,Kontakpersoon nie gevind nie
Resource synced from employee {0},Kontakpersoon gesinkroniseer uit werknemer {0}
Resource {0} is already assigned to this task ({1}),Kontakpersoon {0} is reeds aan hierdie taak ({1}) toegeken
Resource {0} not found,Kontakpersoon {0} nie gevind nie
Resources,Kontakpersone
Retry,Probeer weer
Review,Oorsig
Review all relevant documents and contracts,Oorsig alle relevante dokumente en kontrakte
Reviews,Oorsigtes
Risk Assessment,Risiko-assessering
Rollback,Rol terug
Rolled back,Teruggerol
Room or address,Kamer of adres
RSVP,RSVP
Safety,Veiligheid
Sat,Sa
Save,Stoor
"Save a project as a template, or import one from a JSON file.","Stoor 'n projek as 'n sjabloon, of voer een uit 'n JSON-lêer in."
Save as Template,Stoor as sjabloon
Save Changes,Stoor veranderings
Save failed,Stoor het misluk
Save Preferences,Stoor voorkeure
Save Template,Stoor sjabloon
Saving...,Besig om te stoor...
Schedule,Skedule
Schedule type is required for scheduled triggers,Skeduletipe word vereis vir geskeduleerde snellers
Scheduled,Geskeduleer
Search,Soek
"Search by name, email, or skill...","Soek op naam, e-pos of vaardigheid..."
Search for a project...,Soek 'n projek...
Search for a task...,Soek 'n taak...
Search for an event...,Soek 'n geleentheid...
Search for people to invite...,Soek mense om uit te nooi...
Search tasks to link...,Soek take om te koppel...
Search tasks...,Soek take...
Search...,Soek...
Searching...,Besig om te soek...
Seen,Gesien
Select a project if your request is related to a specific project.,Kies 'n projek as u versoek met 'n spesifieke projek verband hou.
Select a project...,Kies 'n projek...
Select a task from the Gantt chart to view and manage its details.,Kies 'n taak uit die Gantt-grafiek om die besonderhede te bekyk en te bestuur.
Select a task from the list or Kanban board to view and manage its details.,Kies 'n taak uit die lys of Kanban-bord om die besonderhede te bekyk en te bestuur.
Select a template...,Kies 'n sjabloon...
Select priority...,Kies prioriteit...
Select status...,Kies status...
Select task...,Kies taak...
Select type...,Kies tipe...
Selection,Seleksie
Send,Stuur
Send comment,Stuur opmerking
Send email invitations to attendees,Stuur e-posuitnodigings aan bywoners
Send Invitations,Stuur uitnodigings
Send notification when a task is assigned to a user,Stuur kennisgewing wanneer 'n taak aan 'n gebruiker toegeken word
Send notification when task status changes,Stuur kennisgewing wanneer taakstatus verander
Send reminder before task due date,Stuur herinnering voor taak se sperdatum
sent,gestuur
Set rate,Stel tarief in
Settings,Instellings
Settings saved successfully,Instellings suksesvol gestoor
Severity,Erns
SF (Start-Finish),SF (Begin-Einde)
SF - Start-to-Finish,SF - Begin-na-Einde
Show,Wys
Show all,Wys alles
Show all changes,Wys alle veranderings
Show Archived,Wys geargiveerdes
Show full diff,Wys volle verskil
Show less,Wys minder
Show more,Wys meer
Skill added,Vaardigheid bygevoeg
Skill is required,Vaardigheid word vereis
Skill Name,Vaardigheidsnaam
Skill removed,Vaardigheid verwyder
Skill {0} already exists for this resource,Vaardigheid {0} bestaan reeds vir hierdie kontakpersoon
Skills,Vaardighede
Skills & Competencies,Vaardighede en bevoegdhede
Skip already migrated projects,Slaan reeds gemigreerde projekte oor
Sort by,Sorteer volgens
Sort: Due Date,Sorteer: Sperdatum
Sort: Priority,Sorteer: Prioriteit
Sort: Project,Sorteer: Projek
Sort: Status,Sorteer: Status
Sort: Task,Sorteer: Taak
Source Code,Bronkode
Spent,Bestee
Spent:,Bestee:
SS (Start-Start),SS (Begin-Begin)
SS - Start-to-Start,SS - Begin-na-Begin
Standalone,Alleenstaande
Start,Begin
Start a discussion below,Begin 'n bespreking hieronder
Start Date,Begindatum
Start date,Begindatum
Start Date (Earliest),Begindatum (vroegste)
Start date updated,Begindatum bygewerk
Start date/time is required,Begindatum/-tyd word vereis
Start Migration,Begin migrasie
Start the conversation below.,Begin die gesprek hieronder.
Start Timer,Begin tydhouer
Start typing to search...,Begin tik om te soek...
Start-to-Finish,Begin-na-Einde
Start-to-Start,Begin-na-Begin
Start:,Begin:
Statistics reset,Statistieke teruggestel
Status,Status
Status assigned to new projects,Status toegeken aan nuwe projekte
Status assigned to new tasks,Status toegeken aan nuwe take
Status Changes,Statusveranderings
Status updated,Status bygewerk
Status:,Status:
Stop,Stop
Stop & Save,Stop en stoor
Stop Timer,Stop tydhouer
Stops current timer and starts for this event,Stop huidige tydhouer en begin vir hierdie geleentheid
Stops current timer and starts for this task,Stop huidige tydhouer en begin vir hierdie taak
Subject,Onderwerp
Subject cannot exceed 255 characters,Onderwerp kan nie 255 karakters oorskry nie
Subject is required,Onderwerp word vereis
Submit,Dien in
Submit Another Request,Dien nog 'n versoek in
Submit Request,Dien versoek in
Submitting...,Besig om in te dien...
Successfully saved,Suksesvol gestoor
Successors (Blocking),Opvolgers (blokkerend)
Sun,So
Supplier,Verskaffer
Support,Ondersteuning
Switch to this event,Skakel na hierdie geleentheid
Switch to this task,Skakel na hierdie taak
Sync direction is set to Frappe to Orga only,Sinkroniseringsrigting is ingestel op slegs Frappe na Orga
Sync direction is set to Orga to Frappe only,Sinkroniseringsrigting is ingestel op slegs Orga na Frappe
Sync not enabled for this project,Sinkronisering nie geaktiveer vir hierdie projek nie
System,Stelsel
Table,Tabel
Take ownership of this task,Neem hierdie taak oor
Target Date,Teikendatum
Target End,Teikeneinddatum
Target Project,Teikenprojek
Target user is required for '{0}' action,Teikengebruiker word vereis vir die '{0}'-aksie
Task,Taak
task,taak
Task '{0}' is due on {1}.,Taak '{0}' is op {1} verskuldig.
Task and resource are required,Taak en kontakpersoon word vereis
Task Assignment,Taaktoekenning
Task cannot be its own parent,''n Taak kan nie sy eie ouer wees nie
Task cannot depend on itself,''n Taak kan nie van homself afhanklik wees nie
Task cannot depend on the group it belongs to,''n Taak kan nie afhanklik wees van die groep waaraan dit behoort nie
Task created,Taak geskep
Task deleted,Taak verwyder
Task description has been saved.,Taakbeskrywing is gestoor.
Task Details,Taakbesonderhede
Task due in {0} days: {1},Taak verskuldig oor {0} dae: {1}
Task due today: {0},Taak vandag verskuldig: {0}
Task due tomorrow: {0},Taak môre verskuldig: {0}
Task duplicated,Taak gedupliseer
Task Group,Taakgroep
Task ID is required,Taak-ID word vereis
Task is blocked by incomplete dependencies,Taak word geblokkeer deur onvoltooide afhanklikhede
Task is cancelled,Taak is gekanselleer
Task is completed,Taak is voltooi
Task is no longer blocked by a group,Taak word nie meer deur 'n groep geblokkeer nie
Task is required for task context,Taak word vereis vir taakkonteks
Task is required when tracking context is 'task',Taak word vereis wanneer die spoorkonteks 'taak' is
Task linked,Taak gekoppel
Task moved,Taak geskuif
Task name,Taaknaam
Task name is required,Taaknaam word vereis
Task removed from group,Taak uit groep verwyder
Task Subject,Taakonderwerp
Task subject is required,Taakonderwerp word vereis
Task Type,Taaktipe
Task unblocked: {0},Taak ontblokkeer: {0}
Task unlinked,Taak ontkoppel
Task updated,Taak bygewerk
Task {0} not found,Taak {0} nie gevind nie
Task {0} not in project {1},Taak {0} nie in projek {1} nie
Task {0} to Frappe,Taak {0} na Frappe
Tasks,Take
tasks,take
Tasks and milestones will be created with dates relative to the project start date.,Take en mylpale sal geskep word met datums relatief tot die projek se begindatum.
Tasks assigned to you across all projects.,Take aan u toegeken oor alle projekte.
Tasks created:,Take geskep:
Tasks from projects you manage.,Take uit projekte wat u bestuur.
Tasks updated:,Take bygewerk:
"Tasks, milestones, and dependencies have been created.","Take, mylpale en afhanklikhede is geskep."
Tasks:,Take:
TBD,Nog te bepaal
Team,Span
Team Members,Spanlede
Template,Sjabloon
Template applied,Sjabloon toegepas
Template data is required in import data,Sjabloondata word vereis in invoerdata
Template has no data,Sjabloon het geen data nie
Template Name,Sjabloonnaam
Template name,Sjabloonnaam
Template name is required,Sjabloonnaam word vereis
Template name is required in import data,Sjabloonnaam word vereis in invoerdata
Template saved,Sjabloon gestoor
Template updated successfully.,Sjabloon suksesvol bygewerk.
Template {0} not found,Sjabloon {0} nie gevind nie
Templates,Sjablone
Tentative,Voorlopig
The comment has been deleted,Die opmerking is verwyder
The project,Die projek
The source document may have been deleted.,Die brondokument is moontlik verwyder.
The source document will not be affected.,Die brondokument sal nie geraak word nie.
The status of '{0}' was changed from {1} to {2}.,Die status van '{0}' is verander van {1} na {2}.
Theme,Tema
Theme preference,Temavoorkeur
This action,Hierdie aksie
This action cannot be undone.,Hierdie aksie kan nie ongedaan gemaak word nie.
This activity has been flagged for attention,Hierdie aktiwiteit is gemerk vir aandag
This is a reminder for your upcoming appointment,Dit is 'n herinnering vir u komende afspraak
This method is only meant for developer mode,Hierdie metode is slegs vir ontwikkelaarsmodus bedoel
This page wandered off,This page wandered off
This Week,Hierdie week
This will delete all notes and preferences associated with this activity.,Dit sal alle notas en voorkeure wat met hierdie aktiwiteit verband hou verwyder.
This will import all Frappe Projects into Orga. Continue?,Dit sal alle Frappe-projekte in Orga invoer. Gaan voort?
This will permanently delete,Dit sal permanent verwyder
This will permanently delete:,Dit sal permanent verwyder:
Thu,Do
Time,Tyd
Time & Billing,Tyd en fakturering
Time & Revenue,Tyd en inkomste
Time Entries,Tydinskrywings
Time log name is required,Die tydinskrywingsnaam word vereis
Time Log not found,Tydinskrywing nie gevind nie
Time log {0} not found,Tydinskrywing {0} nie gevind nie
Time Logs,Tydinskrywings
Time Summary,Tydopsomming
Time Tracking,Tydaantekening
Timeline,Tydlyn
Timer active on,Tydhouer aktief op
Timer is not running,Tydhouer loop nie
Timer Running,Tydhouer loop
Timer running,Tydhouer loop
Timesheet DocType not available,DocType Tydstaat nie beskikbaar nie
Timesheets,Tydstate
Timezone,Tydsone
Timezone is detected from your browser,Tydsone word uit u blaaier bespeur
Title,Titel
Title cannot exceed 255 characters,Titel kan nie 255 karakters oorskry nie
Title is required,Titel word vereis
Title updated,Titel bygewerk
To,Na
to,na
to cancel,om te kanselleer
to close,om te sluit
to confirm:,om te bevestig:
to edit,om te wysig
"to save,","om te stoor,"
To Time cannot be before From Time,Die eindtyd kan nie voor die begintyd wees nie
Today,Vandag
today,vandag
Toggle billable,Skakel faktureerbaar aan/af
Toggle Details Panel,Skakel besonderhedepaneel aan/af
Toggle Manager Panel,Skakel bestuurderspaneel aan/af
Toggle Sidebar,Skakel sybalk aan/af
Tomorrow,Môre
tomorrow,môre
Total,Totaal
Total Budget,Totale begroting
Total Contacts,Totale kontakte
Total Cost,Totale koste
Total Cost to Org,Totale koste vir die organisasie
Total Defect Cost,Totale gebrekkkoste
Total Hours,Totale ure
Total Hours Logged,Totale ure aangeteken
Total Projects,Totale projekte
Total Spent,Totaal bestee
Total Tasks,Totale take
Total:,Totaal:
Tracked,Nagespoor
trails to today while Open at 0%,skuif op na vandag terwyl Oop op 0%
Tried:,Tried:
Try adjusting your filter criteria,Probeer om u filterkriteria aan te pas
Try adjusting your filters.,Probeer om u filters aan te pas.
Try Again,Probeer weer
Tue,Di
Type,Tipe
Type updated,Tipe bygewerk
Type:,Tipe:
Typical response time: 1-2 business days,Tipiese reaksietyd: 1-2 werksdae
Unarchive,Ontargiveer
Unarchive Activity,Ontargiveer aktiwiteit
Unassign,Onttoekenning
Unassigned,Nie toegeken nie
Under Budget,Onder begroting
Ungrouped,Ongegroepeer
Unknown,Onbekend
Unknown error,Onbekende fout
Unlink failed,Ontkoppeling het misluk
Unlink task from milestone,Ontkoppel taak van mylpaal
Unpin,Ontspeld
Unpin Activity,Ontspeld aktiwiteit
Unread,Ongelees
Unread only,Slegs ongelees
Until,Tot
Up to Date,Up to Date
Upcoming,Komende
upcoming,komende
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Bywerking het misluk
