+ Add Milestone,+ הוסף אבן דרך
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,הפריט נוסף
Item ID is required,מזהה הפריט נדרש
Item removed,הפריט הוסר
Item type is required,סוג הפריט נדרש
Item {0} not found,פריט {0} לא נמצא
Job title or role,תפקיד או תואר
Join Meeting,הצטרף לפגישה
Just now,עכשיו
just now,עכשיו
Kanban,קנבן
Kanban Board,לוח קנבן
Kanban View,תצוגת קנבן
Keyboard Shortcuts,קיצורי מקלדת
Keyboard shortcuts (?),קיצורי מקלדת (?)
Last checked: {0},Last checked: {0}
Last Updated,עודכן לאחרונה
Last updated:,עודכן לאחרונה:
Last Week,שבוע שעבר
Latest Version,Latest Version
Light,בהיר
Link failed,הקישור נכשל
Link Task,קשר משימה
Linked,מקושר
Linked employee not found,העובד המקושר לא נמצא
Linked Tasks,משימות מקושרות
List,רשימה
List View,תצוגת רשימה
Load failed,הטעינה נכשלה
Load More,טען עוד
Load more comments,טען עוד תגובות
Loading activity...,טוען פעילות...
Loading changes...,טוען שינויים...
Loading checklist...,טוען רשימת סימון...
Loading comments...,טוען תגובות...
Loading contact...,טוען איש קשר...
Loading contacts...,טוען אנשי קשר...
Loading dependencies...,טוען תלויות...
Loading details...,טוען פרטים...
Loading discussion...,טוען דיון...
Loading events...,טוען אירועים...
Loading files...,טוען קבצים...
Loading notes...,טוען הערות...
Loading preferences...,טוען העדפות...
Loading project...,טוען פרויקט...
Loading projects...,טוען פרויקטים...
Loading replies...,טוען תשובות...
Loading report data...,טוען נתוני דוח...
Loading settings...,טוען הגדרות...
Loading task...,טוען משימה...
Loading templates...,טוען תבניות...
Loading time logs...,טוען רשומות זמן...
Loading your portal...,טוען את הפורטל שלך...
Loading...,טוען...
Location,מיקום
Log Time,רשום זמן
Logout,התנתק
Low,נמוך
Make Offer,הגש הצעה
Manager,מנהל
Manual Entry,הזנה ידנית
Margin,רווח
Mark all as read,סמן הכל כנקרא
Mark all read,סמן הכל כנקרא
Mark as read,סמן כנקרא
Mark as unread,סמן כלא נקרא
Mark read,סמן כנקרא
Marking...,מסמן...
Material,חומר
Maybe,אולי
Medium,בינוני
Meeting,פגישה
Meeting Link,קישור לפגישה
Meeting title,כותרת פגישה
Meeting URL,כתובת URL של הפגישה
Meetings,פגישות
Mention,אזכור
Message,הודעה
Message is required,ההודעה נדרשת
Message is required for '{0}' action,הודעה נדרשת עבור פעולת '{0}'
Migrate,העבר
Migration Complete,ההעברה הושלמה
Migration ID:,מזהה העברה:
Migration log not found: {0},יומן העברה לא נמצא: {0}
milestone,אבן דרך
Milestone,אבן דרך
Milestone created,אבן הדרך נוצרה
Milestone description has been saved.,תיאור אבן הדרך נשמר.
Milestone ID is required,מזהה אבן הדרך נדרש
Milestone marked as Missed (past due date),אבן הדרך סומנה כהוחמצה (עבר תאריך היעד)
Milestone moved,אבן הדרך הועברה
Milestone Name,שם אבן דרך
Milestone name has been saved.,שם אבן הדרך נשמר.
Milestone name is required,שם אבן הדרך נדרש
Milestone updated,אבן הדרך עודכנה
Milestone {0} not found,אבן דרך {0} לא נמצאה
Milestone {0} not in project {1},אבן דרך {0} אינה בפרויקט {1}
milestones,אבני דרך
Milestones,אבני דרך
Milestones:,אבני דרך:
Minutes,דקות
Missed,הוחמץ
Mixed,מעורב
Mobile,נייד
Moderate,מתון
Modified,שונה
"Modify details, time, or attendees","שנה פרטים, זמן או משתתפים"
Mon,שני
Month,חודש
Move failed,ההעברה נכשלה
Must be a positive number,חייב להיות מספר חיובי
Must finish before this finishes,חייב להסתיים לפני שזה מסתיים
Must finish before this starts,חייב להסתיים לפני שזה מתחיל
Must start before this finishes,חייב להתחיל לפני שזה מסתיים
Must start before this starts,חייב להתחיל לפני שזה מתחיל
My Assignments,ההקצאות שלי
My Projects,הפרויקטים שלי
My Schedule,לוח הזמנים שלי
My Tasks,המשימות שלי
N/A,לא רלוונטי
Name,שם
Name (A-Z),שם (א-ת)
Name (Z-A),שם (ת-א)
Name cannot exceed 255 characters,השם לא יכול לחרוג מ-255 תווים
Need help?,צריך עזרה?
Needs Attention,דורש תשומת לב
Never,Never
new activities,פעילויות חדשות
New Activity,פעילות חדשה
New activity,פעילות חדשה
New Event,אירוע חדש
New index is required,אינדקס חדש נדרש
New Project,פרויקט חדש
New tasks will auto-trail by default.,משימות חדשות יעברו למסלול אוטומטי כברירת מחדל.
Newest First,החדש ביותר תחילה
Next,הבא
Next 14 days,14 הימים הבאים
Next 30 days,30 הימים הבאים
Next 60 days,60 הימים הבאים
Next 7 days,7 הימים הבאים
Next 90 days,90 הימים הבאים
Next Week,שבוע הבא
Next:,הבא:
No,לא
No active assignments,אין הקצאות פעילות
No active projects,אין פרויקטים פעילים
No active timer found,לא נמצא טיימר פעיל
No activity selected,לא נבחרה פעילות
No assignments found,לא נמצאו הקצאות
No attendees,אין משתתפים
no change,ללא שינוי
No changes for this field.,אין שינויים לשדה זה.
No changes recorded for this activity.,לא נרשמו שינויים לפעילות זו.
No checklist items yet,אין עדיין פריטי רשימת סימון
No checklist items yet.,אין עדיין פריטי רשימת סימון.
No comments yet,אין עדיין תגובות
No comments yet.,אין עדיין תגובות.
No contacts available,אין אנשי קשר זמינים
No content for this tab,אין תוכן בלשונית זו
No data available,אין נתונים זמינים
No data available for the selected filters,אין נתונים זמינים עבור המסננים שנבחרו
No data to export,אין נתונים לייצוא
No dates set,לא הוגדרו תאריכים
No defects reported,לא דווחו פגמים
No dependencies defined,לא הוגדרו תלויות
No description,אין תיאור
No discussion yet.,אין עדיין דיון.
No documents attached,אין מסמכים מצורפים
No due date,אין תאריך יעד
No employee linked to this resource,אין עובד מקושר למשאב זה
No ERPNext employee linked to resource,אין עובד ERPNext מקושר למשאב
No events found,לא נמצאו אירועים
No files attached yet.,אין עדיין קבצים מצורפים.
No Frappe Project linked,אין פרויקט Frappe מקושר
No Grouping,ללא קיבוץ
No items,אין פריטים
No matching tasks,אין משימות תואמות
No matching tasks found,לא נמצאו משימות תואמות
No migration history,אין היסטוריית העברה
No Milestone,אין אבן דרך
No milestones,אין אבני דרך
No milestones defined for this project.,לא הוגדרו אבני דרך לפרויקט זה.
No notes yet.,אין עדיין הערות.
No notes yet. Add a due diligence note to track progress.,אין עדיין הערות. הוסף הערת בדיקת נאותות כדי לעקוב אחר ההתקדמות.
No notifications,אין התראות
No Orga Project linked to Frappe Project {0},אין פרויקט Orga מקושר לפרויקט Frappe {0}
No overdue tasks,אין משימות באיחור
No pending cascade changes,אין שינויי מפל ממתינים
No predecessors - this task can start independently,אין קודמים - משימה זו יכולה להתחיל באופן עצמאי
No project,אין פרויקט
No projects found,לא נמצאו פרויקטים
No Projects Yet,אין עדיין פרויקטים
No recent activity,אין פעילות אחרונה
No related documents,אין מסמכים קשורים
No resolved threads.,אין שרשורים שנפתרו.
No resources found,לא נמצאו משאבים
No results found,לא נמצאו תוצאות
No skills listed,אין מיומנויות רשומות
No skills recorded yet,אין עדיין מיומנויות רשומות
No successors - no tasks are waiting for this one,אין ממשיכים - אין משימות ממתינות לזו
No task selected,לא נבחרה משימה
No tasks assigned to you,אין משימות מוקצות לך
No tasks available to add,אין משימות זמינות להוספה
No tasks found,לא נמצאו משימות
No tasks linked to this milestone,אין משימות מקושרות לאבן דרך זו
No tasks with dates to display,אין משימות עם תאריכים להצגה
No tasks yet,אין עדיין משימות
No team members,אין חברי צוות
No template,אין תבנית
No templates yet,אין עדיין תבניות
No time data found,לא נמצאו נתוני זמן
No time logged today,לא נרשם זמן היום
No time logged yet,לא נרשם זמן עדיין
No time logs for this period,אין רשומות זמן לתקופה זו
No time logs found,לא נמצאו רשומות זמן
No unread notifications,אין התראות שלא נקראו
No update information available yet.,No update information available yet.
None,ללא
Not found,לא נמצא
Not permitted,אין הרשאה
Not permitted to access this project,אין הרשאה לגשת לפרויקט זה
Not permitted to access this task,אין הרשאה לגשת למשימה זו
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,אין הרשאה להגיב על מסמך זה
Not permitted to create clients,אין הרשאה ליצור לקוחות
Not permitted to delete this client,אין הרשאה למחוק לקוח זה
Not permitted to delete this defect,אין הרשאה למחוק פגם זה
Not permitted to delete this note,אין הרשאה למחוק הערה זו
Not permitted to delete this project,אין הרשאה למחוק פרויקט זה
Not permitted to delete this task,אין הרשאה למחוק משימה זו
Not permitted to delete this time log,אין הרשאה למחוק רשומת זמן זו
Not permitted to invite clients,אין הרשאה להזמין לקוחות
Not permitted to modify client access,אין הרשאה לשנות גישת לקוח
Not permitted to modify this project,אין הרשאה לשנות פרויקט זה
Not permitted to update settings,אין הרשאה לעדכן הגדרות
Not permitted to update this client,אין הרשאה לעדכן לקוח זה
Not permitted to view this client,אין הרשאה לצפות בלקוח זה
not sent,לא נשלח
Not set,לא הוגדר
Not specified,לא צוין
Note,הערה
Note (optional),הערה (אופציונלי)
Note Content,תוכן הערה
Note content is required,תוכן ההערה נדרש
Note name is required,שם ההערה נדרש
Note not found,ההערה לא נמצאה
Note Type,סוג הערה
Notes,הערות
Notification,התראה
Notification not found,ההתראה לא נמצאה
Notifications,התראות
Off Track,סוטה מהמסלול
Offer,הצעה
Offer Prepared,ההצעה הוכנה
Oldest First,הישן ביותר תחילה
On Hold,בהמתנה
On Leave,בחופשה
On Track,במסלול
On-Time Rate,שיעור עמידה בזמנים
Only administrators can delete activities,רק מנהלי מערכת יכולים למחוק פעילויות
Only the comment author or administrators can delete comments,רק מחבר התגובה או מנהלי מערכת יכולים למחוק תגובות
Only you and admins,רק אתה ומנהלי מערכת
Open,פתוח
Open in Desk,פתח בדסק
Open Task Log,פתח יומן משימות
Open Tasks,משימות פתוחות
Optional,אופציונלי
optional,אופציונלי
Or email us directly at,"או שלח לנו דוא""ל ישירות אל"
Orga Project {0} from Frappe Projects,פרויקט Orga {0} מ-Frappe Projects
Orga Task {0} from Frappe,משימת Orga {0} מ-Frappe
Organizer,מארגן
Other,אחר
Over Budget,חריגה מהתקציב
Overall Progress,התקדמות כוללת
Overall Utilization,ניצול כולל
Overallocated,הוקצה יתר
Overdue,באיחור
overdue,באיחור
Overdue Tasks,משימות באיחור
Overview,סקירה כללית
Owner,בעלים
Page Not Found,הדף לא נמצא
Parent,הורה
Parent comment must belong to the same document,תגובת הורה חייבת להשתייך לאותו מסמך
Parent comment not found,תגובת הורה לא נמצאה
Parent project not synced to Frappe yet,פרויקט ההורה טרם סונכרן ל-Frappe
Parent project sync not enabled,סנכרון פרויקט הורה אינו מופעל
Partner,שותף
Pending,ממתין
per page,לעמוד
Perform initial assessment and background check,בצע הערכה ראשונית ובדיקת רקע
Permanently remove this event,הסר אירוע זה לצמיתות
Permanently remove this task,הסר משימה זו לצמיתות
Phone,טלפון
Pin,הצמד
Pin Activity,הצמד פעילות
Pin to top,הצמד למעלה
Pinned,מוצמד
Planned budget for this task,תקציב מתוכנן למשימה זו
Planning,תכנון
Please describe your question or issue in detail...,תאר את השאלה או הבעיה שלך בפירוט...
Please login to access Orga,התחבר כדי לגשת ל-Orga
Please login to access the client portal,התחבר כדי לגשת לפורטל הלקוחות
Please respond to this invitation in Orga,אנא השב להזמנה זו ב-Orga
Please select an image file,בחר קובץ תמונה
Please try again,נסה שוב
Please type,הקלד
Portal,פורטל
Portal access revoked for {0},גישת הפורטל בוטלה עבור {0}
Portal user created successfully. Welcome email {0},"משתמש פורטל נוצר בהצלחה. דוא""ל ברוכים הבאים {0}"
Post,פרסם
Powered by,מופעל על ידי
Powered by Tonic,מופעל על ידי Tonic
Predecessors (Blocked By),קודמים (חסום על ידי)
Preferences,העדפות
Preferences saved successfully,ההעדפות נשמרו בהצלחה
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","קידומת לקודי פרויקט אוטומטיים (לדוגמה, ORG-2026-0001)"
Prepare and document offer terms,הכן ותעד תנאי הצעה
Press,לחץ
Preview,תצוגה מקדימה
Preview cascade before applying,צפה בתצוגה מקדימה של מפל לפני החלה
Previous,הקודם
Priority,עדיפות
Priority assigned to new tasks,עדיפות שמוקצית למשימות חדשות
Priority updated,העדיפות עודכנה
Proficiency,מיומנות
Profile,פרופיל
Progress,התקדמות
Progress (High-Low),התקדמות (גבוה-נמוך)
Progress (Low-High),התקדמות (נמוך-גבוה)
Progress Overview,סקירת התקדמות
Progress updated,ההתקדמות עודכנה
Project,פרויקט
Project budget has been saved.,תקציב הפרויקט נשמר.
Project code (e.g. ORG-2026-0001),קוד פרויקט (לדוגמה ORG-2026-0001)
Project Code Prefix,קידומת קוד פרויקט
Project created,הפרויקט נוצר
Project deleted,הפרויקט נמחק
Project description has been saved.,תיאור הפרויקט נשמר.
Project Details,פרטי פרויקט
Project end date has been saved.,תאריך סיום הפרויקט נשמר.
Project Files,קבצי פרויקט
Project has no linked client,לפרויקט אין לקוח מקושר
Project Health,בריאות הפרויקט
Project Info,מידע על הפרויקט
Project is required,פרויקט נדרש
Project is required for project context,פרויקט נדרש עבור הקשר פרויקט
Project is required when tracking context is 'project',פרויקט נדרש כאשר הקשר המעקב הוא 'פרויקט'
Project Manager,מנהל פרויקט
Project Name,שם פרויקט
Project name and template name are required,שם הפרויקט ושם התבנית נדרשים
Project name is required,שם הפרויקט נדרש
Project not found,הפרויקט לא נמצא
Project not found or you do not have access,הפרויקט לא נמצא או שאין לך גישה
Project settings,הגדרות פרויקט
Project start date has been saved.,תאריך התחלת הפרויקט נשמר.
Project title has been saved.,כותרת הפרויקט נשמרה.
Project Type,סוג פרויקט
Project updated,הפרויקט עודכן
Project {0} linked to client {1},פרויקט {0} קושר ללקוח {1}
Project {0} not found,פרויקט {0} לא נמצא
Project {0} to Frappe Projects,פרויקט {0} ל-Frappe Projects
Project:,פרויקט:
projects,פרויקטים
Projects,פרויקטים
Projects created:,פרויקטים שנוצרו:
Projects Overview,סקירת פרויקטים
Projects skipped:,פרויקטים שדולגו:
Projects updated:,פרויקטים שעודכנו:
Promote failed,הקידום נכשל
Promote to task,קדם למשימה
Promoted to task,קודם למשימה
Propose,הצע
Propose New Time,הצע זמן חדש
Propose Time,הצע זמן
Proposed End,סיום מוצע
Proposed Start,התחלה מוצעת
Public,ציבורי
Quick Action,פעולה מהירה
Quick Actions,פעולות מהירות
Quick Stats,סטטיסטיקות מהירות
Rates,תעריפים
Receive notifications via email,"קבל התראות בדוא""ל"
Receive notifications within the application,קבל התראות בתוך האפליקציה
Recent Activity,פעילות אחרונה
Recipient {0} is not a valid user,נמען {0} אינו משתמש תקין
Reference,הפניה
Refresh,רענן
Related,קשור
Related Company (optional),חברה קשורה (אופציונלי)
Related Documents,מסמכים קשורים
Related Project,פרויקט קשור
Remaining,נותר
Reminder,תזכורת
Reminder Lead Time,זמן הקדמת תזכורת
Reminder: {0} - {1} at {2},תזכורת: {0} - {1} ב-{2}
Remove,הסר
Remove dependency,הסר תלות
Remove dependency on,הסר תלות ב
Remove from group,הסר מהקבוצה
Remove group dependency,הסר תלות קבוצתית
Remove skill,הסר מיומנות
Reopen,פתח מחדש
Reopen thread,פתח שרשור מחדש
reopened,נפתח מחדש
replies,תשובות
Reply,השב
reply,תשובה
Replying to,משיב ל
Replying to comment,משיב לתגובה
Report Defect,דווח על פגם
Reported Date,תאריך דיווח
Reports,דוחות
Reports To,מדווח ל
Request Submitted!,הבקשה נשלחה!
Required,נדרש
required,נדרש
Research,מחקר
Reset to Defaults,אפס לברירת מחדל
Resolve,פתור
Resolve thread,פתור שרשור
Resolved,נפתר
Resolved date cannot be before reported date,תאריך הפתרון לא יכול להיות לפני תאריך הדיווח
Resource,משאב
Resource and skill name are required,שם המשאב והמיומנות נדרשים
Resource is already an attendee,המשאב כבר משתתף
Resource name is required,שם המשאב נדרש
Resource not found,המשאב לא נמצא
Resource synced from employee {0},המשאב סונכרן מעובד {0}
Resource {0} is already assigned to this task ({1}),משאב {0} כבר מוקצה למשימה זו ({1})
Resource {0} not found,משאב {0} לא נמצא
Resources,משאבים
Retry,נסה שוב
Review,סקירה
Review all relevant documents and contracts,סקור את כל המסמכים והחוזים הרלוונטיים
Reviews,סקירות
Risk Assessment,הערכת סיכונים
Rollback,שחזור
Rolled back,שוחזר
Room or address,חדר או כתובת
RSVP,RSVP
Safety,בטיחות
Sat,שבת
Save,שמור
"Save a project as a template, or import one from a JSON file.","שמור פרויקט כתבנית, או ייבא תבנית מקובץ JSON."
Save as Template,שמור כתבנית
Save Changes,שמור שינויים
Save failed,השמירה נכשלה
Save Preferences,שמור העדפות
Save Template,שמור תבנית
Saving...,שומר...
Schedule,לוח זמנים
Schedule type is required for scheduled triggers,סוג לוח זמנים נדרש עבור טריגרים מתוזמנים
Scheduled,מתוזמן
Search,חפש
"Search by name, email, or skill...","חפש לפי שם, דוא""ל או מיומנות..."
Search for a project...,חפש פרויקט...
Search for a task...,חפש משימה...
Search for an event...,חפש אירוע...
Search for people to invite...,חפש אנשים להזמנה...
Search tasks to link...,חפש משימות לקישור...
Search tasks...,חפש משימות...
Search...,חפש...
Searching...,מחפש...
Seen,נצפה
Select a project if your request is related to a specific project.,בחר פרויקט אם הבקשה שלך קשורה לפרויקט ספציפי.
Select a project...,בחר פרויקט...
Select a task from the Gantt chart to view and manage its details.,בחר משימה מתרשים הגנט כדי לצפות ולנהל את פרטיה.
Select a task from the list or Kanban board to view and manage its details.,בחר משימה מהרשימה או מלוח הקנבן כדי לצפות ולנהל את פרטיה.
Select a template...,בחר תבנית...
Select priority...,בחר עדיפות...
Select status...,בחר סטטוס...
Select task...,בחר משימה...
Select type...,בחר סוג...
Selection,בחירה
Send,שלח
Send comment,שלח תגובה
Send email invitations to attendees,"שלח הזמנות דוא""ל למשתתפים"
Send Invitations,שלח הזמנות
Send notification when a task is assigned to a user,שלח התראה כאשר משימה מוקצית למשתמש
Send notification when task status changes,שלח התראה כאשר סטטוס משימה משתנה
Send reminder before task due date,שלח תזכורת לפני תאריך יעד המשימה
sent,נשלח
Set rate,הגדר תעריף
Settings,הגדרות
Settings saved successfully,ההגדרות נשמרו בהצלחה
Severity,חומרה
SF (Start-Finish),SF (התחלה-סיום)
SF - Start-to-Finish,SF - התחלה-לסיום
Show,הצג
Show all,הצג הכל
Show all changes,הצג את כל השינויים
Show Archived,הצג ארכיון
Show full diff,הצג הבדלים מלאים
Show less,הצג פחות
Show more,הצג עוד
Skill added,המיומנות נוספה
Skill is required,מיומנות נדרשת
Skill Name,שם מיומנות
Skill removed,המיומנות הוסרה
Skill {0} already exists for this resource,מיומנות {0} כבר קיימת למשאב זה
Skills,מיומנויות
Skills & Competencies,מיומנויות וכשירויות
Skip already migrated projects,דלג על פרויקטים שכבר הועברו
Sort by,מיין לפי
Sort: Due Date,מיון: תאריך יעד
Sort: Priority,מיון: עדיפות
Sort: Project,מיון: פרויקט
Sort: Status,מיון: סטטוס
Sort: Task,מיון: משימה
Source Code,קוד מקור
Spent,הושקע
Spent:,הושקע:
SS (Start-Start),SS (התחלה-התחלה)
SS - Start-to-Start,SS - התחלה-להתחלה
Standalone,עצמאי
Start,התחל
Start a discussion below,התחל דיון למטה
Start Date,תאריך התחלה
Start date,תאריך התחלה
Start Date (Earliest),תאריך התחלה (מוקדם ביותר)
Start date updated,תאריך ההתחלה עודכן
Start date/time is required,תאריך/שעת התחלה נדרשים
Start Migration,התחל העברה
Start the conversation below.,התחל את השיחה למטה.
Start Timer,התחל טיימר
Start typing to search...,התחל להקליד כדי לחפש...
Start-to-Finish,התחלה-לסיום
Start-to-Start,התחלה-להתחלה
Start:,התחלה:
Statistics reset,הסטטיסטיקות אופסו
Status,סטטוס
Status assigned to new projects,סטטוס שמוקצה לפרויקטים חדשים
Status assigned to new tasks,סטטוס שמוקצה למשימות חדשות
Status Changes,שינויי סטטוס
Status updated,הסטטוס עודכן
Status:,סטטוס:
Stop,עצור
Stop & Save,עצור ושמור
Stop Timer,עצור טיימר
Stops current timer and starts for this event,עוצר את הטיימר הנוכחי ומתחיל עבור אירוע זה
Stops current timer and starts for this task,עוצר את הטיימר הנוכחי ומתחיל עבור משימה זו
Subject,נושא
Subject cannot exceed 255 characters,הנושא לא יכול לחרוג מ-255 תווים
Subject is required,הנושא נדרש
Submit,שלח
Submit Another Request,שלח בקשה נוספת
Submit Request,שלח בקשה
Submitting...,שולח...
Successfully saved,נשמר בהצלחה
Successors (Blocking),ממשיכים (חוסם)
Sun,ראשון
Supplier,ספק
Support,תמיכה
Switch to this event,עבור לאירוע זה
Switch to this task,עבור למשימה זו
Sync direction is set to Frappe to Orga only,כיוון הסנכרון מוגדר מ-Frappe ל-Orga בלבד
Sync direction is set to Orga to Frappe only,כיוון הסנכרון מוגדר מ-Orga ל-Frappe בלבד
Sync not enabled for this project,סנכרון אינו מופעל עבור פרויקט זה
System,מערכת
Table,טבלה
Take ownership of this task,קח בעלות על משימה זו
Target Date,תאריך יעד
Target End,סיום יעד
Target Project,פרויקט יעד
Target user is required for '{0}' action,משתמש יעד נדרש עבור פעולת '{0}'
task,משימה
Task,משימה
Task '{0}' is due on {1}.,משימה '{0}' מועד הגשתה ב-{1}.
Task and resource are required,משימה ומשאב נדרשים
Task Assignment,הקצאת משימה
Task cannot be its own parent,משימה לא יכולה להיות ההורה של עצמה
Task cannot depend on itself,משימה לא יכולה להיות תלויה בעצמה
Task cannot depend on the group it belongs to,משימה לא יכולה להיות תלויה בקבוצה שאליה היא שייכת
Task created,המשימה נוצרה
Task deleted,המשימה נמחקה
Task description has been saved.,תיאור המשימה נשמר.
Task Details,פרטי משימה
Task due in {0} days: {1},משימה בעוד {0} ימים: {1}
Task due today: {0},משימה ליום: {0}
Task due tomorrow: {0},משימה למחר: {0}
Task duplicated,המשימה שוכפלה
Task Group,קבוצת משימות
Task ID is required,מזהה המשימה נדרש
Task is blocked by incomplete dependencies,המשימה חסומה על ידי תלויות שלא הושלמו
Task is cancelled,המשימה בוטלה
Task is completed,המשימה הושלמה
Task is no longer blocked by a group,המשימה אינה חסומה עוד על ידי קבוצה
Task is required for task context,משימה נדרשת עבור הקשר משימה
Task is required when tracking context is 'task',משימה נדרשת כאשר הקשר המעקב הוא 'משימה'
Task linked,המשימה קושרה
Task moved,המשימה הועברה
Task name,שם משימה
Task name is required,שם המשימה נדרש
Task removed from group,המשימה הוסרה מהקבוצה
Task Subject,נושא המשימה
Task subject is required,נושא המשימה נדרש
Task Type,סוג משימה
Task unblocked: {0},משימה שוחררה מחסימה: {0}
Task unlinked,הקישור למשימה בוטל
Task updated,המשימה עודכנה
Task {0} not found,משימה {0} לא נמצאה
Task {0} not in project {1},משימה {0} אינה בפרויקט {1}
Task {0} to Frappe,משימה {0} ל-Frappe
Tasks,משימות
tasks,משימות
Tasks and milestones will be created with dates relative to the project start date.,משימות ואבני דרך ייווצרו עם תאריכים יחסיים לתאריך התחלת הפרויקט.
Tasks assigned to you across all projects.,משימות שהוקצו לך בכל הפרויקטים.
Tasks created:,משימות שנוצרו:
Tasks from projects you manage.,משימות מפרויקטים שאתה מנהל.
Tasks updated:,משימות שעודכנו:
"Tasks, milestones, and dependencies have been created.","משימות, אבני דרך ותלויות נוצרו."
Tasks:,משימות:
TBD,ייקבע
Team,צוות
Team Members,חברי צוות
Template,תבנית
Template applied,התבנית הוחלה
Template data is required in import data,נתוני תבנית נדרשים בנתוני הייבוא
Template has no data,לתבנית אין נתונים
Template Name,שם תבנית
Template name,שם תבנית
Template name is required,שם התבנית נדרש
Template name is required in import data,שם התבנית נדרש בנתוני הייבוא
Template saved,התבנית נשמרה
Template updated successfully.,התבנית עודכנה בהצלחה.
Template {0} not found,תבנית {0} לא נמצאה
Templates,תבניות
Tentative,טנטטיבי
The comment has been deleted,התגובה נמחקה
The project,הפרויקט
The source document may have been deleted.,ייתכן שהמסמך המקורי נמחק.
The source document will not be affected.,המסמך המקורי לא יושפע.
The status of '{0}' was changed from {1} to {2}.,הסטטוס של '{0}' שונה מ-{1} ל-{2}.
Theme,ערכת נושא
Theme preference,העדפת ערכת נושא
This action,פעולה זו
This action cannot be undone.,לא ניתן לבטל פעולה זו.
This activity has been flagged for attention,פעילות זו סומנה לתשומת לב
This is a reminder for your upcoming appointment,זוהי תזכורת לפגישה הקרובה שלך
This method is only meant for developer mode,שיטה זו מיועדת למצב מפתח בלבד
This page wandered off,This page wandered off
This Week,השבוע
This will delete all notes and preferences associated with this activity.,פעולה זו תמחק את כל ההערות וההעדפות הקשורות לפעילות זו.
This will import all Frappe Projects into Orga. Continue?,פעולה זו תייבא את כל פרויקטי Frappe ל-Orga. להמשיך?
This will permanently delete,פעולה זו תמחק לצמיתות
This will permanently delete:,פעולה זו תמחק לצמיתות:
Thu,חמישי
Time,זמן
Time & Billing,זמן וחיוב
Time & Revenue,זמן והכנסות
Time Entries,רשומות זמן
Time log name is required,שם רשומת הזמן נדרש
Time Log not found,רשומת הזמן לא נמצאה
Time log {0} not found,רשומת זמן {0} לא נמצאה
Time Logs,רשומות זמן
Time Summary,סיכום זמן
Time Tracking,מעקב זמן
Timeline,ציר זמן
Timer active on,טיימר פעיל על
Timer is not running,הטיימר לא פועל
Timer Running,טיימר פועל
Timer running,טיימר פועל
Timesheet DocType not available,סוג מסמך גיליון זמנים אינו זמין
Timesheets,גיליונות זמנים
Timezone,אזור זמן
Timezone is detected from your browser,אזור הזמן מזוהה מהדפדפן שלך
Title,כותרת
Title cannot exceed 255 characters,הכותרת לא יכולה לחרוג מ-255 תווים
Title is required,הכותרת נדרשת
Title updated,הכותרת עודכנה
To,אל
to,אל
to cancel,לביטול
to close,לסגירה
to confirm:,לאישור:
to edit,לעריכה
"to save,","לשמירה,"
To Time cannot be before From Time,שעת הסיום לא יכולה להיות לפני שעת ההתחלה
Today,היום
today,היום
Toggle billable,החלף סטטוס חיוב
Toggle Details Panel,החלף לוח פרטים
Toggle Manager Panel,החלף לוח מנהל
Toggle Sidebar,החלף סרגל צד
Tomorrow,מחר
tomorrow,מחר
Total,"סה""כ"
Total Budget,תקציב כולל
Total Contacts,"סה""כ אנשי קשר"
Total Cost,עלות כוללת
Total Cost to Org,עלות כוללת לארגון
Total Defect Cost,עלות פגמים כוללת
Total Hours,"סה""כ שעות"
Total Hours Logged,"סה""כ שעות שנרשמו"
Total Projects,"סה""כ פרויקטים"
Total Spent,"סה""כ הושקע"
Total Tasks,"סה""כ משימות"
Total:,"סה""כ:"
Tracked,במעקב
trails to today while Open at 0%,מתקדם עד היום בזמן שפתוח ב-0%
Tried:,Tried:
Try adjusting your filter criteria,נסה להתאים את קריטריוני הסינון שלך
Try adjusting your filters.,נסה להתאים את המסננים שלך.
Try Again,נסה שוב
Tue,שלישי
Type,סוג
Type updated,הסוג עודכן
Type:,סוג:
Typical response time: 1-2 business days,זמן תגובה טיפוסי: 1-2 ימי עסקים
Unarchive,הוצא מארכיון
Unarchive Activity,הוצא פעילות מארכיון
Unassign,בטל הקצאה
Unassigned,לא מוקצה
Under Budget,מתחת לתקציב
Ungrouped,לא מקובץ
Unknown,לא ידוע
Unknown error,שגיאה לא ידועה
Unlink failed,ביטול הקישור נכשל
Unlink task from milestone,בטל קישור משימה מאבן דרך
Unpin,בטל הצמדה
Unpin Activity,בטל הצמדת פעילות
Unread,לא נקרא
Unread only,לא נקראו בלבד
Until,עד
Up to Date,Up to Date
Upcoming,קרוב
upcoming,קרוב
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,העדכון נכשל
Updated,עודכן
Updated successfully,עודכן בהצלחה
Updates,Updates
Upload,העלה
Upload failed,ההעלאה נכשלה
